"seen","see","Spatřili","spatřit","pf"," The two schooners, under all sail and joined by a third, could be seen making back."," Spatřili oba škunery, vracející se s plnými plachtami a doprovázené třetím."
"understand","understand","Chápete","chápat","impf"," Do you understand?"," Chápete vůbec?"
"come","come","jděte","jít","impf"," Now get out, and come back sweet and wholesome, convinced beyond all absoluteness that he will live and be what he was before you and he played the fool together."," Teď jděte pryč a vraťte se vlídnější a užitečnější, přesvědčený nade vší pochybnost, že bude žít a že bude tím, kým byl předtím, než jste dali průchod svému bláznovství."
"say","say","říkám","říkat","impf"," Get out, I say. ”"," Ven, říkám. """
"lay","lie","ležely","ležet","impf"," The sheet-iron Yukon stove roared red-hot, yet, eight feet away, on the meat-shelf, placed low and beside the door, lay chunks of solidly frozen moose and bacon."," Hučící oceloplechová kamna Yukon byla rozžhavená doruda, a přesto osm stop od nich, na polici s masem umístěné nízko u dveří, ležely na kost zmrzlé špalky losího masa a slaniny."
"warned","warn","upozornil","upozornit","pf"," Exhausted as Linday was, the flash in his black eyes warned Daw that he had overreached himself."," Jakkoliv byl Linday vyčerpaný, záblesk v jeho černých očích upozornil Dawa, že zašel příliš daleko."
"Forget","forget","Zapomeňte","zapomenout","pf"," Forget it."," Zapomeňte na to."
"seen","see","vidím","vidět","impf"," Though I might remind you that it is the first time I have ever seen him."," Mohl bych tě ovšem upozornit, že ho vidím poprvé v životě."
"Sit","sit","Sedni","sednout","pf"," Sit down. ”"," Sedni si. """
"drew","draw","vytáhl","vytáhnout","pf"," He drew a penknife and began extracting a thorn from his thumb."," Linday vytáhl kapesní nůž a začal si jím vydloubávat z palce trn."
"extracting","extract","vytáhl","vytáhnout","pf"," He drew a penknife and began extracting a thorn from his thumb."," Linday vytáhl kapesní nůž a začal si jím vydloubávat z palce trn."
"began","begin","začal","začít","pf"," He drew a penknife and began extracting a thorn from his thumb."," Linday vytáhl kapesní nůž a začal si jím vydloubávat z palce trn."
"going","go","dělat","dělat","impf"," “ What are you going to do? ” she asked, after a minute ’ s wait."," "" Co budeš dělat? "" zeptala se ho žena po minutovém tichu."
"do","do","dělat","dělat","impf"," “ What are you going to do? ” she asked, after a minute ’ s wait."," "" Co budeš dělat? "" zeptala se ho žena po minutovém tichu."
"asked","ask","zeptala","zeptat","pf"," “ What are you going to do? ” she asked, after a minute ’ s wait."," "" Co budeš dělat? "" zeptala se ho žena po minutovém tichu."
"rest","rest","odpočinu","odpočinout","pf"," “ Eat and rest up before I start back. ”"," "" Najím se, odpočinu si a potom se vydám na zpáteční cestu. """
"followed","follow","následoval","následovat","impf"," The policeman went with him wonderingly, while Donald and Davy dropped their cards and followed."," Policista ho nechápavě následoval, zatímco Donald a Davy složili karty a přidali se k nim."
"noticed","notice","uviděli","uvidět","pf"," The Minook men noticed Montana Kid pointing now up the river, now down, and came over."," Když muži z Minooku uviděli, jak Montana Kid ukazuje hned po proudu, hned proti proudu řeky, přišli také."
"pointing","point","ukazuje","ukazovat","impf"," The Minook men noticed Montana Kid pointing now up the river, now down, and came over."," Když muži z Minooku uviděli, jak Montana Kid ukazuje hned po proudu, hned proti proudu řeky, přišli také."
"came","come","přišli","přijít","pf"," The Minook men noticed Montana Kid pointing now up the river, now down, and came over."," Když muži z Minooku uviděli, jak Montana Kid ukazuje hned po proudu, hned proti proudu řeky, přišli také."
"See","see","Vidíte","vidět","impf"," See that bend down there?"," Vidíte tu zákrutu tam dole?"
"taking","take","zjistil","zjistit","pf"," By the end of the second day, Raoul, taking a bath in the lagoon, discovered that his thirst was somewhat relieved."," Když se koncem druhého dne Raoul koupal v laguně, zjistil, že jeho žízeň se částečně utišila."
"discovered","discover","zjistil","zjistit","pf"," By the end of the second day, Raoul, taking a bath in the lagoon, discovered that his thirst was somewhat relieved."," Když se koncem druhého dne Raoul koupal v laguně, zjistil, že jeho žízeň se částečně utišila."
"seen","see","spatřit","spatřit","pf"," He cried out the news, and thereupon three hundred men, women, and children could have been seen standing up to their necks in the lagoon and trying to drink water in through their skins."," Křikem uvědomil o svém poznatku ostatní a za chvíli bylo možno spatřit tři sta mužů, žen a dětí, stojících po krk v laguně a snažících se nasáknout vodu svou pokožkou."
"floated","float","plavali","plavat","impf"," Their dead floated about them, or were stepped upon where they still lay upon the bottom."," Jejich mrtví zatím plavali kolem a lidé stoupali na těla, která zůstávala ležet u dna."
"lay","lie","ležet","ležet","impf"," Their dead floated about them, or were stepped upon where they still lay upon the bottom."," Jejich mrtví zatím plavali kolem a lidé stoupali na těla, která zůstávala ležet u dna."
"spent","spend","strávil","strávit","pf"," Several hours he spent in the endeavor to hammer the house-obsession out of Mapuhi ’ s mind; but Mapuhi ’ s mother and wife, and Ngakura, Mapuhi ’ s daughter, bolstered him in his resolve for the house."," Několik hodin pak strávil pokusy vytlouci Mapuhimu jeho posedlost z hlavy, ale Mapuhiho matka a žena spolu s Ngakurou - jeho dcerou, ho v rozhodnutí ještě utvrzovaly."
"listened","listen","naslouchal","naslouchat","impf"," Through the open doorway, while he listened for the twentieth time to the detailed description of the house that was wanted, Raoul saw his schooner ’ s second boat draw up on the beach."," Když Raoul už podvacáté naslouchal podrobnému popisu domu, zahlédl skrz otevřené dveře přistávat na pláži druhý člun z jeho škuneru."
"saw","see","zahlédl","zahlédnout","pf"," Through the open doorway, while he listened for the twentieth time to the detailed description of the house that was wanted, Raoul saw his schooner ’ s second boat draw up on the beach."," Když Raoul už podvacáté naslouchal podrobnému popisu domu, zahlédl skrz otevřené dveře přistávat na pláži druhý člun z jeho škuneru."
"rested","rest","zůstali","zůstat","pf"," The sailors rested on the oars, advertising haste to be gone."," Námořníci zůstali sedět u vesel, jako by dávali najevo svůj zájem být co nejrychleji zase pryč."
"remember","remember","Vzpomínáš","vzpomínat","impf"," You remember the story I told you of the elixir."," Vzpomínáš si na ten příběh o elixíru, který jsem ti vyprávěl?"
"told","tell","vyprávěl","vyprávět","impf"," You remember the story I told you of the elixir."," Vzpomínáš si na ten příběh o elixíru, který jsem ti vyprávěl?"
"tell","tell","Neřekl","říci","pf"," I failed to tell you the end."," Neřekl jsem ti ho do konce."
"depart","depart","odejít","odejít","pf"," And when she had anointed his eyes and was about to depart, it chanced she saw in the mirror that her beauty had been restored to her."," Když mu žena potřela elixírem oči a chystala se odejít, všimla si v zrcadle, že se jí vrátil její dřívější půvab."
"restored","restore","vrátil","vrátit","pf"," And when she had anointed his eyes and was about to depart, it chanced she saw in the mirror that her beauty had been restored to her."," Když mu žena potřela elixírem oči a chystala se odejít, všimla si v zrcadle, že se jí vrátil její dřívější půvab."
"opened","open","otevřel","otevřít","pf"," And he opened his eyes, and cried out with joy at the sight of her beauty, and folded her in his arms. ”"," On otevřel oči, a když ji spatřil v celé její kráse, vykřikl radostí a sevřel ji v náručí. """
"cried","cry","vykřikl","vykřiknout","pf"," And he opened his eyes, and cried out with joy at the sight of her beauty, and folded her in his arms. ”"," On otevřel oči, a když ji spatřil v celé její kráse, vykřikl radostí a sevřel ji v náručí. """
"waited","wait","čekala","čekat","impf"," She waited, tense but controlled, for him to continue, a dawn of wonder faintly beginning to show in her face and eyes."," Madge, napjatá, ale ovládající se, čekala na pokračování a v obličeji a v očích se jí pomalu začal zračit údiv."
"beginning","begin","začal","začít","pf"," She waited, tense but controlled, for him to continue, a dawn of wonder faintly beginning to show in her face and eyes."," Madge, napjatá, ale ovládající se, čekala na pokračování a v obličeji a v očích se jí pomalu začal zračit údiv."
"found","find","našla","najít","pf"," Its outrigger was gone, but she was hopeful, and, before the day was out, she found the outrigger."," Chybělo jí vahadlo, ale Nauri neztrácela naději, a než nastal večer, vahadlo našla."
"saw","see","uviděla","uvidět","pf"," Late in the afternoon she saw a wooden box floating low in the water."," Pozdě odpoledne uviděla Nauri plout nízko nad hladinou dřevěnou krabici."
"floating","float","plout","plout","impf"," Late in the afternoon she saw a wooden box floating low in the water."," Pozdě odpoledne uviděla Nauri plout nízko nad hladinou dřevěnou krabici."
"found","find","zjistila","zjistit","pf"," When she dragged it out on the beach its contents rattled, and inside she found ten tins of salmon."," Když ji vytáhla na pláž, zjistila, že krabice chrastí, a uvnitř našla deset lososích konzerv."
"found","find","našla","najít","pf"," When she dragged it out on the beach its contents rattled, and inside she found ten tins of salmon."," Když ji vytáhla na pláž, zjistila, že krabice chrastí, a uvnitř našla deset lososích konzerv."
"opened","open","otevřela","otevřít","pf"," She opened one by hammering it on the canoe."," Jednu z nich otevřela tlučením o kanoi."
"started","start","začala","začít","pf"," When a leak was started, she drained the tin."," Když začala konzerva téci, Nauri ji vysála."
"lost","lose","ztratil","ztratit","pf"," He engaged with responsible parties to run whisky across the line by way of precarious and unknown trails, lost his Indian guides, and had the very first outfit confiscated by the Mounted Police."," S příslušnými místy si smluvil pašování whisky přes hranici po ošidných a neznámých stezkách, ztratil se svým indiánským průvodcům a hned první dodávku mu zabavila jízdní policie."
"make","make","učinilo","učinit","pf"," Numerous other misfortunes tended to make him bitter of heart and wanton of action, and he celebrated his arrival at Lake Bennett by terrorizing the camp for twenty straight hours."," Několik dalších neúspěchů jej učinilo náchylným k hořkosti v duši a zlovolnosti v činech a svůj příchod k jezeru Bennett oslavil terorizováním tábora, které trvalo nepřetržitě dvacet hodin."
"celebrated","celebrate","oslavil","oslavit","pf"," Numerous other misfortunes tended to make him bitter of heart and wanton of action, and he celebrated his arrival at Lake Bennett by terrorizing the camp for twenty straight hours."," Několik dalších neúspěchů jej učinilo náchylným k hořkosti v duši a zlovolnosti v činech a svůj příchod k jezeru Bennett oslavil terorizováním tábora, které trvalo nepřetržitě dvacet hodin."
"took","take","vzala","vzít","pf"," Then a miners ’ meeting took him in hand, and commanded him to make himself scarce."," Nato si ho vzala do práce zlatokopecká schůze a rozkázala mu, aby se co nejrychleji ztratil."
"assured","assure","ujistil","ujistit","pf"," “ No you wouldn ’ t, ” Daw assured him confidently."," "" Neotočil, "" ujistil ho sebevědomě Daw."
"cross","cross","překročit","překročit","pf"," Just got to cross that last divide an ’ drop down to the cabin."," Stačí už jen překročit poslední předěl a sestoupit dolů ke srubu."
"let","let","nenechal","nechat","pf"," You ’ re too far from home, an ’ I just naturally wouldn ’ t let you turn back. ”"," Jste daleko od domova a já bych vás prostě odejít nenechal. """
"listening","listen","poslouchali","poslouchat","impf"," Then he emerged, dragging Tefara after him, and in a few minutes all were listening to Nauri ’ s tale."," Vyškrábal se tedy ven, Tefaru vytáhnul za sebou a pár minut na to už všichni poslouchali Nauřin příběh."
"told","tell","pověděla","povědět","pf"," And when she told of Levy, and dropped the pearl into Tefara ’ s hand, even she was reconciled to the reality of her mother-in-law."," Když jim pak Nauri pověděla o Levym a upustila perlu do Tefařiny ruky, byla o opravdovosti své tchýně přesvědčena i ona."
"dropped","drop","upustila","upustit","pf"," And when she told of Levy, and dropped the pearl into Tefara ’ s hand, even she was reconciled to the reality of her mother-in-law."," Když jim pak Nauri pověděla o Levym a upustila perlu do Tefařiny ruky, byla o opravdovosti své tchýně přesvědčena i ona."
"weighed","weigh","Vážila","vážit","impf"," Only weighed about three hundred, but you know what grizzlies is."," Vážila sotva tři sta, ale znáte grizzlyho."
"do","do","Nedělej","dělat","impf"," “ Don ’ t do it, ’ says I, when he ups with his rifle."," "" Nedělej to, ' povídám, když zvedl ručnici."
"says","say","povídám","povídat","impf"," “ Don ’ t do it, ’ says I, when he ups with his rifle."," "" Nedělej to, ' povídám, když zvedl ručnici."
"see","see","neuvidíš","uvidět","pf"," ‘ You only got that one shot, an ’ it ’ s too dark to see the sights. ’"," "" Máš jen tu jednu ránu a je tma, neuvidíš mušku. '"
"sat","sit","posadil","posadit","pf"," He mopped his heated face, and Strang sat down on a spruce log, smiling at the doctor, and, with the camaraderie of a pantheist, at all the landscape."," Zatímco si Linday otíral uhřátou tvář, Strang se posadil na smrkovou kládu a usmál se : nejprve na doktora a potom, s kamarádskostí panteisty, i na celou okolní krajinu."
"smiling","smile","usmál","usmát","pf"," He mopped his heated face, and Strang sat down on a spruce log, smiling at the doctor, and, with the camaraderie of a pantheist, at all the landscape."," Zatímco si Linday otíral uhřátou tvář, Strang se posadil na smrkovou kládu a usmál se : nejprve na doktora a potom, s kamarádskostí panteisty, i na celou okolní krajinu."
"stretched","stretch","protáhl","protáhnout","pf"," Strang shook his curly head and stretched his lithe body, living and joying in every fibre of it."," Strang zavrtěl kudrnatou hlavou a protáhl své mrštné tělo, překypující životem a radostí až do posledního vlákénka."
"Swimming","swim","plavala","plavat","impf"," Swimming in the darkness, strangling, suffocating, fighting for air, she was struck a heavy blow on the shoulder by a cocoanut."," Když přidušená a lapající po dechu plavala tmou, bolestivě ji do ramene zasáhl kokosový ořech."
"struck","strike","zasáhl","zasáhnout","pf"," Swimming in the darkness, strangling, suffocating, fighting for air, she was struck a heavy blow on the shoulder by a cocoanut."," Když přidušená a lapající po dechu plavala tmou, bolestivě ji do ramene zasáhl kokosový ořech."
"captured","capture","chytila","chytit","pf"," In the next hour she captured seven more."," Ořech chytila a během hodiny jich shromáždila dalších sedm."
"remember","remember","vzpomenout","vzpomenout","pf"," Won ’ t you, Grant, please just remember back ... a little ... oh, so little ... of what we were to each other ... then? ”"," Nemohl by sis, Grante, prosím tě, vzpomenout ... jen trochu ... docela málo ... co jsme jeden pro druhého tehdy znamenali? """
"smiled","smile","usmál","usmát","pf"," “ Now you ’ re taking advantage, ” he smiled, and returned to the attack on his thumb."," "" Teď využíváš situace, "" usmál se Linday a znovu se zabral do svého palce."
"taking","take","zabral","zabrat","pf"," “ Now you ’ re taking advantage, ” he smiled, and returned to the attack on his thumb."," "" Teď využíváš situace, "" usmál se Linday a znovu se zabral do svého palce."
"drew","draw","Vytáhl","vytáhnout","pf"," He drew the thorn out, inspected it critically, then concluded."," Vytáhl trn, kriticky ho přeměřil a dodal :"
"thank","thank","děkuju","děkovat","impf"," “ No, thank you."," "" Ne, děkuju pěkně."
"playing","play","hrát","hrát","impf"," I ’ m not playing the Good Samaritan. ”"," Nebudu si hrát na milosrdného samaritána. """
"urged","urge","naléhala","naléhat","impf"," “ Yet you made this hard journey for an unknown man, ” she urged."," "" A přesto jsi vykonal tuhle namáhavou cestu pro neznámého člověka, "" naléhala."
"located","locate","usadil","usadit","pf"," After that he located at Sheep Camp, organized the professional packers, and jumped the freight ten cents a pound in a single day."," Poté se usadil v táboře Sheep Camp, založil odborovou organizaci profesionálních baličů, a za jediný den zvýšil dopravné o deset centů na libru."
"opened","open","neotevřel","otevřít","pf"," Never before had the Klondike thus opened its arms to a che-chaqua."," Nikdy předtím neotevřel Klondike žádnému zelenáči tak doširoka svou náruč."
"gone","go","zahynul","zahynout","pf"," Every man of note who had gone south in the spring had been wiped out."," Každý, kdo něco znamenal a vydal se s jarem na jih, zahynul."
"hurried","hurry","spěchali","spěchat","impf"," Wild-eyed men hurried down from the creeks and gulches to seek out this man who had told a tale of such disaster."," Muži s poděšenými výrazy spěchali od všech potoků a roklí vyhledat člověka, který byl poslem oné zkázy."
"seek","seek","vyhledat","vyhledat","pf"," Wild-eyed men hurried down from the creeks and gulches to seek out this man who had told a tale of such disaster."," Muži s poděšenými výrazy spěchali od všech potoků a roklí vyhledat člověka, který byl poslem oné zkázy."
"said","say","řekl","říci","pf"," As I said before, I helped sew up his in ’ ards."," Jak už jsem řekl, pomáhal jsem šít jeho vnitřnosti."
"helped","help","pomáhal","pomáhat","impf"," As I said before, I helped sew up his in ’ ards."," Jak už jsem řekl, pomáhal jsem šít jeho vnitřnosti."
"sew","sew","šít","šít","impf"," As I said before, I helped sew up his in ’ ards."," Jak už jsem řekl, pomáhal jsem šít jeho vnitřnosti."
"say","say","Povídám","povídat","impf"," “ I say, Doc!"," "" Povídám, doktore!"
"go","go","pokračovat","pokračovat","impf"," The question is : can you go some more? - hear me?"," Teď běží o tohle : můžete pokračovat dál? - slyšíte mě?"
"hear","hear","slyšíte","slyšet","impf"," The question is : can you go some more? - hear me?"," Teď běží o tohle : můžete pokračovat dál? - slyšíte mě?"
"say","say","Říkám","říkat","impf"," I say, can you go some more? ”"," Říkám, můžete pokračovat dál? """
"go","go","pokračovat","pokračovat","impf"," I say, can you go some more? ”"," Říkám, můžete pokračovat dál? """
"tore","tear","odtrhla","odtrhnout","pf"," She tore a strip from her ahu and tied the pearl securely about her neck."," Nauri odtrhla proužek ze svého ahu a perlu si pevně uvázala kolem krku."
"found","find","našla","najít","pf"," Quickly she found one, and, as she glanced around, a second."," Zanedlouho jeden skutečně našla, a když se rozhlédla kolem, spatřila další."
"broke","break","rozbila","rozbít","pf"," She broke one, drinking its water, which was mildewy, and eating the last particle of the meat."," Jeden z ořechů rozbila, vypila mléko, které bylo zplesnivělé, a dužinu snědla do posledního kousku."
"drinking","drink","vypila","vypít","pf"," She broke one, drinking its water, which was mildewy, and eating the last particle of the meat."," Jeden z ořechů rozbila, vypila mléko, které bylo zplesnivělé, a dužinu snědla do posledního kousku."
"eating","eat","snědla","sníst","pf"," She broke one, drinking its water, which was mildewy, and eating the last particle of the meat."," Jeden z ořechů rozbila, vypila mléko, které bylo zplesnivělé, a dužinu snědla do posledního kousku."
"reported","report","hlásil","hlásit","impf"," “ Twenty-nine flat, ” Captain Lynch reported, coming out from another look at the barometer, a chair in his hand."," "" Dvacet devět rovných, "" hlásil kapitán Lynch, vynášeje z domu, kde se byl znovu podívat na barometr, židli."
"sat","sit","posadil","posadit","pf"," He sat down and stared at the spectacle of the sea."," Pak se posadil a upřel zrak na mořskou podívanou."
"lost","lose","prohrál","prohrát","pf"," But by the afternoon of the third day it became evident that he had lost in his race with spring."," Třetího dne odpoledne však už bylo zřejmé, že svůj závod s jarem prohrál."
"start","start","vyrazit","vyrazit","pf"," You ought to allow to start in ten minutes, an ’ we ought to make it back in less ’ n three days because the trail ’ s broke."," Měl byste se zařídit tak, abysme mohli za deset minut vyrazit, a zpáteční cestu bysme měli stihnout za míň jak tři dny, protože stezka je projetá."
"going","go","půjdu","jít","impf"," I ’ m going down to the dawgs now, an ’ I ’ ll look for you in ten minutes. ”"," Já teď půjdu za psama a za deset minut si vás najdu. """
"quit","quit","přestali","přestat","pf"," ‘ Better quit now, ’ says Harry."," "" Snad abysme přestali, ' povídá Harry."
"says","say","povídá","povídat","impf"," ‘ Better quit now, ’ says Harry."," "" Snad abysme přestali, ' povídá Harry."
"answers","answer","odpověděl","odpovědět","pf"," ‘ Because if you rap him again they won ’ t be no stick left for me, ’ Harry answers."," "" Protože jestli ho teď trefíš, nezůstane mi z toho klacku ani kousek, ' odpověděl Harry."
"win","win","vyhraju","vyhrát","pf"," ‘ Then you ’ ll quit an ’ I win, ’ says Rocky with a laugh, an ’ goes to it."," "" Potom to vzdáš a já vyhraju, ' zachechtá se Rocky a jde na to."
"goes","go","jde","jít","impf"," ‘ Then you ’ ll quit an ’ I win, ’ says Rocky with a laugh, an ’ goes to it."," "" Potom to vzdáš a já vyhraju, ' zachechtá se Rocky a jde na to."
"look","look","podívat","podívat","pf"," He went inside to look at the barometer."," Lynch vešel do domu podívat se na barometr."
"exclaim","exclaim","vykřikl","vykřiknout","pf"," “ Great God! ” they heard him exclaim, and rushed in to join him at staring at a dial, which marked twenty-nine-twenty."," "" Pane na nebi! "" vykřikl vzápětí a oba muži si pospíšili dovnitř podívat se na stupnici, která ukazovala dvacet devět dvacet."
"remained","remain","zůstávala","zůstávat","impf"," The squall had cleared away, but the sky remained overcast."," Přeháňka mezitím přešla, ale obloha zůstávala zatažená."
"found","find","našel","najít","pf"," “ Mapuhi has found a pearl."," "" Mapuhi našel perlu."
"turned","turn","otočilo","otočit","pf"," It turned over, and she saw that it had no face."," Když se otočilo, Nauri uviděla, že nemá obličej."
"saw","see","uviděla","uvidět","pf"," It turned over, and she saw that it had no face."," Když se otočilo, Nauri uviděla, že nemá obličej."
"passed","pass","Uplynula","uplynout","pf"," An hour passed."," Uplynula hodina."
"waiting","wait","Čekala","čekat","impf"," She was waiting to die, and it mattered little to her what man that thing of horror once might have been."," Čekala na smrt a málo jí záleželo na tom, kým snad mohla ta strašná věc v minulosti být."
"mattered","matter","záleželo","záležet","impf"," She was waiting to die, and it mattered little to her what man that thing of horror once might have been."," Čekala na smrt a málo jí záleželo na tom, kým snad mohla ta strašná věc v minulosti být."
"sat","sit","posadila","posadit","pf"," But at the end of the hour she sat up slowly and stared at the corpse."," Když se však hodina chýlila ke konci, Nauri se pomalu posadila a upřeně se na mrtvolu zadívala."
"give","give","dejte","dát","pf"," “ Then give me something to eat, for I am hungry, ” said Nauri, complacently."," "" Tak to mi dejte něco k jídlu, protože mám hlad, "" řekla Nauri spokojeně."
"said","say","řekla","říci","pf"," “ Then give me something to eat, for I am hungry, ” said Nauri, complacently."," "" Tak to mi dejte něco k jídlu, protože mám hlad, "" řekla Nauri spokojeně."
"sleep","sleep","spát","spát","impf"," “ And after that we will sleep, for I am weary."," "" A pak půjdeme spát, protože jsem unavená."
"sell","sell","prodáme","prodat","pf"," And tomorrow we will have more talk about the house before we sell the pearl."," A zítra, než tu perlu prodáme, si ještě promluvíme o tom domě."
"take","take","vezmeme","vzít","pf"," It will be better if we take the thousand French in cash."," Bude lepší, když si těch tisíc francouzských vezmeme v hotovosti."
"gained","gain","nedosáhli","dosáhnout","pf"," Travel on the river was passing from the precarious to the impossible, and it was nip and tuck with them till they gained the island and came up the path of the wood-choppers toward the cabin."," Cestování po řece se postupně měnilo z ošidného na nemožné a muži bojovali z posledních sil, dokud nedosáhli ostrova a nevydali se dřevorubeckou stezkou ke srubu."
"towed","tow","vléci","vléci","impf"," One of them, snow-blind, towed helplessly at the rear of a sled."," Jeden z nich byl stižen sněžnou slepotou a nechával se bezmocně vléci na konci saní."
"see","see","sledovala","sledovat","impf"," “ Besides, I don ’ t see how killing me will help your Rex Strang. ”"," Žena zhluboka vydechla, sevřela rty a sledovala, jak si jeho bystré oči všímají třasu, který ji ovládl."
"remember","remember","Vzpomínáš","vzpomínat","impf"," “ Do you remember Lake Geneva? ”"," "" Vzpomínáš na Ženevské jezero? """
"nodded","nod","přikývla","přikývnout","pf"," She nodded, and her eyes were luminous."," Žena přikývla, její oči zářily."
"finish","finish","nedohrajeme","dohrát","pf"," “ Seems we just can ’ t finish this rubber, ” he complained, as the door opened."," "" Vypadá to, že tenhle robber prostě nedohrajeme, "" stěžoval si, zatímco se otevíraly dveře."
"opened","open","otevíraly","otevírat","impf"," “ Seems we just can ’ t finish this rubber, ” he complained, as the door opened."," "" Vypadá to, že tenhle robber prostě nedohrajeme, "" stěžoval si, zatímco se otevíraly dveře."
"entered","enter","vstoupil","vstoupit","pf"," “ What ’ s the matter with you? ” - this last to the stranger who entered."," "" A copak se přihodilo vám? "" - poslední slova patřila cizinci, který právě vstoupil."
"breathed","breathe","dýchal","dýchat","impf"," From nose to chin was a mass of solid ice perforated by the hole through which he breathed."," Od nosu k bradě se táhla souvislá ledová vrstva, proděravěná otvorem, kterým dýchal."
"sprang","spring","vyskočil","vyskočit","pf"," The first mate of the Aorai sprang ashore, exchanged a word with the one-armed native, then hurried toward Raoul."," První důstojník Aorai vyskočil na břeh, krátce promluvil s jednorukým domorodcem a spěchal za Raoulem."
"hurried","hurry","spěchal","spěchat","impf"," The first mate of the Aorai sprang ashore, exchanged a word with the one-armed native, then hurried toward Raoul."," První důstojník Aorai vyskočil na břeh, krátce promluvil s jednorukým domorodcem a spěchal za Raoulem."
"obscured","obscure","zakrylo","zakrýt","pf"," The day grew suddenly dark, as a squall obscured the face of the sun."," Bouřkové mračno zakrylo slunce a denní obloha náhle potemněla."
"see","see","spatřil","spatřit","pf"," Across the lagoon Raoul could see approaching the ominous line of the puff of wind."," Na hladině laguny spatřil Raoul blížící se zlověstnou linii vanoucího větru."
"says","say","řekl","říci","pf"," “ Captain Raffy says you ’ ve got to get to hell outa here, ” was the mate ’ s greeting."," "" Kapitán Raffy vzkazuje, že odsud máte co nejrychleji vypadnout, "" řekl důstojník namísto pozdravu."
"kissed","kiss","Políbil","políbit","pf"," He kissed - oh, several times and for several weeks - and rode away."," Políbil, ne jednou - zdržel se několik týdnů -, a ujel."
"thought","think","domníval","domnívat","impf"," She possessed for him what I thought you possessed for me ... at Lake Geneva."," V té ženě alespoň na chvíli našel to, co jsem já, jak jsem se domníval, našel v tobě ... na Ženevském jezeře."
"agreed","agree","shodli","shodnout","pf"," Camped well in the dark and forbidding gorge, over their pipe that evening they complained of the heat, and both agreed that the thermometer must be above zero, - the first time in six months."," Když se toho večera utábořili v hloubi temné a nepřívětivé rokliny, stěžovali si při dýmce na horko a shodli se, že teploměr musí být nad nulou - poprvé za půl roku."
"heard","hear","neslyšel","slyšet","impf"," “ Nobody ever heard tell of a panther this far north, ” Daw was saying."," "" Nikdo jaktěživ neslyšel, že by se panter někdy objevil takhle vysoko na severu, "" řekl Daw."
"tell","tell","řekl","říci","pf"," “ Nobody ever heard tell of a panther this far north, ” Daw was saying."," "" Nikdo jaktěživ neslyšel, že by se panter někdy objevil takhle vysoko na severu, "" řekl Daw."
"saying","say","řekl","říci","pf"," “ Nobody ever heard tell of a panther this far north, ” Daw was saying."," "" Nikdo jaktěživ neslyšel, že by se panter někdy objevil takhle vysoko na severu, "" řekl Daw."
"called","call","říkal","říkat","impf"," “ Rocky called it a cougar."," "" Rocky říkal, že to byla puma."
"want","want","nechtěl","chtít","impf"," “ An ’ I don ’ t want to see anything like it again."," V životě bych už nechtěl něco podobnýho vidět."
"see","see","vidět","vidět","impf"," “ An ’ I don ’ t want to see anything like it again."," V životě bych už nechtěl něco podobnýho vidět."
"got","get","Dostala","dostat","pf"," The cat got him."," Dostala ho."
"shoot","shoot","Střílet","střílet","impf"," No chance to shoot."," Střílet se nedalo."
"mean","mean","chceš","chtít","impf"," “ You mean you will kill him, ” she said slowly."," "" Tím chceš říct, že ho zabiješ, "" řekla pomalu."
"said","say","říct","říci","pf"," “ You mean you will kill him, ” she said slowly."," "" Tím chceš říct, že ho zabiješ, "" řekla pomalu."
"kill","kill","zabiješ","zabít","pf"," “ You mean you will kill him, ” she said slowly."," "" Tím chceš říct, že ho zabiješ, "" řekla pomalu."
"said","say","řekla","říci","pf"," “ You mean you will kill him, ” she said slowly."," "" Tím chceš říct, že ho zabiješ, "" řekla pomalu."
"doing","do","neuděláš","udělat","pf"," “ Kill him by doing nothing, for you can save him if you will. ”"," "" Zabiješ ho tím, že nic neuděláš, protože kdybys chtěl, mohl bys ho zachránit. """
"save","save","zachránit","zachránit","pf"," “ Kill him by doing nothing, for you can save him if you will. ”"," "" Zabiješ ho tím, že nic neuděláš, protože kdybys chtěl, mohl bys ho zachránit. """
"Take","take","ber","brát","impf"," “ Take it that way. ”"," "" Chceš - li, ber to tak. """
"looked","look","podíval","podívat","pf"," Captain Lynch looked at his watch."," Kapitán Lynch se podíval na hodinky."
"see","see","neviděla","vidět","impf"," She could not see Hikueru, but she knew that it lay to the south."," Přestože Hikueru neviděla, věděla, že leží na jihu."
"lay","lie","leží","ležet","impf"," She could not see Hikueru, but she knew that it lay to the south."," Přestože Hikueru neviděla, věděla, že leží na jihu."
"clasped","clasp","sevřel","sevřít","pf"," Then, being Tahitian-born, he doubled his body at the waist, clasped the trunk of his tree with his hands, pressed the soles of his feet against the near surface of the trunk, and began to walk up the tree."," Raoul nezapřel svůj tahitský původ, ohnul se v pase, pažemi sevřel kmen stromu, chodidly se zapřel o jeho povrch a dal se do šplhání."
"pressed","press","sevřel","sevřít","pf"," Then, being Tahitian-born, he doubled his body at the waist, clasped the trunk of his tree with his hands, pressed the soles of his feet against the near surface of the trunk, and began to walk up the tree."," Raoul nezapřel svůj tahitský původ, ohnul se v pase, pažemi sevřel kmen stromu, chodidly se zapřel o jeho povrch a dal se do šplhání."
