"says","say","říkají","říkat","impf"," some says gal, some says girl – both 's right, like enough."," Někteří říkají holka a jiní děvče, ale myslím, že to vyjde na stejno."
"tell","tell","řekl","říci","pf"," "" Huck, they could n't anybody get you to tell, could they? """," "" Hucku, viď, že by tě nikdo nemohl přinutit, abys to řekl? """
"wanted","want","chtěl","chtít","impf"," Why, if I wanted that half-breed devil to drownd me they could get me to tell."," Kdybych chtěl, aby mě ten čertův míšenec utopil, tak by mě přinutit mohli."
"pronounced","pronounce","řečeno","říci","pf"," At last he was pronounced upon the mend – and then convalescent."," A nakonec bylo řečeno, že překonal krizi, a potom už byl dokonce prohlášen rekonvalescentem."
"pronounced","pronounce","prohlášen","prohlásit","pf"," At last he was pronounced upon the mend – and then convalescent."," A nakonec bylo řečeno, že překonal krizi, a potom už byl dokonce prohlášen rekonvalescentem."
"died","die","umřel","umřít","pf"," He handed in his resignation at once – and that night the Judge suffered a relapse and died."," Okamžitě oznámil, že se vzdává členství v Řádu, a téže noci se soudcova nemoc vrátila a soudce umřel."
"trust","trust","důvěřovat","důvěřovat","impf"," Tom resolved that he would never trust a man like that again."," Tom si umínil, že už jakživ nebude nikomu tak důvěřovat."
"lay","lie","ležel","ležet","impf"," it lay far over toward the further shore, abreast a dense and almost wholly unpeopled forest."," Byl neobydlený a ležel daleko při druhé straně řeky, jejíž břehy v těchto místech pokrývaly husté lesy, v nichž skoro nikdo nežil."
"did","do","provozována","provozovat","impf"," Who were to be the subjects of their piracies was a matter that did not occur to them."," Na čí útraty bude provozována pirátská živnost, to byla okolnost, jíž si hlavu nelámali."
"recollect","recollect","vzpomenout","vzpomenout","pf"," He could not recollect that the closing word had ever been applied in his case before."," Nedovedl si vzpomenout, že by závěrečnou formuli někdo v jeho případě použil."
"applied","apply","použil","použít","pf"," He could not recollect that the closing word had ever been applied in his case before."," Nedovedl si vzpomenout, že by závěrečnou formuli někdo v jeho případě použil."
"unlocked","unlock","otevřely","otevřít","pf"," The door was quickly unlocked, and he entered."," Dveře se otevřely a hoch vstoupil."
"entered","enter","vstoupil","vstoupit","pf"," The door was quickly unlocked, and he entered."," Dveře se otevřely a hoch vstoupil."
"dressed","dress","oblékli","obléknout","pf"," Huck was given a seat and the old man and his brace of tall sons speedily dressed themselves."," Nabídli Huckovi židli a starý muž a dvojice jeho mohutných synů se rychle oblékli."
"finish","finish","nedokončila","dokončit","pf"," She did not finish, for by this time she was bending down and punching under the bed with the broom, and so she needed breath to punctuate the punches with."," Větu nedokončila, neboť v tu chvíli už byla sehnutá a šťárala smetákem pod postelí, a tak potřebovala všechen dech, aby dodala šťouchancům důrazu."
"needed","need","potřebovala","potřebovat","impf"," She did not finish, for by this time she was bending down and punching under the bed with the broom, and so she needed breath to punctuate the punches with."," Větu nedokončila, neboť v tu chvíli už byla sehnutá a šťárala smetákem pod postelí, a tak potřebovala všechen dech, aby dodala šťouchancům důrazu."
"see","see","neviděl","vidět","impf"," "" I never did see the beat of that boy! """," "" To svět neviděl, co si ten chlapec dovoluje! """
"began","begin","začali","začít","pf"," At this moment the crowd began to sway and struggle, and voices shouted,"," V tu chvíli se lidé začali vrtět a otáčet."
"flew","fly","letěla","letět","impf"," the tale flew from man to man, from group to group, from house to house, with little less than telegraphic speed."," Zpráva letěla od člověka k člověku, od hloučku k hloučku, od domu k domu rychlostí, jež rychlosti telegrafu zadala jen maličko."
"recognized","recognize","poznal","poznat","pf"," A gory knife had been found close to the murdered man, and it had been recognized by somebody as belonging to Muff Potter – so the story ran."," Poblíž zavražděného byl nalezen zkrvavený nůž a někdo - tak pravila pověst - v noži poznal majetek Muffa Pottera."
"found","find","Našel","najít","pf"," He found Joe Harper studying a Testament, and turned sadly away from the depressing spectacle."," Našel Joea Harpera, jak studuje Nový zákon, a smutně se odvrátil od této skličující podívané."
"studying","study","studuje","studovat","impf"," He found Joe Harper studying a Testament, and turned sadly away from the depressing spectacle."," Našel Joea Harpera, jak studuje Nový zákon, a smutně se odvrátil od této skličující podívané."
"turned","turn","odvrátil","odvrátit","pf"," He found Joe Harper studying a Testament, and turned sadly away from the depressing spectacle."," Našel Joea Harpera, jak studuje Nový zákon, a smutně se odvrátil od této skličující podívané."
"sought","seek","Vyhledal","vyhledat","pf"," He sought Ben Rogers, and found him visiting the poor with a basket of tracts."," Vyhledal Bena Rogerse - nesl koš plný náboženských letáků a šel navštěvovat chudé."
"found","find","Vyhledal","vyhledat","pf"," He sought Ben Rogers, and found him visiting the poor with a basket of tracts."," Vyhledal Bena Rogerse - nesl koš plný náboženských letáků a šel navštěvovat chudé."
"visiting","visit","navštěvovat","navštěvovat","impf"," He sought Ben Rogers, and found him visiting the poor with a basket of tracts."," Vyhledal Bena Rogerse - nesl koš plný náboženských letáků a šel navštěvovat chudé."
"called","call","upozornil","upozornit","pf"," He hunted up Jim Hollis, who called his attention to the precious blessing of his late measles as a warning."," Vyslídil Jima Hollise, který ho upozornil na nedocenitelné požehnání, jež představují spalničky jako boží výstraha."
"encountered","encounter","potkal","potkat","pf"," Every boy he encountered added another ton to his depression;"," Každý hoch, kterého potkal, přidal další hořkou kapku do kalichu jeho sklíčenosti."
"added","add","přidal","přidat","pf"," Every boy he encountered added another ton to his depression;"," Každý hoch, kterého potkal, přidal další hořkou kapku do kalichu jeho sklíčenosti."
"counted","count","spočítali","spočítat","pf"," Then the dead were counted, prisoners exchanged, the terms of the next disagreement agreed upon, and the day for the necessary battle appointed;"," Pak spočítali mrtvé a vyměnili zajatce a obé strany se shodly na příští neshodě a ustanovily den pro vybojování příslušné bitvy."
"exchanged","exchange","vyměnili","vyměnit","pf"," Then the dead were counted, prisoners exchanged, the terms of the next disagreement agreed upon, and the day for the necessary battle appointed;"," Pak spočítali mrtvé a vyměnili zajatce a obé strany se shodly na příští neshodě a ustanovily den pro vybojování příslušné bitvy."
"agreed","agree","shodly","shodnout","pf"," Then the dead were counted, prisoners exchanged, the terms of the next disagreement agreed upon, and the day for the necessary battle appointed;"," Pak spočítali mrtvé a vyměnili zajatce a obé strany se shodly na příští neshodě a ustanovily den pro vybojování příslušné bitvy."
"appointed","appoint","ustanovily","ustanovit","pf"," Then the dead were counted, prisoners exchanged, the terms of the next disagreement agreed upon, and the day for the necessary battle appointed;"," Pak spočítali mrtvé a vyměnili zajatce a obé strany se shodly na příští neshodě a ustanovily den pro vybojování příslušné bitvy."
"passing","pass","míjel","míjet","impf"," As he was passing by the house where Jeff Thatcher lived, he saw a new girl in the garden - a lovely little blue-eyed creature with yellow hair plaited into two long-tails, white summer frock and embroidered pantalettes."," Když míjel dům, kde bydlel Jeff Thatcher, spatřil v zahradě nové děvčátko - líbezné modrooké stvořeníčko se zlatými vlasy, spletenými ve dva dlouhé copy, v bílých letních šatičkách, zpod nichž koukaly vyšívané okraje kalhotek."
"lived","live","bydlel","bydlet","impf"," As he was passing by the house where Jeff Thatcher lived, he saw a new girl in the garden - a lovely little blue-eyed creature with yellow hair plaited into two long-tails, white summer frock and embroidered pantalettes."," Když míjel dům, kde bydlel Jeff Thatcher, spatřil v zahradě nové děvčátko - líbezné modrooké stvořeníčko se zlatými vlasy, spletenými ve dva dlouhé copy, v bílých letních šatičkách, zpod nichž koukaly vyšívané okraje kalhotek."
"saw","see","spatřil","spatřit","pf"," As he was passing by the house where Jeff Thatcher lived, he saw a new girl in the garden - a lovely little blue-eyed creature with yellow hair plaited into two long-tails, white summer frock and embroidered pantalettes."," Když míjel dům, kde bydlel Jeff Thatcher, spatřil v zahradě nové děvčátko - líbezné modrooké stvořeníčko se zlatými vlasy, spletenými ve dva dlouhé copy, v bílých letních šatičkách, zpod nichž koukaly vyšívané okraje kalhotek."
"saw","see","koukaly","koukat","impf"," As he was passing by the house where Jeff Thatcher lived, he saw a new girl in the garden - a lovely little blue-eyed creature with yellow hair plaited into two long-tails, white summer frock and embroidered pantalettes."," Když míjel dům, kde bydlel Jeff Thatcher, spatřil v zahradě nové děvčátko - líbezné modrooké stvořeníčko se zlatými vlasy, spletenými ve dva dlouhé copy, v bílých letních šatičkách, zpod nichž koukaly vyšívané okraje kalhotek."
"leave","leave","nenechávej","nechávat","impf"," Move, now, and do n't leave any tracks behind you. """," Hni sebou a nenechávej po sobě žádné stopy! """
"looking","look","díval","dívat","impf"," The half-breed stood looking after him."," Míšenec stál a díval se za ním."
"hurt","hurt","neublíží","ublížit","pf"," Water wo n't hurt you. """," Voda ti neublíží. """
"entered","enter","vstoupil","vstoupit","pf"," When he entered the kitchen presently, with both eyes shut and groping for the towel with his hands, an honorable testimony of suds and water was dripping from his face."," Když za chviličku vstoupil do kuchyně, maje zavřené obě oči a šmátraje rukama po ručníku, kapala mu z tváře voda s mydlinami, doklad to čestně splněného úkolu."
"forgotten","forget","zapomene","zapomenout","pf"," Not because his troubles were one whit less heavy and bitter to him than a man 's are to a man, but because a new and powerful interest bore them down and drove them out of his mind for the time - just as men 's misfortunes are forgotten in the excitement of new enterprises."," Ne proto, že by jeho starosti byly třebas o poznání méně těžké nebo méně trpké, než jsou muži starosti muže, ale proto, že nad starostmi nabyl vrchu a starosti z jeho mysli vypudil mocný nový zájem - stejně jako muž zapomene na své neštěstí ve vzruchu nových podnikání."
"acquired","acquire","získal","získat","pf"," This new interest was a valued novelty in whistling, which he had just acquired from a negro, and he was suffering to practise it undisturbed."," Novým zájmem Toma byla cenná novinka v oboru hvízdání, kterou získal od jakéhosi černocha, a už se nemohl dočkat, až ji bude moci cvičit v nerušeném ústraní."
"practise","practise","cvičit","cvičit","impf"," This new interest was a valued novelty in whistling, which he had just acquired from a negro, and he was suffering to practise it undisturbed."," Novým zájmem Toma byla cenná novinka v oboru hvízdání, kterou získal od jakéhosi černocha, a už se nemohl dočkat, až ji bude moci cvičit v nerušeném ústraní."
"avert","avert","odvrátili","odvrátit","pf"," But they discovered the danger in time, and made shift to avert it."," Postřehli však nebezpečí a v poslední chvíli je odvrátili."
"shot","shoot","vystřelil","vystřelit","pf"," Then he shot the arrow and fell back and would have died, but he lit on a nettle and sprang up too gaily for a corpse."," Potom vystřelil šíp a padl naznak - a byl by umřel, ale padl do kopřiv a vyskočil mnohem čiperněji, než mají mrtvoly ve zvyku."
"fell","fall","padl","padnout","pf"," Then he shot the arrow and fell back and would have died, but he lit on a nettle and sprang up too gaily for a corpse."," Potom vystřelil šíp a padl naznak - a byl by umřel, ale padl do kopřiv a vyskočil mnohem čiperněji, než mají mrtvoly ve zvyku."
"lit","light","padl","padnout","pf"," Then he shot the arrow and fell back and would have died, but he lit on a nettle and sprang up too gaily for a corpse."," Potom vystřelil šíp a padl naznak - a byl by umřel, ale padl do kopřiv a vyskočil mnohem čiperněji, než mají mrtvoly ve zvyku."
"died","die","umřel","umřít","pf"," Then he shot the arrow and fell back and would have died, but he lit on a nettle and sprang up too gaily for a corpse."," Potom vystřelil šíp a padl naznak - a byl by umřel, ale padl do kopřiv a vyskočil mnohem čiperněji, než mají mrtvoly ve zvyku."
"fell","fall","padl","padnout","pf"," Then he shot the arrow and fell back and would have died, but he lit on a nettle and sprang up too gaily for a corpse."," Potom vystřelil šíp a padl naznak - a byl by umřel, ale padl do kopřiv a vyskočil mnohem čiperněji, než mají mrtvoly ve zvyku."
"lit","light","padl","padnout","pf"," Then he shot the arrow and fell back and would have died, but he lit on a nettle and sprang up too gaily for a corpse."," Potom vystřelil šíp a padl naznak - a byl by umřel, ale padl do kopřiv a vyskočil mnohem čiperněji, než mají mrtvoly ve zvyku."
"sprang","spring","vyskočil","vyskočit","pf"," Then he shot the arrow and fell back and would have died, but he lit on a nettle and sprang up too gaily for a corpse."," Potom vystřelil šíp a padl naznak - a byl by umřel, ale padl do kopřiv a vyskočil mnohem čiperněji, než mají mrtvoly ve zvyku."
"understood","understand","rozumělo","rozumět","impf"," As the boys steadily and monotonously drove the raft toward mid-stream it was no doubt understood that these orders were given only for "" style, "" and were not intended to mean anything in particular."," Jelikož hoši rejdovali vor neochvějně a stejnoměrně do středu proudu, rozumělo se asi samo sebou, že povely jsou pro "" parádu "" a ne pro řízení plavidla."
"carrying","carry","máme","mít","impf"," "" What sail 's she carrying? """," "" Jaké plachty máme nahoře? """
"tried","try","snažil","snažit","impf"," I might a been good, like Sid, if I 'd a tried – but no, I would n't, of course."," Mohl jsem být tak hodný jako Sid, kdybych se snažil - ale kdepak, to se ví, že jsem se nesnažil."
"tried","try","nesnažil","snažit","impf"," I might a been good, like Sid, if I 'd a tried – but no, I would n't, of course."," Mohl jsem být tak hodný jako Sid, kdybych se snažil - ale kdepak, to se ví, že jsem se nesnažil."
"began","begin","začal","začít","pf"," And Tom began to snuffle a little."," Tom začal malinko natahovat moldánky."
"raised","raise","pozvedl","pozvednout","pf"," the minister raised his streaming eyes above his handkerchief, and stood transfixed!"," Kněz pozvedl uslzené oči nad kapesník a zůstal jako zkamenělý."
"talks","talk","mluví","mluvit","impf"," She talks awful, but talk do n't hurt - anyways it do n't if she do n't cry."," Hrozně mluví, ale mluvení nebolí - nebolí to, dokud nepláče."
"hurt","hurt","nebolí","bolet","impf"," She talks awful, but talk do n't hurt - anyways it do n't if she do n't cry."," Hrozně mluví, ale mluvení nebolí - nebolí to, dokud nepláče."
"hurt","hurt","nebolí","bolet","impf"," She talks awful, but talk do n't hurt - anyways it do n't if she do n't cry."," Hrozně mluví, ale mluvení nebolí - nebolí to, dokud nepláče."
"cry","cry","nepláče","plakat","impf"," She talks awful, but talk do n't hurt - anyways it do n't if she do n't cry."," Hrozně mluví, ale mluvení nebolí - nebolí to, dokud nepláče."
"give","give","dám","dát","pf"," Jim, I 'll give you a marvel."," Jime, dám ti kuličku."
"give","give","Dám","dát","pf"," I 'll give you a white alley! """," Dám ti velkou bílou kuličku! """
"will","will","chceš","chtít","impf"," "" And besides, if you will I 'll show you my sore toe. """," "" A kromě toho, jestli chceš, ukážu ti svůj bolavý palec. """
"show","show","ukážu","ukázat","pf"," "" And besides, if you will I 'll show you my sore toe. """," "" A kromě toho, jestli chceš, ukážu ti svůj bolavý palec. """
"avenged","avenge","pomstěni","pomstít","pf"," The boys were avenged."," Hoši byli pomstěni."
"playing","play","hrál","hrát","impf"," And now, as usual of late, he hung about the gate of the schoolyard instead of playing with his comrades."," A teď - stejně jako vždycky poslední dobou - lelkoval u vrat do dvora, místo aby si hrál s kamarády."
"said","say","Říkal","říkat","impf"," He was sick, he said, and he looked it."," Říkal, že je nemocný, a také na to vypadal."
"feel","feel","necítil","cítit","impf"," His heart was heavy, and he said with a disdain which he did not feel that it was n't anything to spit like Tom Sawyer;"," S těžkým srdcem a s pohrdáním, jež necítil, řekl, že plivat jako Tom Sawyer nic není."
"said","say","řekl","říci","pf"," His heart was heavy, and he said with a disdain which he did not feel that it was n't anything to spit like Tom Sawyer;"," S těžkým srdcem a s pohrdáním, jež necítil, řekl, že plivat jako Tom Sawyer nic není."
"said","say","řekl","říci","pf"," but another boy said, "" Sour grapes! "" and he wandered away a dismantled hero."," Ale jiný hoch řekl jen KYSELÉ HROZNY a chlapec odešel - hrdina, jehož doba minula."
"heard","hear","vyslechl","vyslechnout","pf"," Huck was irritated to think he had been such a goose and betrayed such a suspicious excitement, for he had dropped the idea that the parcel brought from the tavern was the treasure, as soon as he had heard the talk at the widow 's stile."," Hucka hnětlo pomyšlení, že byl taková ovce a dal znát tak podezřelé vzrušení, neboť domněnku, že balík z hostince obsahoval poklad, už zavrhl, jakmile vyslechl hovor u vdovina plotu."
"thought","think","MYSLEL","myslet","impf"," He had only thought it was not the treasure, however – he had not known that it was n't – and so the suggestion of a captured bundle was too much for his self-possession."," Ovšem jenom MYSLEL, že to není poklad, neměl JISTOTU, a tak zmínka o nalezeném balíku porazila jeho sebeovládání."
"thought","think","neměl","mít","impf"," He had only thought it was not the treasure, however – he had not known that it was n't – and so the suggestion of a captured bundle was too much for his self-possession."," Ovšem jenom MYSLEL, že to není poklad, neměl JISTOTU, a tak zmínka o nalezeném balíku porazila jeho sebeovládání."
"went","go","šel","jít","impf"," and then you looked so good, laying there asleep, that I thought I went and leaned over and kissed you on the lips. """," Vy jste ve spaní vypadala tak milá a hodná, že jsem šel a políbil vás na ústa. """
"kissed","kiss","políbil","políbit","pf"," and then you looked so good, laying there asleep, that I thought I went and leaned over and kissed you on the lips. """," Vy jste ve spaní vypadala tak milá a hodná, že jsem šel a políbil vás na ústa. """
"came","come","šel","jít","impf"," Tom was out late, that night, and came to bed through the window."," Tom byl onoho večera dlouho venku a šel spát oknem."
"sleep","sleep","usnul","usnout","pf"," It was hours before he got to sleep."," Trvalo hodiny, než usnul."
"represented","represent","zastoupena","zastoupit","pf"," Both sexes were about equally represented in the packed audience."," V přeplněné soudní síni byla obě pohlaví zastoupena celkem stejnoměrně."
"took","take","zaujala","zaujmout","pf"," After a long wait the jury filed in and took their places;"," Po dlouhém čekání vešla husím pochodem porota a zaujala místo."
"said","say","řekla","říci","pf"," Next you said I war n't BAD, only mischeevous and harum-scarum, and not any more responsible than – than – I think it was a colt, or something. """," Potom jste řekla, že nejsem zlý, jenom darebný a do větru, a že za to nemůžu, jako za to nemůže ani ... ani ... myslím, že to bylo hříbě nebo něco takového. """
"think","think","myslím","myslet","impf"," Next you said I war n't BAD, only mischeevous and harum-scarum, and not any more responsible than – than – I think it was a colt, or something. """," Potom jste řekla, že nejsem zlý, jenom darebný a do větru, a že za to nemůžu, jako za to nemůže ani ... ani ... myslím, že to bylo hříbě nebo něco takového. """
"began","begin","začala","začít","pf"," "" And then you began to cry. """," "" Potom jste začala plakat. """
"cry","cry","plakat","plakat","impf"," "" And then you began to cry. """," "" Potom jste začala plakat. """
"found","find","Našel","najít","pf"," He found Huck still in the bed that had been provided for him, and delirious with fever."," Našel Hucka ještě v posteli, blouznícího horečkou."
"came","come","přišla","přijít","pf"," The physicians were all at the cave, so the Widow Douglas came and took charge of the patient."," Všichni lékaři byli v jeskyni, tak přišla vdova Douglasová a ujala se ošetřování pacienta."
"recognized","recognize","poznala","poznat","pf"," Mrs. Thatcher recognized the ribbon and cried over it."," Pani Thatcherová stuhu poznala a plakala nad ní."
"cried","cry","plakala","plakat","impf"," Mrs. Thatcher recognized the ribbon and cried over it."," Pani Thatcherová stuhu poznala a plakala nad ní."
"find","find","nenajdeme","najít","pf"," "" Tom, we 'll never find him."," "" Tome, toho už jakživi nenajdeme."
"see","see","potkal","potkat","pf"," I 'd feel mighty shaky if I was to see him, anyway. """," A ostatně, taky by mi notně drkotala kolena, kdybych ho potkal. """
"thinking","think","myslel","myslet","impf"," I been thinking ' bout that."," Já jsem na to moc myslel."
"play","play","hraju","hrát","impf"," I play with frogs so much that I 've always got considerable many warts."," Já si, Hucku, hraju tolik s žábami, že se mi pořád dělají nové."
"formed","form","tvořila","tvořit","impf"," useless labor, too, it was, for the native rock formed a sill outside it, and upon that stubborn material the knife had wrought no effect;"," A byla to bezúčelná práce, neboť skála tvořila venku zvýšený práh a s tímto nepoddajným materiálem nůž nic nepořídil."
"met","meet","setkali","setkat","pf"," In a little while the two met at the bottom of the lane, and when they reached the school they had it all to themselves."," Za chvilečku se oba setkali na konci aleje, a když přišli do školy, měli celou budovu pro sebe."
"sat","sit","seděli","sedět","impf"," Then they sat together, with a slate before them, and Tom gave Becky the pencil and held her hand in his, guiding it, and so created another surprising house."," Potom seděli spolu s tabulkou na stole a Tom dal Becky pisátko a vedl jí ruku a tak stvořil další mimořádný dům."
"gave","give","dal","dát","pf"," Then they sat together, with a slate before them, and Tom gave Becky the pencil and held her hand in his, guiding it, and so created another surprising house."," Potom seděli spolu s tabulkou na stole a Tom dal Becky pisátko a vedl jí ruku a tak stvořil další mimořádný dům."
"guiding","guide","vedl","vést","impf"," Then they sat together, with a slate before them, and Tom gave Becky the pencil and held her hand in his, guiding it, and so created another surprising house."," Potom seděli spolu s tabulkou na stole a Tom dal Becky pisátko a vedl jí ruku a tak stvořil další mimořádný dům."
"created","create","stvořil","stvořit","pf"," Then they sat together, with a slate before them, and Tom gave Becky the pencil and held her hand in his, guiding it, and so created another surprising house."," Potom seděli spolu s tabulkou na stole a Tom dal Becky pisátko a vedl jí ruku a tak stvořil další mimořádný dům."
"began","begin","začali","začít","pf"," When the interest in art began to wane, the two fell to talking."," Když zájem o umění ochabl, začali si povídat."
"expecting","expect","myslel","myslet","impf"," What were YOU expecting we 'd found? """," Co jsi myslel, že jsme našli? """
"found","find","našli","najít","pf"," What were YOU expecting we 'd found? """," Co jsi myslel, že jsme našli? """
"kill","kill","zabít","zabít","pf"," And if I have to kill you, I 'll kill her – and then I reckon nobody 'll ever know much about who done this business. """," A jestli budu muset zabít tebe, zabiju také ji - a potom už nebude vůbec nikdo vědět, kdo to všechno udělal. """
"kill","kill","zabít","zabít","pf"," And if I have to kill you, I 'll kill her – and then I reckon nobody 'll ever know much about who done this business. """," A jestli budu muset zabít tebe, zabiju také ji - a potom už nebude vůbec nikdo vědět, kdo to všechno udělal. """
"kill","kill","zabiju","zabít","pf"," And if I have to kill you, I 'll kill her – and then I reckon nobody 'll ever know much about who done this business. """," A jestli budu muset zabít tebe, zabiju také ji - a potom už nebude vůbec nikdo vědět, kdo to všechno udělal. """
"kill","kill","zabiju","zabít","pf"," And if I have to kill you, I 'll kill her – and then I reckon nobody 'll ever know much about who done this business. """," A jestli budu muset zabít tebe, zabiju také ji - a potom už nebude vůbec nikdo vědět, kdo to všechno udělal. """
"done","do","udělal","udělat","pf"," And if I have to kill you, I 'll kill her – and then I reckon nobody 'll ever know much about who done this business. """," A jestli budu muset zabít tebe, zabiju také ji - a potom už nebude vůbec nikdo vědět, kdo to všechno udělal. """
"Do","do","Udělat","udělat","pf"," "" Do it NOW?"," "" Udělat to hned?"
"noticed","notice","všiml","všimnout","pf"," he noticed, too, that Tom never acted as a witness – and that was strange;"," Také si všiml, že Tom nikdy nevystoupil jako svědek - a to bylo divné."
"overlook","overlook","nepřehlédl","přehlédnout","pf"," and Sid did not overlook the fact that Tom even showed a marked aversion to these inquests, and always avoided them when he could."," Sid nepřehlédl ani skutečnost, že Tom dokonce projevuje odpor proti takové zábavě a že se jí, pokud může, vyhýbá."
"showed","show","projevuje","projevovat","impf"," and Sid did not overlook the fact that Tom even showed a marked aversion to these inquests, and always avoided them when he could."," Sid nepřehlédl ani skutečnost, že Tom dokonce projevuje odpor proti takové zábavě a že se jí, pokud může, vyhýbá."
"avoided","avoid","vyhýbá","vyhýbat","impf"," and Sid did not overlook the fact that Tom even showed a marked aversion to these inquests, and always avoided them when he could."," Sid nepřehlédl ani skutečnost, že Tom dokonce projevuje odpor proti takové zábavě a že se jí, pokud může, vyhýbá."
"marvelled","marvel","divil","divit","impf"," Sid marvelled, but said nothing."," Sid se divil, ale mlčel."
"ceased","cease","přestala","přestat","pf"," However, even inquests went out of vogue at last, and ceased to torture Tom 's conscience."," Tak či onak, i koronerova řízení vyšla nakonec z módy a přestala týrat Tomovo svědomí."
"causing","cause","způsobil","způsobit","pf"," Tom routed him out, told him the trouble he had been causing, and urged him to go home."," Tom ho vystrnadil ze sudu, vylíčil mu rozruch, který způsobil, a domlouval mu, aby se vrátil domů."
"tried","try","zkoušel","zkoušet","impf"," I 've tried it, and it do n't work;"," "" Já to zkoušel, ale nejde to."
"do","do","nejde","jít","impf"," I 've tried it, and it do n't work;"," "" Já to zkoušel, ale nejde to."
"work","work","nejde","jít","impf"," I 've tried it, and it do n't work;"," "" Já to zkoušel, ale nejde to."
"do","do","Nejde","jít","impf"," it do n't work, Tom."," Nejde to, Tome."
"work","work","Nejde","jít","impf"," it do n't work, Tom."," Nejde to, Tome."
"hesitating","hesitate","váhala","váhat","impf"," Becky hesitating, Tom took silence for consent, and passed his arm about her waist and whispered the tale ever so softly, with his mouth close to her ear."," Když Becky váhala, vyložil si Tom mlčení jako souhlas, objal ji kolem pasu a s ústy u jejího ucha zašeptal tichounce své vyznání."
"whispered","whisper","zašeptal","zašeptat","pf"," Becky hesitating, Tom took silence for consent, and passed his arm about her waist and whispered the tale ever so softly, with his mouth close to her ear."," Když Becky váhala, vyložil si Tom mlčení jako souhlas, objal ji kolem pasu a s ústy u jejího ucha zašeptal tichounce své vyznání."
"reached","reach","sáhl","sáhnout","pf"," Presently she stepped into the kitchen, and Sid, happy in his immunity, reached for the sugar-bowl - a sort of glorying over Tom which was wellnigh unbearable."," Potom odešla do kuchyně a Sid, pyšný na svou imunitu sáhl po cukřence a díval se přitom na Toma tak vítězně, až to bylo přímo nesnesitelné."
"dropped","drop","spadla","spadnout","pf"," But Sid 's fingers slipped and the bowl dropped and broke."," Ale ujely mu prsty a cukřenka spadla a rozbila se."
"broke","break","rozbila","rozbít","pf"," But Sid 's fingers slipped and the bowl dropped and broke."," Ale ujely mu prsty a cukřenka spadla a rozbila se."
"said","say","neřekne","říci","pf"," He said to himself that he would not speak a word, even when his aunt came in, but would sit perfectly still till she asked who did the mischief;"," Umínil si, že neřekne ani slovo, ani když se teta vrátí, ale že bude jako pěna a počká, až se teta zeptá, kdo to udělal."
"speak","speak","neřekne","říci","pf"," He said to himself that he would not speak a word, even when his aunt came in, but would sit perfectly still till she asked who did the mischief;"," Umínil si, že neřekne ani slovo, ani když se teta vrátí, ale že bude jako pěna a počká, až se teta zeptá, kdo to udělal."
"asked","ask","zeptá","zeptat","pf"," He said to himself that he would not speak a word, even when his aunt came in, but would sit perfectly still till she asked who did the mischief;"," Umínil si, že neřekne ani slovo, ani když se teta vrátí, ale že bude jako pěna a počká, až se teta zeptá, kdo to udělal."
"came","come","udělal","udělat","pf"," He said to himself that he would not speak a word, even when his aunt came in, but would sit perfectly still till she asked who did the mischief;"," Umínil si, že neřekne ani slovo, ani když se teta vrátí, ale že bude jako pěna a počká, až se teta zeptá, kdo to udělal."
"did","do","udělal","udělat","pf"," He said to himself that he would not speak a word, even when his aunt came in, but would sit perfectly still till she asked who did the mischief;"," Umínil si, že neřekne ani slovo, ani když se teta vrátí, ale že bude jako pěna a počká, až se teta zeptá, kdo to udělal."
"wants","want","chtějí","chtít","impf"," "" Yes, every one that 's friends to me – or wants to be "";"," "" Všechny, co jsou se mnou zadobře - nebo chtějí být se mnou zadobře. """
"seen","see","koukal","koukat","impf"," If them stairs had n't broke down you 'd ' a ' seen how much dream it was!"," Nebýt toho, že se propadly ty schody, koukal bys, jaký sen to je."
"went","go","odešel","odejít","pf"," What if he went away – ever so far away, into unknown countries beyond the seas – and never came back any more!"," Co kdyby odešel za sedmery hory, do neznámých zámořských zemí - a nikdy se už nevrátil?"
"seen","see","viděl","vidět","impf"," Tom, you could n't told it more like if you 'd ' a ' seen it!"," Nemohls to, Tome, líp popsat, ani kdybys to viděl na vlastní oči."
"thought","think","zdálo","zdát","impf"," "" Then I thought you prayed for me - and I could see you and hear every word you said."," "" Potom se mi zdálo, že se za mě modlíte - a já vás viděl a slyšel jsem každé vaše slovo."
"prayed","pray","modlíte","modlit","impf"," "" Then I thought you prayed for me - and I could see you and hear every word you said."," "" Potom se mi zdálo, že se za mě modlíte - a já vás viděl a slyšel jsem každé vaše slovo."
"see","see","viděl","vidět","impf"," "" Then I thought you prayed for me - and I could see you and hear every word you said."," "" Potom se mi zdálo, že se za mě modlíte - a já vás viděl a slyšel jsem každé vaše slovo."
"hear","hear","slyšel","slyšet","impf"," "" Then I thought you prayed for me - and I could see you and hear every word you said."," "" Potom se mi zdálo, že se za mě modlíte - a já vás viděl a slyšel jsem každé vaše slovo."
"came","come","nepřicházely","přicházet","impf"," but still no good news came from the cave."," Z jeskyně však dosud nepřicházely dobré zprávy."
"help","help","pomoct","pomoci","pf"," He could not help it."," Nemohl si pomoct."
