"convinced","convince","přesvědčit","přesvědčit","pf"," You 've known me for long enough, Mr. K., I 'm sure you 're convinced of that."," Znáte mě přece už dost dlouho, pane K., abyste se mohl o tom přesvědčit."
"sit","sit","posadit","posadit","pf"," As a servant, the servant of the court was going to sit on the coach-box."," Sluha se chtěl ze samé úslužnosti dokonce posadit na kozlík."
"arrived","arrive","dojel","dojet","pf"," It was already well into the afternoon when K. arrived in front of the bank."," Bylo už dávno po poledni, když dojel před banku."
"come","come","přišel","přijít","pf"," The guard had come because of the shouting and asked what had been happening."," Hlídač, který přišel proto, že slyšel ten křik, se ptal, co se stalo."
"happening","happen","přišel","přijít","pf"," The guard had come because of the shouting and asked what had been happening."," Hlídač, který přišel proto, že slyšel ten křik, se ptal, co se stalo."
"asked","ask","ptal","ptát","impf"," The guard had come because of the shouting and asked what had been happening."," Hlídač, který přišel proto, že slyšel ten křik, se ptal, co se stalo."
"look","look","hleděl","hledět","impf"," The usher of the court said a few words to try and calm him down but the guard explained that he had to look into it himself, saluted, and hurried on, walking with very short steps, probably because of gout."," Soudní sluha ho hleděl uchlácholit několika slovy, ale hlídač prohlásil, že se přece jen musí podívat sám, zasalutoval a šel dál velmi spěšnými, ale i velmi krátkými krůčky, jež byly asi odměřeny pakostnicí."
"said","say","prohlásil","prohlásit","pf"," The usher of the court said a few words to try and calm him down but the guard explained that he had to look into it himself, saluted, and hurried on, walking with very short steps, probably because of gout."," Soudní sluha ho hleděl uchlácholit několika slovy, ale hlídač prohlásil, že se přece jen musí podívat sám, zasalutoval a šel dál velmi spěšnými, ale i velmi krátkými krůčky, jež byly asi odměřeny pakostnicí."
"look","look","podívat","podívat","pf"," The usher of the court said a few words to try and calm him down but the guard explained that he had to look into it himself, saluted, and hurried on, walking with very short steps, probably because of gout."," Soudní sluha ho hleděl uchlácholit několika slovy, ale hlídač prohlásil, že se přece jen musí podívat sám, zasalutoval a šel dál velmi spěšnými, ale i velmi krátkými krůčky, jež byly asi odměřeny pakostnicí."
"walking","walk","šel","jít","impf"," The usher of the court said a few words to try and calm him down but the guard explained that he had to look into it himself, saluted, and hurried on, walking with very short steps, probably because of gout."," Soudní sluha ho hleděl uchlácholit několika slovy, ale hlídač prohlásil, že se přece jen musí podívat sám, zasalutoval a šel dál velmi spěšnými, ale i velmi krátkými krůčky, jež byly asi odměřeny pakostnicí."
"said","say","řekl","říci","pf"," "" I find that quite acceptable, "" said K."," "" To se jen srovnává s tím, oč chci požádat, "" řekl K."
"Sit","sit","Posaďte","posadit","pf"," "" Sit down, "" he said."," "" Posaďte se, "" řekl."
"said","say","řekl","říci","pf"," "" Sit down, "" he said."," "" Posaďte se, "" řekl."
"wish","wish","přejete","přát","impf"," "" As you wish, "" said K., drawing a chair up to the bedside table and sitting down."," "" Když si přejete, "" řekl K., přitáhl si židli k nočnímu stolku a posadil se."
"said","say","řekl","říci","pf"," "" As you wish, "" said K., drawing a chair up to the bedside table and sitting down."," "" Když si přejete, "" řekl K., přitáhl si židli k nočnímu stolku a posadil se."
"drawing","draw","přitáhl","přitáhnout","pf"," "" As you wish, "" said K., drawing a chair up to the bedside table and sitting down."," "" Když si přejete, "" řekl K., přitáhl si židli k nočnímu stolku a posadil se."
"sitting","sit","posadil","posadit","pf"," "" As you wish, "" said K., drawing a chair up to the bedside table and sitting down."," "" Když si přejete, "" řekl K., přitáhl si židli k nočnímu stolku a posadil se."
"hung","hang","zavěsila","zavěsit","pf"," Then she hung both her arms around his neck, leant back and took a long look at him."," Pak se mu oběma rukama zavěsila na krk, naklonila se nazad, a dlouho se na něho dívala."
"leant","lean","naklonila","naklonit","pf"," Then she hung both her arms around his neck, leant back and took a long look at him."," Pak se mu oběma rukama zavěsila na krk, naklonila se nazad, a dlouho se na něho dívala."
"confess","confess","nepřiznám","přiznat","pf"," "" And what if I do n't confess, could you not help me then? "" asked K. to test her out."," "" A když se nepřiznám, pak mi nemůžete pomoci? "" ptal se K., jako by ji zkoušel."
"help","help","pomoci","pomoci","pf"," "" And what if I do n't confess, could you not help me then? "" asked K. to test her out."," "" A když se nepřiznám, pak mi nemůžete pomoci? "" ptal se K., jako by ji zkoušel."
"asked","ask","ptal","ptát","impf"," "" And what if I do n't confess, could you not help me then? "" asked K. to test her out."," "" A když se nepřiznám, pak mi nemůžete pomoci? "" ptal se K., jako by ji zkoušel."
"test","test","zkoušel","zkoušet","impf"," "" And what if I do n't confess, could you not help me then? "" asked K. to test her out."," "" A když se nepřiznám, pak mi nemůžete pomoci? "" ptal se K., jako by ji zkoušel."
"thought","think","myslel","myslet","impf"," I 'm accumulating women to help me, he thought to himself almost in amazement, first Miss Bürstner, then the court usher 's wife, and now this little care assistant who seems to have some incomprehensible need for me."," Sháním si pomocnice, myslel si skoro udiveně, nejdřív slečnu Bürstnerovou, pak ženu soudního sluhy a konečně tady tu malou ošetřovatelku, která po mně zřejmě touží, ačkoliv nechápu proč."
"stayed","stay","zůstat","zůstat","pf"," "" You should have stayed in your room!"," "" Měl jste zůstat ve svém pokoji!"
"tell","tell","neřekl","říci","pf"," Did n't Franz tell you? """," Copak vám to František neřekl? """
"want","want","chcete","chtít","impf"," "" And what is it you want, then? "" said K., looking back and forth between this new acquaintance and the one named Franz, who had remained in the doorway."," "" A co vlastně chcete? "" řekl K. a přelétl pohledem od nového známého k tomu člověku, který byl nazván Františkem a stál ve dveřích, a pak zase zpátky."
"said","say","řekl","říci","pf"," "" And what is it you want, then? "" said K., looking back and forth between this new acquaintance and the one named Franz, who had remained in the doorway."," "" A co vlastně chcete? "" řekl K. a přelétl pohledem od nového známého k tomu člověku, který byl nazván Františkem a stál ve dveřích, a pak zase zpátky."
"named","name","nazván","nazvat","pf"," "" And what is it you want, then? "" said K., looking back and forth between this new acquaintance and the one named Franz, who had remained in the doorway."," "" A co vlastně chcete? "" řekl K. a přelétl pohledem od nového známého k tomu člověku, který byl nazván Františkem a stál ve dveřích, a pak zase zpátky."
"brought","bring","přinesla","přinést","pf"," When Mrs. Grubach brought K. his breakfast – ever since the time when she had made K. so cross she did n't trust the maid to do the slightest job – he had no choice but to speak to her, for the first time in five days."," Když paní Grubachová přinesla K. snídani - ode dne, kdy K. tak rozhněvala, nesvěřila ani nejnepatrnější obsluhu služebné -, nemohl K. už odolat a poprvé po pěti dnech na ni promluvil."
"speak","speak","promluvil","promluvit","pf"," When Mrs. Grubach brought K. his breakfast – ever since the time when she had made K. so cross she did n't trust the maid to do the slightest job – he had no choice but to speak to her, for the first time in five days."," Když paní Grubachová přinesla K. snídani - ode dne, kdy K. tak rozhněvala, nesvěřila ani nejnepatrnější obsluhu služebné -, nemohl K. už odolat a poprvé po pěti dnech na ni promluvil."
"sleep","sleep","spíte","spát","impf"," "" You sleep in the maid 's room? "" asked K., as he went back to the businessman."," "" Vy spíte v pokojíku pro služebnou? "" zeptal se K. a obrátil se zpátky k obchodníkovi."
"asked","ask","zeptal","zeptat","pf"," "" You sleep in the maid 's room? "" asked K., as he went back to the businessman."," "" Vy spíte v pokojíku pro služebnou? "" zeptal se K. a obrátil se zpátky k obchodníkovi."
"answered","answer","odpověděl","odpovědět","pf"," "" Leni 's let me have it, "" answered the businessman, "" it has many advantages. """," "" Lenka mi ho zařídila, "" odpověděl obchodník, "" je to velmi výhodné. """
"show","show","neukážu","ukázat","pf"," In the drawer there, for instance, I 've got my father 's notes, which I do n't show to anyone."," Tam v zásuvce například mám otcovy poznámky, které nikomu neukážu."
"paint","paint","malovat","malovat","impf"," But you 're only able to paint judges if you know what they say."," Ale jen ten, kdo je zná, je způsobilý malovat soudce."
"sit","sit","posadil","posadit","pf"," The unpleasantness of this was made all the stronger for K. when the painter invited him to sit on the bed while he himself sat down on the only chair in the room in front of the easel."," Tím nepříjemnější bylo pro K., že ho malíř požádal, aby se posadil na postel, a sám si sedl na jedinou židli v pokoji před stojanem."
"sat","sit","posadil","posadit","pf"," The unpleasantness of this was made all the stronger for K. when the painter invited him to sit on the bed while he himself sat down on the only chair in the room in front of the easel."," Tím nepříjemnější bylo pro K., že ho malíř požádal, aby se posadil na postel, a sám si sedl na jedinou židli v pokoji před stojanem."
"sit","sit","sedl","sednout","pf"," The unpleasantness of this was made all the stronger for K. when the painter invited him to sit on the bed while he himself sat down on the only chair in the room in front of the easel."," Tím nepříjemnější bylo pro K., že ho malíř požádal, aby se posadil na postel, a sám si sedl na jedinou židli v pokoji před stojanem."
"sat","sit","sedl","sednout","pf"," The unpleasantness of this was made all the stronger for K. when the painter invited him to sit on the bed while he himself sat down on the only chair in the room in front of the easel."," Tím nepříjemnější bylo pro K., že ho malíř požádal, aby se posadil na postel, a sám si sedl na jedinou židli v pokoji před stojanem."
"make","make","nepochopil","pochopit","pf"," The painter even seemed to misunderstand why K. remained at the edge of the bed and urged K. to make himself comfortable, and as he hesitated he went over to the bed himself and pressed K. deep down into the bedclothes and pillows."," Jako by malíř nepochopil, proč K. zůstal jen na kraji postele, prosil ho, aby si udělal pohodlí, a protože se K. zdráhal, šel za ním a vtlačil ho hluboce do peřin a polštářů."
"remained","remain","zůstal","zůstat","pf"," The painter even seemed to misunderstand why K. remained at the edge of the bed and urged K. to make himself comfortable, and as he hesitated he went over to the bed himself and pressed K. deep down into the bedclothes and pillows."," Jako by malíř nepochopil, proč K. zůstal jen na kraji postele, prosil ho, aby si udělal pohodlí, a protože se K. zdráhal, šel za ním a vtlačil ho hluboce do peřin a polštářů."
"make","make","udělal","udělat","pf"," The painter even seemed to misunderstand why K. remained at the edge of the bed and urged K. to make himself comfortable, and as he hesitated he went over to the bed himself and pressed K. deep down into the bedclothes and pillows."," Jako by malíř nepochopil, proč K. zůstal jen na kraji postele, prosil ho, aby si udělal pohodlí, a protože se K. zdráhal, šel za ním a vtlačil ho hluboce do peřin a polštářů."
"hesitated","hesitate","zdráhal","zdráhat","impf"," The painter even seemed to misunderstand why K. remained at the edge of the bed and urged K. to make himself comfortable, and as he hesitated he went over to the bed himself and pressed K. deep down into the bedclothes and pillows."," Jako by malíř nepochopil, proč K. zůstal jen na kraji postele, prosil ho, aby si udělal pohodlí, a protože se K. zdráhal, šel za ním a vtlačil ho hluboce do peřin a polštářů."
"went","go","šel","jít","impf"," The painter even seemed to misunderstand why K. remained at the edge of the bed and urged K. to make himself comfortable, and as he hesitated he went over to the bed himself and pressed K. deep down into the bedclothes and pillows."," Jako by malíř nepochopil, proč K. zůstal jen na kraji postele, prosil ho, aby si udělal pohodlí, a protože se K. zdráhal, šel za ním a vtlačil ho hluboce do peřin a polštářů."
"bringing","bring","přinášeli","přinášet","impf"," One afternoon – K. was very busy at the time, getting the post ready – K. ' s Uncle Karl, a small country land owner, came into the room, pushing his way between two of the staff who were bringing in some papers."," JEDNOU ODPOLEDNE - bylo právě před uzávěrkou pošty a K. měl spoustu práce - vtlačil se do pokoje mezi dvěma sluhy, kteří přinášeli spisy, strýček Karel, malý venkovský statkář."
"come","come","přijede","přijet","pf"," His uncle was bound to come, K. had been sure of that for about a month."," Skutečnost, že strýček přijede, byla pro K. nezvratně jistá už asi měsíc."
"bothered","bother","Obtěžovala","obtěžovat","impf"," From then on, she bothered him by leaning forward over the back of the chair or, albeit very tenderly and carefully, she would run her hands through his hair and over his cheeks."," Obtěžovala ho pak, protože se skláněla přes opěradlo židle nebo se mu rukama prohrabovala ve vlasech a hladila ho po tvářích, ovšem velmi něžně a opatrně."
"tried","try","pokusil","pokusit","pf"," K. eventually tried to stop her by taking hold of one hand, and after some resistance Leni let him keep hold of it."," K. se nakonec pokusil jí v tom zabránit, chytil ji za ruku, ona se chvilku bránila a pak mu ji ponechala."
"taking","take","chytil","chytit","pf"," K. eventually tried to stop her by taking hold of one hand, and after some resistance Leni let him keep hold of it."," K. se nakonec pokusil jí v tom zabránit, chytil ji za ruku, ona se chvilku bránila a pak mu ji ponechala."
"stop","stop","bránila","bránit","impf"," K. eventually tried to stop her by taking hold of one hand, and after some resistance Leni let him keep hold of it."," K. se nakonec pokusil jí v tom zabránit, chytil ji za ruku, ona se chvilku bránila a pak mu ji ponechala."
"keep","keep","bránila","bránit","impf"," K. eventually tried to stop her by taking hold of one hand, and after some resistance Leni let him keep hold of it."," K. se nakonec pokusil jí v tom zabránit, chytil ji za ruku, ona se chvilku bránila a pak mu ji ponechala."
"keep","keep","ponechala","ponechat","pf"," K. eventually tried to stop her by taking hold of one hand, and after some resistance Leni let him keep hold of it."," K. se nakonec pokusil jí v tom zabránit, chytil ji za ruku, ona se chvilku bránila a pak mu ji ponechala."
"said","say","řekl","říci","pf"," That, at least, is how the stranger took it, as he said,"," Přesto si to ten cizí člověk v tomto smyslu vyložil, neboť řekl :"
"stay","stay","zůstat","zůstat","pf"," "" Do n't you think you 'd better stay where you are? """," "" Nechcete tu raději zůstat? """
"want","want","Nechci","chtít","impf"," "" I want neither to stay here nor to be spoken to by you until you 've introduced yourself. """," "" Nechci tu ani zůstat, ani nechci, abyste se mnou mluvil, dokud se mi nepředstavíte. """
"stay","stay","zůstat","zůstat","pf"," "" I want neither to stay here nor to be spoken to by you until you 've introduced yourself. """," "" Nechci tu ani zůstat, ani nechci, abyste se mnou mluvil, dokud se mi nepředstavíte. """
"want","want","nechci","chtít","impf"," "" I want neither to stay here nor to be spoken to by you until you 've introduced yourself. """," "" Nechci tu ani zůstat, ani nechci, abyste se mnou mluvil, dokud se mi nepředstavíte. """
"spoken","speak","mluvil","mluvit","impf"," "" I want neither to stay here nor to be spoken to by you until you 've introduced yourself. """," "" Nechci tu ani zůstat, ani nechci, abyste se mnou mluvil, dokud se mi nepředstavíte. """
"introduced","introduce","nepředstavíte","představit","pf"," "" I want neither to stay here nor to be spoken to by you until you 've introduced yourself. """," "" Nechci tu ani zůstat, ani nechci, abyste se mnou mluvil, dokud se mi nepředstavíte. """
"meant","mean","Mysleli","myslet","impf"," "" I meant it for your own good, "" said the stranger and opened the door, this time without being asked."," "" Mysleli jsme to dobře, "" řekl cizí muž a sám teď otevřel dveře."
"said","say","řekl","říci","pf"," "" I meant it for your own good, "" said the stranger and opened the door, this time without being asked."," "" Mysleli jsme to dobře, "" řekl cizí muž a sám teď otevřel dveře."
"opened","open","otevřel","otevřít","pf"," "" I meant it for your own good, "" said the stranger and opened the door, this time without being asked."," "" Mysleli jsme to dobře, "" řekl cizí muž a sám teď otevřel dveře."
"think","think","myslím","myslet","impf"," On the contrary, in fact, I think I can say even more than her because I 'm relatively impartial."," Naopak myslím, že vám mohu říci dokonce víc, protože jsem přece jen poměrně nezúčastněná."
"say","say","říci","říci","pf"," On the contrary, in fact, I think I can say even more than her because I 'm relatively impartial."," Naopak myslím, že vám mohu říci dokonce víc, protože jsem přece jen poměrně nezúčastněná."
"say","say","odpověděl","odpovědět","pf"," "" What is there to say, then? "" answered K., who was tired of Miss Montag continuously watching his lips."," "" Jaképak dlouhé řeči? "" odpověděl K., neboť měl už dost toho, že oči slečny Montagové jsou pořád upřeny na jeho rty."
"answered","answer","odpověděl","odpovědět","pf"," "" What is there to say, then? "" answered K., who was tired of Miss Montag continuously watching his lips."," "" Jaképak dlouhé řeči? "" odpověděl K., neboť měl už dost toho, že oči slečny Montagové jsou pořád upřeny na jeho rty."
"wanted","want","chtěl","chtít","impf"," In that way she took control of what he wanted to say before he said it."," Osobovala si tím jakousi vládu i nad tím, co teprv chtěl říci."
"say","say","říci","říci","pf"," In that way she took control of what he wanted to say before he said it."," Osobovala si tím jakousi vládu i nad tím, co teprv chtěl říci."
"said","say","říci","říci","pf"," In that way she took control of what he wanted to say before he said it."," Osobovala si tím jakousi vládu i nad tím, co teprv chtěl říci."
"grant","grant","povolit","povolit","pf"," "" Miss Bürstner clearly refuses to grant me the personal meeting that I asked her for. """," "" Slečna Bürstnerová mi patrně nechce povolit osobní rozmluvu., o kterou jsem jí prosil. """
"asked","ask","prosil","prosit","impf"," "" Miss Bürstner clearly refuses to grant me the personal meeting that I asked her for. """," "" Slečna Bürstnerová mi patrně nechce povolit osobní rozmluvu., o kterou jsem jí prosil. """
"touched","touch","nedotkl","dotknout","pf"," "" But you 've hardly touched it, "" said Mrs. Grubach."," "" Vždyť jste se toho skoro ani nedotkl, "" řekla paní Grubachová."
"said","say","řekla","říci","pf"," "" But you 've hardly touched it, "" said Mrs. Grubach."," "" Vždyť jste se toho skoro ani nedotkl, "" řekla paní Grubachová."
"went","go","šel","jít","impf"," As he went through the hallway he looked at the closed door of Miss Bürstner 's room."," Když šel předsíní, podíval se na zavřené dveře pokoje slečny Bürstnerové."
"looked","look","podíval","podívat","pf"," As he went through the hallway he looked at the closed door of Miss Bürstner 's room."," Když šel předsíní, podíval se na zavřené dveře pokoje slečny Bürstnerové."
"invited","invite","pozván","pozvat","pf"," But it was n't there that he was invited, but the dining room, to which he yanked the door open without knocking."," Ale nebyl pozván sem, nýbrž do jídelny, a tam bez zaklepání prudce otevřel dveře."
"shouted","shout","zavolal","zavolat","pf"," "" Quiet! "" shouted the painter at the door, "" Ca n't you see I 'm talking with the gentleman? """," "" Mlčte! "" zavolal malíř ke dveřím, "" copak nevidíte, že mám s tím pánem poradu? """
"see","see","nevidíte","vidět","impf"," "" Quiet! "" shouted the painter at the door, "" Ca n't you see I 'm talking with the gentleman? """," "" Mlčte! "" zavolal malíř ke dveřím, "" copak nevidíte, že mám s tím pánem poradu? """
"followed","follow","Následovala","následovat","impf"," There followed an incomprehensible, interwoven babble of shouts and replies and calls of agreement."," Následovala směsice nesrozumitelných schvalujících výkřiků."
"fear","fear","obávat","obávat","impf"," In particular, there was nothing to fear from the three bank officials, they had immersed themselves back into their paperwork and there was no alteration to be seen in them."," Zvláště od těch tří úředníků nebylo se čeho obávat, pohroužili se zas do velkého zástupu bankovního úřednictva a nebyla na nich patrná žádná změna."
"called","call","zavolat","zavolat","pf"," K. had called each of them, separately or all together, into his office that day for no other reason than to observe them;"," K. si je dal nejednou zavolat do své kanceláře, každého zvlášť i všechny dohromady, jedině proto, aby je pozoroval;"
"observe","observe","pozoroval","pozorovat","impf"," K. had called each of them, separately or all together, into his office that day for no other reason than to observe them;"," K. si je dal nejednou zavolat do své kanceláře, každého zvlášť i všechny dohromady, jedině proto, aby je pozoroval;"
"gives","give","Dává","dávat","impf"," He gives all the information they need to people who are waiting, as our court and its offices are not very well known among the public he gets asked for quite a lot."," Dává čekajícím stranám všechny informace, kterých je třeba, a protože naše soudnictví není mezi obyvatelstvem zvlášť známé, je požadováno mnoho informací."
"asked","ask","požadováno","požadovat","impf"," He gives all the information they need to people who are waiting, as our court and its offices are not very well known among the public he gets asked for quite a lot."," Dává čekajícím stranám všechny informace, kterých je třeba, a protože naše soudnictví není mezi obyvatelstvem zvlášť známé, je požadováno mnoho informací."
"try","try","vyzkoušet","vyzkoušet","pf"," He has an answer for every question, you can try him out if you feel like it."," Dovede odpovědět na každou otázku, můžete si ho vyzkoušet, až se vám jednou bude chtít."
"say","say","Řeknete","říci","pf"," "" I expect you 'll say, "" K. began, "" that the matter really is n't all that urgent and we do n't need to talk about it right now, but ... """," "" Řeknete snad, že to nebyla tak naléhavá záležitost, aby se projednávala teď, ale - """
"listen","listen","neposlouchám","poslouchat","impf"," "" I never listen to introductions, "" said Miss Bürstner."," "" Úvody nikdy neposlouchám, "" řekla slečna Bürstnerová."
"said","say","řekla","říci","pf"," "" I never listen to introductions, "" said Miss Bürstner."," "" Úvody nikdy neposlouchám, "" řekla slečna Bürstnerová."
"drew","draw","Vytáhl","vytáhnout","pf"," He drew the letter out from his wallet."," Vytáhl dopis z náprsní tobolky."
"writes","write","píše","psát","impf"," She writes;"," Ema píše :"
"seen","see","neviděla","vidět","impf"," ' I have not seen Josef for a long time, I was in the bank last week but Josef was so busy that they would not let me through;"," ' Josefa jsem už dlouho neviděla, minulý týden jsem byla zas jednou v bance, ale Josef měl tolik práce, že mě k němu nepustili;"
"waited","wait","čekala","čekat","impf"," I waited there for nearly an hour but then I had to go home as I had my piano lesson."," čekala jsem skoro hodinu, ale potom jsem musela domů, protože jsem měla hodinu klavíru."
"spoken","speak","mluvila","mluvit","impf"," I would have liked to have spoken to him, maybe there will be a chance another time."," Byla bych s ním ráda mluvila, snad se mi to podaří příště."
"noticed","notice","pozoroval","pozorovat","impf"," It was still early when K. noticed, through the keyhole, that there was an unusual level of activity in the hallway which soon abated."," Hned ráno pozoroval K. klíčovou dírkou zvláštní ruch v předsíni, který se brzo vysvětlil."
"moving","move","stěhovala","stěhovat","impf"," A French teacher, although she was German and called Montag, a pale and febrile girl with a slight limp who had previously occupied a room of her own, was moving into Miss Bürstner 's room."," Učitelka francouzštiny, byla to ostatně Němka a jmenovala se Montagová, slabá, bledá, trochu kulhavá dívka, jež dosud měla svůj vlastní pokoj, se stěhovala do pokoje slečny Bürstnerové."
"deny","deny","popřít","popřít","pf"," Then you no longer feel very sure of anything and, if asked about a trial that was doing well by its own nature but which was turned for the worse because you assisted in it, would not even dare deny that."," Potom se ovšem už nic nezdá jisté a bezpečné, a kdyby se nás někdo jaksepatří dotazoval, neodvážili bychom se ani popřít, že jsme procesy, které zdánlivě probíhaly příznivě, přivedli na scestí právě tím, že jsme při nich napomáhali."
"turned","turn","přivedli","přivést","pf"," Then you no longer feel very sure of anything and, if asked about a trial that was doing well by its own nature but which was turned for the worse because you assisted in it, would not even dare deny that."," Potom se ovšem už nic nezdá jisté a bezpečné, a kdyby se nás někdo jaksepatří dotazoval, neodvážili bychom se ani popřít, že jsme procesy, které zdánlivě probíhaly příznivě, přivedli na scestí právě tím, že jsme při nich napomáhali."
"assisted","assist","napomáhali","napomáhat","impf"," Then you no longer feel very sure of anything and, if asked about a trial that was doing well by its own nature but which was turned for the worse because you assisted in it, would not even dare deny that."," Potom se ovšem už nic nezdá jisté a bezpečné, a kdyby se nás někdo jaksepatří dotazoval, neodvážili bychom se ani popřít, že jsme procesy, které zdánlivě probíhaly příznivě, přivedli na scestí právě tím, že jsme při nich napomáhali."
"say","say","Neříkám","říkat","impf"," "" I would n't want to say that I see all of this as a joke, you seem to have gone to too much trouble making all these arrangements for that."," "" Neříkám, že to všechno považuji za žert, na to se mi přípravy, jež byly vykonány, zdají přece jen příliš rozsáhlé."
"see","see","považuji","považovat","impf"," "" I would n't want to say that I see all of this as a joke, you seem to have gone to too much trouble making all these arrangements for that."," "" Neříkám, že to všechno považuji za žert, na to se mi přípravy, jež byly vykonány, zdají přece jen příliš rozsáhlé."
"seem","seem","zdají","zdát","impf"," "" I would n't want to say that I see all of this as a joke, you seem to have gone to too much trouble making all these arrangements for that."," "" Neříkám, že to všechno považuji za žert, na to se mi přípravy, jež byly vykonány, zdají přece jen příliš rozsáhlé."
"want","want","Nechci","chtít","impf"," So I do n't want to say that this is a joke. """," Nechci tedy tvrdit, že to je žert. """
"said","say","řekl","říci","pf"," "" Quite right, "" said the supervisor, looking to see how many matches were left in the box."," "" Zcela správně, "" řekl dozorce a díval se, kolik zápalek je v krabičce."
"looked","look","podíval","podívat","pf"," The painter immediately put his crayons down, stood upright, rubbed his hands together and looked at K. with a smile."," Malíř ihned odložil tužky, napřímil se, zamnul si ruce a podíval se s úsměvem na K."
"answered","answer","odpověděl","odpovědět","pf"," "" No, no, "" answered K., "" it 's only a dog yelping in the yard. """," "" Ne, ne, "" odpověděl K., "" to rámusí nějaký pes na dvoře. """
"looked","look","podíval","podívat","pf"," A little while later, when he looked out in the corridor, they had already gone."," Když se za chvilku znova podíval do chodby, byli už pryč."
"continued","continue","pokračoval","pokračovat","impf"," "" That wo n't help you, sir, "" continued K., "" even your little book will only confirm what I say. """," "" Nic naplat, "" pokračoval K., "" také váš sešitek, pane vyšetřující soudce, potvrzuje, co říkám. """
"confirm","confirm","potvrzuje","potvrzovat","impf"," "" That wo n't help you, sir, "" continued K., "" even your little book will only confirm what I say. """," "" Nic naplat, "" pokračoval K., "" také váš sešitek, pane vyšetřující soudce, potvrzuje, co říkám. """
"say","say","říkám","říkat","impf"," "" That wo n't help you, sir, "" continued K., "" even your little book will only confirm what I say. """," "" Nic naplat, "" pokračoval K., "" také váš sešitek, pane vyšetřující soudce, potvrzuje, co říkám. """
"thought","think","nepovažoval","považovat","impf"," he no longer thought it at all necessary that all of those in the hall should applaud him, it was enough if the majority of them began to think about the matter and if only one of them, now and then, was persuaded."," teď už ani nepovažoval za nutné, aby tleskali všichni, stačilo, začne - li shromáždění o věci přemýšlet a dá - li se aspoň někdo přesvědčit a získat."
"think","think","nepovažoval","považovat","impf"," he no longer thought it at all necessary that all of those in the hall should applaud him, it was enough if the majority of them began to think about the matter and if only one of them, now and then, was persuaded."," teď už ani nepovažoval za nutné, aby tleskali všichni, stačilo, začne - li shromáždění o věci přemýšlet a dá - li se aspoň někdo přesvědčit a získat."
"applaud","applaud","tleskali","tleskat","impf"," he no longer thought it at all necessary that all of those in the hall should applaud him, it was enough if the majority of them began to think about the matter and if only one of them, now and then, was persuaded."," teď už ani nepovažoval za nutné, aby tleskali všichni, stačilo, začne - li shromáždění o věci přemýšlet a dá - li se aspoň někdo přesvědčit a získat."
"began","begin","začne","začít","pf"," he no longer thought it at all necessary that all of those in the hall should applaud him, it was enough if the majority of them began to think about the matter and if only one of them, now and then, was persuaded."," teď už ani nepovažoval za nutné, aby tleskali všichni, stačilo, začne - li shromáždění o věci přemýšlet a dá - li se aspoň někdo přesvědčit a získat."
"thought","think","přemýšlet","přemýšlet","impf"," he no longer thought it at all necessary that all of those in the hall should applaud him, it was enough if the majority of them began to think about the matter and if only one of them, now and then, was persuaded."," teď už ani nepovažoval za nutné, aby tleskali všichni, stačilo, začne - li shromáždění o věci přemýšlet a dá - li se aspoň někdo přesvědčit a získat."
"think","think","přemýšlet","přemýšlet","impf"," he no longer thought it at all necessary that all of those in the hall should applaud him, it was enough if the majority of them began to think about the matter and if only one of them, now and then, was persuaded."," teď už ani nepovažoval za nutné, aby tleskali všichni, stačilo, začne - li shromáždění o věci přemýšlet a dá - li se aspoň někdo přesvědčit a získat."
"persuaded","persuade","přesvědčit","přesvědčit","pf"," he no longer thought it at all necessary that all of those in the hall should applaud him, it was enough if the majority of them began to think about the matter and if only one of them, now and then, was persuaded."," teď už ani nepovažoval za nutné, aby tleskali všichni, stačilo, začne - li shromáždění o věci přemýšlet a dá - li se aspoň někdo přesvědčit a získat."
"said","say","řekl","říci","pf"," "" I 'm not trying to be a successful orator, "" said K. after this thought, "" that 's probably more than I 'm capable of anyway."," "" Nejde mi o řečnický úspěch, "" řekl K. po této úvaze, "" mohl bych ho také asi stěží dosáhnout."
"speak","speak","mluví","mluvit","impf"," I 'm sure the examining judge can speak far better than I can, it is part of his job after all."," Pan vyšetřující soudce mluví pravděpodobně daleko lépe, patří to přece k jeho povolání."
"sat","sit","posadili","posadit","pf"," The gentlemen sat K. down on the ground, leant him against the stone and settled his head down on the top of it."," Pánové posadili K. na zem, opřeli ho o kámen a položili mu na něj hlavu."
"leant","lean","opřeli","opřít","pf"," The gentlemen sat K. down on the ground, leant him against the stone and settled his head down on the top of it."," Pánové posadili K. na zem, opřeli ho o kámen a položili mu na něj hlavu."
"asked","ask","požádal","požádat","pf"," So one of the gentlemen asked the other to grant him a short time while he put K. in position by himself, but even that did nothing to make it better."," Jeden z pánů požádal proto druhého, aby mu na chvilku K. přenechal, že ho uloží sám, ale ani pak se to nezlepšilo."
"put","put","uloží","uložit","pf"," So one of the gentlemen asked the other to grant him a short time while he put K. in position by himself, but even that did nothing to make it better."," Jeden z pánů požádal proto druhého, aby mu na chvilku K. přenechal, že ho uloží sám, ale ani pak se to nezlepšilo."
"said","say","řekla","říci","pf"," "" Yes, but if I 'm to give you advice I 'll have to know what it 's all about, "" said Miss Bürstner."," "" Ano, ale mám - li být poradcem, musela bych vědět, oč jde, "" řekla slečna Bürstnerová."
