"thought","think","pomyslel","pomyslet","pf"," At the sight of that bag, Pinocchio felt slightly happier and thought to himself :"," Když Pinocchio čepici uviděl, skoro ho to potěšilo a hned si v duchu pomyslel :"
"help","help","pomohl","pomoci","pf"," As soon as they reached the shore, Pinocchio was the first to jump to the ground to help his old father."," Když doplavali ke břehu, Pinocchio vyskočil na souš jako první a pomohl tatínkovi vystoupit."
"return","return","vrátí","vrátit","pf"," Now who will return my money to me? """," Kdo mi teď těch mých mizerných dvacet krejcarů vrátí? """
"buy","buy","koupil","koupit","pf"," "" But why did you buy me?"," "" A proč jste mě koupil?"
"find","find","seženu","sehnat","pf"," And now where shall I find another skin? """," A kde teď seženu další kůži? """
"Tell","tell","Pověz","povědět","pf"," "" Tell me, impudent little rogue, does your story end here? """," "" Pověz mi, ty jeden drzý uličníku, a tím ten tvůj příběh končí? """
"deserve","deserve","zasloužíš","zasloužit","pf"," "" And you will if you deserve it - """," "" A staneš se jím, když si to zasloužíš! """
"do","do","udělat","udělat","pf"," What can I do to deserve it? """," A co můžu udělat pro to, abych si to zasloužil? """
"deserve","deserve","zasloužil","zasloužit","pf"," What can I do to deserve it? """," A co můžu udělat pro to, abych si to zasloužil? """
"beg","beg","prosím","prosit","impf"," "" Hurry, I beg of you, for I am dying of cold. """," "" Pospěšte si, prosím vás, protože je mi hrozná zima. """
"imagine","imagine","představit","představit","pf"," I have never been there, but I can well imagine it. """," Nikdy jsem tam nebyl, ale dovedu si to představit! """
"tempt","tempt","pokoušíš","pokoušet","impf"," "" It is useless for you to tempt me!"," "" Zbytečně mě pokoušíš!"
"promised","promise","slíbil","slíbit","pf"," I told you I promised my good Fairy to behave myself, and I am going to keep my word. """," Jednou jsem své dobré víle slíbil, že se ze mě stane rozumný chlapec, a nechci své slovo za žádnou cenu porušit. """
"want","want","chceš","chtít","impf"," "" Well, what do you want from me now, Marionette? """," "" Dobrá, co ode mne chceš? """
"beg","beg","Žádám","žádat","impf"," "" I beg for mercy for my poor friend, Harlequin, who has never done the least harm in his life. """," "" Žádám milost pro ubohého Harlekýna! """
"enjoy","enjoy","bavili","bavit","impf"," He took them with him to the Land of Toys and let them enjoy themselves to their heart 's content."," Pak všechny kluky naložil na vůz a odvezl je do Kratochvílie, aby si tam celé dny hráli, dováděli a bavili se."
"sold","sell","prodal","prodat","pf"," When, after months of all play and no work, they became little donkeys, he sold them on the market place."," A když se potom z těch ubohých oklamaných chlapců, kteří si pořád jen hráli a nikdy se neučili, stali oslíci, potom se jich celý šťastný a spokojený zmocnil a odvedl je na trh, aby je prodal."
"repeated","repeat","opakoval","opakovat","impf"," "" On Dame Fortune, "" repeated the Cat."," "" Po štěstí! "" opakoval kocour."
"repeated","repeat","opakoval","opakovat","impf"," "" Two thousand! "" repeated the Cat."," "" Dva tisíce! "" opakoval kocour."
"asked","ask","zeptal","zeptat","pf"," "" But how can they possibly become so many? "" asked Pinocchio wonderingly."," "" Ale jak je možné, že by jich bylo tolik? "" zeptal se Pinocchio a zůstal stát s pusou dokořán."
"explain","explain","vysvětlím","vysvětlit","pf"," "" I 'll explain, "" said the Fox."," "" Hned ti to vysvětlím, "" řekl lišák."
"said","say","řekl","říci","pf"," "" I 'll explain, "" said the Fox."," "" Hned ti to vysvětlím, "" řekl lišák."
"called","call","říkají","říkat","impf"," "" You must know that, just outside the City of Simple Simons, there is a blessed field called the Field of Wonders."," "" Musíš vědět, že v Hloupětíně je posvátné pole, kterému všichni říkají Pole zázraků."
"eaten","eat","nejedl","jíst","impf"," But in the meantime, he began to feel hungry, for it was twenty-four hours since he had eaten."," Jenže ho trápil hlad, protože už čtyřiadvacet hodin nic nejedl, ani porci vikví."
"beg","beg","Prosit","prosit","impf"," He was ashamed to beg, because his father had always preached to him that begging should be done only by the sick or the old."," Prosit o almužnu se styděl, protože mu tatínek vždycky vtloukal do hlavy, že žebrat smějí jenom starci a mrzáci."
"begging","beg","Prosit","prosit","impf"," He was ashamed to beg, because his father had always preached to him that begging should be done only by the sick or the old."," Prosit o almužnu se styděl, protože mu tatínek vždycky vtloukal do hlavy, že žebrat smějí jenom starci a mrzáci."
"reached","reach","došli","dojít","pf"," When they reached the throat of the monster, they stopped for a while to wait for the right moment in which to make their escape."," Ale když došli na místo, kde začínalo mohutné hrdlo obludy, usoudili, že se zastaví, aby se trochu rozhlédli a vyčkali, až nastane vhodný okamžik k útěku."
"suffering","suffer","trpěl","trpět","impf"," I want you to know that the Shark, being very old and suffering from asthma and heart trouble, was obliged to sleep with his mouth open."," Musíte totiž vědět, že žralok byl velmi starý, trpěl dusností a bušením srdce, a musel spát s otevřenou tlamou."
"sleep","sleep","spát","spát","impf"," I want you to know that the Shark, being very old and suffering from asthma and heart trouble, was obliged to sleep with his mouth open."," Musíte totiž vědět, že žralok byl velmi starý, trpěl dusností a bušením srdce, a musel spát s otevřenou tlamou."
"promise","promise","slíbila","slíbit","pf"," You promise that, do you not? """," Tos mi přece slíbila, ne? """
"promise","promise","Slíbila","slíbit","pf"," "" Yes, I promise, and now it is up to you. """," "" Slíbila jsem ti to, a teď všechno záleží na tobě. """
"see","see","podíval","podívat","pf"," Pinocchio goes to the seashore with his friends to see the Terrible Shark"," Pinocchio se vydá se spolužáky na pobřeží, aby se podíval na strašlivého žraloka"
"continued","continue","pokračoval","pokračovat","impf"," "" That Marionette, "" continued the Talking Cricket, "" is a rascal of the worst kind. """," "" Tenhle panáček, "" pokračoval mluvící cvrček, "" je pěkně vykutálený darebák ... """
"opened","open","otevřel","otevřít","pf"," Pinocchio opened his eyes and closed them again."," Pinocchio otevřel oči, a hned je zase zavřel."
"closed","close","zavřel","zavřít","pf"," Pinocchio opened his eyes and closed them again."," Pinocchio otevřel oči, a hned je zase zavřel."
"hid","hide","schoval","schovat","pf"," Pinocchio hid his face under the sheets."," Pinocchio si schoval hlavu pod peřinu."
"heard","hear","zaslechl","zaslechnout","pf"," After a mile or so, Pinocchio again heard the same faint voice whispering :"," Po dalším půlkilometru Pinocchio znovu zaslechl, jak mu ten slabý hlásek říká :"
"Remember","remember","pamatuj","pamatovat","impf"," "" Remember, little simpleton!"," "" Dobře si to pamatuj, ty malý trumbero!"
"Look","look","Podívej","podívat","pf"," "" Look at me, "" said the Cat."," "" Podívej se na mě! "" řekl kocour."
"said","say","řekl","říci","pf"," "" Look at me, "" said the Cat."," "" Podívej se na mě! "" řekl kocour."
"perched","perch","seděl","sedět","impf"," At that moment, a Blackbird, perched on the fence along the road, called out sharp and clear :"," V té chvíli zazpíval bílý kos, který seděl na keři u cesty, a řekl :"
"run","run","Utečeme","utéci","pf"," "" We can run out of the Shark 's mouth and dive into the sea. """," "" Utečeme žraločí tlamou, skočíme do moře a uplaveme. """
"speak","speak","mluví","mluvit","impf"," "" You speak well, but I cannot swim, my dear Pinocchio. """," "" Tobě se to mluví, jenže já, milý Pinocchio, neumím plavat. """
"swim","swim","plavat","plavat","impf"," "" You speak well, but I cannot swim, my dear Pinocchio. """," "" Tobě se to mluví, jenže já, milý Pinocchio, neumím plavat. """
"answered","answer","odpověděl","odpovědět","pf"," "" Dreams, my boy! "" answered Geppetto, shaking his head and smiling sadly."," "" Nic si nenamlouvej, chlapče! "" odpověděl Geppetto, pokýval hlavou a melancholicky se usmál."
"smiling","smile","usmál","usmát","pf"," "" Dreams, my boy! "" answered Geppetto, shaking his head and smiling sadly."," "" Nic si nenamlouvej, chlapče! "" odpověděl Geppetto, pokýval hlavou a melancholicky se usmál."
"live","live","bydlel","bydlet","impf"," Where is the old dog who used to live in this house? """," Kde je ten starý pes, co bydlel v téhle boudě? """
"died","die","umřel","umřít","pf"," "" He died this morning. """," "" Dneska ráno umřel. """
"Died","die","Umřel","umřít","pf"," "" Died?"," "" Umřel?"
"think","think","zdá","zdát","impf"," Still, judging by your face, I think you, too, are a good-natured dog. """," Ale podle toho, jak vypadáš, se mi zdá, že i ty jsi slušně vychovaný pes. """
"beg","beg","Prosím","prosit","impf"," "" I beg your pardon, I am not a dog! """," "" Prosím o prominutí, já nejsem pes! """
"taking","take","děláš","dělat","impf"," "" Are you taking the place of the watchdog? """," "" A děláš hlídacího psa? """
"went","go","šli","jít","impf"," And they went."," A šli."
"came","come","došli","dojít","pf"," They walked and walked for a half a day at least and at last they came to the town called the City of Simple Simons."," Po půldenní chůzi došli do města, které se jmenovalo Hloupětín."
"offend","offend","urazili","urazit","pf"," Being people of great refinement, they did not want to offend you so deeply as not to allow you the honor of paying the bill. """," Ti mají příliš dobré vychování, než aby milostpána takhle urazili. """
"pleasing","please","potěšila","potěšit","pf"," That offense would have been more than pleasing to me, "" said Pinocchio, scratching his head."," Taková urážka by mě moc potěšila! "" řekl Pinocchio a podrbal se na hlavě."
"said","say","řekl","říci","pf"," That offense would have been more than pleasing to me, "" said Pinocchio, scratching his head."," Taková urážka by mě moc potěšila! "" řekl Pinocchio a podrbal se na hlavě."
"hidden","hide","schoval","schovat","pf"," You have the money hidden under your tongue."," Tak ty sis peníze schoval pod jazyk?"
"Wait","wait","počkej","počkat","pf"," Wait, young man, we 'll get it from you in a twinkling! """," Jen počkej, my už se postaráme, abys je vyplivl! """
"saw","see","viděl","vidět","impf"," At the same time, he saw a Fisherman come out of the cave, a Fisherman so ugly that Pinocchio thought he was a sea monster."," A v téže chvíli viděl, jak z jeskyně vyšel rybář, tak strašně ošklivý, že vypadal jako nějaká mořská příšera."
"pulled","pull","vytáhl","vytáhnout","pf"," When the Fisherman pulled the net out of the sea, he cried out joyfully :"," Když rybář vytáhl síť z vody, spokojeně zvolal :"
"cried","cry","zvolal","zvolat","pf"," When the Fisherman pulled the net out of the sea, he cried out joyfully :"," Když rybář vytáhl síť z vody, spokojeně zvolal :"
"laugh","laugh","nesmál","smát","impf"," The little fat man did not laugh."," Ale mužíček se nesmál."
"DIED","die","ZEMŘELA","zemřít","pf"," WHO DIED OF GRIEF"," JEŽ ZEMŘELA ZÁRMUTKEM,"
"fell","fall","Padl","padnout","pf"," He fell to the ground and, covering the cold marble with kisses, burst into bitter tears."," Padl tváří k zemi, pokryl náhrobní kámen tisíci polibky a propukl v hlasitý pláč."
"covering","cover","pokryl","pokrýt","pf"," He fell to the ground and, covering the cold marble with kisses, burst into bitter tears."," Padl tváří k zemi, pokryl náhrobní kámen tisíci polibky a propukl v hlasitý pláč."
"leaped","leap","přeskakoval","přeskakovat","impf"," In his wild flight, he leaped over brambles and bushes, and across brooks and ponds, as if he were a goat or a hare chased by hounds."," Ve chvatu přeskakoval hluboké výmoly, trnité keře a příkopy plné vody jako nějaké kůzle nebo zajíc, jehož honí myslivci."
"chased","chase","honí","honit","impf"," In his wild flight, he leaped over brambles and bushes, and across brooks and ponds, as if he were a goat or a hare chased by hounds."," Ve chvatu přeskakoval hluboké výmoly, trnité keře a příkopy plné vody jako nějaké kůzle nebo zajíc, jehož honí myslivci."
"found","find","zjistil","zjistit","pf"," On reaching home, he found the house door half open."," Když doběhl k domu, zjistil, že dveře jsou jen přivřené."
"escaped","escape","vyvázl","vyváznout","pf"," "" Once more I have escaped with my life! """," "" I tentokrát jsem šťastně vyvázl! """
"call","call","vzbudit","vzbudit","pf"," Remember to call us at midnight sharp, for we must continue on our journey. """," Ale nezapomeňte nás o půlnoci vzbudit, abychom mohli pokračovat v cestě. """
"continue","continue","pokračovat","pokračovat","impf"," Remember to call us at midnight sharp, for we must continue on our journey. """," Ale nezapomeňte nás o půlnoci vzbudit, abychom mohli pokračovat v cestě. """
"fell","fall","usnul","usnout","pf"," As soon as Pinocchio was in bed, he fell fast asleep and began to dream."," Když Pinocchio vlezl do postele, v tu ránu usnul a začal se mu zdát sen."
"began","begin","začal","začít","pf"," As soon as Pinocchio was in bed, he fell fast asleep and began to dream."," Když Pinocchio vlezl do postele, v tu ránu usnul a začal se mu zdát sen."
"dream","dream","zdát","zdát","impf"," As soon as Pinocchio was in bed, he fell fast asleep and began to dream."," Když Pinocchio vlezl do postele, v tu ránu usnul a začal se mu zdát sen."
"make","make","dělat","dělat","impf"," "" Why should I make your feet over again?"," "" A proč bych ti měl dělat nové nohy?"
"run","run","utekl","utéci","pf"," To see you run away from home once more? """," Abys mi zase utekl z domova? """
"promise","promise","Slibuju","slibovat","impf"," "" I promise you, "" answered the Marionette, sobbing, "" that from now on I 'll be good - """," "" Slibuju vám, "" zavzlykal panáček, "" že ode dneška už budu hodný ... """
"said","say","říkají","říkat","impf"," "" Boys always promise that when they want something, "" said Geppetto."," "" To říkají všechny děti, když něco chtějí, "" odpověděl Geppetto."
"want","want","chtějí","chtít","impf"," "" Boys always promise that when they want something, "" said Geppetto."," "" To říkají všechny děti, když něco chtějí, "" odpověděl Geppetto."
"said","say","odpověděl","odpovědět","pf"," "" Boys always promise that when they want something, "" said Geppetto."," "" To říkají všechny děti, když něco chtějí, "" odpověděl Geppetto."
"leaning","lean","naklonil","naklonit","pf"," At that sneeze, Harlequin, who until then had been as sad as a weeping willow, smiled happily and leaning toward the Marionette, whispered to him :"," Při tom kýchnutí se Harlekýn, který tam dosud stál sklesle a shrbeně jako smuteční vrba, celý rozzářil, naklonil se k Pinocchiovi a zašeptal mu :"
"whispered","whisper","zašeptal","zašeptat","pf"," At that sneeze, Harlequin, who until then had been as sad as a weeping willow, smiled happily and leaning toward the Marionette, whispered to him :"," Při tom kýchnutí se Harlekýn, který tam dosud stál sklesle a shrbeně jako smuteční vrba, celý rozzářil, naklonil se k Pinocchiovi a zašeptal mu :"
"cried","cry","vykřikl","vykřiknout","pf"," "" And where is Father? "" he cried suddenly."," "" A kde je tatínek? "" vykřikl najednou."
"knocked","knock","zaklepal","zaklepat","pf"," After a hard race of almost an hour, tired and out of breath, Pinocchio finally reached the door of the cottage and knocked."," Po zoufalém, skoro dvouhodinovém běhu konečně celý uřícený doběhl Pinocchio ke dveřím domku a zaklepal."
"answered","answer","neodpověděl","odpovědět","pf"," No one answered."," Nikdo neodpověděl."
"heard","hear","slyšel","slyšet","impf"," He knocked again, harder than before, for behind him he heard the steps and the labored breathing of his persecutors."," Znovu zabušil, tentokrát silněji, protože už slyšel blížící se kroky a hlasité funění svých pronásledovatelů."
"saw","see","viděl","vidět","impf"," Geppetto, though trying to look very stern, felt his eyes fill with tears and his heart soften when he saw Pinocchio so unhappy."," Geppetto se sice tvářil jako ras, ale když viděl svého Pinocchia v tak žalostném stavu, měl oči plné slz a srdce mu přetékalo dojetím."
"said","say","Neřekl","říci","pf"," He said no more, but taking his tools and two pieces of wood, he set to work diligently."," Neřekl ani slovo, vzal však do rukou řezbářské náčiní a dva kousky vyschlého dřeva a horlivě se pustil do práce."
"taking","take","vzal","vzít","pf"," He said no more, but taking his tools and two pieces of wood, he set to work diligently."," Neřekl ani slovo, vzal však do rukou řezbářské náčiní a dva kousky vyschlého dřeva a horlivě se pustil do práce."
"awoke","awake","probudil","probudit","pf"," One beautiful morning, I awoke to find myself changed into a donkey - long ears, gray coat, even a tail!"," A když jsem se jednoho krásného dne probudil, zjistil jsem, že jsem se proměnil v osla s takovýmahle ušima a takovýmhle ocasem!"
"find","find","zjistil","zjistit","pf"," One beautiful morning, I awoke to find myself changed into a donkey - long ears, gray coat, even a tail!"," A když jsem se jednoho krásného dne probudil, zjistil jsem, že jsem se proměnil v osla s takovýmahle ušima a takovýmhle ocasem!"
"changed","change","proměnil","proměnit","pf"," One beautiful morning, I awoke to find myself changed into a donkey - long ears, gray coat, even a tail!"," A když jsem se jednoho krásného dne probudil, zjistil jsem, že jsem se proměnil v osla s takovýmahle ušima a takovýmhle ocasem!"
"bought","buy","koupí","koupit","pf"," Pinocchio, having become a Donkey, is bought by the owner of a Circus, who wants to teach him to do tricks."," Když se panáček stane opravdovým oslíkem, odvedou ho na trh a koupí ho principál jedné kočovné společnosti, aby ho naučil tančit a proskakovat obručemi."
"teach","teach","naučil","naučit","pf"," Pinocchio, having become a Donkey, is bought by the owner of a Circus, who wants to teach him to do tricks."," Když se panáček stane opravdovým oslíkem, odvedou ho na trh a koupí ho principál jedné kočovné společnosti, aby ho naučil tančit a proskakovat obručemi."
"poured","pour","Lilo","lít","impf"," It poured rain, it hailed, it thundered, and the lightning was so bright that it turned the night into day."," Lilo jako z konve, padaly kroupy, strašlivě hřmělo a blýskalo se tak, že bylo vidět jako za dne."
"saw","see","zahlédl","zahlédnout","pf"," At dawn, he saw, not far away from him, a long stretch of sand."," K ránu panáček zahlédl kousek před sebou dlouhý pás země."
"tried","try","Snažil","snažit","impf"," Pinocchio tried his best to get there, but he could n't."," Snažil se ze všech sil doplavat k pláži, ale marně."
"carry","carry","nést","nést","impf"," The jug was very heavy, and the Marionette, not being strong enough to carry it with his hands, had to put it on his head."," Džbán byl hrozně těžký, a protože ho panáček neunesl v rukou, nezbylo mu, než ho nést na hlavě."
"arrived","arrive","přišli","přijít","pf"," When they arrived home, the little woman made Pinocchio sit down at a small table and placed before him the bread, the cauliflower, and the cake."," Když přišli domů, dobrá paní Pinocchia posadila k prostřenému stolku a položila před něho chléb, květák se zálivkou a bonbon."
"sit","sit","posadila","posadit","pf"," When they arrived home, the little woman made Pinocchio sit down at a small table and placed before him the bread, the cauliflower, and the cake."," Když přišli domů, dobrá paní Pinocchia posadila k prostřenému stolku a položila před něho chléb, květák se zálivkou a bonbon."
"placed","place","posadila","posadit","pf"," When they arrived home, the little woman made Pinocchio sit down at a small table and placed before him the bread, the cauliflower, and the cake."," Když přišli domů, dobrá paní Pinocchia posadila k prostřenému stolku a položila před něho chléb, květák se zálivkou a bonbon."
"placed","place","položila","položit","pf"," When they arrived home, the little woman made Pinocchio sit down at a small table and placed before him the bread, the cauliflower, and the cake."," Když přišli domů, dobrá paní Pinocchia posadila k prostřenému stolku a položila před něho chléb, květák se zálivkou a bonbon."
"said","say","řekl","říci","pf"," "" You, a rich man? "" said the Fox, and he began to laugh out loud."," "" Ty, a velký pán? "" řekl lišák a hrubě a uštěpačně se zasmál."
"laugh","laugh","zasmál","zasmát","pf"," "" You, a rich man? "" said the Fox, and he began to laugh out loud."," "" Ty, a velký pán? "" řekl lišák a hrubě a uštěpačně se zasmál."
"laughing","laugh","Smál","smát","impf"," The Cat was laughing also, but tried to hide it by stroking his long whiskers."," Smál se i kocour, ale aby to nebylo vidět, předními tlapkami si uhlazoval vousy."
"make","make","dělám","dělat","impf"," "" I am very sorry to make your mouth water, but these, as you know, are five new gold pieces. """," "" Je mi opravdu líto, že vám dělám chutě, ale tady, jestli se v tom trochu vyznáte, mám pět překrásných zlaťáků. """
"tell","tell","povím","povědět","pf"," I will tell you, my dear little readers."," Já vám to povím, moji milí malí čtenáři."
"grown","grow","vyrostly","vyrůst","pf"," He found that, during the night, his ears had grown at least ten full inches!"," Ke svému obrovskému úžasu si všiml, že mu o pořádný kus vyrostly uši."
"Look","look","Podívej","podívat","pf"," "" Look at me, "" said the Fox."," "" Podívej se na mě! "" řekl lišák."
"said","say","řekl","říci","pf"," "" Look at me, "" said the Fox."," "" Podívej se na mě! "" řekl lišák."
"wait","wait","čekat","čekat","impf"," In fact, he did not have to wait very long for an offer."," A opravdu, kupci na sebe nenechali dlouho čekat."
"promise","promise","Slibuješ","slibovat","impf"," "" Do you promise? """," "" Slibuješ? """
"promise","promise","Slibuju","slibovat","impf"," "" I promise."," "" Slibuju."
"want","want","Chci","chtít","impf"," I want to become a good boy and be a comfort to my father."," Chci být hodný chlapec a chci být útěchou svému tatínkovi ..."
"want","want","chci","chtít","impf"," I want to become a good boy and be a comfort to my father."," Chci být hodný chlapec a chci být útěchou svému tatínkovi ..."
"embrace","embrace","obejmout","obejmout","pf"," "" Will I ever be lucky enough to find him and embrace him once more? """," "" Poštěstí se mi ještě někdy, abych ho zase mohl vidět a obejmout? """
"think","think","Myslím","myslet","impf"," "" I think so."," "" Myslím, že ano."
"grasped","grasp","chytá","chytat","impf"," He did not finish, for two powerful hands grasped him by the neck and the same two horrible voices growled threateningly :"," Ale to slovo už nemohl doříci, protože cítil, jak ho někdo chytá za límec, a dva známé hlasy výhružně zavrčely :"
"seeing","see","viděl","vidět","impf"," The Marionette, seeing death dancing before him, trembled so hard that the joints of his legs rattled and the coins tinkled under his tongue."," Když Pinocchio viděl, jak mu smrt probleskla před očima, začal se třást tak silně, že mu skřípaly klouby na dřevěných nohou a cinkaly ty čtyři zlaťáky, které měl schované pod jazykem."
"asked","ask","ptali","ptát","impf"," "" Well, "" the Assassins asked, "" will you open your mouth now or not?"," "" Tak co? "" ptali se ho loupežníci, "" otevřeš pusu, nebo ne?"
"open","open","otevřeš","otevřít","pf"," "" Well, "" the Assassins asked, "" will you open your mouth now or not?"," "" Tak co? "" ptali se ho loupežníci, "" otevřeš pusu, nebo ne?"
"answer","answer","neodpovíš","odpovědět","pf"," You do not answer?"," Tak ty neodpovíš?"
"Encouraged","encourage","povzbudilo","povzbudit","pf"," Encouraged by this first victory, he freed himself from the claws of his assailers and, leaping over the bushes along the road, ran swiftly across the fields."," Tohle první vítězství ho tak povzbudilo, že se loupežníkům vytrhl ze spárů, přeskočil keře u kraje cesty a dal se na útěk."
"leaping","leap","přeskočil","přeskočit","pf"," Encouraged by this first victory, he freed himself from the claws of his assailers and, leaping over the bushes along the road, ran swiftly across the fields."," Tohle první vítězství ho tak povzbudilo, že se loupežníkům vytrhl ze spárů, přeskočil keře u kraje cesty a dal se na útěk."
"chasing","chase","hnali","hnát","impf"," His pursuers were after him at once, like two dogs chasing a hare."," A loupežníci se hnali za ním jako dva psi za zajícem : ten, který přišel o tlapku, skákal po jedné noze, a nikdo se nikdy nedozvěděl, jak to vlastně dělal."
"Seeing","see","viděl","vidět","impf"," Seeing himself lost, he climbed up a giant pine tree and sat there to see what he could see."," Když viděl, že je ztracen, vylezl po kmeni vysokánské borovice a usadil se na nejvyšší větev."
"see","see","viděl","vidět","impf"," Seeing himself lost, he climbed up a giant pine tree and sat there to see what he could see."," Když viděl, že je ztracen, vylezl po kmeni vysokánské borovice a usadil se na nejvyšší větev."
"see","see","viděl","vidět","impf"," Seeing himself lost, he climbed up a giant pine tree and sat there to see what he could see."," Když viděl, že je ztracen, vylezl po kmeni vysokánské borovice a usadil se na nejvyšší větev."
"lost","lose","ztracen","ztratit","pf"," Seeing himself lost, he climbed up a giant pine tree and sat there to see what he could see."," Když viděl, že je ztracen, vylezl po kmeni vysokánské borovice a usadil se na nejvyšší větev."
"climbed","climb","vylezl","vylézt","pf"," Seeing himself lost, he climbed up a giant pine tree and sat there to see what he could see."," Když viděl, že je ztracen, vylezl po kmeni vysokánské borovice a usadil se na nejvyšší větev."
"sat","sit","usadil","usadit","pf"," Seeing himself lost, he climbed up a giant pine tree and sat there to see what he could see."," Když viděl, že je ztracen, vylezl po kmeni vysokánské borovice a usadil se na nejvyšší větev."
"seeing","see","uviděli","uvidět","pf"," But the people in the street, seeing a wooden Marionette running like the wind, stood still to stare and to laugh until they cried."," Ale když lidé na ulici uviděli dřevěného panáčka, jak se žene jako splašený, zastavovali se a pobaveně ho pozorovali a smáli se a smáli, až se za břicho popadali."
"seeing","see","pozorovali","pozorovat","impf"," But the people in the street, seeing a wooden Marionette running like the wind, stood still to stare and to laugh until they cried."," Ale když lidé na ulici uviděli dřevěného panáčka, jak se žene jako splašený, zastavovali se a pobaveně ho pozorovali a smáli se a smáli, až se za břicho popadali."
"laugh","laugh","smáli","smát","impf"," But the people in the street, seeing a wooden Marionette running like the wind, stood still to stare and to laugh until they cried."," Ale když lidé na ulici uviděli dřevěného panáčka, jak se žene jako splašený, zastavovali se a pobaveně ho pozorovali a smáli se a smáli, až se za břicho popadali."
"laugh","laugh","smáli","smát","impf"," But the people in the street, seeing a wooden Marionette running like the wind, stood still to stare and to laugh until they cried."," Ale když lidé na ulici uviděli dřevěného panáčka, jak se žene jako splašený, zastavovali se a pobaveně ho pozorovali a smáli se a smáli, až se za břicho popadali."
"hearing","hear","slyšel","slyšet","impf"," At last, by sheer luck, a Carabineer[A military policeman ] happened along, who, hearing all that noise, thought that it might be a runaway colt, and stood bravely in the middle of the street, with legs wide apart, firmly resolved to stop it and prevent any trouble."," Naštěstí šel kolem četník, a když slyšel všechen ten povyk, myslel si, že se splašilo hříbě, a nebojácně se rozkročil uprostřed ulice s pevným odhodláním zastavit je a zabránit nějakému dalšímu neštěstí."
"thought","think","myslel","myslet","impf"," At last, by sheer luck, a Carabineer[A military policeman ] happened along, who, hearing all that noise, thought that it might be a runaway colt, and stood bravely in the middle of the street, with legs wide apart, firmly resolved to stop it and prevent any trouble."," Naštěstí šel kolem četník, a když slyšel všechen ten povyk, myslel si, že se splašilo hříbě, a nebojácně se rozkročil uprostřed ulice s pevným odhodláním zastavit je a zabránit nějakému dalšímu neštěstí."
"prevent","prevent","zabránit","zabránit","pf"," At last, by sheer luck, a Carabineer[A military policeman ] happened along, who, hearing all that noise, thought that it might be a runaway colt, and stood bravely in the middle of the street, with legs wide apart, firmly resolved to stop it and prevent any trouble."," Naštěstí šel kolem četník, a když slyšel všechen ten povyk, myslel si, že se splašilo hříbě, a nebojácně se rozkročil uprostřed ulice s pevným odhodláním zastavit je a zabránit nějakému dalšímu neštěstí."
"invite","invite","pozval","pozvat","pf"," That day, he went straight to his friend 's house to invite him to the party, but Lamp-Wick was not at home."," Proto za ním hned zašel, aby ho pozval na hostinu, ale nezastihl ho doma."
"done","do","Udělal","udělat","pf"," "" I have done what you have commanded. """," "" Udělal jsem, co jste mi poručila. """
"commanded","command","poručila","poručit","pf"," "" I have done what you have commanded. """," "" Udělal jsem, co jste mi poručila. """
"find","find","našel","najít","pf"," "" How did you find him?"," "" A v jakém stavu jsi ho našel?"
"run","run","neutekl","utéci","pf"," If I had not run away from home and if Father were here now, I should not be dying of hunger."," Kdybych neutekl z domova a kdyby byl můj tatínek tady, teď bych neumíral hlady!"
"dying","die","neumíral","umírat","impf"," If I had not run away from home and if Father were here now, I should not be dying of hunger."," Kdybych neutekl z domova a kdyby byl můj tatínek tady, teď bych neumíral hlady!"
"lead","lead","vést","vést","impf"," The lame Fox leaned on the Cat, and the blind Cat let the Fox lead him along."," Lišák, který kulhal, se při chůzi opíral o kocoura, a kocour, který byl slepý, se dal vést lišákem."
"promise","promise","slibují","slibovat","impf"," "" Do n't listen to those who promise you wealth overnight, my boy."," "" Nevěř, chlapče, těm, kdo ti slibují, že z tebe přes noc udělají boháče."
"Do","do","udělají","udělat","pf"," "" Do n't listen to those who promise you wealth overnight, my boy."," "" Nevěř, chlapče, těm, kdo ti slibují, že z tebe přes noc udělají boháče."
"want","want","chci","chtít","impf"," "" But I want to go on! """," "" Jenže já chci jít dál. """
"go","go","jít","jít","impf"," "" But I want to go on! """," "" Jenže já chci jít dál. """
"want","want","Chci","chtít","impf"," "" I want to go on. """," "" Chci jít dál. """
"go","go","jít","jít","impf"," "" I want to go on. """," "" Chci jít dál. """
"want","want","Chci","chtít","impf"," "" I want to go on. """," "" Chci jít dál."
"go","go","jít","jít","impf"," "" I want to go on. """," "" Chci jít dál."
"feed","feed","krmil","krmit","impf"," "" Do you pretend, by any chance, that I should feed you duck or chicken? "" asked the man again, and, angrier than ever, he gave poor Pinocchio another lashing."," "" To bys snad chtěl, abych osla jako ty krmil kuřecími prsíčky a kapounem v rosolu? "" pokračoval majitel, zlobil se čím dál víc a znovu ho šlehl bičem."
"opened","open","otevíral","otevírat","impf"," As he yawned, he opened a mouth as big as an oven."," A při tom zívání otevíral tlamu dokořán, takže vypadala jako pec."
"shivering","shiver","Třásl","třást","impf"," Was he shivering from fear or from cold?"," Třásl se zimou, nebo strachy?"
"said","say","řekl","říci","pf"," The poor old fellow did not know how to defend himself, but wept and wailed like a child and said between his sobs :"," Ten nevěděl, co by řekl na svou obhajobu, a tak plakal jako želva a cestou do vězení vzlykal :"
