"nodded","nod","Přikývla","přikývnout","pf"," She nodded."," Přikývla."
"seemed","seem","zdálo","zdát","impf"," But that new secret permeated my entire body and filled it so entirely that it seemed inevitable that it would surface at any moment."," Ono nové tajemství však prostupovalo celým mým tělem a naplňovalo je tak beze zbytku, až se zdálo jisté, že v příštím okamžiku prorazí na povrch."
"keep","keep","udržet","udržet","pf"," My struggle to keep it inside at all costs caused my hands to start trembling."," Snaha udržet je za každou cenu uvnitř způsobovala, že se mi začaly třást ruce."
"start","start","začaly","začít","pf"," My struggle to keep it inside at all costs caused my hands to start trembling."," Snaha udržet je za každou cenu uvnitř způsobovala, že se mi začaly třást ruce."
"broke","break","rozbil","rozbít","pf"," I knocked over and broke more glasses and cups than Agata."," Převrhl a rozbil jsem více sklenic a hrnků než Agáta."
"telling","tell","říkal","říkat","impf"," Your father was telling me that you do a bit of writing, and he asked me if I 'd be willing to talk to you about it a couple of times a week."," Otec mi říkal, že trochu píšeš, a ptal se mne, zda bych byl ochoten si o tom s tebou párkrát týdně povídat."
"asked","ask","ptal","ptát","impf"," Your father was telling me that you do a bit of writing, and he asked me if I 'd be willing to talk to you about it a couple of times a week."," Otec mi říkal, že trochu píšeš, a ptal se mne, zda bych byl ochoten si o tom s tebou párkrát týdně povídat."
"telling","tell","povídat","povídat","impf"," Your father was telling me that you do a bit of writing, and he asked me if I 'd be willing to talk to you about it a couple of times a week."," Otec mi říkal, že trochu píšeš, a ptal se mne, zda bych byl ochoten si o tom s tebou párkrát týdně povídat."
"explained","explain","Vysvětloval","vysvětlovat","impf"," I explained to him that I really do n't have any time to spare and that in addition I 'm a trifle sceptical about such courses."," Vysvětloval jsem mu, že opravdu nemám času nazbyt a že jsem navíc vůči podobným kursům trochu skeptický."
"accepted","accept","přijal","přijmout","pf"," The reason I eventually accepted his proposal was above all because he offered me - at least from my perspective - lots of money. """," Jestliže jsem jeho návrh nakonec přijal, bylo to především proto, že mi nabídl - alespoň z mého pohledu - hodně peněz. """
"offered","offer","nabídl","nabídnout","pf"," The reason I eventually accepted his proposal was above all because he offered me - at least from my perspective - lots of money. """," Jestliže jsem jeho návrh nakonec přijal, bylo to především proto, že mi nabídl - alespoň z mého pohledu - hodně peněz. """
"seemed","seem","Zdálo","zdát","impf"," It seemed to me as if she had nodded."," Zdálo se mi, jako by kývla."
"nodded","nod","kývla","kývnout","pf"," It seemed to me as if she had nodded."," Zdálo se mi, jako by kývla."
"sat","sit","Usedli","usednout","pf"," So we sat down on the 1931 armchairs and stared at stars that were millions of years old."," Usedli jsme tedy do křesel z roku 1931 a dívali se na hvězdy staré milióny let."
"said","say","řekl","říci","pf"," "" Fantastic, "" I said."," "" Paráda, "" řekl jsem."
"recall","recall","vzpomínám","vzpomínat","impf"," Our sudden discovery inspired Beata to a number of time-space reflections that I am incapable of reproducing here even approximately ( I recall only her assertion that it could be a way of understanding absolutely, but absolutely everything, which triggered off in me the irrational hope that from this position I might one day understand even the novels of Daniela Hodrova )."," Beátu náš náhlý objev inspiroval k několika glosám o časoprostoru, které už však dnes nedokážu rekonstruovat ani přibližně ( vzpomínám si pouze na její tvrzení, že takhle prý lze možná pochopit úplně, ale úplně všechno, které ve mně vyvolalo iracionální naději, že bych z tohoto místa mohl snad někdy porozumět i románům Daniely Hodrové )."
"understanding","understand","pochopit","pochopit","pf"," Our sudden discovery inspired Beata to a number of time-space reflections that I am incapable of reproducing here even approximately ( I recall only her assertion that it could be a way of understanding absolutely, but absolutely everything, which triggered off in me the irrational hope that from this position I might one day understand even the novels of Daniela Hodrova )."," Beátu náš náhlý objev inspiroval k několika glosám o časoprostoru, které už však dnes nedokážu rekonstruovat ani přibližně ( vzpomínám si pouze na její tvrzení, že takhle prý lze možná pochopit úplně, ale úplně všechno, které ve mně vyvolalo iracionální naději, že bych z tohoto místa mohl snad někdy porozumět i románům Daniely Hodrové )."
"understand","understand","pochopit","pochopit","pf"," Our sudden discovery inspired Beata to a number of time-space reflections that I am incapable of reproducing here even approximately ( I recall only her assertion that it could be a way of understanding absolutely, but absolutely everything, which triggered off in me the irrational hope that from this position I might one day understand even the novels of Daniela Hodrova )."," Beátu náš náhlý objev inspiroval k několika glosám o časoprostoru, které už však dnes nedokážu rekonstruovat ani přibližně ( vzpomínám si pouze na její tvrzení, že takhle prý lze možná pochopit úplně, ale úplně všechno, které ve mně vyvolalo iracionální naději, že bych z tohoto místa mohl snad někdy porozumět i románům Daniely Hodrové )."
"inspired","inspire","vyvolalo","vyvolat","pf"," Our sudden discovery inspired Beata to a number of time-space reflections that I am incapable of reproducing here even approximately ( I recall only her assertion that it could be a way of understanding absolutely, but absolutely everything, which triggered off in me the irrational hope that from this position I might one day understand even the novels of Daniela Hodrova )."," Beátu náš náhlý objev inspiroval k několika glosám o časoprostoru, které už však dnes nedokážu rekonstruovat ani přibližně ( vzpomínám si pouze na její tvrzení, že takhle prý lze možná pochopit úplně, ale úplně všechno, které ve mně vyvolalo iracionální naději, že bych z tohoto místa mohl snad někdy porozumět i románům Daniely Hodrové )."
"understanding","understand","porozumět","porozumět","pf"," Our sudden discovery inspired Beata to a number of time-space reflections that I am incapable of reproducing here even approximately ( I recall only her assertion that it could be a way of understanding absolutely, but absolutely everything, which triggered off in me the irrational hope that from this position I might one day understand even the novels of Daniela Hodrova )."," Beátu náš náhlý objev inspiroval k několika glosám o časoprostoru, které už však dnes nedokážu rekonstruovat ani přibližně ( vzpomínám si pouze na její tvrzení, že takhle prý lze možná pochopit úplně, ale úplně všechno, které ve mně vyvolalo iracionální naději, že bych z tohoto místa mohl snad někdy porozumět i románům Daniely Hodrové )."
"understand","understand","porozumět","porozumět","pf"," Our sudden discovery inspired Beata to a number of time-space reflections that I am incapable of reproducing here even approximately ( I recall only her assertion that it could be a way of understanding absolutely, but absolutely everything, which triggered off in me the irrational hope that from this position I might one day understand even the novels of Daniela Hodrova )."," Beátu náš náhlý objev inspiroval k několika glosám o časoprostoru, které už však dnes nedokážu rekonstruovat ani přibližně ( vzpomínám si pouze na její tvrzení, že takhle prý lze možná pochopit úplně, ale úplně všechno, které ve mně vyvolalo iracionální naději, že bych z tohoto místa mohl snad někdy porozumět i románům Daniely Hodrové )."
"said","say","řekl","říci","pf"," "" So, "" he said briskly."," "" Takže, "" řekl energicky."
"took","take","brala","brát","impf"," She played ping-pong with the kids, took them to the cinema and travelled to various sporting championships to support them ( whenever I could I would travel with them, but for the life of me I was incapable of transforming myself into a frantically jubilant fan the way she did after every goal or basket scored."," Hrála s dětmi ping - pong, brala je do kina a jezdila jim fandit na nejrůznější sportovní turnaje ( pokud jsem mohl, jezdíval jsem s nimi, ale proměnit se po každém koši či gólu ve freneticky rozjásanou mažoretku, jak to předváděla ona, jsem při nejlepší vůli neuměl )."
"did","do","brala","brát","impf"," She played ping-pong with the kids, took them to the cinema and travelled to various sporting championships to support them ( whenever I could I would travel with them, but for the life of me I was incapable of transforming myself into a frantically jubilant fan the way she did after every goal or basket scored."," Hrála s dětmi ping - pong, brala je do kina a jezdila jim fandit na nejrůznější sportovní turnaje ( pokud jsem mohl, jezdíval jsem s nimi, ale proměnit se po každém koši či gólu ve freneticky rozjásanou mažoretku, jak to předváděla ona, jsem při nejlepší vůli neuměl )."
"travelled","travel","jezdila","jezdit","impf"," She played ping-pong with the kids, took them to the cinema and travelled to various sporting championships to support them ( whenever I could I would travel with them, but for the life of me I was incapable of transforming myself into a frantically jubilant fan the way she did after every goal or basket scored."," Hrála s dětmi ping - pong, brala je do kina a jezdila jim fandit na nejrůznější sportovní turnaje ( pokud jsem mohl, jezdíval jsem s nimi, ale proměnit se po každém koši či gólu ve freneticky rozjásanou mažoretku, jak to předváděla ona, jsem při nejlepší vůli neuměl )."
"travel","travel","jezdila","jezdit","impf"," She played ping-pong with the kids, took them to the cinema and travelled to various sporting championships to support them ( whenever I could I would travel with them, but for the life of me I was incapable of transforming myself into a frantically jubilant fan the way she did after every goal or basket scored."," Hrála s dětmi ping - pong, brala je do kina a jezdila jim fandit na nejrůznější sportovní turnaje ( pokud jsem mohl, jezdíval jsem s nimi, ale proměnit se po každém koši či gólu ve freneticky rozjásanou mažoretku, jak to předváděla ona, jsem při nejlepší vůli neuměl )."
"transforming","transform","proměnit","proměnit","pf"," She played ping-pong with the kids, took them to the cinema and travelled to various sporting championships to support them ( whenever I could I would travel with them, but for the life of me I was incapable of transforming myself into a frantically jubilant fan the way she did after every goal or basket scored."," Hrála s dětmi ping - pong, brala je do kina a jezdila jim fandit na nejrůznější sportovní turnaje ( pokud jsem mohl, jezdíval jsem s nimi, ale proměnit se po každém koši či gólu ve freneticky rozjásanou mažoretku, jak to předváděla ona, jsem při nejlepší vůli neuměl )."
"sporting","sport","předváděla","předvádět","impf"," She played ping-pong with the kids, took them to the cinema and travelled to various sporting championships to support them ( whenever I could I would travel with them, but for the life of me I was incapable of transforming myself into a frantically jubilant fan the way she did after every goal or basket scored."," Hrála s dětmi ping - pong, brala je do kina a jezdila jim fandit na nejrůznější sportovní turnaje ( pokud jsem mohl, jezdíval jsem s nimi, ale proměnit se po každém koši či gólu ve freneticky rozjásanou mažoretku, jak to předváděla ona, jsem při nejlepší vůli neuměl )."
"read","read","Četla","číst","impf"," ) She read Pestalozzi, Diesterweg and Helus."," Četla Pestalozziho, Diesterwega, Heluse."
"invited","invite","pozvala","pozvat","pf"," When she read somewhere about the meetings with students that President Masaryk used to hold, the very next Sunday she invited twenty-eight of her pupils to a little afternoon party."," Když se kdesi dočetla o Masarykových domáckých sezeních se studenty, hned příští neděli pozvala dvacet osm svých dětí na malou odpolední party."
"see","see","Uvidím","uvidět","pf"," I would see, she said, that something really great would emerge out of all that constant artistic and intellectual ferment, out of that explosion of creativity ( it struck me that it was n't so much an explosion of creativity as an explosion of private joy at the rate of the crown to the dollar, but I held my tongue )."," Uvidím prý, že z toho permanentního umělecko - intelektuálního vření, z toho výbuchu kreativity vzejde cosi opravdu velkého ( napadlo mne, že to možná není výbuch kreativity, nýbrž výbuch vnitřní radosti nad kursem dolaru vůči koruně, ale mlčel jsem )."
"emerge","emerge","vzejde","vzejít","pf"," I would see, she said, that something really great would emerge out of all that constant artistic and intellectual ferment, out of that explosion of creativity ( it struck me that it was n't so much an explosion of creativity as an explosion of private joy at the rate of the crown to the dollar, but I held my tongue )."," Uvidím prý, že z toho permanentního umělecko - intelektuálního vření, z toho výbuchu kreativity vzejde cosi opravdu velkého ( napadlo mne, že to možná není výbuch kreativity, nýbrž výbuch vnitřní radosti nad kursem dolaru vůči koruně, ale mlčel jsem )."
"struck","strike","napadlo","napadnout","pf"," I would see, she said, that something really great would emerge out of all that constant artistic and intellectual ferment, out of that explosion of creativity ( it struck me that it was n't so much an explosion of creativity as an explosion of private joy at the rate of the crown to the dollar, but I held my tongue )."," Uvidím prý, že z toho permanentního umělecko - intelektuálního vření, z toho výbuchu kreativity vzejde cosi opravdu velkého ( napadlo mne, že to možná není výbuch kreativity, nýbrž výbuch vnitřní radosti nad kursem dolaru vůči koruně, ale mlčel jsem )."
"starting","start","začínala","začínat","impf"," The evenings in Beata 's attic proved insufficient ( particularly in view of the fact that Agata 's possible incursions were a permanent danger, and Mrs Kralova was starting to be as dangerously suspicious as the sales assistants at Kotva )."," Večery v Beátině podkroví nestačily ( tím spíš, že Agátiny možné vpády byly permanentním nebezpečím a že paní Králová, se svou podezíravostí začínala nebezpečně podobat prodavačkám z Kotvy )."
"say","say","řekla","říci","pf"," "" Did she say it out loud? """," "" Jestli to řekla nahlas? """
"understand","understand","Nepochopil","pochopit","pf"," He could n't understand."," Nepochopil."
"Come","come","Pojďte","jít","impf"," "" Come with me, "" he instructed me cheerily. He steered me into his fine office and paid me ten thousand crowns as an advance on July."," "" Pojďte se mnou, "" poručil mi radostně a odvlekl mne do své krásné pracovny, kde mi v hotovosti vyplatil deset tisíc korun jako zálohu na červenec."
"paid","pay","vyplatil","vyplatit","pf"," "" Come with me, "" he instructed me cheerily. He steered me into his fine office and paid me ten thousand crowns as an advance on July."," "" Pojďte se mnou, "" poručil mi radostně a odvlekl mne do své krásné pracovny, kde mi v hotovosti vyplatil deset tisíc korun jako zálohu na červenec."
"see","see","Uvidíte","uvidět","pf"," "" She 'll give in, you 'll see! "" he assured me."," "" Uvidíte, že se to poddá! "" ujistil mě."
"assured","assure","ujistil","ujistit","pf"," "" She 'll give in, you 'll see! "" he assured me."," "" Uvidíte, že se to poddá! "" ujistil mě."
"paying","pay","platíš","platit","impf"," "" So if you were paying me for that kind of course, then you 're right, it would be a rather risky investment. """," "" Pokud mě teda platíš za tento druh kursu, máš pravdu, že je to trochu riziková investice. """
"running","run","běhali","běhat","impf"," On the asphalt playground in front of the school the ninth years were running sixty-metre races - Doubek in particular drew my attention."," Na asfaltové rovince před školou běhali deváťáci šedesátku - zaznamenal jsem především přítomnost Doubka."
"said","say","řekla","říci","pf"," "" Hi, "" she said wearily."," "" Ahoj, "" řekla utahaně."
"choose","choose","vybrala","vybrat","pf"," So why did she choose that one in particular?"," Proč tedy vybrala zrovna tuhle?"
"explain","explain","vysvětlila","vysvětlit","pf"," To explain her initial contemptuous behaviour, she said."," Prý aby mi vysvětlila své počáteční chování."
"destroying","destroy","zničit","zničit","pf"," At the present time, she alleged, she was interested only in destroying the traditional narrative form."," V současné době ji údajně zajímá jedině to, jak tradiční vyprávěcí formu zničit."
"return","return","vrátit","vrátit","pf"," "" Whereas all I want to know is how to return to it, "" I said."," "" Mě zase jedině to, jak se k ní vrátit, "" řekl jsem."
"said","say","řekl","říci","pf"," "" Whereas all I want to know is how to return to it, "" I said."," "" Mě zase jedině to, jak se k ní vrátit, "" řekl jsem."
"gave","give","vydala","vydat","pf"," The Krals were flying off on holiday on Tuesday morning, so on the Principal 's instructions the class teacher gave Agata her school report a day early."," Královi odlétali na dovolenou v úterý ráno, takže třídní učitelka na ředitelův pokyn vydala Agátě vysvědčení o den dřív."
"see","see","Uvidíme","uvidět","pf"," "" We 'll see, "" I said."," "" Uvidíme, "" řekl jsem."
"said","say","řekl","říci","pf"," "" We 'll see, "" I said."," "" Uvidíme, "" řekl jsem."
"went","go","Šla","jít","impf"," She went into the bathroom."," Šla do koupelny."
"picked","pick","Vzal","vzít","pf"," I picked up the proofs and checked the first pages."," Vzal jsem korektury a prohlížel jsem si vstupní stránky."
"caught","catch","přistihla","přistihnout","pf"," I put the radio on loud in the background, as a result of which my wife later caught me performing an action I describe inexpertly as the soul squirm."," Pustil jsem si k tomu hlasitě rádio, čímž se stalo, že mne žena později přistihla při pohybu, kterému laicky říkám soulové zavlnění."
"observed","observe","Pozorovala","pozorovat","impf"," She observed me condescendingly, her hair wrapped in a towel."," Pozorovala mne velmi shovívavě, ručník zatočený na hlavě."
"admitted","admit","připustil","připustit","pf"," "" OK, "" I admitted."," "" No dobře, "" připustil jsem."
"announced","announce","oznámila","oznámit","pf"," "" Good night, "" she announced in a matter-of-fact way."," "" Dobrou noc, "" oznámila mi věcně."
"smashing","smash","lámali","lámat","impf"," Each of them was making a fairly good job of smashing so-called flue bricks with the edge of his hand."," Malíkovou hranou pravé ruky celkem úspěšně lámali cihly řečené hurdisky."
"asked","ask","zeptal","zeptat","pf"," "" Was he working for them? "" I eventually asked, for want of anything better to say."," "" On byl estébák? "" zeptal jsem se posléze, abych něco řekl."
"say","say","řekl","říci","pf"," "" Was he working for them? "" I eventually asked, for want of anything better to say."," "" On byl estébák? "" zeptal jsem se posléze, abych něco řekl."
"tell","tell","řečeno","říci","pf"," To tell the truth, it was n't particularly bothering me at that moment."," Upřímně řečeno mě to v dané chvíli zase tak nepálilo."
"confide","confide","svěřit","svěřit","pf"," Rather, I had a need to confide in someone."," Potřeboval jsem se spíš někomu svěřit."
"outlined","outline","naznačil","naznačit","pf"," In a veiled fashion I outlined my recent problems with Beata."," Zaobaleně jsem jim naznačil své předchozí obtíže s Beátou."
"explain","explain","vysvětlit","vysvětlit","pf"," I lodged an appeal with the Principal ( I now find it hard to explain my naivety at the time ), from whom I obtained a half-hearted, grudging promise to remedy the situation. He immediately forgot about the matter for good, however, as he had to go and sign for the microwave ovens that had just been delivered."," Interpeloval jsem a ředitele ( dnes už si onu svou naivitu neumím dost dobře vysvětlit ), který bez zájmu a neochotně přislíbil zjednání nápravy, ale hned vzápětí na celý problém navždy zapomněl, neboť zrovna přivezli mikrovlnné trouby, a on musel převzít zboží."
"forgot","forget","zapomněl","zapomenout","pf"," I lodged an appeal with the Principal ( I now find it hard to explain my naivety at the time ), from whom I obtained a half-hearted, grudging promise to remedy the situation. He immediately forgot about the matter for good, however, as he had to go and sign for the microwave ovens that had just been delivered."," Interpeloval jsem a ředitele ( dnes už si onu svou naivitu neumím dost dobře vysvětlit ), který bez zájmu a neochotně přislíbil zjednání nápravy, ale hned vzápětí na celý problém navždy zapomněl, neboť zrovna přivezli mikrovlnné trouby, a on musel převzít zboží."
"reminded","remind","připomněl","připomenout","pf"," Fighting for understanding, I reminded myself."," Dobývat porozumění, připomněl jsem si."
"restored","restore","Obnovil","obnovit","pf"," I restored the quarter-inch gap between our sun-warmed shoulders."," Obnovil jsem onu půlcentimetrovou mezeru mezi našimi rozpálenými rameny :"
"mean","mean","Myslíš","myslet","impf"," "" On New Year 's morning, you mean? """," "" Myslíš na Nový rok? """
"thinking","think","myslíš","myslet","impf"," "" I just want to know what you are thinking about when you wake up ... """," "" Na co prostě myslíš po probuzení ... """
"wanted","want","chtěla","chtít","impf"," She blushed with pleasure and wanted to give me a playful slap, but as she brought back her arm, she banged her hand on the rear-view mirror :"," Potěšeně zčervenala a chtěla mě laškovně plácnout, ale jak se rozmáchla, narazila rukou do zpětného zrcátka :"
"raised","raise","zdvihla","zdvihnout","pf"," Beata raised her eyebrows and straightened the mirror."," Beáta zdvihla obočí a zrcátko narovnala."
"straightened","straighten","narovnala","narovnat","pf"," Beata raised her eyebrows and straightened the mirror."," Beáta zdvihla obočí a zrcátko narovnala."
"said","say","pravila","pravit","pf"," "" Well, "" she said amiably, "" do you think we can go now? """," "" No, "" pravila vlídně, "" myslíte, že už můžem? """
"think","think","myslíte","myslet","impf"," "" Well, "" she said amiably, "" do you think we can go now? """," "" No, "" pravila vlídně, "" myslíte, že už můžem? """
"drove","drive","jela","jet","impf"," Beata drove swiftly but surely."," Beáta jela rychle, ale jistě."
"meant","mean","Znamenalo","znamenat","impf"," Among other things it also meant that she was only just making up her mind whether or not to be angry with me."," Znamenalo to mimo jiné i to, že se teprve rozhoduje, zda se má či nemá naštvat."
"employing","employ","použil","použít","pf"," I pulled myself together in order to relate to her the story of the previous night, naturally employing a certain ironical and self-disparaging hyperbole, as well as various other well-known narrative techniques, but essentially my report was entirely truthful ( I did n't even conceal my lecherous designs on the busty redhead ), but she listened to me with an exceedingly sceptical expression."," Vzchopil jsem se, abych jí převyprávěl příběh uplynulé noci : použil jsem samozřejmě jisté ironické a sebeironické nadsázky, jakož i několika dalších běžných narativních postupů, ale v zásadě bylo mé líčení naprosto pravdivé ( nesmlčel jsem dokonce ani svou chlípnou touhu po prsaté rusovlásce ), jenže ona se stejně tvářila nanejvýš pochybovačně."
"went","go","odešlo","odejít","pf"," I went on to inform him how many greenhouses we had, how many teachers had left the school, how many of the remainder had diplomas, how long the teachers ' meetings took on average, and how many D 's and failures a woman teacher was capable of handing out in the course of a single lesson."," Dále jsem mu vyprávěl, kolik má naše škola skleníků, kolik ze školy odešlo učitelů, kolik těch zbylých je aprobovaných, kolik minut průměrně trvá pedagogická porada a kolik pětek a čtyřek dokáže za jedinou hodinu rozdat jediná učitelka."
"left","leave","odešlo","odejít","pf"," I went on to inform him how many greenhouses we had, how many teachers had left the school, how many of the remainder had diplomas, how long the teachers ' meetings took on average, and how many D 's and failures a woman teacher was capable of handing out in the course of a single lesson."," Dále jsem mu vyprávěl, kolik má naše škola skleníků, kolik ze školy odešlo učitelů, kolik těch zbylých je aprobovaných, kolik minut průměrně trvá pedagogická porada a kolik pětek a čtyřek dokáže za jedinou hodinu rozdat jediná učitelka."
"took","take","trvá","trvat","impf"," I went on to inform him how many greenhouses we had, how many teachers had left the school, how many of the remainder had diplomas, how long the teachers ' meetings took on average, and how many D 's and failures a woman teacher was capable of handing out in the course of a single lesson."," Dále jsem mu vyprávěl, kolik má naše škola skleníků, kolik ze školy odešlo učitelů, kolik těch zbylých je aprobovaných, kolik minut průměrně trvá pedagogická porada a kolik pětek a čtyřek dokáže za jedinou hodinu rozdat jediná učitelka."
"did","do","půjde","jít","impf"," I deduced that it was most likely a matter of coaching Agata, but I was rather perturbed that Kcal clearly took it for granted, although he did not actually say as much, that I would accept his offer - and this could also be detected in the fact that he suggested only one date for me to meet him."," Logicky jsem předpokládal, že půjde o doučování Agáty, ale trochu zarážející byla Králova navenek nepřiznaná, ale postřehnutelná samozřejmá jistota, že jeho nabídku přijmu, - jejím výrazem byla bezpochyby i skutečnost, že stanovil pouze jediný termín naší schůzky."
"took","take","přijmu","přijmout","pf"," I deduced that it was most likely a matter of coaching Agata, but I was rather perturbed that Kcal clearly took it for granted, although he did not actually say as much, that I would accept his offer - and this could also be detected in the fact that he suggested only one date for me to meet him."," Logicky jsem předpokládal, že půjde o doučování Agáty, ale trochu zarážející byla Králova navenek nepřiznaná, ale postřehnutelná samozřejmá jistota, že jeho nabídku přijmu, - jejím výrazem byla bezpochyby i skutečnost, že stanovil pouze jediný termín naší schůzky."
"accept","accept","přijmu","přijmout","pf"," I deduced that it was most likely a matter of coaching Agata, but I was rather perturbed that Kcal clearly took it for granted, although he did not actually say as much, that I would accept his offer - and this could also be detected in the fact that he suggested only one date for me to meet him."," Logicky jsem předpokládal, že půjde o doučování Agáty, ale trochu zarážející byla Králova navenek nepřiznaná, ale postřehnutelná samozřejmá jistota, že jeho nabídku přijmu, - jejím výrazem byla bezpochyby i skutečnost, že stanovil pouze jediný termín naší schůzky."
"pulling","pull","přitáhl","přitáhnout","pf"," "" By his eighteenth birthday ..., "" explained the concert presenter, staring with a hurt expression at Vlastimil Lizanek who, with black headphones on his ears, was just pulling his neighbour 's elbow towards him to assist his imitation of an electric guitar player, "" ... by his eighteenth birthday, the young Mozart had created over two hundred musical compositions. """," "" Již do svých osmnácti let, "" pravila průvodkyně pořadem a ublíženě pohlédla na Vlastimila Lizánka, který - s černými sluchátky na uších - si právě přitáhl paži svého souseda po pravici, aby s její pomocí mohl lépe imitovat hráče na elektrickou kytaru, "" již do svých osmnácti let vytvořil mladý Mozart přes dvě stovky hudebních děl. """
"created","create","vytvořil","vytvořit","pf"," "" By his eighteenth birthday ..., "" explained the concert presenter, staring with a hurt expression at Vlastimil Lizanek who, with black headphones on his ears, was just pulling his neighbour 's elbow towards him to assist his imitation of an electric guitar player, "" ... by his eighteenth birthday, the young Mozart had created over two hundred musical compositions. """," "" Již do svých osmnácti let, "" pravila průvodkyně pořadem a ublíženě pohlédla na Vlastimila Lizánka, který - s černými sluchátky na uších - si právě přitáhl paži svého souseda po pravici, aby s její pomocí mohl lépe imitovat hráče na elektrickou kytaru, "" již do svých osmnácti let vytvořil mladý Mozart přes dvě stovky hudebních děl. """
"order","order","objednal","objednat","pf"," Kral silently motioned to me to order first."," Král mne mlčky vybídl, abych si objednal první."
"said","say","řekl","říci","pf"," "" Fried cheese, "" I said."," "" Smažený sýr, "" řekl jsem."
"looked","look","pohlédl","pohlédnout","pf"," The barman looked at Kral."," Barman pohlédl na Krále."
"said","say","řekl","říci","pf"," "" The gentleman is a humorist, "" said Kral."," "" Pán je humorista, "" řekl Král."
"ordered","order","Poručil","poručit","pf"," He ordered champagne."," Poručil šampaňské."
"teaching","teach","učím","učit","impf"," "" I 'm teaching first period tomorrow, "" I pointed out to him."," "" Ráno první hodinu učím, "" upozornil jsem ho."
"hangs","hang","visí","viset","impf"," Above the double entrance doors, precisely in the spot where, on my good old hardworking parents ' cottage there hangs a rusty horseshoe, an eye-catching red lamp hung."," Nad dvojkřídlými vstupními dveřmi, přesně v tom místě, kde na domečku mých dobrých, pracovitých rodičů visí rezavá koňská podkova, zde byla zavěšena nepřehlédnutelná červená lucernička."
"hung","hang","visí","viset","impf"," Above the double entrance doors, precisely in the spot where, on my good old hardworking parents ' cottage there hangs a rusty horseshoe, an eye-catching red lamp hung."," Nad dvojkřídlými vstupními dveřmi, přesně v tom místě, kde na domečku mých dobrých, pracovitých rodičů visí rezavá koňská podkova, zde byla zavěšena nepřehlédnutelná červená lucernička."
"hangs","hang","zavěšena","zavěsit","pf"," Above the double entrance doors, precisely in the spot where, on my good old hardworking parents ' cottage there hangs a rusty horseshoe, an eye-catching red lamp hung."," Nad dvojkřídlými vstupními dveřmi, přesně v tom místě, kde na domečku mých dobrých, pracovitých rodičů visí rezavá koňská podkova, zde byla zavěšena nepřehlédnutelná červená lucernička."
"hung","hang","zavěšena","zavěsit","pf"," Above the double entrance doors, precisely in the spot where, on my good old hardworking parents ' cottage there hangs a rusty horseshoe, an eye-catching red lamp hung."," Nad dvojkřídlými vstupními dveřmi, přesně v tom místě, kde na domečku mých dobrých, pracovitých rodičů visí rezavá koňská podkova, zde byla zavěšena nepřehlédnutelná červená lucernička."
"rang","ring","zazvonil","zazvonit","pf"," Kral rang the doorbell and announced himself through the entryphone."," Král zazvonil a představil se do mluvítka."
"told","tell","řekl","říci","pf"," "" Do n't be crazy, "" I told Kral in shock, "" I 'm a writer with a humanist outlook."," "" Neblázněte, "" řekl jsem Královi polekaně, "" já jsem humanisticky orientovaný spisovatel."
"went","go","šli","jít","impf"," When all three of us went swimming together, it inevitably involved Agata 's usual screeching, splashing and underwater frolicking which caused the water literally to bubble. ( Beata kept out of the way but Agata kept on clasping me ever more shamelessly with her skinny legs until - with the feigned crabbiness of an old leopard - I was obliged to hold her head under the water with my heavy paw just long enough to send her wading back to shore, choking with annoyance and with her eyes full of tears."," Když jsme šli plavat všichni tři najednou, neobešlo se to díky Agátě bez známého výskání, stříkání a podvodního dovádění, při kterém voda doslova vřela ( Beáta se držela stranou, ale mne Agáta svýma hubenýma nohama obemykala čím dál nestoudněji, až jsem - s předstíraným mrzoutstvím starého leoparda - musel svou těžkou prackou zatlačit její hlavičku pod hladinu na tak dlouho, dokud se s uraženým kuckáním a slzami v očích nezačala brodit zpátky ke břehu )."
"swimming","swim","plavat","plavat","impf"," When all three of us went swimming together, it inevitably involved Agata 's usual screeching, splashing and underwater frolicking which caused the water literally to bubble. ( Beata kept out of the way but Agata kept on clasping me ever more shamelessly with her skinny legs until - with the feigned crabbiness of an old leopard - I was obliged to hold her head under the water with my heavy paw just long enough to send her wading back to shore, choking with annoyance and with her eyes full of tears."," Když jsme šli plavat všichni tři najednou, neobešlo se to díky Agátě bez známého výskání, stříkání a podvodního dovádění, při kterém voda doslova vřela ( Beáta se držela stranou, ale mne Agáta svýma hubenýma nohama obemykala čím dál nestoudněji, až jsem - s předstíraným mrzoutstvím starého leoparda - musel svou těžkou prackou zatlačit její hlavičku pod hladinu na tak dlouho, dokud se s uraženým kuckáním a slzami v očích nezačala brodit zpátky ke břehu )."
