"hesitated","hesitate","zaváhal","zaváhat","pf"," Gatsby hesitated, then added coolly :"," Gatsby zaváhal a potom chladně dodal :"
"said","say","řekl","říci","pf"," • You can suit yourself about that, old sport. ' said Gatsby steadily."," "" Poslužte si podle libosti, kamaráde, "" řekl Gatsby pevně."
"spoke","speak","mluvil","mluvit","impf"," He turned to us and spoke rapidly."," Obrátil se k nám a mluvil o překot."
"sold","sell","prodávali","prodávat","impf"," ' He and this Wolfshiem bought up a lot of side-street drug-stores here and in Chicago and sold grain alcohol over the counter."," "" On a ten Wolfsheim skoupili pár krámů v postranních ulicích tady a v Chicagu a prodávali tam pod pultem doma pálený líh."
"permeate","permeate","proniká","pronikat","impf"," The bar is in full swing, and floating rounds of cocktails permeate the garden outside, until the air is alive with chatter and laughter, and casual innuendo and introductions forgotten on the spot, and enthusiastic meetings between women who never knew each other 's names."," Bar je v plném provozu a nepřetržitý proud koktailů proniká ven do zahrady, a potom ožívá vzduch štěbetáním, smíchem, náhodnými narážkami, představováním, na něž se ihned zapomíná, a nadšenými shledáními žen, které se jakživy podle jména neznaly."
"forgotten","forget","zapomíná","zapomínat","impf"," The bar is in full swing, and floating rounds of cocktails permeate the garden outside, until the air is alive with chatter and laughter, and casual innuendo and introductions forgotten on the spot, and enthusiastic meetings between women who never knew each other 's names."," Bar je v plném provozu a nepřetržitý proud koktailů proniká ven do zahrady, a potom ožívá vzduch štěbetáním, smíchem, náhodnými narážkami, představováním, na něž se ihned zapomíná, a nadšenými shledáními žen, které se jakživy podle jména neznaly."
"do","do","vezmou","vzít","pf"," ' When they do get married, ' continued Catherine, ' they 're going West to live for a while until it blows over. '"," "" Až se vezmou, "" pokračovala Kateřina, "" odjedou na Západ a tam chvíli zůstanou, než se to vybouří. """
"continued","continue","pokračovala","pokračovat","impf"," ' When they do get married, ' continued Catherine, ' they 're going West to live for a while until it blows over. '"," "" Až se vezmou, "" pokračovala Kateřina, "" odjedou na Západ a tam chvíli zůstanou, než se to vybouří. """
"going","go","pokračovala","pokračovat","impf"," ' When they do get married, ' continued Catherine, ' they 're going West to live for a while until it blows over. '"," "" Až se vezmou, "" pokračovala Kateřina, "" odjedou na Západ a tam chvíli zůstanou, než se to vybouří. """
"going","go","odjedou","odjet","pf"," ' When they do get married, ' continued Catherine, ' they 're going West to live for a while until it blows over. '"," "" Až se vezmou, "" pokračovala Kateřina, "" odjedou na Západ a tam chvíli zůstanou, než se to vybouří. """
"get","get","zůstanou","zůstat","pf"," ' When they do get married, ' continued Catherine, ' they 're going West to live for a while until it blows over. '"," "" Až se vezmou, "" pokračovala Kateřina, "" odjedou na Západ a tam chvíli zůstanou, než se to vybouří. """
"continued","continue","zůstanou","zůstat","pf"," ' When they do get married, ' continued Catherine, ' they 're going West to live for a while until it blows over. '"," "" Až se vezmou, "" pokračovala Kateřina, "" odjedou na Západ a tam chvíli zůstanou, než se to vybouří. """
"go","go","jet","jet","impf"," ' It 'd be more discreet to go to Europe. '"," "" Vhodnější by bylo jet do Evropy. """
"exclaimed","exclaim","vykřikla","vykřiknout","pf"," ' Oh, do you like Europe? ' she exclaimed surprisingly."," "" Ach, vy máte rád Evropu? "" vykřikla překvapivě."
"went","go","Jela","jet","impf"," I went over there with another girl. '"," Jela jsem tam ještě s jedním děvčetem. """
"went","go","jely","jet","impf"," ' No, we just went to Monte Carlo and back."," "" Ne, jely jsme jen do Monte Carla a zpátky."
"look","look","nedívej","dívat","impf"," ' Do n't look at me, ' Daisy retorted, ' I 've been trying to get you to New York all afternoon. '"," "" Na mě se nedívej, "" odpověděla břitce Daisy, "" celé odpoledne se tě snažím vytáhnout do New Yorku. """
"trying","try","snažím","snažit","impf"," ' Do n't look at me, ' Daisy retorted, ' I 've been trying to get you to New York all afternoon. '"," "" Na mě se nedívej, "" odpověděla břitce Daisy, "" celé odpoledne se tě snažím vytáhnout do New Yorku. """
"looked","look","podíval","podívat","pf"," Her host looked at her incredulously."," Její hostitel se na ni podíval nedůvěřivě."
"walking","walk","šli","jít","impf"," ... One autumn night, five years before, they had been walking down the street when the leaves were falling, and they came to a place where there were no trees and the sidewalk was white with moonlight."," ... Jednou na podzim před pěti lety šli spolu v noci po ulici, kolem nich padalo listí, až došli k místu, kde už nebyly žádné stromy a po chodníku se rozlévala měsíční záře."
"came","come","šli","jít","impf"," ... One autumn night, five years before, they had been walking down the street when the leaves were falling, and they came to a place where there were no trees and the sidewalk was white with moonlight."," ... Jednou na podzim před pěti lety šli spolu v noci po ulici, kolem nich padalo listí, až došli k místu, kde už nebyly žádné stromy a po chodníku se rozlévala měsíční záře."
"falling","fall","padalo","padat","impf"," ... One autumn night, five years before, they had been walking down the street when the leaves were falling, and they came to a place where there were no trees and the sidewalk was white with moonlight."," ... Jednou na podzim před pěti lety šli spolu v noci po ulici, kolem nich padalo listí, až došli k místu, kde už nebyly žádné stromy a po chodníku se rozlévala měsíční záře."
"came","come","došli","dojít","pf"," ... One autumn night, five years before, they had been walking down the street when the leaves were falling, and they came to a place where there were no trees and the sidewalk was white with moonlight."," ... Jednou na podzim před pěti lety šli spolu v noci po ulici, kolem nich padalo listí, až došli k místu, kde už nebyly žádné stromy a po chodníku se rozlévala měsíční záře."
"turned","turn","otočili","otočit","pf"," They stopped here and turned toward each other."," Tam se zastavili a otočili se k sobě."
"comes","come","přichází","přicházet","impf"," Now it was a cool night with that mysterious excitement in it which comes at the two changes of the year."," Byla to chladná noc, jaká mívá v sobě ono záhadné vzrušení, které přichází dvakrát do roka, když se mění roční období."
"threw","throw","Házel","házet","impf"," He threw dust into your eyes just like he did in Daisy 's, but he was a tough one."," Házel ti písek do očí zrovna tak jako Daisy, ale byl to ostrý chlapík."
"say","say","říct","říci","pf"," There was nothing I could say, except the one unutterable fact that it was n't true."," Nedalo se nic říct, leda ta nevyslovitelná skutečnost, že to není pravda."
"go","go","jít","jít","impf"," ' We could go to any of the universities in England or France. '"," "" Mohli jsme jít na kteroukoliv universitu v Anglii nebo ve Francii. """
"wanted","want","Chtěl","chtít","impf"," I wanted to get up and slap him on the back."," Chtěl jsem vstát a poplácat ho po zádech."
"rose","rise","vstala","vstát","pf"," Daisy rose, smiling faintly, and went to the table."," Daisy vstala, slabě se usmála a šla ke stolu."
"smiling","smile","usmála","usmát","pf"," Daisy rose, smiling faintly, and went to the table."," Daisy vstala, slabě se usmála a šla ke stolu."
"went","go","šla","jít","impf"," Daisy rose, smiling faintly, and went to the table."," Daisy vstala, slabě se usmála a šla ke stolu."
"make","make","udělám","udělat","pf"," ' Open the whisky, Tom, ' she ordered, ' and I 'll make you a mint julep."," "" Otevri whisky, Tome, "" rozkázala, "" a já ti udělám mátový koktail."
"wait","wait","Počkejte","počkat","pf"," ' You wait here, ' I said."," "" Počkejte tady, "" řekl jsem."
"said","say","řekl","říci","pf"," ' You wait here, ' I said."," "" Počkejte tady, "" řekl jsem."
"see","see","Podívám","podívat","pf"," ' I 'll see if there 's any sign of a commotion. '"," "" Podívám se, jestli se někde něco děje. """
"walked","walk","Šel","jít","impf"," I walked back along the border of the lawn traversed the gravel softly, and tiptoed up the veranda steps."," Šel jsem zpátky po okraji trávníku, přešel jsem opatrně štěrk a vystoupil jsem po špičkách po schodech nahoru na verandu."
"traversed","traverse","přešel","přejít","pf"," I walked back along the border of the lawn traversed the gravel softly, and tiptoed up the veranda steps."," Šel jsem zpátky po okraji trávníku, přešel jsem opatrně štěrk a vystoupil jsem po špičkách po schodech nahoru na verandu."
"saw","see","viděl","vidět","impf"," The drawing-room curtains were open, and I saw that the room was empty."," Záclony v přijímacím pokoji byly rozhrnuty a viděl jsem, že pokoj je prázdný."
"Taking","take","Vyndal","vyndat","pf"," Taking out my time-table, I drew a small circle around the three-fifty train."," Vyndal jsem jízní řád a nakreslil jsem malé kolečko kolem vlaku ve tři padesát."
"drew","draw","nakreslil","nakreslit","pf"," Taking out my time-table, I drew a small circle around the three-fifty train."," Vyndal jsem jízní řád a nakreslil jsem malé kolečko kolem vlaku ve tři padesát."
"tried","try","snažil","snažit","impf"," Then I leaned back in my chair and tried to think."," Potom jsem se uvelebil do křesla a snažil se přemýšlet."
"think","think","přemýšlet","přemýšlet","impf"," Then I leaned back in my chair and tried to think."," Potom jsem se uvelebil do křesla a snažil se přemýšlet."
"passed","pass","přešel","přejít","pf"," When I passed the ashheaps on the train that morning I had crossed deliberately to the other side of the car."," Když jsem toho rána jel kolem hromad s popelem, úmyslně jsem přešel na druhou stranu vagonu."
"crossed","cross","přešel","přejít","pf"," When I passed the ashheaps on the train that morning I had crossed deliberately to the other side of the car."," Když jsem toho rána jel kolem hromad s popelem, úmyslně jsem přešel na druhou stranu vagonu."
"whispered","whisper","zašeptala","zašeptat","pf"," ' It 's a swell suite, ' whispered Jordan respectfully, and everyone laughed."," "" Jak elegantní apartmá, "" zašeptala Jordan s úctou a všichni se rozesmáli."
"Open","open","Otevřte","otevřít","pf"," ' Open another window, ' commanded Daisy, without turning around."," "" Otevřte ještě jedno okno, "" rozkázala Daisy, aniž se otočila."
"turning","turn","otočila","otočit","pf"," ' Open another window, ' commanded Daisy, without turning around."," "" Otevřte ještě jedno okno, "" rozkázala Daisy, aniž se otočila."
"do","do","Jde","jít","impf"," ' The thing to do is to forget about the heat, ' said Tom impatiently."," "" Jde o to na vedro zapomenout, "" řekl Tom netrpělivě."
"forget","forget","zapomenout","zapomenout","pf"," ' The thing to do is to forget about the heat, ' said Tom impatiently."," "" Jde o to na vedro zapomenout, "" řekl Tom netrpělivě."
"said","say","řekl","říci","pf"," ' The thing to do is to forget about the heat, ' said Tom impatiently."," "" Jde o to na vedro zapomenout, "" řekl Tom netrpělivě."
"put","put","postavil","postavit","pf"," He unrolled the bottle of whisky from the towel and put it on the table."," Vybalil láhev whisky z ručníku a postavil ji na stůl."
"closed","close","zavřena","zavřít","pf"," Most of the big shore places were closed now and there were hardly any lights except the shadowy, moving glow of a ferryboat across the Sound."," Většina velkých vil na pobřeží byla už zavřena a sotva kde se objevila světla kromě mlhavé pohybující se záře pramice na druhé straně zálivu."
"rose","rise","stoupal","stoupat","impf"," And as the moon rose higher the inessential houses began to melt away until gradually I became aware of the old island here that flowered once for Dutch sailors ' eyes - a fresh, green breast of the new world."," A jak měsíc stoupal, začaly se bezvýznamné domy rozplývat, až mi postupně začal být povědomý starý ostrov, který tu kdysi vzkvétal před očima holandských námořníků, - čerstvá zelená hruď nového světa."
"began","begin","začaly","začít","pf"," And as the moon rose higher the inessential houses began to melt away until gradually I became aware of the old island here that flowered once for Dutch sailors ' eyes - a fresh, green breast of the new world."," A jak měsíc stoupal, začaly se bezvýznamné domy rozplývat, až mi postupně začal být povědomý starý ostrov, který tu kdysi vzkvétal před očima holandských námořníků, - čerstvá zelená hruď nového světa."
"began","begin","začal","začít","pf"," And as the moon rose higher the inessential houses began to melt away until gradually I became aware of the old island here that flowered once for Dutch sailors ' eyes - a fresh, green breast of the new world."," A jak měsíc stoupal, začaly se bezvýznamné domy rozplývat, až mi postupně začal být povědomý starý ostrov, který tu kdysi vzkvétal před očima holandských námořníků, - čerstvá zelená hruď nového světa."
"Come","come","Pojďte","jít","impf"," ' Come along, ' he said - but to her only."," "" Pojďte, "" pravil - ale jenom k ní."
"said","say","pravil","pravit","pf"," ' Come along, ' he said - but to her only."," "" Pojďte, "" pravil - ale jenom k ní."
"mean","mean","Myslím","myslet","impf"," ' I mean it, ' she insisted."," "" Myslím to doopravdy, "" trvala na svém."
"insisted","insist","trvala","trvat","impf"," ' I mean it, ' she insisted."," "" Myslím to doopravdy, "" trvala na svém."
"looked","look","podíval","podívat","pf"," Gatsby looked at me questioningly."," Gatsby se na mne tázavě podíval."
"wanted","want","Chtěl","chtít","impf"," He wanted to go, and he did n't see that Mr Sloane had determined he should n't."," Chtěl jít, a neviděl, že pan Sloane rozhodl, že by jít neměl."
"go","go","jít","jít","impf"," He wanted to go, and he did n't see that Mr Sloane had determined he should n't."," Chtěl jít, a neviděl, že pan Sloane rozhodl, že by jít neměl."
"did","do","jít","jít","impf"," He wanted to go, and he did n't see that Mr Sloane had determined he should n't."," Chtěl jít, a neviděl, že pan Sloane rozhodl, že by jít neměl."
"see","see","neviděl","vidět","impf"," He wanted to go, and he did n't see that Mr Sloane had determined he should n't."," Chtěl jít, a neviděl, že pan Sloane rozhodl, že by jít neměl."
"determined","determine","rozhodl","rozhodnout","pf"," He wanted to go, and he did n't see that Mr Sloane had determined he should n't."," Chtěl jít, a neviděl, že pan Sloane rozhodl, že by jít neměl."
"go","go","jít","jít","impf"," He wanted to go, and he did n't see that Mr Sloane had determined he should n't."," Chtěl jít, a neviděl, že pan Sloane rozhodl, že by jít neměl."
"did","do","jít","jít","impf"," He wanted to go, and he did n't see that Mr Sloane had determined he should n't."," Chtěl jít, a neviděl, že pan Sloane rozhodl, že by jít neměl."
"said","say","řekl","říci","pf"," ' I 'm afraid I wo n't be able to, ' I said."," "" Obávám se, že nebudu moci, "" řekl jsem."
"spoke","speak","Mluvil","mluvit","impf"," ' I spoke to her, ' he muttered, after a long silence."," "" Mluvil jsem s ní, "" zamumlal po dlouhém mlčení."
"muttered","mutter","zamumlal","zamumlat","pf"," ' I spoke to her, ' he muttered, after a long silence."," "" Mluvil jsem s ní, "" zamumlal po dlouhém mlčení."
"told","tell","Řekl","říci","pf"," ' I told her she might fool me but she could n't fool God."," "" Řekl jsem jí, že mě obelhat může, ale nemůže obelhat Boha."
"leaned","lean","opřel","opřít","pf"," I took her to the window ' - with an effort he got up and walked to the rear window and leaned with his face pressed against it - ' and I said "" God knows what you 've been doing, everything you 've been doing."," Odvedl jsem ji k oknu "" - vstal s námahou a přešel k zadnímu oknu, opřel se o ně obličejem - "" a řekl jsem, "" Bůh ví, co jsi dělala, ví všechno, co jsi dělala."
"said","say","řekl","říci","pf"," I took her to the window ' - with an effort he got up and walked to the rear window and leaned with his face pressed against it - ' and I said "" God knows what you 've been doing, everything you 've been doing."," Odvedl jsem ji k oknu "" - vstal s námahou a přešel k zadnímu oknu, opřel se o ně obličejem - "" a řekl jsem, "" Bůh ví, co jsi dělala, ví všechno, co jsi dělala."
"took","take","dělala","dělat","impf"," I took her to the window ' - with an effort he got up and walked to the rear window and leaned with his face pressed against it - ' and I said "" God knows what you 've been doing, everything you 've been doing."," Odvedl jsem ji k oknu "" - vstal s námahou a přešel k zadnímu oknu, opřel se o ně obličejem - "" a řekl jsem, "" Bůh ví, co jsi dělala, ví všechno, co jsi dělala."
"doing","do","dělala","dělat","impf"," I took her to the window ' - with an effort he got up and walked to the rear window and leaned with his face pressed against it - ' and I said "" God knows what you 've been doing, everything you 've been doing."," Odvedl jsem ji k oknu "" - vstal s námahou a přešel k zadnímu oknu, opřel se o ně obličejem - "" a řekl jsem, "" Bůh ví, co jsi dělala, ví všechno, co jsi dělala."
"doing","do","dělala","dělat","impf"," I took her to the window ' - with an effort he got up and walked to the rear window and leaned with his face pressed against it - ' and I said "" God knows what you 've been doing, everything you 've been doing."," Odvedl jsem ji k oknu "" - vstal s námahou a přešel k zadnímu oknu, opřel se o ně obličejem - "" a řekl jsem, "" Bůh ví, co jsi dělala, ví všechno, co jsi dělala."
"took","take","dělala","dělat","impf"," I took her to the window ' - with an effort he got up and walked to the rear window and leaned with his face pressed against it - ' and I said "" God knows what you 've been doing, everything you 've been doing."," Odvedl jsem ji k oknu "" - vstal s námahou a přešel k zadnímu oknu, opřel se o ně obličejem - "" a řekl jsem, "" Bůh ví, co jsi dělala, ví všechno, co jsi dělala."
"doing","do","dělala","dělat","impf"," I took her to the window ' - with an effort he got up and walked to the rear window and leaned with his face pressed against it - ' and I said "" God knows what you 've been doing, everything you 've been doing."," Odvedl jsem ji k oknu "" - vstal s námahou a přešel k zadnímu oknu, opřel se o ně obličejem - "" a řekl jsem, "" Bůh ví, co jsi dělala, ví všechno, co jsi dělala."
"doing","do","dělala","dělat","impf"," I took her to the window ' - with an effort he got up and walked to the rear window and leaned with his face pressed against it - ' and I said "" God knows what you 've been doing, everything you 've been doing."," Odvedl jsem ji k oknu "" - vstal s námahou a přešel k zadnímu oknu, opřel se o ně obličejem - "" a řekl jsem, "" Bůh ví, co jsi dělala, ví všechno, co jsi dělala."
"try","try","zkoušet","zkoušet","impf"," ' Well, if you 're a poor driver you ought n't to try driving at night. '"," "" No, když jste mizerný řidič, neměl byste zkoušet řídit v noci. """
"driving","drive","řídit","řídit","impf"," ' Well, if you 're a poor driver you ought n't to try driving at night. '"," "" No, když jste mizerný řidič, neměl byste zkoušet řídit v noci. """
"trying","try","nezkoušel","zkoušet","impf"," ' But I was n't even trying, ' he explained indignantly, ' I was n't even trying. '"," "" Vždyť já to ani nezkoušel, "" vysvětloval rozhorleně, "" opravdu jsem to nezkoušel. """
"trying","try","nezkoušel","zkoušet","impf"," ' But I was n't even trying, ' he explained indignantly, ' I was n't even trying. '"," "" Vždyť já to ani nezkoušel, "" vysvětloval rozhorleně, "" opravdu jsem to nezkoušel. """
"explained","explain","vysvětloval","vysvětlovat","impf"," ' But I was n't even trying, ' he explained indignantly, ' I was n't even trying. '"," "" Vždyť já to ani nezkoušel, "" vysvětloval rozhorleně, "" opravdu jsem to nezkoušel. """
"trying","try","nezkoušel","zkoušet","impf"," ' But I was n't even trying, ' he explained indignantly, ' I was n't even trying. '"," "" Vždyť já to ani nezkoušel, "" vysvětloval rozhorleně, "" opravdu jsem to nezkoušel. """
"trying","try","nezkoušel","zkoušet","impf"," ' But I was n't even trying, ' he explained indignantly, ' I was n't even trying. '"," "" Vždyť já to ani nezkoušel, "" vysvětloval rozhorleně, "" opravdu jsem to nezkoušel. """
"want","want","Chcete","chtít","impf"," ' Do you want to commit suicide? '"," "" Chcete spáchat sebevraždu? """
"commit","commit","spáchat","spáchat","pf"," ' Do you want to commit suicide? '"," "" Chcete spáchat sebevraždu? """
"continued","continue","pokračoval","pokračovat","impf"," "" That drug-store business was just small change, ' continued Tom slowly, ' but you 've got something on now that Walter 's afraid to tell me about. '"," "" Ta záležitost s drogeriemi, to byly jen drobné, "" pokračoval pomalu Tom, "" ale teď jdete za něčím, o čem se mi Walter bojí říct. """
"tell","tell","říct","říci","pf"," "" That drug-store business was just small change, ' continued Tom slowly, ' but you 've got something on now that Walter 's afraid to tell me about. '"," "" Ta záležitost s drogeriemi, to byly jen drobné, "" pokračoval pomalu Tom, "" ale teď jdete za něčím, o čem se mi Walter bojí říct. """
"glanced","glance","Pohlédl","pohlédnout","pf"," I glanced at Daisy, who was staring terrified between Gatsby and her husband, and at Jordan, who had begun to balance an invisible but absorbing object on the tip of her chin."," Pohlédl jsem na Daisy, která zděšeně těkala pohledem s Gatsbyho na svého manžela, a na Jordan, která začala balancovat neviditelný, ale poutavý předmět na špičce brady."
"begun","begin","začala","začít","pf"," I glanced at Daisy, who was staring terrified between Gatsby and her husband, and at Jordan, who had begun to balance an invisible but absorbing object on the tip of her chin."," Pohlédl jsem na Daisy, která zděšeně těkala pohledem s Gatsbyho na svého manžela, a na Jordan, která začala balancovat neviditelný, ale poutavý předmět na špičce brady."
"turned","turn","otočil","otočit","pf"," Then I turned back to Gatsby - and was startled at his expression."," Potom jsem se otočil zpátky ke Gatsbymu - a lekl jsem se jeho vzezření."
"let","let","nechal","nechat","pf"," ' Why not let her alone, old sport? ' remarked Gatsby."," "" Co kdybyste ji nechal na pokoji, kamaráde, "" poznamenal Gatsby."
"remarked","remark","poznamenal","poznamenat","pf"," ' Why not let her alone, old sport? ' remarked Gatsby."," "" Co kdybyste ji nechal na pokoji, kamaráde, "" poznamenal Gatsby."
"wanted","want","chtěl","chtít","impf"," ' You 're the one that wanted to come to town. '"," "" Do města jste chtěl jet vy. """
"whispered","whisper","zašeptala","zašeptat","pf"," The telephone book slipped from its nail and splashed to the floor, whereupon Jordan whispered, ' Excuse me ' - but this time no one laughed."," Telefonní seznam spadl sám od sebe z věšáku a rozplácl se na zemi, načež Jordan zašeptala, "" Já nerada ... -, "" ale tentokrát se nikdo nezasmál."
"laughed","laugh","nezasmál","zasmát","pf"," The telephone book slipped from its nail and splashed to the floor, whereupon Jordan whispered, ' Excuse me ' - but this time no one laughed."," Telefonní seznam spadl sám od sebe z věšáku a rozplácl se na zemi, načež Jordan zašeptala, "" Já nerada ... -, "" ale tentokrát se nikdo nezasmál."
"offered","offer","nabídl","nabídnout","pf"," ' I 'll pick it up, ' I offered."," "" Já ho zvednu, "" nabídl jsem se."
"hoped","hope","doufal","doufat","impf"," I even hoped for a while that she 'd throw me over, but she did n't, because she was in love with me too."," Chvíli jsem dokonce i doufal, že mě hodí přes palubu, ale ona to neudělala, protože mě měla taky ráda."
"did","do","neudělala","udělat","pf"," I even hoped for a while that she 'd throw me over, but she did n't, because she was in love with me too."," Chvíli jsem dokonce i doufal, že mě hodí přes palubu, ale ona to neudělala, protože mě měla taky ráda."
"thought","think","Myslila","myslit","impf"," She thought I knew a lot because I knew different things from her ..."," Myslila, že toho hodně vím, protože jsem věděl jiné věci než ona ..."
"doing","do","dělat","dělat","impf"," What was the use of doing great things if I could have a better time telling her what I was going to do? '"," Jaký mělo smysl dělat veliké věci, když mě víc bavilo vyprávět jí, co hodlám udělat? """
"going","go","dělat","dělat","impf"," What was the use of doing great things if I could have a better time telling her what I was going to do? '"," Jaký mělo smysl dělat veliké věci, když mě víc bavilo vyprávět jí, co hodlám udělat? """
"do","do","dělat","dělat","impf"," What was the use of doing great things if I could have a better time telling her what I was going to do? '"," Jaký mělo smysl dělat veliké věci, když mě víc bavilo vyprávět jí, co hodlám udělat? """
"telling","tell","vyprávět","vyprávět","impf"," What was the use of doing great things if I could have a better time telling her what I was going to do? '"," Jaký mělo smysl dělat veliké věci, když mě víc bavilo vyprávět jí, co hodlám udělat? """
"doing","do","udělat","udělat","pf"," What was the use of doing great things if I could have a better time telling her what I was going to do? '"," Jaký mělo smysl dělat veliké věci, když mě víc bavilo vyprávět jí, co hodlám udělat? """
"do","do","udělat","udělat","pf"," What was the use of doing great things if I could have a better time telling her what I was going to do? '"," Jaký mělo smysl dělat veliké věci, když mě víc bavilo vyprávět jí, co hodlám udělat? """
"making","make","nedělám","dělat","impf"," For just a minute I wondered if I was n't making a mistake, then I thought it all over again quickly and got up to say good-bye."," Na chvíli jsem zaváhal, jestli nedělám chybu, potom jsem si to všechno rychle ještě jednou rozmyslel a zvedl jsem se k odchodu."
"said","say","řekla","říci","pf"," ' Nevertheless you did throw me over, ' said Jordan suddenly."," "" Ale přes palubu jsi mě hodil ty, "" řekla najednou Jordan."
"told","tell","řekl","říci","pf"," ' It 's an old clock, ' I told them idiotically."," "" Jsou to staré hodiny, "" řekl jsem jim nesmyslně."
"think","think","Myslím","myslet","impf"," I think we all believed for a moment that it had smashed in pieces on the floor."," Myslím, že chvíli jsme všichni věřili, že se na podlaze rozbily na kousky."
"believed","believe","Myslím","myslet","impf"," I think we all believed for a moment that it had smashed in pieces on the floor."," Myslím, že chvíli jsme všichni věřili, že se na podlaze rozbily na kousky."
"think","think","věřili","věřit","impf"," I think we all believed for a moment that it had smashed in pieces on the floor."," Myslím, že chvíli jsme všichni věřili, že se na podlaze rozbily na kousky."
"believed","believe","věřili","věřit","impf"," I think we all believed for a moment that it had smashed in pieces on the floor."," Myslím, že chvíli jsme všichni věřili, že se na podlaze rozbily na kousky."
"smashed","smash","rozbily","rozbít","pf"," I think we all believed for a moment that it had smashed in pieces on the floor."," Myslím, že chvíli jsme všichni věřili, že se na podlaze rozbily na kousky."
"said","say","řekla","říci","pf"," ' We have n't met for many years, ' said Daisy, voice as matter-of-fact as it could ever be."," "" Už léta jsme se neviděli, "" řekla Daisy, hlasem co možná nejlhostejnějším."
"made","make","udělaly","udělat","pf"," The transactions in Montana copper that made him many times a millionaire found him physically robust but on the verge of softminded-ness, and, suspecting this, an infinite number of women tried to separate him from his money."," Spekulace s montanskou mědí, jež z něho udělaly mnohonásobného milionáře, ho zastihly jako člověka fysicky zdatného, ale poněkud slabomyslného, a nekonečná řada žen, které to tušily, se ho pokusila oddělit od jeho peněz."
"suspecting","suspect","tušily","tušit","impf"," The transactions in Montana copper that made him many times a millionaire found him physically robust but on the verge of softminded-ness, and, suspecting this, an infinite number of women tried to separate him from his money."," Spekulace s montanskou mědí, jež z něho udělaly mnohonásobného milionáře, ho zastihly jako člověka fysicky zdatného, ale poněkud slabomyslného, a nekonečná řada žen, které to tušily, se ho pokusila oddělit od jeho peněz."
"tried","try","pokusila","pokusit","pf"," The transactions in Montana copper that made him many times a millionaire found him physically robust but on the verge of softminded-ness, and, suspecting this, an infinite number of women tried to separate him from his money."," Spekulace s montanskou mědí, jež z něho udělaly mnohonásobného milionáře, ho zastihly jako člověka fysicky zdatného, ale poněkud slabomyslného, a nekonečná řada žen, které to tušily, se ho pokusila oddělit od jeho peněz."
"separate","separate","oddělit","oddělit","pf"," The transactions in Montana copper that made him many times a millionaire found him physically robust but on the verge of softminded-ness, and, suspecting this, an infinite number of women tried to separate him from his money."," Spekulace s montanskou mědí, jež z něho udělaly mnohonásobného milionáře, ho zastihly jako člověka fysicky zdatného, ale poněkud slabomyslného, a nekonečná řada žen, které to tušily, se ho pokusila oddělit od jeho peněz."
"played","play","zahrála","zahrát","pf"," The none too savoury ramifications by which "" Ella Kaye, the newspaper woman, played Madame de Maintenon to his weakness and sent him to sea in a yacht, were common property of the turgid journalism of 1902."," Poněkud nechutně roztahovaná historka, podle níž si žurnalistka Ella Kayeová zahrála na Madame de Maintenon, vytušila jeho slabé stránky a poslala ho v jachtě na moře, byla obecným námětem bombastických žurnalistických listovek z roku 1902."
"sent","send","poslala","poslat","pf"," The none too savoury ramifications by which "" Ella Kaye, the newspaper woman, played Madame de Maintenon to his weakness and sent him to sea in a yacht, were common property of the turgid journalism of 1902."," Poněkud nechutně roztahovaná historka, podle níž si žurnalistka Ella Kayeová zahrála na Madame de Maintenon, vytušila jeho slabé stránky a poslala ho v jachtě na moře, byla obecným námětem bombastických žurnalistických listovek z roku 1902."
"asked","ask","zeptal","zeptat","pf"," ' Is everything all right? ' he asked immediately."," "" Všechno v pořádku? "" zeptal se ihned."
"mean","mean","myslíte","myslet","impf"," ' The grass looks fine, if that 's what you mean. '"," "" Tráva vypadá pěkně, jestli myslíte to. """
"inquired","inquire","zeptal","zeptat","pf"," ' What grass? ' he inquired blankly."," "" Jaká tráva? "" zeptal se bezmyšlenkovitě."
"looked","look","Podíval","podívat","pf"," He looked out the window at it, but, judging from his expression, I do n't believe he saw a thing."," Podíval se na ni oknem, ale soudě podle jeho výrazu, myslím, že nic neviděl."
"saw","see","Podíval","podívat","pf"," He looked out the window at it, but, judging from his expression, I do n't believe he saw a thing."," Podíval se na ni oknem, ale soudě podle jeho výrazu, myslím, že nic neviděl."
"judging","judge","soudě","soudit","impf"," He looked out the window at it, but, judging from his expression, I do n't believe he saw a thing."," Podíval se na ni oknem, ale soudě podle jeho výrazu, myslím, že nic neviděl."
"believe","believe","myslím","myslet","impf"," He looked out the window at it, but, judging from his expression, I do n't believe he saw a thing."," Podíval se na ni oknem, ale soudě podle jeho výrazu, myslím, že nic neviděl."
"saw","see","neviděl","vidět","impf"," He looked out the window at it, but, judging from his expression, I do n't believe he saw a thing."," Podíval se na ni oknem, ale soudě podle jeho výrazu, myslím, že nic neviděl."
"remarked","remark","poznamenal","poznamenat","pf"," ' Looks very good, ' he remarked vaguely."," "" Vypadá velmi dobře, "" poznamenal neurčitě."
