"saw","see","uviděl","uvidět","pf"," Then he saw the corn and the meat and the potatoes."," Potom uviděl kukuřici, maso a brambory."
"carries","carry","nenese","nést","impf"," He carries nothing in his hands, just walks alongside the outline, of hedges, his bare feet on the grass or on terrace stone or in the ash of an old bonfire."," V rukou nic nenese, prostě jen kráčí podél živých plotů, klade nohy do trávy, na kameny terasy, do popela po starém ohníčku."
"walks","walk","kráčí","kráčet","impf"," He carries nothing in his hands, just walks alongside the outline, of hedges, his bare feet on the grass or on terrace stone or in the ash of an old bonfire."," V rukou nic nenese, prostě jen kráčí podél živých plotů, klade nohy do trávy, na kameny terasy, do popela po starém ohníčku."
"sees","see","vidí","vidět","impf"," In the early morning she sees him standing beside the tent."," Časně ráno ho Hana vidí, jak stojí u stanu."
"embrace","embrace","obejmout","obejmout","pf"," Then he came up to her, closer, and she thought for a moment he was going to embrace her."," Potom k ní přistoupil blíž, a ji na moment napadlo, že ji chce obejmout."
"feel","feel","Cítila","cítit","impf"," She could feel his sweat now, like blood left by a blade which the gesture of his arm seemed to have imitated."," Cítila jeho pot jako krev po čepeli, kterou gesto té paže jaksi napodobilo."
"imitated","imitate","napodobilo","napodobit","pf"," She could feel his sweat now, like blood left by a blade which the gesture of his arm seemed to have imitated."," Cítila jeho pot jako krev po čepeli, kterou gesto té paže jaksi napodobilo."
"touch","touch","sáhnout","sáhnout","pf"," I wanted to touch that bone at your neck, collarbone, it 's like a small hard wing under your skin."," Měla jsem chuť sáhnout vám na tu kost na krku, na klíční kost, připomíná mi pod kůží skryté křidélko."
"place","place","položit","položit","pf"," I wanted to place my fingers against it."," Měla jsem chuť položit na ni prsty."
"seen","see","Viděl","vidět","impf"," Have you seen them?"," Viděl jste je?"
"want","want","chce","chtít","impf"," I am so tired, Kip, I want to sleep."," Jsem tak unavená, Kipe, chce se mi spát."
"sleep","sleep","spát","spát","impf"," I am so tired, Kip, I want to sleep."," Jsem tak unavená, Kipe, chce se mi spát."
"heard","hear","slyšel","slyšet","impf"," And Caravaggio when he had heard it in the last few years of the war never really liked it, never liked to listen to it."," A Caravaggio, když ji v těch posledních několika letech slyšel, ji vlastně nijak neměl rád, nijak ji rád neposlouchal."
"listen","listen","slyšel","slyšet","impf"," And Caravaggio when he had heard it in the last few years of the war never really liked it, never liked to listen to it."," A Caravaggio, když ji v těch posledních několika letech slyšel, ji vlastně nijak neměl rád, nijak ji rád neposlouchal."
"heard","hear","neposlouchal","poslouchat","impf"," And Caravaggio when he had heard it in the last few years of the war never really liked it, never liked to listen to it."," A Caravaggio, když ji v těch posledních několika letech slyšel, ji vlastně nijak neměl rád, nijak ji rád neposlouchal."
"listen","listen","neposlouchal","poslouchat","impf"," And Caravaggio when he had heard it in the last few years of the war never really liked it, never liked to listen to it."," A Caravaggio, když ji v těch posledních několika letech slyšel, ji vlastně nijak neměl rád, nijak ji rád neposlouchal."
"listened","listen","naslouchal","naslouchat","impf"," Now he listened with a pleasure because she was singing again, but this was quickly altered by the way she sang."," Teď potěšeně naslouchal, protože zase zpívala ona, jenže způsob, jak zpívala, všechno změnil."
"singing","sing","zpívala","zpívat","impf"," Now he listened with a pleasure because she was singing again, but this was quickly altered by the way she sang."," Teď potěšeně naslouchal, protože zase zpívala ona, jenže způsob, jak zpívala, všechno změnil."
"sang","sing","zpívala","zpívat","impf"," Now he listened with a pleasure because she was singing again, but this was quickly altered by the way she sang."," Teď potěšeně naslouchal, protože zase zpívala ona, jenže způsob, jak zpívala, všechno změnil."
"singing","sing","zpívala","zpívat","impf"," Now he listened with a pleasure because she was singing again, but this was quickly altered by the way she sang."," Teď potěšeně naslouchal, protože zase zpívala ona, jenže způsob, jak zpívala, všechno změnil."
"sang","sing","zpívala","zpívat","impf"," Now he listened with a pleasure because she was singing again, but this was quickly altered by the way she sang."," Teď potěšeně naslouchal, protože zase zpívala ona, jenže způsob, jak zpívala, všechno změnil."
"altered","alter","změnil","změnit","pf"," Now he listened with a pleasure because she was singing again, but this was quickly altered by the way she sang."," Teď potěšeně naslouchal, protože zase zpívala ona, jenže způsob, jak zpívala, všechno změnil."
"push","push","tlačí","tlačit","impf"," The ends of the earth are never the points on a map that colonists push against, enlarging their sphere of influence."," Konce země nejsou nikdy ty body na mapě, na které se tlačí kolonisté, aby zvětšili sféru svého vlivu."
"enlarging","enlarge","zvětšili","zvětšit","pf"," The ends of the earth are never the points on a map that colonists push against, enlarging their sphere of influence."," Konce země nejsou nikdy ty body na mapě, na které se tlačí kolonisté, aby zvětšili sféru svého vlivu."
"look","look","nedíváme","dívat","impf"," When we are young we do not look into mirrors."," Když jsme mladí, nedíváme se do zrcadel."
"died","die","zemřel","zemřít","pf"," Patrick died in a comforting place."," Patrick zemřel v takovém uklidňujícím místě."
"distinguish","distinguish","rozpoznat","rozpoznat","pf"," He was still in darkness, still unable to distinguish sea in the vista beyond the cliff."," Dosud ho obklopovala tma, při pohledu za útes stále ještě nebyl s to rozpoznat moře."
"follow","follow","sledoval","sledovat","impf"," For the journey from here to the south he had no maps, but he could recognize the war roads and follow the coast route."," Na cestu odtud na jih neměl žádné mapy, ale rozeznával válečné silnice a sledoval pobřežní trasu."
"double","double","zdvojnásobit","zdvojnásobit","pf"," When sunlight came he was able to double his speed."," Když vyšlo slunce, mohl rychlost zdvojnásobit."
"leaves","leave","nechá","nechat","pf"," Sometimes she cups a hand over the glass funnel and blows out the flame, and sometimes she leaves it burning and ducks under it and enters through the open flaps, to crawl in against his body, the arm she wants, her tongue instead of a swab, her tooth instead of a needle, her mouth instead of the mask with the codeine drops to make him sleep, to make his immortal ticking brain slow into sleepiness."," Někdy přiklopí ruku přes skleněný cylindr a plamínek sfoukne, jindy ho nechá hořet a přikrčí se pod lampou a vklouzne do otevřeného stanu, schouleně leze k jeho tělu, k paži, kterou potřebuje, jazyk místo tamponu, zuby místo jehly, ústa místo masky s kapkami kodeinu, aby ho uspala, aby jeho nesmrtelný činorodý mozek zvolna přivedla k spánku."
"drops","drop","nechá","nechat","pf"," Sometimes she cups a hand over the glass funnel and blows out the flame, and sometimes she leaves it burning and ducks under it and enters through the open flaps, to crawl in against his body, the arm she wants, her tongue instead of a swab, her tooth instead of a needle, her mouth instead of the mask with the codeine drops to make him sleep, to make his immortal ticking brain slow into sleepiness."," Někdy přiklopí ruku přes skleněný cylindr a plamínek sfoukne, jindy ho nechá hořet a přikrčí se pod lampou a vklouzne do otevřeného stanu, schouleně leze k jeho tělu, k paži, kterou potřebuje, jazyk místo tamponu, zuby místo jehly, ústa místo masky s kapkami kodeinu, aby ho uspala, aby jeho nesmrtelný činorodý mozek zvolna přivedla k spánku."
"crawl","crawl","leze","lézt","impf"," Sometimes she cups a hand over the glass funnel and blows out the flame, and sometimes she leaves it burning and ducks under it and enters through the open flaps, to crawl in against his body, the arm she wants, her tongue instead of a swab, her tooth instead of a needle, her mouth instead of the mask with the codeine drops to make him sleep, to make his immortal ticking brain slow into sleepiness."," Někdy přiklopí ruku přes skleněný cylindr a plamínek sfoukne, jindy ho nechá hořet a přikrčí se pod lampou a vklouzne do otevřeného stanu, schouleně leze k jeho tělu, k paži, kterou potřebuje, jazyk místo tamponu, zuby místo jehly, ústa místo masky s kapkami kodeinu, aby ho uspala, aby jeho nesmrtelný činorodý mozek zvolna přivedla k spánku."
"wants","want","potřebuje","potřebovat","impf"," Sometimes she cups a hand over the glass funnel and blows out the flame, and sometimes she leaves it burning and ducks under it and enters through the open flaps, to crawl in against his body, the arm she wants, her tongue instead of a swab, her tooth instead of a needle, her mouth instead of the mask with the codeine drops to make him sleep, to make his immortal ticking brain slow into sleepiness."," Někdy přiklopí ruku přes skleněný cylindr a plamínek sfoukne, jindy ho nechá hořet a přikrčí se pod lampou a vklouzne do otevřeného stanu, schouleně leze k jeho tělu, k paži, kterou potřebuje, jazyk místo tamponu, zuby místo jehly, ústa místo masky s kapkami kodeinu, aby ho uspala, aby jeho nesmrtelný činorodý mozek zvolna přivedla k spánku."
"folds","fold","Složí","složit","pf"," She folds her paisley dress and places it on top of her tennis shoes."," Složí si šaty se vzorečkem a položí si je na tenisky."
"places","place","položí","položit","pf"," She folds her paisley dress and places it on top of her tennis shoes."," Složí si šaty se vzorečkem a položí si je na tenisky."
"bear","bear","nesnese","snést","pf"," Then he felt he could n't bear the mood of the house and walked away."," Pak se ho zmocnil pocit, že už atmosféru panující v domě nesnese, a šel pryč."
"walked","walk","šel","jít","impf"," Then he felt he could n't bear the mood of the house and walked away."," Pak se ho zmocnil pocit, že už atmosféru panující v domě nesnese, a šel pryč."
"waiting","wait","čekal","čekat","impf"," Halfway down the path to the gate, Caravaggio was waiting for him, carrying the gun."," Uprostřed cesty k bráně na něho čekal Caravaggio s puškou."
"carrying","carry","čekal","čekat","impf"," Halfway down the path to the gate, Caravaggio was waiting for him, carrying the gun."," Uprostřed cesty k bráně na něho čekal Caravaggio s puškou."
"get","get","dostat","dostat","pf"," The main body of the fuze is jammed down there, I ca n't get to it."," Hlavní část zapalovače je tam dole zablokovaná, nemůžu se k ní dostat."
"Come","come","Pojďte","jít","impf"," "" Come up and we 'll blow it up. """," "" Pojďte nahoru a odpálíme ji. """
"felt","feel","ucítil","ucítit","pf"," He raised his right hand and felt an icy canister being placed in it."," Napřáhl vzhůru pravačku a ucítil, jak do ní vklouzl ledový kanystr."
"turned","turn","Otočil","otočit","pf"," He had turned the chair around so he could lean forward on its back, facing Almasy."," Otočil si židli, aby se mohl opřít o opěradlo před sebou čelem k Almásymu."
"lean","lean","opřít","opřít","pf"," He had turned the chair around so he could lean forward on its back, facing Almasy."," Otočil si židli, aby se mohl opřít o opěradlo před sebou čelem k Almásymu."
"rub","rub","Třel","třít","impf"," He would rub his jaw, his face creasing up, the eyes closed, to think in darkness, and only then would he blurt out something, tearing himself away from his own thoughts."," Třel si bradu, vraštil obličej, oči zavřené, aby mohl ve tmě přemýšlet, a teprve pak ze sebe něco vysoukal, snažil se odpoutat od svých myšlenek."
"think","think","přemýšlet","přemýšlet","impf"," He would rub his jaw, his face creasing up, the eyes closed, to think in darkness, and only then would he blurt out something, tearing himself away from his own thoughts."," Třel si bradu, vraštil obličej, oči zavřené, aby mohl ve tmě přemýšlet, a teprve pak ze sebe něco vysoukal, snažil se odpoutat od svých myšlenek."
"enlarged","enlarge","zvětšil","zvětšit","pf"," She turned up the wick on the oil lamp so it enlarged the diameter of light around her."," Povytáhla knot v petrolejce, takže se zvětšil průměr světla kolem ní."
"sat","sit","Seděla","sedět","impf"," She sat very still, the book on her lap, as he came up to her and then crouched beside her like an uncle."," Seděla zcela nehybně s knihou v klíně, když k ní došel a pak si těsně u ní dřepl jako strýček."
"came","come","došel","dojít","pf"," She sat very still, the book on her lap, as he came up to her and then crouched beside her like an uncle."," Seděla zcela nehybně s knihou v klíně, když k ní došel a pak si těsně u ní dřepl jako strýček."
"Tell","tell","Pověz","povědět","pf"," "" Tell me what a tonsil is. """," "" Pověz mi, co to je ta mandle. """
"remembering","remember","Pamatuju","pamatovat","impf"," "" I keep remembering how you stormed out of the hospital followed by two grown men. """," "" Pamatuju si, jak ses vyřítila z nemocnice a za tebou dva dospělí chlapi. """
"nodded","nod","Přikývla","přikývnout","pf"," She nodded."," Přikývla."
"go","go","jít","jít","impf"," Can I go in? """," Můžu jít dál? """
"touched","touch","nedotkli","dotknout","pf"," They never touched my head, he thought, that was strange."," Mé hlavy se vůbec nedotkli, říkal si, to je divné."
"imagine","imagine","představoval","představovat","impf"," The worst times were when he began to imagine what they would have done next, cut next."," Nejhorší chvíle byly, když si představoval, co mu mohli udělat dál, co mu ještě mohli uříznout."
"done","do","udělat","udělat","pf"," The worst times were when he began to imagine what they would have done next, cut next."," Nejhorší chvíle byly, když si představoval, co mu mohli udělat dál, co mu ještě mohli uříznout."
"thought","think","myslel","myslet","impf"," At those times he always thought of his head."," Vždycky v těch chvílích myslel na svou hlavu."
"revealed","reveal","odhalit","odhalit","pf"," The machine would not necessarily have revealed to Clifton, married only eighteen months, his wife 's infidelity, but it began to encircle the fault, the disease in the system."," To společenské soukolí ještě nutně nemuselo Cliftovi, který byl ženatý teprve osmnáct měsíců, odhalit manželčinu nevěru, ale začalo se kolem té chyby, kolem závady v systému točit."
"began","begin","začalo","začít","pf"," The machine would not necessarily have revealed to Clifton, married only eighteen months, his wife 's infidelity, but it began to encircle the fault, the disease in the system."," To společenské soukolí ještě nutně nemuselo Cliftovi, který byl ženatý teprve osmnáct měsíců, odhalit manželčinu nevěru, ale začalo se kolem té chyby, kolem závady v systému točit."
"doing","do","dělá","dělat","impf"," What is Kip doing dismantling bombs in orchards, for God 's sake?"," Co to, propánaboha, dělá Kip, proč zneškodňuje v zahradách miny?"
"doing","do","dělá","dělat","impf"," What is he doing fighting English wars?"," Co to dělá, že bojuje v anglických válkách?"
"fighting","fight","bojuje","bojovat","impf"," What is he doing fighting English wars?"," Co to dělá, že bojuje v anglických válkách?"
"ruining","ruin","zničí","zničit","pf"," A farmer on the western front cannot prune a tree without ruining his saw."," Farmář na západní frontě nemůže prořezávat stromy, aniž si zničí pilu."
"brought","bring","přinesli","přinést","pf"," Even the trees are thick with diseases we brought."," I ty stromy jsou prolezlý nemocema, co jsme sem přinesli."
"remember","remember","Pamatuješ","pamatovat","impf"," Do you remember, Hana?"," Pamatuješ se na to, Hano?"
"stand","stand","měl","mít","impf"," Everyone had to stand and sing a song."," Každý měl vstát a zazpívat nějakou písničku."
"sing","sing","zazpívat","zazpívat","pf"," Everyone had to stand and sing a song."," Každý měl vstát a zazpívat nějakou písničku."
"wanted","want","chceš","chtít","impf"," Your father, me, Giannetta, friends, and you said you wanted to as well- for the first time."," Tvůj táta, já, Giannetta, kamarádi, a ty ses ozvala, že chceš taky - poprvé."
"learned","learn","naučila","naučit","pf"," You were still at school then, and you had learned the song in a French class."," Chodilas ještě do školy a tu píseň ses naučila na hodině franštiny."
"did","do","Provedlas","provést","pf"," "" You did it formally, stood on the bench and then one more step up onto the wooden table between the plates and the candles burning."," Provedlas to se vší obřadností, postavila ses na lavici a potom na dřevěný stůl mezi talíře a hořící svíčky."
"stood","stand","postavila","postavit","pf"," "" You did it formally, stood on the bench and then one more step up onto the wooden table between the plates and the candles burning."," Provedlas to se vší obřadností, postavila ses na lavici a potom na dřevěný stůl mezi talíře a hořící svíčky."
"sang","sing","Zpívala","zpívat","impf"," She sang up into darkness beyond their snail light, beyond the square of light from the English patient 's room and into the dark sky waving with shadows of cypress."," Zpívala do tmy kamsi za ta hlemýždí světýlka, kamsi za ten čtverec světla z pokoje anglického pacienta, k temné obloze vlnící se stíny cypřišů."
"sung","sing","zpívaly","zpívat","impf"," Kip had heard the song in the camps, sung by groups of men, often during strange moments, such as before an impromptu soccer match."," Kip tu píseň slýchával v táborech, když ji zpívaly skupinky vojáků, často ve zvláštních chvílích, jako před improvizovaným fotbalovým utkáním."
"yelled","yell","křičet","křičet","impf"," Whereas the only name I should have yelled, dropped like a calling card into their hands, was Clifton 's."," Jenže zatím jediné slovo, které jsem měl křičet a hodit jim jako vizitku do rukou, bylo jméno Cliftonovo."
"calling","call","křičet","křičet","impf"," Whereas the only name I should have yelled, dropped like a calling card into their hands, was Clifton 's."," Jenže zatím jediné slovo, které jsem měl křičet a hodit jim jako vizitku do rukou, bylo jméno Cliftonovo."
"wants","want","chce","chtít","impf"," Caravaggio wants to rise and walk away from this villa, the country, the detritus of a war."," Caravaggio se chce zvednout a jít pryč tady odtud z vily, pryč odtud ze země, z těch posledních trosek války."
"rise","rise","zvednout","zvednout","pf"," Caravaggio wants to rise and walk away from this villa, the country, the detritus of a war."," Caravaggio se chce zvednout a jít pryč tady odtud z vily, pryč odtud ze země, z těch posledních trosek války."
"walk","walk","jít","jít","impf"," Caravaggio wants to rise and walk away from this villa, the country, the detritus of a war."," Caravaggio se chce zvednout a jít pryč tady odtud z vily, pryč odtud ze země, z těch posledních trosek války."
"turn","turn","zapne","zapnout","pf"," Soon one of the sappers will turn on the city 's electricity, and if he is going to explode he will do so in the company of these two."," Za chvíli jeden ženista zapne pro město elektřinu, a jestli má vyletět do povětří, vyletí společně s těma dvěma."
"die","die","Zemřou","zemřít","pf"," They will die or be secure."," Zemřou, anebo budou v bezpečí."
"do","do","dělat","dělat","impf"," There is nothing more he can do, anyway."," Stejně už nemůže nic dělat."
"walk","walk","procházet","procházet","impf"," Walls will crumble around him or he will walk through a city of light."," Stěny se kolem něho budou hroutit a bude procházet městem světla."
"want","want","Nechtělo","chtít","impf"," She did not want to end this."," Nechtělo se jí skončit."
"end","end","skončit","skončit","pf"," She did not want to end this."," Nechtělo se jí skončit."
"saw","see","Viděla","vidět","impf"," She saw the places they went, where the gang never went, crowded with aspidistra."," Viděla před sebou místa, kam ti dva chodili a kam nikdy nechodila parta, a kde měli spoustu zeleně, aspidistry."
"went","go","chodili","chodit","impf"," She saw the places they went, where the gang never went, crowded with aspidistra."," Viděla před sebou místa, kam ti dva chodili a kam nikdy nechodila parta, a kde měli spoustu zeleně, aspidistry."
"went","go","chodili","chodit","impf"," She saw the places they went, where the gang never went, crowded with aspidistra."," Viděla před sebou místa, kam ti dva chodili a kam nikdy nechodila parta, a kde měli spoustu zeleně, aspidistry."
"went","go","nechodila","chodit","impf"," She saw the places they went, where the gang never went, crowded with aspidistra."," Viděla před sebou místa, kam ti dva chodili a kam nikdy nechodila parta, a kde měli spoustu zeleně, aspidistry."
"went","go","nechodila","chodit","impf"," She saw the places they went, where the gang never went, crowded with aspidistra."," Viděla před sebou místa, kam ti dva chodili a kam nikdy nechodila parta, a kde měli spoustu zeleně, aspidistry."
"nodded","nod","kývla","kývnout","pf"," She looked up and nodded towards them, an acknowledgement that she would stop now."," Vzhlédla a kývla na znamení, že skončí."
"stop","stop","skončí","skončit","pf"," She looked up and nodded towards them, an acknowledgement that she would stop now."," Vzhlédla a kývla na znamení, že skončí."
"inserted","insert","vložil","vložit","pf"," Now, with his face blindfolded in a mask of grass fibres, he picked up a shell and moved with his carriers, guiding them towards a gun, inserted the bullet, bolted it, and holding it up in the air fired."," Teď s obličejem zakrytým maskou z travin zvedl patronu, a přenesen svými nosiči, které nasměroval k jedné zbrani, vložil do ní střelu, zaklapl závěr a pak ji pozvedl vzhůru do vzduchu a vystřelil."
"fired","fire","vystřelil","vystřelit","pf"," Now, with his face blindfolded in a mask of grass fibres, he picked up a shell and moved with his carriers, guiding them towards a gun, inserted the bullet, bolted it, and holding it up in the air fired."," Teď s obličejem zakrytým maskou z travin zvedl patronu, a přenesen svými nosiči, které nasměroval k jedné zbrani, vložil do ní střelu, zaklapl závěr a pak ji pozvedl vzhůru do vzduchu a vystřelil."
"written","write","napsal","napsat","pf"," A man thought to be sullen and mad had written that sentence down in an English hospital."," Tuto větu napsal v anglické nemocnici člověk pokládaný za mrzoutského blázna."
"changing","change","střídají","střídat","impf"," "" They 're changing guard at Buckingham Palace, "" Kip whistled."," "" U paláce Buckinghamu právě stráže střídají, "" pískal si Kip."
"whistled","whistle","pískal","pískat","impf"," "" They 're changing guard at Buckingham Palace, "" Kip whistled."," "" U paláce Buckinghamu právě stráže střídají, "" pískal si Kip."
"feel","feel","Cítil","cítit","impf"," He could feel them roll slowly at his feet."," Cítil, jak pomalu klouzají kolem jeho nohou."
"take","take","potřebovat","potřebovat","impf"," It would all take another four minutes."," Ještě bude potřebovat další čtyři minuty."
"says","say","praví","pravit","pf"," ' A soldier 's life is terrible hard, ' says Alice! """," ' Leč služba vojáka ho silně váže, ' Alice nám praví! """
"trying","try","snažil","snažit","impf"," He was singing it out loud, trying to get more warmth into his body, his chest painfully cold."," Prozpěvoval si hlasitě, snažil se vzburcovat v těle víc tepla, v prsou cítil bolestivý chlad."
"expected","expect","Nečekali","čekat","impf"," They had not expected him to emerge too out of the no-man's-land of the beach."," Nečekali, že se také vynoří na pláži ze země nikoho."
"raised","raise","Zvedl","zvednout","pf"," He raised his rifle and picked up her face in the gun sight - ageless, without sexuality, the foreground of the men 's dark hands reaching into her light, the gracious nod of the twenty small light bulbs."," Zvedl pušku a v hledáčku se zaměřil na Mariinu tvář - odvěkou, bez jakékoli sexuálnosti, v popředí tmavých rukou mužů natahujících se do jejího světla, k laskavému pokynutí dvaceti malých žároviček."
"wore","wear","měla","mít","impf"," The figure wore a pale blue cloak, her left knee raised slightly to suggest drapery."," Postava měla na sobě bleděmodrý plášť, lehce nadzvednuté levé koleno naznačovalo zřasení látky."
"survived","survive","Přežili","přežít","pf"," They had survived the Fascists, the English, Gauls, Goths and Germans."," Přežili fašisty, Angličany, Galy, Góty a Němce."
"carried","carry","Vezl","vézt","impf"," He carried little, all weapons left behind."," Vezl toho málo, žádné zbraně si nevzal."
"slowing","slow","nezpomalila","zpomalit","pf"," The bike hurled through each village, not slowing for town or memory of war."," Motorka se hnala přes vesnice, nezpomalila ani kvůli městu nebo válečné vzpomínce."
"opened","open","Otevřela","otevřít","pf"," She opened up his knapsack."," Otevřela jeho batoh."
"thinking","think","myslím","myslet","impf"," I keep thinking of the Russian book he always carried."," Pořád myslím na tu ruskou knihu, co s sebou ustavičně nosil."
"carried","carry","nosil","nosit","impf"," I keep thinking of the Russian book he always carried."," Pořád myslím na tu ruskou knihu, co s sebou ustavičně nosil."
"died","die","zemřel","zemřít","pf"," Yes, Madox was a man who died because of nations."," Ano, Madox byl člověk, který zemřel kvůli národům."
"argue","argue","přel","přít","impf"," I would argue furiously about locations on a map, and his reports would somehow speak of our "" debate "" in reasonable sentences."," Já se často divoce přel o různých polohách na mapě, a jeho zprávy také občas zmiňují naše "" debaty "" v umírněných formulacích."
"waited","wait","Čekal","čekat","impf"," He waited for the live chart of stars, then moved forward reading them every hour."," Čekal na zářivou mapu hvězd a potom postupoval kupředu a každou hodinu si v nich směr ověřoval."
"moved","move","postupoval","postupovat","impf"," He waited for the live chart of stars, then moved forward reading them every hour."," Čekal na zářivou mapu hvězd a potom postupoval kupředu a každou hodinu si v nich směr ověřoval."
"hang","hang","pověsili","pověsit","pf"," In the past, when they had had desert guides, they would hang a lantern from a long pole and the rest of them would follow the bounce of light above the star reader."," V minulosti mívali v poušti průvodce, a ti vždycky pověsili na dlouhou tyč lampu a ostatní sledovali poskakující světlo nad hlavou toho, kdo v hvězdách četl směr."
"follow","follow","sledovali","sledovat","impf"," In the past, when they had had desert guides, they would hang a lantern from a long pole and the rest of them would follow the bounce of light above the star reader."," V minulosti mívali v poušti průvodce, a ti vždycky pověsili na dlouhou tyč lampu a ostatní sledovali poskakující světlo nad hlavou toho, kdo v hvězdách četl směr."
"walks","walk","jde","jít","impf"," A man walks as fast as a camel."," Člověk jde stejně rychle jako velbloud."
"listen","listen","neposlouchali","poslouchat","impf"," She was just seventy miles away and they would n't listen."," Byla odtamtud jenom sto patnáct kilometrů, ale neposlouchali, co říkám."
"using","use","Užívali","užívat","impf"," They were using these wicker prisons, size of a shower."," Užívali jako vězení ty proutěné klece velikosti sprchy."
"moved","move","odvezli","odvézt","pf"," I was put into one and moved by truck."," Strčili mě do jedné a odvezli náklaďákem."
"fell","fall","spadl","spadnout","pf"," I was flailing around in there until I fell off onto the street, still in it."," Mlátil jsem sebou sem tam, až jsem z něho spadl na ulici, pořád ještě v kleci."
"yelling","yell","Řval","řvát","impf"," I was yelling Katharine 's name."," Řval jsem Katharinino jméno."
"Yelling","yell","Řval","řvát","impf"," Yelling the Gilf Kebir."," Řval jsem Gilf Kebír."
"gave","give","dávala","dávat","impf"," The first time Hana gave me morphine in your company you were by the window, and at the tap of her nail your neck jerked towards us."," Když mi Hana dávala morfium a vy jste u toho poprvé byl, stál jste u okna, a při poklepnutí jejího nehtu jste škubl krkem směrem k nám."
"recognize","recognize","rozpozná","rozpoznat","pf"," The way a lover will always recognize the camouflage of other lovers."," Tak jako milenec vždycky rozpozná maskování jiných milenců."
"want","want","chtějí","chtít","impf"," Women want everything of a lover."," Ženy chtějí od milence všechno."
"sink","sink","klesal","klesat","impf"," And too often I would sink below the surface."," A já příliš často klesal pod hladinu."
"disappear","disappear","mizí","mizet","impf"," So armies disappear under sand."," Tak mizí pod pískem celé armády."
"sat","sit","Seděl","sedět","impf"," He sat in his two-seater plane and we walked towards him from the base camp."," Seděl ve svém dvousedadlovém letadle a my k němu šli ze základního tábora."
"walked","walk","šli","jít","impf"," He sat in his two-seater plane and we walked towards him from the base camp."," Seděl ve svém dvousedadlovém letadle a my k němu šli ze základního tábora."
"poured","pour","lil","lít","impf"," He stood up in the cockpit and poured a drink out of his flask."," Zvedl se v kokpitu a lil si pití z láhve."
"sat","sit","seděla","sedět","impf"," His new wife sat beside him."," Vedle něho seděla jeho novomanželka."
"announced","announce","oznámil","oznámit","pf"," "" I name this site the Bir Messaha Country Club, "" he announced."," "" Jmenuji toto místo klubem Bír Misáha, "" oznámil nám."
"watched","watch","Pozoroval","pozorovat","impf"," I watched the friendly uncertainty scattered across his wife 's face, her lionlike hair when she pulled off the leather helmet."," Pozoroval jsem přátelskou nejistotu, zračící se v obličeji jeho ženy, a její hřívu vlasů, když si stáhla dolů koženou helmu."
"climbed","climb","Vylezli","vylézt","pf"," They climbed out of the plane and shook hands with us."," Vylezli z letadla a podali si s námi ruce."
"foil","foil","zmařit","zmařit","pf"," It was a second gaine-a whole separate device-to foil any attempt at defusing."," Byl tam další rozněcovač - celé samostatné zařízení -, které mělo zmařit jakýkoli pokus o zneškodnění bomby."
"eased","ease","Uvolnil","uvolnit","pf"," He eased the device out towards him and unscrewed the gaine."," Uvolnil to zařízení a přitáhl si je k sobě, odšrouboval rozněcovač."
"unscrewed","unscrew","Uvolnil","uvolnit","pf"," He eased the device out towards him and unscrewed the gaine."," Uvolnil to zařízení a přitáhl si je k sobě, odšrouboval rozněcovač."
"pulled","pull","Vytáhl","vytáhnout","pf"," He pulled it out and set it beside the other parts on the grass."," Vytáhl ji a položil vedle ostatních částí do trávy."
"set","set","položil","položit","pf"," He pulled it out and set it beside the other parts on the grass."," Vytáhl ji a položil vedle ostatních částí do trávy."
"pull","pull","vytáhnout","vytáhnout","pf"," "" I was very lucky, being able to pull out those wires."," "" Měl jsem moc štěstí, že se mně podařilo vytáhnout ty dráty."
"say","say","Neříkej","říkat","impf"," Do n't say you have come here to try and persuade me to leave. """," Neříkej, že jsi přišel, aby ses mě pokusil přesvědčit, že mám odejít. """
"come","come","přišel","přijít","pf"," Do n't say you have come here to try and persuade me to leave. """," Neříkej, že jsi přišel, aby ses mě pokusil přesvědčit, že mám odejít. """
"persuade","persuade","přesvědčit","přesvědčit","pf"," Do n't say you have come here to try and persuade me to leave. """," Neříkej, že jsi přišel, aby ses mě pokusil přesvědčit, že mám odejít. """
"leave","leave","odejít","odejít","pf"," Do n't say you have come here to try and persuade me to leave. """," Neříkej, že jsi přišel, aby ses mě pokusil přesvědčit, že mám odejít. """
"want","want","Chci","chtít","impf"," "" I want to find a small bar with a Wurlitzer and drink without a fucking bomb going off."," "" Chci najít nějaký malý bar s hracím automatem a pít, aniž by vybuchla nějaká blbá bomba."
"find","find","najít","najít","pf"," "" I want to find a small bar with a Wurlitzer and drink without a fucking bomb going off."," "" Chci najít nějaký malý bar s hracím automatem a pít, aniž by vybuchla nějaká blbá bomba."
"Listen","listen","Poslouchat","poslouchat","impf"," Listen to Frank Sinatra singing."," Poslouchat Franka Sinatru."
"get","get","sehnat","sehnat","pf"," We have to get some music, "" he says."," Musíme sehnat nějakou muziku, "" řekne Caravaggio."
"says","say","řekne","říci","pf"," We have to get some music, "" he says."," Musíme sehnat nějakou muziku, "" řekne Caravaggio."
"watching","watch","Pozoruje","pozorovat","impf"," He is watching her, waiting for her to say more, but there is nothing more about the English patient to be said."," Pozoruje ji, čeká, že mu Hana řekne něco víc, ale ta nemá nic, co by ještě o tom anglickém pacientovi dodala."
