"try","try","snaží","snažit","impf"," All you do is try to help, and people would think you ’ d murdered someone or something. ’"," Jeden se vždycky snaží pomoct, a lidi si nakonec myslí, že jsme někoho zamordovali nebo co. """
"bored","bore","nudit","nudit","impf"," He was becoming bored with Tibetans."," Tibeťané ho začínali nudit."
"left","leave","opustily","opustit","pf"," The dark and stormy night occurred two days later, about four hours after both Mrs Dowling and Mrs Young and their respective babies had left the building."," Temná a bouřlivá noc se odehrála o dva dny později, zhruba čtyři hodiny potom, co jak paní Dowlingová, tak paní Youngová a jejich dítka opustily budovu."
"reached","reach","dosáhla","dosáhnout","pf"," It was a particularly dark and stormy night, and just after midnight, as the storm reached its height, a bolt of lightning struck the Convent of the Chattering Order, setting fire to the roof of the vestry."," Byla to obzvláště temná a bouřlivá noc a krátce po půlnoci, když bouře dosáhla největší síly, udeřil do areálu Švitořícího řádu blesk a zapálil střechu kaple."
"struck","strike","udeřil","udeřit","pf"," It was a particularly dark and stormy night, and just after midnight, as the storm reached its height, a bolt of lightning struck the Convent of the Chattering Order, setting fire to the roof of the vestry."," Byla to obzvláště temná a bouřlivá noc a krátce po půlnoci, když bouře dosáhla největší síly, udeřil do areálu Švitořícího řádu blesk a zapálil střechu kaple."
"said","say","odpověděl","odpovědět","pf"," ‘ Not much more, said Aziraphale, who had never done other to get rid of demons than to hint to them very strongly that he, Aziraphale, had some work to be getting on with, and wasn ’ t it getting late?"," "" No, o moc asi ne, "" odpověděl Azirafal, který k tomu, aby se zbavil démona, nikdy nepotřeboval víc než poněkud důrazněji naznačit, že on, Azirafal, má ještě dost práce a jestli se už příliš nepřipozdilo?"
"got","get","pochopil","pochopit","pf"," And Crowley had always got the hint."," Crowley to vždycky pochopil."
"looked","look","podíval","podívat","pf"," Shadwell looked down at his right hand, and smiled."," Shadwell se podíval na svou pravou ruku a usmál se."
"smiled","smile","usmál","usmát","pf"," Shadwell looked down at his right hand, and smiled."," Shadwell se podíval na svou pravou ruku a usmál se."
"hesitated","hesitate","zaváhal","zaváhat","pf"," Then he hesitated."," Pak zaváhal."
"thought","think","pomyslel","pomyslet","pf"," The end justifies the means, thought Aziraphale."," Účel světí prostředky, pomyslel si Azirafal."
"think","think","považovat","považovat","impf"," It was a mistake to think of Shadwell ( Newt never found out if he had a first name ) as a lone nut."," Byla by ovšem chyba považovat Shadwella ( Newtovi se nikdy nepodařilo zjistit, jestli má Shadwell i nějaké křestní jméno ) za osamělého blázna."
"found","find","považovat","považovat","impf"," It was a mistake to think of Shadwell ( Newt never found out if he had a first name ) as a lone nut."," Byla by ovšem chyba považovat Shadwella ( Newtovi se nikdy nepodařilo zjistit, jestli má Shadwell i nějaké křestní jméno ) za osamělého blázna."
"found","find","zjistit","zjistit","pf"," It was a mistake to think of Shadwell ( Newt never found out if he had a first name ) as a lone nut."," Byla by ovšem chyba považovat Shadwella ( Newtovi se nikdy nepodařilo zjistit, jestli má Shadwell i nějaké křestní jméno ) za osamělého blázna."
"think","think","má","mít","impf"," It was a mistake to think of Shadwell ( Newt never found out if he had a first name ) as a lone nut."," Byla by ovšem chyba považovat Shadwella ( Newtovi se nikdy nepodařilo zjistit, jestli má Shadwell i nějaké křestní jméno ) za osamělého blázna."
"smelled","smell","páchla","páchnout","impf"," It was a hot afternoon, the Inquisitorial robes of old sacking were scratchy and smelled of stale barley, and the pond looked astonishingly inviting."," Bylo opravdu velmi teplé odpoledne, roucha inkvizitorů, vyrobená ze starých pytlů, kousala a páchla plesnivým ječmenem a rybníček vypadal neobyčejně lákavě."
"turned","turn","obrátil","obrátit","pf"," ‘ All right, all right, ’ he said, and turned to the suspect."," "" Dobrá, dobrá, "" přikývl nakonec a obrátil se k podezřelé."
"do","do","nedělej","dělat","impf"," ‘ You ’ re a witch, all right, don ’ t do it again, and now you get off and let someone else have a turn."," "" Takže jsme dokázali, že jsi čarodějnice, už to nikdy nedělej a teď slez a pusť tam zase někoho jiného."
"hesitated","hesitate","zaváhal","zaváhat","pf"," Adam hesitated."," Adam zaváhal."
"began","begin","začala","začít","pf"," Friends of yours- ’ Anathema began, and stopped."," To jsou nějací tví přá - "" začala Anatéma a najednou umlkla."
"turned","turn","otočil","otočit","pf"," Aziraphale had half turned, and the profile had finally clicked into place."," Azirafal se napůl otočil a v okamžiku, kdy ho zahlédla z profilu, dodala jí paměť potřebnou informaci."
"seen","see","viděla","vidět","impf"," ‘ I know where I ’ ve seen him before! ’ she shouted, pulling herself upright against Newt as the ground bounced up and down."," "" Už vím, kde jsem ho předtím viděla! "" vykřikla a přitiskla se k Newtovi, protože zem se jim znovu zahoupala pod nohama."
"shouted","shout","vykřikla","vykřiknout","pf"," ‘ I know where I ’ ve seen him before! ’ she shouted, pulling herself upright against Newt as the ground bounced up and down."," "" Už vím, kde jsem ho předtím viděla! "" vykřikla a přitiskla se k Newtovi, protože zem se jim znovu zahoupala pod nohama."
"Come","come","Jdeme","jít","impf"," ‘ Come on! ’"," "" Jdeme! """
"damaged","damage","poškodil","poškodit","pf"," ‘ If he ’ s damaged the book, you ’ re bloody well right! ’"," "" No, jestli poškodil Knihu, tak o tom nepochybuj! """
"listening","listen","naslouchal","naslouchat","impf"," Adam drummed his heels on the edge of the milk crate that was doing the office of a seat, listening to this bickering with the relaxed air of a king listening to the idle chatter of his courtiers."," Adam okopával patami okraj křídové jámy, která plnila současně funkci křesla, a naslouchal těm řečem s mírně blazeovaným výrazem krále naslouchajícího svým poddaným."
"listening","listen","naslouchal","naslouchat","impf"," Adam drummed his heels on the edge of the milk crate that was doing the office of a seat, listening to this bickering with the relaxed air of a king listening to the idle chatter of his courtiers."," Adam okopával patami okraj křídové jámy, která plnila současně funkci křesla, a naslouchal těm řečem s mírně blazeovaným výrazem krále naslouchajícího svým poddaným."
"needed","need","Potřebovaly","potřebovat","impf"," They needed filling up."," Potřebovaly nějakým způsobem vyplnit."
"filling","fill","vyplnit","vyplnit","pf"," They needed filling up."," Potřebovaly nějakým způsobem vyplnit."
"let","let","Nechal","nechat","pf"," He let the conversation float around him like the buzzing of grasshoppers or, more precisely, like a prospector watches the churning gravel for a glint of useful gold."," Nechal kolem sebe plynout hovor jako cvrkot lučních kobylek, nebo spíš tak, jako zlatokop nechává odplývat písek z pánve, přestože jej podvědomě sleduje, aby mu náhodou neunikl záblesk ryzího zlata."
"let","let","nechává","nechávat","impf"," He let the conversation float around him like the buzzing of grasshoppers or, more precisely, like a prospector watches the churning gravel for a glint of useful gold."," Nechal kolem sebe plynout hovor jako cvrkot lučních kobylek, nebo spíš tak, jako zlatokop nechává odplývat písek z pánve, přestože jej podvědomě sleduje, aby mu náhodou neunikl záblesk ryzího zlata."
"watches","watch","sleduje","sledovat","impf"," He let the conversation float around him like the buzzing of grasshoppers or, more precisely, like a prospector watches the churning gravel for a glint of useful gold."," Nechal kolem sebe plynout hovor jako cvrkot lučních kobylek, nebo spíš tak, jako zlatokop nechává odplývat písek z pánve, přestože jej podvědomě sleduje, aby mu náhodou neunikl záblesk ryzího zlata."
"meant","mean","myslel","myslet","impf"," That ’ s what I meant."," Přesně to jsem myslel."
"considered","consider","zvážil","zvážit","pf"," The sergeant considered the very limited number of options at his disposal."," Seržant zvážil velmi omezený počet možností, které měl k dispozici."
"said","say","řekl","říci","pf"," ‘ Sir, surprise inspection, sir? ’ he said."," "" Pane, tedy přepadová kontrola, pane? "" řekl."
"begins","begin","začíná","začínat","impf"," The astrological prediction for Libra in the ‘ Your Stars Today ’ column of the Tadfield Advertiser, on the day this history begins, read as follows :"," Astrologická předpověď pro Váhy z rubriky "" Horoskop pro dnešní den "" otištěná v tadfieldském Inzerentu zněla onoho dne, kdy náš příběh začíná, takto :"
"feeling","feel","cítit","cítit","impf"," You may be feeling run down and always in the same old daily round."," Můžete se cítit zcela vysílení a zničení únavnou denní rutinou."
"Avoid","avoid","Vyhýbejte","vyhýbat","impf"," Avoid unnecessary risks."," Vyhýbejte se zbytečnému riskování."
"Shelve","shelve","Odložte","odložit","pf"," Shelve major decisions until the way ahead seems clear."," Odložte důležité rozhodnutí, dokud se cesta před vámi nevyčistí."
"surprised","surprise","překvapit","překvapit","pf"," He ’ d surprised the huge ginger cat from next door and had attempted to reduce it to cowering jelly by means of the usual glowing stare and deep-throated growl, which had always worked on the damned in the past."," Podařilo se mu překvapit velkou zrzavou kočku od sousedů a nejdříve se ji pokusil změnit v hromádku roztřesených údů pomocí ďábelského pohledu a strašlivého zavrčení, což v minulosti zabíralo na všechny hříšníky bez rozdílu."
"attempted","attempt","pokusil","pokusit","pf"," He ’ d surprised the huge ginger cat from next door and had attempted to reduce it to cowering jelly by means of the usual glowing stare and deep-throated growl, which had always worked on the damned in the past."," Podařilo se mu překvapit velkou zrzavou kočku od sousedů a nejdříve se ji pokusil změnit v hromádku roztřesených údů pomocí ďábelského pohledu a strašlivého zavrčení, což v minulosti zabíralo na všechny hříšníky bez rozdílu."
"reduce","reduce","změnit","změnit","pf"," He ’ d surprised the huge ginger cat from next door and had attempted to reduce it to cowering jelly by means of the usual glowing stare and deep-throated growl, which had always worked on the damned in the past."," Podařilo se mu překvapit velkou zrzavou kočku od sousedů a nejdříve se ji pokusil změnit v hromádku roztřesených údů pomocí ďábelského pohledu a strašlivého zavrčení, což v minulosti zabíralo na všechny hříšníky bez rozdílu."
"said","say","řekla","říci","pf"," ‘ Um, ’ said Madame Tracy, who had once driven the scooter the few miles to nearby Finchley to visit her niece, but had taken the bus since, because of the funny noises the scooter had started making on the way back."," "" Hm, "" řekla madam Tracy, která sice jednou na skútru dojela až do blízkého Finchley, kam jela navštívit svou neteř, ale od té doby tam kvůli legračním zvukům, jež skútr začal vydávat na zpáteční cestě, raději jezdila autobusem."
"driven","drive","jela","jet","impf"," ‘ Um, ’ said Madame Tracy, who had once driven the scooter the few miles to nearby Finchley to visit her niece, but had taken the bus since, because of the funny noises the scooter had started making on the way back."," "" Hm, "" řekla madam Tracy, která sice jednou na skútru dojela až do blízkého Finchley, kam jela navštívit svou neteř, ale od té doby tam kvůli legračním zvukům, jež skútr začal vydávat na zpáteční cestě, raději jezdila autobusem."
"visit","visit","navštívit","navštívit","pf"," ‘ Um, ’ said Madame Tracy, who had once driven the scooter the few miles to nearby Finchley to visit her niece, but had taken the bus since, because of the funny noises the scooter had started making on the way back."," "" Hm, "" řekla madam Tracy, která sice jednou na skútru dojela až do blízkého Finchley, kam jela navštívit svou neteř, ale od té doby tam kvůli legračním zvukům, jež skútr začal vydávat na zpáteční cestě, raději jezdila autobusem."
"started","start","začal","začít","pf"," ‘ Um, ’ said Madame Tracy, who had once driven the scooter the few miles to nearby Finchley to visit her niece, but had taken the bus since, because of the funny noises the scooter had started making on the way back."," "" Hm, "" řekla madam Tracy, která sice jednou na skútru dojela až do blízkého Finchley, kam jela navštívit svou neteř, ale od té doby tam kvůli legračním zvukům, jež skútr začal vydávat na zpáteční cestě, raději jezdila autobusem."
"driven","drive","jezdila","jezdit","impf"," ‘ Um, ’ said Madame Tracy, who had once driven the scooter the few miles to nearby Finchley to visit her niece, but had taken the bus since, because of the funny noises the scooter had started making on the way back."," "" Hm, "" řekla madam Tracy, která sice jednou na skútru dojela až do blízkého Finchley, kam jela navštívit svou neteř, ale od té doby tam kvůli legračním zvukům, jež skútr začal vydávat na zpáteční cestě, raději jezdila autobusem."
"going","go","jet","jet","impf"," ‘ ... we should really be going at about seventy, if we ’ re going to get there in time, ’ said Aziraphale."," "" ... měli bychom jet alespoň stovkou, jestli tam máme být včas, "" uvažoval nahlas Azirafal."
"going","go","jet","jet","impf"," ‘ ... we should really be going at about seventy, if we ’ re going to get there in time, ’ said Aziraphale."," "" ... měli bychom jet alespoň stovkou, jestli tam máme být včas, "" uvažoval nahlas Azirafal."
"emerged","emerge","objevil","objevit","pf"," Somewhere in Adam ’ s sleeping head, a butterfly had emerged."," Kdesi v Adamově spící hlavě se objevil motýl."
"see","see","vidět","vidět","impf"," It was for the same reason that people in Trafalgar Square can ’ t see England."," Bylo to prostě z téhož důvodu, proč člověk stojící na Trafalgar Square nemůže vidět Anglii."
"finished","finish","dokončil","dokončit","pf"," Suspicion will slide off him like, like ... whatever it is water slides off of, ’ he finished lamely."," Podezření po něm steče jako voda z toho ... co z toho steče voda, "" dokončil neohrabaně."
"tell","tell","neříkej","říkat","impf"," Don ’ t tell me you haven ’ t got any front organizations you could use."," A neříkej mi, že nemáš žádnou krycí organizaci, kterou bys k tomu mohl použít."
"use","use","použít","použít","pf"," Don ’ t tell me you haven ’ t got any front organizations you could use."," A neříkej mi, že nemáš žádnou krycí organizaci, kterou bys k tomu mohl použít."
"see","see","Uvidíme","uvidět","pf"," We could see if they can pick up the trail. ’"," Uvidíme, jestli dokážou najít nějakou stopu. """
"said","say","řekl","říci","pf"," Finally, after another twenty minutes, one of them said :"," Nakonec, zhruba po dalších dvaceti minutách, jeden z nich řekl :"
"enjoying","enjoy","užíval","užívat","impf"," The reason he was late was that he was enjoying the twentieth century immensely."," Důvodem jeho zpoždění bylo, že si nesmírně užíval dvacáté století."
"carrying","carry","nesl","nést","impf"," Sliding serenely past the men with guns, like a pike through a trout pond, came a small, bespectacled man in a blue uniform, carrying a long, thin, brown paper-wrapped parcel, tied with string."," Skupinou ozbrojených mužů u vchodu proplul jako štika pstruhovou tůňkou drobný brýlatý muž v modré uniformě, který nesl dlouhý balíček v hnědém papíře, převázaný provázkem."
"wore","wear","měl","mít","impf"," His sole concession to the climate were his open-toed brown plastic sandals, although the green woollen socks he wore underneath them showed his deep and natural distrust of foreign weather."," Jediný ústupek, který muž učinil tropickému podnebí, byly sandály s volnou špičkou, které obul místo klasických bot, i když zelené vlněné ponožky, jež měl na nohou, hlásaly celému světu jeho hlubokou nedůvěru k cizímu počasí."
"dropped","drop","upustil","upustit","pf"," He fumbled for his keys, dropped them on the pavement, picked them up, dropped them again, and hurried to the shop door."," Chvilku hledal po kapsách klíče, pak je upustil na chodník, zvedl je, znovu upustil a pospíchal ke dveřím obchodu."
"dropped","drop","upustil","upustit","pf"," He fumbled for his keys, dropped them on the pavement, picked them up, dropped them again, and hurried to the shop door."," Chvilku hledal po kapsách klíče, pak je upustil na chodník, zvedl je, znovu upustil a pospíchal ke dveřím obchodu."
"dropped","drop","upustil","upustit","pf"," He fumbled for his keys, dropped them on the pavement, picked them up, dropped them again, and hurried to the shop door."," Chvilku hledal po kapsách klíče, pak je upustil na chodník, zvedl je, znovu upustil a pospíchal ke dveřím obchodu."
"dropped","drop","upustil","upustit","pf"," He fumbled for his keys, dropped them on the pavement, picked them up, dropped them again, and hurried to the shop door."," Chvilku hledal po kapsách klíče, pak je upustil na chodník, zvedl je, znovu upustil a pospíchal ke dveřím obchodu."
"hurried","hurry","pospíchal","pospíchat","impf"," He fumbled for his keys, dropped them on the pavement, picked them up, dropped them again, and hurried to the shop door."," Chvilku hledal po kapsách klíče, pak je upustil na chodník, zvedl je, znovu upustil a pospíchal ke dveřím obchodu."
"turning","turn","otočil","otočit","pf"," Aziraphale paused in the act of turning the key."," Azirafal zasunul klíče do zámku a otočil se."
"feeling","feel","cítil","cítit","impf"," ‘ Right, ’ mumbled Crowley, suddenly feeling very alone."," "" Tak jo, "" zabručel Crowley, který se najednou cítil nesmírně osamělý."
"passed","pass","Podala","podat","pf"," She passed him the damp towel."," Podala mu vlhký ručník."
"make","make","udělat","udělat","pf"," I ’ ve got to make the sandwiches, and we ’ ve got to get ready. ’"," Musím udělat nějaké obložené chleby a je třeba abychom se připravili. """
"make","make","připravili","připravit","pf"," I ’ ve got to make the sandwiches, and we ’ ve got to get ready. ’"," Musím udělat nějaké obložené chleby a je třeba abychom se připravili. """
"called","call","zavolal","zavolat","pf"," ‘ In here, people, ’ he called."," "" Tady, lidičky! "" zavolal."
"said","say","pronesl","pronést","pf"," ‘ We want a word with you, ’ said Ligur ( in a tone of voice intended to imply that ‘ word ’ was synonymous with ‘ horrifically painful eternity ’ ), and the squat demon pushed open the office door."," "" Rádi bychom s tebou na slovíčko, "" ozval se v hale Ligur ( pronesl to tónem, který naznačoval, že slovo "" slovíčko "" je synonymem pro "" strašlivou a velmi bolestnou věčnost "" ) a vzápětí strčil do dveří kanceláře."
"imply","imply","naznačoval","naznačovat","impf"," ‘ We want a word with you, ’ said Ligur ( in a tone of voice intended to imply that ‘ word ’ was synonymous with ‘ horrifically painful eternity ’ ), and the squat demon pushed open the office door."," "" Rádi bychom s tebou na slovíčko, "" ozval se v hale Ligur ( pronesl to tónem, který naznačoval, že slovo "" slovíčko "" je synonymem pro "" strašlivou a velmi bolestnou věčnost "" ) a vzápětí strčil do dveří kanceláře."
"pushed","push","strčil","strčit","pf"," ‘ We want a word with you, ’ said Ligur ( in a tone of voice intended to imply that ‘ word ’ was synonymous with ‘ horrifically painful eternity ’ ), and the squat demon pushed open the office door."," "" Rádi bychom s tebou na slovíčko, "" ozval se v hale Ligur ( pronesl to tónem, který naznačoval, že slovo "" slovíčko "" je synonymem pro "" strašlivou a velmi bolestnou věčnost "" ) a vzápětí strčil do dveří kanceláře."
"fell","fall","spadl","spadnout","pf"," The bucket teetered, then fell neatly on Ligur ’ s head."," Kbelík se na okamžik zakýval a pak spadl Ligurovi přesně na hlavu."
"Watch","watch","Pozorujte","pozorovat","impf"," Watch it flame and burn and spin around crazily, flaring and sputtering."," Pozorujte, jak vzplane, hoří, šíleně krouží sem a tam, prská a bublá."
"flame","flame","hoří","hořet","impf"," Watch it flame and burn and spin around crazily, flaring and sputtering."," Pozorujte, jak vzplane, hoří, šíleně krouží sem a tam, prská a bublá."
"burn","burn","hoří","hořet","impf"," Watch it flame and burn and spin around crazily, flaring and sputtering."," Pozorujte, jak vzplane, hoří, šíleně krouží sem a tam, prská a bublá."
"see","see","nevidím","vidět","impf"," So I don ’ t see why we shouldn ’ t have one round here."," Takže nevidím jediný důvod, proč by nemohla jedna z nich žít tady."
"said","say","Říká","říkat","impf"," They were floodin ’ the country with a Wave of Mindless Evil, it said. ’"," Říká se, že zaplavují krajinu vlnou bezmyšlenkovitého zla. """
"said","say","odpověděl","odpovědět","pf"," ‘ The Voice of God, ’ said the angel."," "" Hlas boží, "" odpověděl anděl."
"win","win","zvítězíme","zvítězit","pf"," ‘ But after we win life will be better! ’ croaked the angel."," "" Ale až zvítězíme, bude život mnohem lepší, "" zakrákoral anděl."
"screaming","scream","křičela","křičet","impf"," The woman was screaming."," Žena něco křičela."
"look","look","podívat","podívat","pf"," The Them had reached that position where, as it were, the roller coaster of Life had almost completed the long haul to the top of the first big humpback of puberty so that they could just look down into the precipitous ride ahead, full of mystery, terror and exciting curves."," Oni teď byli ve věku, kdy se jejich život po dlouhém pracném výstupu doplazil na první vrcholek puberty, odkud se mohli na okamžik podívat dolů do údolí před sebou, plného tajemství, divokého života a okouzlujících oblin."
"said","say","řekla","říci","pf"," ‘ Huh, ’ said Pepper."," "" Hm, "" řekla Pepřenka."
"said","say","prohlásil","prohlásit","pf"," ‘ Not my aunt, ’ said Wensleydale, breaking the spell."," "" Tak tohle by moje teta neudělala, "" prohlásil Wensleydale, a zlomil tak kouzlo okamžiku."
"breaking","break","zlomil","zlomit","pf"," ‘ Not my aunt, ’ said Wensleydale, breaking the spell."," "" Tak tohle by moje teta neudělala, "" prohlásil Wensleydale, a zlomil tak kouzlo okamžiku."
"trying","try","pokouší","pokoušet","impf"," She just keeps trying to talk to my uncle. ’"," Ta se akorát pořád pokouší mluvit se strejdou. """
"talk","talk","mluvit","mluvit","impf"," She just keeps trying to talk to my uncle. ’"," Ta se akorát pořád pokouší mluvit se strejdou. """
"picked","pick","sebral","sebrat","pf"," Meanwhile Crowley had picked up a pamphlet from the desk."," Crowley zatím sebral z pultu propagační brožurku."
"said","say","odpověděl","odpovědět","pf"," ‘ Awa ’ wi ’ ye, harlot, ’ said Shadwell, automatically."," "" Odstupte, nevěstko, "" odpověděl automaticky Shadwell."
"getting","get","koupila","koupit","pf"," ‘ And I ’ ll be getting us a nice bit of liver for Sunday. ’"," "" A na neděli jsem nám koupila pěkný kousek jater. """
"looked","look","Prohlédla","prohlédnout","pf"," She looked him up and down."," Prohlédla si ho od hlavy k patě."
"rummaged","rummage","hledat","hledat","impf"," He eyed the Sellotaped cardboard cautiously, and then rummaged in the kitchen drawer for a sharp knife."," Opatrně si prohlížel pečlivě zabalenou a zalepenou krabici a pak začal v kuchyňské zásuvce hledat ostrý nůž."
"said","say","řekl","říci","pf"," ‘ I think more a bequest, ’ said Mr Baddicombe."," "" Já bych řekl, že spíše odkaz nebo dědictví, "" řekl pan Baddicombe."
"said","say","řekl","říci","pf"," ‘ I think more a bequest, ’ said Mr Baddicombe."," "" Já bych řekl, že spíše odkaz nebo dědictví, "" řekl pan Baddicombe."
"said","say","Řekl","říci","pf"," Was it something I said?"," Řekl jsem snad něco nevhodného?"
"said","say","řekl","říci","pf"," ‘ What the hell is this all about? ’ said Newt, but a certain icy suspicion was creeping over him."," "" Co to má, u všech čertů, znamenat? "" řekl Newt, ale kdesi v hlavě se mu začalo líhnout jakési ošklivé podezření."
"slowed","slow","zpomalíme","zpomalit","pf"," The text will be slowed down to allow the sleight of hand to be followed."," Tady naše vyprávění zpomalíme tak, abychom dokázali sledovat tu bleskovou hru ruky."
"followed","follow","sledovat","sledovat","impf"," The text will be slowed down to allow the sleight of hand to be followed."," Tady naše vyprávění zpomalíme tak, abychom dokázali sledovat tu bleskovou hru ruky."
"call","call","říkat","říkat","impf"," She is having a golden-haired male baby we will call Baby A."," Narodí se jí zlatovlasý chlapeček, kterému budeme říkat dítě A."
"call","call","říkat","říkat","impf"," She is having a golden-haired male baby we will call Baby B."," Narodí se jí zlatovlasý chlapeček, kterému budeme říkat dítě B."
"went","go","chodila","chodit","impf"," She went to Sabbat School as a child and won black stars for handwriting and liver."," Odmalička chodila do Sabattové školy a dostávala černé hvězdičky ze psaní a mravů."
"persisted","persist","trvali","trvat","impf"," The lounge contained a huge television, a white leather sofa, a video and a laserdisc player, an ansaphone, two telephones - the ansaphone line, and the private line ( a number so far undiscovered by the legions of telephone salesmen who persisted in trying to sell Crowley double glazing, which he already had, or life insurance, which he didn ’ t need ) - and a square matt black sound system, the kind so exquisitely engineered that it just has the on-off switch and the volume control."," V hale byla obrovská televize, bílá, kůží potažená sedačka, video, telefonní záznamník a další dva telefonní přístroje, z nichž jeden byl veřejný a druhý tajný ( tajná linka byla tak tajná, že ji zatím neobjevila ani armáda telefonních prodejců, kteří trvali na tom, že musí Crowleymu prodat vakuová plastová okna, která on už dávno měl, nebo životní pojistku, kterou naopak nepotřeboval ) a matové černá stereověž obsahující všechno včetně přehrávače kompaktních disků."
"sell","sell","prodat","prodat","pf"," The lounge contained a huge television, a white leather sofa, a video and a laserdisc player, an ansaphone, two telephones - the ansaphone line, and the private line ( a number so far undiscovered by the legions of telephone salesmen who persisted in trying to sell Crowley double glazing, which he already had, or life insurance, which he didn ’ t need ) - and a square matt black sound system, the kind so exquisitely engineered that it just has the on-off switch and the volume control."," V hale byla obrovská televize, bílá, kůží potažená sedačka, video, telefonní záznamník a další dva telefonní přístroje, z nichž jeden byl veřejný a druhý tajný ( tajná linka byla tak tajná, že ji zatím neobjevila ani armáda telefonních prodejců, kteří trvali na tom, že musí Crowleymu prodat vakuová plastová okna, která on už dávno měl, nebo životní pojistku, kterou naopak nepotřeboval ) a matové černá stereověž obsahující všechno včetně přehrávače kompaktních disků."
"contained","contain","měl","mít","impf"," The lounge contained a huge television, a white leather sofa, a video and a laserdisc player, an ansaphone, two telephones - the ansaphone line, and the private line ( a number so far undiscovered by the legions of telephone salesmen who persisted in trying to sell Crowley double glazing, which he already had, or life insurance, which he didn ’ t need ) - and a square matt black sound system, the kind so exquisitely engineered that it just has the on-off switch and the volume control."," V hale byla obrovská televize, bílá, kůží potažená sedačka, video, telefonní záznamník a další dva telefonní přístroje, z nichž jeden byl veřejný a druhý tajný ( tajná linka byla tak tajná, že ji zatím neobjevila ani armáda telefonních prodejců, kteří trvali na tom, že musí Crowleymu prodat vakuová plastová okna, která on už dávno měl, nebo životní pojistku, kterou naopak nepotřeboval ) a matové černá stereověž obsahující všechno včetně přehrávače kompaktních disků."
"want","want","nechceš","chtít","impf"," An ’ never have to wear any new clothes or have a bath if you don ’ t want to or anything."," A nikdy si nebudeš muset oblíct nový šaty a nebudeš se muset koupat, když nechceš, a nic takovýho."
"go","go","chodit","chodit","impf"," Or go to school or anything."," Nebo chodit do školy a tak."
"do","do","dělat","dělat","impf"," Or do anything you don ’ t want to do, ever again."," A nebudeme muset dělat nic, co nechceme, to vám opakuju."
"do","do","dělat","dělat","impf"," Or do anything you don ’ t want to do, ever again."," A nebudeme muset dělat nic, co nechceme, to vám opakuju."
"want","want","nechceme","chtít","impf"," Or do anything you don ’ t want to do, ever again."," A nebudeme muset dělat nic, co nechceme, to vám opakuju."
"sat","sit","seděl","sedět","impf"," Johnny Two Bones sat in the red basin of the desert."," Šaman Johnny Dvěkosti seděl v rudé propadlině australské pouště."
"opened","open","Otevřel","otevřít","pf"," His eyes opened."," Otevřel oči."
"done","do","vzali","vzít","pf"," He ’ d done that with Maud, his missus, before they were married."," On sám to s Maud, tedy se svou ženou, dělával, než se vzali."
"feeling","feel","cítil","cítit","impf"," ‘ But it nearly worked, ’ snapped Crowley, feeling he should stick up for the old firm."," "" Ale skoro to klaplo, "" utrhl se na něj Crowley, který cítil, že by měl hájit barvy staré firmy."
"see","see","Pochop","pochopit","pf"," ‘ You see, evil always contains the seeds of its own destruction, ’ said the angel."," "" Pochop, zlo v sobě vždycky nese zárodek vlastní zkázy, "" řekl anděl."
"said","say","řekl","říci","pf"," ‘ You see, evil always contains the seeds of its own destruction, ’ said the angel."," "" Pochop, zlo v sobě vždycky nese zárodek vlastní zkázy, "" řekl anděl."
"encompasses","encompass","zahrnuje","zahrnovat","impf"," ‘ It is ultimately negative, and therefore encompasses its downfall even at its moments of apparent triumph."," "" Je nekonečně zlé, a tudíž zahrnuje i svůj pád a sebezničení, a to i v okamžicích zdánlivého triumfu."
"asked","ask","zeptal","zeptat","pf"," ‘ Are you the owner of this establishment? ’ asked the fireman."," "" Vy jste majitelem toho obchodu? "" zeptal se hasič."
"understand","understand","rozumět","rozumět","impf"," WHAT ARE THOSE GLITTERY THINGS? he said, in the tones of one who knows he won ’ t be able to understand the answer but wants to be seen to be taking an interest."," CO JSOU TYHLE SVÍTÍCÍ VĚCI? zeptal se tónem člověka, který ví, že odpovědi nebude rozumět, ale chce, aby se vědělo, že se o věc zajímá."
"seen","see","rozumět","rozumět","impf"," WHAT ARE THOSE GLITTERY THINGS? he said, in the tones of one who knows he won ’ t be able to understand the answer but wants to be seen to be taking an interest."," CO JSOU TYHLE SVÍTÍCÍ VĚCI? zeptal se tónem člověka, který ví, že odpovědi nebude rozumět, ale chce, aby se vědělo, že se o věc zajímá."
"wants","want","chce","chtít","impf"," WHAT ARE THOSE GLITTERY THINGS? he said, in the tones of one who knows he won ’ t be able to understand the answer but wants to be seen to be taking an interest."," CO JSOU TYHLE SVÍTÍCÍ VĚCI? zeptal se tónem člověka, který ví, že odpovědi nebude rozumět, ale chce, aby se vědělo, že se o věc zajímá."
"said","say","odpověděl","odpovědět","pf"," ‘ Seven-segment LED displays, ’ said the boy."," "" Sedmidílné LED displeje, "" odpověděl mu Znečištění."
"dance","dance","tančíš","tančit","impf"," ‘ You click them together when you dance, ’ said Wensleydale, a shade defensively."," "" S tím se chřestí, když tančíš, "" vysvětloval Wensleydale trošku v defenzívě."
"brought","bring","dovezla","dovézt","pf"," ‘ My aunt brought them back from Spain years ago."," "" Moje teta si je před několika lety dovezla ze Španělska."
"think","think","Myslím","myslet","impf"," They ’ re called maracas, I think."," Myslím, že se jim říká rumba koule, ale ve slovníku jsem našel, že jsou to chřestítka."
