"broke","break","zlomil","zlomit","pf"," The boy in the house threw a stone at me and broke it. """," Chlapec z domu hodil po mně kamenem a zlomil mi je! """
"says","say","praví","pravit","pf"," It is a very soothing lullaby, and the first verse says :"," Je to lahodná ukolébavka a první její verše praví :"
"brought","bring","přivedl","přivést","pf"," Still, the instant 's delay brought Rikki-tikki up to her, and as she plunged into the rat-hole where she and Nag used to live, his little white teeth were clenched on her tail, and he went down with her - and very few mongooses, however wise and old they may be, care to follow a cobra into its hole."," Přece však tento okamžik zdržení přivedl Riki - Tikiho až k ní, a když se nořila do krycí díry, kde žívala s Nagem, byly Rikiho bílé zuby zaťaty do jejího ocasu a Riki - Tiki zmizel v jámě za ní - a věru jest málo mungů, byť byli sebe zkušenější a sebe starší, aby stáli o to, vejíti za hadem do díry."
"Remember","remember","Pamatuj","pamatovat","impf"," "" Remember, though, that Keddahs are not good for children to play in, "" Petersen Sahib went on."," "" Pamatuj si však, že "" keddy "" nejsou vhodným místem pro dětské hry, "" pokračoval Sahib Petersen."
"went","go","pokračoval","pokračovat","impf"," "" Remember, though, that Keddahs are not good for children to play in, "" Petersen Sahib went on."," "" Pamatuj si však, že "" keddy "" nejsou vhodným místem pro dětské hry, "" pokračoval Sahib Petersen."
"go","go","jíti","jít","impf"," "" Must I never go there, Sahib? "" asked Little Toomai, with a big gasp."," "" Nesmím tam víckrát jíti, Sahibe? "" ptal se malý Tumé s velkým vzdechem."
"asked","ask","ptal","ptát","impf"," "" Must I never go there, Sahib? "" asked Little Toomai, with a big gasp."," "" Nesmím tam víckrát jíti, Sahibe? "" ptal se malý Tumé s velkým vzdechem."
"smiled","smile","usmál","usmát","pf"," "" Yes, "" Petersen Sahib smiled again."," "" Ó, ano, "" usmál se opět Sahib Petersen."
"seen","see","uvidíš","uvidět","pf"," "" When thou hast seen the elephants dance."," "" Až uvidíš slony tančit."
"Come","come","Přijď","přijít","pf"," Come to me when thou hast seen the elephants dance, and then I will let thee go into all the Keddahs. """," Přijď ke mně, až uvidíš sloní tanec a pak ti dovolím jíti do všech kedd. """
"seen","see","Přijď","přijít","pf"," Come to me when thou hast seen the elephants dance, and then I will let thee go into all the Keddahs. """," Přijď ke mně, až uvidíš sloní tanec a pak ti dovolím jíti do všech kedd. """
"seen","see","uvidíš","uvidět","pf"," Come to me when thou hast seen the elephants dance, and then I will let thee go into all the Keddahs. """," Přijď ke mně, až uvidíš sloní tanec a pak ti dovolím jíti do všech kedd. """
"let","let","dovolím","dovolit","pf"," Come to me when thou hast seen the elephants dance, and then I will let thee go into all the Keddahs. """," Přijď ke mně, až uvidíš sloní tanec a pak ti dovolím jíti do všech kedd. """
"Come","come","jíti","jít","impf"," Come to me when thou hast seen the elephants dance, and then I will let thee go into all the Keddahs. """," Přijď ke mně, až uvidíš sloní tanec a pak ti dovolím jíti do všech kedd. """
"go","go","jíti","jít","impf"," Come to me when thou hast seen the elephants dance, and then I will let thee go into all the Keddahs. """," Přijď ke mně, až uvidíš sloní tanec a pak ti dovolím jíti do všech kedd. """
"came","come","přišlo","přijít","pf"," Little Toomai came in with a joyous tunk-a-tunk at the end of each verse, till he felt sleepy and stretched himself on the fodder at Kala Nag 's side."," Mladý Tumé vpadl v konec každého verše radostným bum a bum! až konečně na něj přišlo spaní a natáhl se na kupu vedle Kala Naga."
"stretched","stretch","natáhl","natáhnout","pf"," Little Toomai came in with a joyous tunk-a-tunk at the end of each verse, till he felt sleepy and stretched himself on the fodder at Kala Nag 's side."," Mladý Tumé vpadl v konec každého verše radostným bum a bum! až konečně na něj přišlo spaní a natáhl se na kupu vedle Kala Naga."
"began","begin","začali","začít","pf"," At last the elephants began to lie down one after another as is their custom, till only Kala Nag at the right of the line was left standing up;"," Konečně začali si sloni uléhat jeden po druhém, jak mají ve zvyku, až jediný Kala Nag stál vzpřímen v řadě."
"standing","stand","mají","mít","impf"," At last the elephants began to lie down one after another as is their custom, till only Kala Nag at the right of the line was left standing up;"," Konečně začali si sloni uléhat jeden po druhém, jak mají ve zvyku, až jediný Kala Nag stál vzpřímen v řadě."
"rocked","rock","Houpal","houpat","impf"," and he rocked slowly from side to side, his ears put forward to listen to the night wind as it blew very slowly across the hills."," Houpal se zvolna se strany na stranu, maje uši nataženy, aby naslouchal nočnímu vánku, vějícímu velmi zvolna od hor."
"listen","listen","naslouchal","naslouchat","impf"," and he rocked slowly from side to side, his ears put forward to listen to the night wind as it blew very slowly across the hills."," Houpal se zvolna se strany na stranu, maje uši nataženy, aby naslouchal nočnímu vánku, vějícímu velmi zvolna od hor."
"escaped","escape","ušel","ujít","pf"," He met with more adventures than can be told, and narrowly escaped being caught by the Basking Shark, and the Spotted Shark, and the Hammerhead, and he met all the untrustworthy ruffians that loaf up and down the high seas, and the heavy polite fish, and the scarlet-spotted scallops that are moored in one place for hundreds of years, and grow very proud of it;"," Měl cestou více dobrodružství, než možno vypověděti, a jen taktak že ušel zubům žraloka obrovského a žraloka skvrnitého a kladivouna a setkal se se všemi zákeřnými ničemy, kteří se toulají mořem, s těžkými uhlazenými rybami i s šarlatově skvrnitými hřebenatými lasturnatci, kteří se zakotví na sta let na jediném místě a jsou na to nesmírně hrdi;"
"met","meet","setkal","setkat","pf"," He met with more adventures than can be told, and narrowly escaped being caught by the Basking Shark, and the Spotted Shark, and the Hammerhead, and he met all the untrustworthy ruffians that loaf up and down the high seas, and the heavy polite fish, and the scarlet-spotted scallops that are moored in one place for hundreds of years, and grow very proud of it;"," Měl cestou více dobrodružství, než možno vypověděti, a jen taktak že ušel zubům žraloka obrovského a žraloka skvrnitého a kladivouna a setkal se se všemi zákeřnými ničemy, kteří se toulají mořem, s těžkými uhlazenými rybami i s šarlatově skvrnitými hřebenatými lasturnatci, kteří se zakotví na sta let na jediném místě a jsou na to nesmírně hrdi;"
"met","meet","setkal","setkat","pf"," He met with more adventures than can be told, and narrowly escaped being caught by the Basking Shark, and the Spotted Shark, and the Hammerhead, and he met all the untrustworthy ruffians that loaf up and down the high seas, and the heavy polite fish, and the scarlet-spotted scallops that are moored in one place for hundreds of years, and grow very proud of it;"," Měl cestou více dobrodružství, než možno vypověděti, a jen taktak že ušel zubům žraloka obrovského a žraloka skvrnitého a kladivouna a setkal se se všemi zákeřnými ničemy, kteří se toulají mořem, s těžkými uhlazenými rybami i s šarlatově skvrnitými hřebenatými lasturnatci, kteří se zakotví na sta let na jediném místě a jsou na to nesmírně hrdi;"
"moored","moor","zakotví","zakotvit","pf"," He met with more adventures than can be told, and narrowly escaped being caught by the Basking Shark, and the Spotted Shark, and the Hammerhead, and he met all the untrustworthy ruffians that loaf up and down the high seas, and the heavy polite fish, and the scarlet-spotted scallops that are moored in one place for hundreds of years, and grow very proud of it;"," Měl cestou více dobrodružství, než možno vypověděti, a jen taktak že ušel zubům žraloka obrovského a žraloka skvrnitého a kladivouna a setkal se se všemi zákeřnými ničemy, kteří se toulají mořem, s těžkými uhlazenými rybami i s šarlatově skvrnitými hřebenatými lasturnatci, kteří se zakotví na sta let na jediném místě a jsou na to nesmírně hrdi;"
"met","meet","nesetkal","setkat","pf"," but he never met Sea Cow, and he never found an island that he could fancy."," ale nikdy se nesetkal s Mořskou Krávou a nikde nenašel ostrova, který by mu vyhovoval."
"found","find","nenašel","najít","pf"," but he never met Sea Cow, and he never found an island that he could fancy."," ale nikdy se nesetkal s Mořskou Krávou a nikde nenašel ostrova, který by mu vyhovoval."
"met","meet","vyhovoval","vyhovovat","impf"," but he never met Sea Cow, and he never found an island that he could fancy."," ale nikdy se nesetkal s Mořskou Krávou a nikde nenašel ostrova, který by mu vyhovoval."
"began","begin","počali","počít","pf"," Two hours later, as Petersen Sahib was eating early breakfast, his elephants, who had been double-chained that night, began to trumpet, and Pudmini, mired to the shoulders, with Kala Nag, very foot-sore, shambled into the camp."," Dvě hodiny po té, když Sahib Petersen pojídal svou časnou snídaní, sloni, kteří byli této noci uvázáni na dvojitých řetězech, počali troubit, a Pudmini, zamazaná až po plece a Kala Nag, s velmi odřenýma nohama, vbelhali se do tábora."
"tried","try","pokusil","pokusit","pf"," but he tried to salute Petersen Sahib, and cried faintly :"," ale přece se pokusil pozdraviti Sahiba Petersena a zvolal matně :"
"cried","cry","zvolal","zvolat","pf"," but he tried to salute Petersen Sahib, and cried faintly :"," ale přece se pokusil pozdraviti Sahiba Petersena a zvolal matně :"
"seen","see","Viděl","vidět","impf"," I have seen it, and - I die! """," Viděl jsem ho a - umírám! """
"die","die","umírám","umírat","impf"," I have seen it, and - I die! """," Viděl jsem ho a - umírám! """
"needed","need","potřeboval","potřebovat","impf"," This time he went westward, because he had fallen on the trail of a great shoal of halibut, and he needed at least one hundred pounds of fish a day to keep him in good condition."," Tentokráte ploval na západ, jelikož přišel na stopu velikému hejnu plotic, a potřeboval alespoň sto liber ryb denně, aby se udržel při síle."
"keep","keep","udržel","udržet","pf"," This time he went westward, because he had fallen on the trail of a great shoal of halibut, and he needed at least one hundred pounds of fish a day to keep him in good condition."," Tentokráte ploval na západ, jelikož přišel na stopu velikému hejnu plotic, a potřeboval alespoň sto liber ryb denně, aby se udržel při síle."
"chased","chase","Honil","honit","impf"," He chased them till he was tired, and then he curled himself up and went to sleep on the hollows of the ground-swell that sets in to Copper island."," Honil je, až se unavil, a pak se stočil a usnul ve brázdách vln hlubokého příboje, bijícího o Měděný Ostrov."
"sleep","sleep","usnul","usnout","pf"," He chased them till he was tired, and then he curled himself up and went to sleep on the hollows of the ground-swell that sets in to Copper island."," Honil je, až se unavil, a pak se stočil a usnul ve brázdách vln hlubokého příboje, bijícího o Měděný Ostrov."
"felt","feel","cítil","cítit","impf"," He knew the coast perfectly well, so about midnight, when he felt himself gently bumped on a weed bed, he said :"," Znal pobřeží dokonale, a proto, když kolem půlnoci cítil, že je lehce vržen na ložisko mořských trav a chaluh, řekl si :"
"said","say","řekl","říci","pf"," He knew the coast perfectly well, so about midnight, when he felt himself gently bumped on a weed bed, he said :"," Znal pobřeží dokonale, a proto, když kolem půlnoci cítil, že je lehce vržen na ložisko mořských trav a chaluh, řekl si :"
"sit","sit","Sedím","sedět","impf"," I sit still and wait. """," Sedím tiše a čekám. """
"wait","wait","čekám","čekat","impf"," I sit still and wait. """," Sedím tiše a čekám. """
"sitting","sit","sedl","sednout","pf"," Before I 'd lie down, not to speak of sitting down, and let a man fire across me, my heels and his head would have something to say to each other."," Nežli bych si lehl, neřku - li abych si sedl, a nechal někoho přes sebe střílet, měla by moje kopyta nějaké sdělení pro jeho hlavu."
"let","let","nechal","nechat","pf"," Before I 'd lie down, not to speak of sitting down, and let a man fire across me, my heels and his head would have something to say to each other."," Nežli bych si lehl, neřku - li abych si sedl, a nechal někoho přes sebe střílet, měla by moje kopyta nějaké sdělení pro jeho hlavu."
"hear","hear","Slyšeli","slyšet","impf"," Did you ever hear anything so awful as that? """," Slyšeli jste již někdy někdo o něčem tak hrozném? """
"go","go","Jdeme","jít","impf"," We go across the level plain, twenty yoke of us, till we are unyoked again, and we graze while the big guns talk across the plain to some town with mud walls, and pieces of the wall fall out, and the dust goes up as though many cattle were coming home. """," Jdeme přes rovnou planinu, dvacet párů za sebou, až nás opět odpřáhnou a my se paseme, zatím co těžká děla hovoří přes rovinu k nějakému městu s hliněnými valy, a kusy hradby opadávají a prach se zdvihá, jako by to šla domů spousta dobytka. """
"goes","go","Jdeme","jít","impf"," We go across the level plain, twenty yoke of us, till we are unyoked again, and we graze while the big guns talk across the plain to some town with mud walls, and pieces of the wall fall out, and the dust goes up as though many cattle were coming home. """," Jdeme přes rovnou planinu, dvacet párů za sebou, až nás opět odpřáhnou a my se paseme, zatím co těžká děla hovoří přes rovinu k nějakému městu s hliněnými valy, a kusy hradby opadávají a prach se zdvihá, jako by to šla domů spousta dobytka. """
"coming","come","Jdeme","jít","impf"," We go across the level plain, twenty yoke of us, till we are unyoked again, and we graze while the big guns talk across the plain to some town with mud walls, and pieces of the wall fall out, and the dust goes up as though many cattle were coming home. """," Jdeme přes rovnou planinu, dvacet párů za sebou, až nás opět odpřáhnou a my se paseme, zatím co těžká děla hovoří přes rovinu k nějakému městu s hliněnými valy, a kusy hradby opadávají a prach se zdvihá, jako by to šla domů spousta dobytka. """
"talk","talk","hovoří","hovořit","impf"," We go across the level plain, twenty yoke of us, till we are unyoked again, and we graze while the big guns talk across the plain to some town with mud walls, and pieces of the wall fall out, and the dust goes up as though many cattle were coming home. """," Jdeme přes rovnou planinu, dvacet párů za sebou, až nás opět odpřáhnou a my se paseme, zatím co těžká děla hovoří přes rovinu k nějakému městu s hliněnými valy, a kusy hradby opadávají a prach se zdvihá, jako by to šla domů spousta dobytka. """
"go","go","šla","jít","impf"," We go across the level plain, twenty yoke of us, till we are unyoked again, and we graze while the big guns talk across the plain to some town with mud walls, and pieces of the wall fall out, and the dust goes up as though many cattle were coming home. """," Jdeme přes rovnou planinu, dvacet párů za sebou, až nás opět odpřáhnou a my se paseme, zatím co těžká děla hovoří přes rovinu k nějakému městu s hliněnými valy, a kusy hradby opadávají a prach se zdvihá, jako by to šla domů spousta dobytka. """
"goes","go","šla","jít","impf"," We go across the level plain, twenty yoke of us, till we are unyoked again, and we graze while the big guns talk across the plain to some town with mud walls, and pieces of the wall fall out, and the dust goes up as though many cattle were coming home. """," Jdeme přes rovnou planinu, dvacet párů za sebou, až nás opět odpřáhnou a my se paseme, zatím co těžká děla hovoří přes rovinu k nějakému městu s hliněnými valy, a kusy hradby opadávají a prach se zdvihá, jako by to šla domů spousta dobytka. """
"coming","come","šla","jít","impf"," We go across the level plain, twenty yoke of us, till we are unyoked again, and we graze while the big guns talk across the plain to some town with mud walls, and pieces of the wall fall out, and the dust goes up as though many cattle were coming home. """," Jdeme přes rovnou planinu, dvacet párů za sebou, až nás opět odpřáhnou a my se paseme, zatím co těžká děla hovoří přes rovinu k nějakému městu s hliněnými valy, a kusy hradby opadávají a prach se zdvihá, jako by to šla domů spousta dobytka. """
"Eating","eat","Jísti","jíst","impf"," Eating is always good."," Jísti je vždy dobré."
"watch","watch","dívej","dívat","impf"," Then you stand still and keep quiet, - never ask a man to hold your head, young ' un, - keep quiet while the guns are being put together, and then you watch the little poppy shells drop down into the tree-tops ever so far below. """," A pak stůjte tiše a nehýbejte se mladíčku, - nehýbej se, když sešroubovávají děla a dívej se pak na malé granáty, jak padají jako hračky daleko kamsi do stromových vršků. """
"drop","drop","padají","padat","impf"," Then you stand still and keep quiet, - never ask a man to hold your head, young ' un, - keep quiet while the guns are being put together, and then you watch the little poppy shells drop down into the tree-tops ever so far below. """," A pak stůjte tiše a nehýbejte se mladíčku, - nehýbej se, když sešroubovávají děla a dívej se pak na malé granáty, jak padají jako hračky daleko kamsi do stromových vršků. """
"say","say","Říká","říkat","impf"," "" They say that when a mule trips you can split a hen 's ear, "" said Billy."," "" Říká se, že kdo uvidí mezka sklouznouti, dovede slepici štípnouti do ucha, "" odpověděl Billy."
"said","say","Říká","říkat","impf"," "" They say that when a mule trips you can split a hen 's ear, "" said Billy."," "" Říká se, že kdo uvidí mezka sklouznouti, dovede slepici štípnouti do ucha, "" odpověděl Billy."
"say","say","odpověděl","odpovědět","pf"," "" They say that when a mule trips you can split a hen 's ear, "" said Billy."," "" Říká se, že kdo uvidí mezka sklouznouti, dovede slepici štípnouti do ucha, "" odpověděl Billy."
"said","say","odpověděl","odpovědět","pf"," "" They say that when a mule trips you can split a hen 's ear, "" said Billy."," "" Říká se, že kdo uvidí mezka sklouznouti, dovede slepici štípnouti do ucha, "" odpověděl Billy."
"came","come","došel","dojít","pf"," When Rikki got to the house, Teddy and Teddy 's mother ( she looked very white still, for she had been fainting ) and Teddy 's father came out and almost cried over him;"," Když došel Riki - Tiki k domu, vyšli ven Teddy, Teddyho otec a Teddyho matka - byla ještě velmi bledá, neboť omdlela - a skoro nad ním plakali;"
"cried","cry","plakali","plakat","impf"," When Rikki got to the house, Teddy and Teddy 's mother ( she looked very white still, for she had been fainting ) and Teddy 's father came out and almost cried over him;"," Když došel Riki - Tiki k domu, vyšli ven Teddy, Teddyho otec a Teddyho matka - byla ještě velmi bledá, neboť omdlela - a skoro nad ním plakali;"
"ate","eat","jedl","jíst","impf"," and that night he ate all that was given him till he could eat no more, and went to bed on Teddy 's shoulder, where Teddy 's mother saw him when she came to look late at night."," a té noci jedl Riki - Tiki vše, co mu dali, až už více nemohl a šel spat na Teddyho rameni, na němž seděl ještě, když přišla pozdě v noci Teddyho matka podívat se na ně."
"eat","eat","jedl","jíst","impf"," and that night he ate all that was given him till he could eat no more, and went to bed on Teddy 's shoulder, where Teddy 's mother saw him when she came to look late at night."," a té noci jedl Riki - Tiki vše, co mu dali, až už více nemohl a šel spat na Teddyho rameni, na němž seděl ještě, když přišla pozdě v noci Teddyho matka podívat se na ně."
"given","give","dali","dát","pf"," and that night he ate all that was given him till he could eat no more, and went to bed on Teddy 's shoulder, where Teddy 's mother saw him when she came to look late at night."," a té noci jedl Riki - Tiki vše, co mu dali, až už více nemohl a šel spat na Teddyho rameni, na němž seděl ještě, když přišla pozdě v noci Teddyho matka podívat se na ně."
"went","go","šel","jít","impf"," and that night he ate all that was given him till he could eat no more, and went to bed on Teddy 's shoulder, where Teddy 's mother saw him when she came to look late at night."," a té noci jedl Riki - Tiki vše, co mu dali, až už více nemohl a šel spat na Teddyho rameni, na němž seděl ještě, když přišla pozdě v noci Teddyho matka podívat se na ně."
"came","come","šel","jít","impf"," and that night he ate all that was given him till he could eat no more, and went to bed on Teddy 's shoulder, where Teddy 's mother saw him when she came to look late at night."," a té noci jedl Riki - Tiki vše, co mu dali, až už více nemohl a šel spat na Teddyho rameni, na němž seděl ještě, když přišla pozdě v noci Teddyho matka podívat se na ně."
"saw","see","přišla","přijít","pf"," and that night he ate all that was given him till he could eat no more, and went to bed on Teddy 's shoulder, where Teddy 's mother saw him when she came to look late at night."," a té noci jedl Riki - Tiki vše, co mu dali, až už více nemohl a šel spat na Teddyho rameni, na němž seděl ještě, když přišla pozdě v noci Teddyho matka podívat se na ně."
"came","come","přišla","přijít","pf"," and that night he ate all that was given him till he could eat no more, and went to bed on Teddy 's shoulder, where Teddy 's mother saw him when she came to look late at night."," a té noci jedl Riki - Tiki vše, co mu dali, až už více nemohl a šel spat na Teddyho rameni, na němž seděl ještě, když přišla pozdě v noci Teddyho matka podívat se na ně."
"saw","see","podívat","podívat","pf"," and that night he ate all that was given him till he could eat no more, and went to bed on Teddy 's shoulder, where Teddy 's mother saw him when she came to look late at night."," a té noci jedl Riki - Tiki vše, co mu dali, až už více nemohl a šel spat na Teddyho rameni, na němž seděl ještě, když přišla pozdě v noci Teddyho matka podívat se na ně."
"look","look","podívat","podívat","pf"," and that night he ate all that was given him till he could eat no more, and went to bed on Teddy 's shoulder, where Teddy 's mother saw him when she came to look late at night."," a té noci jedl Riki - Tiki vše, co mu dali, až už více nemohl a šel spat na Teddyho rameni, na němž seděl ještě, když přišla pozdě v noci Teddyho matka podívat se na ně."
"saved","save","Zachránil","zachránit","pf"," "" He saved our lives and Teddy 's life, "" she said to her husband."," "" Zachránil život nám i Teddymu, "" řekla svému manželu;"
"said","say","řekla","říci","pf"," "" He saved our lives and Teddy 's life, "" she said to her husband."," "" Zachránil život nám i Teddymu, "" řekla svému manželu;"
"need","need","potřebují","potřebovat","impf"," Of course it was not all done at once, for the seals need a long time to turn things over in their minds, but year by year more seals went away from Novastoshnah, and Lukannon, and the other nurseries, to the quiet, sheltered beaches where Kotick sits all the summer through, getting bigger and fatter and stronger each year, while the holluschickie play round him, in that sea where no man comes."," Nestalo se to ovšem najednou, neboť lachtani potřebují dlouhou dobu, než si věc promyslí, ale rok po roce odcházelo vždy více lachtanův z Novastošny, Lukannonu a ostatních hnízdišť, ke klidnému, chráněnému pobřeží, kde prodlévá Kotík po celé léto, každým rokem větší, tlustší a silnější, a "" holušíkové "" hrají si kolem něho v moři, kam nikdy člověk nepronikne."
"went","go","odcházelo","odcházet","impf"," Of course it was not all done at once, for the seals need a long time to turn things over in their minds, but year by year more seals went away from Novastoshnah, and Lukannon, and the other nurseries, to the quiet, sheltered beaches where Kotick sits all the summer through, getting bigger and fatter and stronger each year, while the holluschickie play round him, in that sea where no man comes."," Nestalo se to ovšem najednou, neboť lachtani potřebují dlouhou dobu, než si věc promyslí, ale rok po roce odcházelo vždy více lachtanův z Novastošny, Lukannonu a ostatních hnízdišť, ke klidnému, chráněnému pobřeží, kde prodlévá Kotík po celé léto, každým rokem větší, tlustší a silnější, a "" holušíkové "" hrají si kolem něho v moři, kam nikdy člověk nepronikne."
"running","run","procházel","procházet","impf"," There was a splash and a trample, and the rush of running water, and Kala Nag strode through the bed of a river feeling his way at each step."," Uslyšel šplýchnutí a dupot a hukot tekoucí vody a Kala Nag procházel řečištěm, ohledávaje půdu při každém kroku."
"hear","hear","slyšel","slyšet","impf"," Above the noise of the water, as it swirled round the elephant 's legs, Little Toomai could hear more splashing and some trumpeting both up-stream and down - great grunts and angry snortings, and all the mist about him seemed to be full of rolling wavy shadows."," Přes hluk řeky vířící slonu kolem nohou slyšel malý Tumé i jiné šplýchání, ano i vytrubováni vzhůru i dolů po proudu, hlasné chrochtání a hněvivý brukot, a všechna mlha kolem něho jako by byla plna valících se a kolébajících stínů."
"said","say","řekl","říci","pf"," "" Ai! "" he said, half aloud, his teeth chattering."," "" Aj! "" řekl si polohlasně s jektajícími zuby."
"Try","try","Zkus","zkusit","pf"," "" Try once more."," "" Zkus to ještě jednou."
"killed","kill","vraždili","vraždit","impf"," I am the last of the Lost Rookery of Masafuera, and in the days when men killed us by the hundred thousand there was a story on the beaches that some day a white seal would come out of the north and lead the seal people to a quiet place."," Jsem posledním z bývalého hnízdiště Masafuerského, a v dobách, kdy nás lidé vraždili po statisících, byla na pobřežích pověst, že jednou přijde od severu bílý lachtan a dovede lachtaní národ na klidné místo."
"come","come","přijde","přijít","pf"," I am the last of the Lost Rookery of Masafuera, and in the days when men killed us by the hundred thousand there was a story on the beaches that some day a white seal would come out of the north and lead the seal people to a quiet place."," Jsem posledním z bývalého hnízdiště Masafuerského, a v dobách, kdy nás lidé vraždili po statisících, byla na pobřežích pověst, že jednou přijde od severu bílý lachtan a dovede lachtaní národ na klidné místo."
"Try","try","Zkus","zkusit","pf"," Try once more. """," Zkus to ještě jednou. """
"said","say","řekl","říci","pf"," And Kotick curled up his mustache ( it was a beauty ), and said :"," Kotík zježil svůj knír - a byl to velmi krásný knírek! - a řekl :"
"do","do","učinila","učinit","pf"," Darzee 's wife knew better than to do that, for a bird who looks at a snake 's eyes gets so frightened that she cannot move."," Ale Darzyho samička byla příliš moudrá, než aby to učinila, neboť pták, jenž pohlédne hadovi v oko, zděsí se tak, že se nemůže hnouti."
"looks","look","pohlédne","pohlédnout","pf"," Darzee 's wife knew better than to do that, for a bird who looks at a snake 's eyes gets so frightened that she cannot move."," Ale Darzyho samička byla příliš moudrá, než aby to učinila, neboť pták, jenž pohlédne hadovi v oko, zděsí se tak, že se nemůže hnouti."
"move","move","hnouti","hnout","pf"," Darzee 's wife knew better than to do that, for a bird who looks at a snake 's eyes gets so frightened that she cannot move."," Ale Darzyho samička byla příliš moudrá, než aby to učinila, neboť pták, jenž pohlédne hadovi v oko, zděsí se tak, že se nemůže hnouti."
"leaving","leave","neopouštěje","opouštět","impf"," Darzee 's wife fluttered on, piping sorrowfully, and never leaving the ground, and Nagaina quickened her pace."," A tak ptáček se odtřepal dále, pípaje úzkostně, ale neopouštěje zemi, a Nagaina zrychlila běh."
"quickened","quicken","zrychlila","zrychlit","pf"," Darzee 's wife fluttered on, piping sorrowfully, and never leaving the ground, and Nagaina quickened her pace."," A tak ptáček se odtřepal dále, pípaje úzkostně, ale neopouštěje zemi, a Nagaina zrychlila běh."
"heard","hear","slyšel","slyšet","impf"," Rikki-tikki heard them going up the path from the stables, and he raced for the end of the melon-patch near the wall."," Riki - Tiki je slyšel běžeti po cestě od stájí a upaloval vší silou ke konci melounového záhonu u zdi."
"wondering","wonder","přemýšlel","přemýšlet","impf"," Nag was asleep, and Rikki-tikki looked at his big back, wondering which would be the best place for a good hold."," Nag spal a Riki - Tiki pohlížeje na velký jeho týl, přemýšlel, do kterého místa by se mohl nejpevněji zakousnouti."
"talk","talk","Promluvme","promluvit","pf"," "" Let us talk, "" he said."," "" Promluvme si o tom, "" pravil."
"said","say","pravil","pravit","pf"," "" Let us talk, "" he said."," "" Promluvme si o tom, "" pravil."
"sang","sing","zazpíval","zazpívat","pf"," Look behind you! "" sang Darzee."," Ohlédni se za sebe! "" zazpíval Darzy."
"talking","talk","hovořil","hovořit","impf"," She had crept up behind him as he was talking, to make an end of him;"," Připlazila se za ním, dokud hovořil, aby jej usmrtila;"
"said","say","řekl","říci","pf"," "" Now you want to know too much, young ' un, "" said Billy, "" and that is one way of getting kicked."," "" To se ale ptáš trochu příliš mnoho, mladíčku, "" řekl Billy, "" a to je jeden ze způsobů, abys si utržil kopance."
"do","do","činiti","činit","impf"," All you have to do is to obey the man at your head and ask no questions. """," Vše, co ti jest činiti, jest, abys poslouchal muže u své hlavy a nekladl žádných otázek. """
"obey","obey","poslouchal","poslouchat","impf"," All you have to do is to obey the man at your head and ask no questions. """," Vše, co ti jest činiti, jest, abys poslouchal muže u své hlavy a nekladl žádných otázek. """
"said","say","řekl","říci","pf"," "" He 's quite right, "" said Two Tails."," "" Má pravdu, "" řekl Dvouohonáč."
"obey","obey","poslechnouti","poslechnout","pf"," "" I ca n't always obey, because I 'm betwixt and between;"," "" Já nemohu vždy poslechnouti, protože jsem uprostřed a mezi věcmi;"
"answer","answer","neodpovídaly","odpovídat","impf"," But the Sea Cow did not answer, because Sea Cow cannot talk."," Ale Mořské Krávy neodpovídaly, poněvadž Mořská Kráva vůbec neumí mluvit."
"talk","talk","mluvit","mluvit","impf"," But the Sea Cow did not answer, because Sea Cow cannot talk."," Ale Mořské Krávy neodpovídaly, poněvadž Mořská Kráva vůbec neumí mluvit."
"say","say","říká","říkat","impf"," He has only six bones in his neck where he ought to have seven, and they say under the sea that that prevents him from speaking even to his companions;"," Má v krku jen šest obratlů na místě řádných sedmi, a říká se v podmoří, že proto nemohou mluvit ani mezi sebou;"
"speaking","speak","říká","říkat","impf"," He has only six bones in his neck where he ought to have seven, and they say under the sea that that prevents him from speaking even to his companions;"," Má v krku jen šest obratlů na místě řádných sedmi, a říká se v podmoří, že proto nemohou mluvit ani mezi sebou;"
"say","say","mluvit","mluvit","impf"," He has only six bones in his neck where he ought to have seven, and they say under the sea that that prevents him from speaking even to his companions;"," Má v krku jen šest obratlů na místě řádných sedmi, a říká se v podmoří, že proto nemohou mluvit ani mezi sebou;"
"speaking","speak","mluvit","mluvit","impf"," He has only six bones in his neck where he ought to have seven, and they say under the sea that that prevents him from speaking even to his companions;"," Má v krku jen šest obratlů na místě řádných sedmi, a říká se v podmoří, že proto nemohou mluvit ani mezi sebou;"
"ran","run","tekl","téci","impf"," and between the islands and the mainland was a stretch of deep water that ran up to the perpendicular cliffs, and somewhere below the cliffs was the mouth of the tunnel."," Mezi ostrovy a pevninou tekl hluboký proud k výspám kolmo se sklánějícím, a někde pod nimi bylo ústí tunelu."
"said","say","pravil","pravit","pf"," "" It 's Novastoshnah over again, but ten times better, "" said Kotick."," "" Je to docela jako Novastošna, ale desetkrát lepší, "" pravil Kotík."
"thought","think","myslil","myslit","impf"," "" Sea Cow must be wiser than I thought."," "" Mořské Krávy jsou jistě moudřejší, než jsem si myslil."
"obey","obey","neposlechne","poslechnout","pf"," Kala Nag will obey none but me, so I must go with him into the Keddah, but he is only a fighting elephant, and he does not help to rope them."," Kala Nag neposlechne nikoho mimo mne, musím tedy jít s ním do "" keddy "" ale on je pouze bojovným slonem a nepomáhá při vázání divokých slonův."
