"give","give","dáš","dát","pf"," "" And you 're ready to give it to us? "" urged Loonquawl."," "" A ty nám ji dáš? "" loudil Lúnkvól."
"think","think","myslet","myslet","impf"," It seemed remote and unreal and she could find no thoughts to think about it."," Země byla tak vzdálená a tak neskutečná, že na ni prostě nedokázala myslet."
"asked","ask","zeptal","zeptat","pf"," "" Who by? "" asked Ford."," "" A kdo ji ukradl? "" zeptal se Ford."
"piled","pile","nakupilo","nakupit","pf"," At least five entirely separate and distinct expressions of shock and amazement piled up on it in a jumbled mess."," Nejmíň pět úplně odlišných samostatných výrazů šoků a úžasu se na něm nakupilo v naprostém chaosu."
"finding","find","našla","najít","pf"," His left leg, which was in mid stride, seemed to have difficulty in finding the floor again."," Jeho levá noha uvízla nakročená ve vzduchu a jen s obtížemi našla zase pevnou zem."
"Thank","thank","Děkuji","děkovat","impf"," Thank you sir. """," Děkuji vám, pane. """
"spend","spend","utratíte","utratit","pf"," "" You 've got ten minutes left to spend it. """," "" Sotva to utratíte, máte na to už jen deset minut. """
"decided","decide","rozhodl","rozhodnout","pf"," The barman simply decided to walk away for a bit."," Barman se rozhodl, že půjde jednoduše kousek dál."
"walk","walk","půjde","jít","impf"," The barman simply decided to walk away for a bit."," Barman se rozhodl, že půjde jednoduše kousek dál."
"said","say","řekl","říci","pf"," "" Ford, "" said Arthur, "" would you please tell me what the hell is going on? """," "" Forde, řekl bys mi laskavě, co se to ksakru děje? "" zlobil se Arthur."
"tell","tell","řekl","říci","pf"," "" Ford, "" said Arthur, "" would you please tell me what the hell is going on? """," "" Forde, řekl bys mi laskavě, co se to ksakru děje? "" zlobil se Arthur."
"grinned","grin","usmíval","usmívat","impf"," The man next to ford grinned and nodded happily."," Muž vedle Forda se usmíval a šťastně přikyvoval."
"sit","sit","sedni","sednout","pf"," Look why do n't you sit yourself down over there and let me plug you in? """," Jestli chceš, sedni si třeba tamhle, a já tě zapnu. """
"made","make","vyrobena","vyrobit","pf"," "" It was made out of the rib cage of a stegosaurus, "" explained the old man as he pottered about fishing bits of wire out from under tottering piles of paper and drawing instruments."," "" Je vyrobena z hrudního koše stegosaura, "" vysvětloval kmet, přičemž štrachal po místnosti a lovil cosi pod hrozivě vratkými hromadami papírů a rýsovacího náčiní."
"explained","explain","vysvětloval","vysvětlovat","impf"," "" It was made out of the rib cage of a stegosaurus, "" explained the old man as he pottered about fishing bits of wire out from under tottering piles of paper and drawing instruments."," "" Je vyrobena z hrudního koše stegosaura, "" vysvětloval kmet, přičemž štrachal po místnosti a lovil cosi pod hrozivě vratkými hromadami papírů a rýsovacího náčiní."
"laughed","laugh","zasmál","zasmát","pf"," The crowd laughed appreciatively, the newsmen gleefully punched buttons on their Sub-Etha News-Matics and the President grinned."," Dav se vděčně zasmál, novináři radostně bušili do knoflíků svých subéterových zpravodajomatiků a prezident se šklíbil."
"bear","bear","snést","snést","pf"," Finally he could bear it no more."," Nakonec to už nemohl déle snést."
"lifted","lift","Zvedl","zvednout","pf"," He lifted his heads up to the sky, let out a wild whoop in major thirds, threw the bomb to the ground and ran forward through the sea of suddenly frozen smiles."," Zvedl obě hlavy k nebesům, vydal divoký pokřik v durové tercii, mrštil bombou na zem a rozběhl se vpřed mořem náhle ztuhlých zářivých úsměvů."
"talking","talk","mluvíš","mluvit","impf"," "" What are you talking about? """," "" O čem to mluvíš? """
"recognize","recognize","poznat","poznat","pf"," "" And I was meant to recognize that from a blank screen? """," "" A to jsem měl poznat z prázdné obrazovky? """
"see","see","vidět","vidět","impf"," "" Inside a dark nebula is the only place in the Galaxy you 'd see a dark screen. """," "" Jediné místo v Galaxii, odkud můžeš vidět prázdnou obrazovku, je vnitřek temné mlhoviny. """
"laughed","laugh","zasmál","zasmát","pf"," Zaphod laughed."," Zafod se zasmál."
"excited","excite","vzrušen","vzrušit","pf"," He was clearly very excited about something, almost childishly so."," Zjevně byl čímsi až trochu dětinsky vzrušen."
"told","tell","řekl","říci","pf"," I think Yooden told me a lot of things that are still locked away. """," Juden mi nejspíš řekl spoustu věcí, jenže ty jsou zatím blokované. """
"think","think","myslíš","myslet","impf"," "" So you think you went and mucked about inside your own brain as a result of Yooden talking to you? """," "" A ty si myslíš, že sis rejpal v mozku jen kvůli tomu, co ti Juden napovídal? """
"sat","sit","posadil","posadit","pf"," He sat at it for a while and tried to compose a new entry for the Guide on the subject of Vogons but could n't think of anything vitriolic enough so he gave that up too, wrapped a robe round himself and went for a walk to the bridge."," Na chvíli se k ní posadil a pokoušel se sestavit nové znění hesla Vogoni pro Průvodce, ale nenapadalo ho nic dostatečně jedovatého, a tak toho také nechal, zahalil se do jakéhosi kusu oděvu a šel se trochu projít na můstek."
"tried","try","pokoušel","pokoušet","impf"," He sat at it for a while and tried to compose a new entry for the Guide on the subject of Vogons but could n't think of anything vitriolic enough so he gave that up too, wrapped a robe round himself and went for a walk to the bridge."," Na chvíli se k ní posadil a pokoušel se sestavit nové znění hesla Vogoni pro Průvodce, ale nenapadalo ho nic dostatečně jedovatého, a tak toho také nechal, zahalil se do jakéhosi kusu oděvu a šel se trochu projít na můstek."
"compose","compose","sestavit","sestavit","pf"," He sat at it for a while and tried to compose a new entry for the Guide on the subject of Vogons but could n't think of anything vitriolic enough so he gave that up too, wrapped a robe round himself and went for a walk to the bridge."," Na chvíli se k ní posadil a pokoušel se sestavit nové znění hesla Vogoni pro Průvodce, ale nenapadalo ho nic dostatečně jedovatého, a tak toho také nechal, zahalil se do jakéhosi kusu oděvu a šel se trochu projít na můstek."
"wrapped","wrap","zahalil","zahalit","pf"," He sat at it for a while and tried to compose a new entry for the Guide on the subject of Vogons but could n't think of anything vitriolic enough so he gave that up too, wrapped a robe round himself and went for a walk to the bridge."," Na chvíli se k ní posadil a pokoušel se sestavit nové znění hesla Vogoni pro Průvodce, ale nenapadalo ho nic dostatečně jedovatého, a tak toho také nechal, zahalil se do jakéhosi kusu oděvu a šel se trochu projít na můstek."
"went","go","šel","jít","impf"," He sat at it for a while and tried to compose a new entry for the Guide on the subject of Vogons but could n't think of anything vitriolic enough so he gave that up too, wrapped a robe round himself and went for a walk to the bridge."," Na chvíli se k ní posadil a pokoušel se sestavit nové znění hesla Vogoni pro Průvodce, ale nenapadalo ho nic dostatečně jedovatého, a tak toho také nechal, zahalil se do jakéhosi kusu oděvu a šel se trochu projít na můstek."
"entered","enter","vstoupil","vstoupit","pf"," As he entered he was surprised to see two figures hunched excitedly over the instruments."," Když vstoupil, uviděl ke svému překvapení dvě postavy vzrušeně se sklánějící nad přístroji."
"see","see","uviděl","uvidět","pf"," As he entered he was surprised to see two figures hunched excitedly over the instruments."," Když vstoupil, uviděl ke svému překvapení dvě postavy vzrušeně se sklánějící nad přístroji."
"See","see","Vidíš","vidět","impf"," "" See?"," "" Vidíš?"
"saying","say","říkala","říkat","impf"," The ship 's about to move into orbit, "" Trillian was saying."," Loď se chystá vstoupit na oběžnou dráhu, "" říkala právě Trillian."
"sense","sense","vycítí","vycítit","pf"," It is one of those curious things that is impossible to explain or define, but one can sense when a ship is completely dead."," Je to jedna z oněch těžko vysvětlitelných či definovatelných věcí, ale když je nějaká loď úplně mrtvá, člověk to okamžitě intuitivně vycítí."
"sense","sense","cítil","cítit","impf"," Ford could sense it and found it most mysterious - a ship and two policemen seemed to have gone spontaneously dead."," Ford to právě takhle cítil a připadalo mu jako naprostá záhada, že by loď i oba policajti najednou jen tak z ničeho nic sami od sebe odumřeli."
"sense","sense","cítili","cítit","impf"," The other three could sense it too, but they could sense the bitter cold even more and hurried back into the Heart of Gold suffering from an acute attack of no curiosity."," Jeho tři přátelé to cítili také tak, ale víc pociťovali lezavou zimu, a tak v záchvatu náhlého nedostatku zvědavosti raději pospíchali na palubu Srdce ze zlata."
"sense","sense","cítili","cítit","impf"," The other three could sense it too, but they could sense the bitter cold even more and hurried back into the Heart of Gold suffering from an acute attack of no curiosity."," Jeho tři přátelé to cítili také tak, ale víc pociťovali lezavou zimu, a tak v záchvatu náhlého nedostatku zvědavosti raději pospíchali na palubu Srdce ze zlata."
"hurried","hurry","pospíchali","pospíchat","impf"," The other three could sense it too, but they could sense the bitter cold even more and hurried back into the Heart of Gold suffering from an acute attack of no curiosity."," Jeho tři přátelé to cítili také tak, ale víc pociťovali lezavou zimu, a tak v záchvatu náhlého nedostatku zvědavosti raději pospíchali na palubu Srdce ze zlata."
"call","call","říkat","říkat","impf"," "" If you 'd call it a robot, "" muttered Arthur."," "" Pokud se mu vůbec dá říkat robot, "" brblal Arthur."
"understand","understand","pochopit","pochopit","pf"," What they completely failed to understand was why Zaphod was doing it."," Co však se jim pochopit nepodařilo - důvod, proč to Zafod dělá."
"doing","do","dělá","dělat","impf"," What they completely failed to understand was why Zaphod was doing it."," Co však se jim pochopit nepodařilo - důvod, proč to Zafod dělá."
"banked","bank","naklonil","naklonit","pf"," He banked sharply, shooting a wild wall of water at the sun."," Prudce naklonil člun na bok a vyslal ke slunci zpěněnou vodní stěnu."
"realize","realize","pochopí","pochopit","pf"," today was the day when they would realize what Zaphod had been up to."," Dnes všichni pochopí, co měl Zafod za lubem."
"lying","lie","leží","ležet","impf"," It seemed somehow unnaturally dark and silent, even for a ship whose two-man crew was at that moment lying asphyxicated in a smoke-filled chamber several miles beneath the ground."," Vypadala jaksi nepřirozeně temná a tichá, dokonce i na loď, jejíž dvoučlenná posádka leží zrovna zadušená v místnosti plné kouře deset kilometrů pod zemí."
"lay","lie","spočívala","spočívat","impf"," At the heart of it, unseen, lay a small gold box which carried within it the most brain-wretching device ever conceived, a device which made this starship unique in the history of the galaxy, a device after which the ship had been named - The Heart of Gold."," V jejím srdci, neviděna, spočívala malá zlatá krabička obsahující nejnepochopitelnější zařízení, jaké bylo kdy vymyšleno, zařízení, po němž byla loď pojmenována - Srdce ze zlata."
"conceived","conceive","vymyšleno","vymyslet","pf"," At the heart of it, unseen, lay a small gold box which carried within it the most brain-wretching device ever conceived, a device which made this starship unique in the history of the galaxy, a device after which the ship had been named - The Heart of Gold."," V jejím srdci, neviděna, spočívala malá zlatá krabička obsahující nejnepochopitelnější zařízení, jaké bylo kdy vymyšleno, zařízení, po němž byla loď pojmenována - Srdce ze zlata."
"named","name","pojmenována","pojmenovat","pf"," At the heart of it, unseen, lay a small gold box which carried within it the most brain-wretching device ever conceived, a device which made this starship unique in the history of the galaxy, a device after which the ship had been named - The Heart of Gold."," V jejím srdci, neviděna, spočívala malá zlatá krabička obsahující nejnepochopitelnější zařízení, jaké bylo kdy vymyšleno, zařízení, po němž byla loď pojmenována - Srdce ze zlata."
"said","say","řekl","říci","pf"," "" Wow "", said Zaphod Beeblebrox to the Heart of Gold."," "" Joj, "" řekl Zafod Bíblbrox Srdci ze zlata."
"say","say","říct","říci","pf"," There was n't much else he could say."," Nic jiného se celkem říct nedalo."
"said","say","Řekl","říci","pf"," He said it again because he knew it would annoy the press."," Řekl to ještě jednou, protože věděl, že tím otráví novináře."
"bought","buy","koupil","koupit","pf"," At that moment the dull sound of a rumbling crash from outside filtered through the low murmur of the pub, through the sound of the jukebox, through the sound of the man next to Ford hiccupping over the whisky Ford had eventually bought him."," V tu chvíli se monotónním bzukotem hospody, zvuky hrací skříně a muže vedle nich, škytajícího nad whisky, kterou mu Ford nakonec koupil, profiltroval zvenčí temný rachot, jako by se něco bořilo."
"leapt","leap","vyskočil","vyskočit","pf"," Arthur choked on his beer, leapt to his feet."," Arthur vdechl pivo a vyskočil na nohy."
"said","say","řekla","říci","pf"," His right-hand head looked round casually, said "" hi "" and went back to having his teeth picked."," Pravá hlava jen zběžně vzhlédla, řekla "" ahoj "" a dál si nechala šťourat v zubech."
"admit","admit","přiznat","přiznat","pf"," "" You see, "" he said, "" if they 're just sitting there in the studio looking very relaxed and, you know, just mentioning that they happen to know the Answer to Life, the Universe and Everything, and then eventually have to admit that in fact it 's Forty-two, then the show 's probably quite short."," "" Teda jestli se budou takhle povalovat ze katedrou, tvářit se ležérně a nadhazovat, že znají Odpověď na Život, vesmír a vůbec, a pak jim nakonec nezbude, než přiznat, že zní ' čtyřicet dva ', tak ta show asi nebude moc dlouhá."
"followed","follow","sledoval","sledovat","impf"," Arthur followed Ford 's finger, and saw where it was pointing."," Arthur sledoval Fordův ukazováček."
"saw","see","sledoval","sledovat","impf"," Arthur followed Ford 's finger, and saw where it was pointing."," Arthur sledoval Fordův ukazováček."
"discovered","discover","zjistil","zjistit","pf"," He hurried over to the other prone figure, and discovered that exactly the same impossible thing had happened to him, presumably simultaneously."," Spěšně přešel ke druhému zhroucenému tělu a zjistil, že se mu přihodilo přesně totéž, nejspíš i ve stejnou chvíli."
"waited","wait","Počkal","počkat","pf"," He waited for the applause to die down, then raised his hands in greeting."," Počkal, až umlkne potlesk, pak zdvihl ruku na pozdrav."
"raised","raise","zdvihl","zdvihnout","pf"," He waited for the applause to die down, then raised his hands in greeting."," Počkal, až umlkne potlesk, pak zdvihl ruku na pozdrav."
"said","say","řekl","říci","pf"," "" Hi, "" he said."," "" Ahoj, "" řekl."
"attempted","attempt","pokusil","pokusit","pf"," A government spider sidled up to him and attempted to press a copy of his prepared speech into his hands."," Připlížil se k němu vládní pavouk a pokusil se mu vtisknout do rukou kopii připraveného projevu."
"floating","float","pluly","plout","impf"," Pages three to seven of the original version were at the moment floating soggily on the Damogran sea some five miles out from the bay."," Stránky tři až sedm jeho originálu pluly v této chvíli nasáklé vodou po hladině damogranského moře asi osm kilometrů od zálivu."
"learning","learn","naučit","naučit","pf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"distinguish","distinguish","rozlišovat","rozlišovat","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"pretending","pretend","předstírá","předstírat","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"pretending","pretend","předstírá","předstírat","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"pretending","pretend","předstírá","předstírat","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"pretending","pretend","předstírá","předstírat","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"pretending","pretend","předstírá","předstírat","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"pretending","pretend","předstírá","předstírat","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"bothered","bother","neobtěžuje","obtěžovat","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"think","think","myslet","myslet","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"wanted","want","chce","chtít","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"do","do","udělal","udělat","pf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"did","do","udělal","udělat","pf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"pretending","pretend","předstírá","předstírat","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"pretending","pretend","předstírá","předstírat","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"pretending","pretend","předstírá","předstírat","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"hide","hide","zakryl","zakrýt","pf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"understand","understand","nechápe","chápat","impf"," One of the major difficulties[ ]Trillian experienced in her relationship with Zaphod was learning to distinguish between him pretending to be stupid just to get people off their guard, pretending to be stupid because he could n't be bothered to think and wanted someone else to do it for him, pretending to be outrageously stupid to hide the fact that he actually did n't understand what was going on, and really being genuinely stupid."," Jedna z nejobtížnějších věcí, s kterými se Trillian musela potýkat ve vztahu se Zafodem, bylo naučit se rozlišovat, kdy předstírá hloupost, jen aby si ostatní přestali dávat pozor, kdy předstírá hloupost prostě proto, že se neobtěžuje myslet a chce, aby to někdo udělal za něho, kdy předstírá donebevolající hloupost, aby zakryl skutečnost, že vlastně nechápe, co se děje, a kdy je prostě doopravdy hloupý."
"pick","pick","nesebrala","sebrat","pf"," "" Anyway, "" said Trillian, turning back to the controls, "" I did n't pick them up. """," "" Ostatně jsem je nesebrala já. """
"mean","mean","chceš","chtít","impf"," "" What do you mean?"," "" Co tím chceš říct?"
"said","say","řekl","říci","pf"," If he said anything further after that it was lost."," Pokud řekl ještě něco jiného, neslyšeli to."
"sealed","seal","uzavřel","uzavřít","pf"," The hatchway sealed itself tight, and all sound was lost but the faint distant hum of the ship 's engines."," Příklop se neprodyšně uzavřel a odřízl všechno až na vzdálené hučení lodních motorů."
"said","say","řekl","říci","pf"," "" Potentially bright lad I thought, "" he said and slumped against the curved wall."," "" Připadal mi jako potenciálně bystrý mládenec, "" řekl a praštil sebou na zakřivenou stěnu."
"lying","lie","ležel","ležet","impf"," Arthur was still lying in the curve of the floor where he had fallen."," Arthur dosud ležel tam, kam dopadl."
"fallen","fall","dopadl","dopadnout","pf"," Arthur was still lying in the curve of the floor where he had fallen."," Arthur dosud ležel tam, kam dopadl."
"lay","lie","ležel","ležet","impf"," He just lay panting."," Jen ležel a namáhavě dýchal."
"looked","look","pohlédl","pohlédnout","pf"," Arthur looked inquiringly at Trillian."," Arthur pohlédl tázavě na Trillian."
"come","come","vstoupil","vstoupit","pf"," She motioned him to come on in but keep quiet."," Posunkem ho vyzvala, aby vstoupil a byl zticha."
"said","say","řekl","říci","pf"," "" Computer, "" said Zaphod, "" tell us again what our present trajectory is. """," "" Počítači, "" řekl Zafod, "" jaká je naše současná dráha? """
"tell","tell","řekl","říci","pf"," "" Computer, "" said Zaphod, "" tell us again what our present trajectory is. """," "" Počítači, "" řekl Zafod, "" jaká je naše současná dráha? """
