"say","say","říkáš","říkat","impf"," “ Why do you say that? ”"," "" Proč to říkáš? """
"felt","feel","necítil","cítit","impf"," I never felt it like that before. ”"," Dřív jsem to tak necítil. """
"watch","watch","Koukáš","koukat","impf"," You watch the moon for a long time and then you suddenly see it isn ’ t a round flat thing like people usually imagine. It ’ s a sphere and it ’ s hanging there in space without any pillars and supports and when you think of it your head starts swimming."," Koukáš na Měsíc dlouhou chvíli a najednou vidíš - není to vlastně kulatá placka, jak ho obyčejně lidé vidí, je to koule, vznáší se v prostoru bez trámů, bez opěr, představíš si to a hlava se ti točí."
"see","see","Koukáš","koukat","impf"," You watch the moon for a long time and then you suddenly see it isn ’ t a round flat thing like people usually imagine. It ’ s a sphere and it ’ s hanging there in space without any pillars and supports and when you think of it your head starts swimming."," Koukáš na Měsíc dlouhou chvíli a najednou vidíš - není to vlastně kulatá placka, jak ho obyčejně lidé vidí, je to koule, vznáší se v prostoru bez trámů, bez opěr, představíš si to a hlava se ti točí."
"see","see","vidíš","vidět","impf"," You watch the moon for a long time and then you suddenly see it isn ’ t a round flat thing like people usually imagine. It ’ s a sphere and it ’ s hanging there in space without any pillars and supports and when you think of it your head starts swimming."," Koukáš na Měsíc dlouhou chvíli a najednou vidíš - není to vlastně kulatá placka, jak ho obyčejně lidé vidí, je to koule, vznáší se v prostoru bez trámů, bez opěr, představíš si to a hlava se ti točí."
"see","see","vidí","vidět","impf"," You watch the moon for a long time and then you suddenly see it isn ’ t a round flat thing like people usually imagine. It ’ s a sphere and it ’ s hanging there in space without any pillars and supports and when you think of it your head starts swimming."," Koukáš na Měsíc dlouhou chvíli a najednou vidíš - není to vlastně kulatá placka, jak ho obyčejně lidé vidí, je to koule, vznáší se v prostoru bez trámů, bez opěr, představíš si to a hlava se ti točí."
"imagine","imagine","představíš","představit","pf"," You watch the moon for a long time and then you suddenly see it isn ’ t a round flat thing like people usually imagine. It ’ s a sphere and it ’ s hanging there in space without any pillars and supports and when you think of it your head starts swimming."," Koukáš na Měsíc dlouhou chvíli a najednou vidíš - není to vlastně kulatá placka, jak ho obyčejně lidé vidí, je to koule, vznáší se v prostoru bez trámů, bez opěr, představíš si to a hlava se ti točí."
"pulled","pull","Přitáhla","přitáhnout","pf"," She pulled her knees up to her chin under the blanket and put her arm round them, looking straight in front of her deep in thought."," Přitáhla si pod pokrývkou kolena až k bradě a objala je pažemi, hledíc před sebe mlčky, s upřenou zamyšleností."
"looking","look","hledíc","hledět","impf"," She pulled her knees up to her chin under the blanket and put her arm round them, looking straight in front of her deep in thought."," Přitáhla si pod pokrývkou kolena až k bradě a objala je pažemi, hledíc před sebe mlčky, s upřenou zamyšleností."
"understood","understand","Pochopil","pochopit","pf"," He understood and laughed."," Pochopil a usmál se :"
"nodded","nod","Přikývla","přikývnout","pf"," She nodded and tossed back a lock of black hair from her face."," Přikývla a odhrnula si pramen černých vlasů z čela."
"dream","dream","zdálo","zdát","impf"," Ever since I was little ... I even used to dream about them."," Už jako malá holka ... někdy se mi o nich dokonce zdálo."
"looking","look","hleděly","hledět","impf"," The dark eyes looking at him were wide with incomprehensible fear and an almost hostile refusal, making him feel slightly ashamed."," Temné oči na něho hleděly rozevřeny nesrozumitelným strachem a skoro s nepřátelskou odmítavostí, až ho pronikl lehký stud."
"turned","turn","uhnul","uhnout","pf"," He instinctively shook his head and turned his eyes away."," Bezděčně zavrtěl hlavou a uhnul rychle pohledem."
"noticed","notice","všiml","všimnout","pf"," No, at first sight she had not attracted him at all; he even noticed that she had rather a wide mouth and freckles here and there on her nose."," Ne, na první pohled ho nikterak neokouzlila, všiml si dokonce, že má trochu široká ústa a pár pih na nose."
"thought","think","pomyslel","pomyslet","pf"," A conceited, whining creature, he thought to himself and throwing his head back, gazed up at the sky."," Jakýsi nafoukaný a ufňukaný žabec, pomyslel si a zvrátil hlavu nazad."
"looking","look","nahlédlo","nahlédnout","pf"," Their seclusion was rent in this moment of serenity; they did not dream that from the dark outside into the light an eye was looking, screwed up to see through the narrow slit between the crumpled blackout and the window-frame."," A v té dobré chvíli byla jejich samota protržena a ani netušili, že malou škvírkou mezi pomuchlaným zatemněním a okenním rámem nahlédlo ze tmy do světla přimhouřené oko."
"lived","live","Bydlí","bydlet","impf"," She lived in a lonely spot, perhaps he could manage something; he ’ d speak to Mother and Father about it, persuade them, even if they nearly died of fear, force them to help because she had got to live."," Bydlí o samotě, snad by se dalo něco dělat, snad, promluví o tom s tátou a mámou, přemluví je, i kdyby zmírali strachem, donutí je, poněvadž ona musí žít."
"live","live","Bydlí","bydlet","impf"," She lived in a lonely spot, perhaps he could manage something; he ’ d speak to Mother and Father about it, persuade them, even if they nearly died of fear, force them to help because she had got to live."," Bydlí o samotě, snad by se dalo něco dělat, snad, promluví o tom s tátou a mámou, přemluví je, i kdyby zmírali strachem, donutí je, poněvadž ona musí žít."
"speak","speak","promluví","promluvit","pf"," She lived in a lonely spot, perhaps he could manage something; he ’ d speak to Mother and Father about it, persuade them, even if they nearly died of fear, force them to help because she had got to live."," Bydlí o samotě, snad by se dalo něco dělat, snad, promluví o tom s tátou a mámou, přemluví je, i kdyby zmírali strachem, donutí je, poněvadž ona musí žít."
"persuade","persuade","přemluví","přemluvit","pf"," She lived in a lonely spot, perhaps he could manage something; he ’ d speak to Mother and Father about it, persuade them, even if they nearly died of fear, force them to help because she had got to live."," Bydlí o samotě, snad by se dalo něco dělat, snad, promluví o tom s tátou a mámou, přemluví je, i kdyby zmírali strachem, donutí je, poněvadž ona musí žít."
"force","force","donutí","donutit","pf"," She lived in a lonely spot, perhaps he could manage something; he ’ d speak to Mother and Father about it, persuade them, even if they nearly died of fear, force them to help because she had got to live."," Bydlí o samotě, snad by se dalo něco dělat, snad, promluví o tom s tátou a mámou, přemluví je, i kdyby zmírali strachem, donutí je, poněvadž ona musí žít."
"went","go","dělal","dělat","impf"," We went through bad times - Daddy wasn ’ t rich and the last weeks when he was only working in the hospital we sometimes went hungry."," U nás bylo zle, táta nebyl boháč a v poslední době, co dělal jen v nemocnici, jsme měli někdy i hlad."
"working","work","dělal","dělat","impf"," We went through bad times - Daddy wasn ’ t rich and the last weeks when he was only working in the hospital we sometimes went hungry."," U nás bylo zle, táta nebyl boháč a v poslední době, co dělal jen v nemocnici, jsme měli někdy i hlad."
"went","go","dělal","dělat","impf"," We went through bad times - Daddy wasn ’ t rich and the last weeks when he was only working in the hospital we sometimes went hungry."," U nás bylo zle, táta nebyl boháč a v poslední době, co dělal jen v nemocnici, jsme měli někdy i hlad."
"think","think","vzpomněl","vzpomenout","pf"," Sometimes a patient would think of us and bring us a bit of something."," Občas si vzpomněl nějaký pacient a něco nám přinesl."
"bring","bring","přinesl","přinést","pf"," Sometimes a patient would think of us and bring us a bit of something."," Občas si vzpomněl nějaký pacient a něco nám přinesl."
"leave","leave","Nechal","nechat","pf"," They used to leave it under the window at night, and I got into the habit of looking under the window every morning in case there was something there."," Nechal to v noci pod okny a já si zvykla dívat se ráno pod okno, jestli tam něco není."
"looking","look","dívat","dívat","impf"," They used to leave it under the window at night, and I got into the habit of looking under the window every morning in case there was something there."," Nechal to v noci pod okny a já si zvykla dívat se ráno pod okno, jestli tam něco není."
"believe","believe","věříš","věřit","impf"," Do you believe in God?"," Ty věříš v boha?"
"admit","admit","Přiznám","přiznat","pf"," I ’ ll admit there are times when I almost wish God did exist."," Přiznám se ti : někdy bych skoro chtěla, aby byl."
"wish","wish","chtěla","chtít","impf"," I ’ ll admit there are times when I almost wish God did exist."," Přiznám se ti : někdy bych skoro chtěla, aby byl."
"persecuting","persecute","pronásledují","pronásledovat","impf"," A good, kind, just old man, the kind of man you could complain to when people are persecuting you and you don ’ t know why."," Takový dobrý, spravedlivý staroušek, člověk by si mu mohl postýskat, když ho lidé pronásledují a on neví proč."
"confusing","confuse","mátl","mást","impf"," Hunger was getting at her, gnawing away at her vitals, confusing her senses and hurting her."," Pracoval, stále harašil kdesi v útrobách, mátl smysly a bolel."
"hurting","hurt","bolel","bolet","impf"," Hunger was getting at her, gnawing away at her vitals, confusing her senses and hurting her."," Pracoval, stále harašil kdesi v útrobách, mátl smysly a bolel."
"Pressing","press","Přitiskla","přitisknout","pf"," Pressing her ear to the door leading out into the passage, she listened to the silence."," Přitiskla ucho ke dveřím na chodbu, naslouchala tichu."
"listened","listen","naslouchala","naslouchat","impf"," Pressing her ear to the door leading out into the passage, she listened to the silence."," Přitiskla ucho ke dveřím na chodbu, naslouchala tichu."
"thought","think","Vzpomněla","vzpomenout","pf"," She thought of the little girl putting her ear to the telegraph poles in the avenue."," Vzpomněla si na malou holčičku, která tiskla ucho k telegrafním sloupům v aleji."
"seen","see","spatřit","spatřit","pf"," People passed by the window as they went along the gallery and now and again an idle glance would fall on the window, but what could be seen through those panes thick with dirt?"," Náhodný chodec občas nakoukl oknem dovnitř, ale co mohl spatřit skrz tabulky přisleplé špínou?"
"crowd","crowd","naplnila","naplnit","pf"," Occasionally a gang of lads from his class would crowd in, filling the tiny room with their noisy voices."," Občas sem vtrhla parta kluků z jejich třídy a naplnila pokojík halasem svých hrdel."
"filling","fill","naplnila","naplnit","pf"," Occasionally a gang of lads from his class would crowd in, filling the tiny room with their noisy voices."," Občas sem vtrhla parta kluků z jejich třídy a naplnila pokojík halasem svých hrdel."
"hear","hear","Slyšela","slyšet","impf"," I could hear someone breathing."," Slyšela jsem něčí dech."
"looked","look","Díval","dívat","impf"," He looked in through the window, too. ”"," Díval se na mě také oknem. """
"see","see","Viděl","vidět","impf"," “ Could he see you? ”"," "" Viděl tě? """
"think","think","myslím","myslet","impf"," “ I don ’ t know ... I don ’ t think so. ”"," "" Nevím ... myslím, že nemohl. """
"pushed","push","zatlačil","zatlačit","pf"," He took her coat off and pushed her back on the sofa."," Stáhl z ní kabát, zatlačil ji rukama na pohovku."
"going","go","odejdeš","odejít","pf"," You ’ ll be going away from here tomorrow."," Zítra odtud odejdeš."
"read","read","četla","číst","impf"," For a while she would read the books he brought her, but the lines danced madly in front of her eyes."," Chvílemi četla knihy, které jí nosil, ale řádky jí bláznivě tančily před očima."
"brought","bring","nosil","nosit","impf"," For a while she would read the books he brought her, but the lines danced madly in front of her eyes."," Chvílemi četla knihy, které jí nosil, ale řádky jí bláznivě tančily před očima."
"danced","dance","tančily","tančit","impf"," For a while she would read the books he brought her, but the lines danced madly in front of her eyes."," Chvílemi četla knihy, které jí nosil, ale řádky jí bláznivě tančily před očima."
"taken","take","zaujata","zaujmout","pf"," How could she keep her mind on other people ’ s problems when she could not solve her own, her thoughts all taken up with the senseless futility and sadness of her life?"," Jak se soustředit na cizí osudy, když si nevěděla rady s vlastním, tak cele zaujata jeho nesmyslností a smutkem?"
"listened","listen","poslouchala","poslouchat","impf"," Sometimes she listened to the people talking in the tailor ’ s, but the noise of the machines drowned the words and she heard only every tenth word, unable to follow what was said."," Občas poslouchala hovor z krejčovny, ale hrčení strojů překrývalo slova, takže rozuměla každému desátému a smysl unikal."
"heard","hear","poslouchala","poslouchat","impf"," Sometimes she listened to the people talking in the tailor ’ s, but the noise of the machines drowned the words and she heard only every tenth word, unable to follow what was said."," Občas poslouchala hovor z krejčovny, ale hrčení strojů překrývalo slova, takže rozuměla každému desátému a smysl unikal."
"follow","follow","rozuměla","rozumět","impf"," Sometimes she listened to the people talking in the tailor ’ s, but the noise of the machines drowned the words and she heard only every tenth word, unable to follow what was said."," Občas poslouchala hovor z krejčovny, ale hrčení strojů překrývalo slova, takže rozuměla každému desátému a smysl unikal."
"want","want","nechtěla","chtít","impf"," “ I didn ’ t want you to feel like that."," "" To jsem nechtěla."
"pretend","pretend","předstírat","předstírat","impf"," They were not able to pretend."," A nic nedokázali předstírat."
"think","think","Myslíte","myslet","impf"," Did he think they weren ’ t there any more?"," Myslíte, že tam nejsou?"
"write","write","nepíší","psát","impf"," Then why didn ’ t they write?"," Proč tedy nepíší?"
"write","write","psát","psát","impf"," They had decided on a code so as to be able to write a bit more openly."," Smluvili se na šifrách, aby mohli psát trochu otevřeně."
"complained","complain","nestěžovali","stěžovat","impf"," They hadn ’ t complained much in the first letters, but maybe they didn ’ t want to upset her."," V prvních dopisech si moc nestěžovali, ale možná že ji nechtěli postrašit."
"want","want","nechtěli","chtít","impf"," They hadn ’ t complained much in the first letters, but maybe they didn ’ t want to upset her."," V prvních dopisech si moc nestěžovali, ale možná že ji nechtěli postrašit."
"think","think","Myslíte","myslet","impf"," Did he think they were still there?"," Myslíte, že tam ještě jsou?"
"think","think","myslíte","myslet","impf"," What did he think? She pressed urgent questions on him."," Co myslíte? kladla mu naléhavé otázky."
"make","make","Uvařím","uvařit","pf"," “ I ’ ll make you a cup of camomile tea. ”"," "" Uvařím ti lipové thé. """
"go","go","Půjdu","jít","impf"," I ’ ll just go straight to bed. ”"," Půjdu si hned lehnout. """
"swallowed","swallow","polkl","polknout","pf"," He gasped, with a tight feeling in his throat, and swallowed hard."," Vydechl sevřeným hrdlem a naprázdno polkl."
"forgotten","forget","zapomněl","zapomenout","pf"," In his consternation he had forgotten to light his cigarette, and as the match began to burn his fingers he threw it away."," Údivem si zapomněl zapálit cigaretu, zahodil sirku, až když ho spálila do prstu."
"light","light","zapálit","zapálit","pf"," In his consternation he had forgotten to light his cigarette, and as the match began to burn his fingers he threw it away."," Údivem si zapomněl zapálit cigaretu, zahodil sirku, až když ho spálila do prstu."
"threw","throw","zahodil","zahodit","pf"," In his consternation he had forgotten to light his cigarette, and as the match began to burn his fingers he threw it away."," Údivem si zapomněl zapálit cigaretu, zahodil sirku, až když ho spálila do prstu."
"burn","burn","spálila","spálit","pf"," In his consternation he had forgotten to light his cigarette, and as the match began to burn his fingers he threw it away."," Údivem si zapomněl zapálit cigaretu, zahodil sirku, až když ho spálila do prstu."
"want","want","chceš","chtít","impf"," “ What do you want? ” a man ’ s voice snapped from the dark room."," "" Co chceš? "" štěkl ze tmy mužský hlas. '"
"pulling","pull","přitáhla","přitáhnout","pf"," She sat up sharply, pulling her pyjama jacket up to her throat with her hand in the age-old gesture of defence, and looking at him for a moment as at an intruder."," Prudce se vzpřímila, přitáhla rukou kabátek pyžama ke krku, tím praznámým obranným pohybem, a prohlížela si ho v prvním okamžiku jako vetřelce."
"remember","remember","Nepamatujete","pamatovat","impf"," Don ’ t you remember ... don ’ t you remember me? ”"," Nepamatujete ... nepamatuješ se? """
"remember","remember","Nepamatujete","pamatovat","impf"," Don ’ t you remember ... don ’ t you remember me? ”"," Nepamatujete ... nepamatuješ se? """
"remember","remember","nepamatuješ","pamatovat","impf"," Don ’ t you remember ... don ’ t you remember me? ”"," Nepamatujete ... nepamatuješ se? """
"remember","remember","nepamatuješ","pamatovat","impf"," Don ’ t you remember ... don ’ t you remember me? ”"," Nepamatujete ... nepamatuješ se? """
"play","play","hráli","hrát","impf"," She was delighted - that was a childish game she knew well enough, she used to play at home with Daddy."," Zajásala, tuhle prostinkou hru znala, hráli ji doma s tátou."
"forgot","forget","zapomněli","zapomenout","pf"," The black dice rolled and they moved their men over the board and forgot the world around them."," Kutáleli černou kostkou, posunovali figurky a zapomněli na celý svět!"
"wait","wait","Počkej","počkat","pf"," You wait, I ’ ll get my own back for that! Just wait till I get a six."," Počkej, já ti to oplatím, jen co mi padne šestka!"
"wait","wait","Počkej","počkat","pf"," You wait, I ’ ll get my own back for that! Just wait till I get a six."," Počkej, já ti to oplatím, jen co mi padne šestka!"
"think","think","myslíš","myslet","impf"," What d ’ you think? ”"," Co myslíš? """
"pushed","push","strčí","strčit","pf"," “ Silly! ” the boy growled, and pushed the empty saucepan back into his bag."," "" Hlouposti! "" zamračí se chlapec a strčí prázdný kastrolek zpátky do brašny."
"added","add","dodá","dodat","pf"," I couldn ’ t manage to bring more. I ’ m sorry! ” he added with an apologetic smile."," Víc jsem nesehnal, nezlob se, "" dodá s omluvným úsměvem."
"wiped","wipe","Otřela","otřít","pf"," She wiped her mouth with the back of her hand and dropped a kiss on his forehead."," Otřela si hřbetem ruky pusu, políbila ho na čelo."
"hold","hold","Nevydržím","vydržet","pf"," He could not hold on."," Nevydržím!"
"looked","look","Hleděli","hledět","impf"," They looked at each other, moving soundless lips; their words had all gone."," Hleděli na sebe, pohybovali naprázdno ústy, všechna slova byla spotřebována."
"moving","move","pohybovali","pohybovat","impf"," They looked at each other, moving soundless lips; their words had all gone."," Hleděli na sebe, pohybovali naprázdno ústy, všechna slova byla spotřebována."
"hurtled","hurtle","Řítila","řítit","impf"," She hurtled down into the mist, getting smaller and smaller, like a doll; her shriek echoed round as if they were in the nave of a cathedral."," Řítila se dolů do mlhy, menší, stále menší, jako loutka, křik se rozléhal ozvěnou jako v chrámové lodi."
"died","die","Zanikl","zaniknout","pf"," It died away."," Zanikl."
"get","get","nekoupí","koupit","pf"," “ You can ’ t get anything like that nowadays. ”"," "" Taková se dnes v obchodě nekoupí. """
"mean","mean","myslíte","myslet","impf"," “ What d ’ you mean?"," "" Co myslíte?"
"slid","slide","sklouzne","sklouznout","pf"," The question slid down it like a raindrop down a windowpane."," otázka po ní sklouzne jako dešťová kapka."
"avoiding","avoid","vyhýbaje","vyhýbat","impf"," They ate their supper without a word, the tailor bending his head over his plate and avoiding his son 's eyes; uneasiness played on the wrinkles in his face."," Povečeřeli beze slova, krejčí skláněl hlavu nad talířem, vyhýbaje se synovi očima, neklid mu rozehrával vrásky na tváři."
"hear","hear","slyšel","slyšet","impf"," Paul could hear his hard, hissing breath."," Pavel slyšel jeho přerývaný sípavý dech."
"seeking","seek","hledalo","hledat","impf"," But there was something in the air between them, something that seemed to be seeking for words."," Ale cosi se nad oběma vznášelo, hledalo slova."
"mingled","mingle","mísil","mísit","impf"," The alarm clock ticked on the dresser and the sound of spoons mingled with its hurrying tread."," Na kredenci cvakal budík a do jeho uspěchaného kroku se mísil cinkot příborů."
"feel","feel","nevnímal","vnímat","impf"," Time moved slowly past but he did not feel it passing."," Čas se vlekl, nevnímal jej."
"feel","feel","nevnímal","vnímat","impf"," He did not feel his own being, either."," Ani sebe nevnímal."
"hear","hear","zaslechl","zaslechnout","pf"," From the workshop next door came the sound of his father ’ s voice, full of that embarrassing servility of a tradesman towards his customers that he hated to hear from his father. There were steps across the creaking floorboards and the thumping of a hissing iron."," Z krejčovny zaslechl otcův hlas, prosycený onou trapnou devótností živnostníka před zákazníkem, kterou u táty tak nenáviděl, kroky na praskajících parketách a údery syčící žehličky;"
"hated","hate","nenáviděl","nenávidět","impf"," From the workshop next door came the sound of his father ’ s voice, full of that embarrassing servility of a tradesman towards his customers that he hated to hear from his father. There were steps across the creaking floorboards and the thumping of a hissing iron."," Z krejčovny zaslechl otcův hlas, prosycený onou trapnou devótností živnostníka před zákazníkem, kterou u táty tak nenáviděl, kroky na praskajících parketách a údery syčící žehličky;"
"turned","turn","Obrátil","obrátit","pf"," He turned to look at his visitor."," Obrátil se na svou návštěvnici."
"asked","ask","ptaly","ptát","impf"," Where am I? the dark eyes asked."," Kde to jsem? ptaly se temné oči."
"want","want","chceš","chtít","impf"," What do you want of me?"," Co ode mne chceš?"
"understood","understand","Porozuměl","porozumět","pf"," He understood them."," Porozuměl jim."
"Make","make","Udělejte","udělat","pf"," “ Make yourself at home."," "" Udělejte si pohodlí."
"live","live","bydlet","bydlet","impf"," You ’ re going to live here. ”"," Teď tu budete bydlet. """
"want","want","nechtějí","chtít","impf"," They don ’ t want you down there on the earth any more, because you ’ re not an Aryan ... ”"," Tam dole tě už nechtějí, když nejsi árijka ... """
"want","want","chci","chtít","impf"," “ I want you here. ”"," "" Já tě přece chci. """
"tried","try","pokoušel","pokoušet","impf"," He rained blows on it, groaning with the effort, blind with hatred, hatred rising from the very depths of his obsession, and tried to break the door down."," Třískal do nich, hekaje námahou, oslepen záští, stoupající až z hlubin jeho posedlosti, a pokoušel se je prorazit."
"break","break","prorazit","prorazit","pf"," He rained blows on it, groaning with the effort, blind with hatred, hatred rising from the very depths of his obsession, and tried to break the door down."," Třískal do nich, hekaje námahou, oslepen záští, stoupající až z hlubin jeho posedlosti, a pokoušel se je prorazit."
"Open","open","Otevři","otevřít","pf"," Open the door!"," Otevři!"
"yelled","yell","řval","řvát","impf"," Auf-ma-chen! ” he yelled."," Auf - ma - chen! "" řval."
"admit","admit","nepřiznal","přiznat","pf"," He stopped, his cheerful mood gone, and did not admit that every morning he took great care to get out of bed right foot first, and that he was always angry with himself for unwittingly avoiding the gutters and ... and ... and anyway."," Odmlčel se rozmrzele a nepřiznal se jí, že každé ráno pečlivě dbá na to, aby vylezl z postele pravou nohou, a že se zlobí na sebe, když se podvědomě vyhne kanálu, a že ... a vůbec."
"avoiding","avoid","vyhne","vyhnout","pf"," He stopped, his cheerful mood gone, and did not admit that every morning he took great care to get out of bed right foot first, and that he was always angry with himself for unwittingly avoiding the gutters and ... and ... and anyway."," Odmlčel se rozmrzele a nepřiznal se jí, že každé ráno pečlivě dbá na to, aby vylezl z postele pravou nohou, a že se zlobí na sebe, když se podvědomě vyhne kanálu, a že ... a vůbec."
"picked","pick","Vzal","vzít","pf"," He picked up the die and let it fall on the table."," Vzal kostku a hodil ji po stole."
"said","say","řekl","říci","pf"," “ Look! ” he said."," "" Podívej se! "" řekl."
"did","do","udělal","udělat","pf"," “ Why did you do that? ” she asked in a blank whisper."," "" Proč jsi to udělal? "" zeptala se bezvýrazně."
"do","do","udělal","udělat","pf"," “ Why did you do that? ” she asked in a blank whisper."," "" Proč jsi to udělal? "" zeptala se bezvýrazně."
"asked","ask","zeptala","zeptat","pf"," “ Why did you do that? ” she asked in a blank whisper."," "" Proč jsi to udělal? "" zeptala se bezvýrazně."
"Sitting","sit","Posadil","posadit","pf"," Sitting up, he put his feet to the floor and looked at her without speaking."," Posadil se, spustil nohy na podlahu a mlčky na ni hleděl."
"put","put","Posadil","posadit","pf"," Sitting up, he put his feet to the floor and looked at her without speaking."," Posadil se, spustil nohy na podlahu a mlčky na ni hleděl."
"looked","look","hleděl","hledět","impf"," Sitting up, he put his feet to the floor and looked at her without speaking."," Posadil se, spustil nohy na podlahu a mlčky na ni hleděl."
"feel","feel","cítí","cítit","impf"," He could not see it, but he could feel it round him."," Je neviditelná, ale cítí ji."
"look","look","pohlédl","pohlédnout","pf"," He threw his head back to look out at the sky."," Zvrátil hlavu a pohlédl na oblohu."
"run","run","utíkal","utíkat","impf"," As soon as he had had breakfast he had dashed along to the old house and run with heart beating loud, driven up the steps by curiosity and impatience."," Hned po snídani zaběhl do starého domu, utíkal s rozbouchaným srdcem do schodů, poháněn zvědavou netrpělivostí."
"driven","drive","poháněn","pohánět","impf"," As soon as he had had breakfast he had dashed along to the old house and run with heart beating loud, driven up the steps by curiosity and impatience."," Hned po snídani zaběhl do starého domu, utíkal s rozbouchaným srdcem do schodů, poháněn zvědavou netrpělivostí."
"turning","turn","otočil","otočit","pf"," He had looked round the passage before turning the key."," Rozhlédl se po schodech a otočil klíčem."
"call","call","říkal","říkat","impf"," “ Daddy used to call me his March Hare. ”"," "" Táta říkal třeštidlo. """
"allowed","allow","nesměla","smět","impf"," “ I wasn ’ t allowed to go."," "" Já nesměla."
"wear","wear","Měla","mít","impf"," I ’ d got such a lovely frock ready, too. Mummy had to alter it for me to wear for everyday then."," Měla jsem krásné šaty, máma mi je nakonec musela přešít."
"dance","dance","Tančit","tančit","impf"," Daddy taught me to dance. ”"," Tančit mě naučil táta. """
"taught","teach","naučil","naučit","pf"," Daddy taught me to dance. ”"," Tančit mě naučil táta. """
"managed","manage","podařilo","podařit","pf"," One evening he dropped in at Bert ’ s, where they had managed to rig up something in a two-valve set that had the short waves taken out."," Zaběhl jednoho večera na skok k Vojtovi, kterému se podařilo nasadit do vykuchané dvoulampovky provisorní zařízení."
"listen","listen","poslouchat","poslouchat","impf"," With the doors tightly shut they could listen to foreign stations."," Mohl poslouchat za pevně zavřenými dveřmi cizinu."
"hung","hang","viselo","viset","impf"," And she knew, too, that they both felt the same diffidence before this knowledge, which was drawing nearer as if by a round-about way, which hung between them like a wordless question, flowed up from the depths of their tender feelings and then ebbed away, carried off by the shyness which still struggled against desire."," A věděla, že v obou je zvláštní bázeň před tím, co se jakoby obloukem blížilo, co mezi nimi viselo jako otázka beze slov, tryskalo z hlubin něžnosti a zase se vzdaloval, odplavováno plachostí, která pošetile zápasila s touhou."
"struggled","struggle","zápasila","zápasit","impf"," And she knew, too, that they both felt the same diffidence before this knowledge, which was drawing nearer as if by a round-about way, which hung between them like a wordless question, flowed up from the depths of their tender feelings and then ebbed away, carried off by the shyness which still struggled against desire."," A věděla, že v obou je zvláštní bázeň před tím, co se jakoby obloukem blížilo, co mezi nimi viselo jako otázka beze slov, tryskalo z hlubin něžnosti a zase se vzdaloval, odplavováno plachostí, která pošetile zápasila s touhou."
"hide","hide","skrýval","skrývat","impf"," She felt it in every touch of his fingers, saw it in his eyes and on his lips; he did his best to hide it, and she was grateful to him."," Byla v každém doteku, měl ji v očích, na ústech a skrýval ji s přemáháním, za něž mu byla vděčná."
"move","move","nehýbat","hýbat","impf"," Better not move."," Raději se nehýbat!"
"think","think","nemyslet","myslet","impf"," Better not think."," Raději nemyslet!"
"do","do","dělá","dělat","impf"," How do you do that - not think?"," Jak se to vlastně dělá - nemyslet?"
"do","do","dělá","dělat","impf"," How do you do that - not think?"," Jak se to vlastně dělá - nemyslet?"
"think","think","nemyslet","myslet","impf"," How do you do that - not think?"," Jak se to vlastně dělá - nemyslet?"
"pressing","press","stisknout","stisknout","pf"," Perhaps pressing his eyelids down - like this - to hide from it all behind those two hot shells."," Snad stisknout víčka - takhle! - skrýt se za těmi palčivými skořápkami přede vším."
"hide","hide","skrýt","skrýt","pf"," Perhaps pressing his eyelids down - like this - to hide from it all behind those two hot shells."," Snad stisknout víčka - takhle! - skrýt se za těmi palčivými skořápkami přede vším."
"shuts","shut","Zavře","zavřít","pf"," He shuts his eyes obstinately."," Zavře umíněně oči."
"mean","mean","nemyslel","myslet","impf"," “ I didn ’ t mean there was anything wrong with it, ” he interjected hurriedly and didn ’ t know what to do with his hands."," "" Tak jsem to nemyslel! "" přerušil ji chvatně, nevěda najednou co s rukama."
"think","think","Myslím","myslet","impf"," I don ’ t think you need it - not in here. ”"," Myslím, že je to zbytečné - tady! """
"forbidden","forbid","zakázáno","zakázat","pf"," It ’ s strictly forbidden to be without the star - for us."," Je to přísně zakázáno, chodit bez hvězdy - pro nás."
"burning","burn","hořel","hořet","impf"," Bert had agreed, burning with curiosity."," Vojta přikývl, i když hořel zvědavostí :"
"invented","invent","Vymyslel","vymyslet","pf"," He invented a ridiculous affair just to keep from telling him the truth."," Vymyslel si jakési směšné dobrodružství, aby mu nemusel říci pravdu."
"telling","tell","říci","říci","pf"," He invented a ridiculous affair just to keep from telling him the truth."," Vymyslel si jakési směšné dobrodružství, aby mu nemusel říci pravdu."
"sighed","sigh","vzdychala","vzdychat","impf"," “ Take care of yourself, Paulie, ” his mother sighed."," "" Dej na sebe pozor, Pavlíku! "" vzdychala máma."
"pass","pass","ubíhá","ubíhat","impf"," Ordinary people pass by, behind them stretches the blurred hoarding of coloured posters, everything is wet, the whole world is in the rain - that ’ s what the deluge must have looked like when it began - the thought flashes through her mind - the same repeated pattern of wet cobble-stones."," A kolem nich se míhají obyčejní lidé, nazad ubíhá rozplizlá strakatina plakátů, všechno je mokré, prší na celý svět - tak asi začala potopa světa, bleskne jí hlavou - ty stále stejné vzorky omoklé dlažby."
