"thought","think","myslel","myslet","impf"," "" I thought I saw children. """," "" A já si myslel, že vidím děti. """
"go","go","jet","jet","impf"," "" If you do n't want to go to the Cape, you do n't want to go to the Cape."," "" Když nechceš jet na Cape Cop, tak nechceš jet na Cape Cod, co nadělám."
"want","want","nechceš","chtít","impf"," "" If you do n't want to go to the Cape, you do n't want to go to the Cape."," "" Když nechceš jet na Cape Cop, tak nechceš jet na Cape Cod, co nadělám."
"want","want","nechceš","chtít","impf"," "" If you do n't want to go to the Cape, you do n't want to go to the Cape."," "" Když nechceš jet na Cape Cop, tak nechceš jet na Cape Cod, co nadělám."
"go","go","jet","jet","impf"," "" If you do n't want to go to the Cape, you do n't want to go to the Cape."," "" Když nechceš jet na Cape Cop, tak nechceš jet na Cape Cod, co nadělám."
"go","go","jet","jet","impf"," "" If you do n't want to go to the Cape, you do n't want to go to the Cape."," "" Když nechceš jet na Cape Cop, tak nechceš jet na Cape Cod, co nadělám."
"dressed","dress","Oblečeš","obléci","pf"," Are you going to get dressed? """," Oblečeš se na to? """
"heard","hear","neslyšela","slyšet","impf"," She seemed not to have heard him."," Působila dojmem, že ho vůbec neslyšela."
"packed","pack","Sbalil","sbalit","pf"," He packed his bag and kissed Caroline."," Sbalil si tašku a políbil Carolinu na rozloučenou."
"kissed","kiss","políbil","políbit","pf"," He packed his bag and kissed Caroline."," Sbalil si tašku a políbil Carolinu na rozloučenou."
"said","say","prohlásila","prohlásit","pf"," "" I 'll be happy when you 're back, "" she said."," "" Budu ráda, až tě tu zase uvidím zpátky, "" prohlásila."
"go","go","šlo","jít","impf"," The problem was that his nervous system could no longer be relied on for an accurate assessment of his need to go."," Potíž byla v tom, že na Alfredovu nervovou soustavu se už nedalo spolehnout, pokud šlo o přesné načasování jeho potřeby vykonat potřebu."
"occur","occur","Nenapadlo","napadnout","pf"," It did n't occur to her that his performance at the pinochle table the day before had been staged for her benefit."," Nenapadlo ji, že to představení z předcházejícího dne, jež sehrál u karetního stolu, bylo určené jí."
"returned","return","vrátila","vrátit","pf"," Her head was clearer when she returned to the Generator."," Když se vrátila do Generátoru, měla hlavu o poznání čistší."
"saw","see","podívá","podívat","pf"," She saw that she was in the weeds on every front."," Zřetelně si uvědomila, že se brodí nevyřízenými záležitostmi, kam se jen podívá."
"enjoying","enjoy","chutná","chutnat","impf"," "" Al, are you enjoying this?"," "" Ale, chutná ti to?"
"took","take","Vzal","vzít","pf"," He took his left hand in his right and squeezed it."," Vzal levou ruku do pravé a stiskl ji."
"squeezed","squeeze","stiskl","stisknout","pf"," He took his left hand in his right and squeezed it."," Vzal levou ruku do pravé a stiskl ji."
"stared","stare","zíral","zírat","impf"," The mated hands continued their oscillation together while he stared at the sunflowers in the middle of the table."," Spojené ruce se klepaly dál společně, zatímco jejich majitel upřeně zíral na slunečnice uprostřed stolu."
"Thank","thank","Děkuju","děkovat","impf"," "" Thank you. """," "" Děkuju. """
"Thank","thank","Děkuju","děkovat","impf"," "" Thank you. """," "" Děkuju ti. """
"said","say","řekl","říci","pf"," "" I surrender, "" Gary said."," "" Vzdávám se, "" řekl ještě jednou."
"kick","kick","kopat","kopat","impf"," And it was clear to him that the rules permitted only genuine sharp kicks ( prohibited, in particular, working his foot under the padded mailer and advancing it with any sort of pushing or lofting motion ), and so he was obliged to kick his Christmas package from Denise with escalating savagery until it tore open and spilled its ground-newsprint stuffing and he succeeded in catching its ripped sheathing with the toe of his boot and launching the gift in a long clean arc that landed it one step shy of the second floor."," Navíc mu bylo jasné, že pravidla povolují pouze pořádné, tvrdé kopance ( zvlášť přísně bylo zakázané vsunout nohu pod tlustou obálku a postrčit ji taženým pohybem ), takže mu nezbývalo než kopat vánoční dárek od Denisy se vzrůstající zběsilostí tak dlouho, až se obálka roztrhla, vyhřezla vycpávka z rozstříhaného novinového papíru a Chipovi se podařilo zachytit špičkou nohy za její vnitřní okraj a dlouhým, čistým obloukem dárek umístit na předposlední schod prvního poschodí."
"tore","tear","roztrhla","roztrhnout","pf"," And it was clear to him that the rules permitted only genuine sharp kicks ( prohibited, in particular, working his foot under the padded mailer and advancing it with any sort of pushing or lofting motion ), and so he was obliged to kick his Christmas package from Denise with escalating savagery until it tore open and spilled its ground-newsprint stuffing and he succeeded in catching its ripped sheathing with the toe of his boot and launching the gift in a long clean arc that landed it one step shy of the second floor."," Navíc mu bylo jasné, že pravidla povolují pouze pořádné, tvrdé kopance ( zvlášť přísně bylo zakázané vsunout nohu pod tlustou obálku a postrčit ji taženým pohybem ), takže mu nezbývalo než kopat vánoční dárek od Denisy se vzrůstající zběsilostí tak dlouho, až se obálka roztrhla, vyhřezla vycpávka z rozstříhaného novinového papíru a Chipovi se podařilo zachytit špičkou nohy za její vnitřní okraj a dlouhým, čistým obloukem dárek umístit na předposlední schod prvního poschodí."
"ripped","rip","roztrhla","roztrhnout","pf"," And it was clear to him that the rules permitted only genuine sharp kicks ( prohibited, in particular, working his foot under the padded mailer and advancing it with any sort of pushing or lofting motion ), and so he was obliged to kick his Christmas package from Denise with escalating savagery until it tore open and spilled its ground-newsprint stuffing and he succeeded in catching its ripped sheathing with the toe of his boot and launching the gift in a long clean arc that landed it one step shy of the second floor."," Navíc mu bylo jasné, že pravidla povolují pouze pořádné, tvrdé kopance ( zvlášť přísně bylo zakázané vsunout nohu pod tlustou obálku a postrčit ji taženým pohybem ), takže mu nezbývalo než kopat vánoční dárek od Denisy se vzrůstající zběsilostí tak dlouho, až se obálka roztrhla, vyhřezla vycpávka z rozstříhaného novinového papíru a Chipovi se podařilo zachytit špičkou nohy za její vnitřní okraj a dlouhým, čistým obloukem dárek umístit na předposlední schod prvního poschodí."
"succeeded","succeed","podařilo","podařit","pf"," And it was clear to him that the rules permitted only genuine sharp kicks ( prohibited, in particular, working his foot under the padded mailer and advancing it with any sort of pushing or lofting motion ), and so he was obliged to kick his Christmas package from Denise with escalating savagery until it tore open and spilled its ground-newsprint stuffing and he succeeded in catching its ripped sheathing with the toe of his boot and launching the gift in a long clean arc that landed it one step shy of the second floor."," Navíc mu bylo jasné, že pravidla povolují pouze pořádné, tvrdé kopance ( zvlášť přísně bylo zakázané vsunout nohu pod tlustou obálku a postrčit ji taženým pohybem ), takže mu nezbývalo než kopat vánoční dárek od Denisy se vzrůstající zběsilostí tak dlouho, až se obálka roztrhla, vyhřezla vycpávka z rozstříhaného novinového papíru a Chipovi se podařilo zachytit špičkou nohy za její vnitřní okraj a dlouhým, čistým obloukem dárek umístit na předposlední schod prvního poschodí."
"catching","catch","zachytit","zachytit","pf"," And it was clear to him that the rules permitted only genuine sharp kicks ( prohibited, in particular, working his foot under the padded mailer and advancing it with any sort of pushing or lofting motion ), and so he was obliged to kick his Christmas package from Denise with escalating savagery until it tore open and spilled its ground-newsprint stuffing and he succeeded in catching its ripped sheathing with the toe of his boot and launching the gift in a long clean arc that landed it one step shy of the second floor."," Navíc mu bylo jasné, že pravidla povolují pouze pořádné, tvrdé kopance ( zvlášť přísně bylo zakázané vsunout nohu pod tlustou obálku a postrčit ji taženým pohybem ), takže mu nezbývalo než kopat vánoční dárek od Denisy se vzrůstající zběsilostí tak dlouho, až se obálka roztrhla, vyhřezla vycpávka z rozstříhaného novinového papíru a Chipovi se podařilo zachytit špičkou nohy za její vnitřní okraj a dlouhým, čistým obloukem dárek umístit na předposlední schod prvního poschodí."
"turned","turn","otočila","otočit","pf"," His sister turned and raised her face to him."," Sestra se otočila a zvedla k němu obličej."
"raised","raise","zvedla","zvednout","pf"," His sister turned and raised her face to him."," Sestra se otočila a zvedla k němu obličej."
"said","say","Říkám","říkat","impf"," "" I said I forgive the debt."," "" Říkám, že ti ten dluh odpouštím."
"owe","owe","nedlužíš","dlužit","impf"," You owe me nothing. """," Nic mi nedlužíš. """
"Appreciate","appreciate","oceňuju","oceňovat","impf"," "" Appreciate it, "" he said quickly, looking away."," "" Velmi to oceňuju, "" vyhrkl chvatně a uhnul pohledem."
"pay","pay","zaplatím","zaplatit","pf"," "" But I 'm going to pay you anyway. """," "" Ale stejně ti to zaplatím. """
"take","take","nevezmu","vzít","pf"," "" I 'm not going to take your money."," "" Žádné peníze si od tebe nevezmu."
"forgive","forgive","promíjím","promíjet","impf"," I forgive the debt."," Ten dluh ti promíjím."
"forgive","forgive","prominout","prominout","pf"," Do you know what ' forgive ' means? """," Víš, co znamená slovo ' prominout '? """
"sat","sit","posadil","posadit","pf"," Chip sat on a freezing guardrail and smoked and took comfort in the sturdy mediocrity of American commerce, the unpretending metal and plastic roadside hardware. The thunk of a gas-pump nozzle halting when a tank was filled, the humility and promptness of its service."," Chip se posadil na namrzlé svodidlo, pokuřoval a užíval si pohodlí, jež mu poskytovala toporná prostřednost amerického podnikání, nic nepředstírající kovová a umělohmotná zábrana u silnice."
"took","take","užíval","užívat","impf"," Chip sat on a freezing guardrail and smoked and took comfort in the sturdy mediocrity of American commerce, the unpretending metal and plastic roadside hardware. The thunk of a gas-pump nozzle halting when a tank was filled, the humility and promptness of its service."," Chip se posadil na namrzlé svodidlo, pokuřoval a užíval si pohodlí, jež mu poskytovala toporná prostřednost amerického podnikání, nic nepředstírající kovová a umělohmotná zábrana u silnice."
"find","find","Zjistíš","zjistit","pf"," "" You 'll find that some of the men take coffee breaks, "" Alfred told Denise in the pink of the rising sun, as they drove downtown on her first morning."," "" Zjistíš, že někteří chlapi si dělají přestávky na kafe, "" vykládal Alfred Denise, když spolu prvního dne ráno, s růžovým kotoučem brzkého ranního slunka v zádech, jeli autem do centra města."
"take","take","Zjistíš","zjistit","pf"," "" You 'll find that some of the men take coffee breaks, "" Alfred told Denise in the pink of the rising sun, as they drove downtown on her first morning."," "" Zjistíš, že někteří chlapi si dělají přestávky na kafe, "" vykládal Alfred Denise, když spolu prvního dne ráno, s růžovým kotoučem brzkého ranního slunka v zádech, jeli autem do centra města."
"told","tell","Zjistíš","zjistit","pf"," "" You 'll find that some of the men take coffee breaks, "" Alfred told Denise in the pink of the rising sun, as they drove downtown on her first morning."," "" Zjistíš, že někteří chlapi si dělají přestávky na kafe, "" vykládal Alfred Denise, když spolu prvního dne ráno, s růžovým kotoučem brzkého ranního slunka v zádech, jeli autem do centra města."
"take","take","dělají","dělat","impf"," "" You 'll find that some of the men take coffee breaks, "" Alfred told Denise in the pink of the rising sun, as they drove downtown on her first morning."," "" Zjistíš, že někteří chlapi si dělají přestávky na kafe, "" vykládal Alfred Denise, když spolu prvního dne ráno, s růžovým kotoučem brzkého ranního slunka v zádech, jeli autem do centra města."
"drove","drive","jeli","jet","impf"," "" You 'll find that some of the men take coffee breaks, "" Alfred told Denise in the pink of the rising sun, as they drove downtown on her first morning."," "" Zjistíš, že někteří chlapi si dělají přestávky na kafe, "" vykládal Alfred Denise, když spolu prvního dne ráno, s růžovým kotoučem brzkého ranního slunka v zádech, jeli autem do centra města."
"want","want","Chci","chtít","impf"," "" I want you to know they 're not paid to take coffee breaks."," "" Chci, abys věděla, že za přestávky na pití kafe je nikdo neplatí."
"paid","pay","neplatí","platit","impf"," "" I want you to know they 're not paid to take coffee breaks."," "" Chci, abys věděla, že za přestávky na pití kafe je nikdo neplatí."
"expect","expect","očekávám","očekávat","impf"," I expect you not to take coffee breaks yourself."," Od tebe očekávám, že si pauzy na kávu dělat nebudeš."
"take","take","dělat","dělat","impf"," I expect you not to take coffee breaks yourself."," Od tebe očekávám, že si pauzy na kávu dělat nebudeš."
"paying","pay","platí","platit","impf"," The railroad is doing us a favor by hiring you, and it 's paying you to work eight hours."," Společnost nám vyšla vstříc tím, že tě přijala, a platí tě za to, že osm hodin denně pracuješ."
"work","work","pracuješ","pracovat","impf"," The railroad is doing us a favor by hiring you, and it 's paying you to work eight hours."," Společnost nám vyšla vstříc tím, že tě přijala, a platí tě za to, že osm hodin denně pracuješ."
"want","want","Chci","chtít","impf"," I want you to remember that."," Chci, aby sis to pamatovala."
"remember","remember","pamatovala","pamatovat","impf"," I want you to remember that."," Chci, aby sis to pamatovala."
"said","say","prohlásil","prohlásit","pf"," "" Let 's meet up in New York, "" Chip said."," "" Takže si dáme sraz v New Yorku, "" prohlásil Chip."
"throw","throw","házet","házet","impf"," Only a few stragglers remained to throw rocks at the Stomper as Jonas and Chip roared through the open gate."," Když Jonas s Chipem vyrazili otevřenou bránou ven, stálo venku už jen pár neznámých lidí, ale ti nelenili a začali po stomperu házet kameny."
"left","leave","svěřil","svěřit","pf"," The house belonged to the high-school drama teacher, Henry Dusinberre, who 'd left his campy Abyssinian banana and gaudy crotons and tongue-in-cheek potted palms in his favorite student 's care while he spent a month with his mother in New Orleans."," Dům patřil středoškolskému učiteli dramatické tvorby Henrymu Dusinberrovi, jenž svěřil své praštěné habešské banánovníky, křiklavé krotony a poťouchlé zakrslé palmy do péče své nejmilejší studentky a odjel za matkou, aby s ní strávil v New Orleansu celý měsíc."
"left","leave","odjel","odjet","pf"," The house belonged to the high-school drama teacher, Henry Dusinberre, who 'd left his campy Abyssinian banana and gaudy crotons and tongue-in-cheek potted palms in his favorite student 's care while he spent a month with his mother in New Orleans."," Dům patřil středoškolskému učiteli dramatické tvorby Henrymu Dusinberrovi, jenž svěřil své praštěné habešské banánovníky, křiklavé krotony a poťouchlé zakrslé palmy do péče své nejmilejší studentky a odjel za matkou, aby s ní strávil v New Orleansu celý měsíc."
"spent","spend","strávil","strávit","pf"," The house belonged to the high-school drama teacher, Henry Dusinberre, who 'd left his campy Abyssinian banana and gaudy crotons and tongue-in-cheek potted palms in his favorite student 's care while he spent a month with his mother in New Orleans."," Dům patřil středoškolskému učiteli dramatické tvorby Henrymu Dusinberrovi, jenž svěřil své praštěné habešské banánovníky, křiklavé krotony a poťouchlé zakrslé palmy do péče své nejmilejší studentky a odjel za matkou, aby s ní strávil v New Orleansu celý měsíc."
"compared","compare","porovnávali","porovnávat","impf"," They had middle-aged faces and megaphonic voices with which they compared math curricula or reminisced about that time they went to Rehoboth Beach and got so wasted."," Měli středostavovské obličeje a pronikavě zvučné hlasy, jako by křičeli do megafonů, a halasně porovnávali obsah jednotlivých kurzů z matematiky nebo vykřikovali, jak tuhle jeli na pláž Rehoboth a jak se tam děsně zbourali."
"went","go","jeli","jet","impf"," They had middle-aged faces and megaphonic voices with which they compared math curricula or reminisced about that time they went to Rehoboth Beach and got so wasted."," Měli středostavovské obličeje a pronikavě zvučné hlasy, jako by křičeli do megafonů, a halasně porovnávali obsah jednotlivých kurzů z matematiky nebo vykřikovali, jak tuhle jeli na pláž Rehoboth a jak se tam děsně zbourali."
"wanted","want","chtěl","chtít","impf"," "" Something I wanted to ask you, "" Doug said."," "" Na něco jsem se tě chtěl zeptat, "" pokračoval Doug."
"ask","ask","zeptat","zeptat","pf"," "" Something I wanted to ask you, "" Doug said."," "" Na něco jsem se tě chtěl zeptat, "" pokračoval Doug."
"tearing","tear","trhat","trhat","impf"," The salmon paper was sweat-bonded to Chip 's skin and tearing open at the bottom."," Rozmáčený papír, do něhož byl losos zabalený, se lepil Chipovi na zpocené tělo a začal se na dolním okraji trhat."
"acted","act","dělám","dělat","impf"," "" I 'm feeling good about the fact that it 's the first time in my life I 've ever acted self-interestedly in a relationship. """," "" Mám dobrý pocit z toho, že poprvé v životě v nějakém vztahu dělám to, co je skutečně v mém zájmu. """
"reading","read","četla","číst","impf"," Is Eden reading it? """," Už ho Eden četla? """
"think","think","Myslím","myslet","impf"," "" I think maybe this weekend sometime. """," "" Myslím, že to zvládne někdy během tohoto víkendu. """
"read","read","četla","číst","impf"," "" I read, urn. "" Julia looked away."," "" No - já už to četla, "" Julie uhnula pohledem."
"burning","burn","svítila","svítit","impf"," His nightstand light was still burning, but otherwise the room was dark."," Lampička na jeho nočním stolku vytrvale svítila, ale jinak byla v pokoji tma."
"lay","lie","ležela","ležet","impf"," Caroline lay in sarcophagal posture, her back flat on the mattress and a pillow beneath her knees."," Caroline ležela na zádech jako mumie v sarkofágu a polštář měla podložený pod koleny."
"stirred","stir","nehnul","hnout","pf"," No wind stirred the leaves of the sycamore whose lowest branches hung outside the windows."," Na nejnižších větvích platanu, jež dosahovaly až k oknu, se nehnul ani lístek."
"found","find","Našla","najít","pf"," She found Robin on the other porch, cutting Erin 's toenails."," Našla Robin na druhé verandě, kde žena stříhala Erin nehty na nohou."
"said","say","prohlásila","prohlásit","pf"," "" I just realized, "" she said, "" that I 've been making dinner and you already made it."," "" Teď jsem zjistila, "" prohlásila Denisa, "" že jsem chystala večeři, a vy jste ji přitom už připravila."
"making","make","připravila","připravit","pf"," "" I just realized, "" she said, "" that I 've been making dinner and you already made it."," "" Teď jsem zjistila, "" prohlásila Denisa, "" že jsem chystala večeři, a vy jste ji přitom už připravila."
"made","make","připravila","připravit","pf"," "" I just realized, "" she said, "" that I 've been making dinner and you already made it."," "" Teď jsem zjistila, "" prohlásila Denisa, "" že jsem chystala večeři, a vy jste ji přitom už připravila."
"tell","tell","neřekl","říci","pf"," Brian did n't tell me. """," Brian mi to neřekl. """
"Say","say","Říká","říkat","impf"," "" Say broke, sweetie, not busted. """," "" Říká se prasklo, drahoušku, ne prdlo. """
"get","get","sehnat","sehnat","pf"," "" Would n't it be neat to get an M-80 and put it in your jail and blow it up? """," "" Že by bylo bezvadný sehnat em osmdesátku, strčit ji do toho tvýho vězení a vyhodit ho do vzduchu? """
"blow","blow","vyhodit","vyhodit","pf"," "" Would n't it be neat to get an M-80 and put it in your jail and blow it up? """," "" Že by bylo bezvadný sehnat em osmdesátku, strčit ji do toho tvýho vězení a vyhodit ho do vzduchu? """
"expect","expect","předpokládáme","předpokládat","impf"," We have a six-year track record of positive cash flows and a revenue stream that we expect to top eighty million dollars in the coming year."," Můžeme doložit šest let pozitivního vývoje v oblasti příjmů a nákladů a předpokládáme, že v příštím roce dosáhneme výnosů ve výši osmi milionů dolarů."
"raise","raise","získat","získat","pf"," Potential investors may rest assured that every penny of every dollar we raise on December 15 will be spent on developing this marvelous and potentially historic product."," Potenciální investoři si mohou být jisti, že každý dolar, který se nám podaří získat do 15. prosince, vynaložíme na další rozvoj tohoto úžasného a v zásadě historicky významného produktu. """
"spent","spend","vynaložíme","vynaložit","pf"," Potential investors may rest assured that every penny of every dollar we raise on December 15 will be spent on developing this marvelous and potentially historic product."," Potenciální investoři si mohou být jisti, že každý dolar, který se nám podaří získat do 15. prosince, vynaložíme na další rozvoj tohoto úžasného a v zásadě historicky významného produktu. """
"begged","beg","prosil","prosit","impf"," The Midpac 's spokesman begged all concerned St. Judeans to write or call their congressmen ..."," Mluvčí Midpaku prosil všechny uvědomělé občany Svatého Judy, aby napsali nebo zavolali svým kongresmanům ..."
"write","write","napsali","napsat","pf"," The Midpac 's spokesman begged all concerned St. Judeans to write or call their congressmen ..."," Mluvčí Midpaku prosil všechny uvědomělé občany Svatého Judy, aby napsali nebo zavolali svým kongresmanům ..."
"call","call","zavolali","zavolat","pf"," The Midpac 's spokesman begged all concerned St. Judeans to write or call their congressmen ..."," Mluvčí Midpaku prosil všechny uvědomělé občany Svatého Judy, aby napsali nebo zavolali svým kongresmanům ..."
"saw","see","zahlédla","zahlédnout","pf"," She saw bright pink and felt the blast of thunder on her skin."," Dívka zahlédla ostrý růžový záblesk a ucítila horký dech blesku na kůži."
"felt","feel","ucítila","ucítit","pf"," She saw bright pink and felt the blast of thunder on her skin."," Dívka zahlédla ostrý růžový záblesk a ucítila horký dech blesku na kůži."
"ran","run","prchaly","prchat","impf"," Secretaries ran screaming through the little park."," Přes parčík s ječením prchaly sekretářky."
"turned","turn","otočila","otočit","pf"," Denise turned on her heel and took her book and her sandwich and her plum back up to the twelfth floor, where every day two tables of pinochle formed."," Denisa se otočila na podpatku a knížku, obložený chléb a bonbony si odnesla zpátky do dvanáctého podlaží, kde se každý den vytvořily dva stoly obklopené hráči binoklu."
"formed","form","vytvořily","vytvořit","pf"," Denise turned on her heel and took her book and her sandwich and her plum back up to the twelfth floor, where every day two tables of pinochle formed."," Denisa se otočila na podpatku a knížku, obložený chléb a bonbony si odnesla zpátky do dvanáctého podlaží, kde se každý den vytvořily dva stoly obklopené hráči binoklu."
"put","put","dát","dát","pf"," He said the only sure way to rule out dementia would be to put Alfred in the hospital for a ten-day "" drug holiday. """," Dodal, že jediný jistý způsob, jak určit, jestli Alfred trpí slabomyslností, je dát ho do nemocnice na desetidenní "" prázdniny "", kdy nebude brát žádné léky."
"mention","mention","nezmínila","zmínit","pf"," Enid, in her shame, did n't mention to Hedgpeth that she was leery of hospitals now."," Enid, zmítaná studem, se Hedgpethovi nezmínila o tom, že se dívá na nemocnice s krajním podezřením."
"taught","teach","Učila","učit","impf"," She taught them how to make spinach pasta and how to tango."," Učila je, jak se vyrábějí špenátové těstoviny a jak se tancuje tango."
"make","make","vyrábějí","vyrábět","impf"," She taught them how to make spinach pasta and how to tango."," Učila je, jak se vyrábějí špenátové těstoviny a jak se tancuje tango."
"listened","listen","Poslouchala","poslouchat","impf"," She listened to Erin recite the U.S. presidents in order."," Poslouchala, jak Erin odříkává jednotlivé prezidenty Spojených států, jak byli za sebou v Bílém domě."
"joined","join","přidala","přidat","pf"," She joined Sinead in raiding drawers for costumes."," A když se Sinéad probírala prádelníky, aby našla něco na sebe, Denisa se k ní přidala."
"said","say","prohlásila","prohlásit","pf"," "" Of course they love you "" she said."," "" Jasně že mají rády tebe, "" prohlásila."
"trying","try","nesnažíš","snažit","impf"," "" You 're not trying to comb the tangles out of Sinead 's hair."," "" Ty se nesnažíš vyčesat Sinéad z vlasů uzlíky."
"refused","refuse","odmítala","odmítat","impf"," From there, however, the mailer refused to be budged up over the lip of the final step."," Tam se ale obálka uhnízdila a odmítala se nechat vyhodit na poslední schod."
"kicked","kick","kopal","kopat","impf"," Chip trampled and kicked and shredded the mailer with his heels."," Chip nabíral, kopal a postrkával dárek podpatky."
"broke","break","Porušil","porušit","pf"," He broke his own rule and scraped the mess up over the last step, kicked it down the hall, and left it by his bed while he went down for the other boxes."," Porušil vlastní pravidla hry, vytáhl obálku na poslední schod, kopl ji přes chodbu a nechal ji ležet u postele, aby se vrátil dolů pro zbývající krabice."
"kicked","kick","kopl","kopnout","pf"," He broke his own rule and scraped the mess up over the last step, kicked it down the hall, and left it by his bed while he went down for the other boxes."," Porušil vlastní pravidla hry, vytáhl obálku na poslední schod, kopl ji přes chodbu a nechal ji ležet u postele, aby se vrátil dolů pro zbývající krabice."
"broke","break","nechal","nechat","pf"," He broke his own rule and scraped the mess up over the last step, kicked it down the hall, and left it by his bed while he went down for the other boxes."," Porušil vlastní pravidla hry, vytáhl obálku na poslední schod, kopl ji přes chodbu a nechal ji ležet u postele, aby se vrátil dolů pro zbývající krabice."
"left","leave","nechal","nechat","pf"," He broke his own rule and scraped the mess up over the last step, kicked it down the hall, and left it by his bed while he went down for the other boxes."," Porušil vlastní pravidla hry, vytáhl obálku na poslední schod, kopl ji přes chodbu a nechal ji ležet u postele, aby se vrátil dolů pro zbývající krabice."
"went","go","šla","jít","impf"," Unfortunately, when she went to cook the bacon she discovered there were only three strips, not the six or eight she 'd imagined."," Když šla připravit slaninu, zjistila ke své nelibosti, že v sáčku jsou jen tři plátky, a ne šest nebo osm, jak si představovala."
"cook","cook","připravit","připravit","pf"," Unfortunately, when she went to cook the bacon she discovered there were only three strips, not the six or eight she 'd imagined."," Když šla připravit slaninu, zjistila ke své nelibosti, že v sáčku jsou jen tři plátky, a ne šest nebo osm, jak si představovala."
"discovered","discover","zjistila","zjistit","pf"," Unfortunately, when she went to cook the bacon she discovered there were only three strips, not the six or eight she 'd imagined."," Když šla připravit slaninu, zjistila ke své nelibosti, že v sáčku jsou jen tři plátky, a ne šest nebo osm, jak si představovala."
"imagined","imagine","představovala","představovat","impf"," Unfortunately, when she went to cook the bacon she discovered there were only three strips, not the six or eight she 'd imagined."," Když šla připravit slaninu, zjistila ke své nelibosti, že v sáčku jsou jen tři plátky, a ne šest nebo osm, jak si představovala."
"paying","pay","platí","platit","impf"," So whatever they 're paying you now, I will double."," Takže ať vám v tuhle chvíli platí jakoukoliv částku, ode mne dostanete dvojnásobek."
"go","go","odjedete","odjet","pf"," And then you go to Europe and eat for a couple of months at my expense."," A pak odjedete do Evropy a budete tam pár měsíců žít na moje útraty."
"find","find","nenajdete","najít","pf"," "" You 're going to lose vast amounts of money, "" Denise replied, "" if you do n't find an experienced partner or an exceptionally good manager. """," "" Pokud nenajdete zkušeného společníka nebo mimořádně schopného manažera, "" odpověděla Denisa, "" bude vás to stát neuvěřitelnou spoustu peněz. """
"replied","reply","odpověděla","odpovědět","pf"," "" You 're going to lose vast amounts of money, "" Denise replied, "" if you do n't find an experienced partner or an exceptionally good manager. """," "" Pokud nenajdete zkušeného společníka nebo mimořádně schopného manažera, "" odpověděla Denisa, "" bude vás to stát neuvěřitelnou spoustu peněz. """
"Tell","tell","Řekněte","říci","pf"," "" Tell me what to do, and I 'll do it, "" Brian said."," "" Řekněte mi, co mám udělat, a já to udělám, "" nedal se Brian."
"said","say","Řekněte","říci","pf"," "" Tell me what to do, and I 'll do it, "" Brian said."," "" Řekněte mi, co mám udělat, a já to udělám, "" nedal se Brian."
"do","do","udělat","udělat","pf"," "" Tell me what to do, and I 'll do it, "" Brian said."," "" Řekněte mi, co mám udělat, a já to udělám, "" nedal se Brian."
"do","do","udělat","udělat","pf"," "" Tell me what to do, and I 'll do it, "" Brian said."," "" Řekněte mi, co mám udělat, a já to udělám, "" nedal se Brian."
"do","do","udělám","udělat","pf"," "" Tell me what to do, and I 'll do it, "" Brian said."," "" Řekněte mi, co mám udělat, a já to udělám, "" nedal se Brian."
"do","do","udělám","udělat","pf"," "" Tell me what to do, and I 'll do it, "" Brian said."," "" Řekněte mi, co mám udělat, a já to udělám, "" nedal se Brian."
"said","say","Říkal","říkat","impf"," "" ' Double, ' you said? """," "" Říkal jste "" dvojnásobek '? """
"see","see","podívat","podívat","pf"," She was shocked when she went to see the progress that Brian 's team had made at the Generator in her absence."," Když se přijela podívat, jak Brianův tým pokročil během její nepřítomnosti na přestavbě Generátoru, byla v šoku."
"insisted","insist","netrvala","trvat","impf"," She wished that she 'd insisted on an ordinary plain space in which her food could shine alone."," Mrzelo ji, že netrvala na obyčejném nevýrazném řešení, v němž by jako jediné zářilo její jídlo."
"shine","shine","zářilo","zářit","impf"," She wished that she 'd insisted on an ordinary plain space in which her food could shine alone."," Mrzelo ji, že netrvala na obyčejném nevýrazném řešení, v němž by jako jediné zářilo její jídlo."
"bought","buy","koupila","koupit","pf"," In a badly blighted section of Point Breeze, less than a mile south of their new house, she bought a vacant city block with a single derelict row house standing on one corner."," Ve velmi nevlídné části Point Breeze, ani ne míli na jih od jejich nového domu, koupila prázdnou parcelu s jediným poničeným řadovým domkem stojícím v jednom rohu celého bloku."
"bought","buy","pořídila","pořídit","pf"," She also bought five truck-loads of humus and good liability insurance."," Navíc pořídila pět náklaďáků humusu a dobré pojištění na ručení za škody."
"hire","hire","najmout","najmout","pf"," Her plan was to hire local teenagers at minimum wage, teach them the rudiments of organic gardening, and let them share the profits from whatever vegetables they could sell."," Měla v plánu najmout za minimální mzdu místní výrostky, naučit je základům pěstování rostlin a dělit se s nimi o všechny výnosy z prodeje zeleniny, která se jim případně urodí."
"teach","teach","naučit","naučit","pf"," Her plan was to hire local teenagers at minimum wage, teach them the rudiments of organic gardening, and let them share the profits from whatever vegetables they could sell."," Měla v plánu najmout za minimální mzdu místní výrostky, naučit je základům pěstování rostlin a dělit se s nimi o všechny výnosy z prodeje zeleniny, která se jim případně urodí."
