"draw","draw","nenakreslí","nakreslit","pf"," All right - on House-Tree-Person, look for someone who did n't draw the female figure first."," V testu lidské postavy hledejte toho, který nenakreslí jako první postavu svého rodokmenu ženu."
"saw","see","spatřil","spatřit","pf"," "" No press, "" Sergeant Tate said when he saw Starling."," "" Tisku vstup zakázán, "" řekl seržant Tate, jakmile Starlingovou spatřil."
"said","say","řekla","říci","pf"," "" No, "" she said."," "" Nejsem od tisku, "" řekla."
"said","say","řekla","říci","pf"," "" Deputy Assistant Attorney General Krendler, "" she said."," "" Zástupce generálního prokurátora, generál Krendler, "" řekla."
"nodded","nod","Přikývl","přikývnout","pf"," He nodded."," Přikývl."
"wanting","want","chtějí","chtít","impf"," "" We 've had every kind of cop in West Tennessee in here wanting to look at Dr. Lecter."," "" Už tady byli snad všichni policajti ze západu Tennessee a všichni chtějí jenom vidět doktora Lectera."
"turned","turn","obrátila","obrátit","pf"," Starling pulled on a pair of cotton gloves and turned the jewelry box around."," Starlingová si navlékla bavlněné rukavice a šperkovnici obrátila."
"noticed","notice","všimla","všimnout","pf"," She noticed it because it resembled the parcel delivery trucks which often brought presents from her mother."," Dodávky si všimla hned, protože jí připomínala službu na rozvážení balíčků, která jí často něco přivážela od matky."
"resembled","resemble","připomínala","připomínat","impf"," She noticed it because it resembled the parcel delivery trucks which often brought presents from her mother."," Dodávky si všimla hned, protože jí připomínala službu na rozvážení balíčků, která jí často něco přivážela od matky."
"brought","bring","přivážela","přivážet","impf"," She noticed it because it resembled the parcel delivery trucks which often brought presents from her mother."," Dodávky si všimla hned, protože jí připomínala službu na rozvážení balíčků, která jí často něco přivážela od matky."
"passed","pass","míjela","míjet","impf"," As she passed near the truck, a lamp came on in the fog."," Když dodávku míjela, problesklo mlhou světlo."
"chose","choose","rozhodl","rozhodnout","pf"," You chose to speak to me."," Vy jste se rozhodl, že se mnou budete mluvit."
"speak","speak","mluvit","mluvit","impf"," You chose to speak to me."," Vy jste se rozhodl, že se mnou budete mluvit."
"think","think","domníváte","domnívat","impf"," Or maybe you do n't think you could help. """," Nebo se domníváte, že nám nemáte co nabídnout? """
"think","think","nemáte","mít","impf"," Or maybe you do n't think you could help. """," Nebo se domníváte, že nám nemáte co nabídnout? """
"kidnapped","kidnap","unesl","unést","pf"," Sometimes she could think : she knew she was kidnapped, but she did n't know by whom."," Pochopila, že ji někdo unesl, ale nevěděla kdo."
"hear","hear","slyšela","slyšet","impf"," She knew she was n't dreaming; in the absolute dark she could hear the tiny clicks her eyes made when she blinked."," Věděla, že nespí - v naprosté tmě slyšela dokonce i slabý zvuk svých mrkajících víček."
"collecting","collect","sbírali","sbírat","impf"," One time we were collecting in Sabah, Borneo, and they 'd come to the light behind the youth hostel."," Jednou jsme sbírali vzorky v Sabahu na Borneu a přiletěli v noci za světlem na ubytovnu."
"come","come","přiletěli","přiletět","pf"," One time we were collecting in Sabah, Borneo, and they 'd come to the light behind the youth hostel."," Jednou jsme sbírali vzorky v Sabahu na Borneu a přiletěli v noci za světlem na ubytovnu."
"hear","hear","poslouchat","poslouchat","impf"," It was weird to hear them, we 'd be - """," Bylo to dost hrozné je poslouchat, docela ... """
"come","come","přišli","přijít","pf"," "" Where did this one come from? """," "" Jak jste přišli k tomuhle? """
"traded","trade","vyměnili","vyměnit","pf"," I do n't know what we traded."," Už ani nevím, za co jsme ho vyměnili."
"came","come","udělal","udělat","pf"," You came back to him because you were so impressed that he could predict Buffalo Bill would start scalping."," Vracíte se za ním proto, že na vás udělal obrovský dojem tím, jak předpověděl, že Bill začne své oběti skalpovat."
"predict","predict","předpověděl","předpovědět","pf"," You came back to him because you were so impressed that he could predict Buffalo Bill would start scalping."," Vracíte se za ním proto, že na vás udělal obrovský dojem tím, jak předpověděl, že Bill začne své oběti skalpovat."
"start","start","začne","začít","pf"," You came back to him because you were so impressed that he could predict Buffalo Bill would start scalping."," Vracíte se za ním proto, že na vás udělal obrovský dojem tím, jak předpověděl, že Bill začne své oběti skalpovat."
"get","get","koupit","koupit","pf"," Lycra panels beneath plackets on both sides - he must remember to get the Lycra - and a Velcro closure beneath the placket on the right."," Vsazené díly z lycry za rozparky po obou stranách - nesmí zapomenout koupit lycru - a za rozparkem na pravé straně zapínání velcro."
"thought","think","vzpomenout","vzpomenout","pf"," He thought about those marvelous Charles James gowns where the seams were staggered to lie perfectly flat."," Znovu si musel vzpomenout na ty fantastické noční košile od Charlese Jamese, kde byly švy ušité tak zubatě, že byly úplně ploché a nebyly na dotek vůbec patrné."
"covered","cover","zakryje","zakrýt","pf"," The dart in back would be covered by his hair, or rather the hair he would have soon."," Klín vzadu uprostřed zakryje svými vlasy, tedy spíše těmi vlasy, které bude brzy mít."
"discovered","discover","našli","najít","pf"," But are these dates backward or, no, the second body was discovered first."," Ale data jsou obráceně, nebo ... ne, druhou oběť našli jako první."
"said","say","řekla","říci","pf"," "" There 's nothing here he 'll ever have to eat, "" Starling said."," "" Není tam nic, z čeho by mohl mít někdy nepříjemnosti, "" řekla Starlingová."
"mistaken","mistake","spletl","splést","pf"," At the worst he 'd just be mistaken."," Přinejhorším se jen spletl."
"hope","hope","Doufám","doufat","impf"," I hope this is true."," Doufám, že nelže."
"met","meet","setkal","setkat","pf"," Have you ever ... met him? """," Už jste se ... s ním někdy setkal? """
"do","do","Udělala","udělat","pf"," I got it before you had the seminar at UVA - before I decided to do this. """," Udělala jsem si ho před vaším seminářem na univerzitě - ještě než jsem se rozhodla pro tohle. """
"decided","decide","rozhodla","rozhodnout","pf"," I got it before you had the seminar at UVA - before I decided to do this. """," Udělala jsem si ho před vaším seminářem na univerzitě - ještě než jsem se rozhodla pro tohle. """
"breathed","breathe","dýchala","dýchat","impf"," Her navy suit breathed power."," Z jejího tmavomodrého kostýmu dýchala síla."
"sat","sit","seděl","sedět","impf"," Dr. Hannibal Lecter sat alone in the middle of the room in a stout oak armchair bolted to the floor."," Dr. Hannibal Lecter seděl sám uprostřed místnosti v obrovském dubovém křesle připevněném k podlaze."
"hear","hear","zaslechla","zaslechnout","pf"," She twitched the string to hear the bucket handle rattle against the wood above her."," Škubla provázkem, aby zaslechla ucho kbelíku - zarachotil na dřevěném poklopu."
"ask","ask","prosím","prosit","impf"," I 'll ask you nicely - we 'll start with that."," Pěkně vás prosím - musíme vycházet ze současné situace."
"took","take","Vzali","vzít","pf"," They took his court papers. """," Vzali si soudní spisy. """
"want","want","potřebuju","potřebovat","impf"," "" I want it all and I 'm in a hell of a hurry. """," "" Hrozně je všechny potřebuju a strašně pospíchám. """
"considered","consider","přemýšlel","přemýšlet","impf"," He considered her for a second."," Chvilinku přemýšlel."
"spinning","spin","otáčet","otáčet","impf"," Then it was spinning at slow speed for clarity, sending the dead woman 's prints simultaneously to the FBI wire room and major police department wire rooms in the East."," Válec se začal pomalu otáčet, rychlost byla velmi nízká kvůli zřetelnosti a otisky prstů této mrtvé ženy simultánně vybíhaly v centrále FBI a v hlavních policejních odděleních na východě USA."
"hear","hear","zaslechl","zaslechnout","pf"," In fact, he had to strain a bit to hear the voice of the late Benjamin Raspail."," Když se trochu soustředil, zaslechl i hlas Benjamina Raspaila."
"lying","lie","leží","ležet","impf"," Here was the fat flutist on the last day of his life, lying on Lecter 's therapy couch, telling him about Jame Gumb :"," Tady je, tlustý flétnista v poslední den svého života, leží na terapeutickém lehátku dr. Lectera a vykládá o Jame Gumbovi."
"confirm","confirm","potvrdí","potvrdit","pf"," If you identify Buffalo Bill and the girl is found in time, Senator Martin - and she 'll confirm this by telephone - Senator Martin will have you installed in Brushy Mountain State Prison in Tennessee, out of the reach of the Maryland authorities."," Pokud identifikuješ Buffalo Billa a děvče bude nalezeno včas, senátorka Martinová - a to mi ještě telefonicky potvrdí - senátorka Martinová tě nechá přemístit do státního vězení v Brushy Mountain ve státě Tennessee mimo dosah marylandských úřadů."
"get","get","Dostaneš","dostat","pf"," You get books."," Dostaneš knihy."
"wearing","wear","měl","mít","impf"," Picturing Krendler now in her mind, she saw him wearing Navy oxfords on his feet like the mayor, her father 's boss, coming to collect the watchman 's clock."," Když teď na Krendlera vzpomínala, měl tmavomodré šněrovací polobotky na nohou jako ten starosta, šéf jejího otce, co přišel do nemocnice vyzvednout píchačky a placku po tátovi."
"saw","see","přišel","přijít","pf"," Picturing Krendler now in her mind, she saw him wearing Navy oxfords on his feet like the mayor, her father 's boss, coming to collect the watchman 's clock."," Když teď na Krendlera vzpomínala, měl tmavomodré šněrovací polobotky na nohou jako ten starosta, šéf jejího otce, co přišel do nemocnice vyzvednout píchačky a placku po tátovi."
"coming","come","přišel","přijít","pf"," Picturing Krendler now in her mind, she saw him wearing Navy oxfords on his feet like the mayor, her father 's boss, coming to collect the watchman 's clock."," Když teď na Krendlera vzpomínala, měl tmavomodré šněrovací polobotky na nohou jako ten starosta, šéf jejího otce, co přišel do nemocnice vyzvednout píchačky a placku po tátovi."
"collect","collect","vyzvednout","vyzvednout","pf"," Picturing Krendler now in her mind, she saw him wearing Navy oxfords on his feet like the mayor, her father 's boss, coming to collect the watchman 's clock."," Když teď na Krendlera vzpomínala, měl tmavomodré šněrovací polobotky na nohou jako ten starosta, šéf jejího otce, co přišel do nemocnice vyzvednout píchačky a placku po tátovi."
"bear","bear","vydržet","vydržet","pf"," The man was under more strain than anyone should have to bear."," Ten člověk byl pod větším tlakem, než by kdokoli jiný mohl vůbec vydržet."
"pushed","push","strčila","strčit","pf"," Starling pushed the door open."," Clarice strčila do dveří, aby se otevřely."
"turned","turn","otáčela","otáčet","impf"," Starling, veteran yard-sale decorator, stood in the center of the room and turned slowly around."," Starlingová, která tradičně aranžovala věci na školních burzách, stála uprostřed pokoje a pomalu se otáčela."
"see","see","viděla","vidět","impf"," She could see."," Už viděla dobře."
"catch","catch","zachytit","zachytit","pf"," Could she snag it with the jumpsuit, catch something with the towel."," Může se za ní kombinézou nějak zachytit nebo se něčeho chytit ručníkem?"
"catch","catch","chytit","chytit","pf"," Could she snag it with the jumpsuit, catch something with the towel."," Může se za ní kombinézou nějak zachytit nebo se něčeho chytit ručníkem?"
"Do","do","Dělej","dělat","impf"," Do something hell."," Dělej něco, krucinál."
"see","see","zahlédla","zahlédnout","pf"," A crack in the cement a foot above her reach, the only blemish she could see."," Jediné, co zahlédla, byla štěrbina v cementu asi třicet centimetrů nad místem, kam ještě dosáhla."
"tied","tie","svázala","svázat","pf"," She rolled the futon as tightly as she could and tied the roll with the towel."," Srolovala matraci, jak to šlo nejpevněji, a roli svázala ručníkem."
"hung","hang","visely","viset","impf"," On a coat tree nearby hung the doctor 's things - the hockey mask and something Starling had never seen before, a Kansas gallows vest."," Na věšáku poblíž visely dokotorovy věci : hokejová maska a něco, co Starlingová nikdy dříve neviděla - kansaskou šibeniční svěrací kazajku."
"seen","see","neviděla","vidět","impf"," On a coat tree nearby hung the doctor 's things - the hockey mask and something Starling had never seen before, a Kansas gallows vest."," Na věšáku poblíž visely dokotorovy věci : hokejová maska a něco, co Starlingová nikdy dříve neviděla - kansaskou šibeniční svěrací kazajku."
"made","make","vytvářely","vytvářet","impf"," The mask and the black vest suspended by its nape from the coat tree made a disturbing composition against the white wall."," Maska a černá kazajka, pověšená za týl na věšáku, vytvářely na bílém pozadí dost iritující kompozici."
"see","see","spatřila","spatřit","pf"," Starling could see Dr. Lecter as she approached the cell."," Starlingová spatřila dr. Lectera, když se blížila k cele."
"approached","approach","blížila","blížit","impf"," Starling could see Dr. Lecter as she approached the cell."," Starlingová spatřila dr. Lectera, když se blížila k cele."
"hear","hear","slyším","slyšet","impf"," Be quiet so I can hear."," Buď zticha, ať ho slyším."
"Try","try","Zkus","zkusit","pf"," Try and shut that dog up. """," Zkus to a taky utiš toho psa. """
"covering","cover","kryla","krýt","impf"," Braced behind the well, covering the door, her heart pounded and her breath blew dust off the stone."," Zaujala útočný postoj za studnou, kryla dveře, srdce jí bušilo a její dech vířil prach na kamenech."
"pounded","pound","bušilo","bušit","impf"," Braced behind the well, covering the door, her heart pounded and her breath blew dust off the stone."," Zaujala útočný postoj za studnou, kryla dveře, srdce jí bušilo a její dech vířil prach na kamenech."
"did","do","jít","jít","impf"," She could not leave Catherine Martin to get help when she did n't know where Gumb was."," Teď nemohla jít pryč a hledat pomoc pro Kateřinu Martinovou, když nevěděla, kde je Gumb."
"moved","move","Pohnula","pohnout","pf"," She moved up to the door and took cover behind the frame."," Pohnula se ke dveřím a zůstala před nimi stát."
"see","see","Viděla","vidět","impf"," She could see across the foot of the stairs and into part of the workroom beyond."," Viděla trochu na schodiště a trochu do pracovny za ním."
"looked","look","podíval","podívat","pf"," With two pounds ' pressure on a nine-pound trigger, he looked inside the car."," S tlakem dvou liber na devítilibrovou spoušť se podíval do výtahu."
"posted","post","postavil","postavit","pf"," He posted a man on three and moved up."," Do třetího patra postavil jednu hlídku a pokračovali nahoru."
"coming","come","přicházela","přicházet","impf"," Four was flooded with the music of the piano coming from above."," Čtvrtým patrem se rozléhala hudba klavíru, která přicházela shora."
"opened","open","otevřely","otevřít","pf"," The door into the offices opened at a push."," Když zatlačili do dveří vedoucích ke kancelářím, otevřely se."
"shined","shine","svítil","svítit","impf"," Beyond the offices, the beam of the long flashlight shined on a door open wide into the great dark building beyond."," Za kancelářemi svítil dlouhý pruh světla na otevřené dveře vedoucí do temné vedlejší budovy."
"advise","advise","radit","radit","impf"," I would n't advise you at all."," Nebudu vám už radit."
"tried","try","Pokusila","pokusit","pf"," You tried to fool me, Clarice."," Pokusila jste se mě podfouknout, Clarice."
"think","think","Myslíte","myslet","impf"," Do you think I 'm playing with these people? """," Myslíte si, že si s lidmi zahrávám? """
"think","think","Myslím","myslet","impf"," "" I think you were telling me the truth. """," "" Myslím si, že mně jste říkal pravdu. """
"telling","tell","říkal","říkat","impf"," "" I think you were telling me the truth. """," "" Myslím si, že mně jste říkal pravdu. """
"see","see","neuvidí","uvidět","pf"," "" Pity Catherine Martin wo n't ever see the sun again."," "" Škoda že Kateřina Martinová už nikdy neuvidí slunce."
"see","see","viděl","vidět","impf"," He could see himself just running up the ladder of a water slide as fast as you please."," Úplně se viděl, jak běží nahoru po žebříku skluzavky tak rychle, jak jen si mohl přát."
"running","run","běží","běžet","impf"," He could see himself just running up the ladder of a water slide as fast as you please."," Úplně se viděl, jak běží nahoru po žebříku skluzavky tak rychle, jak jen si mohl přát."
"tried","try","vyzkoušel","vyzkoušet","pf"," Mr. Gumb played with the lights and his wigs for some dramatic effects, and he tried a wonderful choker necklace of shells over the collar line."," Pan Gumb si pohrál se světlem a parukami, vychutnal několik dramatických póz, vyzkoušel si báječný náhrdelník z mušliček, který obepínal krk v oblasti límce."
"go","go","začít","začít","pf"," It was so tempting to just go on with it now, to really get busy, but his eyes were tired."," Bylo to tak lákavé, začít s tím hned, pustit se do toho, ale měl už příliš unavené oči."
"meant","mean","Znamenalo","znamenat","impf"," That meant he had to have a place to keep them and a place to work in privacy."," Znamenalo to, že musel mít nějakou skrýš, kde je schovával a kde mohl nerušeně pracovat."
"keep","keep","mít","mít","impf"," That meant he had to have a place to keep them and a place to work in privacy."," Znamenalo to, že musel mít nějakou skrýš, kde je schovával a kde mohl nerušeně pracovat."
"work","work","pracovat","pracovat","impf"," That meant he had to have a place to keep them and a place to work in privacy."," Znamenalo to, že musel mít nějakou skrýš, kde je schovával a kde mohl nerušeně pracovat."
"holding","hold","drží","držet","impf"," That horrified the public more than anything - his holding them for a week or more, knowing he would kill them."," Tato skutečnost pobouřila veřejnost daleko více než to, že je drží týden nebo ještě déle a přitom ví, že je zabije."
"kill","kill","zabije","zabít","pf"," That horrified the public more than anything - his holding them for a week or more, knowing he would kill them."," Tato skutečnost pobouřila veřejnost daleko více než to, že je drží týden nebo ještě déle a přitom ví, že je zabije."
"found","find","Našla","najít","pf"," She found the piece of chicken bone and sniffed it."," Našla kousek kosti z kuřete a přičichla k ní."
"stretching","stretch","táhnul","táhnout","impf"," With her in the sheer pit was nothing but her futon, the jumpsuit she was wearing, the plastic toilet bucket and its flimsy cotton string stretching upward toward the pale yellow light."," V pusté jámě byla sama, vedle ní matrace, na sobě kombinézu, jeden plastikový kbelík a tenký provázek, který se táhnul vzhůru k bledému nažloutlému světlu."
"seen","see","viděla","vidět","impf"," Starling found she thought of Catherine Baker Martin as the child she 'd seen in the film on the news, the little girl in the sailboat."," Přistihla se, že Kateřinu Martinovou vnímá jako malou holčičku v člunu, jak ji viděla na videu v televizních zprávách."
"pushed","push","stiskl","stisknout","pf"," Alonzo pushed the buzzer at the last heavy door."," Alonzo stiskl bzučák u poslední brány."
"calling","call","volal","volat","impf"," He was up and calling after her as she walked."," Stál a volal na ni, když kráčela chodbou pryč."
"walked","walk","kráčela","kráčet","impf"," He was up and calling after her as she walked."," Stál a volal na ni, když kráčela chodbou pryč."
"rummaged","rummage","hledala","hledat","impf"," She rummaged in her purse for tissues."," Přehrabovala se v kabelce, hledala papírové kapesníky."
"hoped","hope","doufal","doufat","impf"," Everyone hoped Catherine Baker Martin 's disappearance was a professional kidnapping for ransom; that possibility offered the best chance for her survival."," Každý jen doufal, že zmizení Kateřiny Baker Martinové znamená jen běžný únos za účelem vymáhání výkupného - tato verze pro ni představovala jistou šanci na přežití."
"washed","wash","umyl","umýt","pf"," He put the key back in his mouth while he washed his hands and meticulously dried them."," Vsunul klíček zpátky do úst, umyl si ruce a přepečlivě si je osušil."
"dried","dry","osušil","osušit","pf"," He put the key back in his mouth while he washed his hands and meticulously dried them."," Vsunul klíček zpátky do úst, umyl si ruce a přepečlivě si je osušil."
"hid","hide","schoval","schovat","pf"," Then, with his tongue, he hid the key between the fingers of his right hand, knowing Pembry would stare at his strange left hand when it was behind his back."," Potom si jazykem schoval klíček mezi prsty pravé ruky - věděl, že když vystrčí za záda svou podivnou levou ruku, Pembry si ji začne určitě se zájmem prohlížet."
"said","say","prohlásil","prohlásit","pf"," "" I 'm ready when you are, Officer Pembry, "" Dr. Lecter said."," "" Já jsem hotov, jestli můžete, důstojníku Pembry, "" prohlásil dr. Lecter."
"sat","sit","Posadil","posadit","pf"," He sat on the floor of the cell and stretched his arms behind him, his hands and wrists through the bars."," Posadil se na podlahu v cele a natáhl ruce za sebe skrz mříže."
"stretched","stretch","natáhl","natáhnout","pf"," He sat on the floor of the cell and stretched his arms behind him, his hands and wrists through the bars."," Posadil se na podlahu v cele a natáhl ruce za sebe skrz mříže."
"Thank","thank","Děkuji","děkovat","impf"," "" Thank you for waiting. """," "" Děkuji vám za posečkání. """
"want","want","Potřebujeme","potřebovat","impf"," We want to know where this woman was held captive and where she was killed."," Potřebujeme vědět, kde ji držel v zajetí a kde ji zavraždil."
"held","hold","držel","držet","impf"," We want to know where this woman was held captive and where she was killed."," Potřebujeme vědět, kde ji držel v zajetí a kde ji zavraždil."
"killed","kill","zavraždil","zavraždit","pf"," We want to know where this woman was held captive and where she was killed."," Potřebujeme vědět, kde ji držel v zajetí a kde ji zavraždil."
"sleeps","sleep","spí","spát","impf"," We 're hoping this bug has some specialized habitat, or it 's limited in range, you know, or it only sleeps on some kind of tree - we want to know where this insect is from."," Myslíme si, že ten brouk může mít nějaké unikátní naleziště anebo že žije jen v určitém prostředí, chápete, že třeba spí jen na určitých stromech - prostě potřebujeme vědět, odkud pochází."
"want","want","potřebujeme","potřebovat","impf"," We 're hoping this bug has some specialized habitat, or it 's limited in range, you know, or it only sleeps on some kind of tree - we want to know where this insect is from."," Myslíme si, že ten brouk může mít nějaké unikátní naleziště anebo že žije jen v určitém prostředí, chápete, že třeba spí jen na určitých stromech - prostě potřebujeme vědět, odkud pochází."
"asking","ask","vyžaduji","vyžadovat","impf"," I 'm asking for your confidence because - if the perpetrator put the insect there deliberately - then only he would know that fact and we could use it to eliminate false confessions and save time."," Vaše mlčení vyžaduji proto, že pokud tam pachatel tu kuklu dal s nějakým úmyslem, pak to ví jen on sám a my toho můžeme využít pro eliminaci falešných doznání, čímž si ušetříme spoustu času."
"put","put","dal","dát","pf"," I 'm asking for your confidence because - if the perpetrator put the insect there deliberately - then only he would know that fact and we could use it to eliminate false confessions and save time."," Vaše mlčení vyžaduji proto, že pokud tam pachatel tu kuklu dal s nějakým úmyslem, pak to ví jen on sám a my toho můžeme využít pro eliminaci falešných doznání, čímž si ušetříme spoustu času."
"use","use","využít","využít","pf"," I 'm asking for your confidence because - if the perpetrator put the insect there deliberately - then only he would know that fact and we could use it to eliminate false confessions and save time."," Vaše mlčení vyžaduji proto, že pokud tam pachatel tu kuklu dal s nějakým úmyslem, pak to ví jen on sám a my toho můžeme využít pro eliminaci falešných doznání, čímž si ušetříme spoustu času."
"save","save","ušetříme","ušetřit","pf"," I 'm asking for your confidence because - if the perpetrator put the insect there deliberately - then only he would know that fact and we could use it to eliminate false confessions and save time."," Vaše mlčení vyžaduji proto, že pokud tam pachatel tu kuklu dal s nějakým úmyslem, pak to ví jen on sám a my toho můžeme využít pro eliminaci falešných doznání, čímž si ušetříme spoustu času."
"killed","kill","zabil","zabít","pf"," He 's killed six at least."," Už jich zabil šest."
"heard","hear","zaslechl","zaslechnout","pf"," Mr. Gumb 's poodle had been through this many times and she squinted her eyes when she heard the music, knowing she 'd be squeezed."," Pudl pana Gumba už tohle viděl mnohokrát, a jakmile zaslechl známou hudbu, už pokukoval po Gumbovi a očekával hlazení a mačkání."
"seem","seem","zdát","zdát","impf"," What might seem irrelevant to you could be vital information to an expert. """," Co se vám může zdát irelevantní, může mít pro odborníka zásadní význam. """
"found","find","našli","najít","pf"," "" This insect was found lodged behind the soft palate of a murder victim."," "" Tu kuklu jsme našli zasunutou za měkkým patrem jedné zavražděné ženy."
"got","get","dostat","dostat","pf"," I do n't know how it got there."," Nevím, jak se tam mohla dostat."
"heard","hear","slyšel","slyšet","impf"," "" It 's Buffalo Bill, I heard it on the radio, "" Roden said."," "" To je ten Buffalo Bill, slyšel jsem to v rádiu, "" řekl Roden."
"said","say","řekl","říci","pf"," "" It 's Buffalo Bill, I heard it on the radio, "" Roden said."," "" To je ten Buffalo Bill, slyšel jsem to v rádiu, "" řekl Roden."
"Did","do","vzali","vzít","pf"," Did they take your badge? """," Nebo vám vzali placku? """
"take","take","vzali","vzít","pf"," Did they take your badge? """," Nebo vám vzali placku? """
"let","let","povolit","povolit","pf"," "" Then you should let your jacket out."," "" Pak byste si měla tu bundu povolit."
"sew","sew","šít","šít","impf"," Do you sew at all? """," Umíte vůbec šít? """
"make","make","šila","šít","impf"," "" Did you make that costume? """," "" Ten oblek jste si šila sama? """
"use","use","využij","využít","pf"," Whatever it is, use it, Jesus!"," Ať je to cokoli, využij toho, proboha!"
"do","do","udělejte","udělat","pf"," "" Please do this for me. """," "" Prosím vás, udělejte to pro mě. """
"give","give","Dám","dát","pf"," I 'll give you something else."," Dám vám něco jiného."
"give","give","Dám","dát","pf"," I 'll give you what you love the most, Clarice Starling. """," Dám vám něco, po čem toužíte nejvíc, Clarice Starlingová. """
"making","make","Vyrábí","vyrábět","impf"," He 's making himself a girl suit out of real girls."," Vyrábí si dívčí oblečení ze skutečných děvčat."
"fit","fit","padnout","padnout","pf"," Hence the large victims - he has to have things that fit."," Proto jsou jeho oběti tak veliké - oblečení musí dobře padnout."
"suggests","suggest","nasvědčoval","nasvědčovat","impf"," The number of victims suggests he may see it as a series of molts."," Počet obětí by nasvědčoval tomu, že to považuje za postupné svlékání se z kůže."
"see","see","považuje","považovat","impf"," The number of victims suggests he may see it as a series of molts."," Počet obětí by nasvědčoval tomu, že to považuje za postupné svlékání se z kůže."
"say","say","říct","říci","pf"," Let 's say he and I are in close consultation."," Dalo by se říct, že on a já úzce spolupracujeme."
"told","tell","přikázal","přikázat","pf"," "" Krendler told me to turn in my ID and the roscoe and report back to school. """," "" Krendler mi přikázal vrátit identifikační kartu i placku a hlásit se zpátky ve škole. """
"report","report","hlásit","hlásit","impf"," "" Krendler told me to turn in my ID and the roscoe and report back to school. """," "" Krendler mi přikázal vrátit identifikační kartu i placku a hlásit se zpátky ve škole. """
"came","come","přišel","přijít","pf"," Wait - the mayor came to the hospital and asked my mother for the clock and the badge. """," Počkejte - starosta pak jednou přišel do nemocnice a požádal matku, aby mu vrátila píchačky i placku. """
"asked","ask","požádal","požádat","pf"," Wait - the mayor came to the hospital and asked my mother for the clock and the badge. """," Počkejte - starosta pak jednou přišel do nemocnice a požádal matku, aby mu vrátila píchačky i placku. """
"think","think","Neměla","mít","impf"," "" Did you think for a second you 'd made that up?"," "" Neměla jste chvíli pocit, že jste si to vymyslela?"
"talking","talk","Mluvili","mluvit","impf"," We were talking about transsexuals."," Mluvili jsme o transvestitech."
"said","say","řekl","říci","pf"," "" Take it easy, "" the assistant said."," "" Klídek, "" řekl asistent."
"turned","turn","Obrátila","obrátit","pf"," She turned on him."," Obrátila se k němu."
"heard","hear","slyšela","slyšet","impf"," There were shouted questions from behind the glare and she heard sirens."," Zpoza záře reflektorů se někdo hlasitě na něco ptal a zároveň slyšela sirény."
"raise","raise","Nezvedla","zvednout","pf"," She did not raise the jack handle."," Nezvedla ji."
"saying","say","říkám","říkat","impf"," Understand what I 'm saying? """," Chápeš vůbec, co ti tu říkám? """
"said","say","řekla","říci","pf"," "" I can get a makeup on the Code, "" Starling said, opening a barrette with her teeth."," "" Zákoník můžu udělat v náhradním termínu, "" řekla Starlingová."
"Make","make","Donuť","donutit","pf"," Make him say no recycle."," Donuť ho, aby ti slíbil, že nebudeš muset opakovat."
"say","say","slíbil","slíbit","pf"," Make him say no recycle."," Donuť ho, aby ti slíbil, že nebudeš muset opakovat."
"make","make","donuť","donutit","pf"," You 've got good grades - make him say it."," Známky máš dobré - donuť to, ať ti to slíbí."
"say","say","slíbí","slíbit","pf"," You 've got good grades - make him say it."," Známky máš dobré - donuť to, ať ti to slíbí."
"do","do","dělat","dělat","impf"," Lot of stuff she was n't supposed to do."," Spoustu věcí by asi neměla dělat."
"looked","look","pohlédla","pohlédnout","pf"," Starling looked at her watch."," Starlingová pohlédla na hodinky."
"said","say","říkal","říkat","impf"," She wanted to look in Dr. Lecter 's face when he said "" Billy Rubin. """," Kéž by tak mohla pozorovat obličej dr. Lectera, když říkal ' Billy Rubin '."
"stand","stand","vydržela","vydržet","pf"," If she could stand to meet those strange maroon eyes for long enough, if she looked deeply where the dark sucks in the sparks, she might see something useful."," Kdyby vydržela hledět do těch podivných hnědých očí dost dlouho, kdyby se podívala dost hluboko, kde se hloubka proměňuje v jiskřičky, možná by zahlédla něco užitečného."
"looked","look","hledět","hledět","impf"," If she could stand to meet those strange maroon eyes for long enough, if she looked deeply where the dark sucks in the sparks, she might see something useful."," Kdyby vydržela hledět do těch podivných hnědých očí dost dlouho, kdyby se podívala dost hluboko, kde se hloubka proměňuje v jiskřičky, možná by zahlédla něco užitečného."
"see","see","hledět","hledět","impf"," If she could stand to meet those strange maroon eyes for long enough, if she looked deeply where the dark sucks in the sparks, she might see something useful."," Kdyby vydržela hledět do těch podivných hnědých očí dost dlouho, kdyby se podívala dost hluboko, kde se hloubka proměňuje v jiskřičky, možná by zahlédla něco užitečného."
"looked","look","podívala","podívat","pf"," If she could stand to meet those strange maroon eyes for long enough, if she looked deeply where the dark sucks in the sparks, she might see something useful."," Kdyby vydržela hledět do těch podivných hnědých očí dost dlouho, kdyby se podívala dost hluboko, kde se hloubka proměňuje v jiskřičky, možná by zahlédla něco užitečného."
"see","see","podívala","podívat","pf"," If she could stand to meet those strange maroon eyes for long enough, if she looked deeply where the dark sucks in the sparks, she might see something useful."," Kdyby vydržela hledět do těch podivných hnědých očí dost dlouho, kdyby se podívala dost hluboko, kde se hloubka proměňuje v jiskřičky, možná by zahlédla něco užitečného."
