"hear","hear","zaslechl","zaslechnout","pf"," He could hear, a long way off, the sound of approaching feet and arguing voices."," Kdesi v dálce zaslechl zvuk přibližujících se kroků a rozhádaných hlasů."
"took","take","zaujal","zaujmout","pf"," He pulled vaguely at the hem of his robe and took a brief interest in the detail of its stitching."," Soustředěně popotahoval za lem svého roucha a zdálo se, že ho na okamžik zaujal vyšívaný vzorek."
"said","say","řekl","říci","pf"," ‘ Goodbye, ’ he said, and ran."," "" Na shledanou, "" řekl a dal se na útěk."
"decorated","decorate","ozdobeny","ozdobit","pf"," He learned that it was a maze of secret passages, their walls reputedly decorated with the distilled wisdom of ancient Tsort."," Dozvěděl se, že pyramida skrývala bludiště tajných chodeb, jejichž stěny byly ozdobeny nápisy zachycujícími destilovanou moudrost mudrců Tsortu."
"said","say","prohlásil","prohlásit","pf"," ‘ Maybe it has a subtle effect? ’ he said hopefully."," "" Třeba to má jenom nějaký velice malý efekt? "" prohlásil s nadějí v hlase."
"shouted","shout","vykřikl","vykřiknout","pf"," ‘ We knew it! ’ shouted one of the star people."," "" Ale my ano! "" vykřikl jeden z hvězdonošů."
"does","do","nefunguje","fungovat","impf"," ‘ Magic does n't work!"," "" Magie nefunguje!"
"work","work","nefunguje","fungovat","impf"," ‘ Magic does n't work!"," "" Magie nefunguje!"
"said","say","odpověděl","odpovědět","pf"," ‘ Sounds wonderful, ’ said Rincewind."," "" To zní zajímavě, "" odpověděl mu Mrakoplaš."
"suffering","suffer","utrpěl","utrpět","pf"," ‘ He 's just suffering from reality shock, ’ said Rincewind."," "" Narazil na realitu a utrpěl mírný šok, "" odpověděl mu Mrakoplaš."
"said","say","odpověděl","odpovědět","pf"," ‘ He 's just suffering from reality shock, ’ said Rincewind."," "" Narazil na realitu a utrpěl mírný šok, "" odpověděl mu Mrakoplaš."
"coming","come","přichází","přicházet","impf"," It seemed to be coming from the stone next to them."," Zdálo se, že přichází od vedlejšího kamene."
"opening","open","otvíral","otvírat","impf"," Twoflower was opening and shutting his mouth."," Dvoukvítek bez hlesu otvíral a zavíral ústa."
"shutting","shut","zavíral","zavírat","impf"," Twoflower was opening and shutting his mouth."," Dvoukvítek bez hlesu otvíral a zavíral ústa."
"use","use","použít","použít","pf"," ‘ Ca n't they just use flowers and berries and things? ’ he said."," "" Nemůžou místo ní použít květiny a lesní plody nebo takové věci? "" ozval se nakonec."
"tried","try","zkoušeli","zkoušet","impf"," ‘ Has anyone ever tried? ’"," "" A zkoušeli to někdy? """
"generated","generate","vytváří","vytvářet","impf"," ‘ Anyway, it 's just imagery generated by the shop, it 's not real. ’"," "" Ten vesmír stejně není skutečný, vytváří ho právě tahle místnost. """
"said","say","odpověděl","odpovědět","pf"," ‘ Oh no, ’ said the shopkeeper, deeply shocked."," "" To ne! "" odpověděl obchodník hluboce šokován."
"want","want","chtěli","chtít","impf"," The cottage was in turmoil, because not only did the wizards want to follow the broomstick, they also wanted to prevent each other from doing so, and this led to several regrettable incidents."," V Perníkové chaloupce zavládl naprostý zmatek, nejen proto, že všichni mágové chtěli sledovat koště, ale současně v tom chtěli zabránit ostatním, a to vedlo k několika politováníhodným incidentům."
"wanted","want","chtěli","chtít","impf"," The cottage was in turmoil, because not only did the wizards want to follow the broomstick, they also wanted to prevent each other from doing so, and this led to several regrettable incidents."," V Perníkové chaloupce zavládl naprostý zmatek, nejen proto, že všichni mágové chtěli sledovat koště, ale současně v tom chtěli zabránit ostatním, a to vedlo k několika politováníhodným incidentům."
"follow","follow","sledovat","sledovat","impf"," The cottage was in turmoil, because not only did the wizards want to follow the broomstick, they also wanted to prevent each other from doing so, and this led to several regrettable incidents."," V Perníkové chaloupce zavládl naprostý zmatek, nejen proto, že všichni mágové chtěli sledovat koště, ale současně v tom chtěli zabránit ostatním, a to vedlo k několika politováníhodným incidentům."
"want","want","chtěli","chtít","impf"," The cottage was in turmoil, because not only did the wizards want to follow the broomstick, they also wanted to prevent each other from doing so, and this led to several regrettable incidents."," V Perníkové chaloupce zavládl naprostý zmatek, nejen proto, že všichni mágové chtěli sledovat koště, ale současně v tom chtěli zabránit ostatním, a to vedlo k několika politováníhodným incidentům."
"wanted","want","chtěli","chtít","impf"," The cottage was in turmoil, because not only did the wizards want to follow the broomstick, they also wanted to prevent each other from doing so, and this led to several regrettable incidents."," V Perníkové chaloupce zavládl naprostý zmatek, nejen proto, že všichni mágové chtěli sledovat koště, ale současně v tom chtěli zabránit ostatním, a to vedlo k několika politováníhodným incidentům."
"prevent","prevent","zabránit","zabránit","pf"," The cottage was in turmoil, because not only did the wizards want to follow the broomstick, they also wanted to prevent each other from doing so, and this led to several regrettable incidents."," V Perníkové chaloupce zavládl naprostý zmatek, nejen proto, že všichni mágové chtěli sledovat koště, ale současně v tom chtěli zabránit ostatním, a to vedlo k několika politováníhodným incidentům."
"led","lead","vedlo","vést","impf"," The cottage was in turmoil, because not only did the wizards want to follow the broomstick, they also wanted to prevent each other from doing so, and this led to several regrettable incidents."," V Perníkové chaloupce zavládl naprostý zmatek, nejen proto, že všichni mágové chtěli sledovat koště, ale současně v tom chtěli zabránit ostatním, a to vedlo k několika politováníhodným incidentům."
"use","use","použít","použít","pf"," The most spectacular, and certainly the most tragic, happened when one Seer attempted to use his seven league boots without the proper sequence of spells and preparations."," Největší a také nejtragičtější se stal, když se jeden z Pravých proroků rozhodl použít své sedmimílové boty bez přípravy a příslušných zaklínadel."
"said","say","prohlásil","prohlásit","pf"," ‘ Charmed, I 'm sure, ’ he said."," "" Moc mě těší, "" prohlásil."
"smiled","smile","usmála","usmát","pf"," Ysabell smiled."," Ysabell se usmála."
"thought","think","pomyslel","pomyslet","pf"," Rincewind thought : if Death ever does hand over the family business, she 'll be better at it than he is – she 's bonkers."," Mrakoplaš si v duchu pomyslel, že jestli jí jednou Smrť předá živnost, ona v tom bude lepší než on - určitě je bláznivá."
"sat","sit","usedl","usednout","pf"," The wizards looked sidelong at one another as Trymon sat down at the head of the table and shuffled busily through some papers."," Trémon usedl do čela stolu a začal si spěšně rovnat papíry a mágové si vyměnili postranní pohledy."
"sat","sit","neseděli","sedět","impf"," It had gone, along with most of the other familiar furniture, and in its place were a number of low leather chairs that appeared to be incredibly comfortable until you 'd sat in them for five minutes."," Křeslo spolu s většinou starého známého nábytku zmizelo a na jeho místě stálo několik nízkých kožených křesel, která vypadala neobyčejně pohodlně a také byla, pokud jste v nich neseděli déle než pět minut."
"said","say","odpověděla","odpovědět","pf"," ‘ No, no, ’ said Herrena."," "" Ale vůbec ne, "" odpověděla mu Herrena."
"stays","stay","zůstane","zůstat","pf"," And the fire stays. ’"," Ten oheň zůstane hořet. """
"keep","keep","vyhýbají","vyhýbat","impf"," ‘ Everyone knows trolls keep away from fire, ’ said Herrena."," "" Každý ví, že trolové se ohni vyhýbají, "" prohlásila Herrena."
"said","say","prohlásila","prohlásit","pf"," ‘ Everyone knows trolls keep away from fire, ’ said Herrena."," "" Každý ví, že trolové se ohni vyhýbají, "" prohlásila Herrena."
"nodded","nod","Kývla","kývnout","pf"," She nodded."," Kývla rukou."
"drew","draw","vytáhlo","vytáhnout","pf"," A couple of men drew their swords and slipped out into the darkness."," Několik mužů vytáhlo meče a vyklouzlo do tmy."
"spent","spend","strávil","strávit","pf"," He had recently spent some months exploring it and is now rapidly leaving it for reasons that are rather complicated but have to do with an attempt to escape from Krull."," Několik minulých měsíců strávil průzkumem Zeměplochy a teď ji spěšně opouští z důvodů, které jsou příliš složité na to, abychom je tady vysvětlovali, ale mají přímou souvislost s pokusem o útěk z Kruhu."
"leaving","leave","opouští","opouštět","impf"," He had recently spent some months exploring it and is now rapidly leaving it for reasons that are rather complicated but have to do with an attempt to escape from Krull."," Několik minulých měsíců strávil průzkumem Zeměplochy a teď ji spěšně opouští z důvodů, které jsou příliš složité na to, abychom je tady vysvětlovali, ale mají přímou souvislost s pokusem o útěk z Kruhu."
"listening","listen","poslouchat","poslouchat","impf"," if listening to this madman meant he stayed up here, he was all ears."," Pokud si mohl v jeho společnosti zajistit bezpečí tím, že ho bude pozorně poslouchat, byl jedno jediné ucho."
"sat","sit","sedl","sednout","pf"," Belafon sat down with his feet dangling over the edge of the rock."," Belafon si sedl a nohy si pohodlně spustil přes okraj kamene."
"seen","see","zahlédli","zahlédnout","pf"," Through the mists of his exhausted mind Rincewind remembered the horrible star they 'd seen in the sky."," Mlhou, halící jeho vyčerpanou mysl, se Mrakoplaš prodral až k té strašlivé hvězdě, kterou zahlédli na obloze."
"want","want","chci","chtít","impf"," ‘ Now I want to see what he 's got under that robe. ’"," "" Teď chci vidět, co má pod tím pláštěm! """
"see","see","vidět","vidět","impf"," ‘ Now I want to see what he 's got under that robe. ’"," "" Teď chci vidět, co má pod tím pláštěm! """
"exchanged","exchange","vyměnili","vyměnit","pf"," The two men exchanged glances."," Oba muži si znovu vyměnili pohledy."
"got","get","nedostal","dostat","pf"," He got no further because a knobbly elbow jerked into his stomach like a piston."," Dál se nedostal, protože se mu do žaludku silou pístu zarazil kostnatý loket."
"come","come","půjdeš","jít","impf"," ‘ You 'll come with us, ’ said Panter."," "" Ne, ty půjdeš s námi, "" prohlásil Odfrkl."
"said","say","prohlásil","prohlásit","pf"," ‘ You 'll come with us, ’ said Panter."," "" Ne, ty půjdeš s námi, "" prohlásil Odfrkl."
"threw","throw","vyhodil","vyhodit","pf"," You threw me out, remember? ’"," Vy sám jste mě vyhodil, pamatujete? """
"remember","remember","pamatujete","pamatovat","impf"," You threw me out, remember? ’"," Vy sám jste mě vyhodil, pamatujete? """
"need","need","potřebuješ","potřebovat","impf"," ‘ I ca n't think of any student less able, ’ said the old wizard, ‘ but you 're here, and that 's the only qualification you need."," "" Pravda, nevzpomínám si na žádného studenta, který by byl neschopnější než ty, "" pokýval hlavou stařičký čaroděj, "" ale jsi tady a to je jediná kvalifikace, kterou potřebuješ."
"Come","come","pojďme","jít","impf"," Come on. ’"," Tak pojďme. """
"said","say","odpověděl","odpovědět","pf"," ‘ A shop, ’ said Twoflower mournfully."," "" V obchodě, "" odpověděl mu Dvoukvítek pohřebním hlasem."
"hope","hope","Doufám","doufat","impf"," ‘ I hope it sells knives because I think I 'd like to cut my head off, ’ said Rincewind."," "" Doufám, že se tady dostanou i nože, protože bych si potřeboval uříznout hlavu, "" zasténal Mrakoplaš."
"said","say","řekla","říci","pf"," ‘ We ca n't get out, ’ said Bethan."," "" Nemůžeme ven, "" řekla Bethan."
"looked","look","podíval","podívat","pf"," Rincewind looked down."," Mrakoplaš se podíval dolů."
"talking","talk","mluvili","mluvit","impf"," What were we talking about? ’"," O čem jsme to vlastně mluvili? """
"thought","think","přemýšlel","přemýšlet","impf"," He thought for a bit."," Chvíli přemýšlel."
"get","get","nedostanu","dostat","pf"," I do n't get about much, ’ said the tree."," Já se moc nikam nedostanu, "" odpověděl strom."
"said","say","odpověděl","odpovědět","pf"," I do n't get about much, ’ said the tree."," Já se moc nikam nedostanu, "" odpověděl strom."
"looked","look","prohlédl","prohlédnout","pf"," Rincewind looked at it closely."," Mrakoplaš si strom pečlivě prohlédl."
"believe","believe","nevěří","věřit","impf"," Cohen gave Rincewind a look which suggested that he, Cohen, did n't believe that."," Cohen si změřil Mrakoplaše pohledem, který pravil, že on, Cohen, tomu nevěří."
"began","begin","začal","začít","pf"," ‘ But I — ’ Rincewind began, and gave up."," "" Ale já ... "" začal Mrakoplaš, ale pak se vzdal."
"help","help","pomoci","pomoci","pf"," ‘ We 'll help, ’ said Rincewind, looking longingly at the burning bacon."," "" My vám chceme spíš pomoci, "" prohlásil Mrakoplaš a upřel oči toužebně na slaninu, která se pálila v ohni."
"said","say","prohlásil","prohlásit","pf"," ‘ We 'll help, ’ said Rincewind, looking longingly at the burning bacon."," "" My vám chceme spíš pomoci, "" prohlásil Mrakoplaš a upřel oči toužebně na slaninu, která se pálila v ohni."
"supposed","suppose","předpokládal","předpokládat","impf"," he supposed there had to be such things as young druids, theoretically, it was just that he had never imagined them."," Mrakoplaš sice předpokládal, že teoreticky musí existovat i něco takového, jako jsou mladí druidové, ale tak nějak si je nedovedl představit."
"imagined","imagine","předpokládal","předpokládat","impf"," he supposed there had to be such things as young druids, theoretically, it was just that he had never imagined them."," Mrakoplaš sice předpokládal, že teoreticky musí existovat i něco takového, jako jsou mladí druidové, ale tak nějak si je nedovedl představit."
"imagined","imagine","představit","představit","pf"," he supposed there had to be such things as young druids, theoretically, it was just that he had never imagined them."," Mrakoplaš sice předpokládal, že teoreticky musí existovat i něco takového, jako jsou mladí druidové, ale tak nějak si je nedovedl představit."
"steal","steal","ukrást","ukrást","pf"," ‘ You 're not trying to steal the rock? ’ said the druid, lowering the sickle a fraction."," "" Takže vy mi nechcete ten kámen ukrást? "" zeptal se druid a spustil srp o několik milimetrů."
"lowering","lower","spustil","spustit","pf"," ‘ You 're not trying to steal the rock? ’ said the druid, lowering the sickle a fraction."," "" Takže vy mi nechcete ten kámen ukrást? "" zeptal se druid a spustil srp o několik milimetrů."
"steal","steal","ukrást","ukrást","pf"," ‘ I did n't even know you could steal rocks, ’ said Rincewind wearily."," "" Vždyť já ani nevím, že se kámen dá ukrást, "" odpověděl mu unaveně Mrakoplaš."
"said","say","odpověděl","odpovědět","pf"," ‘ I did n't even know you could steal rocks, ’ said Rincewind wearily."," "" Vždyť já ani nevím, že se kámen dá ukrást, "" odpověděl mu unaveně Mrakoplaš."
"wear","wear","nosí","nosit","impf"," ‘ Pixies, they wear these sort of green combinations and they have pointy caps and little knobbly antenna thingies sticking out of their heads."," "" Elfové nosí jenom zelené barvy a mívají takové zbojnické kloboučky a na hlavičce malá tykadýlka s bambulkou."
"seen","see","Viděl","vidět","impf"," I 've seen pictures. ’"," Viděl jsem je na obrázku. """
"think","think","Myslím","myslet","impf"," ‘ I think it was called the "" mutter, mutter, mutter. "" ’"," "" Myslím že se to jmenovalo ' huhly, huhly, huhly '. """
"said","say","říkal","říkat","impf"," ‘ What 's ambience? ’ said Swires, sniffing cautiously and wearing the kind of expression that said that he had n't done it, whatever it was."," "" Co to je atmosféra? "" zeptal se Vaverka a začal čenichat kolem, přičemž se mu na tváři objevil výraz, který říkal, že on to neudělal, ať už je to cokoliv."
"said","say","říkal","říkat","impf"," ‘ What 's ambience? ’ said Swires, sniffing cautiously and wearing the kind of expression that said that he had n't done it, whatever it was."," "" Co to je atmosféra? "" zeptal se Vaverka a začal čenichat kolem, přičemž se mu na tváři objevil výraz, který říkal, že on to neudělal, ať už je to cokoliv."
"done","do","neudělal","udělat","pf"," ‘ What 's ambience? ’ said Swires, sniffing cautiously and wearing the kind of expression that said that he had n't done it, whatever it was."," "" Co to je atmosféra? "" zeptal se Vaverka a začal čenichat kolem, přičemž se mu na tváři objevil výraz, který říkal, že on to neudělal, ať už je to cokoliv."
"think","think","myslím","myslet","impf"," ‘ I think it 's a kind of frog, ’ said Rincewind."," "" Já si myslím, že je to jeden druh žáby, "" poučoval ho Mrakoplaš."
"buy","buy","koupit","koupit","pf"," ‘ Anyway, you ca n't buy this place because there is n't anyone to buy it from — ’"," "" Kromě toho to nemůžeš koupit, protože není od koho ... """
"buy","buy","koupit","koupit","pf"," ‘ Anyway, you ca n't buy this place because there is n't anyone to buy it from — ’"," "" Kromě toho to nemůžeš koupit, protože není od koho ... """
"arrange","arrange","zařídit","zařídit","pf"," ‘ I think I could probably arrange that, on behalf of the forest council of course, ’ interrupted Swires, trying to avoid Rincewind 's glare."," "" No, tohle bych možná mohl zařídit, se souhlasem lesní rady, samozřejmě, "" vskočil mu Vaverka do řeči a přitom se pokoušel vyhnout Mrakoplašově pohledu."
"trying","try","pokoušel","pokoušet","impf"," ‘ I think I could probably arrange that, on behalf of the forest council of course, ’ interrupted Swires, trying to avoid Rincewind 's glare."," "" No, tohle bych možná mohl zařídit, se souhlasem lesní rady, samozřejmě, "" vskočil mu Vaverka do řeči a přitom se pokoušel vyhnout Mrakoplašově pohledu."
"avoid","avoid","vyhnout","vyhnout","pf"," ‘ I think I could probably arrange that, on behalf of the forest council of course, ’ interrupted Swires, trying to avoid Rincewind 's glare."," "" No, tohle bych možná mohl zařídit, se souhlasem lesní rady, samozřejmě, "" vskočil mu Vaverka do řeči a přitom se pokoušel vyhnout Mrakoplašově pohledu."
"said","say","odpověděla","odpovědět","pf"," ‘ Not a word, ’ he said."," "" Ani slovo, "" odpověděla mu."
"sounds","sound","Zní","znít","impf"," ‘ It sounds awfully complicated. ’"," "" Zní to strašlivě složitě. """
"said","say","pronesl","pronést","pf"," ‘ You should know, Mort, ’ said a voice that Rincewind had n't heard before and certainly never wanted to hear again, especially after dark."," "" No, tohle bys snad mohl vědět přesně, Smrtíku, nemyslíš? "" pronesl nějaký hlas, který Mrakoplaš zatím neslyšel a už by ho ani slyšet nechtěl, zvláště ne po setmění."
"heard","hear","neslyšel","slyšet","impf"," ‘ You should know, Mort, ’ said a voice that Rincewind had n't heard before and certainly never wanted to hear again, especially after dark."," "" No, tohle bys snad mohl vědět přesně, Smrtíku, nemyslíš? "" pronesl nějaký hlas, který Mrakoplaš zatím neslyšel a už by ho ani slyšet nechtěl, zvláště ne po setmění."
"hear","hear","neslyšel","slyšet","impf"," ‘ You should know, Mort, ’ said a voice that Rincewind had n't heard before and certainly never wanted to hear again, especially after dark."," "" No, tohle bys snad mohl vědět přesně, Smrtíku, nemyslíš? "" pronesl nějaký hlas, který Mrakoplaš zatím neslyšel a už by ho ani slyšet nechtěl, zvláště ne po setmění."
"heard","hear","slyšet","slyšet","impf"," ‘ You should know, Mort, ’ said a voice that Rincewind had n't heard before and certainly never wanted to hear again, especially after dark."," "" No, tohle bys snad mohl vědět přesně, Smrtíku, nemyslíš? "" pronesl nějaký hlas, který Mrakoplaš zatím neslyšel a už by ho ani slyšet nechtěl, zvláště ne po setmění."
"hear","hear","slyšet","slyšet","impf"," ‘ You should know, Mort, ’ said a voice that Rincewind had n't heard before and certainly never wanted to hear again, especially after dark."," "" No, tohle bys snad mohl vědět přesně, Smrtíku, nemyslíš? "" pronesl nějaký hlas, který Mrakoplaš zatím neslyšel a už by ho ani slyšet nechtěl, zvláště ne po setmění."
"wanted","want","nechtěl","chtít","impf"," ‘ You should know, Mort, ’ said a voice that Rincewind had n't heard before and certainly never wanted to hear again, especially after dark."," "" No, tohle bys snad mohl vědět přesně, Smrtíku, nemyslíš? "" pronesl nějaký hlas, který Mrakoplaš zatím neslyšel a už by ho ani slyšet nechtěl, zvláště ne po setmění."
"think","think","myslím","myslet","impf"," ‘ It 's a star, ’ said the Professor of Astrology, ‘ I think. ’"," "" Je to hvězda, "" sdělil mu profesor astrologie, "" myslím. """
"think","think","myslíte","myslet","impf"," ‘ You think? ’"," "" Vy si to myslíte? """
"believed","believe","domnívali","domnívat","impf"," ‘ Well, you see, the point is that we 've always believed stars to be pretty much the same as our sun — ’"," "" No, víte, háček je v tom, že jsme se vždycky domnívali, že hvězdy vypadají stejně jako naše slunce - """
"mean","mean","Myslíte","myslet","impf"," ‘ You mean balls of fire about a mile across? ’"," "" Myslíte jako ohnivé koule v průměru zhruba dvou kilometrů? """
"announced","announce","prohlásil","prohlásit","pf"," He had announced that he was coming with them, on account of his chilblains."," Několikrát si prohlédl své omrzliny a nakonec prohlásil, že pojede s nimi."
"going","go","pojede","jet","impf"," Bethan had promptly announced that she was going to come too, in case Cohen wanted anything rubbed."," Bethan se okamžitě nabídla, že ona tedy pojede také, pro případ, že by Cohen potřeboval něco namasírovat."
"wanted","want","potřeboval","potřebovat","impf"," Bethan had promptly announced that she was going to come too, in case Cohen wanted anything rubbed."," Bethan se okamžitě nabídla, že ona tedy pojede také, pro případ, že by Cohen potřeboval něco namasírovat."
"say","say","neřekl","říci","pf"," ‘ I would n't say this to his face, but ’ – he leaned towards Cohen – ‘ I 've never actually seen him do any magic. ’"," "" Do očí bych mu to neřekl, ale - "" naklonil se těsně ke Cohenovi, "" - abych řekl pravdu, nikdy jsem ho neviděl udělat jediné kouzlo. """
"leaned","lean","naklonil","naklonit","pf"," ‘ I would n't say this to his face, but ’ – he leaned towards Cohen – ‘ I 've never actually seen him do any magic. ’"," "" Do očí bych mu to neřekl, ale - "" naklonil se těsně ke Cohenovi, "" - abych řekl pravdu, nikdy jsem ho neviděl udělat jediné kouzlo. """
"say","say","řekl","říci","pf"," ‘ I would n't say this to his face, but ’ – he leaned towards Cohen – ‘ I 've never actually seen him do any magic. ’"," "" Do očí bych mu to neřekl, ale - "" naklonil se těsně ke Cohenovi, "" - abych řekl pravdu, nikdy jsem ho neviděl udělat jediné kouzlo. """
"seen","see","neviděl","vidět","impf"," ‘ I would n't say this to his face, but ’ – he leaned towards Cohen – ‘ I 've never actually seen him do any magic. ’"," "" Do očí bych mu to neřekl, ale - "" naklonil se těsně ke Cohenovi, "" - abych řekl pravdu, nikdy jsem ho neviděl udělat jediné kouzlo. """
"do","do","udělat","udělat","pf"," ‘ I would n't say this to his face, but ’ – he leaned towards Cohen – ‘ I 've never actually seen him do any magic. ’"," "" Do očí bych mu to neřekl, ale - "" naklonil se těsně ke Cohenovi, "" - abych řekl pravdu, nikdy jsem ho neviděl udělat jediné kouzlo. """
"said","say","řekla","říci","pf"," ‘ Right, let 's have the other one, ’ said Bethan."," "" V pořádku, tak teď druhou, "" řekla Bethan."
"sounded","sound","zní","znít","impf"," Moleskin trousers sounded quaint unless you personally had to remove them from their original owner when the vicious little sod was cornered in his burrow."," Kalhotky z vydělané krtčí kůže - to zní romanticky jen do okamžiku, kdy musíte tu kůži vlastnoručně stáhnout z původního majitele, zatímco se ten malý hajzlík, zahnaný do kouta nory, zuřivě brání."
"think","think","Myslím","myslet","impf"," ‘ I think we should go up and, er, congratulate him, ’ said Wert."," "" Myslím, že bychom měli jít nahoru a, ehm, popřát mu, "" obrátil se Budiž k ostatním."
"think","think","měli","mít","impf"," ‘ I think we should go up and, er, congratulate him, ’ said Wert."," "" Myslím, že bychom měli jít nahoru a, ehm, popřát mu, "" obrátil se Budiž k ostatním."
"go","go","jít","jít","impf"," ‘ I think we should go up and, er, congratulate him, ’ said Wert."," "" Myslím, že bychom měli jít nahoru a, ehm, popřát mu, "" obrátil se Budiž k ostatním."
"exploded","explode","vybuchl","vybuchnout","pf"," ‘ Congratulate? ’ exploded Rincewind."," "" Blahopřát mu?! "" vybuchl Mrakoplaš."
"stole","steal","Ukradl","ukrást","pf"," ‘ He stole the Octavo!"," "" Ukradl Oktáva!"
"locked","lock","Zamkl","zamknout","pf"," He locked you up! ’"," Zamkl vás dole jako malý kluky! """
"exchanged","exchange","vyměnili","vyměnit","pf"," The wizards exchanged knowing looks."," Mágové si vyměnili vědoucí pohledy."
"saw","see","Viděl","vidět","impf"," ‘ I saw it move, ’ said one of them."," "" Viděl jsem, jak se pohnul, "" ozval se jeden z čarodějů."
"move","move","pohnul","pohnout","pf"," ‘ I saw it move, ’ said one of them."," "" Viděl jsem, jak se pohnul, "" ozval se jeden z čarodějů."
"touch","touch","nedotkneme","dotknout","pf"," ‘ We 're safe so long as we do n't touch the book, ’ said Trymon."," "" Jsme v bezpečí, dokud se nedotkneme knihy, "" prohlásil Trémon."
"said","say","prohlásil","prohlásit","pf"," ‘ We 're safe so long as we do n't touch the book, ’ said Trymon."," "" Jsme v bezpečí, dokud se nedotkneme knihy, "" prohlásil Trémon."
"pulled","pull","vytáhl","vytáhnout","pf"," He pulled a scroll out of his belt and unrolled it."," Z pasu vytáhl roličku pergamenu a roztáhl ji."
"came","come","nepřišlo","přijít","pf"," But none came."," Ale nic takového nepřišlo."
"removed","remove","vytáhl","vytáhnout","pf"," Instead, the offending mage removed the dogend from his lips with trembling fingers and ground it into the floor."," Místo toho postižený čaroděj skutečně vytáhl z úst zbytek cigarety, hodil jej na zem a pečlivě zašlápl."
"asked","ask","neptal","ptát","impf"," No-one ever asked its opinion about anything."," Jeho se nikdo nikdy na názor neptal."
"come","come","přijeli","přijet","pf"," By evening they had come to the edge of the high plains, and rode down through gloomy pine forests that had only been lightly dusted by the snowstorm."," Navečer přijeli k okraji náhorní roviny a temným jehličnatým pralesem, na kterém ležel jen slabý sněhový poprašek, začali sjíždět dolů."
"lasted","last","trval","trvat","impf"," It was a landscape of huge cracked rocks, and valleys so narrow and deep that the days only lasted about twenty minutes."," Byl to kraj obrovských balvanů a údolí tak hlubokých a úzkých, že tam den trval sotva dvacet minut."
"expect","expect","čekali","čekat","impf"," A wild, windy country, the sort where you might expect to find —"," Divoký kraj, neustále bičovaný svištícím větrem, pochmurný, přesně takový, kde byste čekali, že se každou chvíli objeví ..."
"find","find","objeví","objevit","pf"," A wild, windy country, the sort where you might expect to find —"," Divoký kraj, neustále bičovaný svištícím větrem, pochmurný, přesně takový, kde byste čekali, že se každou chvíli objeví ..."
"said","say","prohlásil","prohlásit","pf"," ‘ Trollsh, ’ said Cohen, sniffing the air."," "" Trolové, "" prohlásil Cohen a zavětřil jako křepelák."
"meant","mean","znamenalo","znamenat","impf"," It really meant something, being a rock then."," Tenkrát to ještě něco znamenalo, být kamenem!"
"call","call","říkají","říkat","impf"," People call themselves trolls today, well, sometimes they 're hardly more than slate."," Ti, co si dneska říkají trolové - no promiňte, ale častokrát jsou to sotva břidlice."
"give","give","dalo","dát","pf"," I would n't give myself airs if you could use me to draw with, would you? ’"," Kdyby se se mnou dalo kreslit, nevystrčil bych ani nos, co říkáte? """
"draw","draw","kreslit","kreslit","impf"," I would n't give myself airs if you could use me to draw with, would you? ’"," Kdyby se se mnou dalo kreslit, nevystrčil bych ani nos, co říkáte? """
"said","say","odpověděl","odpovědět","pf"," ‘ No, ’ said Rincewind quickly."," "" Já taky ne, "" odpověděl rychle Mrakoplaš."
"thought","think","myslel","myslet","impf"," ‘ I thought wizards knew all about trees and wild food and things, ’ said Twoflower reproachfully."," "" Já jsem si teda myslel, že každý čaroděj ví o stromech, potravě v divočině a takových věcech všechno, "" prohlásil Dvoukvítek opatrně."
"said","say","prohlásil","prohlásit","pf"," ‘ I thought wizards knew all about trees and wild food and things, ’ said Twoflower reproachfully."," "" Já jsem si teda myslel, že každý čaroděj ví o stromech, potravě v divočině a takových věcech všechno, "" prohlásil Dvoukvítek opatrně."
"said","say","řekni","říci","pf"," ‘ Well, what kind of tree is this? ’ said the tourist."," "" No, tak mi řekni, jaký je to strom, "" ozval se vzápětí turista."
"said","say","prohlásil","prohlásit","pf"," ‘ Beech, ’ he said firmly."," "" Buk, "" prohlásil pevně."
"think","think","myslím","myslet","impf"," ‘ I do n't know, but I think it might be a good idea not to find out, ’ said Rincewind thoughtfully."," "" Nevím, ale myslím, že pro nás bude lepší, když se to ani nedozvíme, "" prohlásil Mrakoplaš zamyšleně."
"said","say","prohlásil","prohlásit","pf"," ‘ I do n't know, but I think it might be a good idea not to find out, ’ said Rincewind thoughtfully."," "" Nevím, ale myslím, že pro nás bude lepší, když se to ani nedozvíme, "" prohlásil Mrakoplaš zamyšleně."
"think","think","myslím","myslet","impf"," ‘ I do n't think we 're anywhere, ’ he said."," "" Já myslím, že nejsme nikde, "" odpověděl nakonec."
"said","say","odpověděl","odpovědět","pf"," ‘ I do n't think we 're anywhere, ’ he said."," "" Já myslím, že nejsme nikde, "" odpověděl nakonec."
"doing","do","dělat","dělat","impf"," The shop generally knows what it 's doing. ’"," Obchod většinou ví sám nejlíp, co má dělat. """
"learn","learn","naučíte","naučit","pf"," ‘ I mean, you learn not to expect much, you make a sale here and there, it 's a living, you know what I mean?"," Víte, naučíte se nic moc nečekat, prodáte něco tu a něco tam, prostě si tak akorát vyděláte na živobytí."
"expect","expect","nečekat","čekat","impf"," ‘ I mean, you learn not to expect much, you make a sale here and there, it 's a living, you know what I mean?"," Víte, naučíte se nic moc nečekat, prodáte něco tu a něco tam, prostě si tak akorát vyděláte na živobytí."
