"make","make","vydělávají","vydělávat","impf"," ' All these entrepreneurs make fortunes only because others incur expenses '."," "" Všichni podnikatelé vydělávají jenom tehdy, pokud ostatní utrácejí. """
"making","make","pochopit","pochopit","pf"," All analytic knowledge is thus invincibly linked with a praxis, with that strangulation produced by the relation between two individuals, one of whom is listening to the other 's language, thus freeing his desire from the object it has lost ( making him understand he has lost it ), liberating him from the ever-repeated proximity of death ( making him understand that one day he will die )."," Každé analytické vědění je tedy nutně spjaté s praxí, s oním přiškrcením vztahu dvou lidí, z nichž jeden naslouchá řeči druhého, a osvobozuje tak jeho touhu po předmětu, který ztratil ( tak, že mu pomůže pochopit, že ho ztratil ) a osvobozuje ho od neustálé blízkosti smrti ( tak, že mu pomůže pochopit, že jednou zemře )."
"understand","understand","pochopit","pochopit","pf"," All analytic knowledge is thus invincibly linked with a praxis, with that strangulation produced by the relation between two individuals, one of whom is listening to the other 's language, thus freeing his desire from the object it has lost ( making him understand he has lost it ), liberating him from the ever-repeated proximity of death ( making him understand that one day he will die )."," Každé analytické vědění je tedy nutně spjaté s praxí, s oním přiškrcením vztahu dvou lidí, z nichž jeden naslouchá řeči druhého, a osvobozuje tak jeho touhu po předmětu, který ztratil ( tak, že mu pomůže pochopit, že ho ztratil ) a osvobozuje ho od neustálé blízkosti smrti ( tak, že mu pomůže pochopit, že jednou zemře )."
"lost","lose","ztratil","ztratit","pf"," All analytic knowledge is thus invincibly linked with a praxis, with that strangulation produced by the relation between two individuals, one of whom is listening to the other 's language, thus freeing his desire from the object it has lost ( making him understand he has lost it ), liberating him from the ever-repeated proximity of death ( making him understand that one day he will die )."," Každé analytické vědění je tedy nutně spjaté s praxí, s oním přiškrcením vztahu dvou lidí, z nichž jeden naslouchá řeči druhého, a osvobozuje tak jeho touhu po předmětu, který ztratil ( tak, že mu pomůže pochopit, že ho ztratil ) a osvobozuje ho od neustálé blízkosti smrti ( tak, že mu pomůže pochopit, že jednou zemře )."
"freeing","free","osvobozuje","osvobozovat","impf"," All analytic knowledge is thus invincibly linked with a praxis, with that strangulation produced by the relation between two individuals, one of whom is listening to the other 's language, thus freeing his desire from the object it has lost ( making him understand he has lost it ), liberating him from the ever-repeated proximity of death ( making him understand that one day he will die )."," Každé analytické vědění je tedy nutně spjaté s praxí, s oním přiškrcením vztahu dvou lidí, z nichž jeden naslouchá řeči druhého, a osvobozuje tak jeho touhu po předmětu, který ztratil ( tak, že mu pomůže pochopit, že ho ztratil ) a osvobozuje ho od neustálé blízkosti smrti ( tak, že mu pomůže pochopit, že jednou zemře )."
"liberating","liberate","osvobozuje","osvobozovat","impf"," All analytic knowledge is thus invincibly linked with a praxis, with that strangulation produced by the relation between two individuals, one of whom is listening to the other 's language, thus freeing his desire from the object it has lost ( making him understand he has lost it ), liberating him from the ever-repeated proximity of death ( making him understand that one day he will die )."," Každé analytické vědění je tedy nutně spjaté s praxí, s oním přiškrcením vztahu dvou lidí, z nichž jeden naslouchá řeči druhého, a osvobozuje tak jeho touhu po předmětu, který ztratil ( tak, že mu pomůže pochopit, že ho ztratil ) a osvobozuje ho od neustálé blízkosti smrti ( tak, že mu pomůže pochopit, že jednou zemře )."
"making","make","pochopit","pochopit","pf"," All analytic knowledge is thus invincibly linked with a praxis, with that strangulation produced by the relation between two individuals, one of whom is listening to the other 's language, thus freeing his desire from the object it has lost ( making him understand he has lost it ), liberating him from the ever-repeated proximity of death ( making him understand that one day he will die )."," Každé analytické vědění je tedy nutně spjaté s praxí, s oním přiškrcením vztahu dvou lidí, z nichž jeden naslouchá řeči druhého, a osvobozuje tak jeho touhu po předmětu, který ztratil ( tak, že mu pomůže pochopit, že ho ztratil ) a osvobozuje ho od neustálé blízkosti smrti ( tak, že mu pomůže pochopit, že jednou zemře )."
"understand","understand","pochopit","pochopit","pf"," All analytic knowledge is thus invincibly linked with a praxis, with that strangulation produced by the relation between two individuals, one of whom is listening to the other 's language, thus freeing his desire from the object it has lost ( making him understand he has lost it ), liberating him from the ever-repeated proximity of death ( making him understand that one day he will die )."," Každé analytické vědění je tedy nutně spjaté s praxí, s oním přiškrcením vztahu dvou lidí, z nichž jeden naslouchá řeči druhého, a osvobozuje tak jeho touhu po předmětu, který ztratil ( tak, že mu pomůže pochopit, že ho ztratil ) a osvobozuje ho od neustálé blízkosti smrti ( tak, že mu pomůže pochopit, že jednou zemře )."
"making","make","pochopit","pochopit","pf"," All analytic knowledge is thus invincibly linked with a praxis, with that strangulation produced by the relation between two individuals, one of whom is listening to the other 's language, thus freeing his desire from the object it has lost ( making him understand he has lost it ), liberating him from the ever-repeated proximity of death ( making him understand that one day he will die )."," Každé analytické vědění je tedy nutně spjaté s praxí, s oním přiškrcením vztahu dvou lidí, z nichž jeden naslouchá řeči druhého, a osvobozuje tak jeho touhu po předmětu, který ztratil ( tak, že mu pomůže pochopit, že ho ztratil ) a osvobozuje ho od neustálé blízkosti smrti ( tak, že mu pomůže pochopit, že jednou zemře )."
"understand","understand","pochopit","pochopit","pf"," All analytic knowledge is thus invincibly linked with a praxis, with that strangulation produced by the relation between two individuals, one of whom is listening to the other 's language, thus freeing his desire from the object it has lost ( making him understand he has lost it ), liberating him from the ever-repeated proximity of death ( making him understand that one day he will die )."," Každé analytické vědění je tedy nutně spjaté s praxí, s oním přiškrcením vztahu dvou lidí, z nichž jeden naslouchá řeči druhého, a osvobozuje tak jeho touhu po předmětu, který ztratil ( tak, že mu pomůže pochopit, že ho ztratil ) a osvobozuje ho od neustálé blízkosti smrti ( tak, že mu pomůže pochopit, že jednou zemře )."
"die","die","zemře","zemřít","pf"," All analytic knowledge is thus invincibly linked with a praxis, with that strangulation produced by the relation between two individuals, one of whom is listening to the other 's language, thus freeing his desire from the object it has lost ( making him understand he has lost it ), liberating him from the ever-repeated proximity of death ( making him understand that one day he will die )."," Každé analytické vědění je tedy nutně spjaté s praxí, s oním přiškrcením vztahu dvou lidí, z nichž jeden naslouchá řeči druhého, a osvobozuje tak jeho touhu po předmětu, který ztratil ( tak, že mu pomůže pochopit, že ho ztratil ) a osvobozuje ho od neustálé blízkosti smrti ( tak, že mu pomůže pochopit, že jednou zemře )."
"cut","cut","oddělen","oddělit","pf"," What is conveyed in the immediacy of the original is, therefore, that man is cut off from the origin that would make him contemporaneous with his own existence : amid all the things that are born in time and no doubt die in time, he, cut off from all origin, is already there."," Co se ukazuje v bezprostřednu počátečního, je tedy to, že člověk je oddělen od počátku, který ho učinil současníkem své vlastni existence : mezi všemi věcmi, které v čase vznikají a které v čase také bezpochyby zanikají, je člověk, oddělený od svého počátku, již zde."
"cut","cut","oddělen","oddělit","pf"," What is conveyed in the immediacy of the original is, therefore, that man is cut off from the origin that would make him contemporaneous with his own existence : amid all the things that are born in time and no doubt die in time, he, cut off from all origin, is already there."," Co se ukazuje v bezprostřednu počátečního, je tedy to, že člověk je oddělen od počátku, který ho učinil současníkem své vlastni existence : mezi všemi věcmi, které v čase vznikají a které v čase také bezpochyby zanikají, je člověk, oddělený od svého počátku, již zde."
"make","make","učinil","učinit","pf"," What is conveyed in the immediacy of the original is, therefore, that man is cut off from the origin that would make him contemporaneous with his own existence : amid all the things that are born in time and no doubt die in time, he, cut off from all origin, is already there."," Co se ukazuje v bezprostřednu počátečního, je tedy to, že člověk je oddělen od počátku, který ho učinil současníkem své vlastni existence : mezi všemi věcmi, které v čase vznikají a které v čase také bezpochyby zanikají, je člověk, oddělený od svého počátku, již zde."
"presented","present","ukazuje","ukazovat","impf"," In the modern experience, on the contrary, the retreat of the origin is more fundamental than all experience, since it is in it that experience shines and manifests its positivity; it is because man is not contemporaneous with his being that things are presented to him with a time that is proper to them."," V moderní zkušenosti je naopak ústup počátku mnohem základnější než každá zkušenost, neboť právě v něm se zkušenost třpytí a ukazuje svou pozitivitu."
"speaking","speak","říct","říci","pf"," Discourse was still to have the task of speaking that which is, but it was no longer to be anything more than what it said."," Diskurz bude mít za úkol říct, co je, ale bude jen tím, co říká."
"said","say","říct","říci","pf"," Discourse was still to have the task of speaking that which is, but it was no longer to be anything more than what it said."," Diskurz bude mít za úkol říct, co je, ale bude jen tím, co říká."
"speaking","speak","říká","říkat","impf"," Discourse was still to have the task of speaking that which is, but it was no longer to be anything more than what it said."," Diskurz bude mít za úkol říct, co je, ale bude jen tím, co říká."
"said","say","říká","říkat","impf"," Discourse was still to have the task of speaking that which is, but it was no longer to be anything more than what it said."," Diskurz bude mít za úkol říct, co je, ale bude jen tím, co říká."
"establish","establish","nastolíme","nastolit","pf"," When we establish a considered classification, when we say that a cat and a dog resemble each other less than two greyhounds do, even if both are tame or embalmed, even if both are frenzied, even if both have just broken the water pitcher, what is the ground on which we are able to establish the validity of this classification with complete certainty?"," Když nastolíme reflektovanou klasifikaci, když řekneme, že kočka a pes si jsou méně podobní než dva chrti, i kdyby byli oba ochočení nebo nabalzamovaní, i kdyby oba běželi jako šílení a i kdyby oba právě rozbili džbán, jaká je půda, na jejímž základě bychom tuto klasifikaci mohli postavit v naprosté jistotě?"
"establish","establish","nastolíme","nastolit","pf"," When we establish a considered classification, when we say that a cat and a dog resemble each other less than two greyhounds do, even if both are tame or embalmed, even if both are frenzied, even if both have just broken the water pitcher, what is the ground on which we are able to establish the validity of this classification with complete certainty?"," Když nastolíme reflektovanou klasifikaci, když řekneme, že kočka a pes si jsou méně podobní než dva chrti, i kdyby byli oba ochočení nebo nabalzamovaní, i kdyby oba běželi jako šílení a i kdyby oba právě rozbili džbán, jaká je půda, na jejímž základě bychom tuto klasifikaci mohli postavit v naprosté jistotě?"
"say","say","řekneme","říci","pf"," When we establish a considered classification, when we say that a cat and a dog resemble each other less than two greyhounds do, even if both are tame or embalmed, even if both are frenzied, even if both have just broken the water pitcher, what is the ground on which we are able to establish the validity of this classification with complete certainty?"," Když nastolíme reflektovanou klasifikaci, když řekneme, že kočka a pes si jsou méně podobní než dva chrti, i kdyby byli oba ochočení nebo nabalzamovaní, i kdyby oba běželi jako šílení a i kdyby oba právě rozbili džbán, jaká je půda, na jejímž základě bychom tuto klasifikaci mohli postavit v naprosté jistotě?"
"broken","break","rozbili","rozbít","pf"," When we establish a considered classification, when we say that a cat and a dog resemble each other less than two greyhounds do, even if both are tame or embalmed, even if both are frenzied, even if both have just broken the water pitcher, what is the ground on which we are able to establish the validity of this classification with complete certainty?"," Když nastolíme reflektovanou klasifikaci, když řekneme, že kočka a pes si jsou méně podobní než dva chrti, i kdyby byli oba ochočení nebo nabalzamovaní, i kdyby oba běželi jako šílení a i kdyby oba právě rozbili džbán, jaká je půda, na jejímž základě bychom tuto klasifikaci mohli postavit v naprosté jistotě?"
"proposed","propose","nabídnut","nabídnout","pf"," In Destutt or Gerando, Ideology posits itself both as the only rational and scientific form that philosophy can assume and as the sole philosophic foundation that can be proposed for the sciences in general and for each particular sphere of knowledge."," U Destutta nebo Geranda se ideologie dává zároveň jako jediná racionální a vědecká forma, kterou na sebe může filosofie vzít, a jediný filosofický základ, jenž může být nabídnut vědám obecně a každé zvláštní oblasti poznání."
"proceeds","proceed","postupuje","postupovat","impf"," The method, on the other hand, because it proceeds from identities and differences of the most general kind to those that are less so, is capable of bringing out vertical relations of subordination."," Naproti tomu metoda proto, že vychází z nejobecnějších identit a diferencí a postupuje k těm méně obecným, je schopna ukázat vertikální vztah subordinace."
"enables","enable","Umožňuje","umožňovat","impf"," It enables us, in fact, to see which characters are important enough never to be negated within a given family."," Umožňuje totiž zahlédnout, které charaktery jsou dostatečně důležité na to, aby v dané čeledi nebyly nikdy zapřeny."
"see","see","zahlédnout","zahlédnout","pf"," It enables us, in fact, to see which characters are important enough never to be negated within a given family."," Umožňuje totiž zahlédnout, které charaktery jsou dostatečně důležité na to, aby v dané čeledi nebyly nikdy zapřeny."
"designate","designate","označují","označovat","impf"," In this way, from within representation, signs are united with the very nature of what they designate, and the primitive treasury of vocables is imposed, in identical fashion, on all languages."," Právě takto dospívají znaky z hlubiny reprezentace k samé povaze toho, co označují, a takto tvoří ve všech jazycích stejným způsobem původní slovní zásobu."
"wishes","wish","chci","chtít","impf"," By onomatopoeia, of course, which is not a spontaneous expression, but the deliberate articulation of a sign that is also a resemblance : ' to make the same sound with one 's voice as the object that one wishes to name '."," Samozřejmě onomatopoicky, což není spontánní výraz, nýbrž volní artikulace podobajícího se znaku : "" vyluzovat hlasem stejný zvuk jako předmět, který chci jmenovat ""."
"resembled","resemble","podobaly","podobat","impf"," In the Classical age, when two languages resembled one another, it was necessary either to link them both to the absolutely primitive language they both sprang from, or to admit that one developed from the other ( but the criterion was external, the more derived of the two languages being that which had appeared historically at the more recent date ) or, again, to admit that there had been exchanges between them ( due to extra-linguistic events : invasion, trade, migration )."," Když se dva jazyky podobaly v klasickém věku, musely být buď oba vztaženy k naprosto počátečnímu jazyku, anebo bylo nutné připustit, že jeden pochází z druhého ( avšak kritérium je zde externí, odvozený jazyk je ten, který se v průběhu dějin objevil později ), anebo se také musely připustit výměny ( v důsledku mimojazykových událostí : invaze, obchod, migrace )."
"admit","admit","připustit","připustit","pf"," In the Classical age, when two languages resembled one another, it was necessary either to link them both to the absolutely primitive language they both sprang from, or to admit that one developed from the other ( but the criterion was external, the more derived of the two languages being that which had appeared historically at the more recent date ) or, again, to admit that there had been exchanges between them ( due to extra-linguistic events : invasion, trade, migration )."," Když se dva jazyky podobaly v klasickém věku, musely být buď oba vztaženy k naprosto počátečnímu jazyku, anebo bylo nutné připustit, že jeden pochází z druhého ( avšak kritérium je zde externí, odvozený jazyk je ten, který se v průběhu dějin objevil později ), anebo se také musely připustit výměny ( v důsledku mimojazykových událostí : invaze, obchod, migrace )."
"admit","admit","připustit","připustit","pf"," In the Classical age, when two languages resembled one another, it was necessary either to link them both to the absolutely primitive language they both sprang from, or to admit that one developed from the other ( but the criterion was external, the more derived of the two languages being that which had appeared historically at the more recent date ) or, again, to admit that there had been exchanges between them ( due to extra-linguistic events : invasion, trade, migration )."," Když se dva jazyky podobaly v klasickém věku, musely být buď oba vztaženy k naprosto počátečnímu jazyku, anebo bylo nutné připustit, že jeden pochází z druhého ( avšak kritérium je zde externí, odvozený jazyk je ten, který se v průběhu dějin objevil později ), anebo se také musely připustit výměny ( v důsledku mimojazykových událostí : invaze, obchod, migrace )."
"appeared","appear","objevil","objevit","pf"," In the Classical age, when two languages resembled one another, it was necessary either to link them both to the absolutely primitive language they both sprang from, or to admit that one developed from the other ( but the criterion was external, the more derived of the two languages being that which had appeared historically at the more recent date ) or, again, to admit that there had been exchanges between them ( due to extra-linguistic events : invasion, trade, migration )."," Když se dva jazyky podobaly v klasickém věku, musely být buď oba vztaženy k naprosto počátečnímu jazyku, anebo bylo nutné připustit, že jeden pochází z druhého ( avšak kritérium je zde externí, odvozený jazyk je ten, který se v průběhu dějin objevil později ), anebo se také musely připustit výměny ( v důsledku mimojazykových událostí : invaze, obchod, migrace )."
"admit","admit","připustit","připustit","pf"," In the Classical age, when two languages resembled one another, it was necessary either to link them both to the absolutely primitive language they both sprang from, or to admit that one developed from the other ( but the criterion was external, the more derived of the two languages being that which had appeared historically at the more recent date ) or, again, to admit that there had been exchanges between them ( due to extra-linguistic events : invasion, trade, migration )."," Když se dva jazyky podobaly v klasickém věku, musely být buď oba vztaženy k naprosto počátečnímu jazyku, anebo bylo nutné připustit, že jeden pochází z druhého ( avšak kritérium je zde externí, odvozený jazyk je ten, který se v průběhu dějin objevil později ), anebo se také musely připustit výměny ( v důsledku mimojazykových událostí : invaze, obchod, migrace )."
"admit","admit","připustit","připustit","pf"," In the Classical age, when two languages resembled one another, it was necessary either to link them both to the absolutely primitive language they both sprang from, or to admit that one developed from the other ( but the criterion was external, the more derived of the two languages being that which had appeared historically at the more recent date ) or, again, to admit that there had been exchanges between them ( due to extra-linguistic events : invasion, trade, migration )."," Když se dva jazyky podobaly v klasickém věku, musely být buď oba vztaženy k naprosto počátečnímu jazyku, anebo bylo nutné připustit, že jeden pochází z druhého ( avšak kritérium je zde externí, odvozený jazyk je ten, který se v průběhu dějin objevil později ), anebo se také musely připustit výměny ( v důsledku mimojazykových událostí : invaze, obchod, migrace )."
"determined","determine","určen","určit","pf"," But since this cost ( wages, capital and income, profits ) is in every case determined by labour already accomplished and applied to this new production, we see the emergence of a great linear, homogeneous series, which is that of production."," Ale jelikož je ve všech případech náklad ( mzdy, kapitál a příjmy, zisk ) určen prací už hotovou a aplikovanou na tuto novou výrobu, vzniká velká homogenní a lineární série výroby."
"read","read","číst","číst","impf"," The process is everywhere the same : that of the sign and its likeness, and this is why nature and the word can intertwine with one another to infinity, forming, for those who can read it, one vast single text."," V obou případech jde o stejnou hru, hru znaku a podobného, a proto se příroda a slovo mohou až do nekonečna křížit a jako jeden velký text poučovat toho, kdo umí číst."
"consists","consist","spočívá","spočívat","impf"," Instead of selecting, from the totality described, the elements - whether few or numerous - that are to be used as characters, the method consists in deducing them stage by stage."," Namísto toho, aby se v popsané totalitě rozčlenily vzácné nebo početné elementy, jež budou sloužit jako charaktery, metoda spočívá v tom, že se postupně odečtou."
"taken","take","chápáno","chápat","impf"," Deduction is to be taken here in the sense of subtraction."," Odečíst zde musí být chápáno ve smyslu odstranit."
"termed","term","nazývat","nazývat","impf"," So that Descartes, Leibniz, Diderot, and d'Alembert, even in what may be termed their failure, in their unfinished or deflected achievements, remained as close as possible to what constituted Classical thought."," Takže Descartes, Leibniz, Diderot a d ' Alembert se nacházeli nejblíže tomu, co bylo pro klasické myšlení konstitutivní, v tom, co můžeme nazývat jejich neúspěchem nebo dílem suspendovaným nebo zapomenutým."
"controlling","control","kontrolovat","kontrolovat","impf"," The Dictionary is created as a means of controlling the play of derivations on the basis of the primary designation of words, just as the Universal Language is created in order to control the errors of reflection - when it is formulating a judgement - on the basis of a well-established articulation."," Slovník má kontrolovat hru derivací od prvních označení slov, stejně jako má univerzální jazyk na základě správně utvořené artikulace kontrolovat chyby reflexe, když formuluje soud."
"control","control","kontrolovat","kontrolovat","impf"," The Dictionary is created as a means of controlling the play of derivations on the basis of the primary designation of words, just as the Universal Language is created in order to control the errors of reflection - when it is formulating a judgement - on the basis of a well-established articulation."," Slovník má kontrolovat hru derivací od prvních označení slov, stejně jako má univerzální jazyk na základě správně utvořené artikulace kontrolovat chyby reflexe, když formuluje soud."
"controlling","control","kontrolovat","kontrolovat","impf"," The Dictionary is created as a means of controlling the play of derivations on the basis of the primary designation of words, just as the Universal Language is created in order to control the errors of reflection - when it is formulating a judgement - on the basis of a well-established articulation."," Slovník má kontrolovat hru derivací od prvních označení slov, stejně jako má univerzální jazyk na základě správně utvořené artikulace kontrolovat chyby reflexe, když formuluje soud."
"control","control","kontrolovat","kontrolovat","impf"," The Dictionary is created as a means of controlling the play of derivations on the basis of the primary designation of words, just as the Universal Language is created in order to control the errors of reflection - when it is formulating a judgement - on the basis of a well-established articulation."," Slovník má kontrolovat hru derivací od prvních označení slov, stejně jako má univerzální jazyk na základě správně utvořené artikulace kontrolovat chyby reflexe, když formuluje soud."
"come","come","jdou","jít","impf"," All the interior lines of the painting, and above all those that come from the central reflection, point towards the very thing that is represented, but absent."," Všechny vnitřní linie obrazu a především ty, které jdou od ústředního odrazu, směřují k tomu, co je reprezentováno, ale co tu není."
"represented","represent","reprezentováno","reprezentovat","impf"," All the interior lines of the painting, and above all those that come from the central reflection, point towards the very thing that is represented, but absent."," Všechny vnitřní linie obrazu a především ty, které jdou od ústředního odrazu, směřují k tomu, co je reprezentováno, ale co tu není."
"stretching","stretch","natahuje","natahovat","impf"," Like a donor in prayer, like an angel greeting the Virgin, a maid of honour on her knees is stretching out her hands towards the princess."," Podobně jako modlící se donátor nebo jako anděl, který zdraví Pannu Marii, natahuje klečící guvernantka ruce k princezně."
"stands","stand","máme","mít","impf"," Her face stands out in perfect profile against the background."," Její obličej tu máme v dokonalém profilu."
"looking","look","dívá","dívat","impf"," This attendant is looking at the princess and only at the princess."," Guvernantka se dívá na princeznu a nedívá se na nic jiného."
"looking","look","nedívá","dívat","impf"," This attendant is looking at the princess and only at the princess."," Guvernantka se dívá na princeznu a nedívá se na nic jiného."
"prevents","prevent","brání","bránit","impf"," There does exist, however, a major difference that prevents classification from being the spontaneous language of nature and prices from being the natural discourse of wealth."," Přesto je tu velký rozdíl, který brání klasifikaci v tom, aby se stala spontánní řečí přírody, a cenám, aby byly přirozeným diskurzem bohatství."
"form","form","tvoří","tvořit","impf"," Thus, progressing from one to the next, living beings acquired by successive variations all the characters we now recognize in them, and, when one considers them in the dimension of time, the coherent, solid expanse they form is merely the fragmentary result of a much more tightly knit, much finer, continuity : a continuity that has been woven from an incalculable number of tiny, forgotten, or miscarried differences."," Takto pomalu dochází k postupným změnám všech známých charakterů a koherentní a pevná plocha, kterou tvoří, je, nahlížíme - li ji z hlediska času, pouhou fragmentární výslednicí mnohem sevřenějšího a mnohem jemnějšího kontinua : kontinua utkaného nespočitatelným množstvím malých, zapomenutých a zakrnělých diferencí."
"chose","choose","zvolily","zvolit","pf"," And if all peoples, in all climates, chose these same elementary sounds from among the raw material of the language of action, that is because they discerned in them, though in a secondary and reflective manner, a resemblance with the object they designated, or the possibility of applying it to an analogous object."," A pokud si všechny národy ve všech klimatech z materiálu řeči gest zvolily tyto základní zvuky, je to proto, že v nich objevili sekundárním a reflektovaným způsobem určitou podobnost s předmětem, který označovaly, anebo možnost je použít na předmět analogický."
"designated","designate","označovaly","označovat","impf"," And if all peoples, in all climates, chose these same elementary sounds from among the raw material of the language of action, that is because they discerned in them, though in a secondary and reflective manner, a resemblance with the object they designated, or the possibility of applying it to an analogous object."," A pokud si všechny národy ve všech klimatech z materiálu řeči gest zvolily tyto základní zvuky, je to proto, že v nich objevili sekundárním a reflektovaným způsobem určitou podobnost s předmětem, který označovaly, anebo možnost je použít na předmět analogický."
"applying","apply","použít","použít","pf"," And if all peoples, in all climates, chose these same elementary sounds from among the raw material of the language of action, that is because they discerned in them, though in a secondary and reflective manner, a resemblance with the object they designated, or the possibility of applying it to an analogous object."," A pokud si všechny národy ve všech klimatech z materiálu řeči gest zvolily tyto základní zvuky, je to proto, že v nich objevili sekundárním a reflektovaným způsobem určitou podobnost s předmětem, který označovaly, anebo možnost je použít na předmět analogický."
"regulated","regulate","uspořádala","uspořádat","pf"," The resemblance of the root to what it names assumes its value as a verbal sign only through the agency of the convention that brought men together and regulated their language of action so as to create a language."," Podobnost kořene s tím, co pojmenovává, nabývá verbální hodnoty pouze prostřednictvím konvence, jež sjednotila skupinu lidí a jež uspořádala jejich řeč gest v jazyk."
"spoken","speak","vysloveno","vyslovit","pf"," But once that name has been spoken, all the language that has led up to it, or that has been crossed in order to reach it, is reabsorbed into it and disappears."," Avšak jakmile je toto jméno jednou vysloveno, celá řeč, jež vedla až k němu, nebo jíž jsme museli projít, abychom k němu dospěli, se do něj vstřebává a mizí."
"led","lead","vedla","vést","impf"," But once that name has been spoken, all the language that has led up to it, or that has been crossed in order to reach it, is reabsorbed into it and disappears."," Avšak jakmile je toto jméno jednou vysloveno, celá řeč, jež vedla až k němu, nebo jíž jsme museli projít, abychom k němu dospěli, se do něj vstřebává a mizí."
"crossed","cross","projít","projít","pf"," But once that name has been spoken, all the language that has led up to it, or that has been crossed in order to reach it, is reabsorbed into it and disappears."," Avšak jakmile je toto jméno jednou vysloveno, celá řeč, jež vedla až k němu, nebo jíž jsme museli projít, abychom k němu dospěli, se do něj vstřebává a mizí."
"disappears","disappear","mizí","mizet","impf"," But once that name has been spoken, all the language that has led up to it, or that has been crossed in order to reach it, is reabsorbed into it and disappears."," Avšak jakmile je toto jméno jednou vysloveno, celá řeč, jež vedla až k němu, nebo jíž jsme museli projít, abychom k němu dospěli, se do něj vstřebává a mizí."
"tends","tend","směřuje","směřovat","impf"," So that Classical discourse, in its profound essence, tends always towards this boundary; but, in surviving it, pushes the boundary further away."," Takže ve své hluboké podstatě směřuje klasický diskurz pořád k této hranici, ale může přetrvat pouze tehdy, když ji posune dál."
"continues","continue","udržuje","udržovat","impf"," It continues on its way in the perpetually maintained suspension of the Name."," Kráčí v napětí, které Jméno neustále udržuje."
"maintained","maintain","udržuje","udržovat","impf"," It continues on its way in the perpetually maintained suspension of the Name."," Kráčí v napětí, které Jméno neustále udržuje."
"imagine","imagine","představovat","představovat","impf"," But to imagine that the human sciences defined their most radical project and inaugurated their positive history when it was decided to apply the calculation of probabilities to the phenomena of political opinion, and to employ logarithms as a means of measuring the increase of intensity in sensations, that would be to take a superficial counter-effect for the fundamental event."," Ale představovat si, že humanitní vědy definovaly svůj nej radikálnější projekt a počaly svou pozitivní historii toho dne, kdy byl aplikován pravděpodobnostní kalkul na fenomény politického myšlení a kdy byla použita logaritmická funkce k měření rostoucí intenzity počitků, znamená zaměňovat povrchový následek za fundamentální událost."
"apply","apply","použita","použít","pf"," But to imagine that the human sciences defined their most radical project and inaugurated their positive history when it was decided to apply the calculation of probabilities to the phenomena of political opinion, and to employ logarithms as a means of measuring the increase of intensity in sensations, that would be to take a superficial counter-effect for the fundamental event."," Ale představovat si, že humanitní vědy definovaly svůj nej radikálnější projekt a počaly svou pozitivní historii toho dne, kdy byl aplikován pravděpodobnostní kalkul na fenomény politického myšlení a kdy byla použita logaritmická funkce k měření rostoucí intenzity počitků, znamená zaměňovat povrchový následek za fundamentální událost."
"employ","employ","použita","použít","pf"," But to imagine that the human sciences defined their most radical project and inaugurated their positive history when it was decided to apply the calculation of probabilities to the phenomena of political opinion, and to employ logarithms as a means of measuring the increase of intensity in sensations, that would be to take a superficial counter-effect for the fundamental event."," Ale představovat si, že humanitní vědy definovaly svůj nej radikálnější projekt a počaly svou pozitivní historii toho dne, kdy byl aplikován pravděpodobnostní kalkul na fenomény politického myšlení a kdy byla použita logaritmická funkce k měření rostoucí intenzity počitků, znamená zaměňovat povrchový následek za fundamentální událost."
"take","take","použita","použít","pf"," But to imagine that the human sciences defined their most radical project and inaugurated their positive history when it was decided to apply the calculation of probabilities to the phenomena of political opinion, and to employ logarithms as a means of measuring the increase of intensity in sensations, that would be to take a superficial counter-effect for the fundamental event."," Ale představovat si, že humanitní vědy definovaly svůj nej radikálnější projekt a počaly svou pozitivní historii toho dne, kdy byl aplikován pravděpodobnostní kalkul na fenomény politického myšlení a kdy byla použita logaritmická funkce k měření rostoucí intenzity počitků, znamená zaměňovat povrchový následek za fundamentální událost."
"forms","form","tvoří","tvořit","impf"," The tabulations that it forms in the eyes of men, and that it is the task of the discourse of science to traverse, are the fragments of the great surface of living species that are apparent according to the way it has been patterned, burst open, and frozen, between two temporal revolutions."," "" Tabulky "", které před lidskýma očima tvoří a které se diskurz vědy rozhodl projít, jsou fragmenty velké plochy živočišných druhů takové, jak se rozčlenila, zpřevracela a ustrnula mezi dvěma revolucemi času."
"attracted","attract","přitahovány","přitahovat","impf"," In fact, in a country where prices are relatively low ( because the quantity of money in circulation is small ), foreign money is attracted by the greater buying power it acquires there : the quantity of metal increases."," Do končin, kde jsou ceny relativně nízké ( z důvodu malého množství peněz ), jsou cizí peníze přitahovány širokými nákupními možnostmi : množství kovu roste."
"say","say","říká","říkat","impf"," The state, as we say, becomes ' rich and powerful '; it is able to maintain a fleet and an army, achieve conquests, and enrich itself further."," Stát, jak se říká, "" bohatne a sílí "", může si dovolit vydržovat námořnictvo a armádu, dobýt cizí země, a tím se ještě více obohatit."
"enrich","enrich","obohatit","obohatit","pf"," The state, as we say, becomes ' rich and powerful '; it is able to maintain a fleet and an army, achieve conquests, and enrich itself further."," Stát, jak se říká, "" bohatne a sílí "", může si dovolit vydržovat námořnictvo a armádu, dobýt cizí země, a tím se ještě více obohatit."
