"assured","assure","ujistil","ujistit","pf"," Luria assured him that I would fit the bill and immediately wrote me the good news."," Luria jej ujistil, že se právě na to budu hodit, a ihned mi tyto dobré zprávy napsal."
"arranged","arrange","uspořádány","uspořádat","pf"," Francis, as well as I, knew almost nothing about how inorganic ions were arranged in three dimensions."," Nevěděli jsme s Francisem skoro nic o tom, jak jsou anorganické ionty trojrozměrně uspořádány."
"locked","lock","zamykat","zamykat","impf"," Custom then locked the doors of the Cavendish at 10:00 P.M."," V Cavendish bylo tehdy zvykem zamykat dveře v deset hodin večer."
"believed","believe","domníval","domnívat","impf"," Rutherford had believed in discouraging students from night work, since the summer evenings were more suitable for tennis."," Rutherford se domníval, že odradí studenty od noční práce, protože letní večery jsou vhodnější pro tenis."
"discouraging","discourage","odradí","odradit","pf"," Rutherford had believed in discouraging students from night work, since the summer evenings were more suitable for tennis."," Rutherford se domníval, že odradí studenty od noční práce, protože letní večery jsou vhodnější pro tenis."
"argued","argue","argumentoval","argumentovat","impf"," This was now pre-empted by Hugh Huxley, who argued that muscle fibers were living and hence not subject to rules for physicists."," Ten teď přednostně zabral Hugh Huxley, který argumentoval tím, že svalová vlákna jsou živá a nepodléhají proto pravidlům pro fyziky."
"working","work","pracoval","pracovat","impf"," He knows that a colleague has been working for years on a problem and has accumulated a mass of hard-won evidence, which has not yet been published because it is anticipated that success is just around the comer."," Ví, že kolega pracoval na určitém problému léta a nahromadil mnoho tvrdě získaných důkazů, které však nebyly dosud publikovány, protože se zdálo, že úspěch je již na dosah."
"seen","see","Viděl","vidět","impf"," He has seen this evidence and has good reason to believe that a method of attack which he can envisage, perhaps merely a new point of view, will lead straight to the solution."," Viděl tyto důkazy a měl dobré důvody věřit, že metoda jejich využití, kterou si sám představoval, určitý nový pohled, povede přímo k řešení."
"believe","believe","věřit","věřit","impf"," He has seen this evidence and has good reason to believe that a method of attack which he can envisage, perhaps merely a new point of view, will lead straight to the solution."," Viděl tyto důkazy a měl dobré důvody věřit, že metoda jejich využití, kterou si sám představoval, určitý nový pohled, povede přímo k řešení."
"lead","lead","povede","vést","impf"," He has seen this evidence and has good reason to believe that a method of attack which he can envisage, perhaps merely a new point of view, will lead straight to the solution."," Viděl tyto důkazy a měl dobré důvody věřit, že metoda jejich využití, kterou si sám představoval, určitý nový pohled, povede přímo k řešení."
"regarded","regard","považována","považovat","impf"," An offer of collaboration at such a stage might well be regarded as a trespass."," Nabídka spolupráce v takovém stadiu by ovšem snadno mohla být považována za nefér, nepoctivou."
"go","go","postupovat","postupovat","impf"," Should he go ahead on his own?"," Má tedy postupovat kupředu sám?"
"thinking","think","nepomyslel","pomyslet","pf"," No one should mind if, by spending only a few hours a week thinking about DNA, he helped me solve a smashingly important problem."," Nikdo by si nepomyslel, že tím, že věnuje zájmu o DNA pouhých několik hodin týdně, pomůže mi v řešení mimořádně důležitého problému."
"spending","spend","věnuje","věnovat","impf"," No one should mind if, by spending only a few hours a week thinking about DNA, he helped me solve a smashingly important problem."," Nikdo by si nepomyslel, že tím, že věnuje zájmu o DNA pouhých několik hodin týdně, pomůže mi v řešení mimořádně důležitého problému."
"helped","help","pomůže","pomoci","pf"," No one should mind if, by spending only a few hours a week thinking about DNA, he helped me solve a smashingly important problem."," Nikdo by si nepomyslel, že tím, že věnuje zájmu o DNA pouhých několik hodin týdně, pomůže mi v řešení mimořádně důležitého problému."
"help","help","pomohu","pomoci","pf"," As a consequence, John Kendrew soon realized that I was unlikely to help him solve the myoglobin structure."," John Kendrew brzy poznal, že mu sotva pomohu řešit strukturu myoglobinu."
"solve","solve","řešit","řešit","impf"," As a consequence, John Kendrew soon realized that I was unlikely to help him solve the myoglobin structure."," John Kendrew brzy poznal, že mu sotva pomohu řešit strukturu myoglobinu."
"hoped","hope","doufal","doufat","impf"," Since he was unable to grow large crystals of horse myoglobin, he initially hoped I might have a greener thumb."," Protože se mu nedařilo získat velké krystaly koňského myoglobinu, zpočátku doufal, že bych mohl mít štěstí začátečníka."
"talking","talk","přednášel","přednášet","impf"," Not only was it the obvious guess, but Maurice already had been talking in terms of helices at a summer meeting in Cambridge."," Maurice přednášel o šroubovici již na letním setkání v Cambridgi."
"shown","show","ukazoval","ukazovat","impf"," About six weeks before I first arrived there, he had shown X-ray diffraction pictures of DNA which revealed a marked absence of reflections on the meridian."," Asi šest týdnů před mým příchodem tam ukazoval snímky rentgenové difrakce DNA, které však nevzbudily nijak mimořádný ohlas."
"visit","visit","navštívila","navštívit","pf"," Peter and Linda, if she were to visit him, would undoubtedly liven up the Cambridge scene."," Peter a Linda, kdyby ho navštívila, by bezpochyby zcela vytočili cambridžskou scénu."
"make","make","získal","získat","pf"," Then the dream of virtually every Cal Tech chemistry student was that Linda would make his reputation by marrying him."," Tehdy bylo snem téměř každého studenta na CalTech, aby si získal reputaci sňatkem s Lindou."
"starts","start","začínalo","začínat","impf"," Under this scheme, gene replication starts with the separation of its two identical chains."," V takovém schématu by zdvojení genu začínalo oddělením dvou identických řetězců."
"lost","lose","ztrácet","ztrácet","impf"," By teatime I was back in the Cavendish, where Francis was explaining to John and Max that no further time must be lost on this side of the Atlantic."," Na čaj jsem se vrátil do Cavendish, kde Francis přesvědčoval Johna a Maxe, že na této straně Atlantiku nelze ztrácet čas."
"try","try","nesnažil","snažit","impf"," At no time did he try to reinterest me in myoglobin."," Nikdy se nesnažil znovu mě zaujmout pro myoglobin."
"used","use","využil","využít","pf"," Instead, I used the dark and chilly days to learn more theoretical chemistry or to leaf through journals, hoping that possibly there existed a forgotten clue to DNA."," Místo toho jsem využil temných a sychravých dnů k tomu, abych se naučil více z teoretické chemie nebo jsem listoval časopisy v naději, že možná někde existuje zapomenutý klíč k DNA."
"learn","learn","naučil","naučit","pf"," Instead, I used the dark and chilly days to learn more theoretical chemistry or to leaf through journals, hoping that possibly there existed a forgotten clue to DNA."," Místo toho jsem využil temných a sychravých dnů k tomu, abych se naučil více z teoretické chemie nebo jsem listoval časopisy v naději, že možná někde existuje zapomenutý klíč k DNA."
"existed","exist","existuje","existovat","impf"," Instead, I used the dark and chilly days to learn more theoretical chemistry or to leaf through journals, hoping that possibly there existed a forgotten clue to DNA."," Místo toho jsem využil temných a sychravých dnů k tomu, abych se naučil více z teoretické chemie nebo jsem listoval časopisy v naději, že možná někde existuje zapomenutý klíč k DNA."
"bothered","bother","trápilo","trápit","impf"," I am sure this occasionally bothered Francis, even though he obviously knew that most High Table life is dominated by pedantic, middle aged men incapable of either amusing or educating him in anything worthwhile."," Jsem přesvědčen, že to Francise občas trápilo, i když musel vědět, že život u Vysokého stolu ovládají pedantské středověké zjevy, neschopné se bavit nebo dokonce sdělit něco smysluplného."
"dominated","dominate","ovládají","ovládat","impf"," I am sure this occasionally bothered Francis, even though he obviously knew that most High Table life is dominated by pedantic, middle aged men incapable of either amusing or educating him in anything worthwhile."," Jsem přesvědčen, že to Francise občas trápilo, i když musel vědět, že život u Vysokého stolu ovládají pedantské středověké zjevy, neschopné se bavit nebo dokonce sdělit něco smysluplného."
"arranged","arrange","Zařídili","zařídit","pf"," It was so arranged that John Kendrew would call up Maurice to say that he should come out to see what Francis and I had just devised."," Zařídili jsme také, aby John Kendrew zavolal Maurice, aby se přišel podívat na to, co jsme s Francisem vykoumali."
"call","call","zavolal","zavolat","pf"," It was so arranged that John Kendrew would call up Maurice to say that he should come out to see what Francis and I had just devised."," Zařídili jsme také, aby John Kendrew zavolal Maurice, aby se přišel podívat na to, co jsme s Francisem vykoumali."
"call","call","přišel","přijít","pf"," It was so arranged that John Kendrew would call up Maurice to say that he should come out to see what Francis and I had just devised."," Zařídili jsme také, aby John Kendrew zavolal Maurice, aby se přišel podívat na to, co jsme s Francisem vykoumali."
"come","come","přišel","přijít","pf"," It was so arranged that John Kendrew would call up Maurice to say that he should come out to see what Francis and I had just devised."," Zařídili jsme také, aby John Kendrew zavolal Maurice, aby se přišel podívat na to, co jsme s Francisem vykoumali."
"see","see","přišel","přijít","pf"," It was so arranged that John Kendrew would call up Maurice to say that he should come out to see what Francis and I had just devised."," Zařídili jsme také, aby John Kendrew zavolal Maurice, aby se přišel podívat na to, co jsme s Francisem vykoumali."
"see","see","podívat","podívat","pf"," It was so arranged that John Kendrew would call up Maurice to say that he should come out to see what Francis and I had just devised."," Zařídili jsme také, aby John Kendrew zavolal Maurice, aby se přišel podívat na to, co jsme s Francisem vykoumali."
"intended","intend","hodlá","hodlat","impf"," Earlier in the day the post had brought a note from Maurice to Francis, mentioning that he was now about to go full stearil ahead on DNA and intended to place emphasis on model building."," Týž den ráno přišel totiž Francisovi od Maurice dopis, že se nyní plnou parou pustí do DNA a že se hodlá věnovat zejména stavbě modelů."
"do","do","dělat","dělat","impf"," Within a few days after my arrival, we knew what to do : imitate Linus Pauling and beat him at his own game."," Za několik dní po mém příchodu jsme již věděli, co budeme dělat : budeme napodobovat Linuse Paulinga a potírat ho na jeho vlastním poli."
"imitate","imitate","napodobovat","napodobovat","impf"," Within a few days after my arrival, we knew what to do : imitate Linus Pauling and beat him at his own game."," Za několik dní po mém příchodu jsme již věděli, co budeme dělat : budeme napodobovat Linuse Paulinga a potírat ho na jeho vlastním poli."
"suggested","suggest","naznačil","naznačit","pf"," Pauling 's success with the polypeptide chain had naturally suggested to Francis that the same tricks might also work for DNA."," Paulingův úspěch s polypeptidickým řetězcem naznačil Francisovi, že stejný postup je možno užít pro práci s DNA."
"kept","keep","bránit","bránit","impf"," But as long as no one nearby thought DNA was at the heart of everything, the potential personal difficulties with the King 's lab kept him from moving into action with DNA."," Avšak pokud někdo z jeho okolí nepochopí, že DNA je srdcem všeho, budou mu možná personální potíže v laboratoři bránit v práci na DNA."
"spend","spend","strávit","strávit","pf"," The only safe course was to ask for funds to spend another year with Herman."," Jedinou možností bylo zažádat o podporu, abych mohl strávit u Hermana další rok."
"enjoy","enjoy","těšit","těšit","impf"," It would have been risky to say that I could not make myself enjoy biochemistry."," Uvádět, že mě biochemie nijak zvlášť nezačala těšit, by bylo riskantní."
"see","see","Neviděl","vidět","impf"," Furthermore, I could see no reason why they should not permit me to change my plans after the renewal was granted."," Neviděl jsem ostatně důvod, proč by mi prodloužení studia nedovolili."
"permit","permit","nedovolili","dovolit","pf"," Furthermore, I could see no reason why they should not permit me to change my plans after the renewal was granted."," Neviděl jsem ostatně důvod, proč by mi prodloužení studia nedovolili."
"wrote","write","Napsal","napsat","pf"," I thus wrote to Washington saying that I wished to remain in the stimulating environment of Copenhagen."," Napsal jsem tedy do Washingtonu, že si přeji dále zůstat v podnětném kodaňském prostředí."
"wished","wish","přeji","přát","impf"," I thus wrote to Washington saying that I wished to remain in the stimulating environment of Copenhagen."," Napsal jsem tedy do Washingtonu, že si přeji dále zůstat v podnětném kodaňském prostředí."
"remain","remain","zůstat","zůstat","pf"," I thus wrote to Washington saying that I wished to remain in the stimulating environment of Copenhagen."," Napsal jsem tedy do Washingtonu, že si přeji dále zůstat v podnětném kodaňském prostředí."
"expected","expect","čekat","čekat","impf"," As expected, my fellowship was then renewed."," Jak se dalo čekat, mé stipendium bylo pak prodlouženo."
"renewed","renew","prodlouženo","prodloužit","pf"," As expected, my fellowship was then renewed."," Jak se dalo čekat, mé stipendium bylo pak prodlouženo."
"come","come","přijít","přijít","pf"," Conceivably, in doing so, he might have come up with a sensational new method which could be extended to the nucleic acids."," Mohl proto přijít se senzační novou metodou, kterou by bylo možno použít i pro nukleové kyseliny."
"remember","remember","nepamatoval","pamatovat","impf"," Jean, however, did not remember any special tricks."," Jean se však na nějaké zvláštní postupy nepamatoval."
"tell","tell","říci","říci","pf"," The most he could tell me was that a description of the α-helix would soon be published."," Všechno, co mi mohl říci, bylo, že popis α - šroubovice bude brzy publikován."
"arrived","arrive","přišel","přijít","pf"," By the time I was back to Copenhagen, the journal containing Linus ' article had arrived from the States."," V době, když jsem byl již zpátky v Kodani, přišel ze Států časopis s Linusovým článkem."
"do","do","udělat","udělat","pf"," Instead of wishing to do something with the pretty equations, Maurice wanted to concentrate on the fact that the theory did not go beyond some mathematics his colleague Stokes had worked out without all this fanfare."," Namísto přání něco s těmi krásnými rovnicemi udělat Maurice upozornil, že teorie nepřekračuje matematické výpočty jeho kolegy Stokese, který je udělal bez takových fanfár."
"did","do","udělat","udělat","pf"," Instead of wishing to do something with the pretty equations, Maurice wanted to concentrate on the fact that the theory did not go beyond some mathematics his colleague Stokes had worked out without all this fanfare."," Namísto přání něco s těmi krásnými rovnicemi udělat Maurice upozornil, že teorie nepřekračuje matematické výpočty jeho kolegy Stokese, který je udělal bez takových fanfár."
"go","go","nepřekračuje","překračovat","impf"," Instead of wishing to do something with the pretty equations, Maurice wanted to concentrate on the fact that the theory did not go beyond some mathematics his colleague Stokes had worked out without all this fanfare."," Namísto přání něco s těmi krásnými rovnicemi udělat Maurice upozornil, že teorie nepřekračuje matematické výpočty jeho kolegy Stokese, který je udělal bez takových fanfár."
"do","do","udělal","udělat","pf"," Instead of wishing to do something with the pretty equations, Maurice wanted to concentrate on the fact that the theory did not go beyond some mathematics his colleague Stokes had worked out without all this fanfare."," Namísto přání něco s těmi krásnými rovnicemi udělat Maurice upozornil, že teorie nepřekračuje matematické výpočty jeho kolegy Stokese, který je udělal bez takových fanfár."
"did","do","udělal","udělat","pf"," Instead of wishing to do something with the pretty equations, Maurice wanted to concentrate on the fact that the theory did not go beyond some mathematics his colleague Stokes had worked out without all this fanfare."," Namísto přání něco s těmi krásnými rovnicemi udělat Maurice upozornil, že teorie nepřekračuje matematické výpočty jeho kolegy Stokese, který je udělal bez takových fanfár."
"solved","solve","řešil","řešit","impf"," Stokes had solved the problem in the train while going home one evening and had produced the theory on a small sheet of paper the next morning."," Stokes řešil problém ve vlaku, když se jednoho večera vracel domů, a příští ráno napsal teorii na lístek papíru."
"produced","produce","napsal","napsat","pf"," Stokes had solved the problem in the train while going home one evening and had produced the theory on a small sheet of paper the next morning."," Stokes řešil problém ve vlaku, když se jednoho večera vracel domů, a příští ráno napsal teorii na lístek papíru."
"displayed","display","projevovala","projevovat","impf"," Rosy did not give a hoot about the priority of the creation of the helical theory and, as Francis prattled on, she displayed increasing irritation."," Rosy nad prioritou vytvoření šroubovicové teorie nejásala, a jak Francis pokračoval v brebentění, projevovala vzrůstající podrážděnost."
"lacking","lack","Chyběla","chybět","impf"," Yet there was still lacking a general theory to test new models as well as to confirm the finer details of the α-helix."," Chyběla však dosud obecná teorie pro testování nových modelů i pro potvrzení jemnějších detailů α - šroubovice."
"hoped","hope","doufal","doufat","impf"," This is what Vand hoped his theory would do."," Vand doufal, že právě to přináší jeho teorie."
"returned","return","vrátil","vrátit","pf"," At this stage Bragg had blown his top and, with his blood pressure all too high, returned home presumably to tell his wife about the latest antics of their problem child."," Bragg silně odfrkl a se svým vždy vysokým krevním tlakem se vrátil domů a pravděpodobně své ženě vyprávěl o poslední nezbednosti jejich problematického dítěte."
"tell","tell","vyprávěl","vyprávět","impf"," At this stage Bragg had blown his top and, with his blood pressure all too high, returned home presumably to tell his wife about the latest antics of their problem child."," Bragg silně odfrkl a se svým vždy vysokým krevním tlakem se vrátil domů a pravděpodobně své ženě vyprávěl o poslední nezbednosti jejich problematického dítěte."
"told","tell","řekl","říci","pf"," Bragg, in dismissing him from his room, had angrily told him that he would consider seriously whether he could continue to give Francis a place in the laboratory after his Ph. D. course was ended."," Když ho Bragg vyhazoval z pracovny, řekl mu vztekle, že si ještě vážně rozmyslí, zda si ho nadále podrží v laboratoři po ukončení jeho doktorské práce."
"walked","walk","šla","jít","impf"," Afterwards she searched out a friend for tea while I walked back across the Seine to our hotel near the Palais du Luxembourg."," Potom šla Elizabeth s přítelem na čaj a já jsem se vrátil přes Seinu k našemu hotelu blízko Palais du Luxembourg."
"walked","walk","du","jít","impf"," Afterwards she searched out a friend for tea while I walked back across the Seine to our hotel near the Palais du Luxembourg."," Potom šla Elizabeth s přítelem na čaj a já jsem se vrátil přes Seinu k našemu hotelu blízko Palais du Luxembourg."
"celebrate","celebrate","oslavili","oslavit","pf"," Later that night with Peter we would celebrate my birthday."," Později večer jsme s Peterem oslavili mé narozeniny."
"looking","look","díval","dívat","impf"," But now I was alone, looking at the long-haired girls near St. Germain des Prés and knowing they were not for me."," Ale teď jsem byl sám, díval se na dlouhovlasé dívky blízko St. Germain des Prés a věděl jsem, že pro mě už nejsou."
"imagine","imagine","představit","představit","pf"," By now, however, protein subunits were easy to imagine in large numbers."," Teprve teď bylo možné si představit podjednotky proteinů ve velkém množství."
"carry","carry","nést","nést","impf"," Division of the RNA component into a large number of subunits would produce polynucleotid chains too small to carry the genetic information that Francis and I believed must reside in the viral RNA."," Rozdělení RNA na velké množství podjednotek by dávalo příliš malé polynukleotidové řetězce, než aby mohly nést genetickou informaci, o které jsme se s Francisem domnívali, že musí být ve virové RNA obsažena."
"believed","believe","domnívali","domnívat","impf"," Division of the RNA component into a large number of subunits would produce polynucleotid chains too small to carry the genetic information that Francis and I believed must reside in the viral RNA."," Rozdělení RNA na velké množství podjednotek by dávalo příliš malé polynukleotidové řetězce, než aby mohly nést genetickou informaci, o které jsme se s Francisem domnívali, že musí být ve virové RNA obsažena."
"surrounded","surround","obklopeno","obklopit","pf"," The most plausible hypothesis for the TMV structure was a central RNA core surrounded by a large number of identical small protein sub-units."," Nejpřijatelnější hypotézou pro strukturu TMV bylo, že centrální jádro z RNA je obklopeno velkým množstvím malých, shodných proteinových podjednotek."
"existed","exist","existovaly","existovat","impf"," In fact, there already existed biochemical evidence for protein building blocks."," Pro proteinové bloky již existovaly skutečné biochemické důkazy."
"concentrate","concentrate","soustředit","soustředit","pf"," Within a few days it became apparent that Herman 's mind was not going to concentrate on science for some time, for perhaps as long as I would remain in Copenhagen."," Brzy bylo jasné, že se Herman nedokáže soustředit na vědu, dost možná po celou dobu, co bych měl být v Kodani."
"teach","teach","učit","učit","impf"," So the fact that he did not have to teach me nucleic-acid biochemistry was obviously a godsend."," To, že mě nebude schopen učit biochemii nukleových kyselin, byl přímo dar boží."
"force","force","nutit","nutit","impf"," I could cycle each day over to Ole 's lab, knowing it was clearly better to deceive the fellowship electors about where I was working than to force Herman to talk about biochemistry."," Mohl jsem tak denně jezdit na kole do Oleho laboratoře s vědomím, že je lepší podvádět komisi pro stipendia, než nutit Hermana vyprávět o biochemii."
"talk","talk","vyprávět","vyprávět","impf"," I could cycle each day over to Ole 's lab, knowing it was clearly better to deceive the fellowship electors about where I was working than to force Herman to talk about biochemistry."," Mohl jsem tak denně jezdit na kole do Oleho laboratoře s vědomím, že je lepší podvádět komisi pro stipendia, než nutit Hermana vyprávět o biochemii."
"hold","hold","má","mít","impf"," Moreover, he felt sure that the quantum-mechanical arguments which showed why diketopiperazine has the keto form should also hold for guanine and thymine."," Navíc, Jerry byl přesvědčen, že kvantově mechanické důkazy, z kterých vyplývá, že diketopiperazin má keto formu, platí také pro guanin a thymin."
"hold","hold","platí","platit","impf"," Moreover, he felt sure that the quantum-mechanical arguments which showed why diketopiperazine has the keto form should also hold for guanine and thymine."," Navíc, Jerry byl přesvědčen, že kvantově mechanické důkazy, z kterých vyplývá, že diketopiperazin má keto formu, platí také pro guanin a thymin."
"did","do","brát","brát","impf"," Though my immediate reaction was to hope that Jerry was blowing hot air, I did not dismiss his criticism."," I když mojí první reakcí byla naděje, že Jerry přehání, nemohl jsem brát jeho slova na lehkou váhu."
"inviting","invite","nepozval","pozvat","pf"," This kept us in check until, as midnight approached, Peter held forth on how Lord Rothschild was avoiding his responsibility as a father by not inviting him to dinner with his daughter Sarah."," To nás zabavilo skoro až do půlnoci, kdy Peter začal vykládat, jak lord Rothschild zanedbal svou otcovskou odpovědnost, když jej nepozval na oběd se svou dcerou Sarah."
"acquiring","acquire","dostane","dostat","pf"," I could not disagree, for if Peter moved into the fashionable world I might have a chance to escape acquiring a faculty-type wife."," Nemohl jsem nesouhlasit, protože teprve když se Peter dostane do módního světa vysoké společnosti, budu mít naději mu uniknout a získat ženu studijního typu."
"escape","escape","uniknout","uniknout","pf"," I could not disagree, for if Peter moved into the fashionable world I might have a chance to escape acquiring a faculty-type wife."," Nemohl jsem nesouhlasit, protože teprve když se Peter dostane do módního světa vysoké společnosti, budu mít naději mu uniknout a získat ženu studijního typu."
"acquiring","acquire","získat","získat","pf"," I could not disagree, for if Peter moved into the fashionable world I might have a chance to escape acquiring a faculty-type wife."," Nemohl jsem nesouhlasit, protože teprve když se Peter dostane do módního světa vysoké společnosti, budu mít naději mu uniknout a získat ženu studijního typu."
"terminated","terminate","končit","končit","impf"," The second fellowship was not for the customary twelvemonth period but explicitly terminated after eight months, in the middle of May."," Toto stipendium nebylo na obvyklých dvanáct měsíců, ale mělo končit výslovně po osmi měsících, uprostřed května."
"following","follow","neposlechl","poslechnout","pf"," My real punishment in not following the Board 's advice and going to Stockholm was a thousand dollars."," Trestem za to, že jsem neposlechl Radu a nešel do Stockholmu, bylo tisíc dolarů."
"going","go","nešel","jít","impf"," My real punishment in not following the Board 's advice and going to Stockholm was a thousand dollars."," Trestem za to, že jsem neposlechl Radu a nešel do Stockholmu, bylo tisíc dolarů."
"obtain","obtain","získat","získat","pf"," By this time it was virtually impossible to obtain any support which could begin before the September start of a new school year."," V té době bylo nemožné získat nějakou podporu dříve, než počátkem září začne nový školní rok."
"begin","begin","začne","začít","pf"," By this time it was virtually impossible to obtain any support which could begin before the September start of a new school year."," V té době bylo nemožné získat nějakou podporu dříve, než počátkem září začne nový školní rok."
"accepted","accept","přijal","přijmout","pf"," I naturally accepted the fellowship."," Přirozeně jsem stipendium přijal."
"came","come","přišel","přijít","pf"," Less than a week later, a new letter came from Washington."," O necelý týden později přišel z Washingtonu další dopis."
"went","go","Šel","jít","impf"," I thus went to Roy Markham to see if any spare TMV was on hand."," Šel jsem tedy k Royovi Markhamovi, abych zjistil, zda má po ruce nějaký přebytečný TMV."
"worked","work","pracoval","pracovat","impf"," Markham then worked in the Molteno Institute, which, unlike all other Cambridge labs, was well heated."," Markham tehdy pracoval v institutu Molteno, který byl, na rozdíl od všech ostatních cambridžských laboratoří, dobře vytápěn."
"called","call","říkali","říkat","impf"," Not that he was at all in love with Rosy, as we called her from a distance."," Ne, že by snad byl do Rosy, jak jsme jí mezi sebou říkali, zamilován."
"wanted","want","potřeboval","potřebovat","impf"," Maurice, a beginner in X-ray diffraction work, wanted some professional help and hoped that Rosy, a trained crystallographer, could speed up his research."," Maurice, který byl v rentgenové difrakci začátečník, potřeboval pomoc a doufal, že Rosy jako zkušená krystalografka by mohla jeho výzkum urychlit."
"hoped","hope","doufal","doufat","impf"," Maurice, a beginner in X-ray diffraction work, wanted some professional help and hoped that Rosy, a trained crystallographer, could speed up his research."," Maurice, který byl v rentgenové difrakci začátečník, potřeboval pomoc a doufal, že Rosy jako zkušená krystalografka by mohla jeho výzkum urychlit."
"speed","speed","urychlit","urychlit","pf"," Maurice, a beginner in X-ray diffraction work, wanted some professional help and hoped that Rosy, a trained crystallographer, could speed up his research."," Maurice, který byl v rentgenové difrakci začátečník, potřeboval pomoc a doufal, že Rosy jako zkušená krystalografka by mohla jeho výzkum urychlit."
"see","see","viděla","vidět","impf"," Rosy, however, did not see the situation this way."," Ale Rosy to viděla jinak."
"telephoned","telephone","zatelefonoval","zatelefonovat","pf"," When Max telephoned upstairs that I was here, Sir Lawrence came down from his office, let me say a few words, and then retired for a private conversation with Max."," Když mu Max zatelefonoval, že jsem zde, sir Lawrence sešel dolů ze své pracovny, nechal mě říct několik slov a pak s Maxem odešli, aby si promluvili o samotě."
"let","let","nechal","nechat","pf"," When Max telephoned upstairs that I was here, Sir Lawrence came down from his office, let me say a few words, and then retired for a private conversation with Max."," Když mu Max zatelefonoval, že jsem zde, sir Lawrence sešel dolů ze své pracovny, nechal mě říct několik slov a pak s Maxem odešli, aby si promluvili o samotě."
"retired","retire","nechal","nechat","pf"," When Max telephoned upstairs that I was here, Sir Lawrence came down from his office, let me say a few words, and then retired for a private conversation with Max."," Když mu Max zatelefonoval, že jsem zde, sir Lawrence sešel dolů ze své pracovny, nechal mě říct několik slov a pak s Maxem odešli, aby si promluvili o samotě."
"say","say","říct","říci","pf"," When Max telephoned upstairs that I was here, Sir Lawrence came down from his office, let me say a few words, and then retired for a private conversation with Max."," Když mu Max zatelefonoval, že jsem zde, sir Lawrence sešel dolů ze své pracovny, nechal mě říct několik slov a pak s Maxem odešli, aby si promluvili o samotě."
"retired","retire","odešli","odejít","pf"," When Max telephoned upstairs that I was here, Sir Lawrence came down from his office, let me say a few words, and then retired for a private conversation with Max."," Když mu Max zatelefonoval, že jsem zde, sir Lawrence sešel dolů ze své pracovny, nechal mě říct několik slov a pak s Maxem odešli, aby si promluvili o samotě."
"emerged","emerge","objevili","objevit","pf"," A few minutes later they emerged to allow Bragg to give me his formal permission to work under his direction."," Po několika minutách se objevili a Bragg mi dal formální povolení pracovat pod jeho vedením."
"give","give","dal","dát","pf"," A few minutes later they emerged to allow Bragg to give me his formal permission to work under his direction."," Po několika minutách se objevili a Bragg mi dal formální povolení pracovat pod jeho vedením."
"work","work","pracovat","pracovat","impf"," A few minutes later they emerged to allow Bragg to give me his formal permission to work under his direction."," Po několika minutách se objevili a Bragg mi dal formální povolení pracovat pod jeho vedením."
"sounded","sound","znělo","znít","impf"," My repeated refrain that DNA could fall at any moment sounded too suspiciously like Francis in one of his overwrought periods."," Moje stálé opakování, že struktura DNA může být každým okamžikem na spadnutí, znělo příliš nevěrohodně, stejně jako kdysi Francisovo omílání v některém z jeho exaltovaných období."
"trying","try","snažil","snažit","impf"," For years Francis had been trying to tell him what was important, but the more dispassionately he considered his life, the more he knew he had been wise to follow up his own hunches."," Po léta se mu Francis snažil říct, co je důležité, ale čím déle se bez emocí zamýšlel nad jeho životem, tím více dospíval k přesvědčení, že bude moudřejší věřit ve vlastní intuici."
"tell","tell","říct","říci","pf"," For years Francis had been trying to tell him what was important, but the more dispassionately he considered his life, the more he knew he had been wise to follow up his own hunches."," Po léta se mu Francis snažil říct, co je důležité, ale čím déle se bez emocí zamýšlel nad jeho životem, tím více dospíval k přesvědčení, že bude moudřejší věřit ve vlastní intuici."
"forgotten","forget","zapomenuty","zapomenout","pf"," By then all traces of our early bickering were forgotten, and we both came to appreciate greatly her personal honesty and generosity, realizing years too late the struggles that the intelligent woman faces to be accepted by a scientific world which often regards women as mere diversions from serious thinking."," Tehdy již byly všechny stopy našeho dřívějšího hašteření zapomenuty a oba jsme velmi oceňovali její osobní čestnost a velkodušnost, protože jsme po letech příliš pozdě rozpoznali bitvu, kterou musí inteligentní žena svést, aby byla kladně přijata vědeckým světem, který často považuje ženy za neschopné seriózního myšlení."
"appreciate","appreciate","oceňovali","oceňovat","impf"," By then all traces of our early bickering were forgotten, and we both came to appreciate greatly her personal honesty and generosity, realizing years too late the struggles that the intelligent woman faces to be accepted by a scientific world which often regards women as mere diversions from serious thinking."," Tehdy již byly všechny stopy našeho dřívějšího hašteření zapomenuty a oba jsme velmi oceňovali její osobní čestnost a velkodušnost, protože jsme po letech příliš pozdě rozpoznali bitvu, kterou musí inteligentní žena svést, aby byla kladně přijata vědeckým světem, který často považuje ženy za neschopné seriózního myšlení."
"accepted","accept","přijata","přijmout","pf"," By then all traces of our early bickering were forgotten, and we both came to appreciate greatly her personal honesty and generosity, realizing years too late the struggles that the intelligent woman faces to be accepted by a scientific world which often regards women as mere diversions from serious thinking."," Tehdy již byly všechny stopy našeho dřívějšího hašteření zapomenuty a oba jsme velmi oceňovali její osobní čestnost a velkodušnost, protože jsme po letech příliš pozdě rozpoznali bitvu, kterou musí inteligentní žena svést, aby byla kladně přijata vědeckým světem, který často považuje ženy za neschopné seriózního myšlení."
