"say","say","neodpovíš","odpovědět","pf"," ' Why do n't you say something, Niza? ' asked Judas miserably, hastening to keep pace with her."," "" Proč mi neodpovíš, Niso? "" žadonil Jidáš, když ji dohnal."
"sat","sit","seděl","sedět","impf"," Now as he sat on his stone, his eyes festering from heat, dust and lack of sleep, the black-bearded man felt miserable."," Teď muž s černou bradkou a očima zanícenýma od slunce a nespavosti seděl na balvanu a očividně trpěl."
"told","tell","řekl","říci","pf"," ' But who told you? '"," "" Dovolte, kdo vám to řekl?! """
"believe","believe","Věřte","věřit","impf"," ' You must believe him! ' Andrei Fokich begged fervently."," "" Věřte mu! "" ujišťoval ho horlivě bufetář."
"fell","fall","usnul","usnout","pf"," There he behaved so violently that he had to be given one of Stravinsky 's special injections and it was midnight before Nikanor Ivanovich fell asleep in room No. 119, uttering an occasional deep, tormented groan."," Tady natolik vyváděl, až mu museli píchnout injekci podle Stravinského receptu, a teprve po půlnoci ve stodevatenáctce usnul a občas těžce, trpitelsky vzdychal ze spaní."
"stopped","stop","Přestal","přestat","pf"," He stopped tossing and moaning, his breathing grew light and even, until finally the doctors left him alone."," Přestal se převracet z boku na bok a sténat a začal lehce, pravidelně oddechovat, takže ho nechali samotného."
"left","leave","Přestal","přestat","pf"," He stopped tossing and moaning, his breathing grew light and even, until finally the doctors left him alone."," Přestal se převracet z boku na bok a sténat a začal lehce, pravidelně oddechovat, takže ho nechali samotného."
"left","leave","nechali","nechat","pf"," He stopped tossing and moaning, his breathing grew light and even, until finally the doctors left him alone."," Přestal se převracet z boku na bok a sténat a začal lehce, pravidelně oddechovat, takže ho nechali samotného."
"sitting","sit","posadil","posadit","pf"," ' Very well, ' replied the cat, sitting down, ' but I must object."," "" Prosím, "" poslechl kocour a posadil se, "" ale nemohu při nejlepší vůli souhlasit s tím, co jste řekl."
"means","mean","vyjadřovat","vyjadřovat","impf"," My remarks are by no means all hot air, as you so vulgarly put it, but a series of highly apposite syllogisms which would be appreciated by such connoisseurs as Sextus Empiricus, Martian Capella, even, who knows, Aristotle himself."," To není žádná slátanina, jak se ráčíte vyjadřovat v přítomnosti dámy, ale řetěz souvislých sylogismů, které by ocenili i takoví znalci, jako byl Sextus Empiricus, Martianus Capella a dokonce i sám Aristoteles. """
"appreciated","appreciate","ocenili","ocenit","pf"," My remarks are by no means all hot air, as you so vulgarly put it, but a series of highly apposite syllogisms which would be appreciated by such connoisseurs as Sextus Empiricus, Martian Capella, even, who knows, Aristotle himself."," To není žádná slátanina, jak se ráčíte vyjadřovat v přítomnosti dámy, ale řetěz souvislých sylogismů, které by ocenili i takoví znalci, jako byl Sextus Empiricus, Martianus Capella a dokonce i sám Aristoteles. """
"revealed","reveal","odhalila","odhalit","pf"," The earth rose up to her and the moonlit landscape, until then an indistinguishable blur, was revealed in exquisite detail."," Země byla téměř na dosah ruky a postupně tato černá neforemná hmota odhalila svá tajemství a krásy, zvlášť patrné za měsíčné noci."
"flew","fly","Letěla","letět","impf"," Margarita flew just above the veil of mist over meadow and pond;"," Letěla těsně nad zamlženou rosnatou loukou a pak nad rybníkem."
"went","go","pokračoval","pokračovat","impf"," Shielding his eyes from the torch-flame, he went on :"," Pak si zastínil rukou oči před světlem a pokračoval :"
"spoken","speak","řekl","říci","pf"," To excuse his pointless remark, spoken while still half-dreaming, the Procurator said :"," Aby zamluvil zbytečná slova, pronesená ještě v polospánku, řekl :"
"said","say","řekl","říci","pf"," To excuse his pointless remark, spoken while still half-dreaming, the Procurator said :"," Aby zamluvil zbytečná slova, pronesená ještě v polospánku, řekl :"
"offended","offend","Neurážej","urážet","impf"," ' Do n't be offended, centurion."," "" Neurážej se."
"said","say","pronesl","pronést","pf"," ' Comrade Bezdomny, ' said the face solemnly, ' calm down!"," "" Soudruhu Bezprizorný, "" pronesl obličej slavnostním tónem, "" uklidněte se!"
"calm","calm","uklidněte","uklidnit","pf"," ' Comrade Bezdomny, ' said the face solemnly, ' calm down!"," "" Soudruhu Bezprizorný, "" pronesl obličej slavnostním tónem, "" uklidněte se!"
"need","need","Potřebujete","potřebovat","impf"," You need rest."," Potřebujete klid."
"forget","forget","zapomenete","zapomenout","pf"," You 'll be taken home to bed in a moment and then you can relax and forget all about it ... '"," Kolegové vás doprovodí do postele a zapomenete ... """
"reached","reach","došel","dojít","pf"," Slightly shaken, the accountant reached the door of the secretaries ' office, which was the ante-room to the chairman 's office, where he had the greatest shock of all."," Udivený Vasilij Stěpanovič došel až ke dveřím sekretariátu, umístěného v předpokoji kanceláře předsedy komise, a definitivně zkoprněl."
"exist","exist","neexistují","existovat","impf"," But that, of course, is pure fantasy - the Caribbean does n't exist, no desperate buccaneers sail it, no corvette ever chases them, no puffs of cannon-smoke ever roll across the waves."," Mystičtí našeptávači lžou, na světě neexistují Karibská moře a v nich neplují odvážní piráti, ani se za nimi nežene korveta a nad hřebeny vln se nevznášejí oblaka střelného dýmu."
"sail","sail","neplují","plout","impf"," But that, of course, is pure fantasy - the Caribbean does n't exist, no desperate buccaneers sail it, no corvette ever chases them, no puffs of cannon-smoke ever roll across the waves."," Mystičtí našeptávači lžou, na světě neexistují Karibská moře a v nich neplují odvážní piráti, ani se za nimi nežene korveta a nad hřebeny vln se nevznášejí oblaka střelného dýmu."
"chases","chase","nežene","hnát","impf"," But that, of course, is pure fantasy - the Caribbean does n't exist, no desperate buccaneers sail it, no corvette ever chases them, no puffs of cannon-smoke ever roll across the waves."," Mystičtí našeptávači lžou, na světě neexistují Karibská moře a v nich neplují odvážní piráti, ani se za nimi nežene korveta a nad hřebeny vln se nevznášejí oblaka střelného dýmu."
"floating","float","pluje","plout","impf"," And the ice is floating in the wine-bucket and at the next table there 's a man with ox-like, bloodshot eyes and it 's pandemonium ..."," Led pluje ve sklenici, u sousedního stolu zahlédneme čísi krvavě podlité býčí oči, až je nám z toho úzko ..."
"vanished","vanish","Zmizely","zmizet","pf"," The suspension bridges connecting the temple with the grim fortress of Antonia vanished, the murk descended from the sky and drowned the winged gods above the hippodrome, the crenellated Hasmonaean palace, the bazaars, the caravanserai, the alleyways, the pools ..."," Zmizely visuté mosty, spojující chrám s obávanou Antoniovou věží ..."
"vanished","vanish","zmizelo","zmizet","pf"," Jerusalem, the great city, vanished as though it had never been ..."," Velké město zmizelo z povrchu zemského, jako by nikdy neexistovalo ... '"
"sit","sit","Seďte","sedět","impf"," Yet you sit here alone on a bench and beg him to let you go, to allow you to be free and to forget him! '"," Seďte si tady dál na lavičce a škemrejte, aby vám dal svobodu, že takhle nemůžete volně dýchat, a proste Boha, abyste na něj zapomněla! """
"beg","beg","proste","prosit","impf"," Yet you sit here alone on a bench and beg him to let you go, to allow you to be free and to forget him! '"," Seďte si tady dál na lavičce a škemrejte, aby vám dal svobodu, že takhle nemůžete volně dýchat, a proste Boha, abyste na něj zapomněla! """
"forget","forget","zapomněla","zapomenout","pf"," Yet you sit here alone on a bench and beg him to let you go, to allow you to be free and to forget him! '"," Seďte si tady dál na lavičce a škemrejte, aby vám dal svobodu, že takhle nemůžete volně dýchat, a proste Boha, abyste na něj zapomněla! """
"described","describe","popisoval","popisovat","impf"," Nikolai Ivanovich departed slightly from the truth, however, when he described how he had carried Margarita Nikolayevna 's naked maid through the air to bathe in the river at some unknown spot and how Margarita Nikolayevna herself had appeared naked at the window."," Když popisoval, jak nesl na hřbetě nahatou služebnou Markéty Nikolajevny kamsi ke všem čertům a nejdřív k řece, kde se koupala, a jak se předtím v okně objevila nahá Markéta Nikolajevna, Nikolaj Ivanovič se poněkud odchýlil od pravdy."
"carried","carry","nesl","nést","impf"," Nikolai Ivanovich departed slightly from the truth, however, when he described how he had carried Margarita Nikolayevna 's naked maid through the air to bathe in the river at some unknown spot and how Margarita Nikolayevna herself had appeared naked at the window."," Když popisoval, jak nesl na hřbetě nahatou služebnou Markéty Nikolajevny kamsi ke všem čertům a nejdřív k řece, kde se koupala, a jak se předtím v okně objevila nahá Markéta Nikolajevna, Nikolaj Ivanovič se poněkud odchýlil od pravdy."
"bathe","bathe","koupala","koupat","impf"," Nikolai Ivanovich departed slightly from the truth, however, when he described how he had carried Margarita Nikolayevna 's naked maid through the air to bathe in the river at some unknown spot and how Margarita Nikolayevna herself had appeared naked at the window."," Když popisoval, jak nesl na hřbetě nahatou služebnou Markéty Nikolajevny kamsi ke všem čertům a nejdřív k řece, kde se koupala, a jak se předtím v okně objevila nahá Markéta Nikolajevna, Nikolaj Ivanovič se poněkud odchýlil od pravdy."
"appeared","appear","objevila","objevit","pf"," Nikolai Ivanovich departed slightly from the truth, however, when he described how he had carried Margarita Nikolayevna 's naked maid through the air to bathe in the river at some unknown spot and how Margarita Nikolayevna herself had appeared naked at the window."," Když popisoval, jak nesl na hřbetě nahatou služebnou Markéty Nikolajevny kamsi ke všem čertům a nejdřív k řece, kde se koupala, a jak se předtím v okně objevila nahá Markéta Nikolajevna, Nikolaj Ivanovič se poněkud odchýlil od pravdy."
"thought","think","nepovažoval","považovat","impf"," He thought it unnecessary to recall, for instance, that he had appeared in the bedroom carrying Margarita 's abandoned slip or that he had called Natasha ' Venus. '"," Tak například nepovažoval za nutné podotknout, že vstoupil do ložnice s odhozenou dámskou košilkou v ruce a že Natašu oslovoval "" Venuše ""."
"sit","sit","sedněte","sednout","pf"," Please sit down. '"," Jen si klidně sedněte. """
"ringing","ring","telefonoval","telefonovat","impf"," The professor changed his mind and instead of ringing up Burye dialled the number of the Leech Bureau and asked them to send a leech to his house at once."," Kuzmin místo aby vytočil Bureovo číslo, telefonoval do sběrny pijavek, ohlásil se plným jménem a žádal, aby mu okamžitě poslali pijavice."
"asked","ask","žádal","žádat","impf"," The professor changed his mind and instead of ringing up Burye dialled the number of the Leech Bureau and asked them to send a leech to his house at once."," Kuzmin místo aby vytočil Bureovo číslo, telefonoval do sběrny pijavek, ohlásil se plným jménem a žádal, aby mu okamžitě poslali pijavice."
"send","send","poslali","poslat","pf"," The professor changed his mind and instead of ringing up Burye dialled the number of the Leech Bureau and asked them to send a leech to his house at once."," Kuzmin místo aby vytočil Bureovo číslo, telefonoval do sběrny pijavek, ohlásil se plným jménem a žádal, aby mu okamžitě poslali pijavice."
"hear","hear","neslyšel","slyšet","impf"," I could hear it but see nothing."," Nic víc jsem neslyšel ani neviděl."
"see","see","neviděl","vidět","impf"," I could hear it but see nothing."," Nic víc jsem neslyšel ani neviděl."
"sat","sit","usadili","usadit","pf"," All over his groin, his stomach and under his armpits sat bloated horseflies, sucking at the yellowing naked body."," Ve slabinách, na břiše a pod paždím se usadili vypasení ovádi a vysávali žluté, obnažené tělo."
"went","go","pokračoval","pokračovat","impf"," ' Yes, ' Koroviev went on, ' think what astonishing growths may sprout from the seedbeds of that house and its thousands of devotees of Melpomene, Polyhymnia and Thalia."," "" Ano, "" pokračoval Korovjev, "" když uvážíme, jaké vzácné výhonky literatury vyraší v pařeništích tohoto domu, který sdružuje pod svou střechou několik tisíc obětavců, kteří se rozhodli prožít svůj život ve službách Melpomeny, Polyhymnie a Thálie."
"lapsed","lapse","upadl","upadnout","pf"," He had begun to faint during the first hour, and had then lapsed into unconsciousness, his head drooping in its ragged turban."," Hned první hodinu ho obestřely mrákoty, upadl do bezvědomí a hlava v rozvázané čalmě poklesla."
"wearing","wear","měla","mít","impf"," The lady was wearing some transparent slippers, obviously foreign, but so torn and shredded that she was almost barefoot."," Buďto šla bosa, nebo měla jakési průhledné střevíčky, určitě zahraniční výroby, roztrhané na cucky."
"hid","hide","Skryla","skrýt","pf"," Anna hid her find in the front of her blouse, picked up her tin can and was just about to abandon her errand and slip back indoors when she was suddenly confronted by the coatless man with the white shirtfront, who whispered to her in a soft voice :"," Skryla podkovu do záňadří, popadla bandasku a už se chystala vklouznout zpátky do bytu a odložit cestu do města, když vtom kde se vzal, tu se vzal, vynořil se před ní skrček bez saka, s bílou hrudí a zasyčel :"
"picked","pick","vzal","vzít","pf"," Anna hid her find in the front of her blouse, picked up her tin can and was just about to abandon her errand and slip back indoors when she was suddenly confronted by the coatless man with the white shirtfront, who whispered to her in a soft voice :"," Skryla podkovu do záňadří, popadla bandasku a už se chystala vklouznout zpátky do bytu a odložit cestu do města, když vtom kde se vzal, tu se vzal, vynořil se před ní skrček bez saka, s bílou hrudí a zasyčel :"
"picked","pick","vzal","vzít","pf"," Anna hid her find in the front of her blouse, picked up her tin can and was just about to abandon her errand and slip back indoors when she was suddenly confronted by the coatless man with the white shirtfront, who whispered to her in a soft voice :"," Skryla podkovu do záňadří, popadla bandasku a už se chystala vklouznout zpátky do bytu a odložit cestu do města, když vtom kde se vzal, tu se vzal, vynořil se před ní skrček bez saka, s bílou hrudí a zasyčel :"
"locked","lock","zavřel","zavřít","pf"," Opening it with his key, he locked himself in, lifted two heavy fillets of smoked sturgeon out of the ice box, taking care not to dirty his shirt-cuffs, wrapped them in newspaper, carefully tied them up with string and put them to one side."," Odemkl vlastním klíčem, zavřel se dovnitř, opatrně, aby si neumazal manžety, vytáhl z bedničky s ledem dva pořádné lososí hřbety, zabalil je do novinového papíru, pečlivě je převázal motouzem a odložil stranou."
"wrapped","wrap","zabalil","zabalit","pf"," Opening it with his key, he locked himself in, lifted two heavy fillets of smoked sturgeon out of the ice box, taking care not to dirty his shirt-cuffs, wrapped them in newspaper, carefully tied them up with string and put them to one side."," Odemkl vlastním klíčem, zavřel se dovnitř, opatrně, aby si neumazal manžety, vytáhl z bedničky s ledem dva pořádné lososí hřbety, zabalil je do novinového papíru, pečlivě je převázal motouzem a odložil stranou."
"exist","exist","neexistuje","existovat","impf"," ' And the devil does n't exist either, I suppose? ' the madman suddenly enquired cheerfully of Ivan Nikolayich."," "" Tak vy tvrdíte, že ani ďábel neexistuje? "" obrátil se náhle nemocný vesele k Ivanovi."
"contradict","contradict","Neodporuj","odporovat","impf"," ' Do n't contradict him, ' mouthed Berlioz silently, leaning back and grimacing behind the professor 's back."," "" Neodporuj mu ..., "" zašpital Berlioz, jenom rty se mu pohybovaly, a dělal posuňky za profesorovými zády."
"Do","do","dělal","dělat","impf"," ' Do n't contradict him, ' mouthed Berlioz silently, leaning back and grimacing behind the professor 's back."," "" Neodporuj mu ..., "" zašpital Berlioz, jenom rty se mu pohybovaly, a dělal posuňky za profesorovými zády."
"arrived","arrive","Přijel","přijet","pf"," ' He 's some mad German who 's just arrived or else he 's suddenly gone out of his mind here at Patriarch 's."," Přijel k nám německý cvok, anebo se právě zbláznil na Patriarchových rybnících!"
"think","think","má","mít","impf"," Berlioz at once started to think what they ought to do."," Berliozovi bylo hned jasné, co má dělat."
"do","do","dělat","dělat","impf"," Berlioz at once started to think what they ought to do."," Berliozovi bylo hned jasné, co má dělat."
"look","look","dívat","dívat","impf"," You would not find it very easy to look me in the face after having killed him. '"," Nebude to pro tebe lehké, dívat se mi do tváře poté, co jsi ho usmrtil. """
"killed","kill","usmrtil","usmrtit","pf"," You would not find it very easy to look me in the face after having killed him. '"," Nebude to pro tebe lehké, dívat se mi do tváře poté, co jsi ho usmrtil. """
"went","go","pokračoval","pokračovat","impf"," The Levite shook his head and the Procurator went on :"," Muž zavrtěl odmítavě hlavou a vladař pokračoval :"
"accepted","accept","přijal","přijmout","pf"," For if you had, you would have certainly accepted something from me."," Kdyby tomu bylo tak, určitě bys ode mne něco přijal."
"hit","hit","udeřil","udeřit","pf"," He had stared at the legionary who had hit him with the bleary, indifferent look of a man past feeling physical pain."," Vojáka, který ho udeřil, obdařil lhostejným kalným pohledem člověka, který necítí fyzickou bolest."
"feeling","feel","necítí","cítit","impf"," He had stared at the legionary who had hit him with the bleary, indifferent look of a man past feeling physical pain."," Vojáka, který ho udeřil, obdařil lhostejným kalným pohledem člověka, který necítí fyzickou bolest."
"closed","close","uzavřel","uzavřít","pf"," But it was too late, the chain had been closed."," Ale bylo pozdě, kruh se uzavřel."
"wanted","want","Chtěl","chtít","impf"," He wanted to call his maid, Grunya, and ask her for an aspirin but he was conscious enough to realise that it would be useless because Grunya most probably had no aspirin."," Chtěl zavolat služebnou Gruňu a požádat o prášek proti bolení hlavy, ale včas si uvědomil, že by se zbytečně namáhal, protože Gruňa stejně žádný prášek nemá."
"call","call","zavolat","zavolat","pf"," He wanted to call his maid, Grunya, and ask her for an aspirin but he was conscious enough to realise that it would be useless because Grunya most probably had no aspirin."," Chtěl zavolat služebnou Gruňu a požádat o prášek proti bolení hlavy, ale včas si uvědomil, že by se zbytečně namáhal, protože Gruňa stejně žádný prášek nemá."
"ask","ask","požádat","požádat","pf"," He wanted to call his maid, Grunya, and ask her for an aspirin but he was conscious enough to realise that it would be useless because Grunya most probably had no aspirin."," Chtěl zavolat služebnou Gruňu a požádat o prášek proti bolení hlavy, ale včas si uvědomil, že by se zbytečně namáhal, protože Gruňa stejně žádný prášek nemá."
"holding","hold","držela","držet","impf"," They turned out not to be cooks but doctors, standing beside Praskovya Fyodorovna who instead of a soup-bowl was holding a gauze-covered white enamelled dish containing a hypodermic syringe."," Nebyli to dotěrní kuchaři, kteří vnucovali lidem svoje rady, ale lékaři a s nimi Praskovja Fjodorovna, která držela v ruce místo misky talířek s připravenou injekční stříkačkou, pokrytý gázou."
"shoot","shoot","střílí","střílet","impf"," Ah, how he can shoot! ' cried Margarita turning to the master."," Kdybys věděl, jak ohromně střílí, "" obrátila se k Mistrovi."
"turning","turn","obrátila","obrátit","pf"," Ah, how he can shoot! ' cried Margarita turning to the master."," Kdybys věděl, jak ohromně střílí, "" obrátila se k Mistrovi."
"hit","hit","trefí","trefit","pf"," ' He can hit any pip of a card - under a cushion too! '"," "" Sedmička pod polštářem ... a on se trefí do vyznačeného místa! """
"sent","send","posílá","posílat","impf"," Messire has sent you a present ' - here he spoke to the master - ' a bottle of wine."," Maestro vám posílá dárek, "" a obrátil se k Mistrovi, "" láhev vína."
"imagine","imagine","představit","představit","pf"," Just imagine the furore if one of them were to present the reading public with a Government Inspector or at least a Eugene Onegin! '"," Dovedeš si představit, jaký poprask vzbudí ten, kdo pro začátek předloží čtenářům řekněme Revizora nebo v nejhorším aspoň Oněgina? """
"present","present","představit","představit","pf"," Just imagine the furore if one of them were to present the reading public with a Government Inspector or at least a Eugene Onegin! '"," Dovedeš si představit, jaký poprask vzbudí ten, kdo pro začátek předloží čtenářům řekněme Revizora nebo v nejhorším aspoň Oněgina? """
"present","present","předloží","předložit","pf"," Just imagine the furore if one of them were to present the reading public with a Government Inspector or at least a Eugene Onegin! '"," Dovedeš si představit, jaký poprask vzbudí ten, kdo pro začátek předloží čtenářům řekněme Revizora nebo v nejhorším aspoň Oněgina? """
"warn","warn","varoval","varovat","impf"," Out in the garden the wind blew in his face and threw sand in his eyes as if it were trying to bar his way or warn him."," Vítr se mu opřel do tváře a zaslepil mu oči pískem, jako by mu zahrazoval cestu a varoval ho."
"noticed","notice","zpozoroval","zpozorovat","pf"," Varenukha wiped his eyes and noticed that a yellowish-centred thundercloud was scudding low over Moscow."," Administrátor si promnul oči a zpozoroval, že nízko nad Moskvou pluje bouřkový mrak se žlutým břichem."
"try","try","zkuste","zkusit","pf"," ' Yes, and try oxygen ... and baths. '"," "" Ano, zkuste kyslík a ... koupele. """
"lived","live","bydlel","bydlet","impf"," Nikanor Ivanovich Bosoi, chairman of the tenants ' association of No. 302A, Sadovaya Street, Moscow, where the late Berlioz had lived, was in trouble."," Nikanor Ivanovič Bosý, předseda domovní správy v čísle 302 b v Sadové ulici, kde bydlel nebožtík Berlioz, nevěděl samou starostí, kde mu hlava stojí."
"begun","begin","Vypuklo","vypuknout","pf"," It had all begun on the previous Wednesday night."," Vypuklo to včerejší noci, ze středy na čtvrtek."
"passed","pass","minuli","minout","pf"," As they passed the third floor landing a faint bump was heard, but no one paid it any attention."," Když minuli odpočívadlo ve druhém patře, cosi tlumeně zazvonilo, ale nikdo si toho nevšiml."
"ended","end","skončila","skončit","pf"," This hilarious conversation ended with a pleasant surprise for Natasha."," Celá tahle legrační rozmluva skončila pro Natašu příjemným překvapením."
"rejoined","rejoin","odpověděl","odpovědět","pf"," ' But of course! ' rejoined the salesman."," "" Jak by ne! "" odpověděl nadšeně prodavač."
"shouted","shout","zvolal","zvolat","pf"," ' Mark! ' shouted the Procurator and the centurion stepped into the arcade."," "" Marku! "" zvolal prokurátor a centurio vystoupil na kolonádu."
"amazed","amaze","překvapilo","překvapit","pf"," He was amazed to notice how little this worried him."," Až ho překvapilo, jak málo mu to vadí."
"occupied","occupy","zaujala","zaujmout","pf"," Another and rather intriguing idea now occupied him - to stay and see what happened when the little old man went into the sinister flat."," Teď ho cele zaujala jiná svůdná myšlenka : rád by si na případu neznámého mužíka prověřil podezřelé doupě."
"told","tell","říkalo","říkat","impf"," Something told Poplavsky that the little man was going to come out of that flat again in quick time."," Něco Poplavskému říkalo, že se tam mužík dlouho nezdrží."
"wanted","want","chtěl","chtít","impf"," Precise and efficient as ever, Azazello wanted to check that everything necessary had been done."," Puntičkářsky přesný Azazelo si chtěl ověřit, jestli je všechno v pořádku."
"check","check","ověřit","ověřit","pf"," Precise and efficient as ever, Azazello wanted to check that everything necessary had been done."," Puntičkářsky přesný Azazelo si chtěl ověřit, jestli je všechno v pořádku."
"reached","reach","dojeli","dojet","pf"," ' Matthew the Levite was taken away by cart, together with the bodies, and about two hours later they reached a deserted cave to the north of Jerusalem."," "" Matouše naložili na vůz spolu s těly popravených a přibližně za dvě hodiny dojeli k opuštěné úžlabině severně od Jeruzaléma."
"buried","bury","pohřbil","pohřbít","pf"," After an hour working in shifts the squad had dug a deep pit in which they buried the bodies of the three victims. '"," Tam oddíl za hodinu vykopal hlubokou jámu - vojáci se střídali - a pohřbil do ní těla všech tří ukřižovaných. """
"announced","announce","oznámil","oznámit","pf"," ' One, two ... Mercury in the second house ... the moon waning ... six - accident ... evening - seven ... ' then announced loudly and cheerfully :"," "" Jeden, dva ... Merkur v druhém domě ... měsíc zapadl ... šest ... neštěstí ... večer ... sedm ..., "" a pak hlasitě a radostně oznámil :"
"asked","ask","zeptal","zeptat","pf"," Bezdomny turned to the stranger with a wild, furious stare and Berlioz asked with a sardonic grin :"," Bezprizorný divoce a vztekle vypoulil oči na opovážlivého cizince a redaktor se zeptal s křivým úsměvem :"
"feel","feel","cítila","cítit","impf"," Margarita could feel her fierce horse biting and tugging at the bit."," Markéta cítila, jak její bujný oř hryže a trhá udidlo."
"tugging","tug","trhá","trhat","impf"," Margarita could feel her fierce horse biting and tugging at the bit."," Markéta cítila, jak její bujný oř hryže a trhá udidlo."
"remember","remember","pamatujte","pamatovat","impf"," And remember - we are here to help you in every way we can and unless we do, nothing will come of your plan."," A pamatujte si, že tady vám chceme všemožně pomoci, bez toho se nic nepodaří."
"help","help","pomoci","pomoci","pf"," And remember - we are here to help you in every way we can and unless we do, nothing will come of your plan."," A pamatujte si, že tady vám chceme všemožně pomoci, bez toho se nic nepodaří."
"hear","hear","Slyšíte","slyšet","impf"," D'you hear? ' Stravinsky suddenly asked, seizing Ivan Nikolayich by both hands."," Slyšíte? "" zeptal se významně a vzal obě básníkovy ruce do svých."
"asked","ask","zeptal","zeptat","pf"," D'you hear? ' Stravinsky suddenly asked, seizing Ivan Nikolayich by both hands."," Slyšíte? "" zeptal se významně a vzal obě básníkovy ruce do svých."
"seizing","seize","vzal","vzít","pf"," D'you hear? ' Stravinsky suddenly asked, seizing Ivan Nikolayich by both hands."," Slyšíte? "" zeptal se významně a vzal obě básníkovy ruce do svých."
"repeating","repeat","opakoval","opakovat","impf"," As he held them in his own he stared intently into Ivan 's eyes, repeating :"," Zahleděl se mu dlouze, upřeně do očí a opakoval :"
"help","help","Pomůžeme","pomoci","pf"," ' We shall help you ... do you hear? ..."," "" Pomůžeme vám ... slyšíte?"
"hear","hear","slyšíte","slyšet","impf"," ' We shall help you ... do you hear? ..."," "" Pomůžeme vám ... slyšíte?"
"understand","understand","nerozumím","rozumět","impf"," ' I do n't understand, it, ' said Margarita Nikolayevna in a hushed voice."," "" Ničemu nerozumím, "" vyhrkla tiše."
"thinking","think","myslím","myslet","impf"," But how could you know what I was thinking? '"," Ale jak můžete uhodnout, co si zrovna myslím? """
"repeat","repeat","Opakuju","opakovat","impf"," ' I repeat - check. '"," "" Opakuju, šach. """
"looking","look","pohlédl","pohlédnout","pf"," ' The king is on square K2, ' said Woland, without looking at the board."," "" Král stojí na G2, "" vybafl Woland, aniž pohlédl na šachovnici."
"sitting","sit","seděla","sedět","impf"," An hour later Margarita was sitting, softly weeping from shock and happiness, in the basement of the little house in one of the sidestreets off the Arbat."," Za hodinu v prvním pokoji sklepního bytu v malém domku, který se krčil v jedné uličce nedaleko Arbatu, seděla Markéta u stolu pokrytého sametovým přehozem a tiše plakala úlevou a štěstím."
"weeping","weep","plakala","plakat","impf"," An hour later Margarita was sitting, softly weeping from shock and happiness, in the basement of the little house in one of the sidestreets off the Arbat."," Za hodinu v prvním pokoji sklepního bytu v malém domku, který se krčil v jedné uličce nedaleko Arbatu, seděla Markéta u stolu pokrytého sametovým přehozem a tiše plakala úlevou a štěstím."
"lay","lie","ležel","ležet","impf"," The charred manuscript-book lay in front of her, beside it a pile of undamaged copies."," Před Markétou ležel od ohně zkroucený sešit a vedle se kupila hromádka nedotčených sešitů."
"seen","see","viděli","vidět","impf"," A quarter of an hour later, to the astonishment of the people in the restaurant, on the boulevard and at the windows of the surrounding houses, the barman, the porter, a policeman, a waiter and the poet Ryukhin were to be seen emerging from the gates of Griboyedov dragging a young man trussed up like a mummy, who was weeping, spitting, lashing out at Ryukhin and shouting for the whole street to hear :"," Za čtvrt hodiny nadmíru překvapení diváci nejen v restauraci, ale i na ulici a v oknech okolních činžáků viděli, jak Pantělej, vrátný, milicionář, číšník a básník Sviňkov vynášejí ze vrat Gribojedova jakéhosi mladíka, zabaleného jako loutku, který střídavě plakal, plival kolem sebe ve snaze trefit zejména Sviňkova a křičel na celou ulici :"
"weeping","weep","plakal","plakat","impf"," A quarter of an hour later, to the astonishment of the people in the restaurant, on the boulevard and at the windows of the surrounding houses, the barman, the porter, a policeman, a waiter and the poet Ryukhin were to be seen emerging from the gates of Griboyedov dragging a young man trussed up like a mummy, who was weeping, spitting, lashing out at Ryukhin and shouting for the whole street to hear :"," Za čtvrt hodiny nadmíru překvapení diváci nejen v restauraci, ale i na ulici a v oknech okolních činžáků viděli, jak Pantělej, vrátný, milicionář, číšník a básník Sviňkov vynášejí ze vrat Gribojedova jakéhosi mladíka, zabaleného jako loutku, který střídavě plakal, plival kolem sebe ve snaze trefit zejména Sviňkova a křičel na celou ulici :"
"shouting","shout","křičel","křičet","impf"," A quarter of an hour later, to the astonishment of the people in the restaurant, on the boulevard and at the windows of the surrounding houses, the barman, the porter, a policeman, a waiter and the poet Ryukhin were to be seen emerging from the gates of Griboyedov dragging a young man trussed up like a mummy, who was weeping, spitting, lashing out at Ryukhin and shouting for the whole street to hear :"," Za čtvrt hodiny nadmíru překvapení diváci nejen v restauraci, ale i na ulici a v oknech okolních činžáků viděli, jak Pantělej, vrátný, milicionář, číšník a básník Sviňkov vynášejí ze vrat Gribojedova jakéhosi mladíka, zabaleného jako loutku, který střídavě plakal, plival kolem sebe ve snaze trefit zejména Sviňkova a křičel na celou ulici :"
"overtaken","overtake","předběhli","předběhnout","pf"," ' What 's that on her leg? ' asked Margarita, without ceasing to offer her hand to the guests who had overtaken Signora Toffana on the way up."," "" Co to má na noze? "" vyptávala se Markéta a přitom podávala ruce hostům, kteří předběhli pajdavou signoru Toffanovou."
"wearing","wear","má","mít","impf"," ' And why is she wearing green round her neck?"," "" A proč má kolem krku uvázanou stuhu?"
"written","write","napsáno","napsat","pf"," I had not said a word of what was written there."," Ani slovo z toho, co bylo napsáno, jsem nevyřkl."
