"saw","see","spatří","spatřit","pf"," What would the Hermians do, when they saw him?"," Co Merkuřané podniknou, až ho spatří?"
"confronts","confront","čelit","čelit","impf"," Now they could explore in comfort, freed from the greatest danger that confronts a man in space, and forgetting all worries about suit integrity and oxygen reserve."," Teď se mohli pohodlně pustit na průzkum, osvobozeni od největšího nebezpečí, jemuž musí člověk ve vesmíru čelit, a zapomenout na všechny starosti s netěsnícími skafandry či se zásobami kyslíku."
"forgetting","forget","zapomenout","zapomenout","pf"," Now they could explore in comfort, freed from the greatest danger that confronts a man in space, and forgetting all worries about suit integrity and oxygen reserve."," Teď se mohli pohodlně pustit na průzkum, osvobozeni od největšího nebezpečí, jemuž musí člověk ve vesmíru čelit, a zapomenout na všechny starosti s netěsnícími skafandry či se zásobami kyslíku."
"haunted","haunt","nepronásledovaly","pronásledovat","impf"," Perhaps the Ramans felt that they already knew the ultimate secrets of the universe, and were no longer - haunted by the yearnings and aspirations that drove mankind."," Třeba se Rámané domnívali, že už odhalili i poslední tajemství vesmíru, a dál je nepronásledovaly tužby a usilování, jež poháněly lidstvo."
"drove","drive","poháněly","pohánět","impf"," Perhaps the Ramans felt that they already knew the ultimate secrets of the universe, and were no longer - haunted by the yearnings and aspirations that drove mankind."," Třeba se Rámané domnívali, že už odhalili i poslední tajemství vesmíru, a dál je nepronásledovaly tužby a usilování, jež poháněly lidstvo."
"felt","feel","pocítil","pocítit","pf"," he felt an urgent need to resume contact, and reported his situation back to his distant friends."," pocítil naléhavou potřebu opět navázat spojení a podat vzdáleným přátelům hlášení o své situaci."
"replied","reply","odvětilo","odvětit","pf"," ' Say again, Dragonfly, ' replied Hub Control."," "" Ještě jednou, Vážko, "" odvětilo řídící středisko."
"said","say","řekl","říci","pf"," ' As you are all aware, gentlemen, ' said the Martian Ambassador, ' a great deal has happened since our last meeting."," "" Jak si všichni uvědomujeme, pánové, "" řekl marťanský velvyslanec, "" od našeho posledního jednání se toho stalo požehnaně."
"decide","decide","rozhodnout","rozhodnout","pf"," We have much to discuss - and to decide."," Musíme toho spoustu prodiskutovat - a rozhodnout."
"say","say","řekl","říci","pf"," It would have been much more truthful to say that he was worried."," Bylo by mnohem pravdivější, kdyby řekl, že mu to působí starosti."
"fly","fly","letěl","letět","impf"," ' We 'd like you to fly along the spike, making a complete scan every half-kilometre, and looking out for anything unusual."," "" Byli bychom rádi, kdybys letěl podél špice, každého půl kilometru pořídil kompletní panoramatický záběr a dával pozor, jestli neuvidíš něco neobvyklého."
"hitting","hit","narazila","narazit","pf"," It went down thirty metres without hitting bottom."," Klesla třicet metrů, aniž narazila na dno."
"said","say","řekla","říci","pf"," "" We 're OK, ' she said, with a sigh of relief."," "" Jsme na správném místě, "" řekla a vydechla úlevou."
"keep","keep","nechám","nechat","pf"," ' But I 'll keep the motor running. '"," "" Ale nechám motor běžet. """
"start","start","začít","začít","pf"," Where to start cutting?"," Kde začít s řezem?"
"closing","close","zavřít","zavřít","pf"," She felt like closing her eyes, and stabbing at random, but that would not have been very scientific."," Měla chuť zavřít oči a bodnout nazdařbůh, jenže to by nebylo příliš vědecké."
"stabbing","stab","bodnout","bodnout","pf"," She felt like closing her eyes, and stabbing at random, but that would not have been very scientific."," Měla chuť zavřít oči a bodnout nazdařbůh, jenže to by nebylo příliš vědecké."
"took","take","trvalo","trvat","impf"," It took an annoyed Sergeant McAndrews a good twenty minutes to calm down the startled simps."," Znepokojenému seržantu McAndrewsovi trvalo dobrých dvacet minut, než utišil vyděšené šimpanzy."
"returning","return","vracet","vracet","impf"," But there was no point in growing used to that, since they would be returning immediately to the weightlessness of the Hub."," Jenže na ni by si navykat neměli, poněvadž se budou hned zase vracet do stavu beztíže na Středu."
"coming","come","Jdeme","jít","impf"," ' We 're coming back, Skipper, ' he reported."," "" Jdeme zpátky, kapitáne, "" hlásil."
"reported","report","hlásil","hlásit","impf"," ' We 're coming back, Skipper, ' he reported."," "" Jdeme zpátky, kapitáne, "" hlásil."
"go","go","pokračovat","pokračovat","impf"," ' There 's no reason to go further - until we 're ready to go all the way. '"," "" Už nemáme důvod pokračovat - dokud nebudeme schopni zvládnout celou cestu. """
"go","go","pokračovat","pokračovat","impf"," ' There 's no reason to go further - until we 're ready to go all the way. '"," "" Už nemáme důvod pokračovat - dokud nebudeme schopni zvládnout celou cestu. """
"agree","agree","Souhlasím","souhlasit","impf"," ' I agree."," "" Souhlasím."
"regard","regard","týkalo","týkat","impf"," As for Lieutenant Rodrigo himself, he seemed to regard the possibility of instant apotheosis with complete equanimity."," A co se týkalo osoby poručíka Rodriga, zdálo se, že přijímá možnost okamžitého vstupu na nebesa s dokonale vyrovnanou myslí."
"seemed","seem","zdálo","zdát","impf"," As for Lieutenant Rodrigo himself, he seemed to regard the possibility of instant apotheosis with complete equanimity."," A co se týkalo osoby poručíka Rodriga, zdálo se, že přijímá možnost okamžitého vstupu na nebesa s dokonale vyrovnanou myslí."
"created","create","vytvářel","vytvářet","impf"," But the warm relationship which one could so easily establish with simps created another problem, often used as a powerful argument against their employment in space."," Ovšem vřelý vztah, který si člověk tak snadno k šimpanzům vytvářel, přinášel s sebou problém, často užívaný jako silný argument proti jejich upotřebení v kosmu."
"want","want","chtěli","chtít","impf"," ' If you want to go from one star system to another you have a number of choices."," Kdybyste chtěli přelétnout z jedné sluneční soustavy do druhé, máte bohatý výběr."
"forgot","forget","zapomněl","zapomenout","pf"," He almost forgot his knotted muscles, as he had his last view of Rama."," Když se naposledy zadíval na Rámu, téměř zapomněl na své zničené svaly."
"seen","see","viděl","vidět","impf"," The South Pole was now partially obscured by a glowing mist; only the peak of Big Horn protruded through it - a small, black dot, seen exactly head-on."," Jižní pól nyní částečně zahalovaly zářící mlhy, z nichž vyčníval jenom vrcholek Velkého rohu - malá černá tečka, jak ho viděl přímo zepředu."
"think","think","nemyslím","myslet","impf"," Yet I do n't think it 's a city; it seems more like an enormous factory or chemical processing plant. '"," Ačkoli si nemyslím, že je to město, podobá se mnohem víc ohromné továrně anebo chemičce."
"built","build","postavili","postavit","pf"," if they were built for human beings, they could each hold about fifty thousand people."," kdyby je postavili pro bytosti podobné lidem, vešlo by se do každého okolo padesát tisíc obyvatel."
"given","give","dalo","dát","pf"," In less than two hours, its direction of motion had swung through more than ninety degrees, and it had given a final, almost contemptuous proof of its total lack of interest in all the worlds whose peace of mind it had so rudely disturbed."," Za dobu kratší než dvě hodiny se směr jeho pohybu stočil o více než devadesát stupňů a to dalo konečný, téměř pohrdavý důkaz o jeho naprostém nezájmu o všechny planety, jejichž duchovní rovnováhu tak surově rozvrátil."
"rises","rise","stoupá","stoupat","impf"," The heated air at the Equator - which shares the Earth 's sixteen-hundred-kilometres-an-hour spin - runs into the same problem when it rises and flows north and south. '"," Ohřátý vzduch na rovníku - který má rychlost pozemské rotace šestnáct set kilometrů za hodinu - způsobuje úplně stejný problém, jak stoupá vzhůru a proudí na sever a na jih. """
"remember","remember","Vzpomínám","vzpomínat","impf"," I remember that from my geography lessons '"," Vzpomínám si na to ze zeměpisu. """
"last","last","potrvá","trvat","impf"," I believe they 'll last only a few hours, and then spine kind of equilibrium will be restored."," Doufám, že potrvá jenom pár hodin a potom se znovu obnoví rovnovážný stav."
"restored","restore","obnoví","obnovit","pf"," I believe they 'll last only a few hours, and then spine kind of equilibrium will be restored."," Doufám, že potrvá jenom pár hodin a potom se znovu obnoví rovnovážný stav."
"advise","advise","doporučil","doporučit","pf"," Meanwhile, I should advise Commander Norton to evacuate - as soon as possible."," Na tu dobu bych ovšem Kapitánu Nortonovi doporučil, aby Rámu evakuoval - a to okamžitě."
"keeping","keep","zachovávat","zachovávat","impf"," ' Lucky that doctors are used to keeping secrets."," "" Doktoři jsou naštěstí zvyklí zachovávat tajemství."
"waiting","wait","čekám","čekat","impf"," ' Then I 'll be waiting. '"," "" Tak čekám. """
"avoid","avoid","vyhnul","vyhnout","pf"," ' Not really urgent - but I prefer to avoid radio ... '"," "" Není to zas tak naléhavé - ale radši bych se vyhnul rádiovému spojení ... """
"hoist","hoist","vyzvednout","vyzvednout","pf"," It was no longer necessary to climb this section since one man at the Hub, hauling on a cable, could easily hoist another against the rapidly diminishing gravity."," Tuhle část už nebylo zapotřebí vyšplhat, poněvadž jeden muž na Středu, tahající za lano, mohl v prostředí rychle pomíjející gravitace snadno vyzvednout druhého nahoru."
"weighed","weigh","vážil","vážit","impf"," Even at the bottom of the ladder a man weighed less than five kilos;"," Dokonce i přímo u dolního konce žebříku člověk vážil méně než pět kilo;"
"relaxed","relax","odpočíval","odpočívat","impf"," So Norton relaxed in the sling, grasping a rung from time to time to counter the feeble Coriolis force still trying to push him off the ladder."," A tak Norton odpočíval zavěšený na popruhu, čas od času se přitáhl za příčel, aby zmařil účinek slaboučké Coriolisovy síly, jež se ho ještě pořád snažila od žebříku oddělit."
"trying","try","snažila","snažit","impf"," So Norton relaxed in the sling, grasping a rung from time to time to counter the feeble Coriolis force still trying to push him off the ladder."," A tak Norton odpočíval zavěšený na popruhu, čas od času se přitáhl za příčel, aby zmařil účinek slaboučké Coriolisovy síly, jež se ho ještě pořád snažila od žebříku oddělit."
"push","push","snažila","snažit","impf"," So Norton relaxed in the sling, grasping a rung from time to time to counter the feeble Coriolis force still trying to push him off the ladder."," A tak Norton odpočíval zavěšený na popruhu, čas od času se přitáhl za příčel, aby zmařil účinek slaboučké Coriolisovy síly, jež se ho ještě pořád snažila od žebříku oddělit."
"caused","cause","způsobila","způsobit","pf"," The musty, dead smell had gone; so had the excessive dryness, which in the past had caused several respiratory complaints."," Zatuchlý, mrtvolný pach zmizel, a také přílišná suchost, která předtím způsobila několik případů dýchacích obtíží."
"told","tell","říkal","říkat","impf"," It was like a summer evening, Mercer told himself, on some tropical coast."," Je to jako za letního večera, říkal si Mercer, někde na pobřeží v tropech."
"improved","improve","zlepšilo","zlepšit","pf"," The climate inside Rama had improved dramatically during the last few days ..."," Klima uvnitř Rámy se za posledních několik dní fantasticky zlepšilo ..."
"aimed","aim","mířil","mířit","impf"," From each, a broad fan of light was aimed across the central axis, to shine upon the far side of the world."," Z každého mířil napříč přes hlavní osu široký vějíř světla a osvětloval opačnou stranu planetky."
"switched","switch","zapínají","zapínat","impf"," Norton wondered if they could be switched alternately to produce a cycle of light and darkness, or whether this was a planet of perpetual day."," Norton by byl rád věděl, jestli se také střídavě zapínají a vypínají, aby vytvářela cykly světla a tmy, nebo zda v Rámovi trvá den nepřetržitě."
"produce","produce","vytvářela","vytvářet","impf"," Norton wondered if they could be switched alternately to produce a cycle of light and darkness, or whether this was a planet of perpetual day."," Norton by byl rád věděl, jestli se také střídavě zapínají a vypínají, aby vytvářela cykly světla a tmy, nebo zda v Rámovi trvá den nepřetržitě."
"close","close","zavřel","zavřít","pf"," he was not sorry to have a good excuse to close them for a while."," ale nelitoval, že má důvod k tomu, aby je zase na chvíli zavřel."
"felt","feel","pociťoval","pociťovat","impf"," Big Horn 's tapering needle still stretched for a kilometre ahead of him, and sometimes he felt it was the axis on which this whole world turned."," zužující se jehla Velkého rohu vyčnívala na kilometr dopředu a on čas od času pociťoval, že to je osa, kolem níž se celá tahle planetka otáčí."
"turned","turn","otáčí","otáčet","impf"," Big Horn 's tapering needle still stretched for a kilometre ahead of him, and sometimes he felt it was the axis on which this whole world turned."," zužující se jehla Velkého rohu vyčnívala na kilometr dopředu a on čas od času pociťoval, že to je osa, kolem níž se celá tahle planetka otáčí."
"help","help","nepomohlo","pomoci","pf"," He suddenly recalled - and this did nothing at all to help - a phrase he had once come across : ' Someone is walking over your grave. '"," Náhle se mu vybavilo úsloví - i když mu to ani v nejmenším nepomohlo -, s nímž se kdysi setkal : sáhla na mě smrt."
"taken","take","trvalo","trvat","impf"," It had taken more than a hundred and twenty years to collect the first thousand asteroids, since the discovery of Ceres, largest of these tiny worlds, on the very first day of the nineteenth century."," Od objevu Cerese, největšího z těchto maličkých planetek, hned prvého dne devatenáctého století, trvalo více než sto dvacet roků, než se dala dohromady první tisícovka asteroidů."
"lost","lose","ztratily","ztratit","pf"," Hundreds had been found and lost and found again;"," Stovky se jich nalezly a ztratily a znovu objevily;"
"found","find","objevily","objevit","pf"," Hundreds had been found and lost and found again;"," Stovky se jich nalezly a ztratily a znovu objevily;"
"found","find","objevily","objevit","pf"," Hundreds had been found and lost and found again;"," Stovky se jich nalezly a ztratily a znovu objevily;"
"christened","christen","pokřtil","pokřtít","pf"," they existed in such swarms that one exasperated astronomer had christened them ' vermin of the skies '."," vyskytovaly se v celých rojích, takže je jeden podrážděný astronom pokřtil na "" nebeskou verbež ""."
"seen","see","viděli","vidět","impf"," What we 've seen of their work suggests that the Ramans were humanoid, though perhaps about fifty per cent taller than we are."," Jejich výtvory, které jsem zatím viděli, nasvědčují tomu, že Rámané jsou humanoidi, ačkoli asi o padesát procent vyšší než jsem my."
"suggests","suggest","nasvědčují","nasvědčovat","impf"," What we 've seen of their work suggests that the Ramans were humanoid, though perhaps about fifty per cent taller than we are."," Jejich výtvory, které jsem zatím viděli, nasvědčují tomu, že Rámané jsou humanoidi, ačkoli asi o padesát procent vyšší než jsem my."
"agree","agree","Souhlasíš","souhlasit","impf"," Would n't you agree, Boris? '"," Souhlasíš, Borisi? """
"teasing","tease","dráždí","dráždit","impf"," Is Joe teasing Boris? Norton asked himself."," Joe schválně Borise dráždí? ptal se Norton sám sebe."
"asked","ask","ptal","ptát","impf"," Is Joe teasing Boris? Norton asked himself."," Joe schválně Borise dráždí? ptal se Norton sám sebe."
"hit","hit","zasáhlo","zasáhnout","pf"," He had walked no more than a dozen metres when it hit him like a thunderbolt."," Neušel ani tucet metrů, když ho to zasáhlo naplno jako úder blesku."
"walked","walk","kráčel","kráčet","impf"," Jimmy walked between the crystals and the columns until he came to the first crossroads."," Jimmy kráčel mezi krystaly a sloupy tak dlouho, až dorazil k první křižovatce."
"came","come","dorazil","dorazit","pf"," Jimmy walked between the crystals and the columns until he came to the first crossroads."," Jimmy kráčel mezi krystaly a sloupy tak dlouho, až dorazil k první křižovatce."
"made","make","tvořila","tvořit","impf"," The square on the right was a huge rug or tapestry made of woven wire;"," Čtverec vpravo tvořila ohromná pokrývka či gobelín z propletených drátů;"
"tried","try","pokusil","pokusit","pf"," he tried to prise a strand loose, but was unable to break it."," pokusil se jeden volný konec ukořistit, ale nedokázal ho odlomit."
"seemed","seem","Zdálo","zdát","impf"," That seemed incredible - an act not only of brutality but of folly, calculated to turn the rest of the solar system against them."," Zdálo se to neuvěřitelné - byl by to čin nejen brutální, nýbrž přímo šílený, vypočítaný na to, aby proti nim obrátil zbytek sluneční soustavy."
"turn","turn","obrátil","obrátit","pf"," That seemed incredible - an act not only of brutality but of folly, calculated to turn the rest of the solar system against them."," Zdálo se to neuvěřitelné - byl by to čin nejen brutální, nýbrž přímo šílený, vypočítaný na to, aby proti nim obrátil zbytek sluneční soustavy."
"made","make","přimělo","přimět","pf"," And what would have made them ignore the solemn promise of their own Ambassador?"," A co je přimělo k tomu, že ignorují slavnostní slib svého vlastního velvyslance?"
"ignore","ignore","ignorují","ignorovat","impf"," And what would have made them ignore the solemn promise of their own Ambassador?"," A co je přimělo k tomu, že ignorují slavnostní slib svého vlastního velvyslance?"
"Thank","thank","Děkuji","děkovat","impf"," ' Thank you, Mr Ambassador."," "" Děkuji vám, pane velvyslanče."
"seen","see","viděli","vidět","impf"," As you 've all seen, we have at last obtained a specimen of a Raman life-form, and have observed several others at close quarters."," Jak jste všichni viděli, konečně jsme získali exemplář rámanského života a zblízka jsme pozorovali několik dalších."
"obtained","obtain","získali","získat","pf"," As you 've all seen, we have at last obtained a specimen of a Raman life-form, and have observed several others at close quarters."," Jak jste všichni viděli, konečně jsme získali exemplář rámanského života a zblízka jsme pozorovali několik dalších."
"seen","see","pozorovali","pozorovat","impf"," As you 've all seen, we have at last obtained a specimen of a Raman life-form, and have observed several others at close quarters."," Jak jste všichni viděli, konečně jsme získali exemplář rámanského života a zblízka jsme pozorovali několik dalších."
"observed","observe","pozorovali","pozorovat","impf"," As you 've all seen, we have at last obtained a specimen of a Raman life-form, and have observed several others at close quarters."," Jak jste všichni viděli, konečně jsme získali exemplář rámanského života a zblízka jsme pozorovali několik dalších."
"sent","send","odeslala","odeslat","pf"," Surgeon-Commander Ernst, Endeavour 's medical officer, has sent a full report on the spider-like creature she dissected. '"," Doktorka Ernstová, šéflékařka na Endeavour, odeslala kompletní hlášení o tvorovi podobném pavouku, kterého pitvala."
"thought","think","má","mít","impf"," No one thought it in the least peculiar that an Executive Sergeant was now taking charge of the proceedings."," Nikdo se nepozastavil nad tím, že celý podnik má na starosti obyčejný seržant."
"seem","seem","nezdálo","zdát","impf"," She had navigated racing trimarans across the Pacific, and it did not seem likely that a few kilometres of dead-calm water could present much of a challenge to her skills."," Zúčastnila se jako kapitánka závodu trimaranů přes Pacifik a nezdálo se pravděpodobné, že by těch pár kilometrů naprosto klidné vody mohlo být vážnou zkouškou její kvalifikace."
"move","move","pohybovat","pohybovat","impf"," As soon as possible, Norton told himself, he would string a cat's-cradle of guide ropes between the ship and the pill-boxes, so that they could move around without wasting propellants."," Hned jak to bude možné, pomyslel si Norton, natáhne mezi lodí a bunkry systém vodících lan, takže se budou moci pohybovat, aniž by promarňovali pohonné hmoty."
"appeared","appear","zdál","zdát","impf"," From this angle, it appeared an ominous, forbidding black, and it was easy to think of it as a prison wall surrounding a whole continent."," Z tohoto zorného úhlu se sráz zdál odstrašující, zlověstně černý a člověk se neubránil dojmu, že je to stěna vězení, jíž je celý kontinent obehnaný."
"think","think","zdál","zdát","impf"," From this angle, it appeared an ominous, forbidding black, and it was easy to think of it as a prison wall surrounding a whole continent."," Z tohoto zorného úhlu se sráz zdál odstrašující, zlověstně černý a člověk se neubránil dojmu, že je to stěna vězení, jíž je celý kontinent obehnaný."
"imagine","imagine","představit","představit","pf"," He could not imagine that the Ramans - unless they were physical fitness fanatics of the kind not uncommon on Earth - ever walked up and down this incredible stairway, or its two identical companions completing the invisible Y far above his head. Perhaps they had only been required during the actual construction of Rama, and had served no purpose since that distant day."," Neuměl si představit, že by Rámané - pokud by nepečovali stejně fanaticky o svou fyzickou kondici jako jistý typ lidí na Zemi - vůbec kdy šplhali nahoru a dolů po tomto neuvěřitelném schodišti či po jeho dvou identických protějšcích, dotvářejících vysoko nad jeho hlavou neviditelné Y. Třeba byla zapotřebí jenom po dobu stavby Rámy a od toho pradávného dne už žádnému účelu nesloužila."
"served","serve","nesloužila","sloužit","impf"," He could not imagine that the Ramans - unless they were physical fitness fanatics of the kind not uncommon on Earth - ever walked up and down this incredible stairway, or its two identical companions completing the invisible Y far above his head. Perhaps they had only been required during the actual construction of Rama, and had served no purpose since that distant day."," Neuměl si představit, že by Rámané - pokud by nepečovali stejně fanaticky o svou fyzickou kondici jako jistý typ lidí na Zemi - vůbec kdy šplhali nahoru a dolů po tomto neuvěřitelném schodišti či po jeho dvou identických protějšcích, dotvářejících vysoko nad jeho hlavou neviditelné Y. Třeba byla zapotřebí jenom po dobu stavby Rámy a od toho pradávného dne už žádnému účelu nesloužila."
"do","do","postačovala","postačovat","impf"," That theory would do for the moment, yet it did not feel right."," Pro tuhle chvíli mu taková teorie postačovala, ačkoli cítil, že správná není."
"did","do","postačovala","postačovat","impf"," That theory would do for the moment, yet it did not feel right."," Pro tuhle chvíli mu taková teorie postačovala, ačkoli cítil, že správná není."
"feel","feel","cítil","cítit","impf"," That theory would do for the moment, yet it did not feel right."," Pro tuhle chvíli mu taková teorie postačovala, ačkoli cítil, že správná není."
"leading","lead","vedou","vést","impf"," And leading on from that, continuing the direction of the ladders, are three enormous stairways, which go all the way down to the plain."," Odsud vedou tři ohromná schodiště, pokračující ve směru žebříků, která sestupují až dolů na pláň."
"go","go","vedou","vést","impf"," And leading on from that, continuing the direction of the ladders, are three enormous stairways, which go all the way down to the plain."," Odsud vedou tři ohromná schodiště, pokračující ve směru žebříků, která sestupují až dolů na pláň."
"descended","descend","klesalo","klesat","impf"," The ledge or platform from which the stairway descended was about ten metres wide, and curved upwards on each side until it disappeared into the darkness."," Výčnělek či plošina, z níž schodiště klesalo dolů, byla asi deset metrů široká a po obou stranách se v křivce zvedala vzhůru, až se ztratila v temnotě."
"bound","bound","poskakovat","poskakovat","impf"," At the fractional gravity that existed here, however, real walking was impossible; one could only bound along in giant strides."," Nepatrná gravitace v těchto místech samozřejmě skutečnou chůzi znemožňovala, člověk mohl jenom dlouhými kroky poskakovat."
"explain","explain","vysvětlit","vysvětlit","pf"," That would explain everything, very neatly."," Tím by se dalo vysvětlit všechno, a velice elegantně."
"leave","leave","opustí","opustit","pf"," Rama will be at perihelion in three weeks; then it will round the sun and leave the solar system just as fast as it came in."," Ráma dosáhne perihélia za tři týdny, potom proletí kolem Slunce a opustí sluneční soustavu tak rychle, jak do ní vlétl."
"learning","learn","učili","učit","impf"," In that way, everybody would have an opportunity of learning as quickly as possible."," Tento způsob by měl poskytnout příležitost všem, aby se učili co nejrychleji."
"head","head","vedla","vést","impf"," And so the first party to head for the Cylindrical Sea, though it was led by Surgeon-Commander Laura Ernst, had as its one-time veteran Lt Boris Rodrigo, just back from Paris."," A tak první družstvo, mířící k Válcovému moři, ačkoli je vedla šéflékařka Laura Ernstová, mělo svého veterána s jedinou předchozí zkušeností v podobě poručíka Borise Rodriga, který se sotva stačil vrátit z Paříže."
"led","lead","vedla","vést","impf"," And so the first party to head for the Cylindrical Sea, though it was led by Surgeon-Commander Laura Ernst, had as its one-time veteran Lt Boris Rodrigo, just back from Paris."," A tak první družstvo, mířící k Válcovému moři, ačkoli je vedla šéflékařka Laura Ernstová, mělo svého veterána s jedinou předchozí zkušeností v podobě poručíka Borise Rodriga, který se sotva stačil vrátit z Paříže."
"started","start","nezačali","začít","pf"," The bed of the Mediterranean had been ideal - at least until the city planners and landscape artists had started getting in the way."," Ideální místo bylo ono Středozemní moře - ale jen dokud se tam nezačali hrnout architekti, urbanisté a experti na tvářnost krajiny."
"visit","visit","navštívit","navštívit","pf"," And Rama would have been perfect, except for the maddening detail that it was a hundred million kilometres away and she would never be able to visit it in person."," A Ráma by byl dokonalý, až na drobný detail, který byl ovšem k vzteku - že se nachází sto miliónů kilometrů od ní a že ho nikdy nebude moci navštívit osobně."
"follow","follow","dodržovat","dodržovat","impf"," It might well be the only body of water in the universe of which this was true, for on all other worlds, every sea or lake must follow the surface of a sphere, with equal curvature in all directions."," Možná že to docela dobře byla jediná masa vodstva v celém vesmíru, o níž to platilo, neboť na jiných planetách musela všechna moře či jezera dodržovat kulový povrch, s rovnoměrným zakřivením ve všech směrech."
"win","win","nevyhrál","vyhrát","pf"," Sorry you did n't win. '"," Mrzí mě, že ' s nevyhrál. """
"working","work","pracují","pracovat","impf"," I have friends on Mars who 've been working on it, in secret."," Mám přátele na Marsu, kteří na tom pracují, v tajnosti."
"want","want","Chceme","chtít","impf"," We want to give everyone a surprise. '"," Chceme všechny překvapit. """
"tried","try","zkoušeli","zkoušet","impf"," it 's only been tried in the Xante Sportsdome."," zatím to zkoušeli jenom v Xantské sportovní hale."
"imagine","imagine","představit","představit","pf"," The whole arrangement is very odd, and we ca n't imagine what it means. '"," Celé zařízení je zvláštní a podivné, vůbec si neumíme představit, co to znamená."
"means","mean","znamená","znamenat","impf"," The whole arrangement is very odd, and we ca n't imagine what it means. '"," Celé zařízení je zvláštní a podivné, vůbec si neumíme představit, co to znamená."
"called","call","pojmenovali","pojmenovat","pf"," ' The fifty-kilometre-long cylindrical section between the two bowls we 've called the Central Plain."," Padesát kilometrů dlouhou válcovitou část mezi oběma polokoulemi jsme pojmenovali Hlavní rovina."
"seem","seem","Zdá","zdát","impf"," It may seem crazy to use the word "" plain "" to describe something so obviously curved, but we feel it 's justified."," Zdá se možná bláznivé užívat slovo "" rovina "" k popisu čehosi tak zakřiveného, ale přesto máme dojem, že to sedí."
"use","use","užívat","užívat","impf"," It may seem crazy to use the word "" plain "" to describe something so obviously curved, but we feel it 's justified."," Zdá se možná bláznivé užívat slovo "" rovina "" k popisu čehosi tak zakřiveného, ale přesto máme dojem, že to sedí."
"appear","appear","zdá","zdát","impf"," It will appear flat to us when we get down there - just as the interior of a bottle must seem flat to an ant crawling round inside it. '"," Až se spustíme dolů, bude nám připadat rovná - stejně jako se určitě zdá vnitřek láhve rovný mravenci, který tam leze kolem dokola."
"seem","seem","zdá","zdát","impf"," It will appear flat to us when we get down there - just as the interior of a bottle must seem flat to an ant crawling round inside it. '"," Až se spustíme dolů, bude nám připadat rovná - stejně jako se určitě zdá vnitřek láhve rovný mravenci, který tam leze kolem dokola."
"crawling","crawl","leze","lézt","impf"," It will appear flat to us when we get down there - just as the interior of a bottle must seem flat to an ant crawling round inside it. '"," Až se spustíme dolů, bude nám připadat rovná - stejně jako se určitě zdá vnitřek láhve rovný mravenci, který tam leze kolem dokola."
"afford","afford","dovolit","dovolit","pf"," Yet there was one other possibility, and he could not afford to ignore it."," A přece zbývala ještě jedna možnost a Rodrigo si nemohl dovolit, aby ji přehlížel."
"represented","represent","Zastupoval","zastupovat","impf"," He represented Uranus and its eight moons ( none yet occupied ); Neptune and its other three satellites;"," Zastupoval Uran a jeho osm měsíců ( dosud žádný obydlený ), Neptun a jeho tři další satelity, Pluta, jeho jediný měsíc a osamělou Persefonu bez satelitu."
"respected","respect","respektovali","respektovat","impf"," His IQ was modest and his scientific knowledge was minimal, but he was no fool and had a natural shrewdness which everyone respected."," IQ měl skromné a jeho technické vědomosti byly minimální, ale nebyl to žádný pitomec a měl přirozenou bystrost, kterou všichni respektovali."
"provides","provide","dodává","dodávat","impf"," ' Well, it 's a factory all right, Skipper, and maybe the Sea - provides the raw material ... after all, that 's how it all happened on Earth, though in a different way ... I believe New York is a factory for making - Ramans."," "" Ano, je to továrna, to je správné, kapitáne, a Moře možná dodává suroviny ... ostatně, takhle se to všechno stalo i na Zemi, i když jinou cestou ... myslím, že New York je továrna na výrobu - Rámanů. """
"believe","believe","myslím","myslet","impf"," ' Well, it 's a factory all right, Skipper, and maybe the Sea - provides the raw material ... after all, that 's how it all happened on Earth, though in a different way ... I believe New York is a factory for making - Ramans."," "" Ano, je to továrna, to je správné, kapitáne, a Moře možná dodává suroviny ... ostatně, takhle se to všechno stalo i na Zemi, i když jinou cestou ... myslím, že New York je továrna na výrobu - Rámanů. """
"handle","handle","ovládá","ovládat","impf"," ' How does she handle? ' Norton called."," "" Jak se ovládá? "" volal Norton na Jimmyho."
"called","call","volal","volat","impf"," ' How does she handle? ' Norton called."," "" Jak se ovládá? "" volal Norton na Jimmyho."
"wait","wait","počkej","počkat","pf"," ' Now wait a minute is, that safe? '"," "" No počkej - není to nebezpečné? """
"losing","lose","ztratí","ztratit","pf"," By losing altitude, Jimmy would be sacrificing his main advantage."," Tím, že ztratí výšku, Jimmy se vzdá své hlavní výhody."
"refused","refuse","odmítal","odmítat","impf"," he stubbornly refused to leave Earth, even for so momentous a meeting as this."," tvrdošíjně odmítal opustit Zemi dokonce i na tak krátké jednání."
"leave","leave","opustit","opustit","pf"," he stubbornly refused to leave Earth, even for so momentous a meeting as this."," tvrdošíjně odmítal opustit Zemi dokonce i na tak krátké jednání."
"complete","complete","naplnila","naplnit","pf"," as if to complete the illusion, someone had placed a glass of water in front of him."," aby se iluze naplnila dokonale, kdosi před něho postavil sklenici vody."
"placed","place","postavil","postavit","pf"," as if to complete the illusion, someone had placed a glass of water in front of him."," aby se iluze naplnila dokonale, kdosi před něho postavil sklenici vody."
