"call","call","říká","říkat","impf"," At the moment she 's in my apartment in the neighborhood they call Little Berlin."," Je momentálně v mém bytě ve čtvrti, které se tu říká Malý Berlín."
"Showing","show","prokázal","prokázat","pf"," Showing his papers, the detective dodged past the rescue workers and their machines to Number 5, two buildings down."," Pak se prokázal a proplétal mezi zachránci a jejich technikou k číslu pět, které ob dům sousedilo se zasaženým."
"recognized","recognize","nepoznali","poznat","pf"," It was his fault they had n't recognized the MESSAGE."," A tím zavinil, že nepoznali POSELSTVÍ."
"laughed","laugh","Zasmál","zasmát","pf"," He laughed aloud with joy : today he had pulled it off perfectly."," Zasmál se nahlas radostí, že se mu to dnes dokonale povedlo."
"understood","understand","pochopit","pochopit","pf"," This time they must have understood!"," Tentokrát museli pochopit!"
"return","return","nevrátil","vrátit","pf"," However, he could not return to his post-Antwerp method of survival."," Ke způsobu přežívání, jakému navykl po Antverpách, se však nevrátil."
"changed","change","změnilo","změnit","pf"," Something fundamental in him had changed."," Něco se v něm zásadně změnilo."
"awoke","awake","Probudila","probudit","pf"," A strong need, buried these last twenty years, awoke in him."," Probudila se v něm prapotřeba zasutá dobrých dvacet let."
"passed","pass","předal","předat","pf"," Hinterpichler passed his assistant the sheet of paper where Buback had written the name and address of Jitka 's father ( obtained from Beran that morning by telephone ), and ordered the man to connect him immediately with the head of the appropriate office."," List papíru, kam si Buback ráno poznamenal jméno i adresu Jitčina otce, jak si je telefonicky vyžádal přímo od Berana, předal adjutantovi s příkazem, aby ho ihned spojil s náčelníkem příslušné služebny."
"connect","connect","spojil","spojit","pf"," Hinterpichler passed his assistant the sheet of paper where Buback had written the name and address of Jitka 's father ( obtained from Beran that morning by telephone ), and ordered the man to connect him immediately with the head of the appropriate office."," List papíru, kam si Buback ráno poznamenal jméno i adresu Jitčina otce, jak si je telefonicky vyžádal přímo od Berana, předal adjutantovi s příkazem, aby ho ihned spojil s náčelníkem příslušné služebny."
"completed","complete","splnili","splnit","pf"," We 've completed our mission, but I do n't like the fact that we do n't have orders covering various possible developments."," Úkol jsme splnili, ale nelíbí se mi, že nemáme další rozkazy pro různé možné situace."
"like","like","nelíbí","líbit","impf"," We 've completed our mission, but I do n't like the fact that we do n't have orders covering various possible developments."," Úkol jsme splnili, ale nelíbí se mi, že nemáme další rozkazy pro různé možné situace."
"confirmed","confirm","potvrdilo","potvrdit","pf"," The second seemed too wonderful to be true, but because enough telephones were fortunately working, several randomly dialed extensions in the suburbs immediately confirmed it."," Druhá byla příliš skvělá, než aby jí mohli hned uvěřit, ale protože naštěstí fungovalo dost telefonů, potvrdilo ji záhy několik náhodně vybraných účastníků z předměstí."
"call","call","říkat","říkat","impf"," - I think it 's safe to call him a widow killer."," - Vlastně už se mu dá říkat vrah vdov."
"occurred","occur","napadlo","napadnout","pf"," And it occurred to Jitka that maybe he prowls the cemetery."," A teprv Jitku napadlo, jestli si je nevyčíhává právě na hřbitově."
"see","see","chápal","chápat","impf"," While at first the newly formed security detachments repelled him with their ostentatious brutality, he came to see his office 's connection to them as a necessary evil, an unavoidable consolidation of forces in a nation at war."," Pokud ho dřív odpuzovaly nově vzniklé bezpečnostní složky svou na odiv stavěnou brutalitou, chápal teď připojení svého úřadu k nim jako nutné zlo, nezbytné semknutí všech sil bojujícího kmene."
"ensure","ensure","zajišťoval","zajišťovat","impf"," Sent to France, Holland, and Belgium to ensure the peaceful coexistence of his kinsmen in occupied territories, he devoted his energies, as before, to that task and no other."," Odvelen do Francie, Holandska a Belgie, aby zajišťoval řádné soužití soukmenovců na obsazených územích, věnoval se nadále své původní profesi."
"devoted","devote","věnoval","věnovat","impf"," Sent to France, Holland, and Belgium to ensure the peaceful coexistence of his kinsmen in occupied territories, he devoted his energies, as before, to that task and no other."," Odvelen do Francie, Holandska a Belgie, aby zajišťoval řádné soužití soukmenovců na obsazených územích, věnoval se nadále své původní profesi."
"come","come","došli","dojít","pf"," The hostages and soldiers had just come within range and the first tank had crawled around the bend when the sky ripped open on the hill above them."," Rukojmí i vojáci došli právě na dostřel a do zatáčky se sunul první tank, když se nad nimi na kopci roztrhlo nebe."
"ripped","rip","roztrhlo","roztrhnout","pf"," The hostages and soldiers had just come within range and the first tank had crawled around the bend when the sky ripped open on the hill above them."," Rukojmí i vojáci došli právě na dostřel a do zatáčky se sunul první tank, když se nad nimi na kopci roztrhlo nebe."
"taken","take","dostalo","dostat","pf"," Something there had evidently taken a direct hit and flown up in the air."," Něco tam zřejmě dostalo přímý zásah a vyletělo do vzduchu."
"followed","follow","Následovala","následovat","impf"," A frenzied crossfire of light and heavy weapons followed."," Následovala zuřivá přestřelka mnoha lehkých i těžkých zbraní."
"laugh","laugh","zasmál","zasmát","pf"," He forced himself to laugh."," Nuceně se zasmál."
"wanted","want","Chtěl","chtít","impf"," He wanted to hug her, but for once she would not let him."," Chtěl ji obejmout, ale výjimečně to nepřipustila."
"hug","hug","obejmout","obejmout","pf"," He wanted to hug her, but for once she would not let him."," Chtěl ji obejmout, ale výjimečně to nepřipustila."
"irritated","irritate","dráždilo","dráždit","impf"," He saw that Buback was still uppermost in her mind, and it irritated him."," Usoudil, že ji Buback zaměstnává dál, a dráždilo ho to."
"suggested","suggest","navrhl","navrhnout","pf"," Lebeda, a greenhorn Morava had conscripted in desperation, suggested that they simply close two of them off."," Nováček Lebeda, jehož sem v nouzi přitáhl Marek, navrhl, aby dva prostě zavřeli."
"close","close","zavřeli","zavřít","pf"," Lebeda, a greenhorn Morava had conscripted in desperation, suggested that they simply close two of them off."," Nováček Lebeda, jehož sem v nouzi přitáhl Marek, navrhl, aby dva prostě zavřeli."
"spend","spend","stráví","strávit","pf"," No, they 'd have to spend a portion of their lives here as sweepers, stonelayers, gardeners, beggars, or the bereaved in mourning."," Ne, musí se smířit, že tu stráví kus života jako metaři, kameníci, zahradníci, žebráci či truchlící pozůstalí."
"released","release","uvolnil","uvolnit","pf"," Meckerle released his painful grip and jokingly threatened Buback with a finger large enough to break an ordinary wrist."," Meckerle uvolnil bolestný stisk a zahrozil žertovně prstem, který by sám stačil přerazit normální zápěstí."
"left","leave","zanechal","zanechat","pf"," Any traces, if the killer had left them, had been completely obliterated by the fire and water."," Stopy, pokud je vrah zanechal, byly dokonale zničeny ohněm a vodou."
"approached","approach","blížily","blížit","impf"," The shuffling footsteps approached, and he fought the temptation to step straight out, so powerful was his fear of missing his chance."," Šouravé kročeje se blížily a on bojoval s pokušením vyrazit hned, jak se ho zmocnila hrůza, že to nestihnou."
"fought","fight","bojoval","bojovat","impf"," The shuffling footsteps approached, and he fought the temptation to step straight out, so powerful was his fear of missing his chance."," Šouravé kročeje se blížily a on bojoval s pokušením vyrazit hned, jak se ho zmocnila hrůza, že to nestihnou."
"decided","decide","rozhodla","rozhodnout","pf"," Jitka decided to set out right away for a second round and then again that afternoon."," Jitka se rozhodla jít hned podruhé a odpoledne znovu ..."
"conceived","conceive","vymyšleno","vymyslet","pf"," Hastily conceived, eagerly accepted by Hans and carried through by both of them with youthful verve."," Lehce vymyšleno, Hansem nadšeně přijato a provedeno oběma s veškerou mladickou vervou."
"accepted","accept","přijato","přijmout","pf"," Hastily conceived, eagerly accepted by Hans and carried through by both of them with youthful verve."," Lehce vymyšleno, Hansem nadšeně přijato a provedeno oběma s veškerou mladickou vervou."
"pretended","pretend","předstíral","předstírat","impf"," Just to be sure, he pretended to be fixing the lock on the canteen door until the director and his secretary had sat down to lunch ( some sort of gray porridge with red beets, ugh! )."," Pro jistotu ovšem tak dlouho předstíral v kantýně, že opravuje kliku dveří, až ředitel i jeho sekretářka zasedli k jídlu, jakési šedivé kaši s červenou řepou, brr! nevzal by to do huby, jeho jazyk navždycky zpovykala ONA."
"fixing","fix","opravuje","opravovat","impf"," Just to be sure, he pretended to be fixing the lock on the canteen door until the director and his secretary had sat down to lunch ( some sort of gray porridge with red beets, ugh! )."," Pro jistotu ovšem tak dlouho předstíral v kantýně, že opravuje kliku dveří, až ředitel i jeho sekretářka zasedli k jídlu, jakési šedivé kaši s červenou řepou, brr! nevzal by to do huby, jeho jazyk navždycky zpovykala ONA."
"asked","ask","zeptal","zeptat","pf"," - Where to? he asked, just to say something, and tried not to show how upset he was."," - Kam? zeptal se tedy, aby vůbec něco řekl, a snažil se nedat najevo, jak je rozčilen."
"say","say","řekl","říci","pf"," - Where to? he asked, just to say something, and tried not to show how upset he was."," - Kam? zeptal se tedy, aby vůbec něco řekl, a snažil se nedat najevo, jak je rozčilen."
"tried","try","snažil","snažit","impf"," - Where to? he asked, just to say something, and tried not to show how upset he was."," - Kam? zeptal se tedy, aby vůbec něco řekl, a snažil se nedat najevo, jak je rozčilen."
"housed","house","ubytovány","ubytovat","pf"," - All troupes of the German Theater are to be housed there temporarily until we can return here."," - Mají tam být zatím ubytovány všechny skupiny Německého divadla, dokud se nebude moct vrátit sem."
"return","return","vrátit","vrátit","pf"," - All troupes of the German Theater are to be housed there temporarily until we can return here."," - Mají tam být zatím ubytovány všechny skupiny Německého divadla, dokud se nebude moct vrátit sem."
"said","say","Říkali","říkat","impf"," - They said that!"," - Říkali!"
"restored","restore","vrátily","vrátit","pf"," On Mendel Bridge, where tar-paper signs had restored the Czech painter Mánes 's name, the crew of a German light cannon tried to drive them back."," Na Mendelově mostě, kterému zatím jen lepenkové cedule vrátily jméno malíře Mánesa, je chtěla hnát zpátky osádka německé samochodky."
"drive","drive","hnát","hnát","impf"," On Mendel Bridge, where tar-paper signs had restored the Czech painter Mánes 's name, the crew of a German light cannon tried to drive them back."," Na Mendelově mostě, kterému zatím jen lepenkové cedule vrátily jméno malíře Mánesa, je chtěla hnát zpátky osádka německé samochodky."
"assigned","assign","přidělil","přidělit","pf"," Even before Morava 's return from Brno, Beran had assigned two more men to him : Šebesta and Marek, experienced sleuths who were not at all offended to be working under a youth their sons ' age."," Beran mu už včera před jeho návratem přidělil další dva lidi, Šebestu a Marka, zkušené matadory, které přesto nepohoršovalo, že jim velí kluk starý jako jejich synové."
"shared","share","Sdíleli","sdílet","impf"," They shared Beran 's good opinion of him and, in their time, had voluntarily chosen careers as "" sniffing dogs "", because they enjoyed working in the field and had no desire to learn German."," Sdíleli Beranovo dobré mínění o něm a doživotní postavení ' čmuchacích psů ' si zvolili svého času dobrovolně, protože je bavila práce v terénu a neměli chuť učit se německy."
"chosen","choose","zvolili","zvolit","pf"," They shared Beran 's good opinion of him and, in their time, had voluntarily chosen careers as "" sniffing dogs "", because they enjoyed working in the field and had no desire to learn German."," Sdíleli Beranovo dobré mínění o něm a doživotní postavení ' čmuchacích psů ' si zvolili svého času dobrovolně, protože je bavila práce v terénu a neměli chuť učit se německy."
"enjoyed","enjoy","bavila","bavit","impf"," They shared Beran 's good opinion of him and, in their time, had voluntarily chosen careers as "" sniffing dogs "", because they enjoyed working in the field and had no desire to learn German."," Sdíleli Beranovo dobré mínění o něm a doživotní postavení ' čmuchacích psů ' si zvolili svého času dobrovolně, protože je bavila práce v terénu a neměli chuť učit se německy."
"learn","learn","učit","učit","impf"," They shared Beran 's good opinion of him and, in their time, had voluntarily chosen careers as "" sniffing dogs "", because they enjoyed working in the field and had no desire to learn German."," Sdíleli Beranovo dobré mínění o něm a doživotní postavení ' čmuchacích psů ' si zvolili svého času dobrovolně, protože je bavila práce v terénu a neměli chuť učit se německy."
"leave","leave","nenechal","nechat","pf"," Her confession was foremost a warning not to leave her alone."," Její zpověď byla především výstraha, aby ji nenechal samotnou."
"spared","spare","ušetřil","ušetřit","pf"," - The flames spared the rest of the building, the item had read, - but raged so wildly in the apartment that the tenant could only be identified by her rings and teeth."," "" Červený kohout ušetřil sice zbytek domu, "" vybavoval si zprávu, "" ale v bytě se vyřádil tak, že majitelku bylo možno identifikovat jen podle zubů a prstenů ""."
"swore","swear","přísahal","přísahat","impf"," - It 's a new organ appointed by the legal government of the reconstituted Czechoslovak Republic - which you once swore allegiance to."," - Je to nový orgán pověřený legální vládou obnovené Republiky československé, které jste původně také přísahal věrnost."
"agree","agree","souhlasí","souhlasit","impf"," Did they agree to this?"," Němci s tím souhlasí??"
"wanted","want","Chtěli","chtít","impf"," - Everyone wanted to come, the superintendent explained, - but I 'm sure you 'll understand I could n't allow that, so I 'm here both in a personal capacity and for them."," - Chtěli sem všichni přijít, vysvětlil vrchní komisař, - ale nemohl jsem to, jak chápete, dovolit, proto jdu aspoň osobně i za ně."
"come","come","přijít","přijít","pf"," - Everyone wanted to come, the superintendent explained, - but I 'm sure you 'll understand I could n't allow that, so I 'm here both in a personal capacity and for them."," - Chtěli sem všichni přijít, vysvětlil vrchní komisař, - ale nemohl jsem to, jak chápete, dovolit, proto jdu aspoň osobně i za ně."
"explained","explain","vysvětlil","vysvětlit","pf"," - Everyone wanted to come, the superintendent explained, - but I 'm sure you 'll understand I could n't allow that, so I 'm here both in a personal capacity and for them."," - Chtěli sem všichni přijít, vysvětlil vrchní komisař, - ale nemohl jsem to, jak chápete, dovolit, proto jdu aspoň osobně i za ně."
"understand","understand","chápete","chápat","impf"," - Everyone wanted to come, the superintendent explained, - but I 'm sure you 'll understand I could n't allow that, so I 'm here both in a personal capacity and for them."," - Chtěli sem všichni přijít, vysvětlil vrchní komisař, - ale nemohl jsem to, jak chápete, dovolit, proto jdu aspoň osobně i za ně."
"allow","allow","dovolit","dovolit","pf"," - Everyone wanted to come, the superintendent explained, - but I 'm sure you 'll understand I could n't allow that, so I 'm here both in a personal capacity and for them."," - Chtěli sem všichni přijít, vysvětlil vrchní komisař, - ale nemohl jsem to, jak chápete, dovolit, proto jdu aspoň osobně i za ně."
"come","come","jdu","jít","impf"," - Everyone wanted to come, the superintendent explained, - but I 'm sure you 'll understand I could n't allow that, so I 'm here both in a personal capacity and for them."," - Chtěli sem všichni přijít, vysvětlil vrchní komisař, - ale nemohl jsem to, jak chápete, dovolit, proto jdu aspoň osobně i za ně."
"called","call","volal","volat","impf"," Eyebrows rose as what a moment ago had been a broken man now straightened up and called out to Svoboda."," Ti kolem něho valili oči, když před okamžikem ještě zhroucený stál náhle pevně na nohou a volal na Svobodu."
"left","leave","nenechal","nechat","pf"," At first he took him for a copper still sniffing around for something, and he 'd have had his knife ready if that idiot of a stoker had n't panicked and left it in the lady."," D ržel ho napřed za fízla, který tu na něho dosud číhá, takže by měl nůž jistý, kdyby jej byl ten hňup topič ve své hysterii nenechal v babě."
"said","say","řekl","říci","pf"," - I 'm sorry, Morava said, - but I 'm not wanted here either."," - Lituji, řekl Morava, - ale jsem tu též nežádoucí."
"mean","mean","znamenat","znamenat","impf"," - What 's that supposed to mean?"," - Co to má znamenat?"
"think","think","Myslím","myslet","impf"," - I think it stands for Revolutionary Guards."," - Myslím, že Revoluční gardy."
"announced","announce","prohlásila","prohlásit","pf"," - The first and third Sundays! she announced."," - Každé první a třetí! prohlásila."
"nodded","nod","Kýval","kývat","impf"," He nodded, but could n't imagine in his wildest dreams that Grete, with her physical nature, could hold out alone for long, much as she might want to."," Kýval, ale neuměl si ani s velkou fantazií představit, že by tahle životachtivá bytost vydržela i při nejlepší vůli dlouhou osamělost."
"imagine","imagine","představit","představit","pf"," He nodded, but could n't imagine in his wildest dreams that Grete, with her physical nature, could hold out alone for long, much as she might want to."," Kýval, ale neuměl si ani s velkou fantazií představit, že by tahle životachtivá bytost vydržela i při nejlepší vůli dlouhou osamělost."
"hold","hold","vydržela","vydržet","pf"," He nodded, but could n't imagine in his wildest dreams that Grete, with her physical nature, could hold out alone for long, much as she might want to."," Kýval, ale neuměl si ani s velkou fantazií představit, že by tahle životachtivá bytost vydržela i při nejlepší vůli dlouhou osamělost."
"formed","form","vytvořili","vytvořit","pf"," The four of them formed a chain as each train arrived from Plzeň, and questioned all the passengers."," Ve čtyřech vytvořili při dojezdu každého vlaku od Plzně na konci peronu řetěz a oslovili všechny cestující."
"questioned","question","oslovili","oslovit","pf"," The four of them formed a chain as each train arrived from Plzeň, and questioned all the passengers."," Ve čtyřech vytvořili při dojezdu každého vlaku od Plzně na konci peronu řetěz a oslovili všechny cestující."
"sat","sit","seděl","sedět","impf"," Between trains Morava sat on a bench beneach the roof of the first platform and stared straight ahead."," Mezi jednotlivými příjezdy seděl Morava na lavičce pod střechou prvního nástupiště a hleděl před sebe."
"object","object","namítnout","namítnout","pf"," He decided to object."," Dovolil si namítnout."
"get","get","seženu","sehnat","pf"," Until I can get hold of him, I 'm sending you."," Než ho seženu, hlaste se tam aspoň vy."
"understand","understand","rozumíte","rozumět","impf"," But watch out, kid, do you understand?"," Dejte si, chlape, bacha, rozumíte?!"
"thought","think","pomyslel","pomyslet","pf"," A few yards further, Buback thought, and I would have been with them, smoke and ash ..."," Pár metrů, pomyslel Buback, a byl jsem bez bolesti a beze strachu s nimi ..."
"repeat","repeat","opakovat","opakovat","impf"," Only half listening, he had to ask Kroloff to repeat the second piece of news."," Nesoustředěně poslouchal dál a musel si dát druhou zprávu opakovat."
"decided","decide","Usoudil","usoudit","pf"," Colonel Meckerle should hear about this directly from him, he decided."," Usoudil, že o té zvrácenosti musí být zpraven přímo od něho standartenführer Meckerle."
"burned","burn","pálilo","pálit","impf"," His forehead burned agonizingly and his head would not stop humming, but at least he could see."," Čelo dál zatraceně pálilo, v hlavě mu nepřestávalo hučet, ale už zas viděl."
"stop","stop","nepřestávalo","přestávat","impf"," His forehead burned agonizingly and his head would not stop humming, but at least he could see."," Čelo dál zatraceně pálilo, v hlavě mu nepřestávalo hučet, ale už zas viděl."
"see","see","viděl","vidět","impf"," His forehead burned agonizingly and his head would not stop humming, but at least he could see."," Čelo dál zatraceně pálilo, v hlavě mu nepřestávalo hučet, ale už zas viděl."
"tried","try","Zkusil","zkusit","pf"," He tried to look over his shoulder."," Zkusil pohlédnout přes rameno."
"look","look","pohlédnout","pohlédnout","pf"," He tried to look over his shoulder."," Zkusil pohlédnout přes rameno."
"hunting","hunt","shání","shánět","impf"," Your colleague is hunting up a car."," Váš kolega shání vůz."
"opening","open","otvíral","otvírat","impf"," Although he had barely slept, a shower refreshed him completely, his brain was like a letter knife, smoothly opening problem after problem until it reached a solution."," Ačkoli skoro nezamhouřil oči, stačila mu sprcha, aby byl naprosto svěží, jeho mozek fungoval jak nůž na dopisy, otvíral hbitě problém za problémem, až dospěl k základnímu řešení."
"retain","retain","udržet","udržet","pf"," He had to retain his post at all costs."," Musí se za každou cenu udržet na svém místě."
"offered","offer","Nabídla","nabídnout","pf"," She offered him the box."," Nabídla mu."
"earned","earn","vydělala","vydělat","pf"," She knew it cost more than all the money she had ever earned."," Věděla, že stojí víc než obnášejí všechny peníze, které si kdy vydělala."
"held","hold","držela","držet","impf"," For the few minutes she held it in her hand, she felt the way she had always longed to feel : the chosen one among women."," Těch pár minut, co jej držela v ruce, si přišla, jak se vždycky toužila cítit : vyvolená mezi ženami."
"longed","long","toužila","toužit","impf"," For the few minutes she held it in her hand, she felt the way she had always longed to feel : the chosen one among women."," Těch pár minut, co jej držela v ruce, si přišla, jak se vždycky toužila cítit : vyvolená mezi ženami."
"felt","feel","cítit","cítit","impf"," For the few minutes she held it in her hand, she felt the way she had always longed to feel : the chosen one among women."," Těch pár minut, co jej držela v ruce, si přišla, jak se vždycky toužila cítit : vyvolená mezi ženami."
"feel","feel","cítit","cítit","impf"," For the few minutes she held it in her hand, she felt the way she had always longed to feel : the chosen one among women."," Těch pár minut, co jej držela v ruce, si přišla, jak se vždycky toužila cítit : vyvolená mezi ženami."
"showed","show","ukázala","ukázat","pf"," Then she showed it to Martin and sent it back."," Pak jej ukázala Martinovi a poslala zpět."
"sent","send","poslala","poslat","pf"," Then she showed it to Martin and sent it back."," Pak jej ukázala Martinovi a poslala zpět."
"exhausted","exhaust","vyčerpala","vyčerpat","pf"," As if this last memory exhausted her more than her whole life story, she laid her forehead on her knees."," Jako by ji poslední vzpomínka vyčerpala víc než celý životní příběh, položila teď na kolena i čelo."
"laid","lay","položila","položit","pf"," As if this last memory exhausted her more than her whole life story, she laid her forehead on her knees."," Jako by ji poslední vzpomínka vyčerpala víc než celý životní příběh, položila teď na kolena i čelo."
"fallen","fall","spadla","spadnout","pf"," Buback 's tiredness, meanwhile, had completely fallen away."," Zato s Bubacka naprosto spadla únava."
"erupt","erupt","vybuchnout","vybuchnout","pf"," A volcano could erupt under them any day now, and they had not even discussed where and how they 'd find each other afterward."," Každý den přece pod nimi mohla vybuchnout sopka, a oni se ani nezmínili, zda a kde se pak hledat!!"
"asked","ask","zeptal","zeptat","pf"," - Where to? the driver asked in Czech, and Morava repeated it in German."," - Kam? zeptal se český řidič a Morava to opakoval německy."
"repeated","repeat","opakoval","opakovat","impf"," - Where to? the driver asked in Czech, and Morava repeated it in German."," - Kam? zeptal se český řidič a Morava to opakoval německy."
"approaching","approach","blížilo","blížit","impf"," The car was approaching downtown Prague."," Auto se blížilo ke středu Prahy."
"glanced","glance","pohlédl","pohlédnout","pf"," Buback glanced at his watch."," Buback pohlédl na hodinky."
"finished","finish","skončila","skončit","pf"," Grete was finished with widowhood for today, and was probably catching a nap before the afternoon trip out to the troops."," Grete skončila vdoví výstupy a dospává nejspíš před odpoledním zájezdem k jednotkám."
"called","call","upozornil","upozornit","pf"," - Hello, he called, drawing their attention."," - Haló! upozornil na sebe."
"giving","give","dal","dát","pf"," I 'm glad your male vanity did n't stop you from giving it to me."," Děkuju ti, žes překonal mužskou ješitnost a dal mi to."
"expected","expect","předpokládat","předpokládat","impf"," The needle hunt in a haystack - there was no better term for it - went more successfully than Morava expected."," A kce hledání stébla v kupě sena, jinak se to opravdu nemohlo jevit, běžela úspěšněji, než se dalo předpokládat."
"heard","hear","uslyšel","uslyšet","pf"," He described the tension that seized him when he heard the keys and steps, caught sight of Jitka 's black boots over the kitchen threshold and then the endless seconds where the pounding of his heart drowned everything else out."," Líčil napětí, které se ho zmocnilo, když uslyšel klíče a kroky, zahlédl Jitčiny černé střevíce nad prahem kuchyně a pak nekonečné vteřiny vnímal jen bušení srdce."
"sighed","sigh","vzdychl","vzdychnout","pf"," How much worse it must be for her, the young detective sighed."," Jak muselo, vzdychl adjunkt, být jí??"
"heard","hear","Uslyšel","uslyšet","pf"," Once he had heard it for the second time, his forehead broke out in sweat."," Uslyšel ji tedy podruhé a na čele mu okamžitě vyvstal pot."
"tried","try","Pokusil","pokusit","pf"," Rajner tried to object."," Pokusil se o odpor."
"began","begin","zahájil","zahájit","pf"," There were no direct witnesses as to when he began his rounds of the building, although the cleaning ladies met him there at five the next morning."," O tom, kdy zahájil večerní obchůzku pracáku, neexistuje přímé svědectví, každopádně ho tam potkaly uklízečky v pět ráno příštího dne."
"met","meet","potkaly","potkat","pf"," There were no direct witnesses as to when he began his rounds of the building, although the cleaning ladies met him there at five the next morning."," O tom, kdy zahájil večerní obchůzku pracáku, neexistuje přímé svědectví, každopádně ho tam potkaly uklízečky v pět ráno příštího dne."
"interrogate","interrogate","vyslechnout","vyslechnout","pf"," The gentlemen from Prague could interrogate him here whenever they wished."," Pánové z Prahy ho tu mohou kdykoli vyslechnout."
"refused","refuse","odmítá","odmítat","impf"," Jakub Malatínský had taken a holiday that day and refused to give details, but stated that in a pinch he could produce an airtight alibi."," Jakub Malatínský měl v den pražské vraždy náhradní volno, o kterém zatím odmítá podat informaci, ale tvrdí, že by v krajní nouzi prokázal nezvratné alibi."
"give","give","podat","podat","pf"," Jakub Malatínský had taken a holiday that day and refused to give details, but stated that in a pinch he could produce an airtight alibi."," Jakub Malatínský měl v den pražské vraždy náhradní volno, o kterém zatím odmítá podat informaci, ale tvrdí, že by v krajní nouzi prokázal nezvratné alibi."
"desired","desire","přejí","přát","impf"," If the gentlemen so desired, he could be escorted here immediately."," Pokud si páni přejí, může sem být neprodleně eskort ován."
"heard","hear","uslyšel","uslyšet","pf"," Then he heard the neighbor 's oath, and even though it was the result of his own cleverness, he was still a bit disappointed."," Pak ale uslyšel sousedčinu přísahu, a i když byla plodem jeho vlastní chytrosti, s jakou všecko správně předpokládal a zařídil, byl vlastně trochu zklamán."
"disappointed","disappoint","zklamán","zklamat","pf"," Then he heard the neighbor 's oath, and even though it was the result of his own cleverness, he was still a bit disappointed."," Pak ale uslyšel sousedčinu přísahu, a i když byla plodem jeho vlastní chytrosti, s jakou všecko správně předpokládal a zařídil, byl vlastně trochu zklamán."
"delivered","deliver","předal","předat","pf"," The driver in livery delivered her to the doorman, the doorman took her to the concierge, the concierge brought her personally to the head-waiter."," Řidič v livreji ji předal otvírači dveří, otvírač vrátnému, vrátný ji osobně dovedl k vrchnímu."
"like","like","Chce","chtít","impf"," If she would like, he said, kissing her hand, they could take dinner together here."," Chce - li, řekl, když jí políbil ruku, povečeří spolu zde."
"said","say","řekl","říci","pf"," If she would like, he said, kissing her hand, they could take dinner together here."," Chce - li, řekl, když jí políbil ruku, povečeří spolu zde."
"kissing","kiss","políbil","políbit","pf"," If she would like, he said, kissing her hand, they could take dinner together here."," Chce - li, řekl, když jí políbil ruku, povečeří spolu zde."
"invite","invite","pozval","pozvat","pf"," With her consent, of course, he would be pleased to invite her for dinner at his home."," Svolí - li ovšem, rád by ji pozval na večeři domů."
"Letting","let","nechal","nechat","pf"," Letting Morava visit his mother, offering to intervene on behalf of Jitka 's father, and finally jumping in so unconventionally during the vintner 's interrogation could all be classic tricks - if Beran was right - but it was certainly easier to breathe in this new atmosphere."," Že ho nechal navštívit matku, že neodmítl intervenci ve prospěch Jitčina otce a nakonec tak nekonvenčně zafungoval při výslechu sklepmistra, mohl být samozřejmě, pokud měl Beran pravdu, klasický trik, ale v nové atmosféře se dalo rozhodně líp dýchat."
"visit","visit","navštívit","navštívit","pf"," Letting Morava visit his mother, offering to intervene on behalf of Jitka 's father, and finally jumping in so unconventionally during the vintner 's interrogation could all be classic tricks - if Beran was right - but it was certainly easier to breathe in this new atmosphere."," Že ho nechal navštívit matku, že neodmítl intervenci ve prospěch Jitčina otce a nakonec tak nekonvenčně zafungoval při výslechu sklepmistra, mohl být samozřejmě, pokud měl Beran pravdu, klasický trik, ale v nové atmosféře se dalo rozhodně líp dýchat."
"breathe","breathe","dýchat","dýchat","impf"," Letting Morava visit his mother, offering to intervene on behalf of Jitka 's father, and finally jumping in so unconventionally during the vintner 's interrogation could all be classic tricks - if Beran was right - but it was certainly easier to breathe in this new atmosphere."," Že ho nechal navštívit matku, že neodmítl intervenci ve prospěch Jitčina otce a nakonec tak nekonvenčně zafungoval při výslechu sklepmistra, mohl být samozřejmě, pokud měl Beran pravdu, klasický trik, ale v nové atmosféře se dalo rozhodně líp dýchat."
"asked","ask","požádal","požádat","pf"," Beran asked Buback to remain behind with Morava."," Bubacka Beran požádal, aby spolu s Moravou setrval."
"remain","remain","setrval","setrvat","pf"," Beran asked Buback to remain behind with Morava."," Bubacka Beran požádal, aby spolu s Moravou setrval."
"dismissed","dismiss","Propustil","propustit","pf"," He dismissed the interpreter and led the discussion in German."," Propustil i tlumočníka a vedl rozhovor německy."
"led","lead","vedl","vést","impf"," He dismissed the interpreter and led the discussion in German."," Propustil i tlumočníka a vedl rozhovor německy."
"sending","send","pošlu","poslat","pf"," - Herr Oberkriminalrat, he said to Buback, - I 'd like to personally convey to you some information I 'm sending to the police commissioner."," - Herr Oberkriminalrat, rád bych vám osobně poskytl informaci, kterou pošlu i panu policejnímu presidentovi."
"let","let","nechal","nechat","pf"," Meckerle let them cool their heels a while longer as he had two more cognacs."," Meckerle je tam správně nechal ztvrdnout přes další dva koňaky."
"showed","show","ukazoval","ukazovat","impf"," Melancholically he showed Buback photos of his luxurious villa, and when asked politely if at least the inhabitants had survived, he informed Buback gloomily that by sheer coincidence his wife had been in Prague."," Melancholicky ukazoval Bubackovi fotky přepychové vily a na zdvořilou otázku, zda se zachránili alespoň obyvatelé, sdělil bez nadšení, že manželka byla čirou náhodou v Praze."
