"dance","dance","tančí","tančit","impf"," One tries to dance, lurching unbalanced, with a white marble statue;"," Jeden člověk tančí se sochou z bílého mramoru."
"like","like","chceš","chtít","impf"," ‘ If you like, being underneath the bed might be advisable. ’"," "" Jestli chceš, tak se docela vyplatí zalézt pod postel. """
"look","look","Dívám","dívat","impf"," I look for my clothes, but they were left on a seat that stood where our little visitor has passed;"," Dívám se po šatech, ale včera jsem je odložil na židli, která stávala přesně tam, kudy prolétl náš návštěvníček;"
"find","find","nacházím","nacházet","impf"," on the floor by the hole I find a few kindling-sized bits of the seat itself and a couple of buttons from my jacket."," na podlaze u otvoru nacházím několik třísek ze židle a dva knoflíky od saka."
"smells","smell","cítit","cítit","impf"," Her olive-dark skin smells of nothing at all."," Její olivová pleť není cítit vůbec ničím."
"tied","tie","svázat","svázat","pf"," ‘ Oh, you ’ d have to be tied up, ’ she says softly."," "" Museli bychom vás svázat, "" odpoví tiše."
"says","say","odpoví","odpovědět","pf"," ‘ Oh, you ’ d have to be tied up, ’ she says softly."," "" Museli bychom vás svázat, "" odpoví tiše."
"come","come","Jdu","jít","impf"," I ’ ll come. ’"," "" Jdu s vámi. """
"thought","think","myslela","myslet","impf"," ‘ I thought you might. ’"," "" To jsem si taky myslela. """
"seeing","see","spatřím","spatřit","pf"," I might like to hear more of our captor ’ s story, but seeing my opportunity I drop my precious cargo."," Byl bych si i rád poslechl víc z příběhu naší věznitelky, ale jakmile spatřím příležitost, svůj drahocenný náklad upouštím."
"disappears","disappear","zmizí","zmizet","pf"," The gun just disappears without a fuss, its own splash lost within the endless foaming rush of that steep stream."," Puška zmizí v tu ránu a její žbluňknutí se ztratí v neutuchajícím zpěněném spěchu prudké bystřiny."
"lost","lose","ztratí","ztratit","pf"," The gun just disappears without a fuss, its own splash lost within the endless foaming rush of that steep stream."," Puška zmizí v tu ránu a její žbluňknutí se ztratí v neutuchajícím zpěněném spěchu prudké bystřiny."
"tell","tell","říkám","říkat","impf"," ‘ Not one of those, ’ I tell her."," "" Takovýmhle ne, "" říkám."
"turn","turn","otočí","otočit","pf"," There ’ s a small courtyard, with enough room to turn something the size of a jeep around. ’"," Na nádvoří se ale otočí i terénní auto. """
"looking","look","dívá","dívat","impf"," ‘ No drawbridge? ’ she says, looking at me."," "" Co padací most? "" dívá se na mě."
"doubt","doubt","Pochybuju","pochybovat","impf"," I doubt either would stop – ’"," Pochybuju, že by zastavila - """
"killed","kill","Zabili","zabít","pf"," Two dozen or more they have killed."," Zabili nejméně pětadvacet lidí."
"decided","decide","Rozhodl","rozhodnout","pf"," I have decided, however coldly, that for any of this life, this passing thought of mind, this wisp of purpose in all the surrounding, universal chaos to have value, to be worth anything at all I – we – must evade such mundane pursuits and set ourselves apart as much in the staging of that customary act as in our dress, habitation, speech or subsidiary manners."," Rozhodl jsem se, jakkoli chladně, že aby cokoli z tohoto života, tohoto pomíjivého pomyslu, tohoto náznaku smysluplnosti ve všudypřítomném, universálním chaosu, něco vážilo, aby vůbec za něco stálo, já - my - se musíme vystříhat takového obyčejného počínání a vyčlenit se stejně tak v inscenování onoho běžného aktu, jako to činíme oděvem, příbytkem, mluvou a dalším konáním."
"see","see","vidím","vidět","impf"," The last thing I see of the mine is the windscreen of the truck shattering white, pocked with wide black holes, and the driver being thrown back, falling and folding as though belly-kicked by a horse."," Poslední, co z dolu vidím, je přední sklo náklaďáku, které se tříští a zbělá, proděravěné černými otvory, a zahlédnu, jak řidiče výstřely odmrští dozadu, jak padá a zkroutí se, jako kdyby ho nakopl kůň do břicha."
"see","see","zahlédnu","zahlédnout","pf"," The last thing I see of the mine is the windscreen of the truck shattering white, pocked with wide black holes, and the driver being thrown back, falling and folding as though belly-kicked by a horse."," Poslední, co z dolu vidím, je přední sklo náklaďáku, které se tříští a zbělá, proděravěné černými otvory, a zahlédnu, jak řidiče výstřely odmrští dozadu, jak padá a zkroutí se, jako kdyby ho nakopl kůň do břicha."
"falling","fall","padá","padat","impf"," The last thing I see of the mine is the windscreen of the truck shattering white, pocked with wide black holes, and the driver being thrown back, falling and folding as though belly-kicked by a horse."," Poslední, co z dolu vidím, je přední sklo náklaďáku, které se tříští a zbělá, proděravěné černými otvory, a zahlédnu, jak řidiče výstřely odmrští dozadu, jak padá a zkroutí se, jako kdyby ho nakopl kůň do břicha."
"continues","continue","pokračuje","pokračovat","impf"," The firing continues for some time, punctuated by the sharp snap of grenades falling amongst the buildings of the mine;"," Střelba ještě chvíli pokračuje, členěná ostrým práskáním granátů dopadajících mezi důlní stavby;"
"tip","tip","Nakloním","naklonit","pf"," I tip my head, clanging the helmet against the side of the shaft as I try to see the summit of the well."," Nakloním hlavu, až přilbice zazvoní o stěnu šachty, a snažím se dohlédnout na vrchol studny."
"try","try","snažím","snažit","impf"," I tip my head, clanging the helmet against the side of the shaft as I try to see the summit of the well."," Nakloním hlavu, až přilbice zazvoní o stěnu šachty, a snažím se dohlédnout na vrchol studny."
"see","see","vidím","vidět","impf"," I lower my head and still see the lights."," Narovnám hlavu a světýlka vidím pořád."
"Seeing","see","vidím","vidět","impf"," Seeing stars again, I lie back in the castle ’ s gutted heart, its night-braided reaches holding me encupped, its stealing coldness infecting me, and feel myself part of its choking debris;"," Zase vidím hvězdičky, svalený na zádech ve vykuchané útrobě zámku, jeho vrcholky opentlené nocí mě drží v hrsti, jeho plíživý chlad mě nakažuje a já se cítím součástí jeho dusivé suti;"
"holding","hold","drží","držet","impf"," Seeing stars again, I lie back in the castle ’ s gutted heart, its night-braided reaches holding me encupped, its stealing coldness infecting me, and feel myself part of its choking debris;"," Zase vidím hvězdičky, svalený na zádech ve vykuchané útrobě zámku, jeho vrcholky opentlené nocí mě drží v hrsti, jeho plíživý chlad mě nakažuje a já se cítím součástí jeho dusivé suti;"
"feel","feel","cítím","cítit","impf"," Seeing stars again, I lie back in the castle ’ s gutted heart, its night-braided reaches holding me encupped, its stealing coldness infecting me, and feel myself part of its choking debris;"," Zase vidím hvězdičky, svalený na zádech ve vykuchané útrobě zámku, jeho vrcholky opentlené nocí mě drží v hrsti, jeho plíživý chlad mě nakažuje a já se cítím součástí jeho dusivé suti;"
"said","say","říct","říci","pf"," You should have said. ’"," "" To jste měl říct dřív. """
"left","leave","Odešli","odejít","pf"," ‘ We ’ ve left it. ’"," "" Odešli jsme z něj. """
"goes","go","pokračuje","pokračovat","impf"," ‘ And a title, ’ she goes on."," "" A taky titul, "" pokračuje."
"attacked","attack","neútočí","útočit","impf"," As no hawk has come down to tear my bonds and no liberating soldiers attacked, I have had to relieve myself, standing here."," Jelikož neslétá žádný dravec, aby mi zpřetrhal pouta, a neútočí žádní osvoboditelé, musel jsem si ulevit, jak tu stojím."
"relieve","relieve","ulevit","ulevit","pf"," As no hawk has come down to tear my bonds and no liberating soldiers attacked, I have had to relieve myself, standing here."," Jelikož neslétá žádný dravec, aby mi zpřetrhal pouta, a neútočí žádní osvoboditelé, musel jsem si ulevit, jak tu stojím."
"watch","watch","sleduji","sledovat","impf"," But then, from the cold jolting of the truck ’ s open rear, swinging wildly through the bends created by empty vehicles long abandoned, I watch as all we have consigned to the starry night ’ s attention eventually succumbs, and the glaring flames die down."," Z otevřeného studeného zadku náklaďáku, který sebou divoce zmítá a nadskakuje v zákrutech vytvořených dávno opuštěnými vraky aut, sleduji, jak všechno, co jsme odevzdali hvězdné noci, nakonec mizí a jak žhnoucí plameny pozvolna zmírají."
"consigned","consign","odevzdali","odevzdat","pf"," But then, from the cold jolting of the truck ’ s open rear, swinging wildly through the bends created by empty vehicles long abandoned, I watch as all we have consigned to the starry night ’ s attention eventually succumbs, and the glaring flames die down."," Z otevřeného studeného zadku náklaďáku, který sebou divoce zmítá a nadskakuje v zákrutech vytvořených dávno opuštěnými vraky aut, sleduji, jak všechno, co jsme odevzdali hvězdné noci, nakonec mizí a jak žhnoucí plameny pozvolna zmírají."
"sing","sing","Nezpívám","zpívat","impf"," I do not sing or shout, or drink, or laugh with the merry crew I share the truck ’ s side-benches with."," Nezpívám, nepovykuji, nepopíjím ani se nesměji s bujarou posádkou, s níž sdílím postranní lavice na korbě."
"share","share","sdílím","sdílet","impf"," I do not sing or shout, or drink, or laugh with the merry crew I share the truck ’ s side-benches with."," Nezpívám, nepovykuji, nepopíjím ani se nesměji s bujarou posádkou, s níž sdílím postranní lavice na korbě."
"bound","bind","svázán","svázat","pf"," bound, condemned and waiting."," svázán, odsouzen a čekám."
"condemned","condemn","odsouzen","odsoudit","pf"," bound, condemned and waiting."," svázán, odsouzen a čekám."
"waiting","wait","čekám","čekat","impf"," bound, condemned and waiting."," svázán, odsouzen a čekám."
"say","say","říkají","říkat","impf"," The soldiers say they will move on tomorrow."," Vojáci říkají, že vytáhnou zítra."
"shooed","shoo","Zahnali","zahnat","pf"," They shooed the refugees away to take over their mean camp upon the lawns, and now a couple of husbands and one of our servants float in the moat too."," Zahnali uprchlíky a zabrali jejich skrovné tábořiště na trávníku a v příkopu nyní plavou ještě dva manželé a jeden náš sluha."
"take","take","zabrali","zabrat","pf"," They shooed the refugees away to take over their mean camp upon the lawns, and now a couple of husbands and one of our servants float in the moat too."," Zahnali uprchlíky a zabrali jejich skrovné tábořiště na trávníku a v příkopu nyní plavou ještě dva manželé a jeden náš sluha."
"float","float","plavou","plavat","impf"," They shooed the refugees away to take over their mean camp upon the lawns, and now a couple of husbands and one of our servants float in the moat too."," Zahnali uprchlíky a zabrali jejich skrovné tábořiště na trávníku a v příkopu nyní plavou ještě dva manželé a jeden náš sluha."
"sleep","sleep","spát","spát","impf"," I cannot sleep;"," Já spát nemůžu;"
"pace","pace","přecházím","přecházet","impf"," instead I pace the three rooms and two short corridors we ’ ve been restricted to, carrying a small tricerion to light my way, restless and unsure, and looking from moat to courtyard."," místo toho přecházím sem a tam třemi pokoji a dvěma chodbičkami, které nám přidělili, na cestu si svítím tříramenným svícínkem, jsem neklidný a nejistý a dívám se střídavě na vodní příkop a nádvoří."
"light","light","svítím","svítit","impf"," instead I pace the three rooms and two short corridors we ’ ve been restricted to, carrying a small tricerion to light my way, restless and unsure, and looking from moat to courtyard."," místo toho přecházím sem a tam třemi pokoji a dvěma chodbičkami, které nám přidělili, na cestu si svítím tříramenným svícínkem, jsem neklidný a nejistý a dívám se střídavě na vodní příkop a nádvoří."
"looking","look","dívám","dívat","impf"," instead I pace the three rooms and two short corridors we ’ ve been restricted to, carrying a small tricerion to light my way, restless and unsure, and looking from moat to courtyard."," místo toho přecházím sem a tam třemi pokoji a dvěma chodbičkami, které nám přidělili, na cestu si svítím tříramenným svícínkem, jsem neklidný a nejistý a dívám se střídavě na vodní příkop a nádvoří."
"swallow","swallow","Polknu","polknout","pf"," I swallow."," Polknu."
"exerting","exert","vynaložit","vynaložit","pf"," My finger feels weak upon the trigger, incapable of exerting any pressure."," Prst na spoušti mám slabý, nedokáže vynaložit žádnou sílu."
"dying","die","umírá","umírat","impf"," For all I know she ’ s dying anyway;"," Podle všeho stejně umírá;"
"losing","lose","ztrácí","ztrácet","impf"," she seems concussed or in some way losing consciousness and all this blood must indicate a serious wound somewhere."," má otřes mozku, nebo prostě ztrácí vědomí a soudě podle vší té krve musí někde mít vážné zranění."
"Killing","kill","Zabít","zabít","pf"," Killing her might be a release."," Zabít ji by mohlo být vysvobození."
"Come","come","Pojďte","jít","impf"," ‘ Come on, ’ she says to me, as Karma puts his helmet back on, clicks something on the machine-gun and points the weapon at the head of the man lying on the ground."," "" Pojďte, "" pobídne mě a Karma si znovu nasazuje přilbu, cvakne něčím na kulometu a namíří ležícímu zbraň na hlavu."
"points","point","namíří","namířit","pf"," ‘ Come on, ’ she says to me, as Karma puts his helmet back on, clicks something on the machine-gun and points the weapon at the head of the man lying on the ground."," "" Pojďte, "" pobídne mě a Karma si znovu nasazuje přilbu, cvakne něčím na kulometu a namíří ležícímu zbraň na hlavu."
"keeps","keep","mám","mít","impf"," As ever, when in this fervidly self-referential mood, I decide that whatever unsleeping force of will continually keeps my life steered to a safe and proper course has triumphed over the half-sensed vagaries of a current that might have led to danger."," Jako vždy, když mám tak zaníceně sebestředné rozpoložení, usoudím, že to nějaká věčně bdělá síla, která trvale kormidluje můj život v bezpečném a správném kursu, přemohla blouznivé vrtochy proudu, jenž mohl vést do nebezpečenství."
"decide","decide","usoudím","usoudit","pf"," As ever, when in this fervidly self-referential mood, I decide that whatever unsleeping force of will continually keeps my life steered to a safe and proper course has triumphed over the half-sensed vagaries of a current that might have led to danger."," Jako vždy, když mám tak zaníceně sebestředné rozpoložení, usoudím, že to nějaká věčně bdělá síla, která trvale kormidluje můj život v bezpečném a správném kursu, přemohla blouznivé vrtochy proudu, jenž mohl vést do nebezpečenství."
"steered","steer","vést","vést","impf"," As ever, when in this fervidly self-referential mood, I decide that whatever unsleeping force of will continually keeps my life steered to a safe and proper course has triumphed over the half-sensed vagaries of a current that might have led to danger."," Jako vždy, když mám tak zaníceně sebestředné rozpoložení, usoudím, že to nějaká věčně bdělá síla, která trvale kormidluje můj život v bezpečném a správném kursu, přemohla blouznivé vrtochy proudu, jenž mohl vést do nebezpečenství."
"led","lead","vést","vést","impf"," As ever, when in this fervidly self-referential mood, I decide that whatever unsleeping force of will continually keeps my life steered to a safe and proper course has triumphed over the half-sensed vagaries of a current that might have led to danger."," Jako vždy, když mám tak zaníceně sebestředné rozpoložení, usoudím, že to nějaká věčně bdělá síla, která trvale kormidluje můj život v bezpečném a správném kursu, přemohla blouznivé vrtochy proudu, jenž mohl vést do nebezpečenství."
"scanning","scan","prohlíží","prohlížet","impf"," ‘ Lovegod had a narrow escape, ’ the lieutenant tells you, scanning the sky for more sport."," "" Tady Pánbíček unikl o vlásek, "" vysvětluje ti velitelka, prohlíží si oblohu a hledá další kořist."
"hear","hear","slyšíme","slyšet","impf"," ‘ Could even have been fired by one of the guns we can hear now, ’ she says, eyes narrowing, nose raised to the wind."," "" Třeba byl z těch děl, co teď slyšíme, "" mhouří oči a zvedá nos proti větru."
"raised","raise","zvedá","zvedat","impf"," ‘ Could even have been fired by one of the guns we can hear now, ’ she says, eyes narrowing, nose raised to the wind."," "" Třeba byl z těch děl, co teď slyšíme, "" mhouří oči a zvedá nos proti větru."
"hear","hear","slyšet","slyšet","impf"," I hear shouts, wails and threats;"," Je slyšet jekot, nářek i výhrůžky;"
"puts","put","posadí","posadit","pf"," Somebody behind her puts a cap or beret on what ’ s left of her neck."," Někdo jí zezadu posadí na pahýl krku čapku nebo baret."
"think","think","Mám","mít","impf"," I think some of the men are laughing."," Mám dojem, že se pár mužů směje."
"laughing","laugh","směje","smát","impf"," I think some of the men are laughing."," Mám dojem, že se pár mužů směje."
"make","make","nutí","nutit","impf"," one of those facile faiths to which we give credit, but draw none from, and whose only certain effect is to make us become what does not become us."," je to jedna z těch snadných věr, kterým přikládáme váhu, ale na váze věcem nepřidají, a jejichž jediným zaručeným účinkem je, že nás nutí stát se něčím, za co nestojíme."
"freeze","freeze","Ztuhnu","ztuhnout","pf"," I freeze."," Ztuhnu."
"offer","offer","udělit","udělit","pf"," No more advice, no censure, rules nor even love itself could she offer me in the future, without it being measured against the intelligence of that taste for base surrender and brazen possession I had discovered in myself, inside the saturating force of that deluge, descent and fall."," Věděl jsem, že mi v budoucnu už nemůže udělit žádné rady a žádné výtky, poskytnout pravidla a ani lásku, aniž bych je poměřoval s hanebnými choutkami a nestydatou posedlostí, které jsem v sobě odhalil v sytící síle potopy, klesnutí a pádu."
"offer","offer","poskytnout","poskytnout","pf"," No more advice, no censure, rules nor even love itself could she offer me in the future, without it being measured against the intelligence of that taste for base surrender and brazen possession I had discovered in myself, inside the saturating force of that deluge, descent and fall."," Věděl jsem, že mi v budoucnu už nemůže udělit žádné rady a žádné výtky, poskytnout pravidla a ani lásku, aniž bych je poměřoval s hanebnými choutkami a nestydatou posedlostí, které jsem v sobě odhalil v sytící síle potopy, klesnutí a pádu."
"discovered","discover","odhalil","odhalit","pf"," No more advice, no censure, rules nor even love itself could she offer me in the future, without it being measured against the intelligence of that taste for base surrender and brazen possession I had discovered in myself, inside the saturating force of that deluge, descent and fall."," Věděl jsem, že mi v budoucnu už nemůže udělit žádné rady a žádné výtky, poskytnout pravidla a ani lásku, aniž bych je poměřoval s hanebnými choutkami a nestydatou posedlostí, které jsem v sobě odhalil v sytící síle potopy, klesnutí a pádu."
"go","go","jde","jít","impf"," In the afternoon we go hunting."," Odpoledne se jde na hon."
"nurse","nurse","ošetřují","ošetřovat","impf"," The lieutenant ’ s men mostly nurse their wounds or sleep;"," Velitelčini muži si buď ošetřují zranění nebo spí;"
"cross","cross","Přejdu","přejít","pf"," I cross to where the lieutenant ’ s pistol lies."," Přejdu k pistoli."
"open","open","otevřu","otevřít","pf"," It feels light, though when I open it I can see there are at least two bullets in the magazine."," V ruce je lehká, ale když ji otevřu, nacházím v zásobníku ještě nejmíň dvě kulky."
"look","look","Dívám","dívat","impf"," I look at the dead man at the door, at the two dead men visible outside, Mr Cuts hanging on the wire like an image from an earlier war, the grenade-thrower keeled over in the swaying grass with no discernible face."," Dívám se na mrtvého muže u dveří, na dva mrtvé v dohledu venku, Sekáče, jak visí na drátě jako výjev z nějaké minulé války, a granátníka bez obličeje zhrouceného ve zvlněné trávě."
"hanging","hang","visí","viset","impf"," I look at the dead man at the door, at the two dead men visible outside, Mr Cuts hanging on the wire like an image from an earlier war, the grenade-thrower keeled over in the swaying grass with no discernible face."," Dívám se na mrtvého muže u dveří, na dva mrtvé v dohledu venku, Sekáče, jak visí na drátě jako výjev z nějaké minulé války, a granátníka bez obličeje zhrouceného ve zvlněné trávě."
"hold","hold","Držím","držet","impf"," I hold the lieutenant ’ s pistol in my burned, shaking hand."," Držím pistoli ve spálené, třesoucí se ruce."
"do","do","dělat","dělat","impf"," What to do?"," Co mám dělat?"
"do","do","dělat","dělat","impf"," What to do?"," Co dělat?"
"shoot","shoot","nestřílíte","střílet","impf"," Don ’ t you shoot at all? ’"," Copak vy vůbec nestřílíte? """
"say","say","říkám","říkat","impf"," ‘ I ’ m used to larger targets, ’ I say, truthfully enough."," "" Jsem zvyklý na větší terče, "" říkám vlastně podle pravdy."
"Let","let","Nechte","nechat","pf"," ‘ Let him have a shot. ’"," "" Nechte ho, ať si taky vystřelí. """
"sitting","sit","sedím","sedět","impf"," I ’ m sure my own aesthetic senses have been heightened already, just talking to you and sitting here. ’"," Bezpochyby i moje estetické cítění se rozvíjí už jenom tím, že tu s vámi takhle sedím a klábosím. """
"use","use","použít","použít","pf"," My pleas were too eloquent, perhaps, my attempt to use reason doomed from the start, and as for my try at appealing to them man-to-man – as a chap unjustly accused, a chum, a mate in trouble – that was, apparently, just laughable ( for certainly they laughed )."," Moje prosby byly snad příliš mnohomluvné, můj pokus použít rozumu od začátku odsouzený k neúspěchu, a pokud jde o snahu jednat s nimi po mužsku - jako chlap neprávem nařčený, kamarád, parťák v nesnázích -, ta byla evidentně leda tak k smíchu ( vskutku se totiž smáli )."
"laughed","laugh","smáli","smát","impf"," My pleas were too eloquent, perhaps, my attempt to use reason doomed from the start, and as for my try at appealing to them man-to-man – as a chap unjustly accused, a chum, a mate in trouble – that was, apparently, just laughable ( for certainly they laughed )."," Moje prosby byly snad příliš mnohomluvné, můj pokus použít rozumu od začátku odsouzený k neúspěchu, a pokud jde o snahu jednat s nimi po mužsku - jako chlap neprávem nařčený, kamarád, parťák v nesnázích -, ta byla evidentně leda tak k smíchu ( vskutku se totiž smáli )."
"heard","hear","slyšeli","slyšet","impf"," ‘ The last we heard of that happy band they were in the hills, north of here. ’"," "" Když jsme o té bandě slyšeli naposledy, byli prý v kopcích severně odsud. """
"find","find","Nenašli","najít","pf"," ‘ We couldn ’ t find any sign of them;"," "" Nenašli jsme po nich ani stopu."
"intend","intend","hodláte","hodlat","impf"," ‘ You still intend to remain here? ’"," "" Stále zde hodláte zůstat? """
"remain","remain","zůstat","zůstat","pf"," ‘ You still intend to remain here? ’"," "" Stále zde hodláte zůstat? """
"wipes","wipe","otře","otřít","pf"," She puts the plate down, wipes her lips on a napkin, throws it on the table."," Odkládá talíř, otře si rty ubrouskem a pohodí ho na stůl."
"seeing","see","spatřit","spatřit","pf"," As for the vulgar interest in seeing our lives ’ continuing result – teasing out the present ’ s knot a little further from the future, before it falls back into the past and tangles once again – I find no great compulsion to see for seeing ’ s sake what I can ’ t help but feel will still end up being more of the same."," Co se týče přízemní touhy spatřit pokračování našich životů - povytáhnout uzlík přítomnosti ještě kousek z budoucnosti, než sklouzne do minulosti a znovu se zašmodrchá -, nijak mne to neponouká pouze samoúčelně zahlédnout něco, o čem se žel domnívám, že bude nakonec zas totéž."
"see","see","spatřit","spatřit","pf"," As for the vulgar interest in seeing our lives ’ continuing result – teasing out the present ’ s knot a little further from the future, before it falls back into the past and tangles once again – I find no great compulsion to see for seeing ’ s sake what I can ’ t help but feel will still end up being more of the same."," Co se týče přízemní touhy spatřit pokračování našich životů - povytáhnout uzlík přítomnosti ještě kousek z budoucnosti, než sklouzne do minulosti a znovu se zašmodrchá -, nijak mne to neponouká pouze samoúčelně zahlédnout něco, o čem se žel domnívám, že bude nakonec zas totéž."
"seeing","see","spatřit","spatřit","pf"," As for the vulgar interest in seeing our lives ’ continuing result – teasing out the present ’ s knot a little further from the future, before it falls back into the past and tangles once again – I find no great compulsion to see for seeing ’ s sake what I can ’ t help but feel will still end up being more of the same."," Co se týče přízemní touhy spatřit pokračování našich životů - povytáhnout uzlík přítomnosti ještě kousek z budoucnosti, než sklouzne do minulosti a znovu se zašmodrchá -, nijak mne to neponouká pouze samoúčelně zahlédnout něco, o čem se žel domnívám, že bude nakonec zas totéž."
"seeing","see","zahlédnout","zahlédnout","pf"," As for the vulgar interest in seeing our lives ’ continuing result – teasing out the present ’ s knot a little further from the future, before it falls back into the past and tangles once again – I find no great compulsion to see for seeing ’ s sake what I can ’ t help but feel will still end up being more of the same."," Co se týče přízemní touhy spatřit pokračování našich životů - povytáhnout uzlík přítomnosti ještě kousek z budoucnosti, než sklouzne do minulosti a znovu se zašmodrchá -, nijak mne to neponouká pouze samoúčelně zahlédnout něco, o čem se žel domnívám, že bude nakonec zas totéž."
"see","see","zahlédnout","zahlédnout","pf"," As for the vulgar interest in seeing our lives ’ continuing result – teasing out the present ’ s knot a little further from the future, before it falls back into the past and tangles once again – I find no great compulsion to see for seeing ’ s sake what I can ’ t help but feel will still end up being more of the same."," Co se týče přízemní touhy spatřit pokračování našich životů - povytáhnout uzlík přítomnosti ještě kousek z budoucnosti, než sklouzne do minulosti a znovu se zašmodrchá -, nijak mne to neponouká pouze samoúčelně zahlédnout něco, o čem se žel domnívám, že bude nakonec zas totéž."
"seeing","see","zahlédnout","zahlédnout","pf"," As for the vulgar interest in seeing our lives ’ continuing result – teasing out the present ’ s knot a little further from the future, before it falls back into the past and tangles once again – I find no great compulsion to see for seeing ’ s sake what I can ’ t help but feel will still end up being more of the same."," Co se týče přízemní touhy spatřit pokračování našich životů - povytáhnout uzlík přítomnosti ještě kousek z budoucnosti, než sklouzne do minulosti a znovu se zašmodrchá -, nijak mne to neponouká pouze samoúčelně zahlédnout něco, o čem se žel domnívám, že bude nakonec zas totéž."
"come","come","dorazila","dorazit","pf"," Now is the storm come."," To už bouře dorazila."
"born","bear","zrodil","zrodit","pf"," Castle, I was born in you."," Zámku, v tobě jsem se zrodil."
"carried","carry","nesou","nést","impf"," Now again you see me like a helpless child carried through your devastated halls."," Nyní přihlížíš, jak mě znovu co bezmocné děcko nesou tvými poničenými chodbami."
"pick","pick","sbírej","sbírat","impf"," ‘ Verbal, pick up the birds we get, will you? ’"," "" Mluvko, sbírej ty ptáky, co trefíme, prosím tě. """
"begins","begin","začne","začít","pf"," ‘ How do you –? ’ she begins, then goes quiet and raises one hand."," "" Jak se -? "" začne, pak zmlkne a zvedne ruku."
"goes","go","začne","začít","pf"," ‘ How do you –? ’ she begins, then goes quiet and raises one hand."," "" Jak se -? "" začne, pak zmlkne a zvedne ruku."
"raises","raise","zvedne","zvednout","pf"," ‘ How do you –? ’ she begins, then goes quiet and raises one hand."," "" Jak se -? "" začne, pak zmlkne a zvedne ruku."
"tried","try","snažil","snažit","impf"," I made my pleas, I tried to reason, to appeal somehow, but they see a fitness in my death, I think, that is not entirely predicated upon their – admittedly correct – conviction that it was I who killed the lieutenant."," Prosil jsem, snažil jsem se je rozumně přesvědčit, nějak zapůsobit, ale v mé smrti spatřují spravedlnost ( nikoli pouze na základě jejich, připouštím, že správného, přesvědčení, že jsem velitelku zabil já )."
"killed","kill","zabil","zabít","pf"," I made my pleas, I tried to reason, to appeal somehow, but they see a fitness in my death, I think, that is not entirely predicated upon their – admittedly correct – conviction that it was I who killed the lieutenant."," Prosil jsem, snažil jsem se je rozumně přesvědčit, nějak zapůsobit, ale v mé smrti spatřují spravedlnost ( nikoli pouze na základě jejich, připouštím, že správného, přesvědčení, že jsem velitelku zabil já )."
"smiles","smile","usměje","usmát","pf"," She smiles thinly at me and lifts her gun from its place by the wall."," Velitelka se odměřeně usměje a zvedne samopal opřený o zeď."
"lifts","lift","zvedne","zvednout","pf"," She smiles thinly at me and lifts her gun from its place by the wall."," Velitelka se odměřeně usměje a zvedne samopal opřený o zeď."
"noticed","notice","Nevšiml","všimnout","pf"," I had not noticed."," Nevšiml jsem si jej."
"placed","place","postavila","postavit","pf"," The receptacle in which the lieutenant had placed her long gun is an old artillery shellcase our family has long used to store umbrellas, shooting sticks, canes and the like."," Schránku, starý plášť střely, do kterého si podporučice postavila pušku, naše rodina dlouho používala k odkládání deštníků, mysliveckých sedaček, špacírek a tak podobně."
"used","use","používala","používat","impf"," The receptacle in which the lieutenant had placed her long gun is an old artillery shellcase our family has long used to store umbrellas, shooting sticks, canes and the like."," Schránku, starý plášť střely, do kterého si podporučice postavila pušku, naše rodina dlouho používala k odkládání deštníků, mysliveckých sedaček, špacírek a tak podobně."
"catches","catch","dívám","dívat","impf"," She catches my glance as she checks her gun and shoulders it."," Když si zbraň překontroluje a hází přes rameno, všimne si, že se na ni dívám."
"looks","look","Podívá","podívat","pf"," She looks at me, unimpressed."," Podívá se na mě, ale neudělalo to na ni dojem."
"think","think","měli","mít","impf"," ‘ I think we almost found them again yesterday, ’ she says, and shrugs."," "" Včera jsme je zřejmě už málem měli, "" řekne a pokrčí rameny."
"says","say","řekne","říci","pf"," ‘ I think we almost found them again yesterday, ’ she says, and shrugs."," "" Včera jsme je zřejmě už málem měli, "" řekne a pokrčí rameny."
"waves","wave","Mávne","mávnout","pf"," She waves the glass at the ballroom where the music thumps and bodies leap and caper."," Mávne sklenicí k sálu, kde vyhrává hudba a postavy křepčí a skotačí."
"seen","see","neviděl","vidět","impf"," I had never seen such a mass of people;"," Jakživ jsem neviděl takovou masu lidí;"
"judging","judge","soudíme","soudit","impf"," apprehending, judging, dispensing and, where we can, enforcing whatever by our personal philosophy we deem legitimate."," nahlížíme, soudíme, vynášíme rozsudky, a kde můžeme, vykonáváme spravedlnost na základě vlastní filosofie, kterou považujeme za legitimní."
"deem","deem","soudíme","soudit","impf"," apprehending, judging, dispensing and, where we can, enforcing whatever by our personal philosophy we deem legitimate."," nahlížíme, soudíme, vynášíme rozsudky, a kde můžeme, vykonáváme spravedlnost na základě vlastní filosofie, kterou považujeme za legitimní."
"deem","deem","považujeme","považovat","impf"," apprehending, judging, dispensing and, where we can, enforcing whatever by our personal philosophy we deem legitimate."," nahlížíme, soudíme, vynášíme rozsudky, a kde můžeme, vykonáváme spravedlnost na základě vlastní filosofie, kterou považujeme za legitimní."
"heard","hear","neslyšel","slyšet","impf"," a sharp, jarring noise that I had never heard from her or from anyone else before."," Vydávala pronikavé, drásající pištění, jaké jsem v životě neslyšel od ní ani od nikoho jiného."
