"looked","look","pohlédli","pohlédnout","pf"," The two men looked at each other with a scare."," Oba na sebe vystrašeně pohlédli."
"want","want","Chci","chtít","impf"," I want you to hear, and I don ’ t want you to be heard."," "" Chci, abyste všecko slyšel, ale nerad bych, aby slyšel vás."
"hear","hear","slyšel","slyšet","impf"," I want you to hear, and I don ’ t want you to be heard."," "" Chci, abyste všecko slyšel, ale nerad bych, aby slyšel vás."
"heard","hear","slyšel","slyšet","impf"," I want you to hear, and I don ’ t want you to be heard."," "" Chci, abyste všecko slyšel, ale nerad bych, aby slyšel vás."
"hear","hear","slyšel","slyšet","impf"," I want you to hear, and I don ’ t want you to be heard."," "" Chci, abyste všecko slyšel, ale nerad bych, aby slyšel vás."
"heard","hear","slyšel","slyšet","impf"," I want you to hear, and I don ’ t want you to be heard."," "" Chci, abyste všecko slyšel, ale nerad bych, aby slyšel vás."
"present","present","odevzdej","odevzdat","pf"," At midnight, then, I have to ask you to be alone in your consulting-room, to admit with your own hand into the house a man who will present himself in my name, and to place in his hands the drawer that you will have brought with you from my cabinet."," O půlnoci tedy laskavě čekej samotný v ordinaci a jen sám osobně otevři dům člověku, který k tobě přijde mým jménem, a odevzdej mu zásuvku, kterou si přivezeš z mé pracovny."
"brought","bring","přivezeš","přivézt","pf"," At midnight, then, I have to ask you to be alone in your consulting-room, to admit with your own hand into the house a man who will present himself in my name, and to place in his hands the drawer that you will have brought with you from my cabinet."," O půlnoci tedy laskavě čekej samotný v ordinaci a jen sám osobně otevři dům člověku, který k tobě přijde mým jménem, a odevzdej mu zásuvku, kterou si přivezeš z mé pracovny."
"earned","earn","získáš","získat","pf"," Then you will have played your part and earned my gratitude completely."," Tím tvůj úkol skončí a získáš si mou bezvýhradnou vděčnost."
"gave","give","nedala","dát","pf"," Mr Hyde was pale and dwarfish; he gave an impression of deformity without any namable malformation, he had a displeasing smile, he had borne himself to the lawyer with a sort of murderous mixture of timidity and boldness, and he spoke with a husky whispering and somewhat broken voice, - all these were points against him; but not all of these together could explain the hitherto unknown disgust, loathing and fear with which Mr Utterson regarded him."," Pan Hyde byl bledý a zakrslý - budil dojem člověka zrůdného, ač se ta zrůdnost nedala popsat, měl nepříjemný úsměv, choval se k advokátovi odporně bojácně a zároveň vyzývavě a mluvil ochraptělým, sípavým, až selhávajícím hlasem - to všechno svědčilo proti němu, ale ani to všechno dohromady nemohlo vysvětlit dosud nepoznaný odpor, hnus a strach, jaký budil v panu Uttersonovi."
"borne","bear","měl","mít","impf"," Mr Hyde was pale and dwarfish; he gave an impression of deformity without any namable malformation, he had a displeasing smile, he had borne himself to the lawyer with a sort of murderous mixture of timidity and boldness, and he spoke with a husky whispering and somewhat broken voice, - all these were points against him; but not all of these together could explain the hitherto unknown disgust, loathing and fear with which Mr Utterson regarded him."," Pan Hyde byl bledý a zakrslý - budil dojem člověka zrůdného, ač se ta zrůdnost nedala popsat, měl nepříjemný úsměv, choval se k advokátovi odporně bojácně a zároveň vyzývavě a mluvil ochraptělým, sípavým, až selhávajícím hlasem - to všechno svědčilo proti němu, ale ani to všechno dohromady nemohlo vysvětlit dosud nepoznaný odpor, hnus a strach, jaký budil v panu Uttersonovi."
"borne","bear","choval","chovat","impf"," Mr Hyde was pale and dwarfish; he gave an impression of deformity without any namable malformation, he had a displeasing smile, he had borne himself to the lawyer with a sort of murderous mixture of timidity and boldness, and he spoke with a husky whispering and somewhat broken voice, - all these were points against him; but not all of these together could explain the hitherto unknown disgust, loathing and fear with which Mr Utterson regarded him."," Pan Hyde byl bledý a zakrslý - budil dojem člověka zrůdného, ač se ta zrůdnost nedala popsat, měl nepříjemný úsměv, choval se k advokátovi odporně bojácně a zároveň vyzývavě a mluvil ochraptělým, sípavým, až selhávajícím hlasem - to všechno svědčilo proti němu, ale ani to všechno dohromady nemohlo vysvětlit dosud nepoznaný odpor, hnus a strach, jaký budil v panu Uttersonovi."
"spoke","speak","mluvil","mluvit","impf"," Mr Hyde was pale and dwarfish; he gave an impression of deformity without any namable malformation, he had a displeasing smile, he had borne himself to the lawyer with a sort of murderous mixture of timidity and boldness, and he spoke with a husky whispering and somewhat broken voice, - all these were points against him; but not all of these together could explain the hitherto unknown disgust, loathing and fear with which Mr Utterson regarded him."," Pan Hyde byl bledý a zakrslý - budil dojem člověka zrůdného, ač se ta zrůdnost nedala popsat, měl nepříjemný úsměv, choval se k advokátovi odporně bojácně a zároveň vyzývavě a mluvil ochraptělým, sípavým, až selhávajícím hlasem - to všechno svědčilo proti němu, ale ani to všechno dohromady nemohlo vysvětlit dosud nepoznaný odpor, hnus a strach, jaký budil v panu Uttersonovi."
"explain","explain","vysvětlit","vysvětlit","pf"," Mr Hyde was pale and dwarfish; he gave an impression of deformity without any namable malformation, he had a displeasing smile, he had borne himself to the lawyer with a sort of murderous mixture of timidity and boldness, and he spoke with a husky whispering and somewhat broken voice, - all these were points against him; but not all of these together could explain the hitherto unknown disgust, loathing and fear with which Mr Utterson regarded him."," Pan Hyde byl bledý a zakrslý - budil dojem člověka zrůdného, ač se ta zrůdnost nedala popsat, měl nepříjemný úsměv, choval se k advokátovi odporně bojácně a zároveň vyzývavě a mluvil ochraptělým, sípavým, až selhávajícím hlasem - to všechno svědčilo proti němu, ale ani to všechno dohromady nemohlo vysvětlit dosud nepoznaný odpor, hnus a strach, jaký budil v panu Uttersonovi."
"said","say","řekl","říci","pf"," “ There must be something else, ” said the perplexed gentleman."," "" Jistě za tím vězí něco jiného, "" řekl si, celý popletený."
"concealed","conceal","tajit","tajit","impf"," Hence it came about that I concealed my pleasures; and that when I reached years of reflection, and began to look round me and take stock of my progress and position in the world, I stood already committed to a profound duplicity of life."," Proto jsem se snažil své záliby tajit, a když jsem byl v letech, kdy je člověk schopen rozumně uvažovat, začíná se rozhlížet kolem sebe a odhadovat své postavení ve společnosti, jak daleko to ve světě dotáhl, už tehdy jsem si uvědomoval, že jsem hluboko zabředl do dvojakého života."
"began","begin","začíná","začínat","impf"," Hence it came about that I concealed my pleasures; and that when I reached years of reflection, and began to look round me and take stock of my progress and position in the world, I stood already committed to a profound duplicity of life."," Proto jsem se snažil své záliby tajit, a když jsem byl v letech, kdy je člověk schopen rozumně uvažovat, začíná se rozhlížet kolem sebe a odhadovat své postavení ve společnosti, jak daleko to ve světě dotáhl, už tehdy jsem si uvědomoval, že jsem hluboko zabředl do dvojakého života."
"hid","hide","ukrýval","ukrývat","impf"," Many a man would have even blazoned such irregularities as I was guilty of; but from the high views that I had set before me, I regarded and hid them with an almost morbid sense of shame."," Mnohý by se byl třeba pyšnil takovými výstřednostmi, jaké jsem si dovoloval já, ale poněvadž jsem si vytkl tak vysoké cíle, ukrýval a tajil jsem své výstřelky až s chorobným pocitem studu."
"see","see","viděl","vidět","impf"," Or else he would see a room in a rich house, where his friend lay asleep, dreaming and smiling at his dreams; and then the door of that room would be opened, the curtains of the bed plucked apart, the sleeper recalled, and, lo! there would stand by his side a figure to whom power was given, and even at that dead hour he must rise and do its bidding."," Nebo zase viděl pokoj v zámožném domě, kde jeho přítel spal, něco se mu zdálo a on se ve snu usmíval, pak se dveře do pokoje otevřely, záclony kolem lože se prudce rozhrnuly, spáč byl vyburcován a vida! - u postele najednou stála postava, nadaná zvláštní mocí, a on musel uprostřed noci vstát a vykonat její rozkaz."
"dreaming","dream","zdálo","zdát","impf"," Or else he would see a room in a rich house, where his friend lay asleep, dreaming and smiling at his dreams; and then the door of that room would be opened, the curtains of the bed plucked apart, the sleeper recalled, and, lo! there would stand by his side a figure to whom power was given, and even at that dead hour he must rise and do its bidding."," Nebo zase viděl pokoj v zámožném domě, kde jeho přítel spal, něco se mu zdálo a on se ve snu usmíval, pak se dveře do pokoje otevřely, záclony kolem lože se prudce rozhrnuly, spáč byl vyburcován a vida! - u postele najednou stála postava, nadaná zvláštní mocí, a on musel uprostřed noci vstát a vykonat její rozkaz."
"smiling","smile","usmíval","usmívat","impf"," Or else he would see a room in a rich house, where his friend lay asleep, dreaming and smiling at his dreams; and then the door of that room would be opened, the curtains of the bed plucked apart, the sleeper recalled, and, lo! there would stand by his side a figure to whom power was given, and even at that dead hour he must rise and do its bidding."," Nebo zase viděl pokoj v zámožném domě, kde jeho přítel spal, něco se mu zdálo a on se ve snu usmíval, pak se dveře do pokoje otevřely, záclony kolem lože se prudce rozhrnuly, spáč byl vyburcován a vida! - u postele najednou stála postava, nadaná zvláštní mocí, a on musel uprostřed noci vstát a vykonat její rozkaz."
"opened","open","otevřely","otevřít","pf"," Or else he would see a room in a rich house, where his friend lay asleep, dreaming and smiling at his dreams; and then the door of that room would be opened, the curtains of the bed plucked apart, the sleeper recalled, and, lo! there would stand by his side a figure to whom power was given, and even at that dead hour he must rise and do its bidding."," Nebo zase viděl pokoj v zámožném domě, kde jeho přítel spal, něco se mu zdálo a on se ve snu usmíval, pak se dveře do pokoje otevřely, záclony kolem lože se prudce rozhrnuly, spáč byl vyburcován a vida! - u postele najednou stála postava, nadaná zvláštní mocí, a on musel uprostřed noci vstát a vykonat její rozkaz."
"rise","rise","vstát","vstát","pf"," Or else he would see a room in a rich house, where his friend lay asleep, dreaming and smiling at his dreams; and then the door of that room would be opened, the curtains of the bed plucked apart, the sleeper recalled, and, lo! there would stand by his side a figure to whom power was given, and even at that dead hour he must rise and do its bidding."," Nebo zase viděl pokoj v zámožném domě, kde jeho přítel spal, něco se mu zdálo a on se ve snu usmíval, pak se dveře do pokoje otevřely, záclony kolem lože se prudce rozhrnuly, spáč byl vyburcován a vida! - u postele najednou stála postava, nadaná zvláštní mocí, a on musel uprostřed noci vstát a vykonat její rozkaz."
"do","do","vykonat","vykonat","pf"," Or else he would see a room in a rich house, where his friend lay asleep, dreaming and smiling at his dreams; and then the door of that room would be opened, the curtains of the bed plucked apart, the sleeper recalled, and, lo! there would stand by his side a figure to whom power was given, and even at that dead hour he must rise and do its bidding."," Nebo zase viděl pokoj v zámožném domě, kde jeho přítel spal, něco se mu zdálo a on se ve snu usmíval, pak se dveře do pokoje otevřely, záclony kolem lože se prudce rozhrnuly, spáč byl vyburcován a vida! - u postele najednou stála postava, nadaná zvláštní mocí, a on musel uprostřed noci vstát a vykonat její rozkaz."
"failed","fail","selhala","selhat","pf"," Once, very early in my career, it had totally failed me; since then I had been obliged on more than one occasion to double, and once, with infinite risk of death, to treble the amount; and these rare uncertainties had cast hitherto the sole shadow on my contentment."," Jednou, hned na počátku této mé dráhy, úplně selhala a od té doby jsem byl nejednou nucen zdvojnásobit, a jednou s vysloveným nebezpečím smrti dokonce ztrojnásobit její dávku - ale dosud jen zřídka tato jediná nejistota zkalila mou spokojenost."
"obliged","oblige","nucen","nutit","impf"," Once, very early in my career, it had totally failed me; since then I had been obliged on more than one occasion to double, and once, with infinite risk of death, to treble the amount; and these rare uncertainties had cast hitherto the sole shadow on my contentment."," Jednou, hned na počátku této mé dráhy, úplně selhala a od té doby jsem byl nejednou nucen zdvojnásobit, a jednou s vysloveným nebezpečím smrti dokonce ztrojnásobit její dávku - ale dosud jen zřídka tato jediná nejistota zkalila mou spokojenost."
"double","double","zdvojnásobit","zdvojnásobit","pf"," Once, very early in my career, it had totally failed me; since then I had been obliged on more than one occasion to double, and once, with infinite risk of death, to treble the amount; and these rare uncertainties had cast hitherto the sole shadow on my contentment."," Jednou, hned na počátku této mé dráhy, úplně selhala a od té doby jsem byl nejednou nucen zdvojnásobit, a jednou s vysloveným nebezpečím smrti dokonce ztrojnásobit její dávku - ale dosud jen zřídka tato jediná nejistota zkalila mou spokojenost."
"crying","cry","křičí","křičet","impf"," “ All this last week ( you must know ) him, or it, or whatever it is that lives in that cabinet, has been crying night and day for some sort of medicine and cannot get it to his mind."," "" Tak abyste věděl, celý tenhle poslední týden ten člověk, či co to je, co se tam v pracovně zavírá, ve dne v noci křičí, že potřebuje nějaký lék, ale žádný mu není vhod."
"throw","throw","házel","házet","impf"," It was sometimes his way - the master ’ s, that is - to write his orders on a sheet of paper and throw it on the stair."," Předtím to někdy dělal tak - totiž doktor - že dával rozkazy písemně, na kusu papíru, a ten házel ven za dveře."
"began","begin","začala","začít","pf"," My provision of the salt, which had never been renewed since the date of the first experiment, began to run low."," Má zásoba drogy, která od prvního pokusu nebyla vůbec doplňována, začala se tenčit."
"saw","see","viděl","vidět","impf"," “ I saw Mr Hyde go in by the old dissecting-room door, Poole, ” he said."," "" Poole, viděl jsem pana Hyda, jak vcházel dveřmi do bývalé pitevny, "" řekl advokát."
"said","say","řekl","říci","pf"," “ I saw Mr Hyde go in by the old dissecting-room door, Poole, ” he said."," "" Poole, viděl jsem pana Hyda, jak vcházel dveřmi do bývalé pitevny, "" řekl advokát."
"replied","reply","odpověděl","odpovědět","pf"," “ Quite right, Mr Utterson, sir, ” replied the servant."," "" Úplně v pořádku, pane Uttersone, "" odpověděl sluha."
"resumed","resume","pokračoval","pokračovat","impf"," “ Your master seems to repose a great deal of trust in that young man, Poole, ” resumed the other, musingly."," "" Zdá se, že váš pán tomu mladému muži náramně důvěřuje, "" pokračoval zamyšleně advokát."
"said","say","řekl","říci","pf"," “ Yes, sir, he do indeed, ” said Poole."," "" Ano, velice mu důvěřuje, "" řekl Poole."
"ask","ask","Pozval","pozvat","pf"," I would ask you and Mr Enfield up, but the place is really not fit. ”"," Pozval bych vás s panem Enfieldem nahoru, ale nehodí se, abych tu přijímal návštěvy. """
"stay","stay","zůstaneme","zůstat","pf"," “ Why then, “ said the lawyer, good-naturedly, “ the best thing we can do is to stay down here, and speak with you from where we are. ”"," "" No tak bude nejlíp, když zůstaneme tady dole, "" řekl advokát dobrosrdečně, "" vždyť si můžeme pohovořit i takhle. """
"said","say","řekl","říci","pf"," “ Why then, “ said the lawyer, good-naturedly, “ the best thing we can do is to stay down here, and speak with you from where we are. ”"," "" No tak bude nejlíp, když zůstaneme tady dole, "" řekl advokát dobrosrdečně, "" vždyť si můžeme pohovořit i takhle. """
"speak","speak","řekl","říci","pf"," “ Why then, “ said the lawyer, good-naturedly, “ the best thing we can do is to stay down here, and speak with you from where we are. ”"," "" No tak bude nejlíp, když zůstaneme tady dole, "" řekl advokát dobrosrdečně, "" vždyť si můžeme pohovořit i takhle. """
"propose","propose","navrhnout","navrhnout","pf"," “ That is just what I was about to venture to propose, ” returned the doctor, with a smile."," "" To jsem právě chtěl navrhnout, jestli mohu být tak smělý, "" odpověděl doktor s úsměvem."
"returned","return","odpověděl","odpovědět","pf"," “ That is just what I was about to venture to propose, ” returned the doctor, with a smile."," "" To jsem právě chtěl navrhnout, jestli mohu být tak smělý, "" odpověděl doktor s úsměvem."
"wrote","write","psal","psát","impf"," “ I do not blame our old friend, ” Jekyll wrote, “ but I share his view that we must never meet."," "" Nedávám to našemu starému příteli za vinu, "" psal Jekyll, "" ale souhlasím s ním, že se už víckrát nesmíme setkat."
"meet","meet","setkat","setkat","pf"," “ I do not blame our old friend, ” Jekyll wrote, “ but I share his view that we must never meet."," "" Nedávám to našemu starému příteli za vinu, "" psal Jekyll, "" ale souhlasím s ním, že se už víckrát nesmíme setkat."
"lost","lose","Ztratil","ztratit","pf"," “ I have lost confidence in myself. ”"," "" Ztratil jsem sebedůvěru. """
"nodded","nod","přikývl","přikývnout","pf"," The doctor seemed seized with a qualm of faintness; he shut his mouth tight and nodded."," O doktora jako by se najednou pokoušely mdloby - sevřel pevně ústa a přikývl."
"said","say","řekl","říci","pf"," “ I knew it, ” said Utterson."," "" To jsem věděl, "" řekl Utterson."
"meant","mean","Chtěl","chtít","impf"," “ He meant to murder you."," "" Chtěl tě zavraždit."
"murder","murder","zavraždit","zavraždit","pf"," “ He meant to murder you."," "" Chtěl tě zavraždit."
"seen","see","Pochopil","pochopit","pf"," He had now seen the full deformity of that creature that shared with him some of the phenomena of consciousness, and was co-heir with him to death : and beyond these links of community, which in themselves made the most poignant part of his distress, he thought of Hyde, for all his energy of life, as of something not only hellish but inorganic."," Pochopil už plně zrůdnost toho tvora, který s ním sdílel některé jevy vědomí a byl k němu připoután až do smrti : ale až na ta společná pouta, která už sama o sobě byla nejbolestnější složkou jeho utrpení, byl pro něho Hyde při vší své životní síle nejen něčím, co zplodilo peklo, ale takřka i čímsi neorganickým."
"made","make","Pochopil","pochopit","pf"," He had now seen the full deformity of that creature that shared with him some of the phenomena of consciousness, and was co-heir with him to death : and beyond these links of community, which in themselves made the most poignant part of his distress, he thought of Hyde, for all his energy of life, as of something not only hellish but inorganic."," Pochopil už plně zrůdnost toho tvora, který s ním sdílel některé jevy vědomí a byl k němu připoután až do smrti : ale až na ta společná pouta, která už sama o sobě byla nejbolestnější složkou jeho utrpení, byl pro něho Hyde při vší své životní síle nejen něčím, co zplodilo peklo, ale takřka i čímsi neorganickým."
"shared","share","sdílel","sdílet","impf"," He had now seen the full deformity of that creature that shared with him some of the phenomena of consciousness, and was co-heir with him to death : and beyond these links of community, which in themselves made the most poignant part of his distress, he thought of Hyde, for all his energy of life, as of something not only hellish but inorganic."," Pochopil už plně zrůdnost toho tvora, který s ním sdílel některé jevy vědomí a byl k němu připoután až do smrti : ale až na ta společná pouta, která už sama o sobě byla nejbolestnější složkou jeho utrpení, byl pro něho Hyde při vší své životní síle nejen něčím, co zplodilo peklo, ale takřka i čímsi neorganickým."
"founded","found","zakládaly","zakládat","impf"," No doubt the feat was easy to Mr Utterson; for he was undemonstrative at the best, and even his friendships seemed to be founded in a similar catholicity of good-nature."," Pro pana Uttersona to bezpochyby nebyla úloha nesnadná, protože ani v nejlepším případě nedával své sympatie okázale najevo, ba i jeho přátelské vztahy se patrně zakládaly na podobné všeobsáhlé dobrodušnosti."
"accept","accept","přijímá","přijímat","impf"," It is the mark of a modest man to accept his friendly circle ready made from the hands of opportunity; and that was the lawyer ’ s way."," U člověka to svědčí o skromnosti, jestliže okruh svých přátel přijímá tak, jak je a jak mu jej poskytne příležitost - a tak jej také přijímal náš advokát."
"accept","accept","přijímal","přijímat","impf"," It is the mark of a modest man to accept his friendly circle ready made from the hands of opportunity; and that was the lawyer ’ s way."," U člověka to svědčí o skromnosti, jestliže okruh svých přátel přijímá tak, jak je a jak mu jej poskytne příležitost - a tak jej také přijímal náš advokát."
"told","tell","říkal","říkat","impf"," “ You have told me so. ”"," "" Už jsi mi to kolikrát říkal. """
"tell","tell","říkám","říkat","impf"," “ Well, I tell you so again, ” continued the lawyer."," "" Dobrá, říkám ti to tedy znovu, "" trval na svém advokát."
"continued","continue","trval","trvat","impf"," “ Well, I tell you so again, ” continued the lawyer."," "" Dobrá, říkám ti to tedy znovu, "" trval na svém advokát."
"learning","learn","dozvěděl","dozvědět","pf"," “ I have been learning something of young Hyde. ”"," "" Zatím jsem se o mladém Hydovi něco dozvěděl. """
"said","say","řekl","říci","pf"," “ I do not care to hear more, ” said he."," "" Přestaň už o tom, prosím tě, "" řekl."
"thought","think","Myslel","myslet","impf"," “ This is a matter I thought we had agreed to drop. ”"," "" Myslel jsem, že jsme se dohodli víckrát o tom už nemluvit. """
"agreed","agree","dohodli","dohodnout","pf"," “ This is a matter I thought we had agreed to drop. ”"," "" Myslel jsem, že jsme se dohodli víckrát o tom už nemluvit. """
"gone","go","odešla","odejít","pf"," A maidservant living alone in a house not far from the river had gone upstairs to bed about eleven."," Služebná, samotná v domě nedaleko nábřeží, odešla asi v jedenáct spat nahoru do svého pokojíku."
"said","say","řekl","říci","pf"," He was small, as I have said; I was struck besides with the shocking expression of his face, with his remarkable combination of great muscular activity and great apparent debility of constitution, and - last but not least - with the old, subjective disturbance caused by his neighbourhood."," Jak jsem už řekl, byl malý, a mimo to mě zarazily odporný výraz v jeho obličeji, jeho pozoruhodná mrštnost a zároveň zřejmě slabá tělesná soustava, a nakonec můj vlastní pocit podráždění, vyvolaný jeho blízkostí."
"struck","strike","zarazily","zarazit","pf"," He was small, as I have said; I was struck besides with the shocking expression of his face, with his remarkable combination of great muscular activity and great apparent debility of constitution, and - last but not least - with the old, subjective disturbance caused by his neighbourhood."," Jak jsem už řekl, byl malý, a mimo to mě zarazily odporný výraz v jeho obličeji, jeho pozoruhodná mrštnost a zároveň zřejmě slabá tělesná soustava, a nakonec můj vlastní pocit podráždění, vyvolaný jeho blízkostí."
"accompanied","accompany","provázeno","provázet","impf"," This bore some resemblance to incipient rigor, and was accompanied by a marked sinking of the pulse."," Bylo mi skoro, jako by se mne zmocňovala zimnice, a bylo to provázeno znatelným poklesem tepu."
"read","read","nečte","číst","impf"," The doctor, it appeared, now more than ever confined himself to the cabinet over the laboratory, where he would sometimes even sleep; he was out of spirits, he had grown very silent, he did not read; it seemed as if he had something on his mind."," Dověděl se, že doktor se čím dál tím víc zdržuje v pracovně nad laboratoří, že tam někdy i spává - že je sklíčený, velice zamlklý, vůbec nic nečte - že se zdá, jako by ho něco tížilo na duši."
"appeared","appear","zdá","zdát","impf"," The doctor, it appeared, now more than ever confined himself to the cabinet over the laboratory, where he would sometimes even sleep; he was out of spirits, he had grown very silent, he did not read; it seemed as if he had something on his mind."," Dověděl se, že doktor se čím dál tím víc zdržuje v pracovně nad laboratoří, že tam někdy i spává - že je sklíčený, velice zamlklý, vůbec nic nečte - že se zdá, jako by ho něco tížilo na duši."
"seemed","seem","zdá","zdát","impf"," The doctor, it appeared, now more than ever confined himself to the cabinet over the laboratory, where he would sometimes even sleep; he was out of spirits, he had grown very silent, he did not read; it seemed as if he had something on his mind."," Dověděl se, že doktor se čím dál tím víc zdržuje v pracovně nad laboratoří, že tam někdy i spává - že je sklíčený, velice zamlklý, vůbec nic nečte - že se zdá, jako by ho něco tížilo na duši."
"stay","stay","zůstanu","zůstat","pf"," “ Set your mind at rest, ” says he; “ I will stay with you till the banks open, and cash the cheque myself. ”"," "" Buďte klidný, zůstanu s vámi, dokud banka neotevře, a dám šek proplatit sám. """
"open","open","neotevře","otevřít","pf"," “ Set your mind at rest, ” says he; “ I will stay with you till the banks open, and cash the cheque myself. ”"," "" Buďte klidný, zůstanu s vámi, dokud banka neotevře, a dám šek proplatit sám. """
"believe","believe","domnívám","domnívat","impf"," I gave in the cheque myself, and said I had every reason to believe it was a forgery."," Sám jsem předložil šek s podotknutím, že se plným právem domnívám, že je padělaný."
"sat","sit","Seděl","sedět","impf"," Even now, he sat with the glass of wine untasted on his knee, and his eyes directed to a corner of the floor."," Seděl tam, držel si na koleně sklenku, z níž ani neupil, a úkosem se zahleděl k podlaze, do kouta pokoje."
"bear","bear","nesnesu","snést","pf"," “ I can bear it no more, ” he repeated."," "" Já to už nesnesu, "" opakoval."
"repeated","repeat","opakoval","opakovat","impf"," “ I can bear it no more, ” he repeated."," "" Já to už nesnesu, "" opakoval."
"see","see","vidím","vidět","impf"," “ Come, ” said the lawyer, “ I see you have some good reason, Poole; I see there is something seriously amiss."," "" Nu, Poole, vidím, že to opravdu není jen tak, že to má nějakou vážnou příčinu, "" domlouval mu advokát."
"see","see","vidím","vidět","impf"," “ Come, ” said the lawyer, “ I see you have some good reason, Poole; I see there is something seriously amiss."," "" Nu, Poole, vidím, že to opravdu není jen tak, že to má nějakou vážnou příčinu, "" domlouval mu advokát."
"Try","try","Zkuste","zkusit","pf"," Try to tell me what it is. ”"," "" Zkuste, jestli byste mi mohl povědět, co se děje. """
"tell","tell","povědět","povědět","pf"," Try to tell me what it is. ”"," "" Zkuste, jestli byste mi mohl povědět, co se děje. """
"think","think","zdá","zdát","impf"," “ I think there ’ s been foul play, ” said Poole, hoarsely."," "" Tak se mi zdá, že za tím vězí nějaká hanebnost, "" řekl tiše Poole - až zasípal."
"said","say","řekl","říci","pf"," “ I think there ’ s been foul play, ” said Poole, hoarsely."," "" Tak se mi zdá, že za tím vězí nějaká hanebnost, "" řekl tiše Poole - až zasípal."
"approved","approve","neschvaloval","schvalovat","impf"," “ You know I never approved of it, ” pursued Utterson, ruthlessly disregarding the fresh topic."," "" Ty víš, že jsem ji nikdy neschvaloval, "" pokračoval Utterson - neúprosně opomíjel nově nadhozený námět k hovoru."
"pursued","pursue","pokračoval","pokračovat","impf"," “ You know I never approved of it, ” pursued Utterson, ruthlessly disregarding the fresh topic."," "" Ty víš, že jsem ji nikdy neschvaloval, "" pokračoval Utterson - neúprosně opomíjel nově nadhozený námět k hovoru."
"said","say","odpověděl","odpovědět","pf"," Yes, centainly, I know that, ” said the doctor, a trifle sharply."," Ovšem, vím, "" odpověděl doktor trochu zlostně."
"said","say","řekl","říci","pf"," “ Jekyll, for instance, ” said the lawyer."," "" Například Jekylla, "" řekl advokát."
"think","think","myslel","myslet","impf"," “ I did not think you would have lied. ”"," "" Nebyl bych si myslel, že budete lhát. """
"lied","lie","lhát","lhát","impf"," “ I did not think you would have lied. ”"," "" Nebyl bych si myslel, že budete lhát. """
"said","say","řekl","říci","pf"," “ Come, ” said Mr Utterson, “ that is not fitting language. ”"," "" Dejte pokoj, "" řekl pan Utterson, "" takhle se přec nemluví. """
"said","say","nemluví","mluvit","impf"," “ Come, ” said Mr Utterson, “ that is not fitting language. ”"," "" Dejte pokoj, "" řekl pan Utterson, "" takhle se přec nemluví. """
"disappeared","disappear","zmizel","zmizet","pf"," The other snarled aloud into a savage laugh; and the next moment, with extraordinary quickness, he had unlocked the door and disappeared into the house."," Druhý zavrčel divým smíchem, ve chvíli neuvěřitelně rychle odemkl dveře a zmizel v domě."
"stay","stay","zůstaň","zůstat","pf"," And in the meantime, if you can sit and talk with me of other things, for God ’ s sake, stay and do so; but if you cannot keep clear of this accursed topic, then, in God ’ s name, go, for I cannot bear it. ”"," A zatím jestli se mnou můžeš posedět a pohovořit o jiných věcech, proboha tu zůstaň a povídej, ale jestli to nemůžeš vydržet a musíš mluvit o té proklaté věci, tak si s pánembohem jdi, protože to nesnesu. """
"keep","keep","vydržet","vydržet","pf"," And in the meantime, if you can sit and talk with me of other things, for God ’ s sake, stay and do so; but if you cannot keep clear of this accursed topic, then, in God ’ s name, go, for I cannot bear it. ”"," A zatím jestli se mnou můžeš posedět a pohovořit o jiných věcech, proboha tu zůstaň a povídej, ale jestli to nemůžeš vydržet a musíš mluvit o té proklaté věci, tak si s pánembohem jdi, protože to nesnesu. """
"go","go","vydržet","vydržet","pf"," And in the meantime, if you can sit and talk with me of other things, for God ’ s sake, stay and do so; but if you cannot keep clear of this accursed topic, then, in God ’ s name, go, for I cannot bear it. ”"," A zatím jestli se mnou můžeš posedět a pohovořit o jiných věcech, proboha tu zůstaň a povídej, ale jestli to nemůžeš vydržet a musíš mluvit o té proklaté věci, tak si s pánembohem jdi, protože to nesnesu. """
"bear","bear","vydržet","vydržet","pf"," And in the meantime, if you can sit and talk with me of other things, for God ’ s sake, stay and do so; but if you cannot keep clear of this accursed topic, then, in God ’ s name, go, for I cannot bear it. ”"," A zatím jestli se mnou můžeš posedět a pohovořit o jiných věcech, proboha tu zůstaň a povídej, ale jestli to nemůžeš vydržet a musíš mluvit o té proklaté věci, tak si s pánembohem jdi, protože to nesnesu. """
"talk","talk","mluvit","mluvit","impf"," And in the meantime, if you can sit and talk with me of other things, for God ’ s sake, stay and do so; but if you cannot keep clear of this accursed topic, then, in God ’ s name, go, for I cannot bear it. ”"," A zatím jestli se mnou můžeš posedět a pohovořit o jiných věcech, proboha tu zůstaň a povídej, ale jestli to nemůžeš vydržet a musíš mluvit o té proklaté věci, tak si s pánembohem jdi, protože to nesnesu. """
"do","do","jdi","jít","impf"," And in the meantime, if you can sit and talk with me of other things, for God ’ s sake, stay and do so; but if you cannot keep clear of this accursed topic, then, in God ’ s name, go, for I cannot bear it. ”"," A zatím jestli se mnou můžeš posedět a pohovořit o jiných věcech, proboha tu zůstaň a povídej, ale jestli to nemůžeš vydržet a musíš mluvit o té proklaté věci, tak si s pánembohem jdi, protože to nesnesu. """
