"breathe","breathe","dýchat","dýchat","impf"," Suddenly he had anonymous eyes on him and he could breathe again!"," Anonymní oči byly náhle všude s ním a on mohl zase dýchat!"
"flying","fly","letíme","letět","impf"," Now we are longtime outcasts, flying through the emptiness of time in a straight line."," My už jsme dávno vymrštěni a letíme prázdnotou času, který se děje v přímce."
"suspects","suspect","netuší","tušit","impf"," Yet somewhere deep down a thin thread still ties us to that far-off misty Paradise, where Adam leans over a well and, unlike Narcissus, never even suspects that the pale yellow blotch appearing in it is he himself."," Existuje v nás však stále tenká šňůrka, která nás připoutává k dalekému mlhavému Ráji, kde se Adam sklání nad studánku a, zcela nepodoben Narcisu, netuší, že ta bledá žlutá skvrna, která se v ní objevila, je vlastně on."
"appearing","appear","objevila","objevit","pf"," Yet somewhere deep down a thin thread still ties us to that far-off misty Paradise, where Adam leans over a well and, unlike Narcissus, never even suspects that the pale yellow blotch appearing in it is he himself."," Existuje v nás však stále tenká šňůrka, která nás připoutává k dalekému mlhavému Ráji, kde se Adam sklání nad studánku a, zcela nepodoben Narcisu, netuší, že ta bledá žlutá skvrna, která se v ní objevila, je vlastně on."
"seem","seem","zdá","zdát","impf"," The answer may seem simple; it is not."," Odpověď se zdá snadná, ale není."
"decided","decide","rozhodl","rozhodnout","pf"," Three hundred and twenty years later, after the Munich Conference of 1938, the entire world decided to sacrifice the Czechs ' country to Hitler."," O tři sta dvacet let později, v roce 1938 po mnichovské konferenci, se celý svět rozhodl obětovat jejich zemi Hitlerovi."
"stand","stand","Měli","mít","impf"," Should the Czechs have tried to stand up to a power eight times their size?"," Měli se tehdy pokusit bojovat proti osminásobné přesile sami?"
"tried","try","pokusit","pokusit","pf"," Should the Czechs have tried to stand up to a power eight times their size?"," Měli se tehdy pokusit bojovat proti osminásobné přesile sami?"
"drawn","draw","nakreslil","nakreslit","pf"," But he, too, had drawn an equal sign between her and the rest of them : he kissed them all alike, stroked them alike, made no, absolutely no distinction between Tereza 's body and the other bodies."," A on teď znovu nakreslil znamení rovnosti mezi ni a jiné : líbá je všechny stejně, hladí je stejně, nedělá žádný, žádný, žádný rozdíl mezi tělem Terezy a jinými těly."
"kissed","kiss","líbá","líbat","impf"," But he, too, had drawn an equal sign between her and the rest of them : he kissed them all alike, stroked them alike, made no, absolutely no distinction between Tereza 's body and the other bodies."," A on teď znovu nakreslil znamení rovnosti mezi ni a jiné : líbá je všechny stejně, hladí je stejně, nedělá žádný, žádný, žádný rozdíl mezi tělem Terezy a jinými těly."
"stroked","stroke","hladí","hladit","impf"," But he, too, had drawn an equal sign between her and the rest of them : he kissed them all alike, stroked them alike, made no, absolutely no distinction between Tereza 's body and the other bodies."," A on teď znovu nakreslil znamení rovnosti mezi ni a jiné : líbá je všechny stejně, hladí je stejně, nedělá žádný, žádný, žádný rozdíl mezi tělem Terezy a jinými těly."
"made","make","nedělá","dělat","impf"," But he, too, had drawn an equal sign between her and the rest of them : he kissed them all alike, stroked them alike, made no, absolutely no distinction between Tereza 's body and the other bodies."," A on teď znovu nakreslil znamení rovnosti mezi ni a jiné : líbá je všechny stejně, hladí je stejně, nedělá žádný, žádný, žádný rozdíl mezi tělem Terezy a jinými těly."
"dream","dream","Zdály","zdát","impf"," She would dream three series of dreams in succession : the first was of cats going berserk and referred to the sufferings she had gone through in her lifetime;"," Zdály se jí střídavě tři seriály snů : první, v němž řádily kočky, vyprávěl o jejím utrpení ze života;"
"moved","move","Pohyboval","pohybovat","impf"," It moved in a circle among known objects."," Pohyboval se v kruhu mezi známými věcmi."
"care","care","Nestaral","starat","impf"," He did n't care whether his fellow-countrymen were good kickers or painters ( none of the Czechs at the émigré gathering ever showed any interest in what Sabina painted ); he cared whether they had opposed Communism actively or just passively, really and truly or just for appearances ' sake, from the very beginning or just since emigration."," Nestaral se o to, zda jeho krajané hrají dobře fotbal nebo dobře malují ( nikdo z Čechů se nikdy nestaral o to, co Sabina maluje ), ale zda se stavěli proti komunistickému režimu aktivně či jen pasivně, doopravdy či jen naoko, od počátku či až dnes."
"cared","care","Nestaral","starat","impf"," He did n't care whether his fellow-countrymen were good kickers or painters ( none of the Czechs at the émigré gathering ever showed any interest in what Sabina painted ); he cared whether they had opposed Communism actively or just passively, really and truly or just for appearances ' sake, from the very beginning or just since emigration."," Nestaral se o to, zda jeho krajané hrají dobře fotbal nebo dobře malují ( nikdo z Čechů se nikdy nestaral o to, co Sabina maluje ), ale zda se stavěli proti komunistickému režimu aktivně či jen pasivně, doopravdy či jen naoko, od počátku či až dnes."
"painted","paint","malují","malovat","impf"," He did n't care whether his fellow-countrymen were good kickers or painters ( none of the Czechs at the émigré gathering ever showed any interest in what Sabina painted ); he cared whether they had opposed Communism actively or just passively, really and truly or just for appearances ' sake, from the very beginning or just since emigration."," Nestaral se o to, zda jeho krajané hrají dobře fotbal nebo dobře malují ( nikdo z Čechů se nikdy nestaral o to, co Sabina maluje ), ale zda se stavěli proti komunistickému režimu aktivně či jen pasivně, doopravdy či jen naoko, od počátku či až dnes."
"care","care","nestaral","starat","impf"," He did n't care whether his fellow-countrymen were good kickers or painters ( none of the Czechs at the émigré gathering ever showed any interest in what Sabina painted ); he cared whether they had opposed Communism actively or just passively, really and truly or just for appearances ' sake, from the very beginning or just since emigration."," Nestaral se o to, zda jeho krajané hrají dobře fotbal nebo dobře malují ( nikdo z Čechů se nikdy nestaral o to, co Sabina maluje ), ale zda se stavěli proti komunistickému režimu aktivně či jen pasivně, doopravdy či jen naoko, od počátku či až dnes."
"cared","care","nestaral","starat","impf"," He did n't care whether his fellow-countrymen were good kickers or painters ( none of the Czechs at the émigré gathering ever showed any interest in what Sabina painted ); he cared whether they had opposed Communism actively or just passively, really and truly or just for appearances ' sake, from the very beginning or just since emigration."," Nestaral se o to, zda jeho krajané hrají dobře fotbal nebo dobře malují ( nikdo z Čechů se nikdy nestaral o to, co Sabina maluje ), ale zda se stavěli proti komunistickému režimu aktivně či jen pasivně, doopravdy či jen naoko, od počátku či až dnes."
"painted","paint","maluje","malovat","impf"," He did n't care whether his fellow-countrymen were good kickers or painters ( none of the Czechs at the émigré gathering ever showed any interest in what Sabina painted ); he cared whether they had opposed Communism actively or just passively, really and truly or just for appearances ' sake, from the very beginning or just since emigration."," Nestaral se o to, zda jeho krajané hrají dobře fotbal nebo dobře malují ( nikdo z Čechů se nikdy nestaral o to, co Sabina maluje ), ale zda se stavěli proti komunistickému režimu aktivně či jen pasivně, doopravdy či jen naoko, od počátku či až dnes."
"assessing","assess","hodnotit","hodnotit","impf"," Because she was a painter, she had an eye for detail and a memory for the physical characteristics of the people in Prague who had a passion for assessing others."," Protože byla malířka, všímala si dobře lidských tváří a znala z Prahy fyziognomii lidí, jejichž vášní je prověřovat a hodnotit druhé."
"imagined","imagine","představila","představit","pf"," Whenever she imagined the world of Soviet kitsch becoming a reality, she felt a shiver run down her back."," Když si představila, že by se svět sovětských kýčů měl stát skutečností a ona v ní měla žít, šel jí mráz po zádech."
"die","die","zemřela","zemřít","pf"," In the world of the Communist ideal made real, in that world of grinning idiots, she would have nothing to say, she would die of horror within a week."," Ve světě uskutečněného komunistického ideálu, v tom světě usmívajících se idiotů, s nimiž by nemohla vyměnit jediné slovo, by zemřela za týden hrůzou."
"took","take","vzal","vzít","pf"," The man took the book out of her hand, put it back on the shelf without a word, and led her over to the daybed."," Inženýr jí vzal knížku z ruky, položil ji beze slova zpátky do knihovny a odváděl si ji ke gauči."
"put","put","položil","položit","pf"," The man took the book out of her hand, put it back on the shelf without a word, and led her over to the daybed."," Inženýr jí vzal knížku z ruky, položil ji beze slova zpátky do knihovny a odváděl si ji ke gauči."
"believed","believe","Věřila","věřit","impf"," She believed them to be a miraculous formula that would instantly change the situation, but in that room the words lost their magic power."," Věřila, že je to zázračná formule, která okamžitě změní situaci, ale v tomto pokoji slova ztratila magickou moc."
"change","change","změní","změnit","pf"," She believed them to be a miraculous formula that would instantly change the situation, but in that room the words lost their magic power."," Věřila, že je to zázračná formule, která okamžitě změní situaci, ale v tomto pokoji slova ztratila magickou moc."
"lost","lose","ztratila","ztratit","pf"," She believed them to be a miraculous formula that would instantly change the situation, but in that room the words lost their magic power."," Věřila, že je to zázračná formule, která okamžitě změní situaci, ale v tomto pokoji slova ztratila magickou moc."
"choose","choose","zvolit","zvolit","pf"," What then shall we choose?"," Co si tedy máme zvolit?"
"find","find","shledala","shledat","pf"," And even if she did find them ugly, she would never say so, because flattery had long since become second nature to her."," A i kdyby je nakrásně shledala ošklivé, zatajila by to, protože lichocení se stalo dávno její druhou přirozeností."
"decide","decide","rozhodla","rozhodnout","pf"," Why, then, did she decide that the pendant Sabina had made herself was ugly?"," Proč se tedy rozhodla, že bude šperk, který si Sabina sama udělala, považovat za ošklivý?"
"did","do","udělala","udělat","pf"," Why, then, did she decide that the pendant Sabina had made herself was ugly?"," Proč se tedy rozhodla, že bude šperk, který si Sabina sama udělala, považovat za ošklivý?"
"made","make","udělala","udělat","pf"," Why, then, did she decide that the pendant Sabina had made herself was ugly?"," Proč se tedy rozhodla, že bude šperk, který si Sabina sama udělala, považovat za ošklivý?"
"causes","cause","vyvolá","vyvolat","pf"," Kitsch causes two tears to flow in quick succession."," Kýč vyvolá těsně po sobě dvě slzy dojetí."
"says","say","říká","říkat","impf"," The first tear says : How nice to see children running on the grass!"," První slza říká : jak je to krásné, děti běžící po trávníku!"
"says","say","říká","říkat","impf"," The second tear says : How nice to be moved, together with all mankind, by children running on the grass!"," Druhá slza říká : jak je to krásné být dojat s celým lidstvem nad dětmi běžícími po trávníku!"
"moved","move","dojat","dojmout","pf"," The second tear says : How nice to be moved, together with all mankind, by children running on the grass!"," Druhá slza říká : jak je to krásné být dojat s celým lidstvem nad dětmi běžícími po trávníku!"
"opened","open","otevřely","otevřít","pf"," When the door opened, he gave a sigh of relief."," Když se otevřely dveře, oddechl si."
"saw","see","Uviděl","uvidět","pf"," He saw a tall, slightly stooped man before him."," Uviděl před sebou muže s vysokou, mírně sehnutou postavou."
"lost","lose","ztratil","ztratit","pf"," ( 2)the frightened face of one who has lost her equilibrium and is falling, and"," 2 ) polekaná tvář někoho, kdo ztratil rovnováhu a padá;"
"falling","fall","padá","padat","impf"," ( 2)the frightened face of one who has lost her equilibrium and is falling, and"," 2 ) polekaná tvář někoho, kdo ztratil rovnováhu a padá;"
"thought","think","myslil","myslit","impf"," But no one knew about Sabina. Franz was wrong when he thought his wife had told her friends about her."," Franz se mýlil, když si myslil, že o ní jeho manželka vyprávěla přítelkyním."
"told","tell","vyprávěla","vyprávět","impf"," But no one knew about Sabina. Franz was wrong when he thought his wife had told her friends about her."," Franz se mýlil, když si myslil, že o ní jeho manželka vyprávěla přítelkyním."
"want","want","nechtěla","chtít","impf"," Sabina was a beautiful woman, and Marie-Claude did not want people going about comparing their faces."," Sabina byla krásná žena a Marie - Claude nechtěla, aby lidé v duchu srovnávali jejich dvě tváře."
"comparing","compare","srovnávali","srovnávat","impf"," Sabina was a beautiful woman, and Marie-Claude did not want people going about comparing their faces."," Sabina byla krásná žena a Marie - Claude nechtěla, aby lidé v duchu srovnávali jejich dvě tváře."
"disappeared","disappear","zmizela","zmizet","pf"," As a result, she disappeared from his life without a trace."," Tak se stalo, že zmizela z jeho života beze stopy."
"come","come","šli","jít","impf"," next would come the doctors, and only then the rest of the crowd."," Za nimi šli lékaři a teprve potom všichni ostatní;"
"permitted","permit","dovoleno","dovolit","pf"," This reconciliation with Hitler reveals the profound moral perversity of a world that rests essentially on the non-existence of return, for in this world everything is pardoned in advance and therefore everything cynically permitted."," Toto smíření s Hitlerem prokazuje hlubokou mravní perversi spojenou se světem založeným esenciálně na neexistenci návratu, protože v tom světe je vše předem odpuštěno a tedy i vše cynicky dovoleno."
"lies","lie","leží","ležet","impf"," In the world of eternal return the weight of unbearable responsibility lies heavy on every move we make."," Ve světě věčného návratu leží na každém gestu tíha nesnesitelné odpovědností."
"spurning","spurn","odmítla","odmítnout","pf"," But instead of spurning it, she proudly, provocatively played it for all it was worth, as if submitting of her own will to public rape; and suddenly, unable to wait any longer, she pulled Tomas down to the floor."," Místo toho, aby to ponížení odmítla, ona ho pyšně a provokativně předváděla, jako kdyby se nechala dobrovolně a veřejně znásilňovat, a najednou už nemohla dál a strhla Tomáše na zem."
"return","return","Vraťme","vrátit","pf"," But let us return to the bowler hat :"," Vraťme se ještě k buřince :"
"suffer","suffer","netrpí","trpět","impf"," That was why Sabina did not suffer in the least from having to keep her love secret."," Sabina proto nijak netrpí tím, že musí tajit svou lásku."
"said","say","Říkal","říkat","impf"," He said it as a joke, not a complaint, but she could tell he was concerned."," Říkal to žertem, nebyla to stížnost, ale přece jen starost."
"tell","tell","Říkal","říkat","impf"," He said it as a joke, not a complaint, but she could tell he was concerned."," Říkal to žertem, nebyla to stížnost, ale přece jen starost."
"confessed","confess","přiznal","přiznat","pf"," He then confessed that he had made several visits to the authorities to request permission for Tomas to resume his medical practice, if only locally."," Pak se jí přiznal, že už byl několikrát žádat na úřadech, aby směl Tomáš znovu vykonávat ve zdejším okrese lékařskou praxi."
"request","request","žádat","žádat","impf"," He then confessed that he had made several visits to the authorities to request permission for Tomas to resume his medical practice, if only locally."," Pak se jí přiznal, že už byl několikrát žádat na úřadech, aby směl Tomáš znovu vykonávat ve zdejším okrese lékařskou praxi."
"learned","learn","Zjistil","zjistit","pf"," He had learned that the police would never grant it."," Zjistil však, že to policie nikdy nedovolí."
"behaved","behave","choval","chovat","impf"," He was not the one who behaved shamefully towards her; it was his memory, for it was his memory that, unbeknown to him, had excluded her from the sphere of love."," To nebyl on, kdo se k ní choval špatně, špatně se k ní chovala jeho paměť, která ji sama bez jeho přičinění vyloučila ze sféry lásky."
"behaved","behave","chovala","chovat","impf"," He was not the one who behaved shamefully towards her; it was his memory, for it was his memory that, unbeknown to him, had excluded her from the sphere of love."," To nebyl on, kdo se k ní choval špatně, špatně se k ní chovala jeho paměť, která ji sama bez jeho přičinění vyloučila ze sféry lásky."
"excluded","exclude","vyloučila","vyloučit","pf"," He was not the one who behaved shamefully towards her; it was his memory, for it was his memory that, unbeknown to him, had excluded her from the sphere of love."," To nebyl on, kdo se k ní choval špatně, špatně se k ní chovala jeho paměť, která ji sama bez jeho přičinění vyloučila ze sféry lásky."
"call","call","nazvat","nazvat","pf"," The brain appears to possess a special area which we might call poetic memory and which records everything that charms or touches us, that makes our lives beautiful."," Zdá se, jako by existovala v mozku zcela zvláštní oblast, kterou by bylo možno nazvat poetickou pamětí a která zaznamenává to, co nás okouzlilo, dojalo, co učinilo náš život krásným."
"records","record","zaznamenává","zaznamenávat","impf"," The brain appears to possess a special area which we might call poetic memory and which records everything that charms or touches us, that makes our lives beautiful."," Zdá se, jako by existovala v mozku zcela zvláštní oblast, kterou by bylo možno nazvat poetickou pamětí a která zaznamenává to, co nás okouzlilo, dojalo, co učinilo náš život krásným."
"charms","charm","okouzlilo","okouzlit","pf"," The brain appears to possess a special area which we might call poetic memory and which records everything that charms or touches us, that makes our lives beautiful."," Zdá se, jako by existovala v mozku zcela zvláštní oblast, kterou by bylo možno nazvat poetickou pamětí a která zaznamenává to, co nás okouzlilo, dojalo, co učinilo náš život krásným."
"touches","touch","dojalo","dojmout","pf"," The brain appears to possess a special area which we might call poetic memory and which records everything that charms or touches us, that makes our lives beautiful."," Zdá se, jako by existovala v mozku zcela zvláštní oblast, kterou by bylo možno nazvat poetickou pamětí a která zaznamenává to, co nás okouzlilo, dojalo, co učinilo náš život krásným."
"makes","make","učinilo","učinit","pf"," The brain appears to possess a special area which we might call poetic memory and which records everything that charms or touches us, that makes our lives beautiful."," Zdá se, jako by existovala v mozku zcela zvláštní oblast, kterou by bylo možno nazvat poetickou pamětí a která zaznamenává to, co nás okouzlilo, dojalo, co učinilo náš život krásným."
"met","meet","poznal","poznat","pf"," From the time he met Tereza, no woman had the right to leave the slightest impression on that part of his brain."," Od té doby, co se poznal s Terezou, žádná žena neměla právo otisknout se v této části mozku ani nejprchavější stopou."
"rejected","reject","odmítal","odmítat","impf"," If Tomas rejected the Swiss doctor 's offer without a second thought, it was for Tereza 's sake."," Jestli Tomáš odmítal Švýcarovu nabídku skoro bez uvažování, bylo to kvůli Tereze."
"assumed","assume","Předpokládal","předpokládat","impf"," He assumed she would not want to leave."," Předpokládal, že by tam nechtěla odjet."
"want","want","nechtěla","chtít","impf"," He assumed she would not want to leave."," Předpokládal, že by tam nechtěla odjet."
"leave","leave","odjet","odjet","pf"," He assumed she would not want to leave."," Předpokládal, že by tam nechtěla odjet."
"spent","spend","strávila","strávit","pf"," She had spent the whole first week of the occupation in a kind of trance almost resembling happiness."," Ostatně strávila všech sedm prvních dnů okupace v jakési extázi, která se podobala téměř štěstí."
"resembling","resemble","podobala","podobat","impf"," She had spent the whole first week of the occupation in a kind of trance almost resembling happiness."," Ostatně strávila všech sedm prvních dnů okupace v jakési extázi, která se podobala téměř štěstí."
"came","come","Vstoupila","vstoupit","pf"," We live in two different dimensions, you and I. You came into my life like Gulliver entering the land of the Lilliputians. '"," Vstoupila jsi do mého života jako Gulliver do říše trpaslíků. """
"entering","enter","Vstoupila","vstoupit","pf"," We live in two different dimensions, you and I. You came into my life like Gulliver entering the land of the Lilliputians. '"," Vstoupila jsi do mého života jako Gulliver do říše trpaslíků. """
"protested","protest","protestuje","protestovat","impf"," Sabina protested."," Sabina protestuje."
"said","say","Říká","říkat","impf"," She said that conflict, drama, and tragedy did n't mean a thing; there was nothing inherently valuable in them, nothing deserving of respect or admiration."," Říká, že konflikt, drama, tragedie neznamenají vůbec nic, žádnou hodnotu, nic, co by zasloužilo úcty či obdivu."
"mean","mean","neznamenají","znamenat","impf"," She said that conflict, drama, and tragedy did n't mean a thing; there was nothing inherently valuable in them, nothing deserving of respect or admiration."," Říká, že konflikt, drama, tragedie neznamenají vůbec nic, žádnou hodnotu, nic, co by zasloužilo úcty či obdivu."
"wavered","waver","váhal","váhat","impf"," How had he come to make such a sudden decision when for nearly a fortnight he had wavered so much that he could not even bring himself to send a postcard asking her how she was?"," Jak to, že se tak náhle rozhodl, když skoro čtrnáct dnů váhal a nebyl s to jí poslat ani pohlednici s pozdravem?"
"send","send","poslat","poslat","pf"," How had he come to make such a sudden decision when for nearly a fortnight he had wavered so much that he could not even bring himself to send a postcard asking her how she was?"," Jak to, že se tak náhle rozhodl, když skoro čtrnáct dnů váhal a nebyl s to jí poslat ani pohlednici s pozdravem?"
"surprised","surprise","překvapen","překvapit","pf"," He himself was surprised."," Byl tím sám překvapen."
"acted","act","Jednal","jednat","impf"," He had acted against his principles."," Jednal proti svým zásadám."
"say","say","mluví","mluvit","impf"," They were meant to prove not merely that émigrés had bad things to say about the Soviet Union ( which neither surprised nor upset anyone in the country ), but that they call one another names and make free use of dirty words."," Právě tyto věty zaujímaly v reportáži hlavní místo : měly dokázat nejen to, že ti lidé mluví špatně o Sovětském svazu ( to v Čechách nikoho nepobuřovalo ), ale že se pomlouvají navzájem a že přitom používají sprostých slov."
"hear","hear","slyší","slyšet","impf"," People use filthy language all day long, but when they turn on the radio and hear a well-known personality, someone they respect, saying ' fuck ' in every sentence, they feel somehow let down."," Kupodivu, lidé mluví sprostě od rána do večera, ale když slyší z rádia známého člověka, kterého si vážili, jak říká za každou větou do prdele, jsou jaksi zklamáni."
"started","start","začalo","začít","pf"," ' It all started with Prochazka, ' said Tomas."," "" Tohleto začalo Procházkou, "" řekl Tomáš a poslouchal dál."
"said","say","řekl","říci","pf"," ' It all started with Prochazka, ' said Tomas."," "" Tohleto začalo Procházkou, "" řekl Tomáš a poslouchal dál."
"spend","spend","strávit","strávit","pf"," During her years at the Academy of Fine Arts, students had been required to spend whole summer vacations at a youth camp."," Musila strávit jako studentka malířské akademie celé prázdniny na tak zvané stavbě mládeže."
"lived","live","Bydlili","bydlet","impf"," They lived in common quarters and worked together on a steelworks construction site."," Bydlili na společných ubikacích a chodili pracovat na staveniště huti."
"worked","work","pracovat","pracovat","impf"," They lived in common quarters and worked together on a steelworks construction site."," Bydlili na společných ubikacích a chodili pracovat na staveniště huti."
"roared","roar","řvala","řvát","impf"," Music roared out of loudspeakers on the site from five in the morning to nine at night."," Hudba řvala z tlampačů od pěti ráno do devíti večer."
"crying","cry","plakat","plakat","impf"," She felt like crying, but the music was cheerful, and there was nowhere to hide, not in the latrine or under the bedclothes : everything was in range of the speakers."," Chtělo se jí plakat, ale hudba byla veselá nebylo možno se před ní nikde skrýt, ani na záchodě, ani v posteli pod přikrývkou, tlampače byly všude."
"hide","hide","skrýt","skrýt","pf"," She felt like crying, but the music was cheerful, and there was nowhere to hide, not in the latrine or under the bedclothes : everything was in range of the speakers."," Chtělo se jí plakat, ale hudba byla veselá nebylo možno se před ní nikde skrýt, ani na záchodě, ani v posteli pod přikrývkou, tlampače byly všude."
"gazing","gaze","díval","dívat","impf"," Now he was standing in the entrance hall, gazing up at the hat stand, where his leash and collar hung ready."," Teď stál v předsíni a díval se vzhůru k věšáku, kde visel obojek s vodítkem."
"hung","hang","visel","viset","impf"," Now he was standing in the entrance hall, gazing up at the hat stand, where his leash and collar hung ready."," Teď stál v předsíni a díval se vzhůru k věšáku, kde visel obojek s vodítkem."
"said","say","řečena","říci","pf"," the raucous laughter immediately following them made it clear that by rejecting the pendant Mane-Claude did not wish to jeopardize her friendship with Sabina. But it was not the kind of thing she usually said."," Nebyla řečena útočně, naopak, hlaholivý smích měl okamžitě dát najevo, že odmítnutí šperku nemění nic na přátelství, které Marie - Claude cítí pro malířku, ale přece jen to byla věta, která se vymykala způsobu, jak Marie - Claude mluvila s jinými."
"said","say","mluvila","mluvit","impf"," the raucous laughter immediately following them made it clear that by rejecting the pendant Mane-Claude did not wish to jeopardize her friendship with Sabina. But it was not the kind of thing she usually said."," Nebyla řečena útočně, naopak, hlaholivý smích měl okamžitě dát najevo, že odmítnutí šperku nemění nic na přátelství, které Marie - Claude cítí pro malířku, ale přece jen to byla věta, která se vymykala způsobu, jak Marie - Claude mluvila s jinými."
"made","make","Dělala","dělat","impf"," ' I made it myself, ' said Sabina."," "" Dělala jsem si ho sama, "" řekla Sabina."
"said","say","řekla","říci","pf"," ' I made it myself, ' said Sabina."," "" Dělala jsem si ho sama, "" řekla Sabina."
"repeated","repeat","opakovala","opakovat","impf"," ' That pendant is ugly, really! ' Marie-Claude repeated very loudly."," "" Je ošklivý, opravdu, "" opakovala Marie - Claude velmi hlasitě."
"wear","wear","Neměla","mít","impf"," ' You should n't wear it. '"," "" Neměla bys ho nosit! """
"wear","wear","nosit","nosit","impf"," ' You should n't wear it. '"," "" Neměla bys ho nosit! """
"floating","float","plují","plout","impf"," And another and another, and only then did Tereza realize that all the park benches of Prague were floating downstream, away from the city, many, many benches, more and more, drifting by like the autumn leaves that the water carries off from the woods - red, yellow, blue."," A další a další a teď teprve Tereza vidí, že z města odplouvají po vodě lavičky z pražských parků, je jich mnoho, je jich čím dál víc, plují po vodě jako na podzim listi, které voda odnáší z lesů, jsou červené, jsou žluté, jsou modré."
"meant","mean","chtěla","chtít","impf"," She turned and looked behind her as if to ask the passersby what it meant."," Ohlédla se za sebe, jako by se chtěla zeptat lidí, co to znamená."
"ask","ask","zeptat","zeptat","pf"," She turned and looked behind her as if to ask the passersby what it meant."," Ohlédla se za sebe, jako by se chtěla zeptat lidí, co to znamená."
"meant","mean","znamená","znamenat","impf"," She turned and looked behind her as if to ask the passersby what it meant."," Ohlédla se za sebe, jako by se chtěla zeptat lidí, co to znamená."
"started","start","Začala","začít","pf"," She started to open his fly."," Začala mu rozepínat kalhoty."
"open","open","Začala","začít","pf"," She started to open his fly."," Začala mu rozepínat kalhoty."
"ordering","order","Poručil","poručit","pf"," After ordering ' Strip! ' several more times ( with comic failure ), he was forced to accept a compromise."," Poručil jí ještě několikrát ( s komickým neúspěchem ) "" svlékněte se! "", ale nezbylo mu, než přistoupit na kompromis;"
"do","do","uděláte","udělat","pf"," According to the rules of the game she had set up during his last visit ( ' do as I do ' ), she took off his trousers, he took off her skirt, then she took off his shirt, he her blouse, until at last they stood there naked."," podle pravidel hry, které mu už posledně vnutila ( "" co uděláte vy mně, já udělám vám "" ), svlékla mu kalhoty a on jí sukni, potom mu svlékla košili a on ji halenku, až konečně stáli proti sobě nazí."
"do","do","uděláte","udělat","pf"," According to the rules of the game she had set up during his last visit ( ' do as I do ' ), she took off his trousers, he took off her skirt, then she took off his shirt, he her blouse, until at last they stood there naked."," podle pravidel hry, které mu už posledně vnutila ( "" co uděláte vy mně, já udělám vám "" ), svlékla mu kalhoty a on jí sukni, potom mu svlékla košili a on ji halenku, až konečně stáli proti sobě nazí."
"took","take","uděláte","udělat","pf"," According to the rules of the game she had set up during his last visit ( ' do as I do ' ), she took off his trousers, he took off her skirt, then she took off his shirt, he her blouse, until at last they stood there naked."," podle pravidel hry, které mu už posledně vnutila ( "" co uděláte vy mně, já udělám vám "" ), svlékla mu kalhoty a on jí sukni, potom mu svlékla košili a on ji halenku, až konečně stáli proti sobě nazí."
"took","take","uděláte","udělat","pf"," According to the rules of the game she had set up during his last visit ( ' do as I do ' ), she took off his trousers, he took off her skirt, then she took off his shirt, he her blouse, until at last they stood there naked."," podle pravidel hry, které mu už posledně vnutila ( "" co uděláte vy mně, já udělám vám "" ), svlékla mu kalhoty a on jí sukni, potom mu svlékla košili a on ji halenku, až konečně stáli proti sobě nazí."
"took","take","uděláte","udělat","pf"," According to the rules of the game she had set up during his last visit ( ' do as I do ' ), she took off his trousers, he took off her skirt, then she took off his shirt, he her blouse, until at last they stood there naked."," podle pravidel hry, které mu už posledně vnutila ( "" co uděláte vy mně, já udělám vám "" ), svlékla mu kalhoty a on jí sukni, potom mu svlékla košili a on ji halenku, až konečně stáli proti sobě nazí."
"do","do","udělám","udělat","pf"," According to the rules of the game she had set up during his last visit ( ' do as I do ' ), she took off his trousers, he took off her skirt, then she took off his shirt, he her blouse, until at last they stood there naked."," podle pravidel hry, které mu už posledně vnutila ( "" co uděláte vy mně, já udělám vám "" ), svlékla mu kalhoty a on jí sukni, potom mu svlékla košili a on ji halenku, až konečně stáli proti sobě nazí."
"do","do","udělám","udělat","pf"," According to the rules of the game she had set up during his last visit ( ' do as I do ' ), she took off his trousers, he took off her skirt, then she took off his shirt, he her blouse, until at last they stood there naked."," podle pravidel hry, které mu už posledně vnutila ( "" co uděláte vy mně, já udělám vám "" ), svlékla mu kalhoty a on jí sukni, potom mu svlékla košili a on ji halenku, až konečně stáli proti sobě nazí."
"took","take","udělám","udělat","pf"," According to the rules of the game she had set up during his last visit ( ' do as I do ' ), she took off his trousers, he took off her skirt, then she took off his shirt, he her blouse, until at last they stood there naked."," podle pravidel hry, které mu už posledně vnutila ( "" co uděláte vy mně, já udělám vám "" ), svlékla mu kalhoty a on jí sukni, potom mu svlékla košili a on ji halenku, až konečně stáli proti sobě nazí."
"took","take","udělám","udělat","pf"," According to the rules of the game she had set up during his last visit ( ' do as I do ' ), she took off his trousers, he took off her skirt, then she took off his shirt, he her blouse, until at last they stood there naked."," podle pravidel hry, které mu už posledně vnutila ( "" co uděláte vy mně, já udělám vám "" ), svlékla mu kalhoty a on jí sukni, potom mu svlékla košili a on ji halenku, až konečně stáli proti sobě nazí."
"took","take","udělám","udělat","pf"," According to the rules of the game she had set up during his last visit ( ' do as I do ' ), she took off his trousers, he took off her skirt, then she took off his shirt, he her blouse, until at last they stood there naked."," podle pravidel hry, které mu už posledně vnutila ( "" co uděláte vy mně, já udělám vám "" ), svlékla mu kalhoty a on jí sukni, potom mu svlékla košili a on ji halenku, až konečně stáli proti sobě nazí."
