"say","say","řekl","říci","pf"," What else can I say about them?"," Co bych o nich ještě řekl?"
"accepted","accept","vzal","vzít","pf"," This, of course, does not mean at all that as a bourgeois child I simply accepted our “ bourgeois ” status, and capitalism as such, with no further reflection on the matter."," To ovšem ještě zdaleka neznamená, že já sám - jakožto buržoazní dítě - jsem se prostě s naší "" buržoazností "" identifikoval, vzal ji bez dalšího za svou a vzal za svůj i sám kapitalismus jako takový."
"does","do","vzal","vzít","pf"," This, of course, does not mean at all that as a bourgeois child I simply accepted our “ bourgeois ” status, and capitalism as such, with no further reflection on the matter."," To ovšem ještě zdaleka neznamená, že já sám - jakožto buržoazní dítě - jsem se prostě s naší "" buržoazností "" identifikoval, vzal ji bez dalšího za svou a vzal za svůj i sám kapitalismus jako takový."
"accepted","accept","vzal","vzít","pf"," This, of course, does not mean at all that as a bourgeois child I simply accepted our “ bourgeois ” status, and capitalism as such, with no further reflection on the matter."," To ovšem ještě zdaleka neznamená, že já sám - jakožto buržoazní dítě - jsem se prostě s naší "" buržoazností "" identifikoval, vzal ji bez dalšího za svou a vzal za svůj i sám kapitalismus jako takový."
"felt","feel","vycítil","vycítit","pf"," And without necessarily being intellectuals, perceptive members of the audience felt that even the most grotesque escapade by Vyskočil touched something essential in them, the genuine drama and the genuine ineffability of life, things as fundamental as despair, empty hope, bad luck, fate, misfortune, groundless joy."," A aniž musel být intelektuálem, vnímavý divák vycítil, že i ta nejpitvornější vyskočilovská eskapáda se dotýká čehosi podstatného v něm, skutečného dramatismu a skutečné nevyzpytatelnosti života, věcí tak základních, jako je zoufalství, planá naděje, smůla, osud, neštěstí, bezdůvodná radost."
"touched","touch","dotýká","dotýkat","impf"," And without necessarily being intellectuals, perceptive members of the audience felt that even the most grotesque escapade by Vyskočil touched something essential in them, the genuine drama and the genuine ineffability of life, things as fundamental as despair, empty hope, bad luck, fate, misfortune, groundless joy."," A aniž musel být intelektuálem, vnímavý divák vycítil, že i ta nejpitvornější vyskočilovská eskapáda se dotýká čehosi podstatného v něm, skutečného dramatismu a skutečné nevyzpytatelnosti života, věcí tak základních, jako je zoufalství, planá naděje, smůla, osud, neštěstí, bezdůvodná radost."
"dedicated","dedicate","věnoval","věnovat","impf"," He was utterly dedicated to philosophy and teaching, and he never modified his opinions, but he did try to avoid things that might have put an end to his work."," filozofii a pedagogické práci se věnoval celou bytostí a ze svých názorů nikdy neslevoval, vyhýbal se však věcem, které by mohly toto jeho působení ohrozit."
"avoid","avoid","vyhýbal","vyhýbat","impf"," He was utterly dedicated to philosophy and teaching, and he never modified his opinions, but he did try to avoid things that might have put an end to his work."," filozofii a pedagogické práci se věnoval celou bytostí a ze svých názorů nikdy neslevoval, vyhýbal se však věcem, které by mohly toto jeho působení ohrozit."
"felt","feel","cítil","cítit","impf"," At the same time, he felt, or so it seemed to me, that one day he would have to put his thinking to the test in action, as it were, that he could n't avoid it or put it off forever, because ultimately this would call his whole philosophy in doubt."," Zároveň ale cítil, jak se mi aspoň zdálo, že své myšlení bude muset jednoho dne jaksi stvrdit činem, že trvale se tomu vyhýbat či to odkládat nemůže, protože by tím nakonec mohl zpochybnit i samu svou filozofii, pro jejíž záchranu by to dělal."
"seemed","seem","zdálo","zdát","impf"," At the same time, he felt, or so it seemed to me, that one day he would have to put his thinking to the test in action, as it were, that he could n't avoid it or put it off forever, because ultimately this would call his whole philosophy in doubt."," Zároveň ale cítil, jak se mi aspoň zdálo, že své myšlení bude muset jednoho dne jaksi stvrdit činem, že trvale se tomu vyhýbat či to odkládat nemůže, protože by tím nakonec mohl zpochybnit i samu svou filozofii, pro jejíž záchranu by to dělal."
"avoid","avoid","vyhýbat","vyhýbat","impf"," At the same time, he felt, or so it seemed to me, that one day he would have to put his thinking to the test in action, as it were, that he could n't avoid it or put it off forever, because ultimately this would call his whole philosophy in doubt."," Zároveň ale cítil, jak se mi aspoň zdálo, že své myšlení bude muset jednoho dne jaksi stvrdit činem, že trvale se tomu vyhýbat či to odkládat nemůže, protože by tím nakonec mohl zpochybnit i samu svou filozofii, pro jejíž záchranu by to dělal."
"recognized","recognize","pozná","poznat","pf"," I 'd never been on the point of death before, and of course I did n't know how you recognized it, but my state was so terrifying that I could n't help wondering."," dosud jsem nikdy neumíral, a tak jsem pochopitelně nevěděl, jak se to pozná, ale hrůznost mého stavu neodbytně to podezření probouzela."
"depend","depend","nespoléhal","spoléhat","impf"," As for the political system, I would not depend too heavily on the traditional approach, with two or three large political parties, as the only possible guarantee of democracy."," Pokud jde o politický systém, nespoléhal bych příliš na tradiční princip dvou nebo tří velkých politických stran jako na jedinou možnou záruku demokracie."
"choose","choose","vybrat","vybrat","pf"," If all power in the communist countries is in the hands of a bureaucratic apparatus run by a single political party, then this, understandably, is worse than if there are two parties, both of which are held in check by freely expressed public opinion, and between which the public can choose in elections."," Je - li v komunistických zemích veškerá moc v rukou byrokratického aparátu jedné politické strany, pak to je pochopitelně horší, než když jsou strany dvě, když jsou obě pod kontrolou svobodně projevovaného veřejného mínění a když si veřejnost může ve volbách mezi nimi vybrat."
"recall","recall","připomenout","připomenout","pf"," Instead, I 'd like to recall something else : without in any way diminishing the social significance of the small theatres at that time, I saw this movement as an integral part of a far wider movement in society."," Spíš bych měl asi připomenout jinou věc : aniž bych chtěl jakkoli umenšovat dobový společenský význam malých divadel, vnímám tento pohyb jako integrální součást pohybu daleko širšího."
"like","like","chtěl","chtít","impf"," Instead, I 'd like to recall something else : without in any way diminishing the social significance of the small theatres at that time, I saw this movement as an integral part of a far wider movement in society."," Spíš bych měl asi připomenout jinou věc : aniž bych chtěl jakkoli umenšovat dobový společenský význam malých divadel, vnímám tento pohyb jako integrální součást pohybu daleko širšího."
"arose","arise","vznikl","vzniknout","pf"," From this need arose the Circle of Independent Writers, whose chairman I was elected."," Z téhle potřeby vznikl Kruh nezávislých spisovatelů, jehož předsedou jsem byl zvolen."
"elected","elect","zvolen","zvolit","pf"," From this need arose the Circle of Independent Writers, whose chairman I was elected."," Z téhle potřeby vznikl Kruh nezávislých spisovatelů, jehož předsedou jsem byl zvolen."
"thought","think","měli","mít","impf"," Before that I 'd been chairman of the Young Authors ' Caucus, a slightly wild institution that was created during the struggle over Tvář - more precisely, when most of the young authors, regardless of what they thought about Tvář, understood that defending Tvář was not simply defending a particular magazine; it meant the defense of freedom, which meant their freedom as well."," Ještě předtím jsem byl předsedou Aktivu mladých autorů, trochu divoké instituce, která vznikla v době bojů za Tvář, přesněji řečeno v době, kdy většina mladých autorů, ať už měli s Tváří jakékoli vztahy, pochopila, že obrana Tváře je nejen obranou tohoto konkrétního časopisu, ale de facto obranou svobody, tedy i svobody jejich."
"understood","understand","pochopila","pochopit","pf"," Before that I 'd been chairman of the Young Authors ' Caucus, a slightly wild institution that was created during the struggle over Tvář - more precisely, when most of the young authors, regardless of what they thought about Tvář, understood that defending Tvář was not simply defending a particular magazine; it meant the defense of freedom, which meant their freedom as well."," Ještě předtím jsem byl předsedou Aktivu mladých autorů, trochu divoké instituce, která vznikla v době bojů za Tvář, přesněji řečeno v době, kdy většina mladých autorů, ať už měli s Tváří jakékoli vztahy, pochopila, že obrana Tváře je nejen obranou tohoto konkrétního časopisu, ale de facto obranou svobody, tedy i svobody jejich."
"draw","draw","vyvozoval","vyvozovat","impf"," But I 'm not reading too much into this, and I certainly do n't intend to draw any long-range conclusions from a mere change in my working rhythm or method."," Jenže já to nepřeceňuji a rozhodně bych nerad z pouhé změny pracovního rytmu či způsobu vyvozoval hned bůhvíjak dalekosáhlé závěry;"
"mean","mean","znamenat","znamenat","impf"," It does n't necessarily mean anything in itself, let alone promise anything for the future."," samo o sobě to přece nemusí nic znamenat, natož zaručovat."
"published","publish","vyšly","vyjít","pf"," The Garden Party and The Memorandum were published sometime in the 1960s by Mladá Fronta, along with two of my essays and a collection of typographical poetry, all under the title Protocols."," Zahradní slavnost a Vyrozumění vyšly kdysi v Mladé frontě ( spolu s dvěma mými eseji a sbírkou typografické poezie ) pod názvem Protokoly;"
"saw","see","Viděl","vidět","impf"," I saw Soviet tanks smash down arcades on the main square and bury several people in the rubble."," Viděl jsem, jak sovětské tanky na náměstí rozbořily podloubí, které zasypalo několik lidí;"
"saw","see","viděl","vidět","impf"," I saw a tank commander start shooting wildly into the crowd."," viděl jsem, jak se pomátl velitel tanku a začal zběsile střílet do davu;"
"shooting","shoot","střílet","střílet","impf"," I saw a tank commander start shooting wildly into the crowd."," viděl jsem, jak se pomátl velitel tanku a začal zběsile střílet do davu;"
"saw","see","viděl","vidět","impf"," I saw and experienced many things, but what affected me most powerfully was that special phenomenon of solidarity and community which was so typical of that time."," viděl jsem a zažil mnoho dalších věcí, z nichž nejsilněji na mne působil ten zvláštní fenomén solidární pospolitosti, který byl pro tu dobu tak příznačný."
"saw","see","zažil","zažít","pf"," I saw and experienced many things, but what affected me most powerfully was that special phenomenon of solidarity and community which was so typical of that time."," viděl jsem a zažil mnoho dalších věcí, z nichž nejsilněji na mne působil ten zvláštní fenomén solidární pospolitosti, který byl pro tu dobu tak příznačný."
"experienced","experience","zažil","zažít","pf"," I saw and experienced many things, but what affected me most powerfully was that special phenomenon of solidarity and community which was so typical of that time."," viděl jsem a zažil mnoho dalších věcí, z nichž nejsilněji na mne působil ten zvláštní fenomén solidární pospolitosti, který byl pro tu dobu tak příznačný."
"affected","affect","působil","působit","impf"," I saw and experienced many things, but what affected me most powerfully was that special phenomenon of solidarity and community which was so typical of that time."," viděl jsem a zažil mnoho dalších věcí, z nichž nejsilněji na mne působil ten zvláštní fenomén solidární pospolitosti, který byl pro tu dobu tak příznačný."
"bring","bring","nosili","nosit","impf"," People would bring food and flowers and medicine to the radio station, regardless of whether we needed them or not."," Lidé nám do rozhlasu nosili potraviny, květiny, léky, aniž jsme co z toho potřebovali;"
"needed","need","potřebovali","potřebovat","impf"," People would bring food and flowers and medicine to the radio station, regardless of whether we needed them or not."," Lidé nám do rozhlasu nosili potraviny, květiny, léky, aniž jsme co z toho potřebovali;"
"thinking","think","Mám","mít","impf"," I 'm thinking of the meeting of young writers held in Dobříš in the autumn of 1956."," Mám na mysli aktiv mladých spisovatelů, uspořádaný na Dobříši na podzim 1956 -"
"held","hold","Mám","mít","impf"," I 'm thinking of the meeting of young writers held in Dobříš in the autumn of 1956."," Mám na mysli aktiv mladých spisovatelů, uspořádaný na Dobříši na podzim 1956 -"
"want","want","Nechci","chtít","impf"," But I do n't want to talk about the novel at all, I want to talk about reality."," Nechci teď ovšem mluvit o románu, ale o skutečnosti."
"want","want","Nechci","chtít","impf"," But I do n't want to talk about the novel at all, I want to talk about reality."," Nechci teď ovšem mluvit o románu, ale o skutečnosti."
"talk","talk","mluvit","mluvit","impf"," But I do n't want to talk about the novel at all, I want to talk about reality."," Nechci teď ovšem mluvit o románu, ale o skutečnosti."
"talk","talk","mluvit","mluvit","impf"," But I do n't want to talk about the novel at all, I want to talk about reality."," Nechci teď ovšem mluvit o románu, ale o skutečnosti."
"confirmed","confirm","potvrzuje","potvrzovat","impf"," All the circumstances clearly indicate that Kundera was inspired by the first large writers ' petition circulated after the period of “ normalization ” had begun, and that Tomas is more or less a vehicle for Kundera 's own point of view ( which is also confirmed by the quote you mentioned )."," Všechny souvislosti dost průhledně napovídají, že se Kundera v této věci inspiroval první větší spisovatelskou peticí po začátku "" normalizace "" a že jeho Tomáš tlumočí víceméně jeho vlastní názor ( potvrzuje to ostatně i váš citát )."
"remember","remember","vzpomínám","vzpomínat","impf"," I remember that petition very well; I helped to gather signatures for it."," Dobře si na tu petici vzpomínám, byl jsem jedním z těch, kdo na ni sbírali podpisy."
"gather","gather","sbírali","sbírat","impf"," I remember that petition very well; I helped to gather signatures for it."," Dobře si na tu petici vzpomínám, byl jsem jedním z těch, kdo na ni sbírali podpisy."
"remember","remember","vzpomeňme","vzpomenout","pf"," A civilian home guard could have been set up, and it might even have been possible to carry out some kind of military mobilization outside the Warsaw Pact maneuvers calendar ( remember the political impact that the May mobilization had in 1938 )."," šlo by organizovat civilní domobranu a bylo možné udělat snad i nějakou cvičnou vojenskou mobilizaci mimo kalendář manévrů Varšavského paktu ( vzpomeňme na politický efekt, který měla v roce 1938 květnová mobilizace )."
"carry","carry","měla","mít","impf"," A civilian home guard could have been set up, and it might even have been possible to carry out some kind of military mobilization outside the Warsaw Pact maneuvers calendar ( remember the political impact that the May mobilization had in 1938 )."," šlo by organizovat civilní domobranu a bylo možné udělat snad i nějakou cvičnou vojenskou mobilizaci mimo kalendář manévrů Varšavského paktu ( vzpomeňme na politický efekt, který měla v roce 1938 květnová mobilizace )."
"undertook","undertake","provedlo","provést","pf"," The Kremlin leadership undertook the invasion only because it knew there would be no military resistance here."," Kremelské vedení provedlo invazi jen proto, že vědělo, že tu žádný vojenský odpor nebude a být nemůže;"
"say","say","říct","říci","pf"," That week in August is a historical experience that cannot be wiped out of the awareness of our nations, though we ca n't say yet what it really meant, or what marks it has left on the genetic material of society, and how and when these will manifest themselves."," Ten srpnový týden považuji prostě za historickou zkušenost, kterou nelze z povědomí našich národů vytěsnit a o níž nelze stále ještě říct, co vlastně znamenala, jak se zapsala do genetické výbavy společnosti a jak a kdy se projeví."
"meant","mean","znamenala","znamenat","impf"," That week in August is a historical experience that cannot be wiped out of the awareness of our nations, though we ca n't say yet what it really meant, or what marks it has left on the genetic material of society, and how and when these will manifest themselves."," Ten srpnový týden považuji prostě za historickou zkušenost, kterou nelze z povědomí našich národů vytěsnit a o níž nelze stále ještě říct, co vlastně znamenala, jak se zapsala do genetické výbavy společnosti a jak a kdy se projeví."
"marks","mark","znamenala","znamenat","impf"," That week in August is a historical experience that cannot be wiped out of the awareness of our nations, though we ca n't say yet what it really meant, or what marks it has left on the genetic material of society, and how and when these will manifest themselves."," Ten srpnový týden považuji prostě za historickou zkušenost, kterou nelze z povědomí našich národů vytěsnit a o níž nelze stále ještě říct, co vlastně znamenala, jak se zapsala do genetické výbavy společnosti a jak a kdy se projeví."
"marks","mark","zapsala","zapsat","pf"," That week in August is a historical experience that cannot be wiped out of the awareness of our nations, though we ca n't say yet what it really meant, or what marks it has left on the genetic material of society, and how and when these will manifest themselves."," Ten srpnový týden považuji prostě za historickou zkušenost, kterou nelze z povědomí našich národů vytěsnit a o níž nelze stále ještě říct, co vlastně znamenala, jak se zapsala do genetické výbavy společnosti a jak a kdy se projeví."
"manifest","manifest","projeví","projevit","pf"," That week in August is a historical experience that cannot be wiped out of the awareness of our nations, though we ca n't say yet what it really meant, or what marks it has left on the genetic material of society, and how and when these will manifest themselves."," Ten srpnový týden považuji prostě za historickou zkušenost, kterou nelze z povědomí našich národů vytěsnit a o níž nelze stále ještě říct, co vlastně znamenala, jak se zapsala do genetické výbavy společnosti a jak a kdy se projeví."
"see","see","díváte","dívat","impf"," How do you see the stormy period at the end of 1968 and in early 1969?"," Jak se díváte na bouřlivé období konce roku 1968 a počátku roku 1969?"
"experience","experience","prožíval","prožívat","impf"," What were you doing then, and how did you experience that period?"," Jak jste tu dobu prožíval?"
"remember","remember","Nevzpomínám","vzpomínat","impf"," I do n't remember what other papers were saying about those little theatres then, but I do know they had to be defended."," Nevzpomínám si už, co se tehdy o těch divadélkách psalo, ale že je bylo třeba bránit, to vím."
"defended","defend","bránit","bránit","impf"," I do n't remember what other papers were saying about those little theatres then, but I do know they had to be defended."," Nevzpomínám si už, co se tehdy o těch divadélkách psalo, ale že je bylo třeba bránit, to vím."
"like","like","líbí","líbit","impf"," I like the book for its language too."," Kniha se mi líbí i pro svůj jazyk."
"taken","take","brát","brát","impf"," Occasionally it is more poetic than philosophical, in the traditional sense, and therefore Bělohradský cannot always be taken at his word and literally."," občas je to jazyk víc poetický než v tradičním slova smyslu filozofický, proto se také nesmí brát Bělohradský vždy za slovo a doslovně."
"told","tell","Řekli","říci","pf"," They told her I was all right."," Řekli jí, že jsem v pořádku."
"went","go","jela","jet","impf"," So she got angry, went home, and called Pavel Kohout in Vienna."," Tak se naštvala, jela domů a zavolala Pavla Kohouta do Vídně."
"called","call","zavolala","zavolat","pf"," So she got angry, went home, and called Pavel Kohout in Vienna."," Tak se naštvala, jela domů a zavolala Pavla Kohouta do Vídně."
"accepted","accept","přijal","přijmout","pf"," Naturally I accepted it; I wrote a nice letter to Werich explaining why I was leaving and thanking him for everything, and in the summer of 1960 I started work at the Theatre on the Balustrade."," Pochopitelně jsem to přijal, Werichovi jsem napsal hezký dopis, v němž jsem mu svůj odchod vysvětlil, za vše mu poděkoval a v létě roku 1960 jsem nastoupil do Divadla Na zábradlí."
"wrote","write","napsal","napsat","pf"," Naturally I accepted it; I wrote a nice letter to Werich explaining why I was leaving and thanking him for everything, and in the summer of 1960 I started work at the Theatre on the Balustrade."," Pochopitelně jsem to přijal, Werichovi jsem napsal hezký dopis, v němž jsem mu svůj odchod vysvětlil, za vše mu poděkoval a v létě roku 1960 jsem nastoupil do Divadla Na zábradlí."
"explaining","explain","vysvětlil","vysvětlit","pf"," Naturally I accepted it; I wrote a nice letter to Werich explaining why I was leaving and thanking him for everything, and in the summer of 1960 I started work at the Theatre on the Balustrade."," Pochopitelně jsem to přijal, Werichovi jsem napsal hezký dopis, v němž jsem mu svůj odchod vysvětlil, za vše mu poděkoval a v létě roku 1960 jsem nastoupil do Divadla Na zábradlí."
"thanking","thank","poděkoval","poděkovat","pf"," Naturally I accepted it; I wrote a nice letter to Werich explaining why I was leaving and thanking him for everything, and in the summer of 1960 I started work at the Theatre on the Balustrade."," Pochopitelně jsem to přijal, Werichovi jsem napsal hezký dopis, v němž jsem mu svůj odchod vysvětlil, za vše mu poděkoval a v létě roku 1960 jsem nastoupil do Divadla Na zábradlí."
"beginning","begin","začíná","začínat","impf"," Thus beginning an entirely new era in your life?"," A tím okamžikem začíná už úplně jiná éra vašeho života -"
"building","build","budují","budovat","impf"," Instead of the less conspicuous but more effective course of trying to aid the families of those prisoners, they are in fact parasites on the prisoners ' misery, and through them are building a monument to themselves without taking into account that this may make things worse for the prisoners."," Místo méně nápadné, ale účinnější pomoci rodinám postižených se vlastně přiživují na neštěstí politických vězňů a jejich prostřednictvím si budují vlastní pomník, neohlížejíce se na to, zda tím jejich postavení ještě nezhorší."
"make","make","budují","budovat","impf"," Instead of the less conspicuous but more effective course of trying to aid the families of those prisoners, they are in fact parasites on the prisoners ' misery, and through them are building a monument to themselves without taking into account that this may make things worse for the prisoners."," Místo méně nápadné, ale účinnější pomoci rodinám postižených se vlastně přiživují na neštěstí politických vězňů a jejich prostřednictvím si budují vlastní pomník, neohlížejíce se na to, zda tím jejich postavení ještě nezhorší."
"published","publish","vyšla","vyjít","pf"," A separate edition of The Garden Party had already been published by Orbis, which also later brought out The Increased Difficulty of Concentration."," Zahradní slavnost vyšla předtím samostatně v Orbisu, kde vyšla později i Ztížená možnost soustředění."
"published","publish","vyšla","vyjít","pf"," A separate edition of The Garden Party had already been published by Orbis, which also later brought out The Increased Difficulty of Concentration."," Zahradní slavnost vyšla předtím samostatně v Orbisu, kde vyšla později i Ztížená možnost soustředění."
"published","publish","vyšly","vyjít","pf"," All three plays came out as well as a supplement to Divadlo magazine, and recently they were published together in book form under the title The Increased Difficulty, by the Rozmluva press in London."," Všechny tyto tři hry vyšly mimoto časopisecky jako přílohy časopisu Divadlo a nedávno znovu knižně pod souhrnným názvem Ztížené možnosti v edici Rozmluvy v Londýně."
"takes","take","bere","brát","impf"," The main problem of Czech theatre is that is takes itself insanely seriously, yet at the same time it is not particularly well done."," Hlavní problém českého divadla je v tom, že se bere šíleně vážně, ale přitom se dělá nepořádně."
"done","do","bere","brát","impf"," The main problem of Czech theatre is that is takes itself insanely seriously, yet at the same time it is not particularly well done."," Hlavní problém českého divadla je v tom, že se bere šíleně vážně, ale přitom se dělá nepořádně."
"takes","take","dělá","dělat","impf"," The main problem of Czech theatre is that is takes itself insanely seriously, yet at the same time it is not particularly well done."," Hlavní problém českého divadla je v tom, že se bere šíleně vážně, ale přitom se dělá nepořádně."
"done","do","dělá","dělat","impf"," The main problem of Czech theatre is that is takes itself insanely seriously, yet at the same time it is not particularly well done."," Hlavní problém českého divadla je v tom, že se bere šíleně vážně, ale přitom se dělá nepořádně."
"mean","mean","Nemyslím","myslet","impf"," I do n't mean that today 's small theatres are not doing a good job; on the contrary, their performances are sometimes polished and honed to the precision of calligraphy."," Nemyslím si, že dnešní malá divadla jsou dělána nepořádně, naopak : jejich představení jsou někdy až kaligraficky vycizelovaná."
"do","do","dělána","dělat","impf"," I do n't mean that today 's small theatres are not doing a good job; on the contrary, their performances are sometimes polished and honed to the precision of calligraphy."," Nemyslím si, že dnešní malá divadla jsou dělána nepořádně, naopak : jejich představení jsou někdy až kaligraficky vycizelovaná."
"doing","do","dělána","dělat","impf"," I do n't mean that today 's small theatres are not doing a good job; on the contrary, their performances are sometimes polished and honed to the precision of calligraphy."," Nemyslím si, že dnešní malá divadla jsou dělána nepořádně, naopak : jejich představení jsou někdy až kaligraficky vycizelovaná."
"take","take","berou","brát","impf"," But for my taste, they sometimes take themselves too seriously."," Na můj vkus se však občas berou příliš vážně."
"see","see","nevidím","vidět","impf"," Frankly, I do n't see that that is the main problem."," Já, mám - li být upřímný, v tomhle hlavní problém nevidím."
"write","write","psal","psát","impf"," I 've always taken a long time to write plays; I write slowly and with great difficulty."," Hry jsem psal vždycky dlouho a těžce;"
"write","write","psal","psát","impf"," I 've always taken a long time to write plays; I write slowly and with great difficulty."," Hry jsem psal vždycky dlouho a těžce;"
"believed","believe","věřil","věřit","impf"," For example, he believed every word of the Warren Commission report on Kennedy 's death."," Doposledka například věřil Warrenově komisi punkto Kennedyho smrti."
"thought","think","Zdálo","zdát","impf"," I felt he was no longer capable of analyzing any of it, and that he thought of it all as an incomprehensible anomaly."," Zdálo se mi, že tohle všechno věcně analyzovat už schopen není, považovat to za nějakou nepochopitelnou anomálii."
"analyzing","analyze","analyzovat","analyzovat","impf"," I felt he was no longer capable of analyzing any of it, and that he thought of it all as an incomprehensible anomaly."," Zdálo se mi, že tohle všechno věcně analyzovat už schopen není, považovat to za nějakou nepochopitelnou anomálii."
"thought","think","považovat","považovat","impf"," I felt he was no longer capable of analyzing any of it, and that he thought of it all as an incomprehensible anomaly."," Zdálo se mi, že tohle všechno věcně analyzovat už schopen není, považovat to za nějakou nepochopitelnou anomálii."
"did","do","nebralo","brát","impf"," No matter how the performance turned out, one thing was certain : it was full of the joy of performance, there was freedom, pure humor, and intelligence in it; it did n't take itself too seriously, and people were delighted."," Ať už to představení jako takové bylo jakékoliv, jedno bylo jisté : byla v něm radost ze hry, svoboda, čistý humor, inteligence, nebralo se příliš vážně a lidé byli nadšeni."
"take","take","nebralo","brát","impf"," No matter how the performance turned out, one thing was certain : it was full of the joy of performance, there was freedom, pure humor, and intelligence in it; it did n't take itself too seriously, and people were delighted."," Ať už to představení jako takové bylo jakékoliv, jedno bylo jisté : byla v něm radost ze hry, svoboda, čistý humor, inteligence, nebralo se příliš vážně a lidé byli nadšeni."
"born","bear","Zrodilo","zrodit","pf"," In short, something new and unprecedented was born."," Zrodilo se tu zkrátka něco nového, něco, co nemělo tehdy obdobu."
"born","bear","nemělo","mít","impf"," In short, something new and unprecedented was born."," Zrodilo se tu zkrátka něco nového, něco, co nemělo tehdy obdobu."
"invited","invite","vyzval","vyzvat","pf"," The magazine Kultura 60 invited me to write something about the small Prague theatres."," Časopis Kultura 60 mne vyzval, abych něco napsal o malých pražských divadlech."
"write","write","napsal","napsat","pf"," The magazine Kultura 60 invited me to write something about the small Prague theatres."," Časopis Kultura 60 mne vyzval, abych něco napsal o malých pražských divadlech."
"disappeared","disappear","zmizely","zmizet","pf"," Psychologically detailed types, characters represented in the kind of relationships they would allegedly find themselves in real life, disappeared from the stage."," Z jeviště zmizely psychologicky rozkreslené typy, toužící tam být zastoupeny v takovém vzájemném poměru, v jakém jsou údajně zastoupeny v životě."
"represented","represent","zastoupeny","zastoupit","pf"," Psychologically detailed types, characters represented in the kind of relationships they would allegedly find themselves in real life, disappeared from the stage."," Z jeviště zmizely psychologicky rozkreslené typy, toužící tam být zastoupeny v takovém vzájemném poměru, v jakém jsou údajně zastoupeny v životě."
"represented","represent","zastoupeny","zastoupit","pf"," Psychologically detailed types, characters represented in the kind of relationships they would allegedly find themselves in real life, disappeared from the stage."," Z jeviště zmizely psychologicky rozkreslené typy, toužící tam být zastoupeny v takovém vzájemném poměru, v jakém jsou údajně zastoupeny v životě."
"sign","sign","nepodepsal","podepsat","pf"," ( By the way, I do n't think any Chartist would sign such a petition today, because of its compromising tone. )"," ( Mimo jiné : dnes by pravděpodobně žádný chartista takovou petici nepodepsal pro její kompromisní tón. )"
"brings","bring","přivedla","přivést","pf"," His fixation on the cliché brings him back to himself, as the cliché 's highest embodiment."," Jeho orientace k frázi ho přivedla k sobě samému jako jejímu nejlepšímu ztělesnění."
"visiting","visit","Navštíviv","navštívit","pf"," In the act of visiting himself, he definitively loses himself."," Navštíviv sám sebe, sám sebe definitivně ztratil."
"loses","lose","ztratil","ztratit","pf"," In the act of visiting himself, he definitively loses himself."," Navštíviv sám sebe, sám sebe definitivně ztratil."
"take","take","vedeny","vést","impf"," They do n't have a lot of sympathy for acts which can only be evaluated years after they take place, which are motivated by moral factors, and which therefore run the risk of never accomplishing anything."," Nemají valné porozumění pro činy, které se zhodnocují až po letech a které jsou vedeny pohnutkami mravními a zakalkulovávají tudíž i riziko, že se nikdy v nic nezhodnotí."
"run","run","vedeny","vést","impf"," They do n't have a lot of sympathy for acts which can only be evaluated years after they take place, which are motivated by moral factors, and which therefore run the risk of never accomplishing anything."," Nemají valné porozumění pro činy, které se zhodnocují až po letech a které jsou vedeny pohnutkami mravními a zakalkulovávají tudíž i riziko, že se nikdy v nic nezhodnotí."
"evaluated","evaluate","nezhodnotí","zhodnotit","pf"," They do n't have a lot of sympathy for acts which can only be evaluated years after they take place, which are motivated by moral factors, and which therefore run the risk of never accomplishing anything."," Nemají valné porozumění pro činy, které se zhodnocují až po letech a které jsou vedeny pohnutkami mravními a zakalkulovávají tudíž i riziko, že se nikdy v nic nezhodnotí."
"believe","believe","nemyslím","myslet","impf"," At the same time, I do n't believe that we can wave a magic wand and dispose of these problems by ' a change of ownership, or that all we need do to remedy the situation is bring back capitalism."," Přesto si nemyslím, že změna vlastníka může jako mávnutím proutku toto všechno odstranit a že by k nápravě tedy stačilo obnovit prostě u nás kapitalismus."
"dispose","dispose","odstranit","odstranit","pf"," At the same time, I do n't believe that we can wave a magic wand and dispose of these problems by ' a change of ownership, or that all we need do to remedy the situation is bring back capitalism."," Přesto si nemyslím, že změna vlastníka může jako mávnutím proutku toto všechno odstranit a že by k nápravě tedy stačilo obnovit prostě u nás kapitalismus."
"tells","tell","řekne","říci","pf"," And what if he tells you that it 's all the same to him who gave him life, it 's he who has to live it, and not the one who gave it to him."," A co když vám řekne, že mu je jedno, kdo mu dal život, když ho musí žít on a ne ten, kdo mu ho dal?"
"gave","give","dal","dát","pf"," And what if he tells you that it 's all the same to him who gave him life, it 's he who has to live it, and not the one who gave it to him."," A co když vám řekne, že mu je jedno, kdo mu dal život, když ho musí žít on a ne ten, kdo mu ho dal?"
"gave","give","dal","dát","pf"," And what if he tells you that it 's all the same to him who gave him life, it 's he who has to live it, and not the one who gave it to him."," A co když vám řekne, že mu je jedno, kdo mu dal život, když ho musí žít on a ne ten, kdo mu ho dal?"
"gave","give","dal","dát","pf"," And what if he tells you that it 's all the same to him who gave him life, it 's he who has to live it, and not the one who gave it to him."," A co když vám řekne, že mu je jedno, kdo mu dal život, když ho musí žít on a ne ten, kdo mu ho dal?"
