"trying","try","pokusila","pokusit","pf"," By that time, all three were trying to catch it and help me out by lightening the load."," Na tomto místě se medvíďata pokusila ocas chytit a odlehčit mi tak od nákladu."
"going","go","půjde","jít","impf"," I kept going to see if I could get him to move with me and her to follow."," Šel jsem pořád dál, abych zjistil, zda MH půjde se mnou a MD nás bude přece jen následovat."
"follow","follow","následovat","následovat","impf"," I kept going to see if I could get him to move with me and her to follow."," Šel jsem pořád dál, abych zjistil, zda MH půjde se mnou a MD nás bude přece jen následovat."
"beginning","begin","Začínal","začínat","impf"," I was beginning to realize that devising a plan to keep these cubs out of trouble was going to be no easy task, for methods that made plain sense to me meant nothing to them."," Začínal jsem si uvědomovat, že vymyslet plán, který by ušetřil medvíďata nepříjemností je dost složitý úkol, protože metody, které jsem považoval za účinné, na ně vůbec neplatily."
"devising","devise","vymyslet","vymyslet","pf"," I was beginning to realize that devising a plan to keep these cubs out of trouble was going to be no easy task, for methods that made plain sense to me meant nothing to them."," Začínal jsem si uvědomovat, že vymyslet plán, který by ušetřil medvíďata nepříjemností je dost složitý úkol, protože metody, které jsem považoval za účinné, na ně vůbec neplatily."
"Raising","raise","Vychovat","vychovat","pf"," Raising the cubs up to denning time had been relatively easy;"," Vychovat je k přezimování nedalo zas tak moc práce;"
"left","leave","neopouštěla","opouštět","impf"," they never left their own little home range."," nikdy neopouštěla své malé domácí působiště."
"arrived","arrive","přišli","přijít","pf"," She was downhill from us at the base of her baby-sitting tree when we arrived."," Když jsme přišli, medvědice stála ve svahu pod námi u stromu, kde opatrovala medvíďata."
"got","get","pochopil","pochopit","pf"," He quickly got her message and said,"," Ten okamžitě pochopil, co mu chtěla sdělit a vyhrkl :"
"think","think","mám","mít","impf"," "" Ben, I think we should leave. """," "" Bene, mám dojem, že bychom měli odejít. """
"think","think","měli","mít","impf"," "" Ben, I think we should leave. """," "" Bene, mám dojem, že bychom měli odejít. """
"leave","leave","odejít","odejít","pf"," "" Ben, I think we should leave. """," "" Bene, mám dojem, že bychom měli odejít. """
"left","leave","nechali","nechat","pf"," I got between Squirty and Mark, and we left her alone."," Postavil jsem se mezi Drobnou a Marka a nechali jsem ji o samotě."
"observed","observe","pozoroval","pozorovat","impf"," I have observed cubs locate mark trees, bed sites, and feeding areas many times in this manner."," pozoroval jsem, že medvíďata tímto způsobem mnohdy objevila značkovací stromy, medvědí lože a místa, kde je k mání dostatek stravy."
"observed","observe","objevila","objevit","pf"," I have observed cubs locate mark trees, bed sites, and feeding areas many times in this manner."," pozoroval jsem, že medvíďata tímto způsobem mnohdy objevila značkovací stromy, medvědí lože a místa, kde je k mání dostatek stravy."
"locate","locate","objevila","objevit","pf"," I have observed cubs locate mark trees, bed sites, and feeding areas many times in this manner."," pozoroval jsem, že medvíďata tímto způsobem mnohdy objevila značkovací stromy, medvědí lože a místa, kde je k mání dostatek stravy."
"went","go","jede","jet","impf"," Later that afternoon, Phoebe went back with bottles and food."," Squirty mi prohlédla kapsy a pak vyšplhala k horní polici, aby se přesvědčila, že tam nahoře není ukryto žádné jídlo. bylo jasné, že jejich metabolismus jede stále ´na plné obrátky´. Před večerem se dostavila Phoebe s lahvemi a jídlem."
"started","start","začala","začít","pf"," But eventually they started to slow down."," Nakonec však medvíďata přece jen začala zvolna ztrácet elán."
"following","follow","Poslechni","poslechnout","pf"," "" You know, Ed, this is an awful sloppy track. I think we 're following two bears. """," "" Poslechni, Ede, tohle je ale zatraceně rozbředlá stopa, já bych řekl, že sledujeme dva medvědy. """
"following","follow","sledujeme","sledovat","impf"," "" You know, Ed, this is an awful sloppy track. I think we 're following two bears. """," "" Poslechni, Ede, tohle je ale zatraceně rozbředlá stopa, já bych řekl, že sledujeme dva medvědy. """
"walking","walk","jdou","jít","impf"," "" If there are, they 're walking step for step in the same tracks. """," "" A jestli jsou vážně dva, pak jdou krok za krokem ve stejných šlépějích. """
"started","start","začínal","začínat","impf"," they were neither malnourished nor abandoned, so already I was ahead of where I had started with LB and LG."," nebyla podvyživená ani opuštěná, takže jsem měl vlastně tak trochu náskok a lepší ´startovací´ podmínky, než když jsem začínal s MH a MD."
"come","come","nešlo","jít","impf"," And not with how much Debbie and Phoebe had come to love the bears that were now in our lives to stay. The days of "" my "" bears were gone."," Navíc se Debbie s Phoebe do tří malých svěřenců, kteří nám vpadli do života, zamilovaly natolik, že ani dost dobře nešlo zajistit, abych se o ně staral výhradně já sám."
"gone","go","nešlo","jít","impf"," And not with how much Debbie and Phoebe had come to love the bears that were now in our lives to stay. The days of "" my "" bears were gone."," Navíc se Debbie s Phoebe do tří malých svěřenců, kteří nám vpadli do života, zamilovaly natolik, že ani dost dobře nešlo zajistit, abych se o ně staral výhradně já sám."
"jumping","jump","skočila","skočit","pf"," She got very excited and bit and chewed several of them, then kept soliciting more of my breath and jumping at my face."," Zatvářila se překvapeně a pár jich rozkousala a rozžvýkala, pak se znova domáhala přičichnout k mému dechu, načež mi skočila do obličeje."
"started","start","začali","začít","pf"," After that, they both started searching for more."," Po této příhodě začali oba slídit po dalších bukových pupenech."
"got","get","dostat","dostat","pf"," When he got to the base of the ledge below the nest, he found the young raven with a dislocated leg and a broken tail, lying with another nestling that had n't survived the fall."," Když se mu podařilo dostat se na místo, našel mladého krkavce s vymknutou nohou a zlomeným ocasem, ležel mezi dalšími holátky, která pád nepřežila."
"found","find","našel","najít","pf"," When he got to the base of the ledge below the nest, he found the young raven with a dislocated leg and a broken tail, lying with another nestling that had n't survived the fall."," Když se mu podařilo dostat se na místo, našel mladého krkavce s vymknutou nohou a zlomeným ocasem, ležel mezi dalšími holátky, která pád nepřežila."
"lying","lie","ležel","ležet","impf"," When he got to the base of the ledge below the nest, he found the young raven with a dislocated leg and a broken tail, lying with another nestling that had n't survived the fall."," Když se mu podařilo dostat se na místo, našel mladého krkavce s vymknutou nohou a zlomeným ocasem, ležel mezi dalšími holátky, která pád nepřežila."
"survived","survive","nepřežila","přežít","pf"," When he got to the base of the ledge below the nest, he found the young raven with a dislocated leg and a broken tail, lying with another nestling that had n't survived the fall."," Když se mu podařilo dostat se na místo, našel mladého krkavce s vymknutou nohou a zlomeným ocasem, ležel mezi dalšími holátky, která pád nepřežila."
"rescued","rescue","zachránil","zachránit","pf"," My father then rescued the surviving bird, named it Raveny, and proceeded to rehabilitate it."," Otec zraněné pískle zachránil, pojmenoval je Raveny ( Krkavčík ) a začal se o ně starat a léčit je."
"named","name","pojmenoval","pojmenovat","pf"," My father then rescued the surviving bird, named it Raveny, and proceeded to rehabilitate it."," Otec zraněné pískle zachránil, pojmenoval je Raveny ( Krkavčík ) a začal se o ně starat a léčit je."
"took","take","Vzal","vzít","pf"," I took home a sample of each and planted them in Debbie 's flower pots in the kitchen, then waited for them to sprout so I could tell what they were."," Vzal jsem od každého druhu po jedné domů a zasadil do květináčů, které má Debbie v kuchyni."
"planted","plant","zasadil","zasadit","pf"," I took home a sample of each and planted them in Debbie 's flower pots in the kitchen, then waited for them to sprout so I could tell what they were."," Vzal jsem od každého druhu po jedné domů a zasadil do květináčů, které má Debbie v kuchyni."
"sold","sell","prodává","prodávat","impf"," A pungent, musky, urinelike odor dominated the area, similar to the doe-in-heat buck lure sold to deer hunters."," Při zemi se táhl pronikavý pižmový zápach podobný zápachu moči, připomínající vůni vábidla, jaké se prodává lovcům jelenců."
"continued","continue","pokračoval","pokračovat","impf"," In a normal year, Frosty continued, sows with cubs can usually have their collars changed without disrupting the family, but 1992 had not been a normal year."," Za běžného roku, pokračoval Zmrzlík, se daří vyměnit medvědicím límce aniž by došlo k narušení rodiny, potíž je ale v tom, že rok 1992 není běžným rokem."
"changed","change","vyměnit","vyměnit","pf"," In a normal year, Frosty continued, sows with cubs can usually have their collars changed without disrupting the family, but 1992 had not been a normal year."," Za běžného roku, pokračoval Zmrzlík, se daří vyměnit medvědicím límce aniž by došlo k narušení rodiny, potíž je ale v tom, že rok 1992 není běžným rokem."
"encounter","encounter","narazili","narazit","pf"," A wild bear that we might encounter would need a reason to attack us that was compelling enough for it to risk its own security."," Jestliže bychom narazili na divokého medvěda, pak by na nás zaútočil jen z mimořádně závažného důvodu, kvůli kterému by byl ochoten riskovat vlastní bezpečnost."
"attack","attack","zaútočil","zaútočit","pf"," A wild bear that we might encounter would need a reason to attack us that was compelling enough for it to risk its own security."," Jestliže bychom narazili na divokého medvěda, pak by na nás zaútočil jen z mimořádně závažného důvodu, kvůli kterému by byl ochoten riskovat vlastní bezpečnost."
"leave","leave","nechával","nechávat","impf"," At the end of a long walk, I would leave them behind to an evening chorus of New England birds in the spring : woodcock "" peenting "" in their mating flights in the pond clearing;"," Na závěr dlouhé procházky jsem je nechával pozadu, aby si vychutnali jarní chór ptactva Nové Anglie : "" tepání "" sluk lesních v pářícím souboji nad hladinou rybníka;"
"get","get","získávají","získávat","impf"," parents get over their fears as newness wears off and experience takes its place."," s vývojem prvorozeného potomka získávají rodiče zkušenosti, díky kterým pak při dalších dětech vědí, co a jak a odkládají zbytečné obavy."
"returned","return","vrátil","vrátit","pf"," When I returned the next morning, I found the cage empty."," Když jsem se příštího rána vrátil, našel jsem klec prázdnou."
"found","find","našel","najít","pf"," When I returned the next morning, I found the cage empty."," Když jsem se příštího rána vrátil, našel jsem klec prázdnou."
"undo","undo","uvolnit","uvolnit","pf"," The cubs had managed to undo both latches and pull the door inward, three coordinated movements that facilitated their escape."," Medvídkům se povedlo uvolnit obě západky a otevřít dveře dovnitř, zvládli tedy tři pohyby, které jim dopomohly k úniku."
"undo","undo","otevřít","otevřít","pf"," The cubs had managed to undo both latches and pull the door inward, three coordinated movements that facilitated their escape."," Medvídkům se povedlo uvolnit obě západky a otevřít dveře dovnitř, zvládli tedy tři pohyby, které jim dopomohly k úniku."
"managed","manage","zvládli","zvládnout","pf"," The cubs had managed to undo both latches and pull the door inward, three coordinated movements that facilitated their escape."," Medvídkům se povedlo uvolnit obě západky a otevřít dveře dovnitř, zvládli tedy tři pohyby, které jim dopomohly k úniku."
"exhibiting","exhibit","Předvedli","předvést","pf"," The cubs were exhibiting not only mechanical abilities but also a thought process by which they sorted out a relatively complex sequence of events."," Docela mne tím kouskem ´odrovnali´. Předvedli nejen mechanické schopnosti, ale i myšlenkový postup potřebný k vyřešení poměrně složité řady po sobě jdoucích úkonů."
"checking","check","zkoumal","zkoumat","impf"," The Boy pretty much went with the flow, checking out the various scents between bouts of wrestling with his sisters and halfheartedly trying to get them into the mating grasp;"," Boy rád pobíhal sem a tam a zkoumal rozmanité pachy, když se ovšem právě bouřlivě nepral se sestrami a nesnažil se je jaksi váhavě nasměrovat do pářící polohy;"
"trying","try","nesnažil","snažit","impf"," The Boy pretty much went with the flow, checking out the various scents between bouts of wrestling with his sisters and halfheartedly trying to get them into the mating grasp;"," Boy rád pobíhal sem a tam a zkoumal rozmanité pachy, když se ovšem právě bouřlivě nepral se sestrami a nesnažil se je jaksi váhavě nasměrovat do pářící polohy;"
"sit","sit","sedl","sednout","pf"," after these sisterly rebuffs, he would sometimes sit and orally masturbate."," tu a tam se stávalo, že poté, co jej setry neomaleně odmítly, sedl si a prováděl orální onanii."
"showing","show","projevovat","projevovat","impf"," For their part, the girls were showing maturity, too;"," Pokud jde o děvčata, také u nich se začínala projevovat dospělost;"
"come","come","přišla","přijít","pf"," It was important to remember that these cubs had come directly to me from the den and had no experience of the world outside it, thus simplifying my analysis of their behavior."," Uvědomil jsem si jednu důležitou věc, že ke mně mláďata přišla rovnou z brlohu a neměla vůbec žádné zkušenosti s okolním světem, což usnadňovalo rozbor jejich chování."
"walk","walk","chodit","chodit","impf"," LB and LG recognized each other 's scent and did not respond with the stiff-legged walk, and all the other cubs have done the same. Bears tend to walk in their own tracks, so the more activity at one of these sights, the more pronounced the sunken footprints;"," MD a MH znali vzájemně svůj pach a nikdy na pach druhého strnulou chůzí nereagovali, a stejně tak i všechna moje další medvíďata. mají sklon chodit ve vlastních stopách, takže čím víc aktivity na jednom místě, tím víc hlubokých otisků;"
"took","take","vzal","vzít","pf"," I took them for a walk across the road to the bear tree by the beaver swamp."," Po jídle jsem je vzal přes silnici na vycházku k medvědímu stromu u bobřího močálu."
"decided","decide","rozhodla","rozhodnout","pf"," There was n't any fresh wild bear scent at this large spruce, so LG, exhausted from pacing and worrying about LB 's absence, decided that it was a good time for a nap;"," Tentokrát mí svěřenci kolem urostlé douglasky žádný čerstvý medvědí pach nezavětřili, a tak MD, unavená ze všeho toho přecházení a starostí o brášku, rozhodla, že je právě tak vhodná doba dát šlofíka;"
"explain","explain","vysvětlovalo","vysvětlovat","impf"," If LB were running, it could explain the partial signal I received."," Jestli byl MH na útěku, pak by to vysvětlovalo onen částečný signál, který jsem zachytil."
"showed","show","ukázal","ukázat","pf"," Guy knew all about LB and me, so I showed him some pictures and then left him to try to regather his hounds."," Guy o mně a o MH dobře věděl, a tak jsem mu ukázal nějaké fotografie a pak ho nechal, ať spěchá za svými psy."
"left","leave","nechal","nechat","pf"," Guy knew all about LB and me, so I showed him some pictures and then left him to try to regather his hounds."," Guy o mně a o MH dobře věděl, a tak jsem mu ukázal nějaké fotografie a pak ho nechal, ať spěchá za svými psy."
"climbed","climb","vylezl","vylézt","pf"," A couple of days later, I climbed Firescrew and was unable to get a signal in any direction."," O pár dní později jsem vylezl na Firescrew, ale nepodařilo se mi zachytit signál žádným směrem."
"determine","determine","určit","určit","pf"," With the help of those reports, photos, videos, and personal sightings, I was able to determine that in a four-by-twelve-mile swath through town he had located and demolished bird feeders at thirty-three homes."," Za pomoci těchto zpráv, fotografií, videozáznamů a osobních pozorování jsem byl schopen určit, že v pásu o rozloze čtyři krát dvanáct mil medvěd vypátral a zdemoloval ptačí krmítka u třiatřiceti domů."
"located","locate","vypátral","vypátrat","pf"," With the help of those reports, photos, videos, and personal sightings, I was able to determine that in a four-by-twelve-mile swath through town he had located and demolished bird feeders at thirty-three homes."," Za pomoci těchto zpráv, fotografií, videozáznamů a osobních pozorování jsem byl schopen určit, že v pásu o rozloze čtyři krát dvanáct mil medvěd vypátral a zdemoloval ptačí krmítka u třiatřiceti domů."
"stand","stand","postavit","postavit","pf"," It really was hard suddenly losing Houdini like that, just when he was reaching his maturity and would soon be able to stand up to the wild bears that kept driving him away."," Ztrátu Houdiniho právě teď, když stál na prahu dospělosti a zanedlouho by byl schopen statečně se postavit bok po boku volně žijícím medvědům, kteří ho dosud odháněli, jsme nesli opravdu těžce."
"push","push","odstrčit","odstrčit","pf"," I had to use my foot to push him over-a tactic I had learned in our earlier transport cage bout-and he calmed down immediately."," Abych ho dostal od dvířek, musel jsem ho odstrčit nohou - to znamená použít stejnou taktiku, jakou jsem přišel při nedávném incidentu s přepravkou - a medvídek se okamžitě stáhl."
"use","use","použít","použít","pf"," I had to use my foot to push him over-a tactic I had learned in our earlier transport cage bout-and he calmed down immediately."," Abych ho dostal od dvířek, musel jsem ho odstrčit nohou - to znamená použít stejnou taktiku, jakou jsem přišel při nedávném incidentu s přepravkou - a medvídek se okamžitě stáhl."
"see","see","sledovat","sledovat","impf"," Now with her useless collar in my hand, I could at least still see what was left of Squirty 's departing tracks, so I followed them up and over the ridgeline."," Takhle, s nepotřebným obojkem v ruce, jsem mohl jedině tak sledovat zbytky trasy, kterou Drobná odcházela."
"followed","follow","sledovat","sledovat","impf"," Now with her useless collar in my hand, I could at least still see what was left of Squirty 's departing tracks, so I followed them up and over the ridgeline."," Takhle, s nepotřebným obojkem v ruce, jsem mohl jedině tak sledovat zbytky trasy, kterou Drobná odcházela."
"left","leave","odcházela","odcházet","impf"," Now with her useless collar in my hand, I could at least still see what was left of Squirty 's departing tracks, so I followed them up and over the ridgeline."," Takhle, s nepotřebným obojkem v ruce, jsem mohl jedině tak sledovat zbytky trasy, kterou Drobná odcházela."
"departing","depart","odcházela","odcházet","impf"," Now with her useless collar in my hand, I could at least still see what was left of Squirty 's departing tracks, so I followed them up and over the ridgeline."," Takhle, s nepotřebným obojkem v ruce, jsem mohl jedině tak sledovat zbytky trasy, kterou Drobná odcházela."
"exhausted","exhaust","unaven","unavit","pf"," Once I was over the top of the ridge, not only had her tracks completely melted away, but I was exhausted from the difficult going anyway."," Jakmile jsem přešel přes hřeben, nejenže z jejích stop nezbylo nic, protože docela roztály, ale byl jsem tak unaven z vyčerpávající chůze, že bych býval stejně nebyl schopen pokračovat."
"going","go","pokračovat","pokračovat","impf"," Once I was over the top of the ridge, not only had her tracks completely melted away, but I was exhausted from the difficult going anyway."," Jakmile jsem přešel přes hřeben, nejenže z jejích stop nezbylo nic, protože docela roztály, ale byl jsem tak unaven z vyčerpávající chůze, že bych býval stejně nebyl schopen pokračovat."
"stopped","stop","přerušila","přerušit","pf"," When she stopped coming, the bags were eaten on site by coyotes and raccoons."," Jakmile přerušila docházku, na dobrotách si pochutnali kojoti a mývalové."
"find","find","nenašli","najít","pf"," We never did find the forty-nine bags she lugged off."," Oněch devětačtyřicet pytlů, které odvlekla, jsme nikdy nenašli."
"solved","solve","vyřešen","vyřešit","pf"," With that problem solved, I turned back to the Teddy and Curls saga."," Problém byl tedy vyřešen, a já se vrátil k příběhu Teddyho a Kudrlinky."
"done","do","provedl","provést","pf"," To my knowledge, no one had ever even documented the day-to-day details of raising black bear cubs, let alone actually done it the way I was doing."," Dosud jsem nevěděl o nikom, kdo by zdokumentoval každodenní podrobnosti výchovy mláďat medvěda baribala, natož aby to skutečně provedl způsobem, jaký jsem zvolil já."
"doing","do","provedl","provést","pf"," To my knowledge, no one had ever even documented the day-to-day details of raising black bear cubs, let alone actually done it the way I was doing."," Dosud jsem nevěděl o nikom, kdo by zdokumentoval každodenní podrobnosti výchovy mláďat medvěda baribala, natož aby to skutečně provedl způsobem, jaký jsem zvolil já."
"occurred","occur","nedošlo","dojít","pf"," If it had been, none of the visitations would have occurred in the first place."," Kdyby tomu tak bylo, v první řadě by nedošlo k žádným návštěvám."
"decided","decide","rozhodla","rozhodnout","pf"," Some of the cooking fat I had initially spread on the electric fence to draw the cubs ' attention to it had apparently splattered on the apple bucket, and Curls had finally decided to investigate it."," V košíku zůstal kousek tuku, kterým jsem před časem pomazal elektrické vedení, abych k němu přilákal medvídky, a malá medvědice se zjevně rozhodla, že věc prozkoumá."
"investigate","investigate","prozkoumá","prozkoumat","pf"," Some of the cooking fat I had initially spread on the electric fence to draw the cubs ' attention to it had apparently splattered on the apple bucket, and Curls had finally decided to investigate it."," V košíku zůstal kousek tuku, kterým jsem před časem pomazal elektrické vedení, abych k němu přilákal medvídky, a malá medvědice se zjevně rozhodla, že věc prozkoumá."
"set","set","usadí","usadit","pf"," Only one thing is sure : where she gets set down will be her home for the rest of her life."," Jisté je jen jedno : místo, kde se usadí, bude jejím domovem po zbytek života."
"seemed","seem","zdálo","zdát","impf"," Despite Houdini 's troubles, Yoda seemed to have the run of the area."," Navzdory Houdiniho potížím se zdálo, že Yoda si oblast osvojila."
"tells","tell","velí","velet","impf"," My experience tells me to observe the bear 's mood before it squares off its lip."," Mé zkušenosti mi velí všímat si duševního rozpoložení medvěda předtím, než takzvaně protáhne obličej a zpupně povystrčí ret."
"observe","observe","všímat","všímat","impf"," My experience tells me to observe the bear 's mood before it squares off its lip."," Mé zkušenosti mi velí všímat si duševního rozpoložení medvěda předtím, než takzvaně protáhne obličej a zpupně povystrčí ret."
"dealing","deal","Jednáte","jednat","impf"," That 's the animal you 're dealing with."," Jednáte se zvířetem."
"drove","drive","Jel","jet","impf"," I drove back there and called, then waited for him to come out."," Jel jsem zpátky, zavolal a čekal, až se MH objeví."
"called","call","zavolal","zavolat","pf"," I drove back there and called, then waited for him to come out."," Jel jsem zpátky, zavolal a čekal, až se MH objeví."
"waited","wait","čekal","čekat","impf"," I drove back there and called, then waited for him to come out."," Jel jsem zpátky, zavolal a čekal, až se MH objeví."
"caught","catch","přistižen","přistihnout","pf"," The odds LB would be caught by the dominant male were not that high, though, since the dominant male would have a large breeding territory to cover, and if the bigger bear had engaged a receptive female, he might not come by a particular mark tree for a week or more."," Vyhlídky, že MH bude přistižen některým z dominantních samců, nebyly nijak vysoké, vzhledem k tomu, že dominantní samec vlastnil rozlehlý revír, a jestliže si větší medvěd namluvil přístupnou samici, nemusel se k určitému značkovacímu stromu vrátit třeba týden."
"found","find","objevili","objevit","pf"," One day at the beginning of the month, we found a new bear tree that was being heavily used near a wallow to the west of my lot."," Jednoho dne začátkem měsíce jsme objevili nový, velmi často používaný medvědí strom, a to nedaleko bažiny na západní straně mých pozemků."
"came","come","přešla","přejít","pf"," While I wondered how this would all play out, she walked around the base of the large maple that LG had climbed and suddenly came at me."," Zatímco jsem přemítal, jak tohle dopadne, přešla kolem paty urostlého javoru, na který vyšplhala MD a zničehonic přistoupila rovnou ke mně."
"found","find","zjistil","zjistit","pf"," The next morning I found a bear had carefully opened the mink 's stomach cavity, sampled the intestines, then left the entire carcass uneaten."," Příštího rána jsem zjistil, že medvěd opatrně otevřel norkovu břišní dutinu, okusil vnitřnosti a zbylé mršiny se ani nedotkl."
"opened","open","otevřel","otevřít","pf"," The next morning I found a bear had carefully opened the mink 's stomach cavity, sampled the intestines, then left the entire carcass uneaten."," Příštího rána jsem zjistil, že medvěd opatrně otevřel norkovu břišní dutinu, okusil vnitřnosti a zbylé mršiny se ani nedotkl."
"come","come","učinil","učinit","pf"," Perhaps my most successful experiment would come a couple of years later, with a sixteen-month-old cub that came to us right out of hibernation weighing eleven-and-a-half pounds."," Snad nejúspěšnější vlastní pokus jsem učinil o pár let později, a to s šestnáctiměsíčním medvídětem vážícím pět kilogramů, které k nám přišlo právě probuzené ze zimního spánku."
"came","come","učinil","učinit","pf"," Perhaps my most successful experiment would come a couple of years later, with a sixteen-month-old cub that came to us right out of hibernation weighing eleven-and-a-half pounds."," Snad nejúspěšnější vlastní pokus jsem učinil o pár let později, a to s šestnáctiměsíčním medvídětem vážícím pět kilogramů, které k nám přišlo právě probuzené ze zimního spánku."
"come","come","přišlo","přijít","pf"," Perhaps my most successful experiment would come a couple of years later, with a sixteen-month-old cub that came to us right out of hibernation weighing eleven-and-a-half pounds."," Snad nejúspěšnější vlastní pokus jsem učinil o pár let později, a to s šestnáctiměsíčním medvídětem vážícím pět kilogramů, které k nám přišlo právě probuzené ze zimního spánku."
"came","come","přišlo","přijít","pf"," Perhaps my most successful experiment would come a couple of years later, with a sixteen-month-old cub that came to us right out of hibernation weighing eleven-and-a-half pounds."," Snad nejúspěšnější vlastní pokus jsem učinil o pár let později, a to s šestnáctiměsíčním medvídětem vážícím pět kilogramů, které k nám přišlo právě probuzené ze zimního spánku."
"fed","feed","krmili","krmit","impf"," For three weeks we fed him the best digestible foods, but he failed to thrive or gain weight."," Po tři týdny jsme ho krmili co možná nejlépe stravitelnou potravou, ale ono neprospívalo ani nepřibývalo na váze."
"thrive","thrive","neprospívalo","prospívat","impf"," For three weeks we fed him the best digestible foods, but he failed to thrive or gain weight."," Po tři týdny jsme ho krmili co možná nejlépe stravitelnou potravou, ale ono neprospívalo ani nepřibývalo na váze."
"wanted","want","chtěl","chtít","impf"," I knew they were perfectly able to take refuge in the trees, but knowing there was a large male bear in the vicinity, I wanted the cubs safely in the cage for the night."," Věděl jsem, že se dokáží znamenitě skrýt ve větvích stromů, ale při pomyšlení, že se kdesi nablízku potuluje statný medvědí samec jsem je za každou cenu chtěl mít na noc v bezpečí klece."
"looked","look","Podíval","podívat","pf"," He looked at me as if he was wondering why we were n't doing the same."," Podíval se na mne jako by se divil, proč jsme se s MD nezařídili také tak."
"wondering","wonder","divil","divit","impf"," He looked at me as if he was wondering why we were n't doing the same."," Podíval se na mne jako by se divil, proč jsme se s MD nezařídili také tak."
"overlaps","overlap","překrývá","překrývat","impf"," Deer hunting in New Hampshire overlaps the bear-hunting season for most of November, so it was n't hard for me to obtain excess carcass parts for the cubs."," Po většinu listopadu se sezóna lovu medvědů překrývá s loveckou sezónou jelenců, takže mi nečinilo žádné potíže shánět pro medvíďata přebytečné části trupů zastřelených jelenců, které lovci nevyužívají."
"created","create","vytvořila","vytvořit","pf"," The combination of sound, sight, and smell must have created quite a monster in her mind."," Kombinace zvuků, zrakových vjemů a pachů jí zřejmě zavdala podnět, aby si v duchu vytvořila obraz děsné nestvůry, která se skrývá nedaleko."
"caught","catch","nezachytil","zachytit","pf"," ( LB apparently had not caught the scent and did not react in the same way. )"," ( MH očividně žádný pach nezachytil a nereagoval tak jako sestra. )"
"took","take","dostat","dostat","pf"," It took a lot of coaxing to get LG down from the safety of her tree."," Než se mi podařilo dostat MD dolů z jejího bezpečného útočiště, musel jsem dlouho škemrat a přemlouvat ji."
"get","get","dostat","dostat","pf"," It took a lot of coaxing to get LG down from the safety of her tree."," Než se mi podařilo dostat MD dolů z jejího bezpečného útočiště, musel jsem dlouho škemrat a přemlouvat ji."
"look","look","očekávat","očekávat","impf"," Now I could look forward to the spring-and to all the springs to come after that-with genuine enthusiasm that something of real value could come from the work I had now started."," Nyní jsem mohl očekávat jaro - a všechna další jara, která přijdou po něm - s opravdovým potěšením, že z práce, kterou jsem nyní započal, vzejde cosi skutečně hodnotného."
"come","come","přijdou","přijít","pf"," Now I could look forward to the spring-and to all the springs to come after that-with genuine enthusiasm that something of real value could come from the work I had now started."," Nyní jsem mohl očekávat jaro - a všechna další jara, která přijdou po něm - s opravdovým potěšením, že z práce, kterou jsem nyní započal, vzejde cosi skutečně hodnotného."
"come","come","přijdou","přijít","pf"," Now I could look forward to the spring-and to all the springs to come after that-with genuine enthusiasm that something of real value could come from the work I had now started."," Nyní jsem mohl očekávat jaro - a všechna další jara, která přijdou po něm - s opravdovým potěšením, že z práce, kterou jsem nyní započal, vzejde cosi skutečně hodnotného."
"come","come","vzejde","vzejít","pf"," Now I could look forward to the spring-and to all the springs to come after that-with genuine enthusiasm that something of real value could come from the work I had now started."," Nyní jsem mohl očekávat jaro - a všechna další jara, která přijdou po něm - s opravdovým potěšením, že z práce, kterou jsem nyní započal, vzejde cosi skutečně hodnotného."
"come","come","vzejde","vzejít","pf"," Now I could look forward to the spring-and to all the springs to come after that-with genuine enthusiasm that something of real value could come from the work I had now started."," Nyní jsem mohl očekávat jaro - a všechna další jara, která přijdou po něm - s opravdovým potěšením, že z práce, kterou jsem nyní započal, vzejde cosi skutečně hodnotného."
"stood","stand","postavila","postavit","pf"," She stood up with her back to a tree and solicited stand-up play with me, a means to reinforce our relationship."," Pak se postavila zády ke stromu a chtěla si hrát, zřejmě abychom znovu posílili náš vzájemný vztah."
"means","mean","chtěla","chtít","impf"," She stood up with her back to a tree and solicited stand-up play with me, a means to reinforce our relationship."," Pak se postavila zády ke stromu a chtěla si hrát, zřejmě abychom znovu posílili náš vzájemný vztah."
"reinforce","reinforce","posílili","posílit","pf"," She stood up with her back to a tree and solicited stand-up play with me, a means to reinforce our relationship."," Pak se postavila zády ke stromu a chtěla si hrát, zřejmě abychom znovu posílili náš vzájemný vztah."
"crossed","cross","Přešli","přejít","pf"," We crossed to the top of my lot, where she rolled up the leaves that fell last fall and revealed old egg cases and hundreds of recently hatched insect larvae, which she then licked up."," Přešli jsme k vrcholu našeho pozemku, Drobná se válela v listí, které tu zůstalo spadané od podzimu a odkrývala stará hnízda s vajíčky a stovkami nedávno vylíhnutých hmyzích larev, které pak s chutí slízávala."
"rolled","roll","válela","válet","impf"," We crossed to the top of my lot, where she rolled up the leaves that fell last fall and revealed old egg cases and hundreds of recently hatched insect larvae, which she then licked up."," Přešli jsme k vrcholu našeho pozemku, Drobná se válela v listí, které tu zůstalo spadané od podzimu a odkrývala stará hnízda s vajíčky a stovkami nedávno vylíhnutých hmyzích larev, které pak s chutí slízávala."
"got","get","přišla","přijít","pf"," So that was how she got the worms."," Tak takhle tedy přišla k parazitům, pomyslel jsem si v duchu."
