"descended","descend","sestupoval","sestupovat","impf"," The camerlegno felt like he was floating as he descended into the Niche of the Palliums."," Když sestupoval do Palliového výklenku, měl camerlengo pocit, jako by plaval."
"visit","visit","navštívit","navštívit","pf"," It had been used by various Popes to escape to safety during sieges of the Vatican ... as well as by a few less pious Popes to secretly visit mistresses or oversee the torture of their enemies."," Řada papežů jej využila, když za obležení Vatikánu utíkali do bezpečí ... anebo když ti méně zbožní tudy odcházeli navštívit tajně milenku či přihlížet mučení svých nepřátel."
"consisted","consist","spočívala","spočívat","impf"," The map consisted of a series of carefully concealed symbolic markers placed in public locations around the city."," Mapa spočívala v několika pečlivě skrytých znameních symbolického významu, umístěných na různých veřejných místech ve městě."
"speaking","speak","říct","říci","pf"," “ In a manner of speaking, it is."," "" Skutečně se to tak dá říct."
"placed","place","uložit","uložit","pf"," He could have placed the antimatter on St. Peter 's tomb - a highly restricted locale - and then commanded his guards not to waste time searching the Vatican 's restricted areas."," To on mohl antihmotu uložit na Petrův hrob - na místo, kam téměř nikdo nemá přístup - a potom poručit příslušníkům Švýcarské gardy, aby neztráceli čas hledáním v prostorách, kam se běžně nechodí."
"commanded","command","poručit","poručit","pf"," He could have placed the antimatter on St. Peter 's tomb - a highly restricted locale - and then commanded his guards not to waste time searching the Vatican 's restricted areas."," To on mohl antihmotu uložit na Petrův hrob - na místo, kam téměř nikdo nemá přístup - a potom poručit příslušníkům Švýcarské gardy, aby neztráceli čas hledáním v prostorách, kam se běžně nechodí."
"find","find","nenajde","najít","pf"," Rocher KNEW nobody would ever find the canister."," Rocher věděl, že kanystr nikdo nenajde."
"say","say","odpovědět","odpovědět","pf"," Chinita was n't sure what to say."," Chinita nevěděla, co na to odpovědět."
"gotten","get","dostali","dostat","pf"," “ These guys could have gotten the same tip you got and are just checking it out."," "" Chlapci třeba dostali stejný tip jako ty, a teď si prostě jen ověřují, co je za tím."
"checking","check","ověřují","ověřovat","impf"," “ These guys could have gotten the same tip you got and are just checking it out."," "" Chlapci třeba dostali stejný tip jako ty, a teď si prostě jen ověřují, co je za tím."
"used","use","používali","používat","impf"," They were used by ancient scientists to distinguish between the three Galilean documents most commonly confused."," Vědci je tehdy používali k rozlišení tří Galileových knih, nejčastěji vzájemně zaměňovaných. """
"lost","lose","ztratit","ztratit","pf"," According to accounts from the select few clergy who had descended over the years, the Necropolis was a dark maze of subterranean crypts that could swallow a visitor whole if he lost his way."," Podle toho, co říkalo několik málo kněží, kterým se během řady let dostalo příležitosti tato místa navštívit, šlo o temný labyrint podzemních krypt, v niž se mohl návštěvník navždy ztratit, jestliže neznal cestu."
"wanted","want","chtělo","chtít","impf"," It was not the kind of place through which they wanted to be chasing the camerlegno."," Určitě to nebylo místo, kde by se jim chtělo camerlegna hledat."
"wanted","want","hledat","hledat","impf"," It was not the kind of place through which they wanted to be chasing the camerlegno."," Určitě to nebylo místo, kde by se jim chtělo camerlegna hledat."
"need","need","Musíme","muset","impf"," We need to leave this place."," Musíme odtud odejít."
"leave","leave","odejít","odejít","pf"," We need to leave this place."," Musíme odtud odejít."
"prayed","pray","Modlil","modlit","impf"," He prayed that the Hassassin would take care of business before pleasure."," Modlil se, aby se Hassassin věnoval nejprve svým úkolům, a teprve potom rozkoši."
"disappearing","disappear","zmizí","zmizet","pf"," He had to surface one last time before disappearing forever."," Musí se ještě jednou, naposledy vynořit, než navždy zmizí."
"looked","look","Podíval","podívat","pf"," He looked at his watch."," Podíval se na hodinky."
"tried","try","snažil","snažit","impf"," He tried to imagine, as he had so many times, that he was in an open field."," Tak jako dřív se jim snažil uniknout tím, že si začal představovat, že je na nějakém rozlehlém, otevřeném poli."
"imagine","imagine","představovat","představovat","impf"," He tried to imagine, as he had so many times, that he was in an open field."," Tak jako dřív se jim snažil uniknout tím, že si začal představovat, že je na nějakém rozlehlém, otevřeném poli."
"haunted","haunt","pronásledovala","pronásledovat","impf"," The nightmare that had haunted him since his youth came crashing back ..."," Noční můra, která ho pronásledovala už od dětství, jej přepadla znovu ..."
"thought","think","pomyslelo","pomyslet","pf"," The flowers here are like paintings, the child thought, laughing as he ran across the meadow."," Ty květy vypadají, jako kdyby je někdo namaloval, pomyslelo si dítě, když rozesmáté utíkalo přes louku."
"ran","run","utíkalo","utíkat","impf"," The flowers here are like paintings, the child thought, laughing as he ran across the meadow."," Ty květy vypadají, jako kdyby je někdo namaloval, pomyslelo si dítě, když rozesmáté utíkalo přes louku."
"sense","sense","cítí","cítit","impf"," Vittoria seemed to sense his uneasiness."," Zdálo se, že Vittoria cítí jeho rozpaky."
"loosened","loosen","uvolnil","uvolnit","pf"," Langdon flushed and loosened up."," Langdon se začervenal a sevření uvolnil."
"called","call","Říká","říkat","impf"," It 's called PRANAYAMA. ”"," Říká se tomu pránajáma. """
"bowing","bow","sklonil","sklonit","pf"," It seemed for a moment the entire world was bowing its head in unison."," Zdálo se, jako kdyby v jediné chvíli celý svět společně sklonil hlavu."
"pray","pray","modlit","modlit","impf"," Cardinal Mortati knelt to pray, and the other cardinals joined him."," Kardinál Mortati poklekl a začal se modlit, a totéž po něm udělali i ostatní kardinálové."
"lowered","lower","sklonili","sklonit","pf"," The Swiss Guard lowered their long swords and stood numb."," Vojáci Švýcarské gardy sklonili své dlouhé šavle a stáli jako zkamenělí."
"spoke","speak","nepromluvil","promluvit","pf"," No one spoke."," Nikdo nepromluvil."
"moved","move","nepohnul","pohnout","pf"," No one moved."," Nikdo se nepohnul."
"filtered","filter","pronikal","pronikat","impf"," The April moon filtered through the bay windows and played on the oriental carpets."," Dubnový měsíc pronikal arkýřovým oknem a jeho světlo se míhalo na orientálních kobercích."
"crush","crush","rozbít","rozbít","pf"," You cannot crush faith simply by removing its earthly manifestations."," Nemůžete rozbít víru pouhým odstraněním jejích pozemských projevů."
"continue","continue","pokračovat","pokračovat","impf"," The Catholic Church will continue with or without Vatican City. ”"," Katolická víra bude pokračovat s Vatikánem i bez něho. """
"Tell","tell","Řekněte","říci","pf"," Tell me, why is Vatican City a walled citadel? ”"," Řekněte mi, proč je Vatikán opevněná citadela? """
"forgot","forget","zapomněl","zapomenout","pf"," In that instant, Langdon forgot the cramped quarters, forgot his exhaustion, forgot the horrifying situation that had brought him here."," V té chvíli Langdon zapomněl na stísněný prostor, zapomněl na vlastní vyčerpání a zapomněl i na děsivé okolnosti, které ho sem přivedly."
"forgot","forget","zapomněl","zapomenout","pf"," In that instant, Langdon forgot the cramped quarters, forgot his exhaustion, forgot the horrifying situation that had brought him here."," V té chvíli Langdon zapomněl na stísněný prostor, zapomněl na vlastní vyčerpání a zapomněl i na děsivé okolnosti, které ho sem přivedly."
"forgot","forget","zapomněl","zapomenout","pf"," In that instant, Langdon forgot the cramped quarters, forgot his exhaustion, forgot the horrifying situation that had brought him here."," V té chvíli Langdon zapomněl na stísněný prostor, zapomněl na vlastní vyčerpání a zapomněl i na děsivé okolnosti, které ho sem přivedly."
"forgot","forget","zapomněl","zapomenout","pf"," In that instant, Langdon forgot the cramped quarters, forgot his exhaustion, forgot the horrifying situation that had brought him here."," V té chvíli Langdon zapomněl na stísněný prostor, zapomněl na vlastní vyčerpání a zapomněl i na děsivé okolnosti, které ho sem přivedly."
"forgot","forget","zapomněl","zapomenout","pf"," In that instant, Langdon forgot the cramped quarters, forgot his exhaustion, forgot the horrifying situation that had brought him here."," V té chvíli Langdon zapomněl na stísněný prostor, zapomněl na vlastní vyčerpání a zapomněl i na děsivé okolnosti, které ho sem přivedly."
"forgot","forget","zapomněl","zapomenout","pf"," In that instant, Langdon forgot the cramped quarters, forgot his exhaustion, forgot the horrifying situation that had brought him here."," V té chvíli Langdon zapomněl na stísněný prostor, zapomněl na vlastní vyčerpání a zapomněl i na děsivé okolnosti, které ho sem přivedly."
"forgot","forget","zapomněl","zapomenout","pf"," In that instant, Langdon forgot the cramped quarters, forgot his exhaustion, forgot the horrifying situation that had brought him here."," V té chvíli Langdon zapomněl na stísněný prostor, zapomněl na vlastní vyčerpání a zapomněl i na děsivé okolnosti, které ho sem přivedly."
"forgot","forget","zapomněl","zapomenout","pf"," In that instant, Langdon forgot the cramped quarters, forgot his exhaustion, forgot the horrifying situation that had brought him here."," V té chvíli Langdon zapomněl na stísněný prostor, zapomněl na vlastní vyčerpání a zapomněl i na děsivé okolnosti, které ho sem přivedly."
"forgot","forget","zapomněl","zapomenout","pf"," In that instant, Langdon forgot the cramped quarters, forgot his exhaustion, forgot the horrifying situation that had brought him here."," V té chvíli Langdon zapomněl na stísněný prostor, zapomněl na vlastní vyčerpání a zapomněl i na děsivé okolnosti, které ho sem přivedly."
"brought","bring","přivedly","přivést","pf"," In that instant, Langdon forgot the cramped quarters, forgot his exhaustion, forgot the horrifying situation that had brought him here."," V té chvíli Langdon zapomněl na stísněný prostor, zapomněl na vlastní vyčerpání a zapomněl i na děsivé okolnosti, které ho sem přivedly."
"seeing","see","hleděl","hledět","impf"," Close encounters with history always left Langdon numbed with reverence ... like seeing the brushstrokes on the Mona Lisa."," Při blízkých setkáních s historií zůstával Langdon často celý zkoprnělý bezmeznou úctou, jako kdyby hleděl na tahy štětce při malování obrazu Mony Lisy."
"hope","hope","doufám","doufat","impf"," “ I sure as hell hope you 're kidding. ”"," "" Stejně pořád doufám, že si jen děláš legraci. """
"hoped","hope","doufal","doufat","impf"," The internal organization of Archival Vault 10 was not as intuitive as Langdon had hoped, and the DIAGRAMMA manuscript did not appear to be located with other similar Galilean publications."," Systém, podle něhož byly uspořádány dokumenty obsažené v kóji číslo 10, nebyl tak intuitivní, jak Langdon doufal, a rukopis Diagramu se nenacházel tam, kde byly jiné podobné Galileovy spisy."
"served","serve","poslouží","posloužit","pf"," After she had served him and died doing it, he would stand on the balcony and watch the midnight Vatican fireworks."," Až mu ta žena poslouží a přitom zemře, stoupne si na balkon a bude se dívat na půlnoční vatikánský ohňostroj."
"died","die","zemře","zemřít","pf"," After she had served him and died doing it, he would stand on the balcony and watch the midnight Vatican fireworks."," Až mu ta žena poslouží a přitom zemře, stoupne si na balkon a bude se dívat na půlnoční vatikánský ohňostroj."
"watch","watch","dívat","dívat","impf"," After she had served him and died doing it, he would stand on the balcony and watch the midnight Vatican fireworks."," Až mu ta žena poslouží a přitom zemře, stoupne si na balkon a bude se dívat na půlnoční vatikánský ohňostroj."
"Leaving","leave","Nechal","nechat","pf"," Leaving his prize unconscious on the couch, the Hassassin went downstairs into a torchlit dungeon."," Nechal svou kořist ležet na pohovce a sešel po schodech dolů do podzemní kobky osvětlené pochodní."
"helped","help","pomohlo","pomoci","pf"," The sun helped dissolve the image of the empty eye socket emblazoned into his mind."," Slunce mu pomohlo vymazat obraz prázdného očního důlku, který se mu vryl do paměti."
"hurried","hurry","pospíchal","pospíchat","impf"," Langdon hurried to keep up."," Langdon pospíchal, aby mu stačil."
"asked","ask","zeptal","zeptat","pf"," “ So, ” Kohler asked."," "" Tak co, "" zeptal se Kohler."
"doubt","doubt","pochybujete","pochybovat","impf"," “ Do you still doubt the Illuminati 's involvement? ”"," "" Ještě pochybujete, že v tom mají prsty ilumináti? """
"went","go","chodili","chodit","impf"," Although the soldiers went to Mass once a week at the barracks, Carlo did not sense God 's presence in any of his fellow soldiers."," Přestože vojáci chodili jednou týdně v kasárnách na mši, u žádného z kamarádů přítomnost Boha necítil."
"sense","sense","necítil","cítit","impf"," Although the soldiers went to Mass once a week at the barracks, Carlo did not sense God 's presence in any of his fellow soldiers."," Přestože vojáci chodili jednou týdně v kasárnách na mši, u žádného z kamarádů přítomnost Boha necítil."
"see","see","zahlédla","zahlédnout","pf"," Their minds were too filled with chaos to see God."," Jejich mysl byla příliš plná zmatku, než aby zahlédla Boha."
"hated","hate","nenáviděl","nenávidět","impf"," Carlo hated his new life and wanted to go home."," Carlo toto nové prostředí nenáviděl a toužil po domově."
"wanted","want","toužil","toužit","impf"," Carlo hated his new life and wanted to go home."," Carlo toto nové prostředí nenáviděl a toužil po domově."
"understand","understand","nechápal","chápat","impf"," He had yet to understand evil."," Pořád ještě zlo nechápal."
"refused","refuse","odmítl","odmítnout","pf"," He refused to fire a gun, so the military taught him how to fly a medical helicopter."," Jelikož výcvik ve střelbě z pušky odmítl, nadřízení ho přeložili k vojenské zdravotní službě, kde se naučil pilotovat vrtulník."
"taught","teach","naučil","naučit","pf"," He refused to fire a gun, so the military taught him how to fly a medical helicopter."," Jelikož výcvik ve střelbě z pušky odmítl, nadřízení ho přeložili k vojenské zdravotní službě, kde se naučil pilotovat vrtulník."
"watched","watch","pozoroval","pozorovat","impf"," Langdon watched her, suddenly concerned."," Langdon ji pozoroval a najednou dostal strach."
"opened","open","otevřela","otevřít","pf"," Ten seconds passed before Vittoria opened her eyes."," Za deset vteřin Vittoria otevřela oči."
"believe","believe","uvěřit","uvěřit","pf"," Langdon could not believe the metamorphosis."," Langdon nemohl uvěřit té proměně."
"proven","prove","prokázal","prokázat","pf"," He had proven that beyond a doubt."," Už to prokázal nade vši pochybnost."
"imagined","imagine","představoval","představovat","impf"," As the killer walked, he imagined his ancestors smiling down on him."," Cestou si nájemný vrah představoval, jak se na něho shora usmívají jeho předkové."
"smiling","smile","usmívají","usmívat","impf"," As the killer walked, he imagined his ancestors smiling down on him."," Cestou si nájemný vrah představoval, jak se na něho shora usmívají jeho předkové."
"pointed","point","ukázal","ukázat","pf"," Langdon pointed to a hierarchy of ancient gods on the wall."," Langdon ukázal na stěnu, kde byla vyobrazena celá hierarchie antických bohů."
"sat","sit","seděl","sedět","impf"," At the top sat an old man with a white, flowing beard."," Nejvýše seděl starý muž s vlajícím bílým vousem."
"ended","end","skončila","skončit","pf"," The class ended right on cue."," Hodina skončila právě včas."
"understand","understand","Rozumím","rozumět","impf"," “ I understand."," "" Rozumím."
"call","call","Zavolám","zavolat","pf"," I will call another network."," Zavolám jiné společnosti."
"Thank","thank","Děkuji","děkovat","impf"," Thank you for your time."," Děkuji, že jste se mi věnovala."
"put","put","Položila","položit","pf"," The editor put the caller on hold and stretched her neck."," Položila sluchátko a protáhla se."
"stretched","stretch","protáhla","protáhnout","pf"," The editor put the caller on hold and stretched her neck."," Položila sluchátko a protáhla se."
"passed","pass","míjel","míjet","impf"," As Langdon moved toward the first recess, he passed the tomb of one of Italy 's Catholic kings."," Cestou k prvnímu výklenku míjel hrobku jednoho z italských katolických králů."
"seemed","seem","zdálo","zdát","impf"," A group of visitors seemed confused by this."," Jak se zdálo, divila se tomu i skupinka návštěvníků."
"think","think","myslíte","myslet","impf"," “ And you think DIAGRAMMA contained the clue?"," "" A vy si tedy myslíte, že ten Diagram by mohl obsahovat nějaké vodítko?"
"contained","contain","obsahovat","obsahovat","impf"," “ And you think DIAGRAMMA contained the clue?"," "" A vy si tedy myslíte, že ten Diagram by mohl obsahovat nějaké vodítko?"
"entered","enter","vstoupil","vstoupit","pf"," Langdon entered the third row of vaults and continued surveying the indicator tabs."," Langdon vstoupil do třetí uličky s kójemi a pokračoval v prohlížení tabulek s obsahem."
"continued","continue","pokračoval","pokračovat","impf"," Langdon entered the third row of vaults and continued surveying the indicator tabs."," Langdon vstoupil do třetí uličky s kójemi a pokračoval v prohlížení tabulek s obsahem."
"see","see","zahlédl","zahlédnout","pf"," In the moonlight, the camerlegno could see in the Pope 's wild eyes there was something he wanted to say."," V měsíčním světle zahlédl camerlengo v papežových vyděšených očích něco, co si přál, aby byl býval řekl."
"wanted","want","přál","přát","impf"," In the moonlight, the camerlegno could see in the Pope 's wild eyes there was something he wanted to say."," V měsíčním světle zahlédl camerlengo v papežových vyděšených očích něco, co si přál, aby byl býval řekl."
"say","say","řekl","říci","pf"," In the moonlight, the camerlegno could see in the Pope 's wild eyes there was something he wanted to say."," V měsíčním světle zahlédl camerlengo v papežových vyděšených očích něco, co si přál, aby byl býval řekl."
"said","say","řekl","říci","pf"," The Pope had said enough."," Papež už toho řekl dost."
"praying","pray","modlil","modlit","impf"," The cardinals ' accusing miens evaporated into aghast stares, as if every soul in the room were praying the camerlegno was wrong."," Tváře planoucí do této chvíle obžalobným hněvem zbledly plné zděšení, jako by se každý v této kapli vroucně modlil, aby camerlengova slova nebyla pravdivá."
"returning","return","vrátit","vrátit","pf"," I have notified her of her father 's death, and she is returning as we speak. ”"," Informoval jsem ji o smrti jejího otce a musí se každým okamžikem vrátit. """
"said","say","prohlásil","prohlásit","pf"," “ A formal investigation, ” Kohler said, his voice firm, "" will take place."," "" Formální vyšetřování, "" prohlásil pevným hlasem Kohler, "" samozřejmě proběhne."
"say","say","říkám","říkat","impf"," I say use your telescopes to look to the heavens, and tell me how there could NOT be a God! ”"," A já vám říkám, podívejte se svými dalekohledy do nebes a řekněte mi, proč tam nemůže být Bůh! """
"tell","tell","říkám","říkat","impf"," I say use your telescopes to look to the heavens, and tell me how there could NOT be a God! ”"," A já vám říkám, podívejte se svými dalekohledy do nebes a řekněte mi, proč tam nemůže být Bůh! """
"look","look","podívejte","podívat","pf"," I say use your telescopes to look to the heavens, and tell me how there could NOT be a God! ”"," A já vám říkám, podívejte se svými dalekohledy do nebes a řekněte mi, proč tam nemůže být Bůh! """
"say","say","řekněte","říci","pf"," I say use your telescopes to look to the heavens, and tell me how there could NOT be a God! ”"," A já vám říkám, podívejte se svými dalekohledy do nebes a řekněte mi, proč tam nemůže být Bůh! """
"tell","tell","řekněte","říci","pf"," I say use your telescopes to look to the heavens, and tell me how there could NOT be a God! ”"," A já vám říkám, podívejte se svými dalekohledy do nebes a řekněte mi, proč tam nemůže být Bůh! """
"see","see","nevidíte","vidět","impf"," Do you not see God in your science?"," Cožpak nevidíte, že Bůh je i ve vaší vědě?"
"Let","let","dovolte","dovolit","pf"," “ Let me tell you something about it."," "" Tak dovolte, abych vám o něm něco řekl."
"tell","tell","řekl","říci","pf"," “ Let me tell you something about it."," "" Tak dovolte, abych vám o něm něco řekl."
"said","say","odpověděla","odpovědět","pf"," “ Your point? ” she said coolly."," "" Takhle se na to díváte vy, "" odpověděla chladně."
"See","see","Vidíte","vidět","impf"," See what 's above it? ”"," Vidíte, co je nad tou pyramidou? """
"called","call","Nazývá","nazývat","impf"," “ It 's called the TRINACRIA."," "" Nazývá se to trinacria."
"seen","see","viděla","vidět","impf"," Have you ever seen that eye in a triangle anywhere else? ”"," Už jste to oko v trojúhelníku viděla někde jinde? """
"replied","reply","odpověděl","odpovědět","pf"," “ Yes, sir, ” Langdon replied."," "" Ano, pane, "" odpověděl Langdon."
"turned","turn","obrátil","obrátit","pf"," He turned to Vittoria."," Pak se obrátil k Vittorii."
"beg","beg","prosím","prosit","impf"," “ I beg your pardon? ”"," "" Jak, prosím? """
"permitted","permit","povoleny","povolit","pf"," “ Short pants are not permitted inside Vatican City. ”"," "" Krátké kalhoty nejsou ve Vatikánu povoleny. """
"forgotten","forget","Zapomněl","zapomenout","pf"," He had forgotten."," Zapomněl."
"feeling","feel","cítil","cítit","impf"," Langdon rocketed downward, on the edge of a billowing shroud of light, feeling like a surfer trying to outrun a thousand-foot tidal wave."," Langdon se řítil dolů v čele světelného kotouče a cítil se jako surfař pokoušející se uniknout gigantické příbojové vlně."
"falling","fall","Padal","padat","impf"," He was falling again through the dark coolness."," Padal dál, tentokrát chladnou tmou."
"slowing","slow","zpomalila","zpomalit","pf"," Despite his straining arms assuring him that the tarp was slowing his fall, the wind still tore past his body with deafening velocity."," Přestože se tahem paží snažil docílit, aby plachta jeho pád co nejvíc zpomalila, vítr kolem něj stále svištěl ohlušující rychlostí."
"does","do","Jde","jít","impf"," They are a type of matter that does not exist anywhere on earth ... hence they HAD to be created. ”"," Jde o typ hmoty, který nikde jinde na světě neexistuje, a tudíž musely být vytvořeny. """
"exist","exist","neexistuje","existovat","impf"," They are a type of matter that does not exist anywhere on earth ... hence they HAD to be created. ”"," Jde o typ hmoty, který nikde jinde na světě neexistuje, a tudíž musely být vytvořeny. """
"created","create","vytvořeny","vytvořit","pf"," They are a type of matter that does not exist anywhere on earth ... hence they HAD to be created. ”"," Jde o typ hmoty, který nikde jinde na světě neexistuje, a tudíž musely být vytvořeny. """
"mean","mean","míníte","mínit","impf"," “ Vittoria, what do you mean a certain TYPE of matter?"," "" Vittorie, co míníte tím určitým typem hmoty?"
"lectured","lecture","přednášel","přednášet","impf"," “ You 've lectured on it yourself, director."," "" Vždyť jste o tom sám přednášel, pane řediteli."
"contains","contain","obsahuje","obsahovat","impf"," The universe contains TWO kinds of matter."," Vesmír obsahuje dva druhy hmoty."
"turned","turn","otočila","otočit","pf"," Vittoria turned to Langdon."," Vittoria se otočila k Langdonovi."
"asked","ask","požadovala","požadovat","impf"," The church recorded the benchmarks of her life - funerals, weddings, baptisms, holidays - and it asked for nothing in return."," Církev provázela významné mezníky jejího života - pohřby, svatby, křtiny, svátky - aniž za to něco požadovala."
"helping","help","pomáhat","pomáhat","impf"," Her children emerged from Sunday School every week uplifted, filled with ideas about helping others and being kinder."," Její děti se každý týden vracely z nedělní školy mravně povznesené, plné odhodlání pomáhat jiným a chovat se laskavěji."
"ceased","cease","Nepřestávala","přestávat","impf"," It never ceased to amaze her that so many of CERN 's so-called “ brilliant minds ” failed to comprehend the importance of the church."," Nepřestávala se divit tomu, že tolik takzvaných "" vynikajících mozků "" v CERNu nechápe důležitost církve."
"comprehend","comprehend","nechápe","chápat","impf"," It never ceased to amaze her that so many of CERN 's so-called “ brilliant minds ” failed to comprehend the importance of the church."," Nepřestávala se divit tomu, že tolik takzvaných "" vynikajících mozků "" v CERNu nechápe důležitost církve."
"believe","believe","věří","věřit","impf"," Did they really believe quarks and mesons inspired the average human being?"," Cožpak skutečně věří že kvarky a mezony běžného člověka nějak inspirují?"
"need","need","Potřebuji","potřebovat","impf"," “ I need a city map."," "" Potřebuji plán města."
"sent","send","poslal","poslat","pf"," The chief sent someone running out to the fire truck for a map."," Velitel pro něj poslal jednoho ze svých mužů do auta."
"turned","turn","otočil","otočit","pf"," Langdon turned back to the statue."," Langdon se otočil zpátky k sousoší."
"started","start","začalo","začít","pf"," Conclave started an hour ago."," Konkláve začalo už před hodinou."
"hear","hear","neslyšel","slyšet","impf"," Glick did not seem to hear."," Zdálo se, že ji Glick vůbec neslyšel."
"hear","hear","neslyšela","slyšet","impf"," “ Ms. Vetra, in case you did n't hear me, papal autopsies are prohibited by Vatican Law."," "" Paní Vetrová, jestli jste mě neslyšela, tak opakuji ještě jednou, že vatikánské zákony pitvu zakazují."
"prohibited","prohibit","zakazují","zakazovat","impf"," “ Ms. Vetra, in case you did n't hear me, papal autopsies are prohibited by Vatican Law."," "" Paní Vetrová, jestli jste mě neslyšela, tak opakuji ještě jednou, že vatikánské zákony pitvu zakazují."
"makes","make","dělá","dělat","impf"," We are not about to defile His Holiness 's body by cutting him open just because an enemy makes a taunting claim! ”"," Nehodláme znesvětit tělo Jeho Svatosti tím, že je necháme otevřít a rozřezat jenom kvůli tomu, že si z nás nepřítel svým tvrzením dělá blázny! """
"felt","feel","cítila","cítit","impf"," Vittoria felt shamed."," Vittoria se cítila nespravedlivě zahanbená."
"seem","seem","zdát","zdát","impf"," She had not meant to seem disrespectful."," Vůbec ji nenapadlo, že by se někomu mohla zdát neuctivá."
"suggesting","suggest","nenavrhovala","navrhovat","impf"," “ I certainly was not suggesting you exhume the Pope ... ”"," "" Já jsem přece vůbec nenavrhovala exhumaci papežova těla ... """
"hesitated","hesitate","zaváhala","zaváhat","pf"," She hesitated, though."," Přesto však zaváhala."
"felt","feel","ucítil","ucítit","pf"," Then Langdon felt someone going through his pockets, removing items."," Potom ucítil, že mu někdo prohledává kapsy a něco z nich vytahuje."
"pulled","pull","vytáhli","vytáhnout","pf"," Dr. Jacobus felt the pulse of the bedraggled man they had just pulled from the Tiber River."," Doktor Jacobus hmatal pulz pohmožděného muže, kterého právě vytáhli z Tibery."
"ached","ache","bolelo","bolet","impf"," His body ached everywhere."," Celé tělo ho bolelo."
"gave","give","Podali","podat","pf"," They gave him some water, and he rinsed out his mouth."," Podali mu jakousi tekutinu, aby si vypláchl ústa."
"wearing","wear","měl","mít","impf"," He was wearing a paper robe."," Na sobě měl totiž jen papírovou noční košili."
"recognized","recognize","rozeznal","rozeznat","pf"," Max recognized it as one of the doctors ... the one who had sat in the corner for two days, never leaving, begging Max 's parents to let him administer some new drug from England."," Max rozeznal jednoho z těch doktorů ... toho, co celé dva dny seděl v koutě, nikam neodešel a neustále na jeho rodiče naléhal, aby mu dovolili použít nový lék dovezený z Anglie."
"sat","sit","seděl","sedět","impf"," Max recognized it as one of the doctors ... the one who had sat in the corner for two days, never leaving, begging Max 's parents to let him administer some new drug from England."," Max rozeznal jednoho z těch doktorů ... toho, co celé dva dny seděl v koutě, nikam neodešel a neustále na jeho rodiče naléhal, aby mu dovolili použít nový lék dovezený z Anglie."
"leaving","leave","neodešel","odejít","pf"," Max recognized it as one of the doctors ... the one who had sat in the corner for two days, never leaving, begging Max 's parents to let him administer some new drug from England."," Max rozeznal jednoho z těch doktorů ... toho, co celé dva dny seděl v koutě, nikam neodešel a neustále na jeho rodiče naléhal, aby mu dovolili použít nový lék dovezený z Anglie."
"leaving","leave","dovolili","dovolit","pf"," Max recognized it as one of the doctors ... the one who had sat in the corner for two days, never leaving, begging Max 's parents to let him administer some new drug from England."," Max rozeznal jednoho z těch doktorů ... toho, co celé dva dny seděl v koutě, nikam neodešel a neustále na jeho rodiče naléhal, aby mu dovolili použít nový lék dovezený z Anglie."
"let","let","dovolili","dovolit","pf"," Max recognized it as one of the doctors ... the one who had sat in the corner for two days, never leaving, begging Max 's parents to let him administer some new drug from England."," Max rozeznal jednoho z těch doktorů ... toho, co celé dva dny seděl v koutě, nikam neodešel a neustále na jeho rodiče naléhal, aby mu dovolili použít nový lék dovezený z Anglie."
"do","do","neudělal","udělat","pf"," “ I will never forgive myself, ” the doctor whispered, “ if I do not do this. ”"," "" Nikdy bych si neodpustil, kdybych to neudělal, "" šeptal."
"do","do","neudělal","udělat","pf"," “ I will never forgive myself, ” the doctor whispered, “ if I do not do this. ”"," "" Nikdy bych si neodpustil, kdybych to neudělal, "" šeptal."
"whispered","whisper","šeptal","šeptat","impf"," “ I will never forgive myself, ” the doctor whispered, “ if I do not do this. ”"," "" Nikdy bych si neodpustil, kdybych to neudělal, "" šeptal."
"took","take","uchopil","uchopit","pf"," Then the doctor gently took Max 's frail arm."," Potom opatrně uchopil Maxovu ochablou paži."
"done","do","neudělal","udělat","pf"," “ I wish I had done it sooner. ”"," "" Škoda, že jsem to neudělal už dřív. """
"felt","feel","ucítil","ucítit","pf"," Max felt a tiny prick in his arm - barely discernible through the pain."," Max ucítil slabé píchnutí, v tom moři bolestí jen sotva znatelné."
"covered","cover","pokryta","pokrýt","pf"," As was the custom, all of the chapel 's windows had been covered in black velvet in the name of secrecy."," Jak bylo zvykem, všechna okna kaple byla v zájmu utajení pokryta černým sametem."
"ensured","ensure","zajistilo","zajistit","pf"," This ensured that no one on the inside could send signals or communicate in any way with the outside world."," Tím se zajistilo, aby nikdo nemohl zevnitř posílat ven signály nebo jakkoli jinak komunikovat s vnějším světem."
"send","send","posílat","posílat","impf"," This ensured that no one on the inside could send signals or communicate in any way with the outside world."," Tím se zajistilo, aby nikdo nemohl zevnitř posílat ven signály nebo jakkoli jinak komunikovat s vnějším světem."
"communicate","communicate","komunikovat","komunikovat","impf"," This ensured that no one on the inside could send signals or communicate in any way with the outside world."," Tím se zajistilo, aby nikdo nemohl zevnitř posílat ven signály nebo jakkoli jinak komunikovat s vnějším světem."
"vanishing","vanish","mizely","mizet","impf"," The flashlight procession moved on, and the papal silhouettes rose and fell against the walls, stretching and vanishing in a macabre shadowbox dance."," Jako v nějakém strašidelném tanci smrti se v klouzavých paprscích svítilen vynořovaly a zase mizely siluety papežů."
"sensed","sense","cítila","cítit","impf"," She sensed both."," Sama cítila obojí."
