"talking","talk","mluví","mluvit","impf"," The crowd hadn ’ t the faintest idea what he was talking about, but they loved it nevertheless."," Schůzovníci netušili, o čem mluví, ale stejně se jim to líbilo."
"wanted","want","chcete","chtít","impf"," There was nothing it couldn ’ t do, provided you knew exactly how improbable it was that the thing you wanted it to do would ever happen."," Dokázala úplně všechno, stačilo jen přesně vědět, jak nepravděpodobné je to, co právě chcete."
"stolen","steal","ukradl","ukrást","pf"," He had stolen it when, as President, he was meant to be launching it."," Zafod ukradl loď v okamžiku, kdy ji měl jakožto prezident Galaxie slavnostně vypustit."
"launching","launch","vypustit","vypustit","pf"," He had stolen it when, as President, he was meant to be launching it."," Zafod ukradl loď v okamžiku, kdy ji měl jakožto prezident Galaxie slavnostně vypustit."
"stolen","steal","ukradl","ukrást","pf"," He didn ’ t know exactly why he had stolen it, except that he liked it."," Nevěděl přesně, proč ji ukradl, až na to, že se mu líbila."
"liked","like","líbila","líbit","impf"," He didn ’ t know exactly why he had stolen it, except that he liked it."," Nevěděl přesně, proč ji ukradl, až na to, že se mu líbila."
"looking","look","hleděli","hledět","impf"," They were looking sadly at one of the natives morosely pushing the other letters around."," Smutně hleděli na jednoho z domorodců, jak zamračeně postrkuje zbývající písmena."
"said","say","řekl","říci","pf"," “ Poor bloody caveman, ” said Arthur."," "" Chudák zatracená jeskynní, "" řekl Arthur."
"talk","talk","Mluvíte","mluvit","impf"," “ Do you talk at all? ” said Mella to Arthur."," "" Mluvíte taky někdy? "" oslovila Mella Arthura."
"said","say","Mluvíte","mluvit","impf"," “ Do you talk at all? ” said Mella to Arthur."," "" Mluvíte taky někdy? "" oslovila Mella Arthura."
"mean","mean","myslel","myslet","impf"," “ What did you mean, ” asked Agda, “ about only having two million years?"," "" Co jste myslel tím, že máme jen dva milióny let? "" zajímala se Agda."
"Find","find","najít","najít","pf"," “ Find it first."," "" Nejdřív ho musíme najít."
"passed","pass","Uplynul","uplynout","pf"," Another moment passed."," Uplynul další okamžik."
"turned","turn","obrátili","obrátit","pf"," Slowly, the others turned to face him."," Pak se k němu ostatní zvolna obrátili."
"seeing","see","neviděli","vidět","impf"," At the first hint of trouble they turn totally black and thus prevent you from seeing anything that might alarm you."," Při sebemenší známce nějakých nepříjemností skla zčernala, takže jste neviděli nic, co by vás mohlo znepokojit."
"alarm","alarm","znepokojit","znepokojit","pf"," At the first hint of trouble they turn totally black and thus prevent you from seeing anything that might alarm you."," Při sebemenší známce nějakých nepříjemností skla zčernala, takže jste neviděli nic, co by vás mohlo znepokojit."
"relaxed","relax","uklidnil","uklidnit","pf"," He relaxed, but only a little bit."," Zafod se trochu, ale opravdu jen trochu uklidnil."
"stick","stick","strč","strčit","pf"," The protruding upper halves of the letters now appear, in the local language, to read “ Go stick your head in a pig ”, and are no longer illuminated, except at times of special celebration."," Vyčnívající horní polovina nápisu dává teď v místním jazyce slogan "" strč makovici do prasete "" a bývá osvětlena jen o zvlášť významných svátcích."
"illuminated","illuminate","osvětlena","osvětlit","pf"," The protruding upper halves of the letters now appear, in the local language, to read “ Go stick your head in a pig ”, and are no longer illuminated, except at times of special celebration."," Vyčnívající horní polovina nápisu dává teď v místním jazyce slogan "" strč makovici do prasete "" a bývá osvětlena jen o zvlášť významných svátcích."
"threw","throw","zahodil","zahodit","pf"," Arthur threw away a sixth cup of the liquid."," Arthur zahodil šestý šálek ohavné tekutiny."
"said","say","vyjádřil","vyjádřit","pf"," “ Oh, with please, ” said Ford."," "" S ledem, prosím, "" vyjádřil se Ford."
"said","say","pronesl","pronést","pf"," “ Er, Number Two ... ” said the Captain softly."," "" Dvojko ..., "" pronesl kapitán měkce."
"revealing","reveal","odhalil","odhalit","pf"," A six-foot square panel slid open beside it revealing a compartment which resembled a multiple shower unit that had found a new function in life as an electrician ’ s junk store."," Čtvercový panel o straně asi dva metry se odklopil a odhalil kabinku, připomínající sprchový kout, který našel nový smysl života jako skladiště elektrikářského haraburdí."
"found","find","našel","najít","pf"," A six-foot square panel slid open beside it revealing a compartment which resembled a multiple shower unit that had found a new function in life as an electrician ’ s junk store."," Čtvercový panel o straně asi dva metry se odklopil a odhalil kabinku, připomínající sprchový kout, který našel nový smysl života jako skladiště elektrikářského haraburdí."
"hung","hang","visely","viset","impf"," Half-finished wiring hung from the ceiling, a jumble of abandoned components lay strewn on the floor, and the programming panel lolled out of the cavity in the wall into which it should have been secured."," Od stropu visely pletence drátů, podlahu pokrývala změť odhozených součástek a programovací panel se vychlipoval z otvoru ve zdi, kde měl být upevněn."
"secured","secure","upevněn","upevnit","pf"," Half-finished wiring hung from the ceiling, a jumble of abandoned components lay strewn on the floor, and the programming panel lolled out of the cavity in the wall into which it should have been secured."," Od stropu visely pletence drátů, podlahu pokrývala změť odhozených součástek a programovací panel se vychlipoval z otvoru ve zdi, kde měl být upevněn."
"doubt","doubt","Pochybuju","pochybovat","impf"," “ I doubt it, ” said Marvin."," "" Pochybuju, "" řekl Marvin."
"said","say","řekl","říci","pf"," “ I doubt it, ” said Marvin."," "" Pochybuju, "" řekl Marvin."
"ringing","ring","zvonilo","zvonit","impf"," Six of the phones were now ringing."," Teď už zvonilo šest telefonů."
"help","help","pomoct","pomoci","pf"," “ No one can help me, ” intoned Marvin."," "" Mně nemůže pomoct nikdo, "" pokračoval truchlivě Marvin."
"seen","see","viděl","vidět","impf"," “ Have you seen the local scenery? ” asked the voice of Gargravarr."," "" Už jste viděl zdejší krajinu? """
"mean","mean","Myslíte","myslet","impf"," “ You mean a less doomed one? ” promoted Arthur."," "" Myslíte nějakou míň odsouzenou? "" snažil se Arthur přimět kapitána k hovoru."
"say","say","říkal","říkat","impf"," “ What did you say dear fellow? ”"," "" Co jste říkal, příteli? """
"settle","settle","usadit","usadit","pf"," You were going to settle on. ”"," Jak jste se na ní chtěli usadit. """
"settle","settle","usadit","usadit","pf"," “ Are going to settle on, yes."," "" Chystáme usadit, ano."
"took","take","vzal","vzít","pf"," Ford tossed down his drink, took the bottle from the first officer ’ s tray and refilled his glass to the top."," Ford do sebe hodil obsah své sklenice, vzal z podnosu v rukou prvního důstojníka láhev a znovu si nalil až po okraj."
"mean","mean","Chceš","chtít","impf"," “ You mean, ” said Arthur, “ you mean you can see into my mind? ”"," "" Chceš říct, že mi dokážeš číst myšlenky? "" žasl Arthur."
"mean","mean","Chceš","chtít","impf"," “ You mean, ” said Arthur, “ you mean you can see into my mind? ”"," "" Chceš říct, že mi dokážeš číst myšlenky? "" žasl Arthur."
"said","say","říct","říci","pf"," “ You mean, ” said Arthur, “ you mean you can see into my mind? ”"," "" Chceš říct, že mi dokážeš číst myšlenky? "" žasl Arthur."
"see","see","číst","číst","impf"," “ You mean, ” said Arthur, “ you mean you can see into my mind? ”"," "" Chceš říct, že mi dokážeš číst myšlenky? "" žasl Arthur."
"stared","stare","zíral","zírat","impf"," Arthur stared in astonishment."," Arthur šokovaně zíral na Marvina."
"confirmed","confirm","potvrdil","potvrdit","pf"," “ Yes, ” confirmed Marvin."," "" Ano, "" potvrdil Marvin."
"suggested","suggest","navrhli","navrhnout","pf"," “ Shut up, ” suggested Zaphod Beeblebrox and Ford Prefect."," "" Drž klapačku, "" navrhli mu Zafod s Fordem."
"say","say","říct","říci","pf"," “ Basically, what you ’ re trying to say, ” said Arthur Dent, ignoring this suggestion, “ is that we ’ re out of control. ”"," "" V podstatě tedy chcete říct, "" ignoroval Arthur jejich návrh, "" že to nemáte v rukou. """
"said","say","říct","říci","pf"," “ Basically, what you ’ re trying to say, ” said Arthur Dent, ignoring this suggestion, “ is that we ’ re out of control. ”"," "" V podstatě tedy chcete říct, "" ignoroval Arthur jejich návrh, "" že to nemáte v rukou. """
"ignoring","ignore","ignoroval","ignorovat","impf"," “ Basically, what you ’ re trying to say, ” said Arthur Dent, ignoring this suggestion, “ is that we ’ re out of control. ”"," "" V podstatě tedy chcete říct, "" ignoroval Arthur jejich návrh, "" že to nemáte v rukou. """
"tried","try","pokoušeli","pokoušet","impf"," The ship was rocking and swaying sickeningly as Ford and Zaphod tried to wrest control from the autopilot."," Loď se otřásala a pohupovala, až se všem dělalo špatně - to se Ford a Zafod pokoušeli vyrvat řízení autopilotovi."
"see","see","vidí","vidět","impf"," “ Restaurant, ” said Arthur Dent who had got to his feet and could now, much to his surprise, see clearly."," "" Restaurantu, "" doplnil Arthur, jemuž se konečně podařilo postavit na nohy a vyrovnat s překvapením, že vidí."
"surprised","surprise","překvapovalo","překvapovat","impf"," That is to say, the thing that surprised him was not that he could see, but what he could see."," Víc ho však překvapovalo, co uviděl."
"see","see","uviděl","uvidět","pf"," That is to say, the thing that surprised him was not that he could see, but what he could see."," Víc ho však překvapovalo, co uviděl."
"see","see","uviděl","uvidět","pf"," That is to say, the thing that surprised him was not that he could see, but what he could see."," Víc ho však překvapovalo, co uviděl."
"happened","happen","událo","udát","pf"," And this is very odd, because without that fairly simple and obvious piece of knowledge, nothing that ever happened on the Earth could possibly make the slightest bit of sense."," Je to dost zvláštní, protože bez tohoto jednoduchého a samozřejmého poznatku nemohlo nic, co se kdy na Zemi událo, dávat sebemenší smysl."
"survived","survive","přežili","přežít","pf"," Two of the strange, ape-like creatures survived."," Dva z oněch podivných, opicím podobných tvorů přežili."
"told","tell","Říkali","říkat","impf"," I was told you had changed, I didn ’ t realize how much. ”"," Říkali mi, že ses změnil, ale netušil jsem, jak moc. """
"changed","change","změnil","změnit","pf"," I was told you had changed, I didn ’ t realize how much. ”"," Říkali mi, že ses změnil, ale netušil jsem, jak moc. """
"talking","talk","mluvíš","mluvit","impf"," “ What job, man, what are you talking about? ”"," "" O čem to mluvíš, člověče? """
"covered","cover","Pokrývala","pokrývat","impf"," It was covered with grime, but some of the figures were still discernible."," Pokrývala ji letitá špína, ale číslice ještě bylo možné rozeznat."
"breathed","breathe","vydechl","vydechnout","pf"," “ Nine hundred years ... ” he breathed to himself."," "" Devět set let ..., "" vydechl."
"wiped","wipe","otřel","otřít","pf"," He wiped away some grime and laid an ear against the ship ’ s side."," Zběžně otřel špínu a přiložil ucho k boku lodi."
"hear","hear","Zaslechl","zaslechnout","pf"," He could only hear a faint, indeterminate noise."," Zaslechl slabý, těžko určitelný zvuk."
"heard","hear","zaslechl","zaslechnout","pf"," What he heard made his brains turn somersaults."," Z toho, co zaslechl, mu začal mozek metat kotrmelce :"
"wiped","wipe","otřel","otřít","pf"," Arthur wiped his palm across his forehead."," Arthur si otřel dlaní zpocené čelo."
"beginning","begin","začínal","začínat","impf"," “ Ah, I was beginning to think you ’ d never turn the lights on, ” said a voice."," "" Už jsem si začínal myslet, že nikdy nerozsvítíš, "" ozval se hlas."
"think","think","myslet","myslet","impf"," “ Ah, I was beginning to think you ’ d never turn the lights on, ” said a voice."," "" Už jsem si začínal myslet, že nikdy nerozsvítíš, "" ozval se hlas."
"seen","see","viděl","vidět","impf"," Those few who had the right kind of genetic instability mutated into birds - you ’ ve seen one of them - who cursed their feet, cursed the ground, and vowed that none should walk on it again."," Ti, kteří byli nadáni tím správným duchem genetické nestability, se proměnili v ptáky - jednoho z nich jste viděl -, kteří prokleli své nohy a zdejší půdu a zapřisáhli se, že po ní už nikdo chodit nebude."
"walk","walk","chodit","chodit","impf"," Those few who had the right kind of genetic instability mutated into birds - you ’ ve seen one of them - who cursed their feet, cursed the ground, and vowed that none should walk on it again."," Ti, kteří byli nadáni tím správným duchem genetické nestability, se proměnili v ptáky - jednoho z nich jste viděl -, kteří prokleli své nohy a zdejší půdu a zapřisáhli se, že po ní už nikdo chodit nebude."
"Come","come","Pojďte","jít","impf"," Come, I must take you to the Vortex. ”"," Pojďte, musím vás zavést do Víru. """
"take","take","zavést","zavést","pf"," Come, I must take you to the Vortex. ”"," Pojďte, musím vás zavést do Víru. """
"come","come","pocházíte","pocházet","impf"," “ And you, ” he said, “ you come from this hellhole pit do you? ”"," "" Vy také pocházíte z téhle řiti vesmíru? """
"want","want","nechci","chtít","impf"," Well, I don ’ t want to know, and I don ’ t want to hear them."," Ale já nechci vědět, nechci je slyšet."
"want","want","nechci","chtít","impf"," Well, I don ’ t want to know, and I don ’ t want to hear them."," Ale já nechci vědět, nechci je slyšet."
"want","want","nechci","chtít","impf"," Well, I don ’ t want to know, and I don ’ t want to hear them."," Ale já nechci vědět, nechci je slyšet."
"want","want","nechci","chtít","impf"," Well, I don ’ t want to know, and I don ’ t want to hear them."," Ale já nechci vědět, nechci je slyšet."
"hear","hear","slyšet","slyšet","impf"," Well, I don ’ t want to know, and I don ’ t want to hear them."," Ale já nechci vědět, nechci je slyšet."
"spend","spend","vydat","vydat","pf"," As one of the Galaxy ’ s most prominent and successful psychiatrists, he and a consortium of his colleagues were quite prepared to spend an awful lot of money when it seemed that the entire future of psychiatry might be at stake."," Jako jeden z nejvýznamnějších a nejúspěšnějších psychiatrů Galaxie byl Halfrunt, a s ním i konsorcium jeho kolegů, ochoten vydat obrovské částky, kdykoli se zdálo, že budoucnost psychiatrie jako oboru by mohla být ohrožena."
"seemed","seem","zdálo","zdát","impf"," As one of the Galaxy ’ s most prominent and successful psychiatrists, he and a consortium of his colleagues were quite prepared to spend an awful lot of money when it seemed that the entire future of psychiatry might be at stake."," Jako jeden z nejvýznamnějších a nejúspěšnějších psychiatrů Galaxie byl Halfrunt, a s ním i konsorcium jeho kolegů, ochoten vydat obrovské částky, kdykoli se zdálo, že budoucnost psychiatrie jako oboru by mohla být ohrožena."
"mean","mean","Chcete","chtít","impf"," “ You mean this isn ’ t the afterlife? ” said Arthur."," "" Chcete říct, že tohle není posmrtný život? "" divil se Arthur."
"said","say","říct","říci","pf"," “ You mean this isn ’ t the afterlife? ” said Arthur."," "" Chcete říct, že tohle není posmrtný život? "" divil se Arthur."
"smiled","smile","usmál","usmát","pf"," The waiter smiled a polite little waiter ’ s smile."," Číšník se usmál jako hodný, zdvořilý číšník."
"exhausted","exhaust","vyčerpal","vyčerpat","pf"," He had almost exhausted his polite little waiter repertoire and would soon be slipping into his role of a rather tight lipped and sarcastic little waiter."," Téměř už vyčerpal repertoár hodného, zdvořilého číšníka a hrozilo, že sklouzne do role zarputilého sarkastického číšníka."
"slipping","slip","sklouzne","sklouznout","pf"," He had almost exhausted his polite little waiter repertoire and would soon be slipping into his role of a rather tight lipped and sarcastic little waiter."," Téměř už vyčerpal repertoár hodného, zdvořilého číšníka a hrozilo, že sklouzne do role zarputilého sarkastického číšníka."
"turned","turn","obrátil","obrátit","pf"," Instead he slung a well-judged rock at the piper and turned to face Number Two."," Místo toho mrštil po dudákovi dobře mířeným kamenem a obrátil se k Dvojkovi."
"serve","serve","podáváte","podávat","impf"," “ Wow, ” he said, “ What sort of drinks do you serve in this place? ”"," "" Ach, jaké nápoje podáváte na tomto smutném místě? """
"saw","see","viděl","vidět","impf"," “ And you saw yourself, ” said Gargravarr, “ in relation to it all? ”"," "" A viděl jste sebe v poměru k tomu všemu? """
"think","think","myslím","myslet","impf"," I think. ”"," Aspoň myslím. """
"said","say","řekl","říci","pf"," “ Oh, ” said Arthur."," "" Aha, "" řekl Arthur."
"turned","turn","obrátil","obrátit","pf"," He turned his attention back to a bowl of soup he ’ d managed to get from the waiter to replace his steak."," Znovu obrátil pozornost k talíři polévky, kterou se mu podařilo vymámit z číšníka namísto bifteku."
"managed","manage","podařilo","podařit","pf"," He turned his attention back to a bowl of soup he ’ d managed to get from the waiter to replace his steak."," Znovu obrátil pozornost k talíři polévky, kterou se mu podařilo vymámit z číšníka namísto bifteku."
"grabbed","grab","Popadl","popadnout","pf"," He grabbed at a napkin off the table and fumbled hopelessly with it."," Popadl ze stolu ubrousek a začal se s ním zoufale potýkat."
"finished","finish","skončil","skončit","pf"," “ So that ’ s it, is it? ” said the Nutri-Matic when he had finished."," "" Tak takhle je to tedy, "" konstatoval syntetizér, když Arthur skončil."
"want","want","chci","chtít","impf"," “ Yes, ” said Arthur, “ that is what I want. ”"," "" Jo, tohle chci. """
"want","want","Chceš","chtít","impf"," “ You want the taste of dried leaves boiled in water? ”"," "" Chceš chuť sušených listů uvařených ve vodě? """
"watched","watch","pozorovalo","pozorovat","impf"," A green blur watched them disapprovingly."," Něco jako zelená šmouha je nesouhlasně pozorovalo."
"asked","ask","neprosil","prosit","impf"," He hadn ’ t asked to be here."," Nikoho se neprosil, aby byl zrovna tady."
"left","leave","Nechal","nechat","pf"," He left the fish on the floor for the cat, and retired to his seat."," Nechal kocourovi rybu na podlaze a usedl do křesla."
"retired","retire","Nechal","nechat","pf"," He left the fish on the floor for the cat, and retired to his seat."," Nechal kocourovi rybu na podlaze a usedl do křesla."
"eating","eat","jíš","jíst","impf"," “ Ah, I seem to see you eating it, ” he said at last, as the cat exhausted the entertainment possibilities of the speck of dust and pounced on to the fish."," "" Á, vypadá to, že jíš, "" poznamenal po chvíli, když kocour vyčerpal možnosti zábavy se smítkem prachu a vrhl se na rybu."
"eating","eat","vyčerpal","vyčerpat","pf"," “ Ah, I seem to see you eating it, ” he said at last, as the cat exhausted the entertainment possibilities of the speck of dust and pounced on to the fish."," "" Á, vypadá to, že jíš, "" poznamenal po chvíli, když kocour vyčerpal možnosti zábavy se smítkem prachu a vrhl se na rybu."
"exhausted","exhaust","vyčerpal","vyčerpat","pf"," “ Ah, I seem to see you eating it, ” he said at last, as the cat exhausted the entertainment possibilities of the speck of dust and pounced on to the fish."," "" Á, vypadá to, že jíš, "" poznamenal po chvíli, když kocour vyčerpal možnosti zábavy se smítkem prachu a vrhl se na rybu."
"sat","sit","seděli","sedět","impf"," Many hours later Arthur and Mella sat and watched the moon rise over the dull red glow of the trees."," Mnohem později Arthur s Mellou seděli a pozorovali východ měsíce nad rudě planoucími stromy."
"watched","watch","pozorovali","pozorovat","impf"," Many hours later Arthur and Mella sat and watched the moon rise over the dull red glow of the trees."," Mnohem později Arthur s Mellou seděli a pozorovali východ měsíce nad rudě planoucími stromy."
"began","begin","začala","začít","pf"," “ That story about the world being destroyed ... ” began Mella."," "" Ta historka o zničení světa ..., "" začala Mella."
"say","say","Říkáš","říkat","impf"," “ You say it as if you really think it ’ s true. ”"," "" Říkáš to, jako by sis myslel, že je to pravda. """
"think","think","myslel","myslet","impf"," “ You say it as if you really think it ’ s true. ”"," "" Říkáš to, jako by sis myslel, že je to pravda. """
"think","think","Myslím","myslet","impf"," “ Yes, I think it is."," "" Myslím, že je."
"bang","bang","práskni","prásknout","pf"," “ Go bang your heads together four-eyes, ” he advised Zaphod."," "" A ty běž a práskni hlavama o sebe, "" poradil Zafodovi."
"advised","advise","poradil","poradit","pf"," “ Go bang your heads together four-eyes, ” he advised Zaphod."," "" A ty běž a práskni hlavama o sebe, "" poradil Zafodovi."
"said","say","říct","říci","pf"," Arthur stuttered in fury and said nothing apposite, or indeed coherent."," Arthur koktal zuřivostí a nedokázal ze sebe vypravit souvislou větu, natožpak říct něco trefného."
"Take","take","Převezmi","převzít","pf"," “ Take control of the black ship. ”"," "" Převezmi řízení. """
"leaped","leap","přeskočil","přeskočit","pf"," Zaphod leaped across the cabin and switched frequencies on the sub-ether receiver before the next mind-pulverizing noise hit them."," Zafod přeskočil kabinu a přepnul frekvence na subéterovém přijímači, než jim další zvuková detonace stačila udělat z mozku prášek."
"quivering","quiver","třásl","třást","impf"," He stood there quivering."," Stál před přijímačem a třásl se."
"ended","end","končila","končit","impf"," The face had the texture of an orange and the colour of an apple, but there the resemblance to anything sweet ended."," Pleť obličeje měla barvu jablka a strukturou připomínala kůru pomeranče, tím však podobnost s čímkoliv sladkým končila."
"said","say","pronesl","pronést","pf"," “ Kid ... ” said a voice which emerged from the man ’ s mouth as if it had been having a really rough time down in his chest."," "" Chlapče ..., "" pronesl hlasem, který se mu dral z úst, jako by to tam dole v hrudníku neměl zrovna nejlehčí."
"awaiting","await","čeká","čekat","impf"," “ But I am informed that he has been awaiting your return for a considerable number of millennia."," "" Byl jsem však informován, že čeká na váš návrat už značný počet tisíciletí."
"left","leave","odešel","odejít","pf"," It seems you left here somewhat precipitately. ”"," Zdá se, že jste odtud odešel jaksi příliš náhle. """
"arrived","arrive","přišli","přijít","pf"," We only just arrived here. ”"," Vždyť jsme právě přišli. """
"tried","try","zkusil","zkusit","pf"," Zaphod tried this in one brain, then in the other."," Zafod zkusil jeden mozek, pak druhý."
"rule","rule","vládnout","vládnout","impf"," You can ’ t rule the Universe from a shack. ”"," Vesmíru se přece nedá vládnout z boudy. """
"knocked","knock","Zaklepali","zaklepat","pf"," They knocked."," Zaklepali."
"shivered","shiver","Třásli","třást","impf"," They shivered."," Třásli se zimou."
"opened","open","otevřely","otevřít","pf"," The door opened."," Dveře se otevřely."
"said","say","řekl","říci","pf"," “ Hello? ” said the man."," "" Ano? "" řekl tázavě muž."
"rule","rule","Vládnete","vládnout","impf"," “ Do you rule the Universe? ” said Zaphod."," "" Vládnete vesmíru? "" zeptal se Zafod."
"smiled","smile","usmál","usmát","pf"," The man smiled at him."," Muž se na něj usmál."
"telling","tell","říkám","říkat","impf"," I keep on telling him there ’ s only one g in crzjgrdwldiwdc. ”"," Pořád mu říkám, že crzjgrdwldiwdc se píše jen s jedním g. """
"keep","keep","píše","psát","impf"," I keep on telling him there ’ s only one g in crzjgrdwldiwdc. ”"," Pořád mu říkám, že crzjgrdwldiwdc se píše jen s jedním g. """
"looked","look","Podívali","podívat","pf"," They looked over his shoulder."," Podívali se mu přes rameno."
"interrogate","interrogate","vyslechnout","vyslechnout","pf"," I must interrogate them! ”"," Musím je vyslechnout! """
"looked","look","pohlédl","pohlédnout","pf"," The Captain looked at them doubtfully."," Kapitán na zajatce pochybovačně pohlédl."
"want","want","chtějí","chtít","impf"," Ask them what they want to drink. ”"," Zeptejte se, co chtějí k pití. """
"leapt","leap","Skočil","skočit","pf"," He leapt to the window."," Skočil k oknu."
"bombed","bomb","bombarduje","bombardovat","impf"," “ Or, ” he said, “ this building ’ s being bombed! ”"," "" Nebo tenhle barák někdo bombarduje! """
"turned","turn","otočil","otočit","pf"," Marvin turned, and in so far as it is possible for a totally inert metal face to look reproachfully, this is what it did."," Marvin se otočil, a pokud může naprosto nehybná kovová tvář nasadit vyčítavý výraz, předvedl jim to."
"did","do","předvedl","předvést","pf"," Marvin turned, and in so far as it is possible for a totally inert metal face to look reproachfully, this is what it did."," Marvin se otočil, a pokud může naprosto nehybná kovová tvář nasadit vyčítavý výraz, předvedl jim to."
"started","start","začala","začít","pf"," Trillian sighed and started to sort them out again."," Trillian povzdechla a začala je znovu rovnat."
"shaking","shake","třese","třást","impf"," Why did the ship keep shaking? he thought."," Proč se ta loď pořád třese?"
"like","like","líbí","líbit","impf"," “ I like it when I see you eat the fish, ” said the man, “ because in my mind you will waste away if you don ’ t. ”"," "" To se mi líbí, když tě vidím jíst, protože v mých představách umřeš, když nebudeš jíst. """
"see","see","vidím","vidět","impf"," “ I like it when I see you eat the fish, ” said the man, “ because in my mind you will waste away if you don ’ t. ”"," "" To se mi líbí, když tě vidím jíst, protože v mých představách umřeš, když nebudeš jíst. """
"eat","eat","jíst","jíst","impf"," “ I like it when I see you eat the fish, ” said the man, “ because in my mind you will waste away if you don ’ t. ”"," "" To se mi líbí, když tě vidím jíst, protože v mých představách umřeš, když nebudeš jíst. """
"eat","eat","jíst","jíst","impf"," “ I like it when I see you eat the fish, ” said the man, “ because in my mind you will waste away if you don ’ t. ”"," "" To se mi líbí, když tě vidím jíst, protože v mých představách umřeš, když nebudeš jíst. """
"picked","pick","Sebral","sebrat","pf"," He picked up from the table a piece of paper and the stub of a pencil."," Sebral ze stolu kus papíru a špaček tužky."
"experimented","experiment","experimentoval","experimentovat","impf"," He held one in one hand and the other in the other, and experimented with the different ways of bringing them together."," S tužkou v jedné a papírem v druhé ruce experimentoval, jak je dát různými způsoby dohromady."
"tried","try","Zkoušel","zkoušet","impf"," He tried holding the pencil under the paper, then over the paper, then next to the paper."," Zkoušel držet tužku pod papírem, pak nad papírem, potom vedle papíru."
"holding","hold","držet","držet","impf"," He tried holding the pencil under the paper, then over the paper, then next to the paper."," Zkoušel držet tužku pod papírem, pak nad papírem, potom vedle papíru."
"muttered","mutter","bručel","bručet","impf"," “ Filthy dirty trick to pull, ” muttered Arthur."," "" Pěkná syčárna, "" bručel Arthur."
"hid","hide","skryl","skrýt","pf"," To protect my secret - and myself - I retreated to the safety of this totally artificial Universe and hid myself away in a forgotten cruise liner."," Abych uchránil své tajemství - i sebe -, uchýlil jsem se do bezpečí tohoto umělého vesmíru a skryl se v zapomenutém plavidle."
"collided","collide","srazil","srazit","pf"," Tipping back his chair to look for it, Ford collided with the small green waiter who was approaching the table carrying a portable telephone."," Ford začal pátrat po sklenici, přičemž převrhl židli a srazil se s maličkým zeleným číšníkem, který právě nesl k jejich stolu přenosný telefon."
"carrying","carry","nesl","nést","impf"," Tipping back his chair to look for it, Ford collided with the small green waiter who was approaching the table carrying a portable telephone."," Ford začal pátrat po sklenici, přičemž převrhl židli a srazil se s maličkým zeleným číšníkem, který právě nesl k jejich stolu přenosný telefon."
"excused","excuse","omluvil","omluvit","pf"," Ford excused himself to the waiter explaining that it was because he was extremely drunk."," Ford se číšníkovi omluvil a vysvětlil mu, že se to všechno stalo jen proto, že je tak strašně opilý."
"explaining","explain","vysvětlil","vysvětlit","pf"," Ford excused himself to the waiter explaining that it was because he was extremely drunk."," Ford se číšníkovi omluvil a vysvětlil mu, že se to všechno stalo jen proto, že je tak strašně opilý."
"said","say","pravil","pravit","pf"," The waiter said that that was quite alright and that he perfectly understood."," Číšník pravil, že všechno je úplně v pořádku a že chápe."
"understood","understand","chápe","chápat","impf"," The waiter said that that was quite alright and that he perfectly understood."," Číšník pravil, že všechno je úplně v pořádku a že chápe."
"thanked","thank","poděkoval","poděkovat","pf"," Ford thanked the waiter for his kind indulgence, attempted to tug his forelock, missed by six inches and slid under the table."," Ford poděkoval číšníkovi za laskavé pochopení, pokusil se ho zatahat za ofinu, ale asi o deset centimetrů minul a spadl pod stůl."
"attempted","attempt","pokusil","pokusit","pf"," Ford thanked the waiter for his kind indulgence, attempted to tug his forelock, missed by six inches and slid under the table."," Ford poděkoval číšníkovi za laskavé pochopení, pokusil se ho zatahat za ofinu, ale asi o deset centimetrů minul a spadl pod stůl."
"missed","miss","minul","minout","pf"," Ford thanked the waiter for his kind indulgence, attempted to tug his forelock, missed by six inches and slid under the table."," Ford poděkoval číšníkovi za laskavé pochopení, pokusil se ho zatahat za ofinu, ale asi o deset centimetrů minul a spadl pod stůl."
"wants","want","chce","chtít","impf"," “ I gather, ” said the girl, turning to address the Captain who was beginning to nod off, “ that he wants to make one about you next, Captain. ”"," "" Zjistila jsem, že příští film chce natočit o vás, "" obrátila se teď dívka ke kapitánovi, který ve vaně tloukl špačky."
"turning","turn","natočit","natočit","pf"," “ I gather, ” said the girl, turning to address the Captain who was beginning to nod off, “ that he wants to make one about you next, Captain. ”"," "" Zjistila jsem, že příští film chce natočit o vás, "" obrátila se teď dívka ke kapitánovi, který ve vaně tloukl špačky."
"turning","turn","obrátila","obrátit","pf"," “ I gather, ” said the girl, turning to address the Captain who was beginning to nod off, “ that he wants to make one about you next, Captain. ”"," "" Zjistila jsem, že příští film chce natočit o vás, "" obrátila se teď dívka ke kapitánovi, který ve vaně tloukl špačky."
"cried","cry","křičel","křičet","impf"," “ I ’ m being attacked by a Vogon fleet! ” cried Zaphod."," "" Zrovna ho ohrožuje vogonská flotila! "" křičel Zafod."
"left","leave","nezapomněli","zapomenout","pf"," “ Well, ” said Max beaming cheerfully at them, “ it ’ s too late to worry about whether you left the gas on now. ”"," "" Teď je pozdě dělat si starosti, jestli jste náhodou nezapomněli zavřít plyn, "" volal Max vesele."
