"loved","love","miluji","milovat","impf"," I had n't known I loved her."," Nevěděl jsem, že ji miluji."
"left","leave","vyrazili","vyrazit","pf"," The horses accelerated from standing to 30 mph in times which would have left a Porsche gasping."," Koně vyrazili se zrychlením, které by zesměšnilo leckterý sportovní vůz."
"see","see","zahlédl","zahlédnout","pf"," When they swung away round the far bend Rudiments was as far as I was concerned invisible, and until the last hundred yards I did n't see him once."," Když běželi kolem vzdáleného oblouku, nemohl jsem Rudimentse mezi ostatními rozeznat, zahlédl jsem ho, až když vbíhal do cílové rovinky."
"walked","walk","Šel","jít","impf"," I walked him back to the little Cherokee, climbed up on to the wing and lay down on my back across the two front seats, looking up under the control panel."," Šel jsem s Colinem k jejich malému cherokee, vyskočil na křídlo, natáhl se přes obě přední sedadla a podíval jsem se pod přístrojovou desku."
"looking","look","podíval","podívat","pf"," I walked him back to the little Cherokee, climbed up on to the wing and lay down on my back across the two front seats, looking up under the control panel."," Šel jsem s Colinem k jejich malému cherokee, vyskočil na křídlo, natáhl se přes obě přední sedadla a podíval jsem se pod přístrojovou desku."
"attached","attach","připevněna","připevnit","pf"," A little polythene-wrapped packet swinging free on a rubber band which was itself attached to the cable leading to the master switch."," Malý balíček zabalený v igelitu, zavěšený na gumičce, ta byla připevněna ke kabelu, který vedl k hlavnímu vypínači."
"leading","lead","vedl","vést","impf"," A little polythene-wrapped packet swinging free on a rubber band which was itself attached to the cable leading to the master switch."," Malý balíček zabalený v igelitu, zavěšený na gumičce, ta byla připevněna ke kabelu, který vedl k hlavnímu vypínači."
"filled","fill","naplňoval","naplňovat","impf"," His big cheerful booming voice filled the little bar and echoed round the whole hall outside."," Jeho hlaholivý hlas naplňoval malou místnost a rozléhal se i do dvorany."
"spread","spread","rozšířila","rozšířit","pf"," "" Cambridge actual weather, cloud has spread in fast from the south-west, now eight eighths cover, base twelve hundred feet, tops three thousand five hundred. """," "" Okamžitá situace v Cambridgi : od jihozápadu se rychle rozšířila oblačnost, zcela zataženo, spodní hranice mraků dvanáct set stop, horní tři tisíce stop. """
"Confirm","confirm","Potvrďte","potvrdit","pf"," "" Confirm Weather copied, "" he said baldly."," "" Potvrďte příjem, "" ozval se suše."
"avoid","avoid","vyhnout","vyhnout","pf"," and avoid Yarmouth in a heatwave."," Jo a Yarmouthu se snaž vyhnout, když je moc hic."
"standing","stand","měla","mít","impf"," She was standing in the paddock in a sleeveless dark-red dress, her greying short hair curling neatly under a black straw hat chosen more for generalship than femininity."," Stála u padoku, měla na sobě tmavě červené šaty bez rukávů, šedé vlasy se jí úhledně vlnily pod černým slaměným kloboukem, který byl spíš generálský než dámský."
"talking","talk","Mluvila","mluvit","impf"," She was talking to the Duke of Wessex."," Mluvila s vévodou z Wessexu."
"understand","understand","nerozumím","rozumět","impf"," "" I 'm not sure I understand. """," "" Obávám se, že vám nerozumím. """
"trying","try","snaží","snažit","impf"," "" He 's trying to make it look as though someone 's trying to kill me. """," "" To znamená, že se snaží vzbudit zdání, že mě někdo chce zabít. """
"trying","try","snaží","snažit","impf"," "" He 's trying to make it look as though someone 's trying to kill me. """," "" To znamená, že se snaží vzbudit zdání, že mě někdo chce zabít. """
"kill","kill","zabít","zabít","pf"," "" He 's trying to make it look as though someone 's trying to kill me. """," "" To znamená, že se snaží vzbudit zdání, že mě někdo chce zabít. """
"nodded","nod","Přikývl","přikývnout","pf"," I nodded."," Přikývl jsem."
"refused","refuse","Odmítl","odmítnout","pf"," He refused to sit down : preferred to stand."," Odmítl se posadit, prý raději stojí."
"sit","sit","posadit","posadit","pf"," He refused to sit down : preferred to stand."," Odmítl se posadit, prý raději stojí."
"giving","give","nedávala","dávat","impf"," giving nothing away."," Jestli v ní náhodou něco bouřilo, nedávala to najevo."
"held","hold","měla","mít","impf"," The deceptive mild brown eyes held a certain blankness and every few seconds a spasmodic tightening belied the gentle set of her mouth."," V mírných hnědých očích měla prázdný pohled a kolem jemných úst se jí chvílemi křečovitě stahovaly tvrdé vrásky."
"Speaking","speak","mluvíte","mluvit","impf"," "" Speaking from bitter experience? """," "" To mluvíte z vlastní zkušenosti? """
"arrived","arrive","dorazili","dorazit","pf"," Annie Villars and Colin Ross arrived together, deep in a persuasive argument that was getting nowhere."," Annie Villarsová a Colin Ross dorazili společně, zcela zaujatí vážným rozhovorem, který zřejmě k ničemu nevedl."
"getting","get","dorazili","dorazit","pf"," Annie Villars and Colin Ross arrived together, deep in a persuasive argument that was getting nowhere."," Annie Villarsová a Colin Ross dorazili společně, zcela zaujatí vážným rozhovorem, který zřejmě k ničemu nevedl."
"nodded","nod","Přikývla","přikývnout","pf"," She nodded."," Přikývla."
"go","go","nejdu","jít","impf"," "" I should n't go over there ... """," Ale být vámi, tak tam nejdu ... """
"go","go","jet","jet","impf"," As it is, I go on my own, and we have some fantastic times, him and me."," Takhle můžu jet sám a máme se spolu báječně."
"pleased","please","Nechce","chtít","impf"," Annie said crisply, "" If you are too mean to pay a few extra pounds as your share of perhaps saving the life of Colin Ross, I shall be pleased to contribute the whole amount myself. """," "" Nechce - li se vám přispět na záchranu Colina Rosse, je - li vám líto těch několika liber, ochotně a s radostí zaplatím celou částku sama, "" odsekla dopáleně."
"contribute","contribute","přispět","přispět","pf"," Annie said crisply, "" If you are too mean to pay a few extra pounds as your share of perhaps saving the life of Colin Ross, I shall be pleased to contribute the whole amount myself. """," "" Nechce - li se vám přispět na záchranu Colina Rosse, je - li vám líto těch několika liber, ochotně a s radostí zaplatím celou částku sama, "" odsekla dopáleně."
"pay","pay","zaplatím","zaplatit","pf"," Annie said crisply, "" If you are too mean to pay a few extra pounds as your share of perhaps saving the life of Colin Ross, I shall be pleased to contribute the whole amount myself. """," "" Nechce - li se vám přispět na záchranu Colina Rosse, je - li vám líto těch několika liber, ochotně a s radostí zaplatím celou částku sama, "" odsekla dopáleně."
"hoped","hope","Doufal","doufat","impf"," I hoped it was shame and embarrassment, not an incipient thrombosis."," Doufal jsem, že zrudl hanbou a rozpaky a že se o něho nepokouší mrtvice."
"turned","turn","Změnil","změnit","pf"," I turned, flew on the new heading."," Změnil jsem kurs podle instrukcí."
"pointed","point","ukázal","ukázat","pf"," He pointed, so I went down on hands and knees and made the indicated journey."," Klekl jsem si a na všech čtyřech jsem podlezl stůl, na který ukázal."
"ran","run","běžely","běžet","impf"," The engines ran like silk."," Motory běžely tiše, jako po másle."
"wiped","wipe","otřel","otřít","pf"," Straightening up afterwards he dragged a large handkerchief out of his pocket and wiped his mouth, looking in dismay at the resulting red stains."," Vzpřímil se, vytáhl z kapsy veliký kapesník, otřel si ústa a zděšeně se zadíval na červené skvrny, které se na kapesníku objevily."
"kicked","kick","Kopal","kopat","impf"," I kicked their knees with vigour, stuck my fingers out straight and hard towards their eyes, and chopped the sides of my palms at their throats."," Kopal jsem je do kolen, mířil jsem jim prsty do očí a sekal je hranou ruky po krku."
"changing","change","měnit","měnit","impf"," In fact you have been totally irresponsible in changing course without asking my permission first. """," Chováte se naprosto nezodpovědně, jak si to vůbec představujete, měnit kurs, aniž jste se se mnou domluvil! """
"try","try","nesnaž","snažit","impf"," And for God 's sake, Nancy, I thought, do n't try going down through the cloud just there."," Proboha Nancy, modlil jsem se, teď se nesnaž sestupovat :"
"looked","look","Podíval","podívat","pf"," I looked at my watch."," Podíval jsem se na hodinky."
"believe","believe","Myslím","myslet","impf"," "" Took off from Heathrow twenty minutes ago, I believe. """," "" Myslím, že měl startovat z Heathrow před dvaceti minutami. """
"see","see","vidět","vidět","impf"," She straightened up so that all I could see of her was from the waist down."," Postavila se zpříma, takže byla otevřenými dvířky vidět jen od pasu dolů."
"land","land","přistávat","přistávat","impf"," Harley constantly raved in frustration at having to land ten or fifteen miles away and fix up transportation for the passengers."," Harley se věčně rozčiloval nad tím, že jeho stroje často musely přistávat deset až patnáct mil od závodišť a on musel zařizovat dopravu cestujících z letiště na místo."
"fix","fix","zařizovat","zařizovat","impf"," Harley constantly raved in frustration at having to land ten or fifteen miles away and fix up transportation for the passengers."," Harley se věčně rozčiloval nad tím, že jeho stroje často musely přistávat deset až patnáct mil od závodišť a on musel zařizovat dopravu cestujících z letiště na místo."
"looking","look","dívala","dívat","impf"," Nancy was looking at him with an expression which meant that she did n't know whether to laugh at him or be afraid of him."," Nancy se na něj dívala a v jejím výrazu se mísilo pobavení se strachem."
"understood","understand","Chápal","chápat","impf"," I understood her needing help when he was around."," Chápal jsem však, že Nancy potřebuje oporu, když je Chanter nablízku."
"needing","need","potřebuje","potřebovat","impf"," I understood her needing help when he was around."," Chápal jsem však, že Nancy potřebuje oporu, když je Chanter nablízku."
"watched","watch","dívala","dívat","impf"," The woman watched him with what would have passed for a smile but for the frost in her eyes."," Žena se mírně usmívala, ale na Kennyho se dívala mrazivým pohledem."
"said","say","řekl","říci","pf"," "" The baggage door is locked, "" I said."," "" Zavazadlový prostor je zamčený, "" řekl jsem."
"come","come","Půjdu","jít","impf"," "" I 'll come over with you. """," "" Půjdu s vámi. """
"started","start","začalo","začít","pf"," It seems a lot of people have it for about a year before it becomes noticeable enough to be diagnosed, so no one knows when it started with Midge."," Prý se to většinou pozná nejdřív za rok, takže vlastně nevíme, kdy jí to začalo."
"announced","announce","hlásil","hlásit","impf"," "" It 's drizzling cats and dogs, "" he announced."," "" Venku leje jako z konve, "" hlásil."
"said","say","řekl","říci","pf"," "" It 's my day of "" I said."," "" Mám dnes volno, "" řekl jsem."
"started","start","začal","začít","pf"," Taking a deep breath I started at the top."," Zhluboka jsem se nadýchl a začal prohlížet odshora."
"signed","sign","podepsal","podepsat","pf"," The folders contained the setting-up documents of the Fund and the papers which the Duke had so trustingly signed."," V deskách byly smlouvy a listiny týkající se založení společnosti, které vévoda tak důvěřivě podepsal."
"taking","take","trvalo","trvat","impf"," Months ... it was taking me years."," Jen měsíce ... mně to trvalo celé roky."
"thinks","think","myslí","myslet","impf"," He slides down to see her every so often when he thinks Midge and I are n't noticing. """," Jezdí za ní každou chvíli a myslí si, že o tom s Midge nevíme. """
"looked","look","Podíval","podívat","pf"," I looked at her."," Podíval jsem se na ni."
"looked","look","Podívala","podívat","pf"," She looked back."," Podívala se na mě."
"losing","lose","prohrávat","prohrávat","impf"," "" ... if you ca n't ride a losing race better than last time ... find someone else. """," "" ... když neumíte prohrávat přesvědčivěji, najdeme si někoho jiného ... """
"find","find","najdeme","najít","pf"," "" ... if you ca n't ride a losing race better than last time ... find someone else. """," "" ... když neumíte prohrávat přesvědčivěji, najdeme si někoho jiného ... """
"turned","turn","zamířit","zamířit","pf"," She could have gone completely haywire and turned round and headed back to Manchester."," Mohla taky úplně ztratit hlavu a zamířit zpátky na Manchester."
"believed","believe","věří","věřit","impf"," And anyway, she still believed it was clear at Cambridge ..."," Ostatně předpokládal jsem, že stále ještě věří, že je v Cambridgi jasno ..."
"told","tell","Neřekl","říci","pf"," I had n't told him about the fight, about the way I felt."," Neřekl jsem mu o té rvačce ani o tom, že mi je nanic."
"asked","ask","pozval","pozvat","pf"," Colin Ross has asked me to stay with him. """," Colin Ross mě pozval, abych u něho přespal. """
"required","require","potřebovat","potřebovat","impf"," I looked round to see if an issue of waterproof bags was going to be required."," Ohlédl jsem se na své cestující, abych zjistil, jestli nebudou potřebovat nepromokavé pytlíky."
"seemed","seem","zdálo","zdát","impf"," Once level nothing seemed wrong."," Pak se zdálo, že je zase všechno v pořádku."
"looked","look","Podíval","podívat","pf"," I looked down at the map on my knees."," Podíval jsem se do mapy, kterou jsem měl rozloženou na kolenou."
"approaching","approach","blížili","blížit","impf"," We were twenty minutes out of Haydock ... south of Matlock approaching Nottingham."," Byli jsme dvacet minut letu od Haydocku, jižně od Matlocku a blížili jsme se k Nottinghamu."
"thought","think","Mysleli","myslet","impf"," "" We thought a hundred thousand might be better."," "" Mysleli jsme, že by sto tisíc vypadalo líp."
"turned","turn","otočil","otočit","pf"," I stopped and turned."," Zastavil jsem se a otočil."
"hurrying","hurry","Spěchal","spěchat","impf"," It was Colin, hurrying towards me, carrying the saddle from the loser he 'd partnered in the first race."," Spěchal ke mně Colin, pod paží sedlo koně, na kterém prohrál první dostih."
"do","do","udělat","udělat","pf"," Still, better to do things at once rather than put them off, do n't you agree? """," Takové věci je lepší udělat hned, to se nemá odkládat, nemyslíte? """
"do","do","udělat","udělat","pf"," Still, better to do things at once rather than put them off, do n't you agree? """," Takové věci je lepší udělat hned, to se nemá odkládat, nemyslíte? """
"nodded","nod","Přikývla","přikývnout","pf"," She nodded."," Přikývla."
"said","say","řekl","říci","pf"," "" Thanks a lot, "" I said with feeling."," "" Mockrát vám děkuju, "" řekl jsem procítěně."
"hold","hold","Udržujete","udržovat","impf"," You hold the circuit open by a hair spring on a catch."," Udržujete okruh nezapojený pomocí zablokovaného kontaktu."
"removed","remove","odstraní","odstranit","pf"," When the catch is removed, the spring snaps the circuit shut, and that 's that."," Když se blokování odstraní, kontakt uzavře okruh a je to."
"shut","shut","uzavře","uzavřít","pf"," When the catch is removed, the spring snaps the circuit shut, and that 's that."," Když se blokování odstraní, kontakt uzavře okruh a je to."
"wanted","want","Chtěl","chtít","impf"," "" You wanted me? """," "" Chtěl jste se mnou mluvit ... """
"said","say","řekl","říci","pf"," "" You said ... if I thought of any angle on the bomb. """," "" Vy jste řekl ... kdyby mě něco napadlo v souvislosti s tím výbuchem ... """
"thinking","think","Uvažoval","uvažovat","impf"," "" I 've been thinking "" I said, ' about the transmitter which was needed to set it off. """," "" Uvažoval jsem o té vysílačce, kterou pachatel potřeboval k detonaci bomby. """
"needed","need","potřeboval","potřebovat","impf"," "" I 've been thinking "" I said, ' about the transmitter which was needed to set it off. """," "" Uvažoval jsem o té vysílačce, kterou pachatel potřeboval k detonaci bomby. """
"do","do","provedeme","provést","pf"," "" I 'll do it in the evening, if there a charter fixed for that day. """," "" A kdybych měl náhodou během dne nějaký let, tak to provedeme večer. """
"looked","look","Podíval","podívat","pf"," I looked at the kind, distinguished, uncomprehending face."," Podíval jsem se do jeho vážných, vlídných, nechápavých očí."
"saw","see","Zahlédl","zahlédnout","pf"," I saw them out of the side of my vision, looking briefly back towards the aircraft and then walking unenthusiastically towards the big glass doors."," Zahlédl jsem ještě, jak se všichni ohlédli k letadlu a pak znechuceně odcházeli k letištnímu baru."
"spun","spin","otočil","otočit","pf"," I spun round, appalled."," Zděšeně jsem se otočil."
"taken","take","trvala","trvat","impf"," The bomb had taken a fraction of a second to detonate."," Detonace bomby trvala zlomek vteřiny."
"hear","hear","Slyšel","slyšet","impf"," I could hear her calling the various flight information regions on the radio, as she could hear me."," Slyšel jsem ve sluchátkách, jak se domlouvá s různými letovými informačními středisky a ona slyšela, jak dostávám instrukce já."
"hear","hear","Slyšel","slyšet","impf"," I could hear her calling the various flight information regions on the radio, as she could hear me."," Slyšel jsem ve sluchátkách, jak se domlouvá s různými letovými informačními středisky a ona slyšela, jak dostávám instrukce já."
"hear","hear","slyšela","slyšet","impf"," I could hear her calling the various flight information regions on the radio, as she could hear me."," Slyšel jsem ve sluchátkách, jak se domlouvá s různými letovými informačními středisky a ona slyšela, jak dostávám instrukce já."
"hear","hear","slyšela","slyšet","impf"," I could hear her calling the various flight information regions on the radio, as she could hear me."," Slyšel jsem ve sluchátkách, jak se domlouvá s různými letovými informačními středisky a ona slyšela, jak dostávám instrukce já."
"landed","land","Přistál","přistát","pf"," I landed at Haydock a few minutes before her, and unloaded the passengers in time to watch her come in."," Přistál jsem v Haydocku o několik minut dřív a stačil jsem se včas zbavit cestujících, takže jsem se mohl dívat, jak si sedá."
"watch","watch","dívat","dívat","impf"," I landed at Haydock a few minutes before her, and unloaded the passengers in time to watch her come in."," Přistál jsem v Haydocku o několik minut dřív a stačil jsem se včas zbavit cestujících, takže jsem se mohl dívat, jak si sedá."
"put","put","Dala","dát","pf"," She put on a show to impress the audience, touching down like a feather on the grass."," Dala si záležet, snažila se ukázat před obecenstvem a přistála lehce jako peříčko."
"work","work","pracujete","pracovat","impf"," No one could work for Derrydown and not know that they and Polyplanes are permanently engaged in scratching each others ' eyes out. """," Když pracujete u Derrydown, musíte jistě vědět, že s firmou Polyplane je na nože. """
"sighed","sigh","Vzdychl","vzdychnout","pf"," I sighed."," Vzdychl jsem."
"start","start","začne","začít","pf"," "" You will, when they start reporting you. """," "" Však ono vás to začne zajímat, až na vás podají stížnost. """
"mean","mean","myslíte","myslet","impf"," What do you mean? """," Jak to myslíte? """
"looked","look","podíval","podívat","pf"," He looked up doubtfully."," Nejistě se na mě podíval."
"reach","reach","Dojdou","dojít","pf"," They would reach him before I could."," Dojdou k němu dřív než já."
"put","put","položil","položit","pf"," He 'd put the tin on the car and simply waited for them to come out of the races."," Carthy Todd jednoduše položil plechovku na kapotu vozu a čekal, až se vévoda s Mattem vrátí."
"waited","wait","čekal","čekat","impf"," He 'd put the tin on the car and simply waited for them to come out of the races."," Carthy Todd jednoduše položil plechovku na kapotu vozu a čekal, až se vévoda s Mattem vrátí."
"read","read","přečetl","přečíst","pf"," The house he presided over opened to the public, a notice read, every day between March 1st and November 30th."," Na dveřích jsem si předtím přečetl, že dům, na který dohlížel, je otevřen pro veřejnost každý den od prvního března do posledního listopadu."
"opened","open","otevřen","otevřít","pf"," The house he presided over opened to the public, a notice read, every day between March 1st and November 30th."," Na dveřích jsem si předtím přečetl, že dům, na který dohlížel, je otevřen pro veřejnost každý den od prvního března do posledního listopadu."
"discovered","discover","Zjistil","zjistit","pf"," The Duke, I discovered, lived privately in the upper third of the south-west wing."," Zjistil jsem, že vévoda má své soukromé pokoje v nejvyšším patře jihozápadního křídla."
"said","say","řekla","říci","pf"," Honey Harley ... had said she would do ' anything ' to keep Derrydowns in business, and the blowing up of the Cherokee had eased the financial situation."," Honey Harleyová ... řekla, že by byla ochotná udělat cokoliv, aby udržela firmu nad vodou, a já věděl, že exploze letadla vlastně firmě pomohla."
"do","do","udělat","udělat","pf"," Honey Harley ... had said she would do ' anything ' to keep Derrydowns in business, and the blowing up of the Cherokee had eased the financial situation."," Honey Harleyová ... řekla, že by byla ochotná udělat cokoliv, aby udržela firmu nad vodou, a já věděl, že exploze letadla vlastně firmě pomohla."
"keep","keep","udržela","udržet","pf"," Honey Harley ... had said she would do ' anything ' to keep Derrydowns in business, and the blowing up of the Cherokee had eased the financial situation."," Honey Harleyová ... řekla, že by byla ochotná udělat cokoliv, aby udržela firmu nad vodou, a já věděl, že exploze letadla vlastně firmě pomohla."
"said","say","řekl","říci","pf"," I said, "" There is one other place, of course, where the bomb could have been put on board. """," "" Ovšem, "" řekl jsem, "" je tu ještě jedna možnost, jedna příležitost, kdy někdo mohl bombu do letadla snadno dostat. """
"put","put","řekl","říci","pf"," I said, "" There is one other place, of course, where the bomb could have been put on board. """," "" Ovšem, "" řekl jsem, "" je tu ještě jedna možnost, jedna příležitost, kdy někdo mohl bombu do letadla snadno dostat. """
"went","go","odešli","odejít","pf"," The tall investigator and his silent friend with the pencil went down to the hangar to interview old Joe."," Oba páni, ten vysoký hubený i jeho mlčenlivý přítel s tužkou odešli do hangáru vyslechnout Joea."
"looked","look","podíval","podívat","pf"," Colin looked at him straightly."," Colin se mu podíval do očí."
"tell","tell","řeknu","říci","pf"," "" I 'll tell you how, sir."," "" Já vám řeknu jak, pane."
"see","see","Nechápu","chápat","impf"," "" I do n't see ... """," "" Nechápu, jak ... """
"flew","fly","letěla","letět","impf"," It was the next day that Nancy flew Colin to Haydock."," Den nato letěla Nancy s Colinem samostatně do Haydocku."
"aimed","aim","namířen","namířit","pf"," We 've assumed the bomb was aimed at Colin Ross, but we do n't really know that."," Vyšli jsme z předpokladu, že atentát byl namířen proti Colinu Rossovi, ale nemůžeme to ničím doložit."
"consulted","consult","Poradil","poradit","pf"," I consulted Marham, took Nancy out to sea a little further, and led her round in a circle until we were both heading just west of south on one nine zero, and in a straight line to the railway and river from King 's Lynn to Cambridge."," Poradil jsem se s Marhamem a zavedl Nancy o kus dál nad moře, pak jsme oba obletěli kruh a zamířili jiho - jiho - západně na jedna devět nula, ve směru řeky a železnice od King ' s Lynnu do Cambridge."
"took","take","zavedl","zavést","pf"," I consulted Marham, took Nancy out to sea a little further, and led her round in a circle until we were both heading just west of south on one nine zero, and in a straight line to the railway and river from King 's Lynn to Cambridge."," Poradil jsem se s Marhamem a zavedl Nancy o kus dál nad moře, pak jsme oba obletěli kruh a zamířili jiho - jiho - západně na jedna devět nula, ve směru řeky a železnice od King ' s Lynnu do Cambridge."
"led","lead","zavedl","zavést","pf"," I consulted Marham, took Nancy out to sea a little further, and led her round in a circle until we were both heading just west of south on one nine zero, and in a straight line to the railway and river from King 's Lynn to Cambridge."," Poradil jsem se s Marhamem a zavedl Nancy o kus dál nad moře, pak jsme oba obletěli kruh a zamířili jiho - jiho - západně na jedna devět nula, ve směru řeky a železnice od King ' s Lynnu do Cambridge."
"saying","say","říká","říkat","impf"," When they arrived within earshot Goldenberg was saying "" ... ca n't lay the horse unless we 're sure he 'll pull it ... """," Když byli v doslechu, slyšel jsem, jak Goldenberg říká : "" ... nemůžeme toho koně naložit, dokud si nebudeme jistí, že ho ... """
"stopped","stop","Zarazil","zarazit","pf"," But he stopped with a snap when the Major gestured sharply in my direction."," Zarazil se, když do něho major strčil a ukázal na mne."
"walked","walk","Šli","jít","impf"," We walked back to the racecourse, the Duke and Carthy-Todd in front, young Matthew and me behind."," Šli jsme zpátky k závodišti, vévoda a Carthy - Todd vpředu, malý Matthew a já za nimi."
"promised","promise","slíbil","slíbit","pf"," "" No, Annie, I 'm terribly sorry, I 've promised Nancy ... """," "" Ne Annie, je mi skutečně lito, ale slíbil jsem Nancy ... """
"heard","hear","slyším","slyšet","impf"," "" First I 've heard of it. """," "" To slyším prvně. """
"put","put","Položil","položit","pf"," He put the receiver down."," Položil telefon."
"rescue","rescue","zachraňuji","zachraňovat","impf"," "" I rescue you from Chanter, now it 's your turn. """," "" Já tě zachraňuji od Chantera, tak bys pro mě taky mohla něco udělat, ne? """
"Rescue","rescue","zachraňuješ","zachraňovat","impf"," "" Rescue my foot."," "" Ty mě zachraňuješ!"
"nodded","nod","Přikývl","přikývnout","pf"," He nodded, glanced once more at Chanter, and retreated in good order."," Přikývl, podíval se ještě jednou na Chantera a důstojně odkráčel."
"watched","watch","dívat","dívat","impf"," We watched at grass level with Chanter muttering ' stinking bourgeois ' at regular intervals."," Museli jsme se dívat dole a Chanter opakovaně mumlal něco o smrdutých buržoustech."
"tore","tear","roztrhala","roztrhat","pf"," The crowd booed and tore up a lot of tickets."," Publikum pískalo a spousta lidí roztrhala tikety."
"said","say","Říkala","říkat","impf"," Anyway, she said she had cooled off a good deal by the time her train got to Liverpool and she was simply miserable by then, and then when she found Chanter had gone away because of the strike she said she was relieved, really."," Říkala, že než dojela do Liverpoolu, tak že se jí to rozleželo v hlavě a že byla strašně nešťastná, a pak, když tam Chanter nebyl, protože tam byla ta stávka, tak byla vlastně ráda."
"said","say","Říkala","říkat","impf"," Anyway, she said she had cooled off a good deal by the time her train got to Liverpool and she was simply miserable by then, and then when she found Chanter had gone away because of the strike she said she was relieved, really."," Říkala, že než dojela do Liverpoolu, tak že se jí to rozleželo v hlavě a že byla strašně nešťastná, a pak, když tam Chanter nebyl, protože tam byla ta stávka, tak byla vlastně ráda."
"got","get","dojela","dojet","pf"," Anyway, she said she had cooled off a good deal by the time her train got to Liverpool and she was simply miserable by then, and then when she found Chanter had gone away because of the strike she said she was relieved, really."," Říkala, že než dojela do Liverpoolu, tak že se jí to rozleželo v hlavě a že byla strašně nešťastná, a pak, když tam Chanter nebyl, protože tam byla ta stávka, tak byla vlastně ráda."
"leave","leave","nenechal","nechat","pf"," "" Did I leave my Sporting Life over in the plane, do you know? """," "" Nevzpomínáte si náhodou, jestli jsem v letadle nenechal Sportovní život? """
"like","like","Nechcete","chtít","impf"," "" Would you like me to fetch it? """," "" Nechcete, abych vám pro ty noviny skočil? """
"do","do","Udělá","udělat","pf"," Walk will do me good. """," Udělá mi dobře, když se projdu. """
"go","go","šlo","jít","impf"," "" Sure, we 've got here, but we 've got to go home yet. """," "" No šlo to, ale ještě se taky musíme dostat zpátky. """
"got","get","dostat","dostat","pf"," "" Sure, we 've got here, but we 've got to go home yet. """," "" No šlo to, ale ještě se taky musíme dostat zpátky. """
"got","get","dostat","dostat","pf"," "" Sure, we 've got here, but we 've got to go home yet. """," "" No šlo to, ale ještě se taky musíme dostat zpátky. """
"said","say","prohlásila","prohlásit","pf"," "" Going home 's always easier, "" she said confidently."," "" Domů je to vždycky lehčí, "" prohlásila Nancy plná sebedůvěry."
"reflected","reflect","uvažoval","uvažovat","impf"," He reflected for a few seconds."," Chvíli uvažoval."
"believe","believe","myslím","myslet","impf"," Then he said, "" Two of the Polyplanes were there as well, I believe. """," "" Byla tam myslím také dvě letadla firmy Polyplane, ne? """
"think","think","Měl","mít","impf"," "" I think I 'd better talk to the pilots, to see if they noticed anything. """," "" Měl bych tedy promluvit s jejich piloty, třeba si něčeho všimli. """
"talk","talk","promluvit","promluvit","pf"," "" I think I 'd better talk to the pilots, to see if they noticed anything. """," "" Měl bych tedy promluvit s jejich piloty, třeba si něčeho všimli. """
"noticed","notice","všimli","všimnout","pf"," "" I think I 'd better talk to the pilots, to see if they noticed anything. """," "" Měl bych tedy promluvit s jejich piloty, třeba si něčeho všimli. """
"go","go","Dělal","dělat","impf"," I let it go."," Dělal jsem, že neslyším."
"mean","mean","nemyslela","myslet","impf"," She could n't mean what it sounded like."," Jistě to nemyslela tak, jak by si to člověk mohl vyložit."
"pushed","push","Snažila","snažit","impf"," She pushed him away."," Snažila se ho odstrčit."
"pushed","push","odstrčit","odstrčit","pf"," She pushed him away."," Snažila se ho odstrčit."
"gained","gain","nezískali","získat","pf"," But in fact they had n't gained."," Ve skutečnosti však tou bombou nic nezískali."
"look","look","očekávat","očekávat","impf"," If the bomb had been meant to look like an attack on Colin 's life, why should Colin think he would be any safer in a Polyplane?"," A pokud byla sabotáž zaranžována tak, aby vypadala jako cílený útok na Colina Rosse, jistě nemohli očekávat, že by se Colin cítil ve větším bezpečí s firmou Polyplane."
"blown","blow","vyhodit","vyhodit","pf"," If they had blown up the aircraft with passengers aboard, that would have ruined Derrydowns."," Jestli snad chtěli vyhodit letadlo do vzduchu i s cestujícími, bylo by se jim povedlo Derrydown zruinovat."
"left","leave","Opustili","opustit","pf"," We left him at the weighing room and went off to have some coffee."," Opustili jsme Colina u vážnice a šli jsme na kávu."
"went","go","šli","jít","impf"," We left him at the weighing room and went off to have some coffee."," Opustili jsme Colina u vážnice a šli jsme na kávu."
"answer","answer","Neodpověděl","odpovědět","pf"," He did n't answer."," Neodpověděl."
"Informing","inform","Udali","udat","pf"," Informing on Derrydowns to the Board of Trade, discrediting their pilot, spreading smears that they were n't safe."," Udali naši firmu, pomlouvali hlavního pilota a roznášeli řeči o tom, že lety s Derrydownem nejsou dost bezpečné."
"caught","catch","Chytil","chytit","pf"," I caught her on the way down and lifted her up in my arms to save her falling on the shower-soaked tarmac."," Chytil jsem ji do náruče, abych ji ušetřil pádu na vlhký beton."
"save","save","Chytil","chytit","pf"," I caught her on the way down and lifted her up in my arms to save her falling on the shower-soaked tarmac."," Chytil jsem ji do náruče, abych ji ušetřil pádu na vlhký beton."
"save","save","ušetřil","ušetřit","pf"," I caught her on the way down and lifted her up in my arms to save her falling on the shower-soaked tarmac."," Chytil jsem ji do náruče, abych ji ušetřil pádu na vlhký beton."
"weighed","weigh","Vážila","vážit","impf"," She weighed even less than she looked."," Vážila ještě méně, než jsem očekával."
"looked","look","očekával","očekávat","impf"," She weighed even less than she looked."," Vážila ještě méně, než jsem očekával."
"rung","ring","voláš","volat","impf"," I 'm so glad you 've rung."," Jsem hrozně ráda, že voláš."
