"said","say","řekl","říci","pf"," “ No, no, it is not so bad as that, ” said Holmes, smiling."," "" Snad to nebude tak hrozné, "" řekl Holmes s úsměvem."
"saw","see","neviděl","vidět","impf"," You never saw a worse case than this."," Horší případ jste však ještě neviděl."
"come","come","přicházíme","přicházet","impf"," She knew what we had come for, of course - that villain had lost no time in poisoning her mind against us."," Věděla ovšem, proč přicházíme - zloduch nelenoval a nakapal jí do duše jed proti nám."
"think","think","myslím","myslet","impf"," Miss Winter ’ s advent rather amazed her, I think, but she waved us into our respective chairs like a reverend abbess receiving two rather leprous mendicants."," Přítomnost slečny Winterové ji myslím poněkud překvapila, ale nabídla nám každému židli s gestem velebné matky představené, která hodlá laskavě vyslechnout dva žebravé mnichy v pokročilém stadiu malomocenství."
"amazed","amaze","překvapila","překvapit","pf"," Miss Winter ’ s advent rather amazed her, I think, but she waved us into our respective chairs like a reverend abbess receiving two rather leprous mendicants."," Přítomnost slečny Winterové ji myslím poněkud překvapila, ale nabídla nám každému židli s gestem velebné matky představené, která hodlá laskavě vyslechnout dva žebravé mnichy v pokročilém stadiu malomocenství."
"think","think","hodlá","hodlat","impf"," Miss Winter ’ s advent rather amazed her, I think, but she waved us into our respective chairs like a reverend abbess receiving two rather leprous mendicants."," Přítomnost slečny Winterové ji myslím poněkud překvapila, ale nabídla nám každému židli s gestem velebné matky představené, která hodlá laskavě vyslechnout dva žebravé mnichy v pokročilém stadiu malomocenství."
"contained","contain","obsahovala","obsahovat","impf"," He was standing at the open front of a great case which stood between the windows and which contained part of his Chinese collection."," Zastihl jsem ho před velkou otevřenou vitrínou, která stála mezi okny a obsahovala část jeho čínských sbírek."
"turned","turn","otočil","otočit","pf"," He turned as I entered with a small brown vase in his hand."," Držel v ruce malou hnědou vázičku, když se při mém vstupu otočil."
"sit","sit","posadit","posadit","pf"," “ Pray sit down, Doctor, ” said he."," "" Račte se posadit, pane doktore, "" řekl."
"said","say","řekl","říci","pf"," “ Pray sit down, Doctor, ” said he."," "" Račte se posadit, pane doktore, "" řekl."
"wondering","wonder","uvažuji","uvažovat","impf"," “ I was looking over my own treasures and wondering whether I could really afford to add to them."," "" Právě si prohlížím vlastní poklady a uvažuji, zda si skutečně mohu dovolit je rozmnožit."
"afford","afford","dovolit","dovolit","pf"," “ I was looking over my own treasures and wondering whether I could really afford to add to them."," "" Právě si prohlížím vlastní poklady a uvažuji, zda si skutečně mohu dovolit je rozmnožit."
"saw","see","viděl","vidět","impf"," I am sure you never saw finer workmanship or a richer glaze."," Pochybuji, že jste někdy viděl jemnější práci a nádhernější glazuru."
"get","get","dostat","dostat","pf"," You ’ ve made your way in here without leave, and, by God! you may find it harder to get out than to get in. ”"," Vnikl jste sem bez obtíží, ale přisámbůh přesvědčíte se, že nebude tak snadné dostat se odtud. """
"get","get","dostat","dostat","pf"," You ’ ve made your way in here without leave, and, by God! you may find it harder to get out than to get in. ”"," Vnikl jste sem bez obtíží, ale přisámbůh přesvědčíte se, že nebude tak snadné dostat se odtud. """
"understand","understand","Chápete","chápat","impf"," Do you understand? ” he added, looking back over his shoulder at the American."," Chápete? "" dodal a ohlédl se přes rameno na Američana."
"added","add","dodal","dodat","pf"," Do you understand? ” he added, looking back over his shoulder at the American."," Chápete? "" dodal a ohlédl se přes rameno na Američana."
"claim","claim","Žádám","žádat","impf"," I claim the right to examine that parcel before you pick the money up. ”"," Žádám, abych si mohl prohlédnout ten balíček dříve, než si jej vezmete. """
"examine","examine","prohlédnout","prohlédnout","pf"," I claim the right to examine that parcel before you pick the money up. ”"," Žádám, abych si mohl prohlédnout ten balíček dříve, než si jej vezmete. """
"pick","pick","vezmete","vzít","pf"," I claim the right to examine that parcel before you pick the money up. ”"," Žádám, abych si mohl prohlédnout ten balíček dříve, než si jej vezmete. """
"passed","pass","podal","podat","pf"," The American passed it over without a word."," Američan mu balíček beze slova podal."
"mean","mean","znamená","znamenat","impf"," “ But I will give you the facts, and I hope to God that you will be able to tell me what they mean."," "" Ale seznámím vás s fakty, jelikož ve vás skládám naději, že mi dokážete objasnit, co to všechno znamená."
"think","think","zdá","zdát","impf"," I ’ ve been awake all night puzzling my brain, and the more I think the more incredible does it become."," Probděl jsem celou noc a lámal si tím hlavu, ale čím víc o tom přemítám, tím nepochopitelnější se mi to všechno zdá."
"resembling","resemble","podobal","podobat","impf"," “ It could not have been someone resembling him? ”"," "" Nemohl to být někdo, kdo by se mu podobal? """
"say","say","Říkáte","říkat","impf"," “ But you say he was changed? ”"," "" Říkáte ale, že se změnil? """
"changed","change","změnil","změnit","pf"," “ But you say he was changed? ”"," "" Říkáte ale, že se změnil? """
"describe","describe","popsat","popsat","pf"," His face was - how shall I describe it? - it was of a fish-belly whiteness."," Jeho obličej byl - jak to jen popsat? - vybledlý jako rybí břicho."
"think","think","Myslím","myslet","impf"," “ I think not."," "" Myslím, že ne."
"saw","see","Viděl","vidět","impf"," It was his brow which I saw so clearly as it was pressed against the window. ”"," Viděl jsem mu tak jasně pouze čelo, jak je tiskl na okenní tabuli. """
"pressed","press","tiskl","tisknout","impf"," It was his brow which I saw so clearly as it was pressed against the window. ”"," Viděl jsem mu tak jasně pouze čelo, jak je tiskl na okenní tabuli. """
"call","call","Zavolal","zavolat","pf"," “ Did you call to him? ”"," "" Zavolal jste na něho? """
"conveyed","convey","nosí","nosit","impf"," Had you any indication that food was conveyed from the one house to the other? ”"," Zjistil jste něco, co by nasvědčovalo, že se z jednoho domu do druhého nosí jídlo? """
"see","see","viděl","vidět","impf"," “ Now that you mention it, I did see old Ralph carrying a basket down the garden walk and going in the direction of this house."," "" Když to říkáte, uvědomuji si, že jsem viděl, jak starý Ralph kráčí s košíkem po cestičce směrem k zahradnímu domku."
"seen","see","potkal","potkat","pf"," Opposite to me was seated the little man whom I had seen in the morning."," Proti mně seděl ten drobný mužík, jehož jsem dopoledne potkal."
"smoking","smoke","Kouřil","kouřit","impf"," He was smoking a pipe and reading a paper. ”"," Kouřil dýmku a četl nějaký časopis. """
"reading","read","četl","číst","impf"," He was smoking a pipe and reading a paper. ”"," Kouřil dýmku a četl nějaký časopis. """
"matter","matter","Záleží","záležet","impf"," “ Can it matter? ” he asked."," "" Záleží snad na tom? "" zeptal se."
"hesitating","hesitate","Váhal","váhat","impf"," I was hesitating as to what I should do when there was a sharp tap on my shoulder, and there was Colonel Emsworth beside me."," Váhal jsem, co mám udělat, když vtom mi někdo rázně poklepal na rameno a vedle mne stál plukovník Emsworth."
"do","do","udělat","udělat","pf"," I was hesitating as to what I should do when there was a sharp tap on my shoulder, and there was Colonel Emsworth beside me."," Váhal jsem, co mám udělat, když vtom mi někdo rázně poklepal na rameno a vedle mne stál plukovník Emsworth."
"followed","follow","následoval","následovat","impf"," He walked in silence to the house, and I followed him into my own bedroom."," Mlčky jsme došli k domu a já ho následoval do svého pokoje."
"picked","pick","vzal","vzít","pf"," He had picked up a time-table in the hall."," V hale vzal jízdní řád."
"answer","answer","odpovědět","odpovědět","pf"," I was about to answer when the girl broke in like a whirlwind."," Než jsem jí však mohl odpovědět, vpadla do toho jako větrná smršť ta Kitty."
"saw","see","viděl","vidět","impf"," If ever you saw flame and ice face to face, it was those two women."," Jestli jste někdy viděl vedle sebe plamen a led, byly to ty dvě ženy."
"tempted","tempt","pokoušel","pokoušet","impf"," I am one of a hundred that he has tempted and used and ruined and thrown into the refuse heap, as he will you also."," Jsem jedna z tý stovky nešťastnic, co pokoušel a sved a pak odkop na smetiště, kde skončíte i vy."
"need","need","Nemusím","muset","impf"," “ I need not say that I have confirmed it, Watson, ” said Holmes as I returned the paper."," "" Nemusím vám ani říkat, Watsone, že jsem ji potvrdil, "" řekl Holmes, když jsem mu vracel list."
"say","say","říkat","říkat","impf"," “ I need not say that I have confirmed it, Watson, ” said Holmes as I returned the paper."," "" Nemusím vám ani říkat, Watsone, že jsem ji potvrdil, "" řekl Holmes, když jsem mu vracel list."
"said","say","říkat","říkat","impf"," “ I need not say that I have confirmed it, Watson, ” said Holmes as I returned the paper."," "" Nemusím vám ani říkat, Watsone, že jsem ji potvrdil, "" řekl Holmes, když jsem mu vracel list."
"confirmed","confirm","potvrdil","potvrdit","pf"," “ I need not say that I have confirmed it, Watson, ” said Holmes as I returned the paper."," "" Nemusím vám ani říkat, Watsone, že jsem ji potvrdil, "" řekl Holmes, když jsem mu vracel list."
"say","say","řekl","říci","pf"," “ I need not say that I have confirmed it, Watson, ” said Holmes as I returned the paper."," "" Nemusím vám ani říkat, Watsone, že jsem ji potvrdil, "" řekl Holmes, když jsem mu vracel list."
"said","say","řekl","říci","pf"," “ I need not say that I have confirmed it, Watson, ” said Holmes as I returned the paper."," "" Nemusím vám ani říkat, Watsone, že jsem ji potvrdil, "" řekl Holmes, když jsem mu vracel list."
"returned","return","vracel","vracet","impf"," “ I need not say that I have confirmed it, Watson, ” said Holmes as I returned the paper."," "" Nemusím vám ani říkat, Watsone, že jsem ji potvrdil, "" řekl Holmes, když jsem mu vracel list."
"kept","keep","nedostaly","dostat","pf"," He has rather a reputation for arranging delicate matters which are to be kept out of the papers."," Tvrdí se o něm, že umí řešit delikátní záležitosti tak, aby se nedostaly do novin."
"remember","remember","Vzpomenete","vzpomenout","pf"," You may remember his negotiations with Sir George Lewis over the Hammerford Will case."," Vzpomenete si možná, že jednal se sirem Georgem Lewisem ohledně Hammerfordovy poslední vůle."
"feared","fear","obával","obávat","impf"," “ I feared he would."," "" Toho jsem se obával."
"held","hold","upoutal","upoutat","pf"," But you held him in play just long enough for me to get the book, though not long enough for an unobserved escape."," Ale upoutal jste jeho pozornost na tak dlouho, že jsem se mohl knihy zmocnit, ač ne na tak dlouho, abych se opět nepozorovaně vzdálil."
"come","come","přicházíte","přicházet","impf"," Ah, Sir James, I am very glad you have come! ”"," Vítám vás, sire Jamesi, jsem velice rád, že přicházíte. """
"appeared","appear","dostavil","dostavit","pf"," Our courtly friend had appeared in answer to a previous summons."," Náš taktní diplomat se dostavil, jakmile mu Holmes vzkázal."
"listened","listen","Poslouchal","poslouchat","impf"," He listened with the deepest attention to Holmes ’ s account of what had occurred."," Poslouchal s napjatou pozorností, když mu Holmes líčil, co se událo."
"occurred","occur","událo","udát","pf"," He listened with the deepest attention to Holmes ’ s account of what had occurred."," Poslouchal s napjatou pozorností, když mu Holmes líčil, co se událo."
"cried","cry","zvolal","zvolat","pf"," “ You have done wonders - wonders! ” he cried when he had heard the narrative."," "" Dokázal jste zázraky - zázraky! "" zvolal nakonec."
"waited","wait","počkali","počkat","pf"," Well, it only meant that we waited half an hour or so until I saw your lamp go out and knew that the coast was clear."," Vždyť se nestalo nic jiného, než že jsme asi půlhodinku počkali, než jste zhasla lampu, a dala nám tím znamení, že je čistý vzduch."
"report","report","Ohlašte","ohlásit","pf"," You can report to me to-morrow in London, Martha, at Claridge ’ s Hotel. ”"," Ohlašte se u mne zítra v Londýně, Marto, v hotelu Claridge ' s. """
"leave","leave","odjedete","odjet","pf"," “ I suppose you have everything ready to leave. ”"," "" Počítala jste s tím, že odjedete, viďte? """
"look","look","Podívám","podívat","pf"," I will look into them to-morrow."," Podívám se na ně zítra."
"think","think","Myslím","myslet","impf"," I think he was a bit drunk that night, or he would not have shown it to me. ”"," Myslím, že ten večer pil, jinak by mi to nebyl ukázal. """
"shown","show","ukázal","ukázat","pf"," I think he was a bit drunk that night, or he would not have shown it to me. ”"," Myslím, že ten večer pil, jinak by mi to nebyl ukázal. """
"collects","collect","sbírá","sbírat","impf"," “ I tell you, Mr. Holmes, this man collects women, and takes a pride in his collection, as some men collect moths or butterflies."," "" Víte, pane Holmes, tenhle chlap sbírá ženský, jako jinej sbírá brouky nebo motýly, a je pyšnej na svoji sbírku."
"collect","collect","sbírá","sbírat","impf"," “ I tell you, Mr. Holmes, this man collects women, and takes a pride in his collection, as some men collect moths or butterflies."," "" Víte, pane Holmes, tenhle chlap sbírá ženský, jako jinej sbírá brouky nebo motýly, a je pyšnej na svoji sbírku."
"collects","collect","sbírá","sbírat","impf"," “ I tell you, Mr. Holmes, this man collects women, and takes a pride in his collection, as some men collect moths or butterflies."," "" Víte, pane Holmes, tenhle chlap sbírá ženský, jako jinej sbírá brouky nebo motýly, a je pyšnej na svoji sbírku."
"collect","collect","sbírá","sbírat","impf"," “ I tell you, Mr. Holmes, this man collects women, and takes a pride in his collection, as some men collect moths or butterflies."," "" Víte, pane Holmes, tenhle chlap sbírá ženský, jako jinej sbírá brouky nebo motýly, a je pyšnej na svoji sbírku."
"said","say","pravil","pravit","pf"," ‘ By the way, Mr. Holmes, ’ said he, ‘ did you know Le Brun, the French agent? ’"," ' Mimochodem, pane Holmesi, ' pravil, ' znal jste Le Bruna, toho francouzského detektiva? '"
"heard","hear","Slyšel","slyšet","impf"," ‘ I heard that he was beaten by some Apaches in the Montmartre district and crippled for life. ’"," ' Slyšel jsem, že ho přepadli na Montmartru nějací apačové a že ho natrvalo zmrzačili. '"
"lost","lose","Ztratil","ztratit","pf"," He has lost the nerve which never failed him on the battlefield and has become a weak, doddering old man, utterly incapable of contending with a brilliant, forceful rascal like this Austrian."," Ztratil odvahu, která mu nikdy nechyběla na bitevním poli, a stal se z něho slabý, rozechvělý stařec, jenž je naprosto neschopen čelit takovému zchytralému, necitelnému darebákovi, jako je ten Rakušan."
"failed","fail","nechyběla","chybět","impf"," He has lost the nerve which never failed him on the battlefield and has become a weak, doddering old man, utterly incapable of contending with a brilliant, forceful rascal like this Austrian."," Ztratil odvahu, která mu nikdy nechyběla na bitevním poli, a stal se z něho slabý, rozechvělý stařec, jenž je naprosto neschopen čelit takovému zchytralému, necitelnému darebákovi, jako je ten Rakušan."
"taken","take","nosila","nosit","impf"," My client however is an old friend, one who has known the General intimately for many years and taken a paternal interest in this young girl since she wore short frocks."," Můj klient však je dávný rodinný přítel, který se s generálem důvěrně stýká mnoho let a otcovsky se zajímal o dotyčnou mladou dámu, ještě když nosila krátké sukničky."
"wore","wear","nosila","nosit","impf"," My client however is an old friend, one who has known the General intimately for many years and taken a paternal interest in this young girl since she wore short frocks."," Můj klient však je dávný rodinný přítel, který se s generálem důvěrně stýká mnoho let a otcovsky se zajímal o dotyčnou mladou dámu, ještě když nosila krátké sukničky."
"darted","dart","vrhla","vrhnout","pf"," With an oath Miss Winter darted forward, and if I had not caught her wrist she would have clutched this maddening woman by the hair."," Kitty zaklela a vrhla se vpřed, a kdybych ji byl nechytil za zápěstí, byla by té nesnesitelné dámě vjela do vlasů."
"caught","catch","nechytil","chytit","pf"," With an oath Miss Winter darted forward, and if I had not caught her wrist she would have clutched this maddening woman by the hair."," Kitty zaklela a vrhla se vpřed, a kdybych ji byl nechytil za zápěstí, byla by té nesnesitelné dámě vjela do vlasů."
"clutched","clutch","nechytil","chytit","pf"," With an oath Miss Winter darted forward, and if I had not caught her wrist she would have clutched this maddening woman by the hair."," Kitty zaklela a vrhla se vpřed, a kdybych ji byl nechytil za zápěstí, byla by té nesnesitelné dámě vjela do vlasů."
"thought","think","Neměl","mít","impf"," However, I had little thought to spare upon such details, for a second man was seated with his back to the window, and I could swear that this second man was Godfrey."," Neměl jsem však ani pomyšlení na takové maličkosti, jelikož zády k oknu seděl další muž a já mohu přísahat, že to byl Godfrey."
"swear","swear","přísahat","přísahat","impf"," However, I had little thought to spare upon such details, for a second man was seated with his back to the window, and I could swear that this second man was Godfrey."," Neměl jsem však ani pomyšlení na takové maličkosti, jelikož zády k oknu seděl další muž a já mohu přísahat, že to byl Godfrey."
"see","see","Neviděl","vidět","impf"," I could not see his face, but I knew the familiar slope of his shoulders."," Neviděl jsem mu do tváře, ale poznal jsem povědomý sklon ramenou."
"wanted","want","Chtěl","chtít","impf"," “ I wanted to be sure that all was well with you, Godfrey."," "" Chtěl jsem se jen ujistit, že se ti nic nestalo, Godfreyi."
"saw","see","Zahlédl","zahlédnout","pf"," I saw you that night when you looked into my window, and I could not let the matter rest till I had cleared things up. ”"," Zahlédl jsem tě onehdy v noci, jak jsi nakoukl ke mně do pokoje, a musel jsem si zjednat jasno. """
"told","tell","pověděl","povědět","pf"," “ Old Ralph told me you were there, and I couldn ’ t help taking a peep at you."," "" Starý Ralph mi pověděl, že jsi přijel, a já nemohl odolat, abych se na tebe tajně nepodíval."
"handed","hand","podal","podat","pf"," Holmes handed me a card upon which was printed : “ Dr. Hill Barton, 369 Half Moon Street. ”"," Holmes mi podal vizitku, na níž bylo vytištěno : Dr. Hill Barton, Half Moon Street, č. 369."
"printed","print","vytištěno","vytisknout","pf"," Holmes handed me a card upon which was printed : “ Dr. Hill Barton, 369 Half Moon Street. ”"," Holmes mi podal vizitku, na níž bylo vytištěno : Dr. Hill Barton, Half Moon Street, č. 369."
"call","call","Navštívíte","navštívit","pf"," You will call upon Baron Gruner."," Navštívíte barona Grunera."
"say","say","říci","říci","pf"," You know, sir, that my wife nursed him, and so I may say I am his foster-father."," Víte, pane, moje žena ho odkojila, a tak by se dalo říci, že jsem jako jeho nevlastní otec."
"say","say","Říkáte","říkat","impf"," And you say he carried himself well, sir? ’"," Říkáte, že se držel dobře, pane? '"
"cover","cover","zakryl","zakrýt","pf"," He flung his overcoat half out of the window to cover the armorial bearings upon the panel, but I had seen them in the glare of our fanlight none the less."," Přehodil svůj kabát z okénka, aby zakryl rodový znak na dvířkách, ale já jej přesto ve světle nad vchodem zahlédl."
"seen","see","zahlédl","zahlédnout","pf"," He flung his overcoat half out of the window to cover the armorial bearings upon the panel, but I had seen them in the glare of our fanlight none the less."," Přehodil svůj kabát z okénka, aby zakryl rodový znak na dvířkách, ale já jej přesto ve světle nad vchodem zahlédl."
"stands","stand","mají","mít","impf"," “ You know how the matter stands? ”"," "" Víte, jak se věci mají? """
"telling","tell","pověděl","povědět","pf"," “ Porky Shinwell has been telling me."," "" Paša Shinwell mi to pověděl."
"wants","want","chce","chtít","impf"," He ’ s after some other poor fool and wants to marry her this time."," Uhání zas nějakou husu nebohou, a tentokrát si ji chce vzít."
"cares","care","nezáleží","záležet","impf"," She cares nothing. ”"," Vůbec jí na tom nezáleží. """
"did","do","dělám","dělat","impf"," I staggered to my feet and dragged myself along, hardly conscious of what I did."," Namáhavě jsem vstal a potácel jsem se blíž, sotva si vědom, co dělám."
"ascending","ascend","vystoupil","vystoupit","pf"," I have a dim memory of slowly ascending the steps, entering a wide-opened door, passing into a large room which contained several beds, and throwing myself down with a gasp of satisfaction upon one of them."," Matně si vzpomínám, že jsem pomalu vystoupil po těch schodech, vešel do dveří, které stály dokořán, ocitl se v rozlehlé místnosti s řadou postelí a s úlevným povzdechem sklesl na jednu z nich."
"entering","enter","vešel","vejít","pf"," I have a dim memory of slowly ascending the steps, entering a wide-opened door, passing into a large room which contained several beds, and throwing myself down with a gasp of satisfaction upon one of them."," Matně si vzpomínám, že jsem pomalu vystoupil po těch schodech, vešel do dveří, které stály dokořán, ocitl se v rozlehlé místnosti s řadou postelí a s úlevným povzdechem sklesl na jednu z nich."
"drew","draw","Přitáhl","přitáhnout","pf"," I drew the clothes over my shivering body and in a moment I was in a deep sleep."," Přitáhl jsem si přikrývky až k bradě, protože jsem se celý chvěl zimou, a okamžitě jsem upadl do hlubokého spánku."
"shivering","shiver","chvěl","chvět","impf"," I drew the clothes over my shivering body and in a moment I was in a deep sleep."," Přitáhl jsem si přikrývky až k bradě, protože jsem se celý chvěl zimou, a okamžitě jsem upadl do hlubokého spánku."
"obliged","oblige","zavázán","zavázat","pf"," I am exceedingly obliged to you for your cooperation."," Jsem vám nesmírně zavázán za vaši spolupráci."
"need","need","nemusím","muset","impf"," I need not say that my clients will consider liberally - ”"," Snad ani nemusím zdůrazňovat, že moji klienti ocení štědře - """
"see","see","uvidím","uvidět","pf"," Let me see this man in the mud, and I ’ ve got all I ’ ve worked for - in the mud with my foot on his cursed face."," Jestli uvidím toho chlapa ležet v blátě a budu mu moct šlápnout do ksichtu, bude to pro mě nejlepší odměna."
"cursed","curse","nadával","nadávat","impf"," Holmes continued his swift investigation of documents while his prisoner cursed and swore."," Holmes dál rychle třídil dokumenty, zatímco zajatec klel a nadával."
"swore","swear","nadával","nadávat","impf"," Holmes continued his swift investigation of documents while his prisoner cursed and swore."," Holmes dál rychle třídil dokumenty, zatímco zajatec klel a nadával."
"observed","observe","poznamenal","poznamenat","pf"," “ Though unmusical, German is the most expressive of all languages, ” he observed when Von Bork had stopped from pure exhaustion."," "" Němčina není sice právě libozvučná, ale je ze všech jazyků nejvýstižnější, "" poznamenal, když von Bork z prostého vyčerpání umlkl."
"added","add","dodal","dodat","pf"," “ Say, mister, ” he added, as his eyes fell upon the safe from which the curtain was now removed, “ you don ’ t tell me you keep your papers in that? ”"," "" Poslouchejte, vašnosti, "" dodal, když zavadil očima o sejf, z něhož zůstal závěs odtažený, "" nepovídejte, že si skováváte papíry semdlenc. """
"tell","tell","nepovídejte","povídat","impf"," “ Say, mister, ” he added, as his eyes fell upon the safe from which the curtain was now removed, “ you don ’ t tell me you keep your papers in that? ”"," "" Poslouchejte, vašnosti, "" dodal, když zavadil očima o sejf, z něhož zůstal závěs odtažený, "" nepovídejte, že si skováváte papíry semdlenc. """
"sat","sit","Usedl","usednout","pf"," He sat down at the table and scribbled a check, which he tore from the book, but he refrained from handing it to his companion."," Usedl za stůl, naškrábal šek, vytrhl jej ze šekové knížky, ale nepodal jej svému společníkovi."
"tore","tear","vytrhl","vytrhnout","pf"," He sat down at the table and scribbled a check, which he tore from the book, but he refrained from handing it to his companion."," Usedl za stůl, naškrábal šek, vytrhl jej ze šekové knížky, ale nepodal jej svému společníkovi."
"handing","hand","nepodal","podat","pf"," He sat down at the table and scribbled a check, which he tore from the book, but he refrained from handing it to his companion."," Usedl za stůl, naškrábal šek, vytrhl jej ze šekové knížky, ale nepodal jej svému společníkovi."
"said","say","řekl","říci","pf"," “ After all, since we are to be on such terms, Mr. Altamont, ” said he, “ I don ’ t see why I should trust you any more than you trust me."," "" Když už má jednání probíhat za těchto okolností, pane Altamonte, "" řekl, "" nevím, proč bych měl víc důvěřovat já vám než vy mě."
"trust","trust","důvěřovat","důvěřovat","impf"," “ After all, since we are to be on such terms, Mr. Altamont, ” said he, “ I don ’ t see why I should trust you any more than you trust me."," "" Když už má jednání probíhat za těchto okolností, pane Altamonte, "" řekl, "" nevím, proč bych měl víc důvěřovat já vám než vy mě."
"trust","trust","důvěřovat","důvěřovat","impf"," “ After all, since we are to be on such terms, Mr. Altamont, ” said he, “ I don ’ t see why I should trust you any more than you trust me."," "" Když už má jednání probíhat za těchto okolností, pane Altamonte, "" řekl, "" nevím, proč bych měl víc důvěřovat já vám než vy mě."
"say","say","řečeno","říci","pf"," Well, Watson, there seemed to be no more to say, so I took my leave with as much cold dignity as I could summon, but, as I had my hand on the door-handle, he stopped me."," Nu, Watsone, a jelikož mi připadalo, že vše už bylo řečeno, měl jsem se co nejchladněji a nejdůstojněji k odchodu, ale když jsem položil ruku na kliku, zadržel mne."
"stopped","stop","zadržel","zadržet","pf"," Well, Watson, there seemed to be no more to say, so I took my leave with as much cold dignity as I could summon, but, as I had my hand on the door-handle, he stopped me."," Nu, Watsone, a jelikož mi připadalo, že vše už bylo řečeno, měl jsem se co nejchladněji a nejdůstojněji k odchodu, ale když jsem položil ruku na kliku, zadržel mne."
"lie","lie","spočívali","spočívat","impf"," On the upper floor of the Northumberland Avenue establishment there is an isolated corner where two couches lie side by side, and it was on these that we lay upon September 3, 1902, the day when my narrative begins."," Lázeňská budova na Northumberland Avenue má v prvním patře jedno oddělené zákoutí s dvěma sousedícími lehátky, a na těch jsme spočívali onoho 3. září 1902, kdy tento příběh začíná."
"lay","lie","spočívali","spočívat","impf"," On the upper floor of the Northumberland Avenue establishment there is an isolated corner where two couches lie side by side, and it was on these that we lay upon September 3, 1902, the day when my narrative begins."," Lázeňská budova na Northumberland Avenue má v prvním patře jedno oddělené zákoutí s dvěma sousedícími lehátky, a na těch jsme spočívali onoho 3. září 1902, kdy tento příběh začíná."
"begins","begin","začíná","začínat","impf"," On the upper floor of the Northumberland Avenue establishment there is an isolated corner where two couches lie side by side, and it was on these that we lay upon September 3, 1902, the day when my narrative begins."," Lázeňská budova na Northumberland Avenue má v prvním patře jedno oddělené zákoutí s dvěma sousedícími lehátky, a na těch jsme spočívali onoho 3. září 1902, kdy tento příběh začíná."
"said","say","prohlásil","prohlásit","pf"," “ No good, ” said Shinwell Johnson with the decided voice of the expert."," "" To nejni na nic, "" prohlásil Shinwell Johnson rozhodným tónem odborníka."
"sell","sell","nedaj","dát","pf"," “ No fence wants stuff of that sort that you can neither melt nor sell. ”"," "" Žádnej překupník neveme krámy, co se nedaj ani roztavit, ani prodat. """
"sell","sell","prodat","prodat","pf"," “ No fence wants stuff of that sort that you can neither melt nor sell. ”"," "" Žádnej překupník neveme krámy, co se nedaj ani roztavit, ani prodat. """
"said","say","řekl","říci","pf"," “ Quite so, ” said Holmes."," "" Máte pravdu, "" řekl Holmes."
"call","call","přijít","přijít","pf"," “ Well, now, Miss Winter, if you would call here tomorrow evening at five."," "" Podívejte se, slečno Winterová, mohla byste sem přijít zítra v pět hodin?"
"seeing","see","navštívila","navštívit","pf"," I would consider in the meanwhile whether your suggestion of seeing this lady personally may not be arranged."," Do té doby bych zjistil, zda by bylo možné, abyste navštívila dotyčnou dámu, jak navrhujete."
"put","put","Uložil","uložit","pf"," He put me in a private room, treated me kindly, and within a week or so I was removed to the general hospital at Pretoria."," Uložil mne do odděleného pokoje, laskavě o mne pečoval a do týdne jsem byl převezen do všeobecné nemocnice v Pretorii."
"need","need","Musíte","muset","impf"," “ Well, you need a word as well as a set of figures before you can get the lock to work. ”"," "" Musíte znát slovo a ještě číselnou skupinu, než zámek otevřete. """
"rose","rise","Vstal","vstát","pf"," He rose and showed a double-radiating disc round the keyhole."," Vstal a ukázal na dvojitý otáčecí kotouč kolem klíčové dírky."
"showed","show","ukázal","ukázat","pf"," He rose and showed a double-radiating disc round the keyhole."," Vstal a ukázal na dvojitý otáčecí kotouč kolem klíčové dírky."
"run","run","utekl","utéci","pf"," Godfrey had run away from me, and he had shut a door behind him."," Godfrey přede mnou utekl a zavřel za sebou dveře."
"shut","shut","zavřel","zavřít","pf"," Godfrey had run away from me, and he had shut a door behind him."," Godfrey přede mnou utekl a zavřel za sebou dveře."
"let","let","Dovolte","dovolit","pf"," ‘ Kindly let me see them. ’"," ' Dovolte laskavě, abych se přesvědčil. '"
"handed","hand","podal","podat","pf"," He glanced at the two which I handed him, and then he tossed them back."," Přelétl zběžně pohledem oba dopisy, které jsem mu podal, a pak mi je hodil zpátky."
"tossed","toss","podal","podat","pf"," He glanced at the two which I handed him, and then he tossed them back."," Přelétl zběžně pohledem oba dopisy, které jsem mu podal, a pak mi je hodil zpátky."
"phoned","phone","zatelefonoval","zatelefonovat","pf"," The General phoned that all was ready, and the fiery Miss W. turned up according to schedule, so that at half-past five a cab deposited us outside 104 Berkeley Square, where the old soldier resides - one of those awful gray London castles which would make a church seem frivolous."," Generál zatelefonoval, že vše je připraveno, temperamentní slečna Winterová se objevila přesně podle úmluvy, a v půl šesté nás drožka vyložila před číslem 104 na Berkeley Square, kde ten starý voják sídlí - je to jeden z těch chmurných šedých londýnských hradů, vedle nichž i kostel působí frivolně."
"make","make","připraveno","připravit","pf"," The General phoned that all was ready, and the fiery Miss W. turned up according to schedule, so that at half-past five a cab deposited us outside 104 Berkeley Square, where the old soldier resides - one of those awful gray London castles which would make a church seem frivolous."," Generál zatelefonoval, že vše je připraveno, temperamentní slečna Winterová se objevila přesně podle úmluvy, a v půl šesté nás drožka vyložila před číslem 104 na Berkeley Square, kde ten starý voják sídlí - je to jeden z těch chmurných šedých londýnských hradů, vedle nichž i kostel působí frivolně."
