"found","find","našlo","najít","pf"," ‘ The garment found on the strand was placed there in order to mislead?"," "" To tílko, které se našlo na pobřeží, tam bylo nastražené, mělo svést ze stopy?"
"returning","return","vrátila","vrátit","pf"," She rinsed it and dried it, returning it to its place, wondering if the day would come when she ’ d use it again, and in a sudden wave of optimism believing that she would, that with time ’ s healing they ’ d come back."," Omyla ji a utřela, vrátila na místo a při tom přemýšlela, jestli ji ještě někdy použije, a v náhlém návalu optimismu uvěřila, že na to ještě dojde, že čas uzdraví rány a oni se vrátí zpátky."
"wondering","wonder","přemýšlela","přemýšlet","impf"," She rinsed it and dried it, returning it to its place, wondering if the day would come when she ’ d use it again, and in a sudden wave of optimism believing that she would, that with time ’ s healing they ’ d come back."," Omyla ji a utřela, vrátila na místo a při tom přemýšlela, jestli ji ještě někdy použije, a v náhlém návalu optimismu uvěřila, že na to ještě dojde, že čas uzdraví rány a oni se vrátí zpátky."
"use","use","použije","použít","pf"," She rinsed it and dried it, returning it to its place, wondering if the day would come when she ’ d use it again, and in a sudden wave of optimism believing that she would, that with time ’ s healing they ’ d come back."," Omyla ji a utřela, vrátila na místo a při tom přemýšlela, jestli ji ještě někdy použije, a v náhlém návalu optimismu uvěřila, že na to ještě dojde, že čas uzdraví rány a oni se vrátí zpátky."
"believing","believe","uvěřila","uvěřit","pf"," She rinsed it and dried it, returning it to its place, wondering if the day would come when she ’ d use it again, and in a sudden wave of optimism believing that she would, that with time ’ s healing they ’ d come back."," Omyla ji a utřela, vrátila na místo a při tom přemýšlela, jestli ji ještě někdy použije, a v náhlém návalu optimismu uvěřila, že na to ještě dojde, že čas uzdraví rány a oni se vrátí zpátky."
"come","come","dojde","dojít","pf"," She rinsed it and dried it, returning it to its place, wondering if the day would come when she ’ d use it again, and in a sudden wave of optimism believing that she would, that with time ’ s healing they ’ d come back."," Omyla ji a utřela, vrátila na místo a při tom přemýšlela, jestli ji ještě někdy použije, a v náhlém návalu optimismu uvěřila, že na to ještě dojde, že čas uzdraví rány a oni se vrátí zpátky."
"come","come","dojde","dojít","pf"," She rinsed it and dried it, returning it to its place, wondering if the day would come when she ’ d use it again, and in a sudden wave of optimism believing that she would, that with time ’ s healing they ’ d come back."," Omyla ji a utřela, vrátila na místo a při tom přemýšlela, jestli ji ještě někdy použije, a v náhlém návalu optimismu uvěřila, že na to ještě dojde, že čas uzdraví rány a oni se vrátí zpátky."
"healing","heal","uzdraví","uzdravit","pf"," She rinsed it and dried it, returning it to its place, wondering if the day would come when she ’ d use it again, and in a sudden wave of optimism believing that she would, that with time ’ s healing they ’ d come back."," Omyla ji a utřela, vrátila na místo a při tom přemýšlela, jestli ji ještě někdy použije, a v náhlém návalu optimismu uvěřila, že na to ještě dojde, že čas uzdraví rány a oni se vrátí zpátky."
"returning","return","vrátí","vrátit","pf"," She rinsed it and dried it, returning it to its place, wondering if the day would come when she ’ d use it again, and in a sudden wave of optimism believing that she would, that with time ’ s healing they ’ d come back."," Omyla ji a utřela, vrátila na místo a při tom přemýšlela, jestli ji ještě někdy použije, a v náhlém návalu optimismu uvěřila, že na to ještě dojde, že čas uzdraví rány a oni se vrátí zpátky."
"asked","ask","zeptal","zeptat","pf"," ‘ Will we store the wood here? ’ Henry had asked her, pretending that her opinion was valuable."," "" Nemohli bychom tu skladovat dřevo? "" zeptal se jí Henry, jako by na jejím názoru záleželo."
"sat","sit","Sedla","sednout","pf"," She sat there, on a chair that had been in the kitchen until its back fell off."," Sedla si tam, na židli, která bývala v kuchyni, dokud jí neupadlo opěradlo."
"fell","fall","neupadlo","upadnout","pf"," She sat there, on a chair that had been in the kitchen until its back fell off."," Sedla si tam, na židli, která bývala v kuchyni, dokud jí neupadlo opěradlo."
"come","come","nešel","jít","impf"," The sheepdog had not come in with her, turning away at the doorway from the cold air."," Pes s ní nešel dovnitř, u dveří ho odradil studený vzduch."
"heard","hear","zaslechla","zaslechnout","pf"," She heard Henry ’ s footsteps in the yard and he said it was Horahan who had come."," Ze dvora zaslechla Henryho kroky a on jí řekl, že k nim přišel Horahan."
"said","say","řekl","říci","pf"," She heard Henry ’ s footsteps in the yard and he said it was Horahan who had come."," Ze dvora zaslechla Henryho kroky a on jí řekl, že k nim přišel Horahan."
"come","come","přišel","přijít","pf"," She heard Henry ’ s footsteps in the yard and he said it was Horahan who had come."," Ze dvora zaslechla Henryho kroky a on jí řekl, že k nim přišel Horahan."
"trailed","trail","táhl","táhnout","impf"," A chain trailed down one of the pillars, a bell suspended from an iron bracket on the other side."," Z jednoho sloupu se dolů táhl řetěz, z protějšího visel na železném rameni zvonec."
"trailed","trail","visel","viset","impf"," A chain trailed down one of the pillars, a bell suspended from an iron bracket on the other side."," Z jednoho sloupu se dolů táhl řetěz, z protějšího visel na železném rameni zvonec."
"suspended","suspend","visel","viset","impf"," A chain trailed down one of the pillars, a bell suspended from an iron bracket on the other side."," Z jednoho sloupu se dolů táhl řetěz, z protějšího visel na železném rameni zvonec."
"seemed","seem","zdály","zdát","impf"," Together they looked at the pale-blue eyes and at the tresses of fair hair, the halo finished in gold leaf, the dress so light it seemed almost colourless, the lyre held delicately."," Spolu se zadívaly do těch bleděmodrých očí a na plavovlasé kadeře, na svatozář vyvedenou lístkovým zlatem, na šaty tak světlé, až se zdály takřka bez barvy, na jemně drženou lyru."
"heard","hear","slyšela","slyšet","impf"," As a child, the woman said, St Cecilia had heard all the world ’ s music that was yet to come."," Podle té ženy slyšela svatá Cecilie všechnu hudbu světa, která ještě měla přijít."
"come","come","přijít","přijít","pf"," As a child, the woman said, St Cecilia had heard all the world ’ s music that was yet to come."," Podle té ženy slyšela svatá Cecilie všechnu hudbu světa, která ještě měla přijít."
"said","say","řekl","říci","pf"," ‘ We always have our little herd at Lahardane, ’ his father had said, showing off the cows to someone who ’ d called in."," "" V Lahardanu budeme vždycky mít menší stádo, "" řekl jednou jeho otec, když ukazoval krávy nějakému člověku, který se za nimi stavil."
"said","say","ukazoval","ukazovat","impf"," ‘ We always have our little herd at Lahardane, ’ his father had said, showing off the cows to someone who ’ d called in."," "" V Lahardanu budeme vždycky mít menší stádo, "" řekl jednou jeho otec, když ukazoval krávy nějakému člověku, který se za nimi stavil."
"showing","show","ukazoval","ukazovat","impf"," ‘ We always have our little herd at Lahardane, ’ his father had said, showing off the cows to someone who ’ d called in."," "" V Lahardanu budeme vždycky mít menší stádo, "" řekl jednou jeho otec, když ukazoval krávy nějakému člověku, který se za nimi stavil."
"Seen","see","díval","dívat","impf"," Seen closer now, not a single window was boarded."," Teď se na dům díval z větší blízkosti a viděl, že ani jedno okno není zabedněné."
"Seen","see","viděl","vidět","impf"," Seen closer now, not a single window was boarded."," Teď se na dům díval z větší blízkosti a viděl, že ani jedno okno není zabedněné."
"passed","pass","prošel","projít","pf"," Lost in bewilderment, he passed through the white-painted metal gate in the railing that separated the fields from the gravel in front of the house."," Zcela ohromený prošel bíle natřenou kovovou branou v plotě, jenž odděloval pole od štěrku před domem."
"separated","separate","odděloval","oddělovat","impf"," Lost in bewilderment, he passed through the white-painted metal gate in the railing that separated the fields from the gravel in front of the house."," Zcela ohromený prošel bíle natřenou kovovou branou v plotě, jenž odděloval pole od štěrku před domem."
"wanted","want","chtěl","chtít","impf"," In the silence that had gathered as they stood by the car, Ralph wanted to say that he knew about the snares of childhood, and knew as well that his experience was puny compared with what still continued for the girl he believed he loved."," V tichu, které se rozhostilo, když stáli u auta, chtěl Ralph říct, že ví o nástrahách dětství, a rovněž si byl vědom toho, že jeho zkušenost je titěrná oproti tomu, v čem dodnes žije dívka, o níž věřil, že ji má rád."
"say","say","říct","říci","pf"," In the silence that had gathered as they stood by the car, Ralph wanted to say that he knew about the snares of childhood, and knew as well that his experience was puny compared with what still continued for the girl he believed he loved."," V tichu, které se rozhostilo, když stáli u auta, chtěl Ralph říct, že ví o nástrahách dětství, a rovněž si byl vědom toho, že jeho zkušenost je titěrná oproti tomu, v čem dodnes žije dívka, o níž věřil, že ji má rád."
"believed","believe","věřil","věřit","impf"," In the silence that had gathered as they stood by the car, Ralph wanted to say that he knew about the snares of childhood, and knew as well that his experience was puny compared with what still continued for the girl he believed he loved."," V tichu, které se rozhostilo, když stáli u auta, chtěl Ralph říct, že ví o nástrahách dětství, a rovněž si byl vědom toho, že jeho zkušenost je titěrná oproti tomu, v čem dodnes žije dívka, o níž věřil, že ji má rád."
"stood","stand","má","mít","impf"," In the silence that had gathered as they stood by the car, Ralph wanted to say that he knew about the snares of childhood, and knew as well that his experience was puny compared with what still continued for the girl he believed he loved."," V tichu, které se rozhostilo, když stáli u auta, chtěl Ralph říct, že ví o nástrahách dětství, a rovněž si byl vědom toho, že jeho zkušenost je titěrná oproti tomu, v čem dodnes žije dívka, o níž věřil, že ji má rád."
"like","like","Chtěl","chtít","impf"," ‘ Would you like to see the hives? ’"," "" Chtěl byste se podívat na úly? """
"see","see","podívat","podívat","pf"," ‘ Would you like to see the hives? ’"," "" Chtěl byste se podívat na úly? """
"wearing","wear","měla","mít","impf"," She was wearing a different white dress, with sleeves that came halfway down her arms, its collar different too."," Dnes na sobě měla jiné bílé šaty, s rukávy do půlky paže, i límeček byl jiný."
"sought","seek","Nesnažila","snažit","impf"," She had not sought to understand, only continuing in her obedience to an intention that was entirely her own, to do what she was drawn to do."," Nesnažila se to pochopit, jen dál sloužila záměru, který byl zcela její, dělala to, k čemu ji to táhlo."
"understand","understand","pochopit","pochopit","pf"," She had not sought to understand, only continuing in her obedience to an intention that was entirely her own, to do what she was drawn to do."," Nesnažila se to pochopit, jen dál sloužila záměru, který byl zcela její, dělala to, k čemu ji to táhlo."
"do","do","dělala","dělat","impf"," She had not sought to understand, only continuing in her obedience to an intention that was entirely her own, to do what she was drawn to do."," Nesnažila se to pochopit, jen dál sloužila záměru, který byl zcela její, dělala to, k čemu ji to táhlo."
"do","do","dělala","dělat","impf"," She had not sought to understand, only continuing in her obedience to an intention that was entirely her own, to do what she was drawn to do."," Nesnažila se to pochopit, jen dál sloužila záměru, který byl zcela její, dělala to, k čemu ji to táhlo."
"watched","watch","sledovala","sledovat","impf"," She watched the people in the café for a little longer, the accordion player finishing the cup of tea he was not asked to pay for, the baby sleeping in its pram, a couple eating fish and fried potatoes, two women intently conversing."," Ještě chvíli sledovala lidi v kavárně - harmonikář dopil šálek čaje, za nějž po něm nikdo nechtěl zaplatit, dítě spalo v kočárku, pár jedl rybu se smaženými bramborami, dvě ženy si dychtivě povídaly."
"pay","pay","zaplatit","zaplatit","pf"," She watched the people in the café for a little longer, the accordion player finishing the cup of tea he was not asked to pay for, the baby sleeping in its pram, a couple eating fish and fried potatoes, two women intently conversing."," Ještě chvíli sledovala lidi v kavárně - harmonikář dopil šálek čaje, za nějž po něm nikdo nechtěl zaplatit, dítě spalo v kočárku, pár jedl rybu se smaženými bramborami, dvě ženy si dychtivě povídaly."
"eating","eat","jedl","jíst","impf"," She watched the people in the café for a little longer, the accordion player finishing the cup of tea he was not asked to pay for, the baby sleeping in its pram, a couple eating fish and fried potatoes, two women intently conversing."," Ještě chvíli sledovala lidi v kavárně - harmonikář dopil šálek čaje, za nějž po něm nikdo nechtěl zaplatit, dítě spalo v kočárku, pár jedl rybu se smaženými bramborami, dvě ženy si dychtivě povídaly."
"tried","try","snažila","snažit","impf"," In the quietness of the room Lucy tried to say that she might have married the man she loved, that her father and her mother had been driven from their house, that her mother had never recovered from her distress."," V tichu místnosti se Lucy snažila říct, že by si bývala mohla vzít muže, kterého milovala, že tátu a mámu takhle vyhnali z domu, že se máma té bolesti nikdy nezbavila."
"say","say","říct","říci","pf"," In the quietness of the room Lucy tried to say that she might have married the man she loved, that her father and her mother had been driven from their house, that her mother had never recovered from her distress."," V tichu místnosti se Lucy snažila říct, že by si bývala mohla vzít muže, kterého milovala, že tátu a mámu takhle vyhnali z domu, že se máma té bolesti nikdy nezbavila."
"loved","love","milovala","milovat","impf"," In the quietness of the room Lucy tried to say that she might have married the man she loved, that her father and her mother had been driven from their house, that her mother had never recovered from her distress."," V tichu místnosti se Lucy snažila říct, že by si bývala mohla vzít muže, kterého milovala, že tátu a mámu takhle vyhnali z domu, že se máma té bolesti nikdy nezbavila."
"wept","weep","plakat","plakat","impf"," She might have wept but she had not and she did not now;"," Bývala by mohla plakat, ale neuronila slzu předtím ani teď;"
"returned","return","vrátil","vrátit","pf"," For a moment she álooked into the features of the man who had returned after so long and saw there only madness."," Na chvíli se zadívala do tváře člověka, který se vrátil po takové době, a viděla tam jen šílenství."
"saw","see","viděla","vidět","impf"," For a moment she álooked into the features of the man who had returned after so long and saw there only madness."," Na chvíli se zadívala do tváře člověka, který se vrátil po takové době, a viděla tam jen šílenství."
"clambered","clamber","Šplhali","šplhat","impf"," The way lit by their guide, they clambered over slippery rock beneath the stalactites, while the different caves were named for them : the House of Commons, the House of Lords, Kingston Gallery, O ’ Leary ’ s."," Šplhali po kluzkých kamenech pod stalaktity, průvodce jim svítil na cestu a pojmenovával různé jeskyně : Dolní sněmovna, Sněmovna lordů, Ochoz Kingstonových, O ' Learyho jeskyně."
"lit","light","svítil","svítit","impf"," The way lit by their guide, they clambered over slippery rock beneath the stalactites, while the different caves were named for them : the House of Commons, the House of Lords, Kingston Gallery, O ’ Leary ’ s."," Šplhali po kluzkých kamenech pod stalaktity, průvodce jim svítil na cestu a pojmenovával různé jeskyně : Dolní sněmovna, Sněmovna lordů, Ochoz Kingstonových, O ' Learyho jeskyně."
"waited","wait","Počkali","počkat","pf"," They waited for the spiders that were peculiar to the place to creep out from the crevices, and afterwards they walked about the town that gave the caves their name."," Počkali, až ze škvír vylezou pavouci, kteří byli místní zvláštností, a potom se prošli po městě, jež dalo jeskyním jméno."
"gave","give","dalo","dát","pf"," They waited for the spiders that were peculiar to the place to creep out from the crevices, and afterwards they walked about the town that gave the caves their name."," Počkali, až ze škvír vylezou pavouci, kteří byli místní zvláštností, a potom se prošli po městě, jež dalo jeskyním jméno."
"ran","run","Utekla","utéci","pf"," ‘ She ran off, ’ Henry said."," "" Utekla, "" řekl Henry."
"said","say","řekl","říci","pf"," ‘ She ran off, ’ Henry said."," "" Utekla, "" řekl Henry."
"done","do","udělala","udělat","pf"," ‘ She ’ s frightened by what she done. ’"," "" Je vyděšená z toho, co udělala. """
"do","do","udělala","udělat","pf"," ‘ Why d ’ you do a thing like that, Lucy? ’"," "" Proč jsi něco takového udělala, Lucy? """
"sounded","sound","zní","znít","impf"," Her own voice sounded foolish, Bridget thought, and hearing it she experienced the guilt of foolishness."," Můj hlas zní hloupě, pomyslela si Bridget a měla z té hlouposti výčitky svědomí."
"thought","think","pomyslela","pomyslet","pf"," Her own voice sounded foolish, Bridget thought, and hearing it she experienced the guilt of foolishness."," Můj hlas zní hloupě, pomyslela si Bridget a měla z té hlouposti výčitky svědomí."
"thought","think","měla","mít","impf"," Her own voice sounded foolish, Bridget thought, and hearing it she experienced the guilt of foolishness."," Můj hlas zní hloupě, pomyslela si Bridget a měla z té hlouposti výčitky svědomí."
"experienced","experience","měla","mít","impf"," Her own voice sounded foolish, Bridget thought, and hearing it she experienced the guilt of foolishness."," Můj hlas zní hloupě, pomyslela si Bridget a měla z té hlouposti výčitky svědomí."
"hung","hang","pověsila","pověsit","pf"," She hung her umbrella on the back of her table ’ s other chair."," Deštník si pověsila na opěradlo druhé židle u stolu."
"called","call","zavolala","zavolat","pf"," ‘ That ’ s shocking weather, ’ the woman behind the bread counter called out to her."," "" Děsný počasí, co? "" zavolala žena za pultem s chlebem."
"suppose","suppose","Předpokládám","předpokládat","impf"," They said nothing to you before they left, I suppose, about the possibility of a change of heart?"," "" Předpokládám, že vám před odjezdem neřekli nic o tom, nakolik je možné, že si to rozmyslí?"
"said","say","neřekli","říci","pf"," They said nothing to you before they left, I suppose, about the possibility of a change of heart?"," "" Předpokládám, že vám před odjezdem neřekli nic o tom, nakolik je možné, že si to rozmyslí?"
"picked","pick","Sebrala","sebrat","pf"," She picked them up in case it would rain later."," Sebrala je, aby nezmokly, kdyby později začalo pršet."
"rain","rain","pršet","pršet","impf"," She picked them up in case it would rain later."," Sebrala je, aby nezmokly, kdyby později začalo pršet."
"stroked","stroke","Pohladila","pohladit","pf"," She stroked the smooth, dark head and felt it pressed against her thigh."," Pohladila jeho hladkou černou hlavu a cítila, jak se jí při tom tiskne ke stehnu."
"felt","feel","cítila","cítit","impf"," She stroked the smooth, dark head and felt it pressed against her thigh."," Pohladila jeho hladkou černou hlavu a cítila, jak se jí při tom tiskne ke stehnu."
"pressed","press","tiskne","tisknout","impf"," She stroked the smooth, dark head and felt it pressed against her thigh."," Pohladila jeho hladkou černou hlavu a cítila, jak se jí při tom tiskne ke stehnu."
"kept","keep","udržoval","udržovat","impf"," When a fire was kept going in the feed shed she used to sit by it in winter, as Bridget once told her she had too when she was a child."," Když se ještě v kůlně s krmením udržoval oheň, v zimě u něj sedávala, úplně stejně jako v dětství Bridget, jak se od ní dozvěděla."
"changed","change","změnil","změnit","pf"," There hadn ’ t been a fire there since, years ago, its purpose had changed."," Oheň tu nikdo nezapálil už roky, její účel se změnil."
"repeated","repeat","opakoval","opakovat","impf"," bygones were bygones, he repeated;"," staré křivdy jsou odpuštěny, opakoval;"
"wish","wish","nechce","chtít","impf"," in no way did he wish to be inhospitable."," v žádném případě se nechce zachovat jako špatný hostitel."
"settled","settle","vyřešil","vyřešit","pf"," ‘ Time has settled our hash for us, Mr Horahan."," "" Čas vyřešil tu naši polízanici za nás, pane Horahane."
"come","come","nepřišel","přijít","pf"," But for all that it might have been better if you hadn ’ t come out here again. ’"," Přes to přese všechno by možná bývalo lepší, kdybyste sem už znovu nepřišel. """
"occurred","occur","napadlo","napadnout","pf"," It occurred to him as he spoke that the man had come looking for work, since he had said he was unemployed."," Za řeči ho napadlo, že sem ten člověk třeba přišel hledat práci, protože předtím řekl, že je nezaměstnaný."
"occurred","occur","přišel","přijít","pf"," It occurred to him as he spoke that the man had come looking for work, since he had said he was unemployed."," Za řeči ho napadlo, že sem ten člověk třeba přišel hledat práci, protože předtím řekl, že je nezaměstnaný."
"come","come","přišel","přijít","pf"," It occurred to him as he spoke that the man had come looking for work, since he had said he was unemployed."," Za řeči ho napadlo, že sem ten člověk třeba přišel hledat práci, protože předtím řekl, že je nezaměstnaný."
"looking","look","hledat","hledat","impf"," It occurred to him as he spoke that the man had come looking for work, since he had said he was unemployed."," Za řeči ho napadlo, že sem ten člověk třeba přišel hledat práci, protože předtím řekl, že je nezaměstnaný."
"spoke","speak","řekl","říci","pf"," It occurred to him as he spoke that the man had come looking for work, since he had said he was unemployed."," Za řeči ho napadlo, že sem ten člověk třeba přišel hledat práci, protože předtím řekl, že je nezaměstnaný."
"said","say","řekl","říci","pf"," It occurred to him as he spoke that the man had come looking for work, since he had said he was unemployed."," Za řeči ho napadlo, že sem ten člověk třeba přišel hledat práci, protože předtím řekl, že je nezaměstnaný."
"remark","remark","poznamenal","poznamenat","pf"," ‘ It is our tragedy in Ireland, ’ he was heard to remark more than once, ‘ that for one reason or another we are repeatedly obliged to flee from what we hold dear."," "" Naše národní irská tragédie spočívá v tom, "" poznamenal nejednou, "" že z toho či onoho důvodu musíme opakovaně utíkat od toho, co je nám drahé."
"flee","flee","utíkat","utíkat","impf"," ‘ It is our tragedy in Ireland, ’ he was heard to remark more than once, ‘ that for one reason or another we are repeatedly obliged to flee from what we hold dear."," "" Naše národní irská tragédie spočívá v tom, "" poznamenal nejednou, "" že z toho či onoho důvodu musíme opakovaně utíkat od toho, co je nám drahé."
"gone","go","Odešli","odejít","pf"," Our defeated patriots have gone, our great earls, our Famine emigrants, and now the poor to search for work."," Odešli naši poražení vlastenci, naše velká hrabata, emigranti za velkého hladomoru a teď odcházejí za prací chudí."
"gone","go","odcházejí","odcházet","impf"," Our defeated patriots have gone, our great earls, our Famine emigrants, and now the poor to search for work."," Odešli naši poražení vlastenci, naše velká hrabata, emigranti za velkého hladomoru a teď odcházejí za prací chudí."
"believe","believe","nevěřil","věřit","impf"," He did not himself believe that further misfortune, natural or otherwise, had befallen Captain Gault and his wife."," On osobně nevěřil, že se kapitánu Gaultovi a jeho ženě stalo nějaké další neštěstí, ať už by to byla přírodní katastrofa nebo něco jiného."
"went","go","Odešla","odejít","pf"," She went away and a moment later returned with a bottle and two glasses."," Odešla pryč a za chvíli se vrátila s lahví a sklenkami."
"returned","return","vrátila","vrátit","pf"," She went away and a moment later returned with a bottle and two glasses."," Odešla pryč a za chvíli se vrátila s lahví a sklenkami."
"moved","move","Posunuli","posunout","pf"," They pulled two chairs up to a table they moved closer to the fire."," Posunuli stůl blíž k ohni a přitáhli k němu dvě židle."
"pulled","pull","přitáhli","přitáhnout","pf"," They pulled two chairs up to a table they moved closer to the fire."," Posunuli stůl blíž k ohni a přitáhli k němu dvě židle."
"poured","pour","nalil","nalít","pf"," Ralph poured the wine and he wanted, then, not ever to leave this house he had come to."," Ralph nalil víno a tehdy zatoužil, aby tento dům již nikdy nemusel opustit."
"wanted","want","zatoužil","zatoužit","pf"," Ralph poured the wine and he wanted, then, not ever to leave this house he had come to."," Ralph nalil víno a tehdy zatoužil, aby tento dům již nikdy nemusel opustit."
"leave","leave","opustit","opustit","pf"," Ralph poured the wine and he wanted, then, not ever to leave this house he had come to."," Ralph nalil víno a tehdy zatoužil, aby tento dům již nikdy nemusel opustit."
"recalled","recall","vzpomínal","vzpomínat","impf"," ‘ If I ’ m not wrong about it, one of those boys went down at Passchendaele, ’ the solicitor recalled."," "" Jestli se nemýlím, tak jeden z těch chlapců padl u Passchendaele, "" vzpomínal právník."
"hear","hear","neslyšela","slyšet","impf"," ‘ I didn ’ t ever hear that. ’"," "" O tom jsem nikdy neslyšela. """
"said","say","neřekla","říci","pf"," she knows that but has never said it to the nuns, has never included in the story of herself the days that felt like years when she lay among the fallen stones."," ví to, ale tohle jeptiškám nikdy neřekla, do vyprávění o sobě nikdy nezařadila ty dny, které jí připadaly jako roky, když ležela mezi popadanými kameny."
"lay","lie","ležela","ležet","impf"," she knows that but has never said it to the nuns, has never included in the story of herself the days that felt like years when she lay among the fallen stones."," ví to, ale tohle jeptiškám nikdy neřekla, do vyprávění o sobě nikdy nezařadila ty dny, které jí připadaly jako roky, když ležela mezi popadanými kameny."
"watches","watch","Sleduje","sledovat","impf"," She watches the tide coming in."," Sleduje, jak přichází příliv."
"coming","come","přichází","přicházet","impf"," She watches the tide coming in."," Sleduje, jak přichází příliv."
"goes","go","začne","začít","pf"," She watches it turning before she goes back, through the fields and the orchard."," A vytrvá do chvíle, kdy se příliv začne obracet, načež zamíří zpátky přes pole a sad."
"turning","turn","obracet","obracet","impf"," She watches it turning before she goes back, through the fields and the orchard."," A vytrvá do chvíle, kdy se příliv začne obracet, načež zamíří zpátky přes pole a sad."
"turning","turn","zamíří","zamířit","pf"," She watches it turning before she goes back, through the fields and the orchard."," A vytrvá do chvíle, kdy se příliv začne obracet, načež zamíří zpátky přes pole a sad."
"gone","go","odjel","odjet","pf"," And often Lucy read, for yet another time, the first of all Ralph ’ s letters since he had gone."," A Lucy si často, znovu a znovu, pročítala první ze všech Ralphových dopisů od té doby, co odjel."
"add","add","Sčítám","sčítat","impf"," ... I add up figures and lose my way in them."," ... Sčítám cifry a ztrácím se v nich."
"lose","lose","ztrácím","ztrácet","impf"," ... I add up figures and lose my way in them."," ... Sčítám cifry a ztrácím se v nich."
"look","look","Dívám","dívat","impf"," I look down through the paned glass of an office to the hubbub of activity below and in my melancholy feel its mockery."," Dívám se skrz skleněné tabule kanceláře dolů na ten čilý ruch a ve své melancholii cítím, jaký je to výsměch."
"feel","feel","cítím","cítit","impf"," I look down through the paned glass of an office to the hubbub of activity below and in my melancholy feel its mockery."," Dívám se skrz skleněné tabule kanceláře dolů na ten čilý ruch a ve své melancholii cítím, jaký je to výsměch."
"reminded","remind","připomněla","připomenout","pf"," ‘ Love is greedy when it is starved, ’ Heloise reminded him when they walked across the difficult paving."," "" Když je láska vyhladovělá, bývá chamtivá, "" připomněla mu Heloise, když šli po hrbolatém dláždění."
"walked","walk","šli","jít","impf"," ‘ Love is greedy when it is starved, ’ Heloise reminded him when they walked across the difficult paving."," "" Když je láska vyhladovělá, bývá chamtivá, "" připomněla mu Heloise, když šli po hrbolatém dláždění."
"remember","remember","nepamatuješ","pamatovat","impf"," ‘ Don ’ t you remember, Everard?"," "" Copak si to nepamatuješ, Everarde?"
"agreed","agree","souhlasila","souhlasit","impf"," She would rather be anywhere but here, Lucy thought, and wished she hadn ’ t agreed to explore the caves at Mitchelstown."," Nejradši by byla kdekoli jinde, říkala si Lucy a litovala, že souhlasila s výpravou do Mitchelstownských jeskyní."
"thought","think","nevzpomněl","vzpomenout","pf"," What perversity had been at play when no one had thought of a friendly upstairs maid with whom a distraught child might find a haven?"," Co to bylo za zvrácenost osudu, že si nikdo nevzpomněl na přátelskou služku, u níž by rozrušené dítě mohlo najít útočiště?"
"find","find","najít","najít","pf"," What perversity had been at play when no one had thought of a friendly upstairs maid with whom a distraught child might find a haven?"," Co to bylo za zvrácenost osudu, že si nikdo nevzpomněl na přátelskou služku, u níž by rozrušené dítě mohlo najít útočiště?"
"came","come","Nepřišly","přijít","pf"," No answers came."," Nepřišly žádné odpovědi."
"wiped","wipe","utřel","utřít","pf"," Standing up, Aloysius Sullivan wiped a smear of butter from his lips with the napkin that had been brought to him with his tea."," Aloysius Sullivan vstal a ubrouskem, který dostal k čaji, si ze rtů utřel šmouhu od másla."
"called","call","zavolal","zavolat","pf"," In the hall he called for Bridget and when she came they walked together to his car."," V hale zavolal Bridget, a když se ukázala, společně došli k jeho autu."
"came","come","došli","dojít","pf"," In the hall he called for Bridget and when she came they walked together to his car."," V hale zavolal Bridget, a když se ukázala, společně došli k jeho autu."
"said","say","prohlásila","prohlásit","pf"," But she said she didn ’ t want that, and waved instead from the hall door, and then from the avenue."," Ale ona prohlásila, že to nechce, a místo toho mu zamávala ode dveří do předsíně a potom z aleje."
"want","want","nechce","chtít","impf"," But she said she didn ’ t want that, and waved instead from the hall door, and then from the avenue."," Ale ona prohlásila, že to nechce, a místo toho mu zamávala ode dveří do předsíně a potom z aleje."
"waved","wave","zamávala","zamávat","pf"," But she said she didn ’ t want that, and waved instead from the hall door, and then from the avenue."," Ale ona prohlásila, že to nechce, a místo toho mu zamávala ode dveří do předsíně a potom z aleje."
"dying","die","umírala","umírat","impf"," When his mother lay dying he had thought to share his trouble with her, for as things were she would have passed it on to no one."," Když jeho matka umírala, napadlo ho, že se jí s těmito potížemi svěří, protože je vzhledem ke svému stavu už nebude moci nikomu prozradit."
"wanted","want","Chtěl","chtít","impf"," He wanted to embrace his daughter, yet did not do so, sensing something in her that prevented him."," Chtěl svou dceru obejmout, neudělal to ale, protože v ní vycítil něco, co mu v tom zabránilo."
"embrace","embrace","obejmout","obejmout","pf"," He wanted to embrace his daughter, yet did not do so, sensing something in her that prevented him."," Chtěl svou dceru obejmout, neudělal to ale, protože v ní vycítil něco, co mu v tom zabránilo."
"did","do","neudělal","udělat","pf"," He wanted to embrace his daughter, yet did not do so, sensing something in her that prevented him."," Chtěl svou dceru obejmout, neudělal to ale, protože v ní vycítil něco, co mu v tom zabránilo."
"do","do","neudělal","udělat","pf"," He wanted to embrace his daughter, yet did not do so, sensing something in her that prevented him."," Chtěl svou dceru obejmout, neudělal to ale, protože v ní vycítil něco, co mu v tom zabránilo."
"sensing","sense","vycítil","vycítit","pf"," He wanted to embrace his daughter, yet did not do so, sensing something in her that prevented him."," Chtěl svou dceru obejmout, neudělal to ale, protože v ní vycítil něco, co mu v tom zabránilo."
