"remove","remove","odstranit","odstranit","pf"," And the way to remove the mistake is to get a more sophisticated concept of causation."," A tento omyl je možno odstranit tak, že zpřesníme pojem kauzality."
"caused","cause","způsobena","způsobit","pf"," Indeed, as far as[ ]the actual sensations are concerned, the events inside the central nervous system are quite sufficient to cause pains - we know this both from the phantom-limb pains felt by amputees and the pains caused by artificially stimulating relevant portions of the brain."," Pokud jde však o samy pocity, může být bolest způsobena pouze událostí v centrálním nervovém systému tak to známe z fantomových bolestí po amputaci i z bolestí, které jsou vyprovokovány umělým podrážděním příslušných mozkových center."
"rests","rest","spočívá","spočívat","impf"," And there is an obvious reason why they have to[ ]be inadequate, since the argument rests on a very simple logical truth, namely, syntax alone is not sufficient for semantics, and digital computers insofar as they are computers have, by definition, a syntax alone."," Moje argumentace totiž spočívá na velmi jednoduché logické pravdě, že syntax nestačí na sémantiku, a digitální počítače, jako počítače, mají per definitionem pouze syntax."
"want","want","Chtěl","chtít","impf"," I want to make this clear by considering a couple of the[ ]arguments that are often presented against me."," Chtěl bych to objasnit na několika obvyklých argumentech proti mému pojetí."
"understands","understand","rozumí","rozumět","impf"," Some people attempt to answer the Chinese room example[ ]by saying that the whole system understands Chinese."," Někteří lidé se příklad s čínským pokojem pokoušejí smést se stolu s tím, že čínštině rozumí systém jako celek."
"suppose","suppose","Předpokládejme","předpokládat","impf"," Now, suppose that that is just a plain fact[ ]about why you voted for the Tories, as it is an equally plain fact that you did vote for the Tories."," Předpokládejme dále, že je to důvod, proč jste volili konzervativce."
"voted","vote","volili","volit","impf"," Now, suppose that that is just a plain fact[ ]about why you voted for the Tories, as it is an equally plain fact that you did vote for the Tories."," Předpokládejme dále, že je to důvod, proč jste volili konzervativce."
"Suppose","suppose","předpokládejme","předpokládat","impf"," Suppose furthermore that[ ]some political sociologists come up with an absolutely exceptionless universal generalisation about people who exactly fit your description - your socio-economic status, your income level, your education, your other interests, and so on."," A předpokládejme, že sociologové politiky disponují zcela bezvýhradnou generalizací pro všechny, na které platí váš popis - vaše společensko - ekonomické postavení, úroveň příjmů, vzdělání, zájmy a tak dále."
"vote","vote","volí","volit","impf"," Suppose[ ]the absolutely exceptionless generalisation is to the effect that people like you invariably vote for the Tories."," Předpokládejme, že smyslem této generalizace je, že lidé jako vy neomylně volí konzervativce."
"try","try","pokoušíme","pokoušet","impf"," It is a persistent mistake to try to define ‘ science ’ in terms of certain features of existing scientific theories."," Děláme tedy chybu, pokoušíme - li se ' vědu ' definovat výhradně prostřednictvím pojmenování vlastností charakteristických pro stávající vědecké teorie."
"rests","rest","spočívá","spočívat","impf"," Since the interpretation of the existing evidence rests on an ambiguity in certain crucial motions such as those of information processing and rule following."," Neboť interpretace stávajících evidencí spočívá na víceznačnosti ústředních pojmů, jako ' zpracování informací ' a ' chování podle pravidel '."
"expand","expand","rozšířit","rozšířit","pf"," My first plans for the book version were to expand each of the chapters in a way that would attempt to meet all of the objections that I could imagine coming from my cantankerous fellow philosophers, not to mention colleagues in cognitive science, artificial intelligence, and other fields."," Pro knižní vydání jsem původně zamýšlel rozšířit každou kapitolu tak, abych se v ní dotkl námitek, které jsem mohl očekávat ze strany hašteřivých kolegů filosofů a samozřejmě i ze strany kolegů z kognitivních věd, umělé inteligence a jiných oblastí."
"like","like","líbí","líbit","impf"," ’ As a philosopher, I like all these claims[ ]for a simple reason."," Jako filosofovi se mi tato tvrzení líbí z jednoho prostého důvodu."
"want","want","Chci","chtít","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"go","go","jít","jít","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"do","do","jít","jít","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"go","go","jít","jít","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"going","go","jít","jít","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"go","go","jdu","jít","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"do","do","jdu","jít","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"go","go","jdu","jít","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"going","go","jdu","jít","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"represents","represent","reprezentuje","reprezentovat","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"go","go","jdu","jít","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"do","do","jdu","jít","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"go","go","jdu","jít","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"going","go","jdu","jít","impf"," For example, if I want to go to the movies, and I do go to the movies, normally my desire will cause the very event that it represents, my going to the movies."," Chci - li jít například do kina a jdu - li pak opravdu do kina, moje přání jednoduše způsobuje právě tu událost, kterou reprezentuje : že jdu do kina."
"represents","represent","reprezentuje","reprezentovat","impf"," The cause both represents and brings about the effect."," Příčina následek jednak reprezentuje, jednak ho způsobuje."
"call","call","říkám","říkat","impf"," I call such kinds of cause and effect relations, cases of ‘ intentional causation ’."," Takovým vztahům mezi příčinou a následkem říkám ' intencionální kauzalita '."
"counts","count","považují","považovat","impf"," What counts as money or a promise or a marriage is in large part a matter of what people think of as money or a promise or a marriage."," Peníze, slib nebo sňatek z větší části závisejí na tom, co za ně lidé považují."
"think","think","považují","považovat","impf"," What counts as money or a promise or a marriage is in large part a matter of what people think of as money or a promise or a marriage."," Peníze, slib nebo sňatek z větší části závisejí na tom, co za ně lidé považují."
"stipulate","stipulate","určit","určit","pf"," There is strictly speaking no physical limit to what we can regard as or stipulate to be money or a promise or a marriage ceremony."," Přísně vzato neexistuje žádné fyzikální omezení pro to, co lze určit jako peníze, slib nebo sňatek."
"imagine","imagine","představíte","představit","pf"," I think I can easily get you to see that by asking you[ ]to imagine what it would be like if we actually had a ‘ law ’, that is, a universal generalisation, concerning some aspect of your behaviour."," Celkem jasné je to, když si představíte situaci, kdy bychom skutečně měli ' zákon ' - čili univerzální zobecnění - pro nějaký aspekt našeho chování."
"think","think","měli","mít","impf"," I think I can easily get you to see that by asking you[ ]to imagine what it would be like if we actually had a ‘ law ’, that is, a universal generalisation, concerning some aspect of your behaviour."," Celkem jasné je to, když si představíte situaci, kdy bychom skutečně měli ' zákon ' - čili univerzální zobecnění - pro nějaký aspekt našeho chování."
"Suppose","suppose","Předpokládejme","předpokládat","impf"," Suppose that in the last election, you voted for the Tories, [ ]and suppose that you voted for the Tories because you thought they would do more to solve the problem of inflation than any of the other parties."," Předpokládejme, že jste při posledních volbách volili konzervativce, protože jste si mysleli, že v boji proti inflaci budou aktivnější než kterákoli jiná strana."
"suppose","suppose","Předpokládejme","předpokládat","impf"," Suppose that in the last election, you voted for the Tories, [ ]and suppose that you voted for the Tories because you thought they would do more to solve the problem of inflation than any of the other parties."," Předpokládejme, že jste při posledních volbách volili konzervativce, protože jste si mysleli, že v boji proti inflaci budou aktivnější než kterákoli jiná strana."
"thought","think","Předpokládejme","předpokládat","impf"," Suppose that in the last election, you voted for the Tories, [ ]and suppose that you voted for the Tories because you thought they would do more to solve the problem of inflation than any of the other parties."," Předpokládejme, že jste při posledních volbách volili konzervativce, protože jste si mysleli, že v boji proti inflaci budou aktivnější než kterákoli jiná strana."
"voted","vote","volili","volit","impf"," Suppose that in the last election, you voted for the Tories, [ ]and suppose that you voted for the Tories because you thought they would do more to solve the problem of inflation than any of the other parties."," Předpokládejme, že jste při posledních volbách volili konzervativce, protože jste si mysleli, že v boji proti inflaci budou aktivnější než kterákoli jiná strana."
"voted","vote","volili","volit","impf"," Suppose that in the last election, you voted for the Tories, [ ]and suppose that you voted for the Tories because you thought they would do more to solve the problem of inflation than any of the other parties."," Předpokládejme, že jste při posledních volbách volili konzervativce, protože jste si mysleli, že v boji proti inflaci budou aktivnější než kterákoli jiná strana."
"Suppose","suppose","mysleli","myslet","impf"," Suppose that in the last election, you voted for the Tories, [ ]and suppose that you voted for the Tories because you thought they would do more to solve the problem of inflation than any of the other parties."," Předpokládejme, že jste při posledních volbách volili konzervativce, protože jste si mysleli, že v boji proti inflaci budou aktivnější než kterákoli jiná strana."
"suppose","suppose","mysleli","myslet","impf"," Suppose that in the last election, you voted for the Tories, [ ]and suppose that you voted for the Tories because you thought they would do more to solve the problem of inflation than any of the other parties."," Předpokládejme, že jste při posledních volbách volili konzervativce, protože jste si mysleli, že v boji proti inflaci budou aktivnější než kterákoli jiná strana."
"thought","think","mysleli","myslet","impf"," Suppose that in the last election, you voted for the Tories, [ ]and suppose that you voted for the Tories because you thought they would do more to solve the problem of inflation than any of the other parties."," Předpokládejme, že jste při posledních volbách volili konzervativce, protože jste si mysleli, že v boji proti inflaci budou aktivnější než kterákoli jiná strana."
"play","play","hrál","hrát","impf"," In order that the rule be followed, the meaning of the rule has to play some causal role in the behaviour."," K tomu je třeba, aby jejich význam hrál kauzální roli při vzniku chování."
"represent","represent","reprezentovat","reprezentovat","impf"," How can a mechanical universe contain intentionalistic human beings - that is, human beings that can represent the world to themselves?"," Jak je možné, že jsou lidé v mechanickém univerzu nadáni intencionalitou, tedy schopností reprezentovat svět?"
"contain","contain","obsahuje","obsahovat","impf"," How, in short, can an essentially meaningless world contain meanings?"," A jak je možné, že svět, jehož podstatou je absence významu, obsahuje významy?"
"describe","describe","popsat","popsat","pf"," Now, we can describe the water as if it were doing information-processing."," Tuto vodu můžeme popsat tak, jako by zpracovávala informace."
"use","use","využít","využít","pf"," And we might even use it to get information."," A opravdu bychom ji také mohli využít k získání jisté informace."
"use","use","využít","využít","pf"," We might use it, for example, to get information about the line of least resistance in the contours of the hill."," Mohli bychom ji například využít k získání informace o dráze nejmenšího odporu po svahu kopce."
"follow","follow","nevyplývá","vyplývat","impf"," But it doesn ’ t follow from that that there is anything of psychological relevance about water running downhill."," Z toho ovšem nevyplývá, že na vodě tekoucí do údolí je něco psychologicky relevantního."
"think","think","Myslím","myslet","impf"," I think this answer is consistent with the standard biological approaches to biological phenomena."," Myslím, že tato odpověď se dobře snáší s tím, jak se v biologii běžně vysvětlují biologické fenomény."
"tell","tell","říci","říci","pf"," Because of these differences, it is much easier for us to localise a prickling sensation[ ]- we can tell fairly accurately where someone is sticking a pin into our skin, for example - whereas burning and aching pains can be more distressing because they activate more of the nervous system."," Proto nám připadá jednodušší lokalizovat bodavou bolest - můžeme například celkem přesně říci, kde nás někdo píchá jehlou -, zatímco pálivá a tupá bolest nás dráždí o to víc, že aktivuje větší část nervového systému."
"prickling","prickle","píchá","píchat","impf"," Because of these differences, it is much easier for us to localise a prickling sensation[ ]- we can tell fairly accurately where someone is sticking a pin into our skin, for example - whereas burning and aching pains can be more distressing because they activate more of the nervous system."," Proto nám připadá jednodušší lokalizovat bodavou bolest - můžeme například celkem přesně říci, kde nás někdo píchá jehlou -, zatímco pálivá a tupá bolest nás dráždí o to víc, že aktivuje větší část nervového systému."
"sticking","stick","píchá","píchat","impf"," Because of these differences, it is much easier for us to localise a prickling sensation[ ]- we can tell fairly accurately where someone is sticking a pin into our skin, for example - whereas burning and aching pains can be more distressing because they activate more of the nervous system."," Proto nám připadá jednodušší lokalizovat bodavou bolest - můžeme například celkem přesně říci, kde nás někdo píchá jehlou -, zatímco pálivá a tupá bolest nás dráždí o to víc, že aktivuje větší část nervového systému."
"caused","cause","vyvolává","vyvolávat","impf"," The actual sensation of pain appears to[ ]be caused both by the stimulation of the basal regions of the brain, especially the thalamus, and the stimulation of the somato-sensory cortex."," Skutečný pocit bolesti tedy očividně vyvolává jak podráždění určitých krajin v mozkovém kmeni, zvláště v thalamu, tak podráždění somato - senzorického centra v mozkové kůře."
"return","return","Vraťme","vrátit","pf"," Let us now return to the four problems that I said faced any attempt to solve the mind-brain problem."," Vraťme se nyní ke čtyřem problémům, s nimiž se jak jsem uvedl výše - musí utkat každý, kdo chce řešit problém mysli a těla."
"solve","solve","řešit","řešit","impf"," Let us now return to the four problems that I said faced any attempt to solve the mind-brain problem."," Vraťme se nyní ke čtyřem problémům, s nimiž se jak jsem uvedl výše - musí utkat každý, kdo chce řešit problém mysli a těla."
"show","show","ukázat","ukázat","pf"," The best way to show how something is possible is to show how it actually exists."," Nejlepší způsob, jak ukázat, že je něco možné, je ukázat, Jak to ve skutečnosti existuje."
"show","show","ukázat","ukázat","pf"," The best way to show how something is possible is to show how it actually exists."," Nejlepší způsob, jak ukázat, že je něco možné, je ukázat, Jak to ve skutečnosti existuje."
"show","show","ukázat","ukázat","pf"," The best way to show how something is possible is to show how it actually exists."," Nejlepší způsob, jak ukázat, že je něco možné, je ukázat, Jak to ve skutečnosti existuje."
"show","show","ukázat","ukázat","pf"," The best way to show how something is possible is to show how it actually exists."," Nejlepší způsob, jak ukázat, že je něco možné, je ukázat, Jak to ve skutečnosti existuje."
"exists","exist","existuje","existovat","impf"," The best way to show how something is possible is to show how it actually exists."," Nejlepší způsob, jak ukázat, že je něco možné, je ukázat, Jak to ve skutečnosti existuje."
"suppose","suppose","věří","věřit","impf"," First of all, they suppose that they actually have some psychological evidence that it ’ s true."," Za prvé věří, že pro tuto víru existují jisté psychické evidence."
"show","show","ukazují","ukazovat","impf"," The first comes from reaction-time experiments, that is, experiments which show that different intellectual tasks take different amounts of time for people to perform."," První typ evidencí je založen na experimentech vztahujících se k době reakce, tedy na experimentech, které ukazují, že zvládnutí různých intelektuálních úkolů trvá lidem různě dlouho."
"take","take","trvá","trvat","impf"," The first comes from reaction-time experiments, that is, experiments which show that different intellectual tasks take different amounts of time for people to perform."," První typ evidencí je založen na experimentech vztahujících se k době reakce, tedy na experimentech, které ukazují, že zvládnutí různých intelektuálních úkolů trvá lidem různě dlouho."
"understand","understand","Neporozumíte","porozumět","pf"," If you don ’ t understand Chinese, then no other computer could understand Chinese because no digital computer, just by virtue of running a program, has anything that you don ’ t have."," Neporozumíte - li čínsky vy, neporozumí čínsky ani digitální počítač, protože žádný digitální počítač nemá při realizaci programu nic, co byste neměli i vy."
"understand","understand","Neporozumíte","porozumět","pf"," If you don ’ t understand Chinese, then no other computer could understand Chinese because no digital computer, just by virtue of running a program, has anything that you don ’ t have."," Neporozumíte - li čínsky vy, neporozumí čínsky ani digitální počítač, protože žádný digitální počítač nemá při realizaci programu nic, co byste neměli i vy."
"understand","understand","neporozumí","porozumět","pf"," If you don ’ t understand Chinese, then no other computer could understand Chinese because no digital computer, just by virtue of running a program, has anything that you don ’ t have."," Neporozumíte - li čínsky vy, neporozumí čínsky ani digitální počítač, protože žádný digitální počítač nemá při realizaci programu nic, co byste neměli i vy."
"understand","understand","neporozumí","porozumět","pf"," If you don ’ t understand Chinese, then no other computer could understand Chinese because no digital computer, just by virtue of running a program, has anything that you don ’ t have."," Neporozumíte - li čínsky vy, neporozumí čínsky ani digitální počítač, protože žádný digitální počítač nemá při realizaci programu nic, co byste neměli i vy."
"says","say","praví","pravit","pf"," Now is that because we have a universal rule of visual grammar that says : ‘ Don ’ t see infra-red or ultraviolet. ’?"," Je tomu tak snad proto, že máme jisté univerzální pravidlo vizuální gramatiky, které praví, že infračervené a ultrafialové světlo není vidět?"
"see","see","vidět","vidět","impf"," Now is that because we have a universal rule of visual grammar that says : ‘ Don ’ t see infra-red or ultraviolet. ’?"," Je tomu tak snad proto, že máme jisté univerzální pravidlo vizuální gramatiky, které praví, že infračervené a ultrafialové světlo není vidět?"
"describe","describe","popsat","popsat","pf"," Of course we could describe ourselves as if we were following a rule of visual grammar, but all the same, we are not."," Samozřejmě že bychom své vnímání mohli popsat, jako bychom se řídili podle pravidel vizuální gramatiky, ve skutečnosti se jimi ale neřídíme."
"following","follow","řídili","řídit","impf"," Of course we could describe ourselves as if we were following a rule of visual grammar, but all the same, we are not."," Samozřejmě že bychom své vnímání mohli popsat, jako bychom se řídili podle pravidel vizuální gramatiky, ve skutečnosti se jimi ale neřídíme."
"following","follow","neřídíme","řídit","impf"," Of course we could describe ourselves as if we were following a rule of visual grammar, but all the same, we are not."," Samozřejmě že bychom své vnímání mohli popsat, jako bychom se řídili podle pravidel vizuální gramatiky, ve skutečnosti se jimi ale neřídíme."
"occurred","occur","vyskytovaly","vyskytovat","impf"," If the events outside the central[ ]nervous system occurred, but nothing happened in the brain, there would be no mental events."," Kdyby se zmíněné procesy vyskytovaly mimo centrální nervovou soustavu a v mozku se přitom nic nedělo, pak by to nemohly být mentální události."
"happened","happen","vyskytovaly","vyskytovat","impf"," If the events outside the central[ ]nervous system occurred, but nothing happened in the brain, there would be no mental events."," Kdyby se zmíněné procesy vyskytovaly mimo centrální nervovou soustavu a v mozku se přitom nic nedělo, pak by to nemohly být mentální události."
"happened","happen","vyskytovaly","vyskytovat","impf"," But if the right things happened in the brain, the mental events would occur even if[ ]there was no outside stimulus."," Kdyby se však v mozku odehrávaly příslušné věci, mentální události by se v něm vyskytovaly, i kdyby jim chyběl vnější podnět."
"occur","occur","vyskytovaly","vyskytovat","impf"," But if the right things happened in the brain, the mental events would occur even if[ ]there was no outside stimulus."," Kdyby se však v mozku odehrávaly příslušné věci, mentální události by se v něm vyskytovaly, i kdyby jim chyběl vnější podnět."
"work","work","dělaly","dělat","impf"," But that law would work only as long as money had to be made of ice, and besides, it doesn ’ t tell us what is interesting to us about money."," Tento zákon by ovšem platil jen tak dlouho, dokud by se peníze dělaly z ledu, a navíc by neříkal nic o tom, co nás na penězích zajímá."
"made","make","dělaly","dělat","impf"," But that law would work only as long as money had to be made of ice, and besides, it doesn ’ t tell us what is interesting to us about money."," Tento zákon by ovšem platil jen tak dlouho, dokud by se peníze dělaly z ledu, a navíc by neříkal nic o tom, co nás na penězích zajímá."
"tell","tell","neříkal","říkat","impf"," But that law would work only as long as money had to be made of ice, and besides, it doesn ’ t tell us what is interesting to us about money."," Tento zákon by ovšem platil jen tak dlouho, dokud by se peníze dělaly z ledu, a navíc by neříkal nic o tom, co nás na penězích zajímá."
"turn","turn","Obraťme","obrátit","pf"," Let us turn now to linguistics."," Obraťme se nyní k lingvistice."
"state","state","stanovit","stanovit","pf"," The standard contemporary aim of linguistics is to state the various rules - phonological, syntactic, and semantic - that relate sounds and meanings in the various natural languages."," Současným standardním cílem lingvistiky je stanovit různá pravidla - fonologická, syntaktická a sémantická -, podle nichž se v různých jazycích spojují zvuk a význam."
"give","give","poskytovala","poskytovat","impf"," An ideally complete science of linguistics would give the complete set of rules for every natural human language."," V ideálním případě by komplexní lingvistická věda poskytovala pro každý přirozený lidský jazyk úplný systém těchto pravidel."
"thinks","think","pomyslí","pomyslit","pf"," Something can be a tree[ ]or a plant, or some person can have tuberculosis even if no one thinks : ‘ Here ’ s a tree, or a plant, or a case of tuberculosis ’, and even if no one thinks about it at all."," Strom je stromem, rostlina rostlinou a tuberkulóza tuberkulózou, aniž si kdo pomyslí, že jde o strom, rostlinu, respektive případ tuberkulózy, ba dokonce aniž vůbec kdo myslí."
"thinks","think","pomyslí","pomyslit","pf"," Something can be a tree[ ]or a plant, or some person can have tuberculosis even if no one thinks : ‘ Here ’ s a tree, or a plant, or a case of tuberculosis ’, and even if no one thinks about it at all."," Strom je stromem, rostlina rostlinou a tuberkulóza tuberkulózou, aniž si kdo pomyslí, že jde o strom, rostlinu, respektive případ tuberkulózy, ba dokonce aniž vůbec kdo myslí."
"thinks","think","myslí","myslet","impf"," Something can be a tree[ ]or a plant, or some person can have tuberculosis even if no one thinks : ‘ Here ’ s a tree, or a plant, or a case of tuberculosis ’, and even if no one thinks about it at all."," Strom je stromem, rostlina rostlinou a tuberkulóza tuberkulózou, aniž si kdo pomyslí, že jde o strom, rostlinu, respektive případ tuberkulózy, ba dokonce aniž vůbec kdo myslí."
"thinks","think","myslí","myslet","impf"," Something can be a tree[ ]or a plant, or some person can have tuberculosis even if no one thinks : ‘ Here ’ s a tree, or a plant, or a case of tuberculosis ’, and even if no one thinks about it at all."," Strom je stromem, rostlina rostlinou a tuberkulóza tuberkulózou, aniž si kdo pomyslí, že jde o strom, rostlinu, respektive případ tuberkulózy, ba dokonce aniž vůbec kdo myslí."
"suppose","suppose","věří","věřit","impf"," But many people suppose that in addition to these two levels, the level of naive psychology and the level of neurophysiology, there must be some additional level of computational information-processing."," Mnozí lidé však věří, že k těmto dvěma rovinám, rovině triviální psychologie a rovině neurofyziologické, přistupuje ještě rovina počítačového zpracování informací."
"suppose","suppose","věří","věřit","impf"," Now why do they suppose that?"," Proč tomu vlastně věří?"
"enable","enable","umožňuje","umožňovat","impf"," We are neurophysiologically so constructed that the assault of photons on our photoreceptor cells[ ]enables us to see, and we are neurophysiologically so constructed that the stimulation of hearing other people talk and interacting with them will enable us to learn a language."," Jsme neurofyziologicky stavěni tak, že nápor fotonů na naše fotoreceptory nám umožňuje vidět a dráždění sluchu při mluvení jiných lidí a při interakci s nimi nám umožňuje osvojit si jazyk."
"see","see","vidět","vidět","impf"," We are neurophysiologically so constructed that the assault of photons on our photoreceptor cells[ ]enables us to see, and we are neurophysiologically so constructed that the stimulation of hearing other people talk and interacting with them will enable us to learn a language."," Jsme neurofyziologicky stavěni tak, že nápor fotonů na naše fotoreceptory nám umožňuje vidět a dráždění sluchu při mluvení jiných lidí a při interakci s nimi nám umožňuje osvojit si jazyk."
"enable","enable","umožňuje","umožňovat","impf"," We are neurophysiologically so constructed that the assault of photons on our photoreceptor cells[ ]enables us to see, and we are neurophysiologically so constructed that the stimulation of hearing other people talk and interacting with them will enable us to learn a language."," Jsme neurofyziologicky stavěni tak, že nápor fotonů na naše fotoreceptory nám umožňuje vidět a dráždění sluchu při mluvení jiných lidí a při interakci s nimi nám umožňuje osvojit si jazyk."
"play","play","nehrají","hrát","impf"," Now I am not saying that rules play no role in our behaviour."," V žádném případě netvrdím, že pravidla v chování nehrají žádnou roli."
"accept","accept","přijmeme","přijmout","pf"," As long as we accept the bottom-up conception of physical explanation, and it is a conception on which the past three hundred years of science are based, then psychological facts about ourselves, like any other higher level facts, are entirely causally explicable in terms of and entirely realised in systems of elements at the fundamental micro-physical level."," Pokud přijmeme koncepci fyzikálního výkladu ve směru zdola nahoru, což je koncepce, na níž stojí věda posledních tří set let, pak jsou všechna psychická fakta, která se nás týkají, stejně jako všechna ostatní fakta vyššího řádu, vysvětlitelná a realizovatelná prostřednictvím elementárních systémů na fundamentální mikrofyzikální rovině."
"allow","allow","nepřipouští","připouštět","impf"," Our conception of physical reality simply does not allow for radical freedom."," Naše koncepce fyzikální reality prostě nepřipouští radikální svobodu."
"produced","produce","vytvořila","vytvořit","pf"," If a scientific account of the world attempts to describe how things are, then one of the features of the account will be the subjectivity of mental states, since it is just a plain fact about biological evolution that it has produced certain sorts of biological systems, namely human and certain animal brains, that have subjective features."," Pokoušíme - li se vědeckým popisem světa zachytit, jak to na něm chodí, pak k tomuto popisu patří i subjektivita mentálních stavů, neboť je prostě fakt, že biologická evoluce vytvořila jisté typy biologických systémů, totiž lidské a určité zvířecí mozky, které mají subjektivní vlastnosti."
"try","try","zkuste","zkusit","pf"," To see this point clearly, try to imagine that a portion[ ]of your life was like the Penfield experiments on a grand scale."," Aby to bylo zcela jasné, zkuste si představit, že po jistou dobu by se váš život podobal Penfieldovu experimentu."
"imagine","imagine","představit","představit","pf"," To see this point clearly, try to imagine that a portion[ ]of your life was like the Penfield experiments on a grand scale."," Aby to bylo zcela jasné, zkuste si představit, že po jistou dobu by se váš život podobal Penfieldovu experimentu."
"moving","move","pohybuje","pohybovat","impf"," Instead of walking across the room you simply find that your[ ]body is moving across the room;"," Nepřecházíte na druhou stranu pokoje, pouze si najednou všimnete, že se vaše tělo pohybuje po pokoji;"
"speaking","speak","nemluvíte","mluvit","impf"," instead of speaking you[ ]simply hear and feel words coming out of your mouth."," nemluvíte, místo toho slyšíte a cítíte, že vám ze rtů vycházejí slova."
"hear","hear","slyšíte","slyšet","impf"," instead of speaking you[ ]simply hear and feel words coming out of your mouth."," nemluvíte, místo toho slyšíte a cítíte, že vám ze rtů vycházejí slova."
"feel","feel","cítíte","cítit","impf"," instead of speaking you[ ]simply hear and feel words coming out of your mouth."," nemluvíte, místo toho slyšíte a cítíte, že vám ze rtů vycházejí slova."
"Imagine","imagine","Představte","představit","pf"," Imagine your experiences are those of a purely passive but[ ]conscious puppet and you will have imagined away the experience of freedom."," Představte si, že byste měli zkušenost zcela pasivní loutky vybavené vědomím, a odmysleli si zkušenost svobody."
"imagined","imagine","Představte","představit","pf"," Imagine your experiences are those of a purely passive but[ ]conscious puppet and you will have imagined away the experience of freedom."," Představte si, že byste měli zkušenost zcela pasivní loutky vybavené vědomím, a odmysleli si zkušenost svobody."
"contain","contain","nemají","mít","impf"," A difficulty with this view, however, is that there are lots of sciences which contain constitutive notions that similarly have no echo in physics but are nonetheless pretty solid sciences."," Obtíž tohoto pojetí spočívá v tom, že existuje řada poměrně solidních věd, jejichž pojmy nemají ozvěnu ve fyzice a přitom se podílejí na konstituování předmětu této vědy."
"existed","exist","Existuje","existovat","impf"," So, for example, if God existed, then that fact would be a fact like any other."," Existuje - li tedy například Bůh, pak je to faktum jako cokoliv jiného."
"exists","exist","existuje","existovat","impf"," I do not know whether God exists, but I have no doubt at all that subjective mental states exist, because I am now in one and so are you."," A třebaže nevím, zda existuje Bůh, ani v nejmenším nepochybuji o tom, že existují subjektivní mentální stavy, protože se - podobně jako vy - v jednom takovém stavu právě nalézám."
"exist","exist","existuje","existovat","impf"," I do not know whether God exists, but I have no doubt at all that subjective mental states exist, because I am now in one and so are you."," A třebaže nevím, zda existuje Bůh, ani v nejmenším nepochybuji o tom, že existují subjektivní mentální stavy, protože se - podobně jako vy - v jednom takovém stavu právě nalézám."
