"explain","explain","nevysvětluje","vysvětlovat","impf"," It 's just a word, it does n't explain anything."," Je to jen slovo a nevysvětluje nic."
"trade","trade","vyměnit","vyměnit","pf"," Since he had n't damaged it too much he was able to trade it in for a first class ticket on the next ship leaving the system, and settled into one of its huge, voluptuous body-hugging seats."," A protože stroj ani příliš nepoškodil, podařilo se mu ho vyměnit za letenku první třídou nejbližší lodi, která směřovala z této hvězdné soustavy, a hned se zabořil do jednoho z obrovských křesel smyslně objímajících celé tělo."
"convinced","convince","přesvědčen","přesvědčit","pf"," I am convinced that this is the case. """," Jsem přesvědčen, že je tomu tak. """
"hugged","hug","objala","obejmout","pf"," She hugged him more tightly for a moment."," Fenchurch přítele na chvíli pevněji objala."
"seen","see","viděl","vidět","impf"," This was a planet he had seen completely destroyed, seen with his own two eyes or rather, blinded as he had been by the hellish disruption of air and light, felt with his own two feet as the ground had started to pound at him like a hammer, bucking, roaring, gripped by tidal waves of energy pouring out of the loathsome yellow Vogon ships."," Toto byla planeta, kterou viděl úplně zdemolovanou, na vlastní oči to viděl, nebo spíš oslepený ďábelskou explozí vzduchu a světla cítil vlastníma nohama, jak do nich země začala bušit jako kladivo, jak vyhazovala a řvala v sevření přílivových vln energie řinoucí se z ohavně žlutých vogonských lodí."
"seen","see","viděl","vidět","impf"," This was a planet he had seen completely destroyed, seen with his own two eyes or rather, blinded as he had been by the hellish disruption of air and light, felt with his own two feet as the ground had started to pound at him like a hammer, bucking, roaring, gripped by tidal waves of energy pouring out of the loathsome yellow Vogon ships."," Toto byla planeta, kterou viděl úplně zdemolovanou, na vlastní oči to viděl, nebo spíš oslepený ďábelskou explozí vzduchu a světla cítil vlastníma nohama, jak do nich země začala bušit jako kladivo, jak vyhazovala a řvala v sevření přílivových vln energie řinoucí se z ohavně žlutých vogonských lodí."
"seen","see","viděl","vidět","impf"," This was a planet he had seen completely destroyed, seen with his own two eyes or rather, blinded as he had been by the hellish disruption of air and light, felt with his own two feet as the ground had started to pound at him like a hammer, bucking, roaring, gripped by tidal waves of energy pouring out of the loathsome yellow Vogon ships."," Toto byla planeta, kterou viděl úplně zdemolovanou, na vlastní oči to viděl, nebo spíš oslepený ďábelskou explozí vzduchu a světla cítil vlastníma nohama, jak do nich země začala bušit jako kladivo, jak vyhazovala a řvala v sevření přílivových vln energie řinoucí se z ohavně žlutých vogonských lodí."
"seen","see","viděl","vidět","impf"," This was a planet he had seen completely destroyed, seen with his own two eyes or rather, blinded as he had been by the hellish disruption of air and light, felt with his own two feet as the ground had started to pound at him like a hammer, bucking, roaring, gripped by tidal waves of energy pouring out of the loathsome yellow Vogon ships."," Toto byla planeta, kterou viděl úplně zdemolovanou, na vlastní oči to viděl, nebo spíš oslepený ďábelskou explozí vzduchu a světla cítil vlastníma nohama, jak do nich země začala bušit jako kladivo, jak vyhazovala a řvala v sevření přílivových vln energie řinoucí se z ohavně žlutých vogonských lodí."
"felt","feel","cítil","cítit","impf"," This was a planet he had seen completely destroyed, seen with his own two eyes or rather, blinded as he had been by the hellish disruption of air and light, felt with his own two feet as the ground had started to pound at him like a hammer, bucking, roaring, gripped by tidal waves of energy pouring out of the loathsome yellow Vogon ships."," Toto byla planeta, kterou viděl úplně zdemolovanou, na vlastní oči to viděl, nebo spíš oslepený ďábelskou explozí vzduchu a světla cítil vlastníma nohama, jak do nich země začala bušit jako kladivo, jak vyhazovala a řvala v sevření přílivových vln energie řinoucí se z ohavně žlutých vogonských lodí."
"started","start","začala","začít","pf"," This was a planet he had seen completely destroyed, seen with his own two eyes or rather, blinded as he had been by the hellish disruption of air and light, felt with his own two feet as the ground had started to pound at him like a hammer, bucking, roaring, gripped by tidal waves of energy pouring out of the loathsome yellow Vogon ships."," Toto byla planeta, kterou viděl úplně zdemolovanou, na vlastní oči to viděl, nebo spíš oslepený ďábelskou explozí vzduchu a světla cítil vlastníma nohama, jak do nich země začala bušit jako kladivo, jak vyhazovala a řvala v sevření přílivových vln energie řinoucí se z ohavně žlutých vogonských lodí."
"pound","pound","bušit","bušit","impf"," This was a planet he had seen completely destroyed, seen with his own two eyes or rather, blinded as he had been by the hellish disruption of air and light, felt with his own two feet as the ground had started to pound at him like a hammer, bucking, roaring, gripped by tidal waves of energy pouring out of the loathsome yellow Vogon ships."," Toto byla planeta, kterou viděl úplně zdemolovanou, na vlastní oči to viděl, nebo spíš oslepený ďábelskou explozí vzduchu a světla cítil vlastníma nohama, jak do nich země začala bušit jako kladivo, jak vyhazovala a řvala v sevření přílivových vln energie řinoucí se z ohavně žlutých vogonských lodí."
"said","say","řekla","říci","pf"," "" All right, "" she said, "" it 's only a short one."," "" Tak dobře, "" řekla nakonec, "" jen jednu krátkou."
"looked","look","Pohlédla","pohlédnout","pf"," She looked down."," Pohlédla dolů."
"feel","feel","cítil","cítit","impf"," Arthur could feel that it was one of those sorts of moments."," Arthur přímo hmatatelně cítil, že je to jeden z těch okamžiků."
"waiting","wait","čeká","čekat","impf"," The air seemed to stand still around them, waiting."," Zdálo se, že vzduch kolem nich nehnutě stojí a čeká."
"wished","wish","přál","přát","impf"," Arthur wished that the air would go away and mind its own business."," Arthur si přál, aby šel pryč a hleděl si svého."
"go","go","šel","jít","impf"," Arthur wished that the air would go away and mind its own business."," Arthur si přál, aby šel pryč a hleděl si svého."
"realized","realize","uvědomil","uvědomit","pf"," Ford Prefect suppressed a little giggle of evil satisfaction, realized that he had no reason to suppress it, and laughed out loud, a wicked laugh."," Ford Prefect se tlumeně uchechtl zlomyslným zadostiučiněním, pak si uvědomil, že nemá žádný důvod chechtání tlumit, a tak se rozesmál hlasitým, zlým smíchem."
"suppressed","suppress","tlumit","tlumit","impf"," Ford Prefect suppressed a little giggle of evil satisfaction, realized that he had no reason to suppress it, and laughed out loud, a wicked laugh."," Ford Prefect se tlumeně uchechtl zlomyslným zadostiučiněním, pak si uvědomil, že nemá žádný důvod chechtání tlumit, a tak se rozesmál hlasitým, zlým smíchem."
"suppress","suppress","tlumit","tlumit","impf"," Ford Prefect suppressed a little giggle of evil satisfaction, realized that he had no reason to suppress it, and laughed out loud, a wicked laugh."," Ford Prefect se tlumeně uchechtl zlomyslným zadostiučiněním, pak si uvědomil, že nemá žádný důvod chechtání tlumit, a tak se rozesmál hlasitým, zlým smíchem."
"called","call","zavolal","zavolat","pf"," "" I called again, "" said Arthur, "" and she said that he was 3.2 light years from the phone and I should call back. """," "" Tak jsem zavolal znova, "" líčil Arthur, "" a ona mi řekla, že prý je 3, 2 světelných let od telefonu a že mám zavolat ještě jednou. """
"call","call","zavolal","zavolat","pf"," "" I called again, "" said Arthur, "" and she said that he was 3.2 light years from the phone and I should call back. """," "" Tak jsem zavolal znova, "" líčil Arthur, "" a ona mi řekla, že prý je 3, 2 světelných let od telefonu a že mám zavolat ještě jednou. """
"said","say","řekla","říci","pf"," "" I called again, "" said Arthur, "" and she said that he was 3.2 light years from the phone and I should call back. """," "" Tak jsem zavolal znova, "" líčil Arthur, "" a ona mi řekla, že prý je 3, 2 světelných let od telefonu a že mám zavolat ještě jednou. """
"said","say","řekla","říci","pf"," "" I called again, "" said Arthur, "" and she said that he was 3.2 light years from the phone and I should call back. """," "" Tak jsem zavolal znova, "" líčil Arthur, "" a ona mi řekla, že prý je 3, 2 světelných let od telefonu a že mám zavolat ještě jednou. """
"called","call","zavolat","zavolat","pf"," "" I called again, "" said Arthur, "" and she said that he was 3.2 light years from the phone and I should call back. """," "" Tak jsem zavolal znova, "" líčil Arthur, "" a ona mi řekla, že prý je 3, 2 světelných let od telefonu a že mám zavolat ještě jednou. """
"call","call","zavolat","zavolat","pf"," "" I called again, "" said Arthur, "" and she said that he was 3.2 light years from the phone and I should call back. """," "" Tak jsem zavolal znova, "" líčil Arthur, "" a ona mi řekla, že prý je 3, 2 světelných let od telefonu a že mám zavolat ještě jednou. """
"called","call","zavolal","zavolat","pf"," "" I called again."," "" Tak jsem zavolal ještě jednou."
"said","say","Řekla","říci","pf"," "" She said the situation had improved."," Řekla mi, že se situace zlepšila."
"improved","improve","zlepšila","zlepšit","pf"," "" She said the situation had improved."," Řekla mi, že se situace zlepšila."
"suppose","suppose","myslíš","myslet","impf"," "" You do n't suppose, "" said Fenchurch, doubtfully, "" that there 's anyone else we can talk to? """," "" Co myslíš, "" zapochybovala Fenchurch, "" nemohli bychom promluvit s někým jiným? """
"talk","talk","promluvit","promluvit","pf"," "" You do n't suppose, "" said Fenchurch, doubtfully, "" that there 's anyone else we can talk to? """," "" Co myslíš, "" zapochybovala Fenchurch, "" nemohli bychom promluvit s někým jiným? """
"changing","change","měnil","měnit","impf"," Will Smithers, like most of the overpaid and under-scrupulous bastards Arthur knew in advertising made a point of changing his car every August so that he could tell people his accountant made him do it, though the truth was that his accountant was trying like hell to stop him, what with all the alimony he had to pay, and so on - and this was the same car Arthur remembered him having before."," Will Smithers, jako ostatně většina přeplacených a bezzásadových parchantů, které Arthur znal z reklamy, vždycky v srpnu záměrně měnil auto, aby mohl vykládat lidem, že ho k tomu nutí jeho účetní, přestože ve skutečnosti se mu v tom jeho účetní snažil zabránit, když musí platit tolik alimentů a tak dál - jenže tohle bylo auto, které si Arthur pamatoval."
"made","make","nutí","nutit","impf"," Will Smithers, like most of the overpaid and under-scrupulous bastards Arthur knew in advertising made a point of changing his car every August so that he could tell people his accountant made him do it, though the truth was that his accountant was trying like hell to stop him, what with all the alimony he had to pay, and so on - and this was the same car Arthur remembered him having before."," Will Smithers, jako ostatně většina přeplacených a bezzásadových parchantů, které Arthur znal z reklamy, vždycky v srpnu záměrně měnil auto, aby mohl vykládat lidem, že ho k tomu nutí jeho účetní, přestože ve skutečnosti se mu v tom jeho účetní snažil zabránit, když musí platit tolik alimentů a tak dál - jenže tohle bylo auto, které si Arthur pamatoval."
"made","make","nutí","nutit","impf"," Will Smithers, like most of the overpaid and under-scrupulous bastards Arthur knew in advertising made a point of changing his car every August so that he could tell people his accountant made him do it, though the truth was that his accountant was trying like hell to stop him, what with all the alimony he had to pay, and so on - and this was the same car Arthur remembered him having before."," Will Smithers, jako ostatně většina přeplacených a bezzásadových parchantů, které Arthur znal z reklamy, vždycky v srpnu záměrně měnil auto, aby mohl vykládat lidem, že ho k tomu nutí jeho účetní, přestože ve skutečnosti se mu v tom jeho účetní snažil zabránit, když musí platit tolik alimentů a tak dál - jenže tohle bylo auto, které si Arthur pamatoval."
"trying","try","snažil","snažit","impf"," Will Smithers, like most of the overpaid and under-scrupulous bastards Arthur knew in advertising made a point of changing his car every August so that he could tell people his accountant made him do it, though the truth was that his accountant was trying like hell to stop him, what with all the alimony he had to pay, and so on - and this was the same car Arthur remembered him having before."," Will Smithers, jako ostatně většina přeplacených a bezzásadových parchantů, které Arthur znal z reklamy, vždycky v srpnu záměrně měnil auto, aby mohl vykládat lidem, že ho k tomu nutí jeho účetní, přestože ve skutečnosti se mu v tom jeho účetní snažil zabránit, když musí platit tolik alimentů a tak dál - jenže tohle bylo auto, které si Arthur pamatoval."
"pay","pay","platit","platit","impf"," Will Smithers, like most of the overpaid and under-scrupulous bastards Arthur knew in advertising made a point of changing his car every August so that he could tell people his accountant made him do it, though the truth was that his accountant was trying like hell to stop him, what with all the alimony he had to pay, and so on - and this was the same car Arthur remembered him having before."," Will Smithers, jako ostatně většina přeplacených a bezzásadových parchantů, které Arthur znal z reklamy, vždycky v srpnu záměrně měnil auto, aby mohl vykládat lidem, že ho k tomu nutí jeho účetní, přestože ve skutečnosti se mu v tom jeho účetní snažil zabránit, když musí platit tolik alimentů a tak dál - jenže tohle bylo auto, které si Arthur pamatoval."
"remembered","remember","pamatoval","pamatovat","impf"," Will Smithers, like most of the overpaid and under-scrupulous bastards Arthur knew in advertising made a point of changing his car every August so that he could tell people his accountant made him do it, though the truth was that his accountant was trying like hell to stop him, what with all the alimony he had to pay, and so on - and this was the same car Arthur remembered him having before."," Will Smithers, jako ostatně většina přeplacených a bezzásadových parchantů, které Arthur znal z reklamy, vždycky v srpnu záměrně měnil auto, aby mohl vykládat lidem, že ho k tomu nutí jeho účetní, přestože ve skutečnosti se mu v tom jeho účetní snažil zabránit, když musí platit tolik alimentů a tak dál - jenže tohle bylo auto, které si Arthur pamatoval."
"excuse","excuse","omluvit","omluvit","pf"," "" You 'll have to excuse me while I try and remember what the word means."," "" Budete mě muset na chvíli omluvit, protože se musím pokusit vzpomenout si, co to slovo znamená."
"try","try","pokusit","pokusit","pf"," "" You 'll have to excuse me while I try and remember what the word means."," "" Budete mě muset na chvíli omluvit, protože se musím pokusit vzpomenout si, co to slovo znamená."
"remember","remember","vzpomenout","vzpomenout","pf"," "" You 'll have to excuse me while I try and remember what the word means."," "" Budete mě muset na chvíli omluvit, protože se musím pokusit vzpomenout si, co to slovo znamená."
"means","mean","znamená","znamenat","impf"," "" You 'll have to excuse me while I try and remember what the word means."," "" Budete mě muset na chvíli omluvit, protože se musím pokusit vzpomenout si, co to slovo znamená."
"shifted","shift","přesunout","přesunout","pf"," My memory banks are not what they were you know, and any word which falls into disuse for a few zillion years has to get shifted down into auxiliary memory back-up."," Mé databanky už zdaleka nejsou, co bývaly, víte, a každé slovo, které není několik zilionů let použito, se musí přesunout do pomocné rezervní paměti."
"said","say","pronesl","pronést","pf"," "" Hmm, "" he said, "" what a curious concept. """," "" Hmm, "" pronesl, "" opravdu zvláštní představa. """
"thought","think","přemýšlel","přemýšlet","impf"," He thought a little longer."," Ještě chvíli přemýšlel."
"responding","respond","odpověděl","odpovědět","pf"," You ca n't just walk off without responding to a remark like that."," Jenže člověk nedokáže jen tak odejít, aniž by odpověděl na takovouhle poznámku."
"stops","stop","přestane","přestat","pf"," "" Of course it stops raining, "" said Arthur."," "" Samozřejmě, že přestane, "" odporoval řidiči."
"said","say","vyslovit","vyslovit","pf"," It was hardly an elegant refutation, but it had to be said."," Nebyla to zrovna elegantní námitka, ale bylo nutno ji vyslovit."
"rains","rain","Prší","pršet","impf"," "" It rains ... all ... the time, "" raved the man, thumping the table again, in time to the words."," "" Prší ... v jednom ... kuse! "" běsnil řidič a bouchal do rytmu do stolu."
"making","make","udělat","udělat","pf"," There is a feeling which persists in England that making a sandwich interesting, attractive, or in any way pleasant to eat is something sinful that only foreigners do."," V Anglii totiž odedávna panuje přesvědčení, že udělat chlebíček tak, aby vypadal zajímavě, atraktivně či jiným způsobem chutně, je něco hříšného, čeho se dopouštějí jen cizinci."
"do","do","udělat","udělat","pf"," There is a feeling which persists in England that making a sandwich interesting, attractive, or in any way pleasant to eat is something sinful that only foreigners do."," V Anglii totiž odedávna panuje přesvědčení, že udělat chlebíček tak, aby vypadal zajímavě, atraktivně či jiným způsobem chutně, je něco hříšného, čeho se dopouštějí jen cizinci."
"Make","make","Udělejte","udělat","pf"," "" Make ' em dry, "" is the instruction buried somewhere in the collective national consciousness, "" make ' em rubbery."," "" Udělejte je pěkně oschlý, "" zní instrukce dřímající kdesi v kolektivním podvědomí národa, "" a udělejte je gumový."
"make","make","Udělejte","udělat","pf"," "" Make ' em dry, "" is the instruction buried somewhere in the collective national consciousness, "" make ' em rubbery."," "" Udělejte je pěkně oschlý, "" zní instrukce dřímající kdesi v kolektivním podvědomí národa, "" a udělejte je gumový."
"Make","make","udělejte","udělat","pf"," "" Make ' em dry, "" is the instruction buried somewhere in the collective national consciousness, "" make ' em rubbery."," "" Udělejte je pěkně oschlý, "" zní instrukce dřímající kdesi v kolektivním podvědomí národa, "" a udělejte je gumový."
"make","make","udělejte","udělat","pf"," "" Make ' em dry, "" is the instruction buried somewhere in the collective national consciousness, "" make ' em rubbery."," "" Udělejte je pěkně oschlý, "" zní instrukce dřímající kdesi v kolektivním podvědomí národa, "" a udělejte je gumový."
"laughed","laugh","zasmála","zasmát","pf"," Fenchurch laughed and hugged her legs."," Fenchurch se zasmála a objala si kolena."
"hugged","hug","objala","obejmout","pf"," Fenchurch laughed and hugged her legs."," Fenchurch se zasmála a objala si kolena."
"dropping","drop","spadla","spadnout","pf"," "" It was just such a sudden revelation, years of almost unnoticed worry just dropping away, like taking off heavy weights, like black and white becoming colour, like a dry stick suddenly being watered."," "" Bylo to jako náhlé zjevení, léta téměř nepostřehnutelné starosti ze mě náhle spadla, jako když se sundá závaží a z černobílého filmu se stane barevný, jako když náhle zaliješ suchý klacík."
"watered","water","zaliješ","zalít","pf"," "" It was just such a sudden revelation, years of almost unnoticed worry just dropping away, like taking off heavy weights, like black and white becoming colour, like a dry stick suddenly being watered."," "" Bylo to jako náhlé zjevení, léta téměř nepostřehnutelné starosti ze mě náhle spadla, jako když se sundá závaží a z černobílého filmu se stane barevný, jako když náhle zaliješ suchý klacík."
"get","get","dostat","dostat","pf"," Sadly, however, before she could get to a phone to tell anyone about it, a terribly stupid catastrophe occurred, and the idea was lost forever."," Jenže než se stačila dostat k telefonu, aby o tom mohla někomu říct, Země byla naneštěstí nečekaně demolována, aby udělala místo nové hyperprostorové dálnici, a myšlenka byla ztracená, zdánlivě navždy."
"tell","tell","říct","říci","pf"," Sadly, however, before she could get to a phone to tell anyone about it, a terribly stupid catastrophe occurred, and the idea was lost forever."," Jenže než se stačila dostat k telefonu, aby o tom mohla někomu říct, Země byla naneštěstí nečekaně demolována, aby udělala místo nové hyperprostorové dálnici, a myšlenka byla ztracená, zdánlivě navždy."
"landed","land","přistála","přistát","pf"," A spacecraft landed, which was not."," Na Zemi přistála kosmická loď, což už normální nebylo."
"adjusting","adjust","nastavil","nastavit","pf"," He held it up, adjusting the angle to the light, and suddenly saw clearly the finely engraved shapes of words shadowed on the glass."," Zdvihl mísu, nastavil ji ke světlu a náhle spatřil na skle stín jemně vyrytých písmen."
"saw","see","spatřil","spatřit","pf"," He held it up, adjusting the angle to the light, and suddenly saw clearly the finely engraved shapes of words shadowed on the glass."," Zdvihl mísu, nastavil ji ke světlu a náhle spatřil na skle stín jemně vyrytých písmen."
"said","say","pravila","pravit","pf"," "" So Long, "" they said, "" and Thanks ... """," "" Sbohem, "" pravila, "" a díky ... """
"turned","turn","otáčel","otáčet","impf"," For fully five more minutes he turned the object round and around, held it to the light at different angles, tapped it for its mesmerizing chime and pondered on the meaning of the shadowy letters but could find none."," Celých pět minut znovu a znovu nádobu otáčel, zvedal ke světlu pod různými úhly, cvrnkal do ní a naslouchal hypnotickému zvuku a hloubal o významu stínových písmen, ale na nic nepřišel."
"losing","lose","ztrácí","ztrácet","impf"," By straining too much for it, he could feel he was losing this strange new faculty, so he relaxed the search and let his mind wander more easily once more."," Když se příliš snažil, zjišťoval, že své zvláštní, nově objevené schopnosti ztrácí, a tak přestal zuřivě pátrat, uvolnil se a znovu nechal mysl volně potulovat."
"relaxed","relax","uvolnil","uvolnit","pf"," By straining too much for it, he could feel he was losing this strange new faculty, so he relaxed the search and let his mind wander more easily once more."," Když se příliš snažil, zjišťoval, že své zvláštní, nově objevené schopnosti ztrácí, a tak přestal zuřivě pátrat, uvolnil se a znovu nechal mysl volně potulovat."
"let","let","nechal","nechat","pf"," By straining too much for it, he could feel he was losing this strange new faculty, so he relaxed the search and let his mind wander more easily once more."," Když se příliš snažil, zjišťoval, že své zvláštní, nově objevené schopnosti ztrácí, a tak přestal zuřivě pátrat, uvolnil se a znovu nechal mysl volně potulovat."
"felt","feel","pocítil","pocítit","pf"," And again, he felt the fracture."," Znovu pocítil onen zlom."
"find","find","najít","najít","pf"," Again he could n't find it."," Znovu ho nemohl najít."
"believe","believe","věřit","věřit","impf"," This time, whatever his instinct was busy telling him it was all right to believe, he was n't certain that it was Fenny - or perhaps it was a different fracture this time."," Jenže tentokrát, ať ho instinkt přesvědčoval sebevíc, že tomu má věřit, si nebyl jist, že je to Fenny - nebo to možná tentokrát byl jiný zlom."
"moved","move","přesunul","přesunout","pf"," Feeling increasingly puzzled, Arthur let her left foot down on the floor and moved himself around so that he could take her right foot."," S pocitem stále větší zmatenosti Arthur pustil její levou nohu na zem a přesunul se, aby mohl zkoumat pravou."
"kissed","kiss","políbila","políbit","pf"," She moved forward, put her arms round and kissed him, because the record had got to that bit which, if you knew the record, you would know made it impossible not to do this."," Předklonila se, objala ho a políbila, protože deska právě dohrála k onomu místu, o němž, kdybyste nahrávku znali, byste věděli, že jakékoli jiné chování prostě nedovolí."
"stroked","stroke","Pohladil","pohladit","pf"," He stroked it, ran his fingers round her ankle, under her toes, along her instep, could find nothing wrong with it."," Pohladil ji, přejel prsty kolem kotníku, pod prsty, po nártu, ale nemohl najít nic, co by nebylo v pořádku."
"find","find","najít","najít","pf"," He stroked it, ran his fingers round her ankle, under her toes, along her instep, could find nothing wrong with it."," Pohladil ji, přejel prsty kolem kotníku, pod prsty, po nártu, ale nemohl najít nic, co by nebylo v pořádku."
"looked","look","Vyhlížel","vyhlížet","impf"," In fact he looked extremely ill, not merely as if he 'd been pulled through a hedge backwards, but as if the hedge was being simultaneously pulled backwards through a combine harvester."," Vyhlížel opravdu mimořádně špatně, jako by ho nejen protáhli živým plotem pozpátku, ale jako kdyby dotyčný živý plot přitom ještě protáhli pozpátku kombajnem."
"caused","cause","způsobila","způsobit","pf"," He staggered into Arthur 's sitting room, waving aside all offers of support, which was an error, because the effort caused him to lose his balance altogether and Arthur had eventually to drag him to the sofa."," Vpotácel se do Arthurova obýváku, mávnutím odmítl veškerou pomoc, což byla chyba, protože námaha vynaložená na mávnutí způsobila, že definitivně ztratil rovnováhu a Arthur ho nakonec musel dovléct na pohovku."
"lose","lose","ztratil","ztratit","pf"," He staggered into Arthur 's sitting room, waving aside all offers of support, which was an error, because the effort caused him to lose his balance altogether and Arthur had eventually to drag him to the sofa."," Vpotácel se do Arthurova obýváku, mávnutím odmítl veškerou pomoc, což byla chyba, protože námaha vynaložená na mávnutí způsobila, že definitivně ztratil rovnováhu a Arthur ho nakonec musel dovléct na pohovku."
"Listen","listen","Poslyš","slyšet","impf"," "" Listen, Murray, I called to ask you something. """," "" Poslyš, Murrayi, potřebuju se tě na něco zeptat. """
"ask","ask","zeptat","zeptat","pf"," "" Listen, Murray, I called to ask you something. """," "" Poslyš, Murrayi, potřebuju se tě na něco zeptat. """
"wanted","want","Potřebuju","potřebovat","impf"," "" I just wanted to find out something about the dolphins. """," "" Potřebuju zjistit něco o delfínech. """
"find","find","zjistit","zjistit","pf"," "" I just wanted to find out something about the dolphins. """," "" Potřebuju zjistit něco o delfínech. """
"Listen","listen","Poslyš","slyšet","impf"," "" Listen, no one will touch it."," "" Poslyš, to nikdo nekoupí."
"knocked","knock","zaklepal","zaklepat","pf"," He just went up to London and knocked on the appropriate door."," Vypravil se tedy do Londýna a zaklepal na příslušné dveře."
"packing","pack","sbalil","sbalit","pf"," "" Well, that 's good then, "" said Ford, packing his satchel and preparing to leave."," "" Tak je to v pořádku, "" usoudil Ford, sbalil si tašku a chystal se k odchodu."
"preparing","prepare","chystal","chystat","impf"," "" Well, that 's good then, "" said Ford, packing his satchel and preparing to leave."," "" Tak je to v pořádku, "" usoudil Ford, sbalil si tašku a chystal se k odchodu."
"dropped","drop","spustila","spustit","pf"," Then suddenly she shook her head, dropped the light sundress over herself and disappeared quickly into the bathroom."," Pak náhle zavrtěla hlavou, spustila přes hlavu lehké opalovací šaty a hbitě zmizela v koupelně."
"disappeared","disappear","zmizela","zmizet","pf"," Then suddenly she shook her head, dropped the light sundress over herself and disappeared quickly into the bathroom."," Pak náhle zavrtěla hlavou, spustila přes hlavu lehké opalovací šaty a hbitě zmizela v koupelně."
"saw","see","viděla","vidět","impf"," She saw that he noticed it and put her head slightly on one side."," Když viděla, že si toho všiml, zlehka sklonila hlavu na stranu."
"noticed","notice","všiml","všimnout","pf"," She saw that he noticed it and put her head slightly on one side."," Když viděla, že si toho všiml, zlehka sklonila hlavu na stranu."
"said","say","řekl","říci","pf"," "" You look gorgeous, "" he said simply, because she did."," "" Vypadáš nádherně, "" řekl prostě, protože to byla pravda."
"looked","look","podíval","podívat","pf"," He untucked it and looked into the box."," Uvolnil patku a podíval se dovnitř."
"drew","draw","vytáhl","vytáhnout","pf"," He drew it out, carefully."," Opatrně ji vytáhl."
"enjoy","enjoy","líbit","líbit","impf"," "" Amphibious life forms from any of the worlds in the Swulling, Noxios or Nausalia systems will particularly enjoy the East River, which is said to be richer in those lovely life-giving nutrients then the finest and most virulent laboratory slime yet achieved."," Obojživelným formám života ze kteréhokoli světa v soustavách Swulling, Noxios nebo Nausálie se bude obzvláště líbit v řece East River, která je prý mnohem vydatnější na lahodné životodárné živiny, než nejkvalitnější a nejjedovatější laboratorně dosud vyvinutý sliz."
"wondered","wonder","uvažoval","uvažovat","impf"," Arthur wondered for a moment whether to mention again that he had just hitch-hiked back from the other side of the Horsehead Nebula and was for this and various other related and astounding reasons a little out of touch with recent events, but he decided it would only confuse matters further."," Arthur chvíli uvažoval, jestli má znovu připomenout, že právě přijel stopem z druhého konce Mračna Koňské hlavy a že z tohoto a dalších s tím souvisejících ohromujících důvodů nebyl příliš v kontaktu s posledními událostmi, ale pak usoudil, že by se tím všechno ještě víc zamotalo."
"mention","mention","připomenout","připomenout","pf"," Arthur wondered for a moment whether to mention again that he had just hitch-hiked back from the other side of the Horsehead Nebula and was for this and various other related and astounding reasons a little out of touch with recent events, but he decided it would only confuse matters further."," Arthur chvíli uvažoval, jestli má znovu připomenout, že právě přijel stopem z druhého konce Mračna Koňské hlavy a že z tohoto a dalších s tím souvisejících ohromujících důvodů nebyl příliš v kontaktu s posledními událostmi, ale pak usoudil, že by se tím všechno ještě víc zamotalo."
"decided","decide","usoudil","usoudit","pf"," Arthur wondered for a moment whether to mention again that he had just hitch-hiked back from the other side of the Horsehead Nebula and was for this and various other related and astounding reasons a little out of touch with recent events, but he decided it would only confuse matters further."," Arthur chvíli uvažoval, jestli má znovu připomenout, že právě přijel stopem z druhého konce Mračna Koňské hlavy a že z tohoto a dalších s tím souvisejících ohromujících důvodů nebyl příliš v kontaktu s posledními událostmi, ale pak usoudil, že by se tím všechno ještě víc zamotalo."
"Do","do","dělala","dělat","impf"," Do n't know what she was doing there, but that was where she cracked up."," Nevím, co tam dělala, ale sesypala se tam."
"doing","do","dělala","dělat","impf"," Do n't know what she was doing there, but that was where she cracked up."," Nevím, co tam dělala, ale sesypala se tam."
"died","die","zaniklo","zaniknout","pf"," The word died away in a kind of crackle and flakes of rust fell out of its mouth."," Slovo zaniklo v praskavých zvucích a z robotových úst se vysypaly vločky rzi."
"smiled","smile","usmál","usmát","pf"," He smiled again."," Znovu se usmál."
"practise","practise","praktikovali","praktikovat","impf"," "" In which the ancients used to practise it."," "" Než v jaké je praktikovali za starých dob."
"practise","practise","nepraktikovali","praktikovat","impf"," Or at least, "" he added, "" failed to practise it."," Nebo spíš nepraktikovali."
"work","work","nefungovalo","fungovat","impf"," They could n't get it to work you know."," Prostě jim to nefungovalo."
"killed","kill","zničily","zničit","pf"," Between them they killed a virulent space disease he 's picked up without knowing it in the Flargathon Gas Swamps a few days earlier, which otherwise would have killed off half the population of the Western Hemisphere, blinded the other half and driven everyone else psychotic and sterile, so the Earth was lucky there."," Vzhledem k tomu, že společně zničily zárodky virulentní kosmické nemoci, kterou, aniž to věděl, chytil před pár dny ve Flagarthonských Plynných Močálech a která by jinak byla vyhubila polovinu obyvatel Západní polokoule, druhou polovinu by oslepila a všem ostatním by přivodila psychotické stavy a neplodnost, měla Země zase jednou štěstí."
