"kills","kill","zabil","zabít","pf"," Eat it so that the point of the hook goes into your heart and kills you, he thought."," Spolkni to tak, aby ti hrot háku pronikl do srdce a zabil tě, pomyslel si."
"breaking","break","nechal","nechat","pf"," But when he was touching the breaking point he held steady and settled back against the strain of the line."," Ale když se šňůra napjala až k prasknutí, nechal toho být a usadil se, aby čelil jejímu tahu."
"settled","settle","usadil","usadit","pf"," But when he was touching the breaking point he held steady and settled back against the strain of the line."," Ale když se šňůra napjala až k prasknutí, nechal toho být a usadil se, aby čelil jejímu tahu."
"feeling","feel","cítíš","cítit","impf"," "" You 're feeling it now, fish, "" he said."," "" Teď to cítíš, rybo, "" poznamenal."
"thought","think","pomyslel","pomyslet","pf"," You did not stay long, the man thought."," Dlouho ses nezdržel, pomyslel si člověk."
"jump","jump","skákala","skákat","impf"," Perhaps he is too wise to jump."," Snad je příliš moudrá na to, aby skákala."
"jumping","jump","skákat","skákat","impf"," He could ruin me by jumping or by a wild rush."," Strhala by mě, kdyby začala skákat nebo se najednou divoce utrhla."
"make","make","chytila","chytit","pf"," But perhaps he has been hooked many times before and he knows that this is how he should make his fight."," Ale možná že se už mockrát chytila a ví, že musí bojovat právě takhle."
"bring","bring","vynese","vynést","pf"," But what a great fish he is and what will he bring in the market if the flesh is good."," Ale jaký to je obr a kolik vynese na trhu, jestli má dobré maso!"
"changed","change","střídali","střídat","impf"," They changed the referees every four hours after the first eight so that the referees could sleep."," Po prvních osmi hodinách střídali rozhodčí v čtyřhodinových směnách, aby se mohli vyspat."
"looked","look","vyhlížela","vyhlížet","impf"," The sail was patched with Hour sacks and, furled, it looked like the flag of permanent defeat."," Plachta byla záplatována pytli od mouky a svinuta vyhlížela jako vlajka trvalé porážky."
"watched","watch","Pozoroval","pozorovat","impf"," He watched the flying fish burst out again and again and the ineffectual movements of the bird."," Pozoroval, jak létavé ryby znovu a znovu prorážejí hladinu a jak se pták bezvýsledně snaží."
"thought","think","pomyslel","pomyslet","pf"," That school has gotten away from me, he thought."," To hejno mi uteklo, pomyslel si."
"beat","beat","bije","bít","impf"," Most people are heartless about turtles because a turtle 's heart will beat for hours after he has been cut up and butchered."," Většina lidí k želvám v srdci nic necítí, protože želví srdce bije ještě hodiny poté, co byla želva rozříznuta a vyvržena."
"ate","eat","Jedl","jíst","impf"," He ate the white eggs to give himself strength."," Jedl jejich bílá vejce, aby nabyl síly."
"ate","eat","Jedl","jíst","impf"," He ate them all through May to be strong in September and October for the truly big fish."," Jedl je po celý květen, aby byl v září a v říjnu dost silný na opravdu velké ryby."
"comprehend","comprehend","nechápe","chápat","impf"," The punishment of hunger, and that he is against something that he does not comprehend, is everything."," Všechno záleží na tom, že ji trápí hlad a že musí čelit něčemu, co nechápe."
"rested","rest","Odpočíval","odpočívat","impf"," He rested for what he believed to be two hours."," Odpočíval, jak byl přesvědčen, asi dvě hodiny."
"rise","rise","vycházel","vycházet","impf"," The moon did not rise now until late and he had no way of judging the time."," Měsíc teď vycházel pozdě, takže neměl podle čeho odhadnout čas."
"judging","judge","odhadnout","odhadnout","pf"," The moon did not rise now until late and he had no way of judging the time."," Měsíc teď vycházel pozdě, takže neměl podle čeho odhadnout čas."
"speeded","speed","zrychlil","zrychlit","pf"," Now he speeded up as he smelled the fresher scent and his blue dorsal fin cut the water."," Teď žralok zrychlil, když ucítil čerstvější pach, a jeho modrá hřbetní ploutev řezala hladinu."
"smelled","smell","ucítil","ucítit","pf"," Now he speeded up as he smelled the fresher scent and his blue dorsal fin cut the water."," Teď žralok zrychlil, když ucítil čerstvější pach, a jeho modrá hřbetní ploutev řezala hladinu."
"cut","cut","řezala","řezat","impf"," Now he speeded up as he smelled the fresher scent and his blue dorsal fin cut the water."," Teď žralok zrychlil, když ucítil čerstvější pach, a jeho modrá hřbetní ploutev řezala hladinu."
"saw","see","uviděl","uvidět","pf"," When the old man saw him coming he knew that this was a shark that had no fear at all and would do exactly what he wished."," Když ho stařec uviděl připlouvat, uvědomil si, že tenhle žralok nezná strach a udělá zrovna to, co si zamane."
"coming","come","udělá","udělat","pf"," When the old man saw him coming he knew that this was a shark that had no fear at all and would do exactly what he wished."," Když ho stařec uviděl připlouvat, uvědomil si, že tenhle žralok nezná strach a udělá zrovna to, co si zamane."
"do","do","udělá","udělat","pf"," When the old man saw him coming he knew that this was a shark that had no fear at all and would do exactly what he wished."," Když ho stařec uviděl připlouvat, uvědomil si, že tenhle žralok nezná strach a udělá zrovna to, co si zamane."
"prepared","prepare","Připravil","připravit","pf"," He prepared the harpoon and made the rope fast while he watched the shark come on."," Připravil si harpunu a přivázal k ní lanko, zatím co pozoroval, jak se žralok blíží."
"made","make","Připravil","připravit","pf"," He prepared the harpoon and made the rope fast while he watched the shark come on."," Připravil si harpunu a přivázal k ní lanko, zatím co pozoroval, jak se žralok blíží."
"watched","watch","pozoroval","pozorovat","impf"," He prepared the harpoon and made the rope fast while he watched the shark come on."," Připravil si harpunu a přivázal k ní lanko, zatím co pozoroval, jak se žralok blíží."
"lacked","lack","scházel","scházet","impf"," The rope was short as it lacked what he had cut away to lash the fish."," Lanko bylo krátké, protože scházel kus, který uřízl, aby připoutal svou rybu."
"said","say","řekl","říci","pf"," "" They beat me, Manolin, "" he said."," "" Dostali mě, Manoline, "" řekl chlapci."
"beat","beat","porazili","porazit","pf"," "" They truly beat me."," "" Opravdu mě porazili. """
"beat","beat","neporazila","porazit","pf"," "" He did n't beat you."," "" ONA vás neporazila."
"want","want","chcete","chtít","impf"," What do you want done with the head? """," Co chcete udělat s tou hlavou? """
"do","do","udělat","udělat","pf"," What do you want done with the head? """," Co chcete udělat s tou hlavou? """
"done","do","udělat","udělat","pf"," What do you want done with the head? """," Co chcete udělat s tou hlavou? """
"keep","keep","Nech","nechat","pf"," "" You keep it if you want it. """," "" Nech si ho, jestli chceš. """
"want","want","chceš","chtít","impf"," "" You keep it if you want it. """," "" Nech si ho, jestli chceš. """
"want","want","Chci","chtít","impf"," "" I want it, "" the boy said."," "" Chci, "" přisvědčil chlapec."
"learn","learn","naučit","naučit","pf"," "" You must get well fast for there is much that I can learn and you can teach me everything."," "" Musíte se uzdravit rychle, protože se toho můžu spoustu naučit, a vy mě naučíte všechno."
"teach","teach","naučit","naučit","pf"," "" You must get well fast for there is much that I can learn and you can teach me everything."," "" Musíte se uzdravit rychle, protože se toho můžu spoustu naučit, a vy mě naučíte všechno."
"learn","learn","naučíte","naučit","pf"," "" You must get well fast for there is much that I can learn and you can teach me everything."," "" Musíte se uzdravit rychle, protože se toho můžu spoustu naučit, a vy mě naučíte všechno."
"teach","teach","naučíte","naučit","pf"," "" You must get well fast for there is much that I can learn and you can teach me everything."," "" Musíte se uzdravit rychle, protože se toho můžu spoustu naučit, a vy mě naučíte všechno."
"said","say","odpověděl","odpovědět","pf"," "" Plenty, "" the old man said."," "" Ažaž, "" odpověděl starý."
"bring","bring","Přinesu","přinést","pf"," "" I 'll bring the food and the papers, "" the boy said."," "" Přinesu něco k jídlu a ty noviny, "" řekl hoch."
"said","say","řekl","říci","pf"," "" I 'll bring the food and the papers, "" the boy said."," "" Přinesu něco k jídlu a ty noviny, "" řekl hoch."
"bring","bring","Přinesu","přinést","pf"," I will bring stuff from the drugstore for your hands. """," Přinesu vám z drogerie mazání na ruce. """
"forget","forget","Nezapomeň","zapomenout","pf"," "" Do n't forget to tell Pedrico the head is his. """," "" Nezapomeň říct Pedricovi, aby si vzal tu hlavu! """
"tell","tell","říct","říci","pf"," "" Do n't forget to tell Pedrico the head is his. """," "" Nezapomeň říct Pedricovi, aby si vzal tu hlavu! """
"Do","do","vzal","vzít","pf"," "" Do n't forget to tell Pedrico the head is his. """," "" Nezapomeň říct Pedricovi, aby si vzal tu hlavu! """
"leaned","lean","opřel","opřít","pf"," The old man leaned the mast with its wrapped sail against the wall and the boy put the box and the other gear beside it."," Starý opřel stěžeň se svinutou plachtou o stěnu a chlapec složil bednu a ostatní nářadí vedle na zem."
"called","call","říká","říkat","impf"," The shack was made of the tough budshields of the royal palm which are called guano and in it there was a bed, a table, one chair, and a place on the dirt floor to cook with charcoal."," Chatrč byla postavena z tuhých listenů, jež chrání pupeny královské palmy a kterým se říká GUANO, a byla v ní postel, stůl, jedna židle a ohniště na hlinité podlaze, kde se vařilo na dřevěném uhlí."
"made","make","vařilo","vařit","impf"," The shack was made of the tough budshields of the royal palm which are called guano and in it there was a bed, a table, one chair, and a place on the dirt floor to cook with charcoal."," Chatrč byla postavena z tuhých listenů, jež chrání pupeny královské palmy a kterým se říká GUANO, a byla v ní postel, stůl, jedna židle a ohniště na hlinité podlaze, kde se vařilo na dřevěném uhlí."
"cook","cook","vařilo","vařit","impf"," The shack was made of the tough budshields of the royal palm which are called guano and in it there was a bed, a table, one chair, and a place on the dirt floor to cook with charcoal."," Chatrč byla postavena z tuhých listenů, jež chrání pupeny královské palmy a kterým se říká GUANO, a byla v ní postel, stůl, jedna židle a ohniště na hlinité podlaze, kde se vařilo na dřevěném uhlí."
"said","say","pronesl","pronést","pf"," "" He is two feet longer than the skiff, "" the old man said."," "" Je o dvě stopy delší než člun, "" pronesl stařec nahlas."
"trying","try","snažil","snažit","impf"," The old man was trying with both hands to keep the line just inside of breaking strength."," Stařec se snažil udržet šňůru oběma rukama, aby se nenapjala až k prasknutí."
"keep","keep","udržet","udržet","pf"," The old man was trying with both hands to keep the line just inside of breaking strength."," Stařec se snažil udržet šňůru oběma rukama, aby se nenapjala až k prasknutí."
"thought","think","myslel","myslet","impf"," He is a great fish and I must convince him, he thought."," Je to veliká ryba, a já ji musím udolat, myslel si."
"watched","watch","pozoroval","pozorovat","impf"," As he watched the bird dipped again slanting his wings for the dive and then swinging them wildly and ineffectually as he followed the flying fish."," Jak ho tak pozoroval, pták se opět vrhl dolů s křídly přitaženými k tělu pro střemhlavý pád a pak jimi začal divoce a bezvýsledně máchat v honbě za létavými rybami."
"see","see","viděl","vidět","impf"," The old man could see the slight bulge in the water that the big dolphin raised as they followed the escaping fish."," Stařec viděl lehké vyboulení vody zdvíhané velkými dorádami, jak pronásledovaly unikající ryby."
"followed","follow","pronásledovaly","pronásledovat","impf"," The old man could see the slight bulge in the water that the big dolphin raised as they followed the escaping fish."," Stařec viděl lehké vyboulení vody zdvíhané velkými dorádami, jak pronásledovaly unikající ryby."
"driving","drive","doženou","dohnat","pf"," The dolphin were cutting through the water below the flight of the fish and would be in the water, driving at speed, when the fish dropped."," Dorády brázdily vodu pod čarou jejich letu a doženou se ve vodě plnou rychlostí na místo, kam ryby dopadnou."
"thought","think","pomyslel","pomyslet","pf"," It is a big school of dolphin, he thought."," Je to pořádné hejno dorád, pomyslel si stařec."
"Tell","tell","Povězte","povědět","pf"," "" Tell me about the great John J. McGraw. """," "" Povězte mi o slavném Johnovi J. McGrawovi! """
"said","say","Vyslovil","vyslovit","pf"," He said Jota for J."," Vyslovil J po Španělsku jako ch."
"drinking","drink","napil","napít","pf"," But he was rough and harsh-spoken and difficult when he was drinking."," Ale když se napil, byl hrubý, mluvil sprostě a nedalo se s ním vyjít."
"carried","carry","Nosil","nosit","impf"," At least he carried lists of horses at all times in his pocket and frequently spoke the names of horses on the telephone. """," Nosil aspoň pořád po kapsách dostihové seznamy a často říkával jména koní do telefonu. """
"thinks","think","myslí","myslet","impf"," "" My father thinks he was the greatest. """," "" Můj táta myslí, že ten nejslavnější. """
"left","leave","zanechal","zanechat","pf"," The old man knew he was going far out and he left the smell of the land behind and rowed out into the clean early morning smell of the ocean."," Stařec si byl vědom, že popluje daleko, zanechal pach pevniny za sebou a vyrazil vstříc předjitřní vůni oceánu."
"left","leave","vyrazil","vyrazit","pf"," The old man knew he was going far out and he left the smell of the land behind and rowed out into the clean early morning smell of the ocean."," Stařec si byl vědom, že popluje daleko, zanechal pach pevniny za sebou a vyrazil vstříc předjitřní vůni oceánu."
"saw","see","Viděl","vidět","impf"," He saw the phosphorescence of the Gulf weed in the water as he rowed over the part of the ocean that the fishermen called the great well because there was a sudden deep of seven hundred fathoms where all sorts of fish congregated because of the swirl the current made against the steep walls of the Boor of the ocean."," Viděl ve vodě fosforeskovat chaluhy, když vesloval tou částí oceánu, které rybáři říkali veliká studně, protože se tu náhle otvírala sedmistysáhová hlubina, kde se shlukovaly ryby všeho druhu, stahované sem vírem, jenž vznikal nárazy proudu o srázné hradby na dně oceánu."
"called","call","říkali","říkat","impf"," He saw the phosphorescence of the Gulf weed in the water as he rowed over the part of the ocean that the fishermen called the great well because there was a sudden deep of seven hundred fathoms where all sorts of fish congregated because of the swirl the current made against the steep walls of the Boor of the ocean."," Viděl ve vodě fosforeskovat chaluhy, když vesloval tou částí oceánu, které rybáři říkali veliká studně, protože se tu náhle otvírala sedmistysáhová hlubina, kde se shlukovaly ryby všeho druhu, stahované sem vírem, jenž vznikal nárazy proudu o srázné hradby na dně oceánu."
"seen","see","nezahlédl","zahlédnout","pf"," The bird had flown up when the line jerked and the old man had not even seen him go."," Ptáček uletěl, když sebou šňůra škubla, a stařec ho při odletu ani nezahlédl."
"noticed","notice","zpozoroval","zpozorovat","pf"," He felt the line carefully with his right hand and noticed his hand was bleeding."," Ohmatal šňůru pečlivě pravičkou a zpozoroval, že mu ruka krvácí."
"said","say","řekl","říci","pf"," "" Something hurt him then, "" he said aloud and pulled back on the line to see if he could turn the fish."," "" Něco ji tam dole nejspíš zabolelo, "" řekl nahlas a zatáhl za šňůru, aby zjistil, jestli by rybu nedokázal obrátit."
"pulled","pull","zatáhl","zatáhnout","pf"," "" Something hurt him then, "" he said aloud and pulled back on the line to see if he could turn the fish."," "" Něco ji tam dole nejspíš zabolelo, "" řekl nahlas a zatáhl za šňůru, aby zjistil, jestli by rybu nedokázal obrátit."
"turn","turn","obrátit","obrátit","pf"," "" Something hurt him then, "" he said aloud and pulled back on the line to see if he could turn the fish."," "" Něco ji tam dole nejspíš zabolelo, "" řekl nahlas a zatáhl za šňůru, aby zjistil, jestli by rybu nedokázal obrátit."
"felt","feel","cítil","cítit","impf"," The sun was hot now and the old man felt it on the back of his neck and felt the sweat trickle down his back as he rowed."," Slunce teď pálilo a starý je cítil v zátylku a cítil, jak mu při veslování stéká čůrkem po zádech pot."
"felt","feel","cítil","cítit","impf"," The sun was hot now and the old man felt it on the back of his neck and felt the sweat trickle down his back as he rowed."," Slunce teď pálilo a starý je cítil v zátylku a cítil, jak mu při veslování stéká čůrkem po zádech pot."
"felt","feel","cítil","cítit","impf"," The sun was hot now and the old man felt it on the back of his neck and felt the sweat trickle down his back as he rowed."," Slunce teď pálilo a starý je cítil v zátylku a cítil, jak mu při veslování stéká čůrkem po zádech pot."
"felt","feel","cítil","cítit","impf"," The sun was hot now and the old man felt it on the back of his neck and felt the sweat trickle down his back as he rowed."," Slunce teď pálilo a starý je cítil v zátylku a cítil, jak mu při veslování stéká čůrkem po zádech pot."
"trickle","trickle","stéká","stékat","impf"," The sun was hot now and the old man felt it on the back of his neck and felt the sweat trickle down his back as he rowed."," Slunce teď pálilo a starý je cítil v zátylku a cítil, jak mu při veslování stéká čůrkem po zádech pot."
"put","put","dát","dát","pf"," I could just drift, he thought, and sleep and put a bight of line around my toe to wake me."," Mohl bych se dát nést proudem, pomyslel si, usnout a navléknout si kličku šňůry na palec u nohy, abych se probudil."
"thought","think","pomyslel","pomyslet","pf"," I could just drift, he thought, and sleep and put a bight of line around my toe to wake me."," Mohl bych se dát nést proudem, pomyslel si, usnout a navléknout si kličku šňůry na palec u nohy, abych se probudil."
"sleep","sleep","usnout","usnout","pf"," I could just drift, he thought, and sleep and put a bight of line around my toe to wake me."," Mohl bych se dát nést proudem, pomyslel si, usnout a navléknout si kličku šňůry na palec u nohy, abych se probudil."
"wake","wake","probudil","probudit","pf"," I could just drift, he thought, and sleep and put a bight of line around my toe to wake me."," Mohl bych se dát nést proudem, pomyslel si, usnout a navléknout si kličku šňůry na palec u nohy, abych se probudil."
"watching","watch","pozoroval","pozorovat","impf"," Just then, watching his lines, he saw one of the projecting green sticks dip sharply."," Právě v tom okamžiku, jak tak pozoroval šňůry, se jeden z vyčnívajících zelených klacků prudce potopil."
"saw","see","pozoroval","pozorovat","impf"," Just then, watching his lines, he saw one of the projecting green sticks dip sharply."," Právě v tom okamžiku, jak tak pozoroval šňůry, se jeden z vyčnívajících zelených klacků prudce potopil."
"dip","dip","potopil","potopit","pf"," Just then, watching his lines, he saw one of the projecting green sticks dip sharply."," Právě v tom okamžiku, jak tak pozoroval šňůry, se jeden z vyčnívajících zelených klacků prudce potopil."
"remember","remember","Nevzpomínal","vzpomínat","impf"," He did not remember when he had first started to talk aloud when he was by himself."," Nevzpomínal si už, kdy vlastně začal sám k sobě mluvit nahlas."
"started","start","začal","začít","pf"," He did not remember when he had first started to talk aloud when he was by himself."," Nevzpomínal si už, kdy vlastně začal sám k sobě mluvit nahlas."
"talk","talk","mluvit","mluvit","impf"," He did not remember when he had first started to talk aloud when he was by himself."," Nevzpomínal si už, kdy vlastně začal sám k sobě mluvit nahlas."
"sung","sing","zpíval","zpívat","impf"," He had sung when he was by himself in the old days and he had sung at night sometimes when he was alone steering on his watch in the smacks or in the turtle boats."," Kdysi dávno si o samotě zpíval, a zpívával si někdy v noci, když míval hlídku na rybářských kutrech či na bárkách lovících želvy a když sám kormidloval."
"sung","sing","zpíval","zpívat","impf"," He had sung when he was by himself in the old days and he had sung at night sometimes when he was alone steering on his watch in the smacks or in the turtle boats."," Kdysi dávno si o samotě zpíval, a zpívával si někdy v noci, když míval hlídku na rybářských kutrech či na bárkách lovících želvy a když sám kormidloval."
"started","start","Začal","začít","pf"," He had probably started to talk aloud, when alone, when the boy had left."," Začal nejspíš mluvit nahlas sám pro sebe, když s ním přestal jezdit chlapec."
"talk","talk","mluvit","mluvit","impf"," He had probably started to talk aloud, when alone, when the boy had left."," Začal nejspíš mluvit nahlas sám pro sebe, když s ním přestal jezdit chlapec."
"left","leave","přestal","přestat","pf"," He had probably started to talk aloud, when alone, when the boy had left."," Začal nejspíš mluvit nahlas sám pro sebe, když s ním přestal jezdit chlapec."
"remember","remember","nepamatoval","pamatovat","impf"," But he did not remember."," Ale nepamatoval se už."
"spoke","speak","mluvili","mluvit","impf"," When he and the boy fished together they usually spoke only when it was necessary."," Když rybaříval s chlapcem, mluvili na sebe obyčejně, jen co bylo nutné."
"felt","feel","ucítil","ucítit","pf"," Then, with his right hand he felt the difference in the pull of the line before he saw the slant change in the water."," Pak ucítil pravičkou rozdíl v napětí šňůry a vzápětí si všiml, že se úhel šňůry s hladinou změnil."
"saw","see","viděl","vidět","impf"," Then, as he leaned against the line and slapped his left hand hard and fast against his thigh he saw the line slanting slowly upward."," A potom, jak se opíral proti tahu a plácal si levičkou prudce a rychle o stehno, viděl, že se šňůra zvolna zvedá."
"rose","rise","zvedala","zvedat","impf"," The line rose slowly and steadily and then the surface of the ocean bulged ahead of the boat and the fish came out."," Šňůra se zvedala zvolna a vytrvale a pak se hladina oceánu před člunem vzedmula a ryba se vynořovala ven."
"replaced","replace","nahradit","nahradit","pf"," That is easily replaced."," Ta se dá snadno nahradit."
"feel","feel","Ucítil","ucítit","pf"," He could feel he was inside the current now and he could see the lights of the beach colonies along the shore."," Ucítil, že se teď dostal do proudu, a uviděl světla pobřežních osad podél celého břehu."
"see","see","uviděl","uvidět","pf"," He could feel he was inside the current now and he could see the lights of the beach colonies along the shore."," Ucítil, že se teď dostal do proudu, a uviděl světla pobřežních osad podél celého břehu."
"get","get","dostat","dostat","pf"," He knew where he was now and it was nothing to get home."," Teď věděl, kde je, a dostat se domů byla už hračka."
"added","add","dodal","dodat","pf"," Then he added, sometimes."," A pak dodal - někdy."
"Thank","thank","Děkuju","děkovat","impf"," "" Thank you."," "" Děkuju ti."
"make","make","dělá","dělat","impf"," You make me happy."," To mi dělá dobře."
"hope","hope","doufám","doufat","impf"," I hope no fish will come along so great that he will prove us wrong. """," Jen doufám, že se nenajde tak ohromná ryba, aby nás usvědčila z nepravdy. """
"say","say","říkáte","říkat","impf"," "" There is no such fish if you are still strong as you say."," "" Taková ryba není, jestli máte pořád ještě dost síly, jak říkáte. """
"think","think","myslím","myslet","impf"," "" I may not be as strong as I think, "" the old man said."," "" Možná, že nejsem tak silný, jak si myslím, "" uvažoval stařec."
"think","think","uvažoval","uvažovat","impf"," "" I may not be as strong as I think, "" the old man said."," "" Možná, že nejsem tak silný, jak si myslím, "" uvažoval stařec."
"go","go","jít","jít","impf"," "" You ought to go to bed now so that you will be fresh in the morning."," "" Měl byste si teď jít lehnout, abyste byl ráno svěží."
"sat","sit","seděl","sedět","impf"," The boy carried the hot can of coffee up to the old man 's shack and sat by him until he woke."," Donesl plechovku horké kávy do starcovy chatrče a seděl vedle něho, dokud se starý neprobudil."
"woke","wake","neprobudil","probudit","pf"," The boy carried the hot can of coffee up to the old man 's shack and sat by him until he woke."," Donesl plechovku horké kávy do starcovy chatrče a seděl vedle něho, dokud se starý neprobudil."
"gone","go","šel","jít","impf"," But he had gone back into heavy sleep and the boy had gone across the road to borrow some wood to heat the coffee."," Ale upadl opět do těžkého spánku a chlapec šel na druhou stranu přes silnici vypůjčit si nějaké dříví na ohřátí kávy."
"gone","go","šel","jít","impf"," But he had gone back into heavy sleep and the boy had gone across the road to borrow some wood to heat the coffee."," Ale upadl opět do těžkého spánku a chlapec šel na druhou stranu přes silnici vypůjčit si nějaké dříví na ohřátí kávy."
"borrow","borrow","vypůjčit","vypůjčit","pf"," But he had gone back into heavy sleep and the boy had gone across the road to borrow some wood to heat the coffee."," Ale upadl opět do těžkého spánku a chlapec šel na druhou stranu přes silnici vypůjčit si nějaké dříví na ohřátí kávy."
"woke","wake","vzbudil","vzbudit","pf"," Finally the old man woke."," Konečně se starý vzbudil."
"said","say","řekl","říci","pf"," "" Do n't sit up, "" the boy said."," "" Nesedejte si, "" řekl mu chlapec."
"Drink","drink","Vypijte","vypít","pf"," "" Drink this. """," "" Vypijte tohle! """
"poured","pour","Nalil","nalít","pf"," He poured some of the coffee in a glass."," Nalil trochu kávy do sklenice."
"took","take","vzal","vzít","pf"," The old man took it and drank it."," Stařec ji vzal a vypil."
"drank","drink","vypil","vypít","pf"," The old man took it and drank it."," Stařec ji vzal a vypil."
"find","find","najít","najít","pf"," But he could not find a spoon and his sardines were rotten."," Ale nemohl třpytku najít a sardinky se mu všechny zkazily."
"ate","eat","jedl","jíst","impf"," The old man pinched their heads off with his thumb and forefinger and ate them chewing up the shells and the tails."," Stařec jim uštipoval palcem a ukazováčkem hlavičky a jedl je tak, že je rozžvýkal i se skořápkami a s ocásky."
"seen","see","spatřil","spatřit","pf"," Now alone, and out of sight of land, he was fast to the biggest fish that he had ever seen and bigger than he had ever heard of, and his left hand was still as tight as the gripped claws of an eagle."," A teď byl sám a z dohledu země a byl připoután k největší rybě, jakou kdy spatřil, k větší rybě, než o jaké kdy slyšel, a levou ruku měl pořád tak ztuhlou jako zaťatý orlí spár."
"heard","hear","slyšel","slyšet","impf"," Now alone, and out of sight of land, he was fast to the biggest fish that he had ever seen and bigger than he had ever heard of, and his left hand was still as tight as the gripped claws of an eagle."," A teď byl sám a z dohledu země a byl připoután k největší rybě, jakou kdy spatřil, k větší rybě, než o jaké kdy slyšel, a levou ruku měl pořád tak ztuhlou jako zaťatý orlí spár."
"thought","think","myslel","myslet","impf"," It will uncramp though, he thought."," Však ta křeč povolí, myslel si."
"help","help","pomohla","pomoci","pf"," Surely it will uncramp to help my right hand."," Určitě povolí, aby má levá ruka pomohla pravičce."
"fish","fish","lovit","lovit","impf"," "" Now we fish together again. """," "" Teď budeme lovit zase spolu. """
"said","say","odpověděl","odpovědět","pf"," "" The hell with luck, "" the boy said."," "" Čert vzal štěstí, "" odpověděl chlapec."
"say","say","řeknou","říci","pf"," "" What will your family say? """," "" Co tomu řeknou tvoji rodiče? """
"care","care","nezáleží","záležet","impf"," "" I do not care."," "" Na tom nezáleží."
"caught","catch","chytil","chytit","pf"," I caught two yesterday."," Včera jsem chytil dvě."
"learn","learn","naučit","naučit","pf"," But we will fish together now for I still have much to learn. """," Ale budeme jezdit na ryby spolu, protože se toho musím ještě spoustu naučit. """
"think","think","Myslíš","myslet","impf"," Do you think you can find an eighty-five? ' '"," Myslíš, že seženeš nějakou pětaosmdesátku? """
"find","find","seženeš","sehnat","pf"," Do you think you can find an eighty-five? ' '"," Myslíš, že seženeš nějakou pětaosmdesátku? """
"borrow","borrow","vypůjčili","vypůjčit","pf"," Who can we borrow that from? """," Od koho bychom si to vypůjčili? """
"borrow","borrow","vypůjčím","vypůjčit","pf"," I can always borrow two dollars and a half. """," Dva a půl dolaru si vždycky někde vypůjčím. """
"think","think","Myslím","myslet","impf"," "" I think perhaps I can too."," "" Myslím, že bych to taky dokázal."
"try","try","nepokouším","pokoušet","impf"," But I try not to borrow."," Ale nepokouším se o to."
"looked","look","prohlédl","prohlédnout","pf"," The old man looked carefully in the glimpse of vision that he had."," Stařec si ji pozorně prohlédl v záblesku, kdy se mu vrátil zrak."
"Keep","keep","zachovat","zachovat","pf"," "" Keep my head clear, "" he said against the wood of the bow."," "" Musím si zachovat jasnou hlavu, "" mumlal do dřeva přídě."
"killed","kill","zabil","zabít","pf"," But I have killed this fish which is my brother and now I must do the slave work. """," Ale zabil jsem tuhle rybu, svého bratra, a teď se musím dát do sprosté otročiny. """
"put","put","postavil","postavit","pf"," He took all his pain and what was left of his strength and his long gone pride and he put it against the fish 's agony and the fish came over onto his side and swam gently on his side, his bill almost touching the planking of the skiff and started to pass the boat, long, deep, wide, silver and barred with purple and interminable in the water."," Sebral veškerou svou bolest a zbytek svých sil a svou dávno ztracenou hrdost a postavil je proti smrtelné úzkosti ryby a ryba se převrátila na bok a plula mírně na boku, dotýkajíc se téměř svým mečovitým výrůstkem bednění loďky, a začala míjet člun, dlouhá, nořící se do hloubky a široká, stříbrná a temně purpurově pruhovaná a ve vodě zdánlivě nekonečná."
"swam","swim","plula","plout","impf"," He took all his pain and what was left of his strength and his long gone pride and he put it against the fish 's agony and the fish came over onto his side and swam gently on his side, his bill almost touching the planking of the skiff and started to pass the boat, long, deep, wide, silver and barred with purple and interminable in the water."," Sebral veškerou svou bolest a zbytek svých sil a svou dávno ztracenou hrdost a postavil je proti smrtelné úzkosti ryby a ryba se převrátila na bok a plula mírně na boku, dotýkajíc se téměř svým mečovitým výrůstkem bednění loďky, a začala míjet člun, dlouhá, nořící se do hloubky a široká, stříbrná a temně purpurově pruhovaná a ve vodě zdánlivě nekonečná."
"touching","touch","dotýkajíc","dotýkat","impf"," He took all his pain and what was left of his strength and his long gone pride and he put it against the fish 's agony and the fish came over onto his side and swam gently on his side, his bill almost touching the planking of the skiff and started to pass the boat, long, deep, wide, silver and barred with purple and interminable in the water."," Sebral veškerou svou bolest a zbytek svých sil a svou dávno ztracenou hrdost a postavil je proti smrtelné úzkosti ryby a ryba se převrátila na bok a plula mírně na boku, dotýkajíc se téměř svým mečovitým výrůstkem bednění loďky, a začala míjet člun, dlouhá, nořící se do hloubky a široká, stříbrná a temně purpurově pruhovaná a ve vodě zdánlivě nekonečná."
"gone","go","začala","začít","pf"," He took all his pain and what was left of his strength and his long gone pride and he put it against the fish 's agony and the fish came over onto his side and swam gently on his side, his bill almost touching the planking of the skiff and started to pass the boat, long, deep, wide, silver and barred with purple and interminable in the water."," Sebral veškerou svou bolest a zbytek svých sil a svou dávno ztracenou hrdost a postavil je proti smrtelné úzkosti ryby a ryba se převrátila na bok a plula mírně na boku, dotýkajíc se téměř svým mečovitým výrůstkem bednění loďky, a začala míjet člun, dlouhá, nořící se do hloubky a široká, stříbrná a temně purpurově pruhovaná a ve vodě zdánlivě nekonečná."
